SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
21	21	16	6	1	1	75	10	1	1	6	5	0	-1	16
21	21	16	6	1	1	75	10	1	2	6	10	0	-1	16
21	21	16	6	1	1	75	10	1	3	6	4	161.18	49	4
21	21	16	6	1	1	75	10	1	3	6	4	410.82	49	9
21	21	16	6	1	1	75	10	1	4	6	9	45.29	49	1
21	21	16	6	1	1	75	10	1	4	6	9	260.66	49	6
21	21	16	6	1	1	75	10	1	5	16	7	289.82	49	6
21	21	16	6	1	1	75	10	1	5	16	7	507.03	49	11
21	21	16	6	1	1	75	10	1	6	6	2	0	-1	16
21	21	16	6	1	1	75	10	1	7	6	3	8.17	49	1
21	21	16	6	1	1	75	10	1	8	16	9	39.53	49	1
21	21	16	6	1	1	75	10	1	8	16	9	258.48	49	6
21	21	16	6	1	1	75	10	1	9	6	8	765.91	49	16
21	21	16	6	1	1	75	10	1	10	16	2	10.05	49	1
21	21	16	6	1	1	75	10	1	11	6	7	122.82	49	3
21	21	16	6	1	1	75	10	1	12	6	6	274.16	49	6
21	21	16	6	1	1	75	10	1	13	6	1	226.29	49	5
21	21	16	6	1	1	75	10	1	14	16	5	409.57	49	9
21	21	16	6	1	1	75	10	1	15	6	5	710.61	49	15
21	21	16	6	1	1	75	10	1	16	6	2	7.65	49	1
21	21	16	6	1	1	75	10	1	17	6	4	117.16	49	3
21	21	16	6	1	1	75	10	1	18	6	9	172.52	49	4
21	21	16	6	1	1	75	10	1	19	6	10	270.23	49	6
21	21	16	6	1	1	75	10	1	19	6	10	509.72	49	11
21	21	16	6	1	1	75	10	1	20	16	1	286.87	49	6
21	21	16	6	1	1	75	10	1	20	16	1	506.98	49	11
21	21	16	6	1	1	75	10	1	21	6	3	668.35	49	14
21	21	16	6	1	1	75	10	1	22	16	10	10.09	49	1
21	21	16	6	1	1	75	10	1	23	6	7	261.55	49	6
21	21	16	6	1	1	75	10	1	24	16	4	212.29	49	5
21	21	16	6	1	1	75	10	1	25	6	8	209.72	49	5
21	21	16	6	1	1	75	10	1	25	6	8	424.66	49	9
21	21	16	6	1	1	75	10	1	26	16	3	129.28	49	3
21	21	16	6	1	1	75	10	1	27	6	6	657.79	49	14
21	21	16	6	1	1	75	10	1	28	6	1	28.34	49	1
21	21	16	6	1	1	75	10	1	28	6	1	743.23	49	15
21	21	16	6	1	1	75	10	1	29	6	6	7.67	49	1
21	21	16	6	1	1	75	10	1	30	6	1	218.57	49	5
21	21	16	6	1	1	75	10	1	30	6	1	457.61	49	10
21	21	16	6	1	1	75	10	1	31	16	6	235.87	49	5
21	21	16	6	1	1	75	10	1	31	16	6	459.03	49	10
21	21	16	6	1	1	75	10	1	32	6	9	0	-1	16
21	21	16	6	1	1	75	10	1	33	6	8	134.47	49	3
21	21	16	6	1	1	75	10	1	34	6	10	166.38	49	4
21	21	16	6	1	1	75	10	1	35	16	8	167.05	49	4
21	21	16	6	1	1	75	10	1	36	6	7	222.3	49	5
21	21	16	6	1	1	75	10	1	36	6	7	461.13	49	10
21	21	16	6	1	1	75	10	1	37	6	4	624.52	49	13
21	21	16	6	1	1	75	10	1	38	6	2	10.38	49	1
21	21	16	6	1	1	75	10	1	38	6	2	719.72	49	15
21	21	16	6	1	1	75	10	1	39	6	5	8.55	49	1
21	21	16	6	1	1	75	10	1	40	16	7	93.33	49	2
21	21	16	6	1	1	75	10	1	40	16	7	310.27	49	7
21	21	16	6	1	1	75	10	1	41	16	4	59.24	49	2
21	21	16	6	1	1	75	10	1	41	16	4	307.76	49	7
21	21	16	6	1	1	75	10	1	42	6	3	707.21	49	15
21	21	16	6	1	1	75	10	1	43	6	7	14.16	49	1
21	21	16	6	1	1	75	10	1	44	6	5	45.42	49	1
21	21	16	6	1	1	75	10	1	44	6	5	259.62	49	6
21	21	16	6	1	1	75	10	1	44	6	5	736.52	49	15
21	21	16	6	1	1	75	10	1	45	6	2	7.67	49	1
21	21	16	6	1	1	75	10	1	45	6	2	759.63	49	16
21	21	16	6	1	1	75	10	1	46	6	1	8.44	49	1
21	21	16	6	1	1	75	10	1	46	6	1	690.39	49	14
21	21	16	6	1	1	75	10	1	47	6	9	8.03	49	1
21	21	16	6	1	1	75	10	1	48	6	4	10.32	49	1
21	21	16	6	1	1	75	10	1	49	16	5	63.59	49	2
