global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
355.27399744707947	n/a	n/a	126219.61326202744	480.3428095912161	n/a	n/a	230729.2147259833	353.2717246316538	n/a	n/a	124800.91142422304	369.08128387326536	328.75311446776414	n/a	n/a	n/a	n/a	-0.0785704167	-0.0343947215	-0.0613595619	0.0916474183	-0.0591805369	0.0248529968	0.0016072508	0.1118905327	0.1303305635	0.3131797674	-0.3056030502	0.5001778624	-0.0573640122	0.1974654343	-0.0485911988	0.0664870653	-0.1341792231	0.0430773091	-0.0261604347	0.0638201429	-0.0419634266	0.0200093791	-0.0179075444	0.0876397894	-0.0738897294	-0.0286260122	0.1123925069	-0.0499637748	0.0378471015	0.0350332573	-0.0578975674	0.0038213839	-0.0130399906	0.0169009215	-0.0937296495	0.023801764	-0.0583634165	0.0612482464	0.0323886772	-0.1056357934	0.0048005371	-0.0491156813	0.0079445352	-0.0724930042	0.04099131	-0.0108964193	0.0475861457	-0.0911932547	0.0275945447	-0.0216012801	0.0502122307	-0.0840596913	0.005976941	-0.1094021387	0.2112958451	-0.0743760117	-0.029545522	0.0591036172	-0.055874794	-0.0046904347	0.064955877	0.0296028628	-0.0425605274	-0.0289468805	0.0347436006	0.0783308743	-0.0566317817	-0.0857333445	0.0655160425	0.0496116261	-0.0634433478	-0.0890490065	0.1262391738	-0.0178706009	-0.0529593809	-0.0063584904	-0.03185322	0.0345244764	0.0507722726	-0.13803941	-0.0083810073	-0.0496468308	0.0469958185	0.0598176863	-0.0414669989	-0.0488267311	0.0627355435	-0.0812932698	0.0392302006	-0.0056446099	0.0754822111	-0.2059169508	0.1785506938	-0.1326306676	0.1669189571	-0.1800373364	0.0003232316	-0.1001306413	0.0841400304	-0.1487486813	0.013750037	-0.0392927073	0.0361251245	-0.054141266	0.1189176066	-0.0099953396	0.0405746951	-0.0373784096	0.0764640878	-0.041158711	0.0382024989	-0.0265637139	0.016567682	-0.0300721515	0.0996798009	-0.0570744781	-0.0676920024	0.0692109796	-0.0111629246	-0.000591842	-0.0096017002	0.0363766724	-0.0538110814	-0.047842857	0.1294481722	0.0324403432	-0.0369145663	0.1855543513	0.0534542505	-0.0273995911	-0.0326643163	-0.0809157878	0.1033645359	-0.0502617184	-0.0238726094	-0.0142360267	-0.0475659267	0.0875720964	0.0256681464	-0.0133480359	-0.1206173173	0.0080900618	0.0670697798	0.0116236362	0.1287019121	-0.1189848383	-0.0465396223	-0.0051646955	0.0480414013	-0.0127737632	0.0566055516	-0.117158264	0.0829511434	-0.0226362479	0.0452840706	-0.0886362132	0.0257296491	-0.0631586295	0.0755204152	-0.0681173837	0.0762372064	-0.0862018217	0.0771042437	-0.1576737201	0.0562190309	-0.0390482441	0.0024389319	0.0084019281	-0.0953459578	0.118611121	0.102594329	0.1025838106	0.1025662807	0.1025417406	3.57497e-06	n/a	1.27804105009e-11	n/a	-0.00205142	n/a	4.2083240164e-06	n/a	-0.0213029	n/a	n/a	0.00045381354841	0.0	n/a	0.0	n/a	-7.44958e-05	n/a	n/a	5.54962421764e-09	-0.000179987	n/a	n/a	3.2395320169e-08
354.3945961811468	-0.8794012659326427	0.7733465865239345	125595.52980239812	475.1645307772556	-5.178278813960503	26.8145714751122	225781.3313087695	352.9211869632027	-0.3505376684511248	0.1228766570031506	124553.36420751586	368.2520532864074	325.6939214708957	1.146596	15.992719	0.0502153829119999	0.0295945	-0.0657411199	-0.0792218726	0.0062815989	0.1073971673	0.0126062452	0.0269042882	-0.0199201633	0.0337788324	0.0521817269	0.0294721629	-0.1133212548	0.1717394295	0.0028922587	0.0984642945	-0.141037937	-0.066480478	-0.046548441	0.0054420007	-0.0457558286	-0.0612569495	0.0371700451	-0.1206202672	0.0315366959	-0.0080871781	-0.0371707035	-0.0329148578	0.0754531732	0.0195047078	0.0977074302	-0.0077905722	-0.0223973594	-0.0092354736	-0.0101913803	-0.0174324315	-0.0176461928	-0.0785302409	-0.0027861168	0.0721581331	-0.0035664449	0.001401363	0.0129151824	0.0580661762	0.0348843703	-0.1460277321	-0.0748105859	0.0556329083	-0.0129987841	0.0553351998	-0.008314724	-0.0402858069	0.0064104858	-0.0229464472	0.0378040581	-0.0237044554	-0.0358730944	0.1032891618	0.0529197651	-0.0920572561	0.0257059959	0.0436851887	0.0735166317	-0.1343703176	-0.0745752906	-0.0007548772	0.0496660263	-0.0511840637	0.0481910859	-0.0283674579	-0.024254843	-0.0157902994	-0.01076386	-0.1070893308	0.060759462	0.0283276498	-0.0056454335	-0.0348629989	-0.1061689977	0.0789838975	0.0601909716	-0.0121205654	0.1222120497	-0.0616694957	0.1249910222	0.0259050016	0.1161401269	-0.0204715305	0.0308776835	-0.1042544139	-0.0254570524	0.0536685344	-0.0372620588	-0.0537143894	0.0565250893	-0.1038078975	0.0706310705	-0.0654155835	0.0439463322	-0.0612701242	0.0230607642	-0.021464181	0.0362612399	0.0540531346	0.0239092247	-0.0296145456	-0.0011931726	0.0633263098	0.0573404431	0.0836790867	0.0161780331	-0.1478941448	-0.0569687885	-0.0370887692	-0.0877628417	0.044895244	-0.0534314624	-0.0015405572	0.0960090088	-0.0946550915	-0.026546323	-0.0469931982	0.0451299121	0.0694587226	0.1167084145	0.0928124138	0.055778667	-0.0034258828	-0.0349457555	-0.0425773146	-0.0505544083	-0.0251461655	0.0063192449	-0.0376599439	0.058186035	0.0313096625	0.0033801661	0.0900596221	-0.0576063146	0.0596742978	0.1559080394	0.1042780114	-0.0454547832	0.0500744788	-0.0347277937	0.0343883087	0.0908034769	-0.0583073402	-0.0423576403	-0.0393670369	0.0424214994	-0.0502648256	-0.074628929	-0.0508624745	0.1318660533	-0.1539444143	0.004994478	0.0156009828	0.0389436009	-0.0240551636	-0.0556184427	-0.0331108875	0.0369761488	-0.0914163054	0.1735294675	-0.121458352	-0.0111282092	-0.0261037029	0.029040717	0.2110620075	-0.1357343407	0.1238230566	0.1025662807	0.1024716367	0.1023139614	0.1020933517	5.320580000000001e-07	-3.042912e-06	2.830857153640001e-13	9.259313439744e-12	-0.0282953	-0.0262438799999999	0.0008006240020899	0.0006887412374543	-0.0204771	0.0008257999999999	6.819456399999968e-07	0.00041931162441	0.000107362	0.000107362	1.1526599044e-08	1.1526599044e-08	-0.00025	-0.0001755042	3.0801724217640005e-08	6.25e-08	0.0	0.000179987	3.2395320169e-08	0.0
353.7311835630578	-0.6634126180890121	0.4401163018397174	125125.7502249217	473.9827263451781	-1.181804432077513	1.396661715678053	224659.624873608	352.51833817655586	-0.402848786646814	0.1622871449028102	124269.1787507606	367.8642064083944	321.11231394904723	1.115937	15.565096	0.062132472058	0.0304485	-0.0331962268	2.57691e-05	0.1117484945	0.0603886728	0.0973752485	0.0300298562	-0.0891641935	-0.1220225109	0.0203346121	0.0600149843	-0.0982932283	0.015298167	0.0504318534	0.0115082766	-0.0301689909	0.0122026605	-0.1043624044	-0.0813062976	-0.0220766894	0.0016455883	-0.1063277349	-0.044755095	0.0016381565	0.116519678	0.0660931393	-0.0025005655	-0.0526264309	0.0087470994	-0.0274774853	-0.0373415201	0.0805218647	0.095034937	-0.1140523115	-0.09077561	0.0572615872	-0.0405451299	0.0418566956	0.151675339	0.1154957804	-0.0093026099	-0.026679366	-0.0096181068	0.0356259586	0.0193994339	0.0802132165	0.0539183102	0.0843895497	-0.0178867014	0.1035775805	0.0117360382	0.0234057029	-0.0048794076	-0.0854665389	-0.0146138304	0.139744436	-0.1118621379	-0.03008996	0.1001977434	-0.1076995427	-0.0276263944	0.1144171279	-0.0893258379	0.0462222251	-0.0039990983	-0.0676350926	-0.0098684127	-0.0079376513	-0.0178633508	-0.0774109739	-0.0815356519	-0.0326285194	0.075936592	-0.0039888111	-0.0996557488	-0.0201551753	0.0617617975	0.0088294448	0.0318793232	0.1087258368	0.0015035682	0.0837571944	0.0544672869	0.123586045	0.0270595391	-0.0125599655	-0.0324827247	-0.0856020865	0.0007470925	-0.0005780095	-0.0197862711	0.0060682182	0.0427792548	-0.0307710058	-0.1642620741	0.0444445405	-0.0593336399	0.0197869541	0.0831539093	-0.0070693421	0.0118129718	-0.0377360257	-0.0037614431	0.1079000125	0.0959109132	0.0568064844	0.0083678428	0.0164970503	-0.0910455082	0.0271964741	-0.0917381839	0.1248435348	-0.0009995499	-0.0105568299	0.0497696158	0.0773793724	-0.0420194291	-0.1418479384	-0.0126473957	0.0702672332	-0.0510124522	-0.0352047769	-0.0130150015	-0.0773898454	0.1199051444	0.1453438801	-0.005045989	0.0356592873	0.0137476989	-0.098208409	-0.0109494051	-0.037966248	-0.0609060779	-0.068008028	-0.1495826215	0.0913436546	0.0238826541	-0.0631171482	-0.002776657	-0.0515879944	-0.0193216272	-0.0990330383	0.0257573866	-0.0317809753	0.0144106894	-0.0404961006	-0.0077965226	-0.0196404506	0.125231717	-0.0024723785	-0.0960169881	-0.0347298409	-0.0462021823	0.1025618629	-0.0785989573	-0.0315592528	0.0015100226	0.069878714	0.0226134634	0.0649973129	-0.1442151196	0.0096018836	-0.1049346184	0.1046012866	-0.0595604394	-0.0124934863	-0.0061978308	-0.0286059297	0.0980210944	0.0019496454	-0.1232028509	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.00218839	-0.002188922058	4.7890507921000005e-06	4.791379775998956e-06	-0.0184165	0.0098788	0.00033916747225	9.759068944e-05	-0.0142417	0.0062354	3.888021316000003e-05	0.00020282601889	-0.000102372	-0.000209734	1.0480026384e-08	4.3988350756e-08	5.6494100000000016e-24	0.00025	6.25e-08	3.1915833348100007e-47	-0.000416853	-0.000416853	1.73766423609e-07	1.73766423609e-07
353.75704323907684	0.0258596760190243	0.0006687228438089	125144.04564125408	472.8319607688348	-1.1507655763433036	1.3242614116967355	223570.0631245009	352.3106368661199	-0.2077013104359366	0.0431398343568053	124122.78484901102	367.5176212407078	320.8304419718841	1.127361	15.724429	0.0359947356	0.0190694	-0.0126676544	0.06898486	0.0398511856	0.034576562	0.0120365287	0.1147854429	-0.0143122104	0.0201717991	0.0105209996	0.0717057305	0.0201137132	-0.1057918912	0.0234456357	0.003436865	-0.1553746387	0.0861360787	0.1073359672	-0.1599583173	-0.0624970158	0.1823374618	-0.0753948409	0.0154437103	0.1080098516	0.0483465667	0.0412473748	0.0361804699	-0.0419727683	-0.1283472056	-0.0213260876	-0.0414505628	-0.0035327682	-0.0842881558	-0.121683471	-0.0082218353	0.017707996	0.0436256532	-0.0267875086	0.0637137923	-0.0122039258	0.0241516103	0.0681760505	0.0485356208	-0.1022452628	0.0036045112	0.0724702569	-0.0214030385	0.1177041997	0.0386745786	-0.0507669178	-0.0012040498	0.0099032685	-0.0233616719	0.0334244891	0.0283030156	-0.035093884	0.0781223751	-0.0284010535	-0.0269495906	0.0122286657	-0.0113785346	-0.0732580529	-0.0541843513	-0.1423968272	-0.0323030646	-0.0390732619	-0.0673472082	0.0445790448	0.0414326057	0.0196193425	-0.1386179149	-0.0420843255	0.0776232298	-0.0688109813	0.0657672745	-0.0922767235	0.0227340226	0.1770130953	-0.0458478486	-0.1382086829	-0.0356093774	-0.0541046958	-0.0017296623	0.0102327666	0.0234432119	0.0764484598	0.0219232604	-0.0007262322	0.1362727454	0.0730316493	0.0869491611	0.0299111663	0.0353299477	0.0602564874	-0.0855232928	-0.0539898213	-0.1044069692	-0.0385028301	-0.0162013456	0.011990989	0.0612613428	0.0374192998	0.0316919477	-0.0347932731	0.0368294073	0.0176739839	-0.1144834514	0.0015883477	0.0250386829	-0.0191259497	-0.0271686155	0.0051531991	0.0388040128	-0.0372311256	-0.0075569301	0.0836485859	-0.0173694989	0.0870947287	0.0251668381	-0.0569788322	0.0094647733	0.0843459783	0.0401936805	-0.1327155212	0.0535362195	-0.0501256485	0.0520977685	0.0202171827	-0.087084587	0.0275997562	-0.0007386695	-0.0862944667	0.0744225682	-0.0029728126	-0.1026253854	-0.0595838982	0.0622955372	0.0281122423	-0.1069834689	-0.0880955334	0.1247951746	0.0631677688	-0.0485244817	0.0976819312	-0.1277658758	-0.1182194513	-0.0220113547	0.0120728201	-0.0420649651	-0.0648530372	-0.1136248807	0.0665263468	-0.0599495192	0.0761589075	-0.0034061917	-0.0212873642	-0.1069420619	0.0908356564	0.0565723487	-0.09370188	-0.0596834647	0.0197623789	0.0093468096	0.1495168947	-0.0775363829	-0.0104418934	-0.030960228	0.0098385927	-0.0921912125	0.0357094502	-0.0107790791	0.1024260777	0.1019113804	0.1010554665	0.0998612018	1.11456e-05	0.0021995356	1.2422439936e-10	4.83795685566736e-06	-0.010257	0.0081594999999999	0.000105206049	6.657744024999997e-05	-0.00372515	0.01051655	0.0001105978239024	1.38767425225e-05	-0.000305085	-0.000202713	9.307685722500001e-08	4.109256036900001e-08	-0.0	-5.6494100000000016e-24	3.1915833348100007e-47	0.0	-0.000317183	9.967e-05	9.9341089e-09	1.0060505548900003e-07
353.9840964977278	0.227053258650983	0.0515531822640301	125304.74057331268	472.66241101938704	-0.1695497494477535	0.028747117537796	223409.75479066	352.36019531634594	0.0495584502260157	0.0024560399888044	124157.70724337346	367.48553287312507	324.0265020826395	1.145836	15.982117	0.05275014069	0.0320447	-0.0187423579	-0.000914044	-0.0488947654	0.0799874637	-0.092266999	0.0290355003	0.0465326926	0.0372951982	0.0621336613	-0.0030609371	0.0083561566	-0.1068021981	-0.1071546301	0.0850208532	0.0290321791	0.0864480518	-0.0667310597	0.1074897279	-0.0330148336	0.0865005212	-0.044177043	-0.053602827	-0.0869800439	-0.0947403675	0.0368059792	0.0701569376	0.0591397672	-0.0112491062	0.0648887218	0.0637435854	0.0423434466	0.0805516165	-0.0662932049	-0.0296480272	0.1335336373	0.0246891531	0.0484937794	-0.042569724	0.0833580231	0.0002868661	0.0415308434	0.0740133881	0.0165916931	0.090891808	-0.0328211082	0.0599175451	0.0128595032	0.1116505284	-0.0367548968	0.0435723812	0.0235024279	-0.0357583546	0.0165312935	0.0544472734	-0.1480889528	0.0124038818	0.0729452734	-0.0846180692	-0.0905372929	-0.06954575	-0.1001548573	0.0033920817	0.0307704104	-0.0484035945	0.0006429007	-0.0217414659	0.1247113044	0.0454177133	-0.071667057	0.1045305702	0.1016823063	0.0061497825	-0.021199408	0.0341177401	-0.0362030249	0.0111273736	-0.0360946865	0.027829426	0.011392502	0.0501317447	-0.0279147615	0.073840032	-0.0652337322	-0.0303285287	0.0830655996	0.0864267595	0.0315473703	-0.0245014418	-0.0053841432	-0.0186184313	-0.0964705375	-0.0713334093	-0.050204328	-0.047075702	-0.0789113993	0.0376460504	-0.0293166862	0.1441012796	-0.1317872479	0.0126342805	-0.0274711285	-0.066562111	-0.0522984414	0.0154098661	0.0631241793	0.0037742916	-0.2109577028	-0.0008736545	-0.0039225231	-0.040825769	-0.0168071212	-0.0605190689	-0.0086579485	0.0438005223	0.0568200686	0.001952652	0.0711065591	-0.0162238008	0.0372897038	0.0161655796	0.2019528372	0.0106963096	-0.0117166315	-0.0421363219	-0.0917229377	0.0792102281	0.076257078	-0.1086457794	-0.0709751166	0.0129888946	0.0672996838	0.0589164692	-0.1785749698	0.0615570194	0.0774958445	0.0780236058	-0.0192141674	0.0949120986	-0.0167339916	-0.0251640774	-0.0143039886	-0.008701592	0.016132534	0.0477741523	0.0031032005	-0.0286221303	-0.0247235783	0.0155227362	-0.0024953317	0.0708040459	-0.0202730866	-0.0964408942	0.0531761657	-0.1290805867	-0.0426431594	-0.0548686215	0.0066895256	-0.0296511674	0.0206538717	-0.1422203891	-0.0867469177	-0.0196504825	0.0568009836	0.0306548911	-0.0610456349	-0.0846864342	-0.0501465617	-0.0726245459	0.0518978832	-0.0256015824	0.1023139614	0.1014639107	0.1000523871	0.0980872016	1.14181e-05	2.724999999999995e-07	1.3037300761e-10	7.425624999999973e-14	-0.0280984	-0.0178414	0.0007895200825599	0.00031831555396	4.61819e-06	0.00372976819	1.3911170751135878e-05	2.13276788761e-11	0.000218819	0.000523904	4.7881754761e-08	2.744754012160001e-07	-0.0	0.0	0.0	0.0	-0.000416853	-9.967e-05	9.9341089e-09	1.73766423609e-07
353.7844833136176	-0.1996131841102055	0.0398454232706148	125163.46063348338	472.6422911896879	-0.0201198296991265	0.0004048075471218	223390.7354210377	352.37406292392023	0.0138676075742978	0.0001923105398347	124167.4802215109	367.3672033512599	322.2392010842549	1.214303	16.937099	0.1044377377899999	0.058414	-0.0319999025	-0.1007452448	0.0092227215	0.0445576267	-0.0693816728	-0.1079103949	0.0309198239	-0.0066807984	0.0497319758	-0.0468079264	0.0031191989	-0.0636894406	0.0813253856	0.0884457506	-0.0679121573	-0.0999822123	0.0857486099	-0.0778463263	-0.0562343864	-0.0129251812	-0.1575556417	-0.1095343378	-0.1088699051	0.0066114271	-0.2082929377	0.05194658	0.087782381	0.0387268802	-0.1828619318	-0.0434709217	0.0412102077	0.1322464864	0.0066503742	-0.0149766592	0.0001063154	0.1276060346	-0.1360943411	-0.0102626456	-0.0002452934	0.0850695754	-0.039961224	0.0170235681	-0.1217720923	0.0381987072	-0.0496012756	0.0218803532	0.0099038376	0.0380439677	-0.043369276	-0.1008751412	0.0123397516	0.0508169716	0.1552505859	-0.0277670733	0.0437636579	-0.090453443	-0.003718387	0.1052698774	0.0225564896	0.0724574366	-0.075327671	-0.0734394257	0.0360984015	0.0489212473	-0.0280874004	-0.0180764074	-0.0527632234	-0.0187861455	-0.0144734594	-0.0286582289	0.0767898907	-0.004172118	-0.0507750402	0.0817194097	0.0295057385	-0.0415350606	-0.0066238252	-0.0220464488	0.0381887076	-0.1202750746	0.0043824353	0.1065208466	0.0189272921	-0.0552288393	0.0087486471	0.0728175969	0.05400964	0.0193058329	-0.0186002198	-0.1224596076	0.0626026501	0.087871503	-0.1377595615	-0.0210083992	-0.0375943598	0.0187424075	-0.0245359209	-0.0459907729	-0.0691246436	-0.0082342689	-0.0312103419	0.204569845	0.0509245917	-0.0176606184	0.0496291852	-0.0265757851	-0.0581797555	-0.0763873803	0.0520051588	0.0577616225	-0.0346509396	0.0401570796	-0.0181904903	-0.0831899331	-0.0091693746	0.0884882142	-0.0160897508	0.0333583636	0.0865215935	-0.0306462825	-0.0550741759	-0.1367923562	-0.0592084833	-0.0840317577	-0.0837650097	-0.0933203944	-0.0653280549	-0.0221416745	0.0411608679	-0.0629499915	-0.0669147695	-0.0539492506	0.0748954316	0.059001112	0.0803133751	0.0477512775	0.0681103615	0.1073199408	-0.0882401987	0.1267567205	-0.0109966679	0.0274683695	0.066170967	0.0451720531	-0.021704593	-0.0086687884	-0.0550745112	0.0404252336	0.0643340394	0.0021339514	0.0241442815	-0.1129493775	0.0942805122	0.0950910729	0.0505118504	0.0483071294	0.031098887	-0.043932848	-0.05778192	-0.1325962499	-0.012786038	-0.032752866	0.0278184351	-0.0867237083	-0.1267029533	0.0566886502	-0.0353812746	0.0011275677	0.0711475129	-0.0945083762	0.1021738733	0.1009054916	0.0988031726	0.0958842909	1.06985e-05	-7.196000000000007e-07	1.1445790225e-10	5.17824160000001e-13	0.0237211	0.0518195	0.00056269058521	0.0026852605802499	-0.0236456	-0.02365021819	0.0005593328204346	0.0005591143993599	-0.000113975	-0.000332794	1.2990300625e-08	1.1075184643600001e-07	-0.000106713	-0.000106713	1.1387664369000002e-08	1.1387664369000002e-08	-0.000277014	0.000139839	1.9554945921e-08	7.6736756196e-08
353.5999616787928	-0.1845216348248186	0.0340482337184237	125032.93289924374	472.582707671984	-0.0595835177039134	0.0035501955819725	223334.41559058387	351.9847480881241	-0.3893148357961422	0.1515660413709771	123893.26288666016	367.1993773757422	321.68168332744784	1.068017	14.89671	0.0763234614999999	0.0440968	-0.0268788369	-0.0286831322	0.0410813191	-0.0406634177	0.0170643278	-0.070657971	-0.0033185947	-0.053819631	0.0149345521	-0.0848860593	-0.0223698255	-0.0299192195	-0.0938206755	-0.0032055197	-0.0229071714	-0.1163895815	0.108869117	0.0463154011	-0.122982299	0.0795991531	-0.0237021103	-0.0623506303	0.0737037254	0.0366159038	0.0481691619	0.082808945	-0.0606453869	0.0542723587	-0.0261732348	-0.1299211558	-0.0233508353	-0.0834007009	-0.0680181148	0.0156522105	-0.0449845867	-0.0431292588	-0.0807246767	0.0156076227	-0.0085124092	-0.0622811646	-0.0745584755	-0.0822299358	0.0109738611	0.111176565	-0.0663751525	-0.0852904185	-0.0366674902	-0.0543841617	0.0386213769	0.0393476756	0.0457567045	-0.0686180041	0.0447250521	0.0574201829	-0.0442235727	-0.0497668454	0.0074580898	0.006111756	0.0963673105	-0.0445145582	0.0794185809	0.0769721026	-0.0002899043	-0.000266604	0.0043798698	-0.105455892	-0.0949378761	0.0805534324	0.0125955445	-0.077337532	-0.0870891885	0.0872534495	0.0171992572	0.0114298874	0.1160858565	-0.0510216543	0.0536286503	-0.0984618531	-0.0290429229	0.0584373585	0.0919602536	0.180683538	0.0299149141	0.045646703	-0.070368782	0.0554758776	-0.0878994393	-0.0250259703	-0.0469272662	0.0989222968	0.0886623212	0.1054978869	0.0454591465	-0.0218177011	-0.0016050313	0.0609029175	0.0996361724	-0.077414908	-0.0043394991	0.0646356379	-0.0057717191	-0.0391862655	-0.1039966545	-0.0423405875	0.0191748789	-0.0198149294	0.0072024722	-0.1328688346	-0.0236753548	0.1017277178	0.0079278784	0.0090033094	0.0620398461	0.0165573154	-0.0179144266	0.0739965575	-0.0091308438	-0.0338994825	0.0168087732	0.0749716583	-0.0603236767	0.0458617467	-0.0329194399	0.0168847242	0.0109496053	-0.0065883173	-0.0459120982	-0.0186428424	0.0395681008	-0.0273646709	0.12017374	-0.0936094129	0.0894761985	-0.0091048352	-0.1787326705	-0.1525133742	0.0384107269	-0.0600351644	0.0328046439	-0.0796063466	0.0915605806	0.14163457	-0.0381694926	-0.0420064328	0.0348205507	-0.0585979398	-0.009456682	-0.0433014653	0.0428001868	-0.1269023551	-0.057341534	-0.0620599238	0.0307826983	-0.045499867	-0.0459595197	0.1027065596	0.0038847695	0.0739459232	-0.00358229	0.029054949	-0.0587551677	-0.0193819162	0.1122904209	0.1185346348	0.0405053047	-0.0335279335	0.1315811016	-0.0400616944	0.0830516598	0.0098263169	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.00539852	0.0053878215	2.9144018190400003e-05	2.902862051586226e-05	-0.0163996	-0.0401206999999999	0.00026894688016	0.0016096705684899	-0.00680156	0.0168440399999999	0.0002837216835215	4.62612184336e-05	0.0	0.000113975	0.0	1.2990300625e-08	-0.000132317	-2.560399999999998e-05	6.55564815999999e-10	1.7507788488999997e-08	-0.000416853	-0.000139839	1.9554945921e-08	1.73766423609e-07
