global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
530.367801050511	n/a	n/a	281290.00439115445	735.4929689043202	n/a	540949.9073076913	n/a	551.1470513758164	n/a	303763.0722402568	n/a	566.4970313851512	566.9165885255243	n/a	n/a	n/a	n/a	-0.0535643803	-0.0082954338	0.1524583774	0.0833975447	-0.2816195829	0.0801301845	-0.0276068114	0.0743713485	-0.0890038258	-0.0759639361	-0.3086338044	0.0853587435	-0.075380551	0.1965364443	-0.0655240217	0.065291476	-0.0469457967	0.0122049302	0.0845043039	-0.0248832066	0.0266154055	-0.1307092109	0.219305822	-0.2337226054	-0.1857008881	0.1111679508	-0.0452603917	-0.0312537309	0.0156650833	-0.0095624235	0.0705873513	-0.0385815777	0.0140119486	-0.0500753829	0.095694998	-0.0706715304	-0.0494350413	0.1790646872	-0.1042495357	0.1586306518	-0.0614507815	0.1281297272	-0.0523210839	0.0126609452	-0.104711802	0.0038070001	-0.1004306459	0.0421097464	-0.0238059099	0.0579925615	-0.0214357494	0.0117988205	0.0478901074	-0.1097950461	0.0746927649	-0.0002644793	-0.0931625702	0.0180637986	0.0035373664	-0.0227075369	0.0440925764	0.0139802349	0.0002178649	0.0037295656	-0.0272389437	0.0969137006	0.0561027492	-0.0612533976	-0.0208326839	0.0846701953	0.0902723791	-0.0622591408	-0.0279200544	0.0722354409	0.058884785	-0.1044412886	-0.0585385695	-0.0074567232	0.0831772509	-0.0300113974	-0.0714472424	-0.2041581853	-0.1356270484	0.1562908312	-0.0729543604	0.1616862553	-0.0079214034	0.005993182	-0.0440711476	-0.0625417572	0.0231139987	-0.0010573389	0.1812293745	-0.0852305751	0.0299983336	-0.0826237995	-0.0173782397	0.0984926253	-0.0781894648	0.1368310314	-0.0890108826	0.0362822225	-0.0831702863	0.0199931952	-0.0080867421	0.1628104379	-0.0836180867	0.0578742053	-0.0166514124	0.0159890678	-0.024158526	0.0723028074	-0.0791224685	0.0218180995	0.0335187101	-0.0406028798	0.0411569381	0.0634695855	-0.0847786939	0.0178560308	0.0634011392	-0.0180019654	-0.0233200488	-0.0654741211	0.0222169891	0.0191647679	-0.0956721161	0.0703827755	0.0099900568	0.0115035808	0.071196213	-0.1018622067	0.0148744562	0.01683935	0.0482894084	-0.0088543661	-0.0605452837	-0.1284386803	-0.0846115287	0.3013860465	0.1065661517	0.1066754712	-0.0761944928	0.0745386987	-0.1266132347	0.089695675	-0.0636217985	0.0473377471	-0.1721338172	0.0120285027	0.0832389504	-0.1226409098	0.3464598354	-0.2065219538	0.08270339	-0.1819076563	0.0565450031	-0.1127618471	0.0454510133	-0.0637063995	0.0583370971	-0.0983630491	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.058573	n/a	n/a	0.003430796329	0.182409	n/a	0.0332730432809999	n/a	-0.0479686	n/a	n/a	0.00230098658596	-0.00328144	n/a	1.07678484736e-05	n/a	0.00342389	n/a	n/a	1.1723022732100002e-05	-0.000594706	n/a	n/a	3.53675226436e-07	0.0	0.0
530.1434556897135	-0.2243453607975425	0.0503308409113795	281052.08361063123	732.0018267324194	-3.4911421719007194	535826.674339599	12.188073664423673	551.6369853956584	0.4899340198419395	304303.3636564098	0.240035343798482	567.7074076791437	572.0420147107724	1.143624	25.828257	0.1141184	0.0500733	-0.0580754358	0.0629447285	-0.0463248264	0.0295052658	-0.3465877892	0.0705849297	-0.081431658	-0.0985292807	0.0295627384	0.0681112034	-0.2794526066	-0.0199316811	0.0138682986	0.138278431	-0.1418570278	0.0176610428	-0.0280273258	-0.0584869767	-0.0835584534	-0.1134260321	-0.0222055703	-0.0787828473	-0.0537584142	-0.2553378518	-0.2118321024	0.007694953	0.0418058293	-0.0312959063	0.0317693408	0.1385418203	-0.0187540922	0.0022491181	0.0688396615	-0.0810190271	0.0345625735	-0.1108590595	0.0115940252	0.0230794842	-0.0093635847	0.0529909751	-0.0528025079	0.0626189664	-0.0022264995	0.1206029629	0.032399207	0.0789166669	-0.0267460127	-0.0517891024	-0.0150448274	0.1428678633	-0.0559527145	-0.062596065	0.0395141727	0.1067319839	-0.0102484426	0.1542416234	0.0075408371	-0.040093106	-0.0335037663	-0.1212303922	-0.0468362849	-0.0400926663	0.0301050222	0.1375250305	0.0083671434	0.0162070489	-0.0710261548	-0.0012140323	0.0890973512	-0.0140048578	-0.0538891547	0.0610540897	-0.0230151658	0.0205146038	0.0690592826	0.0950640852	-0.0151271099	-0.0075174695	-0.0267461126	0.089703036	-0.0954675652	-0.2383794737	0.0151373092	0.2073685197	-0.111203631	0.0736558864	-0.0680999917	-0.0628153253	-0.0623975108	-0.1122428522	0.0037924584	-0.0084120776	-0.0734106518	-0.0295481501	-0.123976043	-0.1013192126	-0.0991984859	0.0116362527	-0.0237092372	0.0873549056	0.003855086	0.031621896	0.0159097497	-0.0337104407	-0.0823463458	0.1132155749	-0.0357731886	-0.0892033035	0.0381124793	-0.1645553487	-0.0509472967	-0.0064207893	-0.0227352379	-0.0297920468	0.0628530647	-0.0988488851	0.0244507677	0.0624528288	-0.0714754916	0.0508732297	0.0649402928	0.1199456476	0.0655345334	0.0004466484	-0.0131043497	-0.0730920004	-0.0021965786	-0.155414633	0.1147429115	-0.0824222704	0.0259423976	0.0380843167	0.0514611034	-0.0764449173	-0.0642178796	-0.0431715454	0.0274545356	0.0987717395	-0.0948307697	0.2930310441	0.1339236845	-0.0093581065	-0.1361600498	0.084451456	-0.0519288531	0.043345931	-0.0757215034	0.0348141255	-0.0421008343	0.0293705942	0.0494951656	-0.0589201507	-0.0262447128	-0.0205360502	0.0364388512	-0.1535958971	0.0544510547	-0.0561620434	0.1711305928	0.0501679476	-0.0474041194	0.0405984029	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0492115	0.0093615	8.763768225000003e-05	0.00242177173225	0.158631	-0.0237779999999999	0.0251637941609999	0.0005653932839999	-0.0253606	0.022608	0.000511121664	0.00064316003236	-0.00254022	0.0007412199999999	6.452717648400001e-06	5.494070883999998e-07	0.00311563	-0.00030826	9.50242276000002e-08	9.7071502969e-06	-0.000476768	0.0001179379999999	1.3909371843999983e-08	2.2730772582400002e-07	0.0	0.0
528.7851345644488	-1.3583211252647516	1.8450362793405009	279613.7185363422	729.7374029442565	-2.264423788162958	532516.6772558282	5.127615092398281	550.7105278564695	-0.9264575391888455	303282.0854919513	0.8583235719198515	565.9842915550535	558.6509015461049	1.147969	25.92639	0.0790769199999999	0.0389061	-0.0267733627	-0.0352975769	-0.0070728766	-0.0129302286	-0.1960987433	0.1451832904	-0.0085530171	0.0396156647	-0.0025612223	-0.0603995391	-0.1877519457	0.0563477303	0.0893003781	0.130069934	-0.0295996648	-0.0333417563	-0.0003074732	0.0088136963	-0.0477381512	0.0969571574	-0.0179870843	-0.0147645996	-0.0116012482	-0.1803450029	-0.1588595736	0.0404474355	-0.0257946421	-0.0801690645	0.0248693752	0.0370779518	0.0487317891	0.067334377	0.0433945848	-0.0073436503	-0.0386672785	-0.0205167273	-0.0434613206	-0.0530012977	0.0744087366	-0.0609831908	0.0525166696	0.0423296583	0.0285104486	-0.1188509676	0.0357272426	0.085382472	0.0150743169	-0.0394966421	0.0159407984	0.0550978505	-0.0205552816	-0.0491711644	-0.0508616659	0.0015662277	0.0557036699	-0.1260053244	0.030307384	-0.0174208109	-0.0222300185	0.0359586037	-0.0218010515	-0.0539226278	-0.016989145	-0.1203431288	0.0129916919	0.028209081	-0.0124807436	-0.0403147971	0.0200581547	0.0596355814	0.0865263726	-0.0223412245	-0.1027004452	0.0036192785	0.0318010578	0.0418487328	0.0575785549	-0.0100746387	-0.0312743175	0.1358527755	-0.1309346076	-0.1655436629	-0.0322587086	0.1888977529	-0.0771725666	-0.0224872404	0.0189717418	-0.0142106378	-0.0900691956	-0.0331142334	-0.0487883477	0.0957475655	0.0548437054	-0.0049936645	0.030557305	0.0495128624	-0.0156457686	-0.0248402065	-0.0270105615	-0.0216495999	-0.0071150642	0.0529425804	0.0736905641	0.0216677348	0.0579578302	0.0068341907	-0.0594740412	-0.0142339911	-0.0100294551	0.0676711311	-0.0116122564	-0.034833993	-0.0206723387	-0.0693490102	-0.0056338404	-0.0612206629	-0.0466249858	0.0128148694	0.1280719157	-0.0440861276	0.0423028683	0.1040295243	0.0267286406	0.022065319	-0.1137822472	0.0253977912	-0.0747007218	-0.0051663593	-0.0288064629	-0.0338744146	0.0245757879	0.1101659007	-0.0779663282	-0.004053741	0.079454457	-0.0438848161	-0.0772101013	0.0271632198	-0.0792045121	0.2386749369	0.0972312843	0.025278667	-0.1230254572	-0.0008764938	-0.099561052	-0.0156390882	0.013031757	0.0687346773	-0.0377953369	-0.0153884413	-0.0201194491	-0.0375936264	0.0719933895	-0.0076686268	-0.0008798224	-0.0692501557	0.0701797613	0.0120762978	0.0181246279	0.1204447762	0.073736242	-0.0271236889	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0431465	0.006065	3.6784225000000015e-05	0.0018616204622499	0.176907	0.018276	0.031296086649	0.000334012176	-0.0111237	0.0142369	0.00020268932161	0.00012373670169	-0.00254022	0.0	6.452717648400001e-06	0.0	0.00275454	-0.0003610899999999	1.3038598809999978e-07	7.587490611600001e-06	-2.78776e-05	0.0004488904	2.0150259121216005e-07	7.7716058176e-10	0.0	0.0
528.45383963164	-0.3312949328087597	0.1097563325047606	279263.4606214231	725.6133636534731	-4.124039290783344	526514.7535125074	17.007700071924784	550.7792358564946	0.0687080000250262	303357.76665066404	0.0047207892674389	565.7672206475464	564.9885668303967	1.181525	26.68424	0.06785747	0.0324078	-0.0571228084	0.1292225176	0.0603016522	-0.0390795507	-0.1990673673	0.0408516861	-0.0612988377	-0.0515691961	-0.0181532455	-0.0507186214	-0.1581118226	-0.1126572986	-0.0687994451	0.0640454302	-0.1500810946	0.0088317532	0.0347669932	0.0404828163	-0.0016824598	-0.0097320519	-0.048286482	-0.0390000347	-0.1231556662	-0.1782040897	-0.1369303157	-0.022502095	-0.0357259269	-0.0676043558	-0.1107911309	-0.0757310578	-0.0279787599	-0.0979889376	0.0542132002	0.0049436756	-0.003691841	0.0066575227	-0.0709513903	0.090038189	0.0455634175	-0.0119675861	0.0302492575	-0.0144972934	-0.0127391166	0.019771936	0.0017282663	0.0071718814	-0.0337761609	0.0405428642	0.0408387584	-0.0593081152	0.0124353951	0.0285294032	0.0064586455	-0.0299170398	0.0521214413	-0.1002288034	-0.0401487241	-0.1036718534	0.0911284669	-0.0898053951	0.0021351353	0.0360980447	0.0074359313	-0.0809264213	0.0086736132	-0.2004436977	0.0561582555	0.0851575525	-0.0163269547	-0.0075197378	-0.1192947104	-0.08241726	-0.1792892008	-0.1088241123	-0.000464703	-0.0266290953	0.1518598968	0.0327431329	0.0471776807	-0.0231548311	-0.0214491997	-0.1891059009	-0.009553797	0.1123424712	0.0247687144	0.1487050225	-0.0842864661	0.0316728211	-0.055097527	0.0497595604	-0.0202596429	0.0396480752	0.0266842224	0.0550854514	0.0172575398	-0.0132408875	-0.0718621416	-0.0647477458	-0.0772120095	0.0667691441	-0.0321238197	-0.0418426566	-0.0096904812	0.0157326664	0.0704008102	0.0062904649	-0.0090463682	0.0489709107	-0.0540186258	0.0584689198	-0.042127529	-0.0654661072	0.055365929	0.0180235464	-0.0490986548	-0.0287120389	0.0349987429	-0.0487715047	0.0572756108	0.0625533631	-0.0879682318	-0.0095314678	-0.0681244868	-0.0319800309	-0.2094301585	-0.0616897445	0.114212966	-0.1407719786	0.1055859709	0.002164913	-0.0129045732	-0.0334614389	-0.046683437	0.0304893699	0.0560284593	0.03288178	-0.084846243	-0.009714933	-0.0882262574	0.2479500455	0.1284684372	-0.0869677828	-0.0115700757	0.040587346	-0.0002408358	0.030308342	-0.0370434079	0.034526891	-0.0115714935	0.0410902934	-0.0134354521	0.0470806374	-0.1302940495	-0.004367398	-0.0235489691	-0.0967745277	0.0212790518	-0.0631397192	0.1114868756	0.0075221654	-0.0340317927	-0.1023897911	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0378371	0.0053093999999999	2.818972835999999e-05	0.0014316461364099	0.182528	0.0056209999999999	0.033316470784	3.1595640999999856e-05	-0.0182995	-0.0071757999999999	5.149210563999999e-05	0.00033487170025	-0.00217783	0.00036239	4.742943508899999e-06	1.3132651210000018e-07	0.00237619	-0.00037835	1.431487225000003e-07	5.646278916099999e-06	-0.000282163	-0.0002542854	6.466106465316e-08	7.961595856899999e-08	0.0	0.0
527.6802164725603	-0.7736231590796478	0.5984927922643741	278446.4108565281	722.245046989035	-3.368316664438112	521637.9079001934	11.345557151931487	549.3003250294423	-1.478910827052232	301730.84707745095	2.187177234372317	564.2202044457146	553.4104539458885	1.176878	26.579281	0.0666193699999999	0.0323225	-0.0450894385	-0.0665439548	0.0951192225	-0.0787365367	-0.0638350132	0.0983980193	-0.1281333023	0.0369108917	-0.0811182447	0.0332570288	-0.0616438016	0.016321004	0.0460618209	0.0313927509	-0.1139042047	-0.0201597289	-0.0473494426	0.1045954372	-0.0192384386	-0.0068671813	0.0344903797	0.0621926638	0.0164785581	-0.1210888422	-0.1353312475	0.0982763007	-0.0564580664	-0.0897817803	-0.0307230003	-0.0928166569	-0.0957031812	-0.0827606727	0.0660997108	0.1204234497	-0.0506915037	0.0615754562	-0.0482347904	-0.0342216336	0.0649531319	-0.1675150418	-0.0843424787	-0.0322335751	0.0845717434	0.0824588729	-0.0320164266	-0.1026473776	0.0411957942	0.0534811987	0.0374262088	-0.0225849486	0.0687860856	0.0231742517	0.0277788869	-0.0267215318	-0.1514211275	0.0149156974	0.0096199484	0.0932375508	-0.0280769609	-0.0620603845	-0.0242590609	-0.1027823899	0.0083778744	-0.0176552734	0.1052996182	0.0860345162	0.0443559308	-0.0088215984	-0.0425397909	-0.096515385	-0.0570663891	0.0466330829	0.0891201117	0.0615557207	-0.0446097451	0.0269675588	-0.0361287357	0.0171398692	0.0407671029	0.0140826284	0.0794977609	-0.097083336	-0.0921602045	0.1134739977	-0.1011104588	0.078775195	-0.03100235	-0.0124370617	0.0273853577	0.0560299857	-0.0621647043	0.0165943549	0.0394766487	0.1552200549	-0.0859640995	0.1347623207	-0.0287949809	-0.0448760015	-0.0705675821	-0.0206601832	0.0834090746	-0.0679994891	-0.0244266081	0.0813383741	0.0364133129	-0.1794753077	-0.0372144655	-0.073929	-0.0788836329	-0.0960421976	-0.0085216774	0.0220346746	-0.050925573	-0.0350388632	-0.0069032064	0.0908748094	0.0122975647	-0.0396048565	-0.0562627738	-0.0756458829	0.0761127776	-0.0325977467	-0.035839272	0.101769154	0.0264104605	-0.0273889948	-0.030422853	-0.042961859	-0.0199547654	0.0835115489	-0.0193882965	0.0756920063	-0.0214869377	-0.0441448492	-0.0874507917	0.0515059813	0.0745507384	0.063437206	-0.0783303627	0.1790297009	0.0926137485	0.0406790597	0.0002318783	-0.0293633543	-0.044141428	-0.0445338659	-0.0148394039	0.0296600321	0.019739507	-0.0205277049	-0.0411128693	0.0316668826	0.0433570552	-0.0280487236	-0.0560609608	0.0729296439	-0.0634363458	-0.0386703992	-0.037395147	0.1001450032	-0.0577394778	0.0406877396	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0219957	0.0158414	0.0002509499539599	0.00048381081849	0.165059	-0.0174689999999999	0.027244473481	0.0003051659609999	-0.0108868	0.0074126999999999	5.494812128999999e-05	0.00011852241424	-0.00220321	-2.5380000000000197e-05	4.8541343041000005e-06	6.441444000000099e-10	0.00213793	-0.0002382599999999	5.6767827599999855e-08	4.5707446849000005e-06	-2.78776e-05	0.0002542854	6.466106465316e-08	7.7716058176e-10	0.0	0.0
527.4705024267688	-0.2097140457915429	0.0439799810022573	278225.1309303479	724.6609445933718	2.4158976043368057	525133.4846189579	5.836561234640317	549.6187178579755	0.3183928285332058	302080.7350198449	0.1013739932613754	564.8903963746375	560.0986152457984	1.157875	26.150099	0.12075199	0.0686754	-0.0586885117	0.1172041609	-0.0188997983	-0.0687788613	-0.0639175469	0.1305297444	-0.111204186	0.0789092397	0.0804080142	-0.0135226462	-0.1165065119	-0.0406572493	0.0581879622	0.0630994756	-0.116051023	-0.0042788389	0.0838693735	0.1506769362	0.0639064935	0.0638754458	-0.0035142933	0.0349748512	0.033040564	-0.1249579016	-0.1860047261	-0.0440311535	-0.0562953858	0.0769334283	-0.026284356	0.0141252816	-0.0376695303	-0.0803976209	-0.076041934	-0.0408240941	0.0195804136	0.0741127475	0.0544840557	-0.0668717075	-0.0292067167	-0.0037836919	-0.0682768898	-0.0015012018	-0.0077615768	-0.0344135653	0.0125516044	-0.13393314	0.0063972291	-0.0350272386	0.0949161982	-0.1328621453	-0.0120630654	0.0007359268	0.1399875397	-0.0449680988	0.0437379243	-0.0326780408	0.0393682251	0.0995766067	0.0598841737	0.0411917065	-0.0738494441	-0.0235579735	-0.0292651938	0.0826935615	0.0805120607	-0.0701450125	0.0179103928	0.1060264037	-0.013915084	0.1398510111	-0.0647333338	-0.0320334786	0.0745794484	-0.0898352903	-0.0943368687	0.023767553	-0.0044658426	0.0335518357	0.101379786	0.0360387424	0.0529226534	-0.1202232195	0.0669521284	0.1568512222	-0.064871488	0.0404823916	-0.0462977708	0.0763928029	0.0195084006	0.1142653182	0.0022910438	-0.0755290842	-0.0452798392	0.0115053916	0.0215781301	-0.0749637752	0.0382331828	-0.0413109337	0.0321110659	-0.091388256	0.0778969176	0.0209814017	-0.0887166714	0.0345850838	-0.0445054415	-0.0760630048	0.0498418706	0.0217212787	-0.0194887648	-0.0007584241	0.161410498	-0.013779971	-0.1276063993	0.0587066893	-0.1513608618	0.0994568402	0.0776039836	-0.0443801436	0.1267353832	0.0642901881	0.0379588763	-0.0774064006	0.0057542919	0.0835730555	0.0200210271	-0.097834137	0.0739616399	0.0129377025	0.082050972	0.115571551	0.0624839182	-0.0471246053	-0.0021739966	-0.027120574	0.0353895569	-0.0224525512	0.0122386344	-0.0313857008	-0.0668392178	0.1010052031	0.0401432237	-0.0640805439	-0.0819039331	0.090677011	-0.0225256053	-0.1128435645	-0.0503392825	0.008402895	-0.0180647797	-0.0821344216	-0.0736776753	0.0199296716	-0.1634141626	0.0947009866	-0.0223691515	0.1998972913	0.0065282091	-0.0111124554	0.0687765687	0.0610712793	-0.1431703669	0.0582964452	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0213277	0.0006679999999999	4.462239999999979e-07	0.00045487078729	0.112931	-0.052128	0.012753410761	0.002717328384	-0.00735831	0.00352849	1.2450241680100004e-05	5.41447260561e-05	-0.00166458	0.00053863	2.7708265764e-06	2.9012227690000025e-07	0.00138801	-0.00074992	5.623800064000001e-07	1.9265717601e-06	-2.78776e-05	0.0	0.0	7.7716058176e-10	0.0	0.0
525.8893441040693	-1.58115832269948	2.5000616414418326	276559.60224220826	722.8516008355396	-1.8093437578322664	522514.43683050224	3.273724834006587	548.7637793977851	-0.8549384601903967	301141.68557894096	0.7309197707127264	563.6117100004601	552.1151968377005	1.14659	25.895248	0.0687996999999999	0.0359356	-0.0463810253	-0.0264766625	0.0710911306	-0.0460803559	-0.0851719486	-0.0316074455	0.062574169	0.0453322363	-0.0613059287	-0.1166383012	-0.0335540901	0.0148449174	0.0292236352	0.1255072032	0.0435959497	0.0160734176	0.0593546827	-0.0183682207	0.0184236653	-0.0225733652	-0.0229114731	0.0880006272	0.0321020796	-0.1145212939	-0.0399992482	0.052110594	-0.0068163211	-0.0154888497	-0.0021111571	-0.0564558567	0.143903525	0.1083224361	-0.0290110989	0.0287469212	0.010821621	0.0440244085	0.0067507773	-0.1494685329	-0.1162736262	-0.098910575	-0.0758019212	0.0046757638	-0.0809377995	0.0570997031	-0.0280654113	-0.0307047964	-0.0486548571	-0.0960861224	-0.0881858154	0.0579246588	-0.0355197015	-0.05939026	-0.0374407494	-0.0575794583	-0.1285982082	-0.0195073364	0.0674743858	-0.0695526438	0.0002230467	0.1709538452	-0.0808380173	0.1298174484	-0.0663329936	0.0279165268	-0.0004344186	-0.085317263	-0.0350468305	0.0401456937	-0.0545124659	-0.0490830492	-0.003889502	-0.0083381712	0.0089506433	-0.0336631573	-0.0594326842	-0.031993649	0.0127864563	-0.0075581427	0.0166035492	-0.0911358881	0.0475499172	-0.1025042299	-0.0812787943	0.0654938995	0.0223162119	0.0194673464	-0.0096112179	0.0112442234	-0.0433805699	0.0160575974	-0.046792906	-0.0353848229	0.0206628485	-0.0021467224	0.0651768773	0.0988132685	0.0763289175	0.1436902304	0.0598370233	-0.0905286274	-0.0626785314	-0.0379354612	-0.0410840988	0.0292369345	-0.0283560161	-0.1851997644	-0.0543532275	-0.0523841517	0.0263708501	0.0268298341	0.0274173734	0.0515874627	-0.1071826181	-0.0380763214	-0.0197244383	-0.1001455797	-0.0211942298	0.073217473	0.0409065422	0.1839807784	-0.0533885888	-0.0601184207	0.1261956257	-0.0066670302	0.0076030161	0.1088856734	0.1022904107	-0.0257062626	-0.1838527193	-0.008216534	-0.0819744165	0.0279930275	0.0063942867	-0.0198242631	-0.1044394153	-0.0159180242	0.1188961491	-0.0725449559	-0.0754240971	0.0917787986	0.0475453865	0.027018298	-0.0189973972	-0.0133679617	-0.0116278239	-0.0739816176	-0.0992922513	-0.0022213794	0.0383736988	-0.0989216954	-0.0147518189	-0.0644007111	-0.188774949	0.0898838099	-0.0738017029	0.1215959211	-0.0671122057	0.0136524197	-0.096789361	0.0210123047	0.1024093506	-0.0008572409	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0322032	-0.0108755	0.00011827650025	0.00103704609024	0.0908036	-0.0221274	0.0082452937729599	0.00048962183076	-0.00484101	0.0025173	6.336799290000001e-06	2.34353778201e-05	-0.00200651	-0.00034193	4.0260823801e-06	1.1691612490000005e-07	0.00171167	0.0003236599999999	1.0475579559999994e-07	2.9298141889e-06	-2.78776e-05	0.0	0.0	7.7716058176e-10	0.0	0.0
