global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
521.2151295461491	n/a	271665.211267809	n/a	747.6286851569478	n/a	n/a	558948.6508695065	524.6467685026045	n/a	n/a	275254.23170022544	559.019270911886	504.0012697625006	n/a	n/a	n/a	n/a	-0.006403623	-0.0637360512	0.0517013564	-0.0370987904	-0.0353261644	0.1437934381	-0.1955363351	-0.0665452947	0.1908383767	-0.0341000882	0.0063213357	-0.0691893897	0.1352658535	-0.0007695296	0.1620458087	-0.0665190326	-0.0444166933	0.0524630041	-0.0281522567	0.1116180481	-0.0081057722	0.0697009907	0.0498941034	-0.0367685195	0.0787367608	-0.1603110104	0.0365045429	-0.0630589498	0.1141237328	-0.0724439648	0.0576157412	0.0611278004	-0.0193707331	0.0648909404	-0.1246931729	0.0114137843	-0.0755736666	0.015738377	-0.1583972206	0.0612700518	-0.027839306	0.1295719864	-0.027186626	0.0297219555	-0.0106086993	0.0100715558	-0.0139464261	0.0272009144	-0.0472947653	0.0031548478	0.0042055922	-0.0124194293	-0.0776683345	0.0075941297	0.1057080997	-0.0187121632	0.0703238482	0.0229169176	0.0139470724	-0.1077796125	-0.0014248963	0.1076949333	-0.03719183	-0.0170726094	-0.0212796066	0.0805213641	-0.219251412	0.0749118409	0.0465291103	-0.0046964374	0.0821951478	-0.0681258816	0.1342993218	-0.0417005046	0.0313610737	-0.0001329102	0.0744152512	-0.0207786596	-0.1370669749	0.0793339449	-0.0051457967	0.1230694923	-0.1376494835	0.1985840336	-0.2125275969	0.0301437351	-0.0526085256	0.076181234	-0.0689336147	0.0385668553	-0.1457421289	0.0411885158	-0.0415396834	0.0608090414	-0.0247029109	0.1049344349	-0.015473781	0.0086724437	-0.0276764614	0.092415883	-0.1750180025	0.1322874811	-0.0417824273	0.0988677721	-0.0098982482	0.0026540792	0.1306389533	-0.0150427007	-0.0277482217	0.0183027069	0.0549546254	-0.0521917265	0.0161943359	0.0828323071	-0.0086675125	-0.0514035329	0.0186781982	-0.0066116614	0.0360021076	0.0196854466	-0.0234735612	0.1515165944	-0.1795306092	0.1604432712	-0.0048775492	0.126699923	-0.1068497421	0.0619914687	-0.0038832721	0.036021713	-0.1029605484	0.0002244381	-0.046212796	0.1236198674	-0.2148998311	0.0613525435	-0.1414323834	0.008089867	-0.0234720382	0.0950788898	-0.0053417645	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.112288	n/a	0.012608594944	n/a	-0.000145006	n/a	2.1026740036e-08	n/a	-0.0633605	n/a	0.00401455296025	n/a	0.000202023	n/a	4.0813292529e-08	n/a	0.00188703	n/a	3.5608822209e-06	n/a	-0.000992125	n/a	n/a	9.84312015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
520.1718275663139	-1.043301979835178	270578.73019367905	1.088479021128002	742.7406120343533	-4.8880731225945055	23.8932588518308	551663.6167651657	524.5181676147578	-0.1286008878466873	0.0165381883549562	275119.30815794313	558.8768687871363	505.3533994943516	1.062441	21.288864	0.094811394	0.0422624	0.030563282	-0.0529802703	-0.0021156447	-0.0383909889	-0.0454311519	0.0361523568	-0.0769624679	-0.0202360778	-0.0130011928	0.0855122278	-0.1693137628	0.0279805827	0.0252623259	-0.0429775158	0.1167825292	-0.0962486319	-0.0416038193	0.0379192633	0.0511299863	0.0685870706	0.0099316659	0.0315563519	0.005525383	0.1195191617	0.0841639692	-0.00638128	-0.0132467298	-0.0284623349	0.0644817154	-0.1460210939	0.0590720964	0.1065826215	0.0467482544	-0.0301679965	-0.1524958927	0.039990952	-0.0208739043	0.0595083612	0.0183300495	0.0176475177	-0.0245256723	0.0002128551	-0.0345351204	0.0614303346	-0.1432018792	-0.018014082	0.036769139	-0.0226996929	-0.0005203894	-0.1154250923	-0.0410137839	-0.0407733694	0.0229784822	0.0280675761	-0.0429004244	-0.0701053951	0.0775976763	-0.0124490247	0.0668351256	-0.0198584306	0.0001078223	-0.0385118257	0.0289760482	-0.0315224343	0.0666631962	0.1092106433	0.0578584181	0.1092147579	0.0077428939	-0.0316595201	0.043157625	-0.0677617163	0.03912401	0.0641196883	-0.138647108	-0.0097762152	-0.0152522027	0.1687623649	-0.0772003455	0.0567591165	0.0683309485	0.1531940243	-0.0603772877	0.047836764	-0.1397641502	0.0496029359	-0.0630678651	0.0173952199	-0.0576985194	0.0248840899	-0.0254175991	-0.0314614934	-0.0098627438	0.0511057115	0.0297182466	-0.0940417965	0.0875805718	0.1106164627	-0.003253758	-0.0237245077	-0.1348839109	-0.0516138389	-0.0218788129	-0.0252795656	-0.0002915061	0.0058943471	0.04191072	-0.0237467157	0.0324686703	-0.1808156903	0.0105676767	0.0365865	-0.0078577085	0.0258368577	-0.0877328999	0.0390303524	-0.026462054	0.0035034308	0.0524534529	0.053713402	-0.0283080044	0.1319176256	-0.1709359626	0.0744963407	-0.0365388747	0.148786273	0.1313094729	-0.0620666933	-0.0275175661	-0.1236480692	-0.091632225	0.0282638944	0.0055808423	-0.0443901822	-0.0089726679	0.0113538648	-0.0678687777	-0.0647371109	-0.0347914634	0.007435644	0.0727969371	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.112312	-2.3999999999996247e-05	0.0126139853439999	5.759999999998199e-10	-0.0182762	-0.018131194	0.00033401948644	0.0003287401958656	-0.0378049	0.0255555999999999	0.00142921046401	0.0006530886913599	0.000470203	0.00026818	2.21090861209e-07	7.192051240000002e-08	0.00143902	-0.00044801	2.0707785604e-06	2.007129601e-07	-0.000686303	0.000305822	9.352709568399999e-08	4.71011807809e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.1033999930916	-1.0684275732223796	269468.3398843876	1.141537479221863	739.5514229936525	-3.1891890407007395	10.170926737325702	546936.3072519364	523.2498642279623	-1.2683033867954236	1.608593480956742	273790.420414581	556.438163474311	498.4696264389843	1.099533	22.032099	0.1908858	0.110311	0.0327664933	-0.0077454268	0.0542530056	0.0982463668	-0.0694782001	-0.0118745223	-0.0354213243	0.0243025231	-0.0536440611	-0.1104185553	-0.0609580409	0.0571325942	0.042860902	0.0369578648	-0.0152026159	-0.1200589935	-0.0112503388	-0.0702525288	0.0759969251	0.0091162757	-0.0349019796	-0.0214659699	-0.0541927211	-0.0408502415	0.0929754785	-0.0062342604	0.0010611884	0.0533785149	0.0585008806	-0.1439153842	-0.0548724996	0.0844817225	0.0904922871	0.194770557	0.0951743198	0.04707401	-0.0545435322	-0.0763811733	-0.0291606575	-0.0127353645	0.0405064333	-0.1261369837	0.0057932353	0.0668374801	0.015829747	0.1166250811	0.0794360982	0.1234334999	0.0153268964	0.0258754545	-0.0376440836	-0.0563358068	0.0995068888	0.0485702123	-0.0497332674	0.0015831459	0.0442581079	-0.0194745682	-0.1730724196	0.009118079	-0.0663076348	-0.0038603657	-0.0970750868	0.1617443659	-0.0525515568	-0.0045599722	-0.0578000742	-0.0095161179	-0.1387009941	-0.0128820523	0.0389453484	0.0659456954	-0.0688253881	0.0170005485	0.0458420909	0.1156828307	-0.0049308878	0.0713475919	-0.0434550815	0.0061349312	0.0374528717	0.1128386011	-0.026057892	0.0644829411	-0.0780029686	0.0123576436	-0.0147880733	-0.0595294422	-0.0438478247	-0.1375104784	0.0255810262	-0.1274254102	0.0007275419	0.0499699463	-0.0394838696	0.0426327542	-0.0004611707	-0.1592173946	0.0993906786	-0.0468223828	-0.0314134728	-0.0384471792	-0.0652949225	-0.0601561603	0.0255506284	0.0809781958	-0.0895134229	-0.0807222771	0.0615181706	-0.0426831195	0.0497910056	0.0110784191	0.0806104537	-0.0994580489	0.0131849923	0.0487243256	-0.066695333	0.0391497918	0.0616191609	-0.092003606	-0.013915018	0.1318876071	-0.2062221182	0.0751285456	-0.0376193145	0.0199682335	0.0497717753	0.0020509623	-0.1162734768	-0.1210670588	-0.0934295259	-0.0613367313	-0.0159341154	-0.0145573572	-0.054757153	0.0072417041	-0.0380824489	-0.0816922659	-0.0005888571	0.0254677202	0.0219030677	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.112289	2.2999999999995246e-05	0.012608819521	5.289999999997812e-10	-0.0761542	-0.057878	0.00579946217764	0.003349862884	-0.121975	-0.0841701	0.014877900625	0.0070846057340099	0.00108151	0.000611307	1.1696638801e-06	3.73696248249e-07	0.00163667	0.0001976499999999	2.6786886889e-06	3.906552249999998e-08	-0.000518966	0.0001673369999999	2.8001671568999977e-08	2.693257091560001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
518.0050140108781	-1.0983859822134718	268329.19454041	1.2064517659230534	738.2858091553541	-1.2656138382984636	1.6017783876925695	545065.9360001759	523.1889573366095	-0.060906891352829	0.0037096494142653	273726.68507896864	556.1562886005628	496.20511440523165	1.180247	23.649426	0.19441978	0.109268	0.0205325452	0.1087946216	-0.1176731615	0.0427466511	0.0329357925	0.0115754396	0.055940002	-0.0849538204	0.1044263676	-0.0151137675	0.0700825108	-0.0137072481	0.1029832793	0.06900808	0.0470242032	-0.012484055	0.0424700175	-0.0327945764	-0.0835892618	-0.0154619709	0.0399699969	0.011712314	-0.0712028433	-0.0583327969	-0.0303823947	-0.0675620815	-0.0193781491	-0.0011577778	0.2310524541	-0.0498034508	-0.0454650375	0.1203398212	0.0261031468	0.0558764111	-0.0267338119	0.0222046726	0.0876558092	-0.0483422742	-0.0012289014	-0.031722121	-0.0001397884	-0.0125724586	0.1143487562	0.0577586333	-0.0244450516	-0.0094343005	0.0434230696	-0.0624934047	0.0528927383	-0.0215807601	0.0563220123	0.0381240707	-0.0529404501	0.0952560973	-0.0245519288	-0.0480237846	-0.0520512077	-0.0178132214	0.0373008494	0.0531214125	0.0504192779	-0.1480037728	-0.0007926638	-0.069188691	-0.1429113614	0.0509434496	-0.0759032928	-0.0399196323	0.1525169397	0.0140502315	-0.0846131633	0.0132035081	0.0245931117	-0.0250778215	0.0846799311	-0.0058591497	0.0192188921	-0.058398087	0.0176185124	0.0103130234	-0.0388789066	0.0734480891	-0.0600915644	0.0690095019	-0.1885836018	0.0588993729	-0.0132752119	0.0256443369	-0.0495940748	-0.0524126523	0.1072727459	-0.1102290997	-0.1140115551	0.1045493509	0.0387950936	-0.0047190905	0.0486110248	-0.0251071505	-0.1458356416	0.0828535542	0.0938248916	-0.0290552009	-0.0193817967	0.0983244778	-0.0936030904	-0.0582133176	0.0647394039	-0.0563335127	0.0990221588	0.073440693	-0.1147635423	-0.0124046441	-0.0808737715	-0.0892767924	0.0534873792	0.0634879093	-0.0448061455	0.017197401	-0.1221582192	0.0019416173	0.0155903847	0.1076060525	-0.1859137465	0.0546003472	-0.0748743359	0.0479240517	-0.0764036577	-0.0216223024	-0.1082754821	-0.044739596	-0.0968628319	0.0837912125	0.0145379606	-0.0166930853	-0.0372115434	0.1288326413	0.1435372711	0.0357578026	-0.04941487	-0.0178285271	0.0401972778	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0941957	0.0180933	0.0088728298984899	0.00032736750489	-0.00289477	0.07325943	8.3796933529e-06	0.0053669440839249	-0.0466914	0.0752836	0.00218008683396	0.00566762042896	0.000769303	-0.0003122069999999	5.918271058090001e-07	9.747321084899995e-08	0.00185538	0.00021871	3.4424349444e-06	4.78340641e-08	-0.000543718	-2.4751999999999955e-05	6.126615039999977e-10	2.95629263524e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.3864836325569	1.3814696216787752	269762.31938019226	1.9084583156212984	738.034264705809	-0.2515444495450083	0.0632746100969012	544694.5758798443	524.177631991593	0.9886746549834696	0.977477573406683	274762.1898803139	557.3364823958316	501.3913988854381	1.279855	25.645351	0.16870082	0.0878253999999999	-0.0036746925	-0.0506804569	-0.0457022062	-0.1378878055	0.0385712416	-0.0557518658	-0.0334718696	0.0218687615	-0.0110467303	0.0664968102	0.0157391733	-0.0725173219	0.0081017921	-0.0421436784	-0.0954163142	0.0120429101	0.0240162882	0.0513758484	-0.0330727166	0.0682479323	0.0923053268	0.0134115548	0.0301876914	0.0100448823	-0.0201204863	-0.0059036833	-0.025330503	0.1275154671	0.1370437104	-0.0417296888	-0.0512160558	-0.0331937277	-0.1201676609	-0.0253450129	0.0418487299	0.1140976429	0.0729621739	-0.037248224	0.1524593039	0.0689712855	-0.0856136284	-0.0199261642	-0.0306113346	0.1447029656	0.0780162653	-0.0440950078	-0.1519091691	0.0407867805	-0.0663659233	-0.1690326018	0.0797859733	-0.1140398487	-0.0444271022	0.0014566846	0.0008975527	-0.0695569151	0.0692194405	-0.1469920251	-0.0301910104	-0.1433383503	0.0198430564	-0.011416539	0.0288868113	0.0009561736	0.1479107327	0.0239157474	0.0965376632	-0.0283733309	0.0436743613	0.0368014598	0.0298092074	-0.0105532633	0.0903696657	0.0345548117	0.0257357096	-0.036762396	0.0336274896	-0.0045031406	0.0935952507	-0.0043653859	0.0073448082	0.156680437	-0.0283627462	-0.0445474271	0.0014622368	0.1141197667	-0.0892652887	0.1214387994	0.1290689425	-0.0052487557	0.0547924439	-0.0091206207	-0.0851525071	0.1608537719	0.0716856481	0.0121050154	-0.1388646924	0.0974828685	0.102793917	-0.041934624	0.0099714081	-0.026548539	0.1154081043	-0.1267552169	0.0083312117	0.0430894396	0.0058287214	0.0527511291	-0.1003905579	-0.1088819149	-0.0545894991	0.0682146366	-0.0227343564	0.0935746003	0.0027045691	0.0020108696	0.0366370244	-0.0257017305	-0.0158303888	0.118658099	-0.0458363995	0.0835795481	-0.0964750376	0.0889879382	-0.0721743077	0.144042075	-0.0478429309	-0.0627359447	0.0260411167	0.024705016	-0.0677952228	0.0522133621	-0.0640255494	0.0708938581	0.0124535223	0.0704585832	0.044346357	0.1068061566	0.0469798201	0.0147655558	-0.0912418573	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0923932	0.0018024999999999	0.0085365034062399	3.2490062499999947e-06	0.0356731	0.03856787	0.0012725700636099	0.0014874805963368	-0.00346475	0.04322665	1.20044925625e-05	0.0018685432702224	-0.000361609	-0.001130912	1.30761068881e-07	1.278961951744e-06	0.00143902	-0.0004163599999999	2.0707785604e-06	1.7335564959999997e-07	-0.000388914	0.0001548039999999	2.3964278415999997e-08	1.5125409939600005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
520.3730521348766	0.9865685023197556	270788.113388167	0.9733174097694458	738.0233041633453	-0.0109605424637493	0.0001201334910996	544678.3974881817	524.637266555407	0.4596345638140064	0.211263932252492	275244.2614587292	557.6840614445156	494.58821634388966	1.261362	25.274784	0.18037201	0.110392	0.0184127904	-0.0639837511	0.1148974941	-0.042457145	-0.0569738456	-0.0148724586	-0.0411049223	0.0763052693	-0.0349488124	-0.0232943689	-0.0707233367	0.070755032	-0.0735775545	-0.0021295351	0.045199865	-0.0163603143	-0.0242228189	0.0487085926	-0.0228873428	0.1205602025	-0.0656482326	0.006654755	0.0329814321	0.0823831956	0.0077675346	0.0721834079	-0.061785826	0.0950307328	0.0256857451	-0.0374715459	-0.1109840623	-0.053950661	-0.0015894059	-0.0300218029	0.0572202993	0.0964590062	-0.0264290732	0.0115421771	0.1316468951	0.2068024797	0.0937543143	0.1818475936	-0.1262677352	0.013687982	-0.0096794596	0.0466205424	-0.0093573785	0.0317060544	-0.060133021	0.0406372194	0.0906847173	0.0164008774	0.0961019835	-0.1063362947	-0.0416490984	-0.0115419986	-0.0405338172	-0.091438387	-0.0851813944	-0.0668411268	-0.0630649496	0.0224342849	0.0791794858	-0.02325582	0.054543334	-0.0593679487	-0.0845367574	-0.0655725388	-0.0106008831	-0.0214797187	0.0767020822	-0.0089932244	0.0342221081	-0.0362043043	-0.1099023637	0.0683385206	0.0062170113	0.0397124502	-0.0073681165	-0.074243031	-0.0437000797	0.1264535628	0.0448490359	-0.0773824456	0.1664016218	0.0204113344	-0.1389197437	-0.0356844937	0.0475776888	-0.132273227	-3.5892e-05	-0.0795550365	0.0515905721	-0.0270605032	-0.1215301605	0.0707864381	0.0339146845	0.0928710006	0.175674878	-0.0772046164	-0.0257405559	-0.0404667938	0.0134169534	-0.0050330771	-0.1022780538	-0.0597507902	0.1716232558	-0.1028959561	0.0410158299	-0.0150819025	0.1028876151	0.08189195	0.0731975185	0.0029389369	0.0657129886	-0.0935767595	-0.0386937689	0.0115058128	0.0931027811	-0.0005011446	-0.043113141	0.0806737166	-0.0679525351	0.0462180678	-0.0468795616	0.1151942144	0.1287674912	-0.0286069135	-0.0028331096	-0.0807195255	-0.0169766296	-0.0302794628	-0.0519267745	0.0123325742	0.0650615671	-0.0721871953	-0.0310597173	-0.0745734594	-0.005948466	0.0035861264	0.0412450473	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.090192	0.0022012	0.008134596864	4.845281440000001e-06	-0.0394668	-0.0751399	0.00155762830224	0.00564600457201	-0.0809008999999999	-0.0774361499999999	0.0065449556208099	0.0059963573268224	-0.000140438	0.000221171	1.9722831844e-08	4.8916611241e-08	0.00143902	0.0	2.0707785604e-06	0.0	-9.81898e-05	0.0002907242	8.452056046564003e-08	9.64123682404e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.1349272760159	-1.238124858860715	269501.0727178743	1.5329531661288651	739.077927559215	1.0546233958697258	1.1122305071157923	546236.1830052243	524.0725794076704	-0.5646871477365494	0.3188715748188395	274652.06848700903	556.8493616716609	495.476095873408	1.033606	20.711081	0.1667513	0.0794122	0.034072317	0.0471141245	0.0719121545	0.0482789945	0.0047827563	-0.018352682	0.0220784163	-0.0166948441	0.0250157532	-0.0268301348	-0.0524512742	0.0099268059	0.0165721397	0.127908966	0.027411883	-0.0267715996	-0.0515321423	0.0204333131	-0.0985984326	0.0234033059	-0.0333888462	-0.053008182	-0.0462924131	-0.1343326957	0.0504174335	-0.0425942367	-0.0907421956	-0.0640479608	0.1115278584	0.0461432707	-0.1420790651	0.0136934191	0.0653148397	0.0338546369	-0.0335799576	-0.0508805197	-0.0134540206	-0.0848057072	0.0466404606	0.0399272395	-0.0319812457	-0.0658042745	0.0096377294	0.0845807758	-0.007861635	0.0326119503	-0.1676303711	-0.1542753146	-0.0770569109	0.0502128637	-0.1165084667	0.0696941886	0.0389114821	-0.0378698459	-0.0511071015	0.0827323854	-0.0628774128	0.0853106727	-0.0322477252	0.1165560987	-0.032587454	-0.0063789263	0.0111601531	0.0304665022	-0.1154591022	-0.0380534836	0.0447907731	0.0673040722	-0.0967578478	-0.0318434998	-0.0337870471	-0.0195502768	0.0311312502	-0.0562117139	0.0804958192	0.1245986392	-0.0512860658	0.0003317135	-0.038035147	-0.0314142403	-0.075252514	0.0488788919	0.1016179515	0.0796524066	-0.0249009816	-0.0462670114	-0.042822655	-0.0367291884	-0.0147379956	-0.0605993764	0.0705745541	-0.0355822887	-0.1313692967	-0.0419731846	0.0814781946	-0.127138559	0.0376642036	-0.1552061524	-0.0085104984	0.0229079324	0.0855632239	0.0496209251	0.029322245	-0.086036684	0.0197303494	-0.1136924326	0.1727863362	-0.0160555366	-0.0298452853	0.0598451595	-0.0680168439	0.1313683393	0.0332637701	-0.0169691858	-0.0565028121	-0.0418739557	-0.0959192123	0.04485307	0.0051874871	-0.1120563821	-0.0211318749	0.055703697	-0.0747672923	0.0461315507	-0.0192008605	-0.0053754573	0.0638292857	0.0425714934	-0.1402353174	-0.0805225607	-0.0543096282	-0.0260857392	0.0443660204	-0.0692572617	0.0026834654	0.0538020173	0.0224609648	-0.0782486565	-0.0128301608	-0.014692864	0.0761835947	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0673116	0.0228803999999999	0.0045308514945599	0.0005235127041599	-0.0904787	-0.0510118999999999	0.0081863951536899	0.0026022139416099	-0.110645	-0.0297441	0.0122423160249999	0.00088471148481	0.000553738	0.000694176	3.06625772644e-07	4.81880318976e-07	0.000870898	-0.000568122	7.584633264040001e-07	3.22762606884e-07	-9.81898e-05	0.0	0.0	9.64123682404e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.5230074167481	0.3880801407321996	269904.1552353425	0.1506061956307239	736.8971084251867	-2.1808191340282974	4.755972095343933	543017.3484054015	524.5489456611148	0.4763662534443256	0.2269248074205834	275151.5963941872	557.2446378502223	499.23942865507394	1.297209	25.993069	0.28221036	0.160801	0.0276832611	0.0297760555	-0.1719882496	0.0158842619	0.0423097493	0.0128266371	0.0384427362	-0.017408704	0.1149082024	0.0399228688	0.1159279371	-0.0498224053	0.086263062	0.0837609597	0.0374282196	-0.0656376504	-0.0586895434	0.07377642	-0.0964048918	0.04417497	0.112013677	0.0029916269	0.0347346868	-0.1055522554	-0.015835664	-0.1050425133	-0.0134218187	-0.0304794544	0.0384258707	0.0631744916	0.0895226541	-0.127915859	-0.0929843092	0.1393656364	-0.0885245548	0.07409942	-0.0402395219	-5.52605e-05	0.0908233236	0.0480405334	-0.0061235886	0.0423601672	0.046606161	0.0722152035	0.0544873475	0.0768495539	0.0292205158	0.072860194	0.1239264884	0.098750525	-0.0293901891	0.002626157	0.0170071631	-0.0095126446	-0.1557993224	0.0964306491	0.1041419196	-0.0159754488	-0.0001988891	0.1266790494	-0.0910276333	0.1758604965	-0.0706195607	-0.0623180358	-0.0066838886	-0.1645339141	0.0642780295	-0.0286597344	0.0572641159	-0.0114737287	-0.0144660858	-0.0688147074	0.0914154193	-0.0449260036	0.1648024993	-0.0834973264	-0.014691553	-0.0904009262	0.0186853452	0.0480417651	-0.0029058382	0.1141310191	0.0107414145	0.0959170695	0.0183496722	-0.0493762437	-0.0421446225	0.0742298705	-0.0408685056	0.0282980509	0.0904019848	0.0694236638	-0.0940714696	0.0576675312	-0.0331026285	-0.1562458277	0.1022090643	-0.0690328856	0.0567457562	-0.0379823305	-0.00170566	0.0044568234	-0.1590719881	0.0384886487	0.1104865983	-0.0597448273	-0.1316013766	-0.1677298043	-0.0129516405	0.0700666582	0.0723877785	-0.0447415598	-0.0091089482	-0.0043148992	-0.0891936335	-0.0723556673	0.1399033772	0.0043077222	-0.0834666636	0.0813262368	-0.0172380118	0.03897582	-0.0708864366	0.0865370338	-0.0117225607	0.0402543424	-0.1027189594	0.0024191669	-0.0723048402	-0.0381850987	0.018258233	0.0898396893	0.0763076727	0.0077996404	0.0436676132	0.092582906	0.0477861169	0.0677271596	-0.0508004214	-0.0247385762	-0.0579072366	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0672854	2.6200000000004e-05	0.0045273250531599	6.864400000002093e-10	0.0267229	0.1172015999999999	0.00071411338441	0.0137362150425599	-0.0118391	0.0988058999999999	0.00014016428881	0.0097626058748099	-0.000119843	-0.000673581	1.4362344649e-08	4.537113635610001e-07	0.00111305	0.0002421519999999	1.2388803025e-06	5.8637591103999967e-08	-0.00050599	-0.0004078002	1.6630100312004e-07	2.560258801e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
