global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
560.5376236143475	n/a	314202.42748721986	n/a	808.5436801974041	n/a	653742.8827871621	n/a	581.5604115795002	n/a	n/a	338212.51231651765	604.2300401430778	582.2433935499255	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0283427	n/a	n/a	0.0008033086432899	-0.044805	n/a	0.002007488025	n/a	-0.034877	n/a	n/a	0.001216405129	0.000307036	n/a	n/a	9.4271105296e-08	0.00036505	n/a	n/a	1.3326150250000001e-07	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
557.7313105366912	-2.8063130776562275	311064.2147529751	7.875393089824367	799.6752567624984	-8.868423434905708	639480.5162781677	78.64893422078475	581.1189552113731	-0.441456368127092	0.1948837249599625	337699.24010595784	602.9342924095869	574.4056243042608	1.107135	17.584747	0.1335851499999999	0.0706512	-0.048772859	-0.0863975793	-0.0825264456	-0.1064634674	0.0360171928	-0.0386522828	0.0204483421	-0.0805074711	0.1304588025	-0.0322783781	0.1536137427	-0.1533954223	-0.0194532294	0.1699568012	-0.0010108822	0.0305765492	-0.1507681295	0.0510633233	-0.0105568459	0.036602691	-0.0497063138	0.0667767966	-0.0013695124	0.0773006471	-0.0980813567	0.0287488777	-0.0201433877	0.1186271288	-0.0598961525	0.0707405838	-0.1215847359	0.0289886191	-0.0176131104	0.0977785832	-0.1335724139	0.0699721803	-0.0584318713	0.0230898377	-0.0357429527	0.0782639236	-0.0679098117	0.0824518594	-0.0052622995	0.1220181862	-0.001763564	-0.0695212071	0.0782647886	-0.0698216455	0.0865119327	-0.0366450103	-0.0291868954	0.0184278973	0.0531188159	-0.0060508825	-0.0966751826	0.0472150158	0.060318901	-0.0905745374	0.0226401597	0.0363564562	0.0685980708	-0.0558393004	0.0410748523	-0.0071175502	-0.0554138869	-0.0108046702	0.0969721788	-0.0219947677	-0.0037381575	-0.0599717435	0.0272577873	0.0962154116	-0.0073242301	-0.0010062692	-0.0856416278	-0.0855724015	0.0060841973	0.0792080317	-0.0279476082	0.051068406	-0.0507243155	0.0528011427	-0.1174747161	0.017611567	-0.0207031762	0.0602170519	-0.0014416421	0.059515804	-0.004885276	0.097449621	-0.2609140912	0.0115160057	-0.0560311348	0.0109360554	-0.093346133	0.0407534595	-0.0790410546	0.0026623833	-0.0290439111	0.033551917	-0.1389107893	0.0863963978	-0.0396366722	0.0295430729	-0.1759756842	0.0384730269	-0.0547994448	0.0531507897	0.007872489	-0.0311729179	-0.0242581289	0.0745779899	0.0192267519	-0.0568422003	0.0654566455	0.060486118	-0.0259556922	-0.0360349398	-0.045895727	0.0670814679	-0.0165101128	-0.0069195149	-0.0734906715	0.0046586246	0.0424333218	-0.1009604386	-0.0410916643	-0.0592472427	0.0713212958	-0.0413099741	0.0090000874	-0.0460445244	0.0124799342	-0.1107391635	0.0594794077	-0.0814718715	0.1429902877	-0.0301183591	0.0418984652	-0.1144298973	0.0742001194	-0.0609744833	-0.0197719257	0.0030572201	-0.2253908991	0.0938526362	-0.0388635529	0.2141637985	-0.0556782132	0.0588114256	-0.079908837	0.0167492896	-0.06883724	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	0.0106516	-0.0176910999999999	0.0003129750192099	0.00011345658256	-0.0150872	0.0297177999999999	0.00022762360384	0.0008831476368399	0.0187114	0.0535883999999999	0.0028717166145599	0.0003501164899599	-0.000110602	-0.000417638	1.74421499044e-07	1.2232802403999998e-08	0.000599169	0.0002341189999999	5.481170616099999e-08	3.59003490561e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
557.1820401367783	-0.5492703999129844	310451.8258509824	0.3016979722205698	798.1377252003489	-1.537531562149525	637023.8283879877	2.3640033046059576	581.7949741693747	0.6760189580015776	0.4570016315775387	338485.3919687433	602.818175505189	573.3170329782246	1.077715	17.117464	0.03331157	0.0229415	-0.114212866	-0.0102167716	-0.0133193882	0.0178467232	0.0811170626	-0.1217857766	0.0315961609	0.1147164475	0.0742604559	-0.0480063652	0.0254278668	-0.0319573811	-0.0514951341	0.1702074396	-0.0157301549	-0.0203702365	-0.1362296765	-0.0796224515	0.0015255449	-0.0326774988	-0.1196151629	-0.0119082258	0.0389823627	0.0194669144	-0.0742587791	0.1321488355	-0.0193581845	0.1584605647	-0.1353772177	-0.0004230041	-0.0037766218	-0.0627827635	-0.0734932109	0.0218727177	-0.1156425786	-0.0774341408	0.1105580393	0.0290599104	0.1273041898	0.122497385	0.0609050145	-0.0582303564	0.0561201646	0.1099167685	-0.0540751075	0.012726775	-0.1119306181	0.1135966248	0.066993919	-0.1121031676	0.0882155597	0.0660220934	-0.0072960682	-0.1028461973	-0.1195004905	-0.0515465411	-0.1513478207	-0.0982603484	-0.0239342149	-0.1309211064	-0.0311856129	-0.0060385248	0.0307420673	-0.11883589	-0.0312816269	0.0404155554	0.039533726	-0.0473059336	0.0685116244	0.0180092263	0.0210386522	0.0369858442	-0.0100625823	0.0941166482	0.100543584	-0.0210142735	0.0889144174	0.1141951917	-0.0289178467	-0.0554525315	-0.0197557073	-0.0543208629	-0.0614425915	-0.0383511549	0.0776043784	0.09332988	-0.0055462663	0.221760128	0.0398552013	0.1298987292	-0.073157365	0.0021416763	-0.201038143	-0.1029130582	-0.1421307227	0.1109552653	0.0057534818	0.1134719411	0.1440859197	0.0320075243	0.0401081351	0.1249599471	0.0200318953	0.1059688144	0.0322776471	0.0415230907	-0.0623204805	-0.1090566369	-0.1106831312	-0.042549897	-0.0111561943	0.0206478322	-0.0898971059	0.0060926133	-0.1038854313	0.0023862547	-0.0322394264	0.0243108575	-0.0157687366	-0.0062772377	0.0680172048	-0.0542752897	-0.0212547664	0.1059689421	0.0207420074	-0.0913864066	0.031195377	0.069357404	0.0967326013	-0.0532497904	-0.0326272061	-0.045174877	0.1013768443	0.0309107825	0.0622519578	-0.011605202	0.0725791622	0.060470277	0.1104647972	-0.1260785306	0.1390307605	-0.1387868547	-0.0230948524	-0.0298609761	-0.2968494981	0.2300742486	-0.0761213652	0.0679972263	-0.0194338149	0.023807761	-0.0515539557	-0.003629378	-0.0548787489	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	0.0115154	0.0008637999999999	7.461504399999994e-07	0.00013260443716	-0.0144865	0.0006007	0.0002098586822499	3.608404900000011e-07	0.0200156	0.0013042	1.700937640000005e-06	0.00040062424336	-0.000532666	-0.000422064	1.7813802009599998e-07	2.83733067556e-07	0.000499319	-9.984999999999996e-05	9.970022499999992e-09	2.4931946376100005e-07	8.89434e-05	8.89434e-05	7.910928403560001e-09	7.910928403560001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.8383276535228	-0.3437124832554445	310068.923143972	0.1181382711456242	796.9269942433262	-1.2107309570226334	635092.6341537025	1.465869450292942	581.5050739562563	-0.2899002131183579	0.0840421335660693	338148.15103687113	603.3043459431802	568.7897999284861	1.066453	16.938599	0.10009414	0.0501781	-0.0423921436	0.0738310752	0.1112544883	0.0808472471	0.0438983825	-0.0343295317	-0.0528110401	0.0389662377	-0.0886117513	0.0629304832	0.0356911812	0.0626582735	-0.0733780489	0.0318597347	-0.0655004817	0.1563329104	-0.0370647551	0.0167635162	0.0063855502	-0.1015234175	-0.068260316	0.0120143468	0.0610636266	-0.003738811	-0.0198233814	0.001484717	-0.0903076907	0.0752489424	0.025328262	-0.0066940354	0.1452507354	-0.0813398369	0.0368333679	0.019513653	0.0050315904	0.0002924217	-0.0202230298	-0.0679511408	0.0261317553	0.0932993646	-0.0447860461	0.0476338213	0.0255422694	0.0983003403	-0.0510894668	0.0742414303	-0.0345132592	0.0279518906	0.0469979203	0.0646713351	0.0689118598	0.1323189798	-0.0054015064	0.0215290657	-0.1091617472	-0.1162933217	-0.0840484601	-0.0647835434	-0.0796653469	-0.0292026386	0.0025414434	-0.0072146818	0.0005902511	0.0723553543	0.1073397724	0.0340454535	0.1507456359	0.0157973995	0.0621628244	0.0619546089	-0.0122403532	-0.0612841717	0.06072367	0.060517291	0.1166786833	0.0582662423	0.0867832422	0.0139831241	0.0617475951	-0.0264607974	-0.0012914172	-0.1061034285	0.0135207786	0.0618302311	0.0552065081	0.0569113119	-0.022002924	0.0428322804	0.1200181165	0.113225729	0.0160934094	-0.1055202597	-0.1619478041	0.0249935452	-0.0633680504	0.1274627363	-0.002245152	0.0810857654	0.0330080147	0.0087922297	-0.1039699084	0.0575063819	0.0958576512	0.0101475325	0.0360475676	0.0357748001	0.0175796087	-0.0376163787	0.0458396924	-0.012897893	-0.1011660908	-0.0222447683	-0.1204325988	-0.0415446079	0.047145839	-0.0346464418	0.1779314203	-0.1185784779	-0.0111456688	0.042202304	-0.0913648274	-0.0397385264	0.0667157987	0.1449311195	-0.0198929519	-0.0086315278	0.0333426782	0.0179704626	-0.0645644052	-0.0736749153	0.082817141	-0.0726109199	0.0167386155	-0.0041015732	0.0322579951	-0.053404155	0.1244788219	0.0563589864	0.0020529005	-0.0851553478	-0.0514657436	0.0084651111	0.0609000059	-0.0092839144	-0.2137625574	0.1708377873	-0.0093411253	0.1043172241	-0.0914798052	0.0907348888	0.0160590521	-0.0434555071	0.035528497	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	0.011088	-0.0004273999999999	1.826707599999997e-07	0.000122943744	0.00527527	0.0197617699999999	2.7828473572900003e-05	0.0003905275535328	0.0456227	0.0256071	0.00065572357041	0.00208143075529	0.000234947	0.000767613	5.89229717769e-07	5.5200092809e-08	0.000269918	-0.000229401	5.2624818801000007e-08	7.285572672400002e-08	0.0	-8.89434e-05	0.0	7.910928403560001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.6809425717348	-0.1573850817879929	309893.6718225552	0.0247700639694132	793.7153493197014	-3.211644923624817	629984.0557456957	10.314663115445056	580.9041389619726	-0.6009349942836479	0.3611228673546879	337449.6186631508	602.1615023790911	567.3760202598052	0.997125	15.837446	0.105382695	0.057592	0.0368938936	0.102613392	0.0035819431	0.1195830602	-0.0130028061	0.0301224901	0.0827343451	-0.0167518535	0.0253616827	0.0749974747	0.0233186811	0.0559168484	-0.0119820896	-0.079576699	-0.0058521589	-0.0371232753	0.0426035626	-0.0032071396	-0.0175015418	-0.062197739	0.0386530798	-0.0188942645	0.0078911041	-0.039794831	0.0399843037	0.1181085047	-0.0855962097	-0.1188612626	0.1555486645	0.0014304235	0.1470291756	-0.0131717238	0.0677307452	0.015316286	0.0534397264	-0.047255672	-0.1286325265	0.0580366889	0.050273342	-0.0073408649	0.0810677735	0.1595395203	0.0943693452	0.0665061582	0.0597046668	-0.0658690209	-0.0791536759	-0.1048447533	-0.0596919443	0.022874847	-0.0852055281	0.0783749378	0.060128201	0.026603524	-0.065461269	0.0295158212	-0.0611937462	-0.0011967919	-0.0431895833	0.0118073122	-0.0694242889	-0.0271665585	0.09668568	-0.1735946967	-0.061682681	0.0297656652	-0.0991665238	0.0582227738	-0.0105292247	-0.1641889951	-0.0864213756	-0.0493807002	-0.1133136379	-0.0834027291	-0.0651783582	0.0953667811	0.0221518141	-0.0512706252	-0.0455960152	0.103292248	-0.0232114366	-0.013165925	-0.0363973124	-0.0306371559	0.0415644356	-0.0527320299	0.0961808441	0.0883952148	0.0614516388	-0.066508553	0.1937238089	-0.0472364115	0.0016470993	0.1280184849	0.0103005518	0.0920423423	-0.0350000549	0.0765082676	-0.1066704573	0.0359442906	-0.0270505317	0.085975037	0.047050046	0.0324677993	-0.0135662417	-0.0108035088	0.1285774975	0.091927167	0.043681489	0.104668861	-0.1618869264	0.0180182836	-0.1210705996	0.0021722681	0.0690785663	0.1012493363	-0.0142386319	0.0399707479	-0.0687883442	-0.1268325803	-0.0861036158	0.1201678355	0.0264919669	0.028311726	-0.0898869254	-0.0423847433	-0.0079540267	-0.0102428479	-0.1386169963	0.0032769164	0.0449595783	0.0452302068	-0.0057438668	0.1195450725	0.0414854997	0.0101821235	0.1131245823	0.0305803697	-0.029335774	-0.027978341	0.1312769581	-0.0133777552	-0.0258078435	0.0151725155	-0.1129372483	0.1065785855	-0.043022307	0.0666288287	-0.0899774029	0.0645757441	0.0627182209	-0.0093350241	0.1450241005	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	0.00515177	-0.00593623	3.5238826612900006e-05	2.65407341329e-05	-0.0107236	-0.01599887	0.0001149955969599	0.0002559638412768	-0.00753873	-0.05316143	0.0028261376396449	5.6832450012900005e-05	-3.21354e-05	-0.0002670824	7.133300838976e-08	1.0326839331599996e-09	-0.0	-0.000269918	7.285572672400002e-08	0.0	-6.87229e-05	-6.87229e-05	4.722836984410001e-09	4.722836984410001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.8357705198925	0.154827948157731	310066.07533048245	0.023971693530733	798.367490730714	4.652141411012622	637390.6502556568	21.642419708058505	581.1381031778934	0.2339642159207642	0.0547392543314179	337721.4949651999	603.0216792021233	578.5001785565793	1.105654	17.561228	0.046800862	0.0243035	0.1094526314	0.011386865	-0.0513890461	0.0051430381	-0.1214659579	-0.0195668433	-0.0771887916	0.0969657385	0.0316065003	0.0825412285	-0.0910894186	0.0180776186	0.0768755768	-0.0639259499	-0.16158732	0.0245932504	0.0784085881	-0.0788725064	0.0152567395	-0.0269413902	0.0815401436	-0.0433120164	0.0189289432	0.0477191464	0.0278284661	-0.0941151846	-0.0452949819	0.0362379462	0.0554233697	-0.0196269562	-0.1027176527	-0.0845811014	-0.097476428	-0.0815279432	0.0850780712	-0.0152514283	-0.1347702297	0.0389067562	0.0779453371	0.0128955594	-0.0555594164	-0.0693472638	0.0812379745	-0.1124692776	-0.0222199661	-0.0395244672	0.0268435002	0.030486207	-0.0560522987	-0.0367266764	-0.0236699895	0.1810546722	0.0892175937	-0.0208690652	0.0345457526	-0.0847181645	-0.0379421408	-0.0867075031	0.145728543	0.1161440492	0.0030824234	0.0665257566	-0.0014258089	-0.0141542165	-0.0917369895	-0.0355503399	0.0174197854	-0.0370389051	-0.009798341	0.0151361353	-0.0166971047	-0.0072824769	0.1307196305	0.0636545095	-0.1272883476	0.0832079344	-0.0740446559	-0.0193169358	-0.0365652453	-0.0662911689	0.0445786435	0.0305524667	-0.0684327372	-0.0223159746	-0.0731653088	-0.0410720494	-0.015386994	0.0444781514	0.1017567877	0.1000272383	-0.0203992579	-0.0462612696	-0.006354191	0.0424877553	0.1686088887	0.040357965	0.0148609708	0.0262752876	0.1260993332	-0.0334502621	0.0233804209	-0.0243829633	0.116772504	-0.0301631867	-0.0066776316	-0.0461055156	0.0596117728	0.1070141249	-0.0316729182	0.0726888798	-0.0316940852	-0.0491955023	0.0796251708	-0.094915355	-0.082031785	0.0465960459	0.0096789369	0.0606687669	-0.0701707943	0.0549630978	-0.1228375079	0.0886682245	-0.0295213276	-0.0144540352	0.0420326443	0.0913560517	-0.0417422326	0.072842284	0.1068048834	-0.0484898003	0.0666889167	0.0614403381	-0.063498968	-0.0148168336	-0.0157929439	-0.020922147	0.01466252	-0.0168620292	0.1164020221	0.0278508497	0.0098391495	-0.0746909256	0.0018980179	0.0325824263	-0.0726138026	0.0670441332	-0.0225706328	0.0849824804	0.043623598	0.0141688446	-0.0118142359	-0.0423343438	0.0897384188	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	0.0	-0.00515177	2.65407341329e-05	0.0	0.000998797	0.0117223969999999	9.975954472090002e-07	0.0001374145914256	0.00932314	0.01686187	0.0002843226598969	8.692093945960001e-05	-0.000224709	-0.0001925736	3.708459141696e-08	5.0494134681e-08	-0.0	0.0	0.0	0.0	0.0	6.87229e-05	0.0	4.722836984410001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.5209595618508	-0.3148109580417895	309715.57843164314	0.0991059393031893	795.425345932444	-2.9421447982700784	632701.4809517482	8.656216013987681	581.2707507159632	0.1326475380698184	0.0175953693559839	337875.68563789944	603.1016449325551	572.9058862339887	1.011887	16.071911	0.049965037	0.0318205	0.070921135	-0.0641026882	0.0818681814	-0.0788647567	-0.06545029	0.0453936647	0.0677824866	0.0461203107	-0.1395136204	-0.1245274283	-0.091320721	-0.020172472	-0.0300738015	0.018136344	-0.083623255	0.020909671	-0.0494581854	-0.1424974553	0.0305528053	0.0139384772	0.0678897564	0.0101731064	-0.0088022558	0.011553035	0.0419840858	-0.0528930009	0.0798348953	-0.0785835168	0.0069035595	0.1150471623	-0.0273584311	0.0224667592	0.1461998056	0.0027852121	0.0987929337	0.1334240836	-0.093987549	-0.1371398196	-0.0468510181	0.0642458641	0.0314601701	-0.0061608251	0.01743777	-0.0614682471	-0.0242175632	-0.0271843994	-0.0477399794	-0.0397432601	0.0555499806	0.0470594193	-0.0278681713	0.0404801877	-0.0446100753	0.0336401985	0.0013254549	-0.060582971	-0.0612552648	-0.0255090679	-0.0273132772	-0.1067499405	-0.0493696655	-0.0446625502	-0.0581522232	0.1000073234	0.0069577761	-0.0373037845	-0.043298931	-0.0552484649	-0.000947512	-0.1253173816	0.0380991239	-0.0685876833	0.0207424031	0.055101225	0.0184264229	-0.0121638547	-0.1045967764	-0.0262679548	-0.019618174	0.0082993241	0.0068209086	-0.0504288084	0.0061807068	-0.0126164954	-0.0227301629	-0.0870244925	-0.1385701672	-0.0987041545	-0.1372515929	0.0024114124	0.0025981395	0.0718228964	0.0458894777	0.0564154217	0.0339426074	0.0444550526	0.0357137603	-0.0714820434	-0.0061821076	0.0287975184	-0.0051820069	0.154603451	0.0945502631	0.0560067764	-0.0477091669	-0.0223664163	0.0364838429	0.0383402482	-0.0352259093	0.0800959929	-0.0760378939	-0.0237440047	-0.0681514071	-0.0415898938	-0.0049685616	0.0072526213	0.0092043734	0.040702261	-0.0316088366	0.0101014617	0.077352561	-0.0305428786	0.107892203	0.0385216086	0.0980907269	0.1460572099	0.143709071	-0.0260457168	-0.0495520991	0.0246888092	-0.0383699911	0.0969195001	0.0065893798	-0.0163190216	0.0291618461	0.0309793954	0.0305754548	0.0761141941	0.067963227	0.0168958797	-0.002261576	-0.0436931343	0.0372173138	-0.0320924295	-0.0180739491	0.0123616152	-0.0363281728	0.0165000542	-0.0153600136	0.0415108547	-0.0048757901	0.0805025516	-0.1119479154	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	0.0	0.0	0.0	0.0	-0.0107473	-0.011746097	0.0001155044572899	0.0001379707947334	-0.0200509	-0.02937404	0.0008628342259216	0.00040203859081	-0.000401607	-0.000176898	3.1292902404000004e-08	1.61288182449e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.2131149401932	-0.307844621657523	309373.02923147264	0.0947683110834635	794.7101232226318	-0.7152227098122239	631564.1799525305	0.5115435246311406	581.2547382289606	-0.0160124870026265	0.0002563997400092	337857.0707136175	602.6572747627441	569.0021317841745	0.981121	15.583259	0.04482089001	0.0281974	-0.0116027552	-0.0797502123	-0.0014336917	-0.0820128877	0.0180582474	0.0297116654	0.1000641768	-0.1368111585	-0.0139001524	-0.1236662237	0.0373154619	0.0082413766	0.1557279256	0.0757269844	0.1397959401	-0.0062617149	0.0261468537	-0.0142772418	-0.0005712254	0.0316949126	0.0007854375	0.1146840128	0.0537293224	-0.0410752081	-0.0290629618	0.016930828	-0.0170326077	0.164790211	0.0265598271	0.031852692	-0.1323951691	-0.0496405177	0.0281126355	-0.0142213934	0.1513398132	0.1002145131	-0.0366972338	0.0716647534	-0.0948669427	-0.0568740097	0.026893886	0.0651542344	0.1177732599	-0.2017137938	-0.0868690158	0.015908646	-0.0798175228	-0.024781145	0.1463609367	0.0582893658	-0.0069417561	-0.0143402356	-0.2493358969	-0.0237429214	0.0130432693	-0.1101903588	0.0569825464	0.0290253781	0.1000261693	0.0710778656	0.0230999305	0.0043733511	0.0612535685	0.0602297695	-0.1156460925	-0.0343464121	-0.0384373153	0.0428242544	-0.0464174893	0.0312815574	0.046343549	0.0461091923	-0.0287786977	-0.0110478008	0.0119685334	-0.0732498061	-0.0381288758	0.0431751016	-0.0645536776	0.0594455201	-0.0831783408	0.0138047078	-0.0738920021	0.0899733977	-0.0278775754	0.0002717782	-0.0629504993	-0.0416452081	-0.0236877971	-0.0448994813	0.0221052264	0.0721587735	0.0476238576	0.0941458741	0.0518757454	0.0322839848	-0.0155577761	0.1157235338	-0.0119631708	-0.056385444	-0.0760097128	-0.0969975256	-0.0099763452	0.0876196883	-0.1164896568	0.0708468208	0.0883486299	0.0812990004	0.1029118599	-0.0288075657	-0.051873603	0.0190583976	0.0549238208	-0.0518692896	-0.1210765226	-0.1048443107	0.022135944	0.0271131093	-0.0160691827	-0.0136939741	0.2906630363	-0.0184287166	0.026073077	-0.0944492049	-0.0309180983	0.1880214462	0.0486533862	-0.0239137109	0.0133107622	-0.020470108	0.0167872931	0.0061206013	0.049839215	-0.119364865	-0.0224573095	-0.0368112731	0.0313424399	-0.0226054453	-0.0022890261	0.0339068827	0.0583092896	0.0370018909	-0.0089492488	0.0143863754	0.0011190089	0.0323305744	-0.0098178645	0.1320719721	-0.0773963717	0.0512470072	-0.0600504591	-0.0505286866	0.0359970586	0.1022690613	0.1004765409	0.0975122434	0.0934107389	0.0	-3.98701e-06	-3.98701e-06	1.58962487401e-11	1.58962487401e-11	0.0088658	0.0196131	7.860240964e-05	0.00038467369161	-0.000778047	0.019272853	0.0003714428627596	6.053571342090001e-07	-0.000401607	0.0	0.0	1.61288182449e-07	0.000118619	0.000118619	1.4070467161e-08	1.4070467161e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
