global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
558.1687289384985	n/a	311552.32996481896	n/a	819.9163151255444	n/a	672262.7638090511	n/a	584.6842045409244	n/a	n/a	341855.6190396535	606.1257381594154	583.5862548995647	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.65608e-06	n/a	n/a	2.7426009664e-12	1.2799e-05	n/a	1.6381440100000003e-10	n/a	-0.0144547	n/a	n/a	0.00020893835209	-0.000390353	n/a	n/a	1.5237546460900004e-07	-5.05077e-05	n/a	n/a	2.55102775929e-09	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
555.2124543576739	-2.956274580824584	308260.8694738721	8.739559397229568	810.9545813930099	-8.961733732534526	657647.3330823119	80.31267149284722	583.9799428219468	-0.704261718977591	0.4959845688172714	341032.57361832424	603.7156030194442	574.2933528868016	1.519642	22.593071	0.0611635816797	0.0341493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-4.36403e-08	1.6124397e-06	2.5999617861360906e-12	1.9044757840899997e-15	0.0102965	0.010283701	0.00010601791225	0.0001057545062574	-7.56176e-06	0.0144471382399999	0.0002087198033256	5.71802142976e-11	0.000206905	0.000597258	3.56717118564e-07	4.2809679025e-08	5.29705e-05	0.0001034781999999	1.0707737875239998e-08	2.8058738702499996e-09	-2.78864e-05	-2.78864e-05	7.7765130496e-10	7.7765130496e-10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
554.6336227944031	-0.5788315632707963	307618.45553404425	0.3350459786385139	808.169231555708	-2.785349837301851	653137.5068333437	7.758173716157448	584.4584139370762	0.4784711151294232	0.2289346080131937	341591.63762184273	603.8292024338933	575.3719667930854	1.400652	20.824003	0.1392437504003	0.0723252	-0.034701728	-0.0776249024	-0.055348125	0.093197376	-0.0085300343	0.0840649365	-0.0346321178	0.1084400707	-0.136068964	0.1243474266	-0.0650665905	0.0546573305	-0.038792861	0.0411117197	-0.0913248368	0.1229593969	-0.0687252007	0.1611807656	-0.017307852	0.1118108941	-0.0155451506	0.1598354653	-0.0314469225	0.0977609109	-0.1018271382	0.1029989775	-0.0164442877	0.0578492427	-0.0434588398	0.1018408833	-0.0899025832	0.0342734733	-0.084892763	0.1206608671	-0.032672621	0.0438545394	-0.1563831324	0.0901858743	-0.0367772883	0.0828579607	-0.1753584009	0.1666419285	-0.014598185	0.0214648368	-0.0075780511	0.0964834357	-0.0069135132	0.0915387525	-0.0193901092	0.0118365352	-0.1672465968	-0.0100483863	0.0091871353	0.0436506494	-0.0969079912	0.0208034749	-0.0062018484	-0.0181270845	0.0637380662	-0.0512036029	-0.1111170471	0.0144678368	0.0177495547	-0.0471487789	-0.0216657707	0.0360276078	0.0491230899	-0.0299851276	-0.0290819083	-0.0181503516	0.052802087	-0.0476846355	-0.0785223965	0.0450269897	0.0188753252	0.0138866251	-0.0223939641	-0.0730746758	-0.1865102582	-0.0205403101	-0.0931164154	-0.0726761272	0.0361526977	-0.114249826	0.1441073049	-0.1847959873	0.0161487855	-0.164270282	0.1142595414	-0.0238961935	0.138246073	-0.052012865	0.0106473886	-0.0649274801	0.1347874433	-0.0771919549	0.1167647411	-0.0118284421	0.0305986859	-0.1414591306	0.0392082419	-0.0337282704	0.0392431855	-0.0410014693	0.0325187875	-0.0836501021	0.0778509283	-0.2153781243	0.0345990168	-0.0381202869	-0.1060597973	0.0290519297	0.0770862699	-0.0274351102	0.0825505956	-0.0298708158	-0.0127639821	0.0790815369	0.0239726982	0.0482278668	-0.0468547772	-0.0197723633	0.0157782763	-0.079459596	-0.0127044197	0.071839569	0.0154963338	0.0317789466	-0.111204802	0.1027477556	0.0167603935	-0.1617216468	-0.0296069426	-0.0712145483	0.054636666	-0.1809089043	0.0131594854	0.0640190419	-0.0120509047	0.2213405869	-0.308582656	0.1372745905	-0.0364853347	0.0805589554	-0.0835075632	0.0608476055	-0.0949350434	0.1050330921	-0.2182423867	0.0684992915	-0.0619418006	0.0510895774	-0.0335807143	0.0047333222	-0.1292676498	0.0954515618	-0.1260061182	0.1287704102	-0.1503775407	0.1031385244	0.103127724	0.1031097243	0.1030845263	0.0	0.0	0.0446603	0.0446603436403	0.0019945462940696	0.00199454239609	0.0422502	0.0319537	0.00178507940004	0.00102103894369	0.0340668	0.03407436176	0.0011610621293513	0.00116054686224	0.000197626	-9.279000000000004e-06	8.609984100000006e-11	3.9056035876e-08	-0.0	-5.29705e-05	2.8058738702499996e-09	0.0	0.000480971	0.0005088574	2.31333102841e-07	2.589358535347601e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
554.3253556716679	-0.3082671227351738	307276.5999405211	0.0950286189594227	807.7463255330273	-0.4229060226807632	652454.1264121073	0.1788495040196622	583.949621160593	-0.508792776483233	0.258870089401517	340997.1600536001	603.9833291259051	566.4547882134793	1.269539	18.874693	0.1018533499999999	0.0515826	-0.0657890544	0.0247455417	-0.1254403685	-0.0435954506	-0.1043991181	-0.0317054463	-0.0888862098	0.0195223092	0.0553705806	0.142908348	-0.1656349293	0.0226051819	0.2231922542	0.0811681994	0.0295936009	0.2377702244	-0.0447602888	0.1174973813	-0.061371444	0.031937564	-0.1167710924	-0.0444743821	-0.045835831	-0.0002306906	-0.0461809531	0.0568608544	0.1204367768	0.1214893844	-0.0141524765	-0.0954453283	-0.0368565673	-0.0206417614	-0.0695768066	0.1505883159	0.0597449335	-0.0513991512	0.0357551258	-0.0096369289	-0.0655744554	0.1365218117	-0.0677280737	-0.0149597923	-0.0897903799	0.1331024457	-0.0552699085	-0.0136142418	0.1101752345	0.1180222612	-0.0008413438	0.05246072	-0.0093269796	-0.056174427	-0.0535467501	0.0559922641	-0.2022943975	-0.1019436633	-0.1267399785	-0.0132455532	0.1511850288	-0.0163534443	-0.0508630175	-0.0534576133	0.0332535805	-0.0573193081	-0.0688809584	-0.0163004475	-0.0119879653	-0.095899613	-0.0489347384	0.0430007583	-0.0772058344	-0.0253373161	-0.1099146637	-0.0208761035	-0.0252055853	0.0426424798	0.0292148853	0.018608531	0.0087657981	0.106573637	0.0306345306	-0.1210891061	0.0944279868	0.0960370884	0.074759738	-0.0575702938	-0.0791975118	-0.2053916622	0.1378341946	-0.1190001773	-0.0339791637	-0.062525407	0.0129329333	-0.1786247544	0.0550917012	0.0406027679	0.0851545025	0.1267089957	-0.1036285666	0.0613069021	0.1011665932	-0.0179058919	-0.0324197528	0.0400172722	-0.0440829064	-0.0535030667	0.0243036665	-0.0704657347	0.0383458651	-0.1526042651	0.0111788083	0.0784176227	0.0801795827	0.123510183	-0.0391062928	-0.0209152048	0.00568697	0.0930366483	0.025890608	-0.1573608329	0.0681687767	0.0190456114	-0.0112353329	0.0054654007	-0.0505729168	-0.057527352	-0.0594329743	0.1269983216	-0.0727857467	0.0689387737	-0.1064612526	-0.100332189	0.032041383	0.0293482091	0.0240118704	-0.1810886515	0.1685954081	-0.0193844653	0.1105281338	0.0707661281	-0.2680485119	0.0714545027	0.0550282132	0.0917194493	0.0238768554	0.0149990191	-0.0575653426	-0.0278126768	-0.0704086396	0.039015767	-0.1067184501	0.0407615969	-0.1733445767	0.0708361945	-0.0516360531	0.1703599603	0.0346238679	-0.1129554652	-0.0182297784	0.1031097243	0.1030125435	0.1028506435	0.1026241258	0.0	0.0	0.0429294	-0.0017309	2.9960148100000016e-06	0.00184293338436	0.0133505	-0.0288997	0.00017823585025	0.00083519266009	0.0622818	0.0282149999999999	0.0007960862249999	0.00387902261124	-0.000193128	-0.000390754	1.5268868851599998e-07	3.7298424384e-08	-0.000396008	-0.000396008	1.5682233606399998e-07	1.5682233606399998e-07	0.000407578	-7.3393e-05	1.66119826084e-07	5.386532448999999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
554.1515547366745	-0.1738009349934373	307083.9456170736	0.030206765004593	806.2319725568851	-1.5143529761421632	650009.993572966	2.2932649363506274	583.3644836119571	-0.5851375486358847	0.3423859508236124	340314.1207398454	602.5126135790189	565.0594828910544	1.332743	19.814384	0.0697887	0.034947	0.0782822327	0.1091547933	0.0134051898	0.0493915399	0.0278071035	-0.114988349	-0.0328857464	0.0494269504	-0.1326658974	0.0313400096	-0.1943340758	-0.0213226079	0.0929493299	-0.0365079393	0.0588978878	0.0423307112	-0.0983535022	-0.0475335935	-0.1330159688	-0.0117774339	-0.0234144726	-0.1909103824	0.0149854376	-0.0881147799	-0.1626231925	-0.0291986708	0.0193929999	0.1060918028	-0.018670565	0.0676633152	-0.0157621809	0.1122813189	0.05240295	-0.0944927115	-0.0305435937	0.2069044506	-0.0294735569	0.0355248053	-0.0383937168	0.1075277291	-0.104501968	0.143757532	-0.1033650819	0.1138623088	-0.1281947439	-0.0287262615	0.0662888058	-0.1048747426	-0.1038660704	-0.1040454312	0.0309781926	-0.0557007385	0.0813890721	0.0523119842	-0.0370155082	0.0357114116	0.005399496	0.0731991237	-0.1105412895	0.1637699272	-0.1371160453	-0.0820022422	0.0274778112	0.16491587	0.0153964322	-0.1750863387	0.0527428019	0.0777757285	0.0132696812	-0.0179018438	0.0490901142	-0.0226824315	0.0045282747	-0.0172413727	0.1085649519	-0.0978766436	-0.0763963457	0.0679785425	0.0640870275	0.0030378953	0.1641076103	-0.0287584155	0.0066693792	-0.0882866314	0.0306064755	-0.1297391995	-0.0470486716	-0.1657168548	0.0323956983	-0.0680972754	-0.0252041156	0.0742762514	0.1472669299	-0.0942401707	0.0590937209	-0.1038657984	-0.0891317317	0.0154552347	0.194240983	0.0674783586	0.0231869545	-0.0919905414	-0.1243502832	-0.021999344	-0.1094554836	-0.1733991944	-0.15561741	-0.0690168996	-0.0253597405	0.14080912	0.0145204563	-0.0462712119	0.0592093066	0.0138357929	0.0126087391	0.0183454086	-0.1457357146	-0.0796768531	0.0758167692	0.0563852714	0.0651756504	0.059180789	0.0046386148	-0.1010122702	0.0852379246	0.1085722462	0.0554056019	-0.069830122	0.0774455965	0.0377437448	0.0145435801	0.1742648401	0.0332124627	-0.0347225691	-0.0483892678	-0.1713201628	-0.0377041795	0.1122795037	0.0882345837	0.039410047	-0.1839790594	-0.0789292349	-0.067088384	0.0390459064	0.0114465929	0.0562750651	-0.118047623	0.0130163085	-0.012609816	-0.0900679398	-0.0894094035	0.016265276	-0.1286373418	0.1198872712	-0.0601240195	-0.0371774905	0.0533365313	-0.2317511357	0.1441199631	0.103052132	0.1027823111	0.1023331329	0.101705381	0.0	0.0	0.0652749	0.0223454999999999	0.0004993213702499	0.0042608125700099	0.0133418	-8.700000000000374e-06	0.0001780036272399	7.56900000000065e-11	0.0795426999999999	0.0172608999999999	0.0002979386688099	0.0063270411232899	-0.000446163	-0.000253035	6.4026711225e-08	1.9906142256900005e-07	-0.000102552	0.000293456	8.6116423936e-08	1.0516912704e-08	0.000350597	-5.6981e-05	1.2291825640900001e-07	3.246834361e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
553.8732190453587	-0.2783356913157604	306775.5427756679	0.0774707570602222	808.9337666465536	2.7017940896685104	654373.8388209809	7.299691302967695	584.3311804852096	0.9666968732525448	0.9345028447562466	341442.92848723865	603.683793382853	572.695939681842	1.610282	23.940657	0.0742232999999999	0.0504812	-0.0274221896	-0.0839433068	-0.0248844759	0.0787057333	-0.0327217423	0.0769616101	-0.0408488364	0.0066138927	-0.0133701771	0.1637764927	-0.0716275195	0.0417525642	-0.0892426759	0.0814647616	-0.0408214738	0.1472305309	-0.0113882539	0.0590879849	0.0213241478	-0.070022289	-0.0117267842	0.0870060582	0.0196051059	0.0860990901	-0.0110079558	0.1096500408	-0.0578119634	0.1193700159	-0.0374659206	-0.0036112981	0.0602326845	0.0905557065	-0.022547823	-0.0536575941	0.0635068438	-0.0082476758	-0.1696080851	0.0409562792	-0.0654945545	0.155060746	0.0533202673	-0.0526482375	-0.0939233924	0.0686481047	0.0310168355	0.0470566851	0.0410696904	0.0150764675	0.0138610343	-0.0239957318	-0.0964831342	-0.0673492183	-0.0675493087	0.0305649044	-0.050285161	0.1959097086	-0.0135266287	0.0288062747	-0.0139625431	0.042095698	-0.0390039305	0.057702689	0.1151234199	-0.02297042	0.0189887538	0.2133915891	-0.0017350377	-0.0951642832	0.0242576978	-0.032983109	0.0223005301	-0.0160838823	-0.0738626627	-0.0022343337	0.1845961872	-0.1057970323	0.0789326838	0.0513554072	0.0752776105	-0.0097184712	-0.0815184732	-0.1099010796	0.0087314959	0.0067334365	0.0861904362	-0.1440570997	0.0700988452	-0.085617022	0.1814067727	-0.0304924594	-0.0285496525	0.0994415341	0.0704777343	0.0043628389	0.0083598544	-0.0219691765	-0.0206208518	-0.084741542	-0.0607857146	0.0618057748	-0.030746628	0.1304957966	0.0823028611	-0.0524557667	0.1158289795	0.0229413806	0.0037773129	-0.1067259145	0.0248603377	0.0980613485	0.1246184286	-0.094767313	-0.0333905752	0.0707123829	0.0025618129	-0.0757545773	-0.0111427153	0.0874597632	0.0998584872	0.0723659618	0.05861586	-0.027265617	0.0428714941	-0.1396248671	-0.087514968	0.0388851969	-0.1496896433	0.0125672747	-0.0007723947	-0.0134351026	0.0225598299	0.0294131756	-0.0700542735	0.075468112	-0.0016212516	-0.0423957358	0.1138524063	0.0321979873	0.0103883569	0.1335035855	-0.1386104069	-0.0778611154	-0.063154597	0.0605715946	-0.0212887532	-0.033279834	0.0279539556	0.0134624894	-0.0177180451	-0.1874793081	0.0912699859	-0.1022675191	0.1111577726	0.047422484	0.0561546352	0.0394759442	-0.0838106838	0.0702146661	-0.0410236128	0.1029657637	0.102437284	0.1015584928	0.1003323953	0.0	0.0	0.0652612	-1.3699999999991497e-05	1.8768999999976702e-10	0.00425902422544	0.035363	0.0220211999999999	0.001250541769	0.0004849332494399	0.124631	0.0450883000000001	0.00203295479689	0.015532886161	-0.000446163	0.0	0.0	1.9906142256900005e-07	-2.1144500000000002e-23	0.000102552	1.0516912704e-08	4.4708988025000005e-46	0.000390047	3.944999999999996e-05	1.52136662209e-07	1.5563024999999963e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.8573551366101	-1.0158639087486565	305651.2551286478	1.0319794810980982	807.0063824179056	-1.9273842286480656	651259.3012632348	3.7148099648413	583.1049630979984	-1.2262173872112498	1.5036090806991842	340011.39798951807	602.7260532396369	567.1260470798006	1.455876	21.645048	0.064098375	0.0373291	0.0101461983	0.0782603207	-0.0796252226	0.0500162331	-0.0643189011	-0.0737307236	-0.0482039927	-0.0481877828	-0.0671447194	0.0024133872	-0.1061216375	0.1259506757	0.0472502781	0.0190757315	-0.0090020844	-0.1256618337	-0.0998823785	-0.0920583761	0.0266472389	0.0087161564	-0.0789910701	-0.0735895036	-0.0362054792	-0.1436434172	-0.0390197473	-0.0131033696	-0.0551174164	0.1052522962	0.037428671	-0.0025325793	0.0740986942	0.1384973347	-0.0506667277	-0.203362891	0.1286832939	0.0150119756	0.1039697604	-0.0359966513	-0.1209882896	-0.034306141	-0.0118293827	-0.0123448231	-0.0671647166	0.022885027	-0.0735182074	-0.0814497325	-0.0691974269	-0.0112704363	-0.0346905727	0.0505658632	0.1321891206	-0.02244242	0.0100626025	-0.0576274598	-0.0023126546	-0.099381334	-0.1272976577	-0.0346937478	0.0328328188	-0.062096646	0.0036157556	0.1319679661	-0.0489445191	-0.1826816647	-0.056416036	0.0857969287	0.0461007626	0.0132698686	-0.0002527584	-0.0451716042	-0.0224050091	-0.0566071305	0.0638915433	-0.0470802102	-0.027812526	-0.064930144	-0.0004496817	-0.1519036377	-0.026715387	0.0669362557	0.1141042184	-0.0009617943	-0.0446915655	-0.0041811482	0.1002708125	-0.1111423443	-0.0011000368	-0.0318269408	0.0650603692	-0.1329950776	-0.105668799	0.2395389183	-0.0305421733	0.0397421899	0.1260851279	0.0653592527	-0.1002038994	0.0366215256	-0.0662637743	-0.0154368871	-0.0183978987	-0.0134928318	-0.0015801217	0.0629607065	-0.0761069586	-0.0391584621	0.0008731778	0.1002273989	0.0591001259	-0.0542663446	0.1527881163	0.0798430434	-0.0607103411	-0.0413271643	-0.0647069816	-0.0529500597	0.0533405714	-0.0589069273	-0.0718663937	0.0059518338	0.0510928648	0.0262851131	-0.0780043435	0.1287433757	-0.1253250883	-0.0435974231	0.083711741	0.0945100213	0.09545728	-0.1589001818	0.024058631	-0.0631271705	0.0741504581	-0.0068313477	0.0824076624	-0.157492578	-0.0174369611	0.0673004369	0.0587263528	0.0115371433	-0.0987016052	-0.1172596604	-0.0543103783	0.0861094756	0.1150437842	-0.0018732845	-0.0410915097	-0.0933054705	-0.130220931	-0.1236203182	-0.0161128974	0.0291545371	-0.006961939	-0.0356028202	0.1298815643	-0.1414734563	0.0079142929	-0.0665129162	0.084307817	0.1028506435	0.1019778474	0.1005286696	0.0985113008	0.0	0.0	0.0652583	-2.9000000000001247e-06	8.410000000000724e-12	0.00425864571889	0.0170755	-0.0182874999999999	0.00029157270025	0.0003344326562499	0.100704	-0.023927	0.000572501329	0.010141295616	-0.000437693	8.470000000000005e-06	7.17409000000001e-11	1.91575162249e-07	-2.11975e-24	1.9024750000000006e-23	3.619411125625001e-46	4.493340062500001e-48	-3.91025e-05	-0.0004291495	1.52900550625e-09	1.8416929335025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.5807341033496	-0.276621033260426	305345.4677021968	0.0765191960420657	806.7556202252922	-0.2507621926133652	650854.6307650959	0.0628816772442624	583.1713651858468	0.0664020878483597	0.0044092372706212	340088.8411727242	602.6216816207084	569.6708388514817	1.343175	19.969481	0.11193636	0.0768516	-0.031852993	-0.0148492668	-0.001662202	0.0467675301	-0.0179006082	0.0334915768	0.028927143	0.175620778	0.0093484098	0.0614674692	0.0097703572	0.0050121594	0.0407742116	-0.002834284	-0.2661092928	0.0929018808	-0.0279075886	-0.0038647659	0.0916684461	-0.0496393331	0.0769878475	-0.144347548	0.0046945176	-0.0239936408	0.0841017673	0.0188994932	0.0170902029	-0.00710309	-0.0783567099	0.1170297784	0.0922880318	-0.0167626299	0.0519031134	-0.0257114101	-0.0725664456	-0.0761970182	0.0206720236	0.1294225881	-0.1344471285	-0.0700686721	-0.0646640541	0.0396506916	-0.1310605977	0.0074894035	-0.039109524	0.0994358624	0.0013287346	0.1068490715	0.0017463475	0.0326561032	-0.0544042208	0.1246771192	0.0055594775	0.0322995067	0.1593091992	0.0005537326	0.1298594289	-0.0248679376	-0.0622296576	-0.1808926175	0.0290485905	-0.0206819754	0.0809404717	-0.0838937016	0.1421373688	-0.0380694948	-0.1108442212	0.0196876657	0.0318124218	0.0504050735	-0.0623891806	0.0119574423	-0.0926332191	0.109089218	-0.0562428753	-0.065949482	-0.1872829026	0.0697338303	-0.0861578795	0.0171172499	-0.0265063956	0.0414099448	-0.0156295455	0.1064831491	0.0289455948	-0.0636613912	0.1366350356	-0.124235746	-0.1040666287	0.1264209933	-0.0109261425	-0.0094876734	-0.0834169571	-0.0097732451	0.0040683541	0.1154297668	-0.0156223542	-0.0521514292	-0.094106056	-0.1079970115	-0.0225034402	-0.0001080144	-0.0606975615	0.0698152458	-0.0940711372	-0.0270108253	-0.0171196502	-0.0040486249	0.1844387854	0.089092152	-0.1031972775	-0.0033899305	-0.0974610935	-0.0062399186	-0.0207806373	-0.0172600409	0.033397972	-0.0325228222	-0.0443432128	0.0893882219	0.0031249551	0.0419964845	-0.0882455084	-0.0427863399	0.1582231914	-0.0232422375	-0.1287290456	-0.0836007084	-0.1444243889	-0.0685164053	0.0375961763	-0.0012650344	0.0053225151	0.1396539443	0.0099879667	0.0297634845	0.048392148	-0.0434880349	0.0564527137	0.1182092763	-0.0544915064	-0.0752098552	0.0803008061	0.1086773644	-0.0068677614	-0.0117878347	0.044919571	0.1436768125	0.1140291515	-0.0477203803	0.1706125357	0.0120843918	0.0132699822	-0.0500856537	-0.1465948072	-0.0067422314	-0.0029796443	0.0241975349	0.0029174697	0.1027068035	0.1014045146	0.099246251	0.0962502309	0.0	0.0	0.0652601	1.799999999996249e-06	3.2399999999864964e-12	0.00425888065201	0.0352817	0.0182062	0.0012447983548899	0.0003314657184399	0.165777	0.065073	0.004234495329	0.027482013729	-0.000992425	-0.0005547319999999	3.077275918239998e-07	9.849073806249995e-07	1.2463500000000001e-23	1.458325e-23	2.126711805625e-46	1.5533883225000003e-46	-5.74777e-05	-1.83752e-05	3.30368599729e-09	3.3764797504e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
