global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
494.6408360661482	n/a	244669.5567042181	n/a	677.3185015092645	n/a	n/a	458760.3524867555	499.8259883611884	n/a	249826.0186412389	n/a	514.830412013117	484.3366127135269	n/a	n/a	n/a	n/a	-0.0518726388	-0.0686097654	-0.0915502464	-0.1878710639	0.1835293436	-0.058616388	0.0072220226	0.0697238824	0.0900123916	0.3002529035	-0.0853583269	0.1447825192	-0.1947678348	0.1185768253	-0.3098423697	0.3255334481	-0.2931081216	0.1768819902	0.3333441569	-0.0694092258	0.2414560897	-0.0445369166	0.0180472868	-0.0730180744	0.0101731479	-0.0165862192	0.1005080334	-0.1394034634	0.0427438857	-0.1382626711	0.0254507435	0.0048865115	-0.0005530803	0.0627462826	-0.1117799525	0.1879302385	-0.1022980794	0.0157979412	-0.0482230078	0.1069168658	-0.0417391787	0.0345328341	-0.0332328543	0.0266877264	-0.0625414644	0.0411774138	-0.0944541642	0.0557822943	-0.0964129115	0.069612939	-0.0422866845	-0.0443308485	-0.1658162368	0.0097974945	-0.0774282858	0.0477231682	0.02301595	-0.0941143137	0.0612053552	0.0366346757	-0.0447420659	-0.0619529944	-0.0207266945	-0.0262075093	0.0765319072	-0.0215299289	-0.0055531908	0.0450664846	0.0431288238	-0.1392708945	-0.0140743023	-0.0116512861	-0.0093472413	0.0602088976	-0.0636131611	-0.0249147527	-0.1101527391	0.080219341	0.4006375511	-0.0292247889	0.1190372068	-0.1830303321	0.0124809187	-0.022322289	0.1826848214	-0.026763442	0.0034816068	-0.005777257	0.0558054383	-0.1219869195	0.0079015037	-0.0791686238	0.1680694833	-0.2592123321	-0.1731043693	0.0587487154	0.0018964685	-0.0013731662	0.0076621915	-0.0241717833	0.0908575369	-0.0520967493	0.0902293391	-0.1130204667	0.0222342707	-0.0374591743	0.0813052279	-0.0128177644	0.0544835369	-0.0563213594	0.1385603262	0.1484168182	-0.0518887232	0.1519883978	-0.0585188185	-0.0331038262	-0.039806435	0.0340691767	0.0068289952	-0.0200733835	-0.0257987377	0.0365083043	0.014123986	0.0952492876	-0.0697643296	0.0788215598	0.0062363246	0.0322888299	-0.0895876899	-0.0091239508	-0.2080258961	0.0739576736	-0.0707096148	0.2123112692	0.1234016377	0.2085968766	-0.0428445093	0.0601073044	-0.024266109	0.0501012555	-0.1589861466	0.1197171711	-0.2207809823	-0.295080436	0.1734503027	-0.2314437368	0.132707178	-0.022617475	0.2541491207	-0.0548763149	0.139106473	-0.0070420257	0.2459729593	-0.1504577904	0.2107127279	-0.1814326041	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.103493	n/a	n/a	0.010710801049	0.215195	n/a	0.046308888025	n/a	-0.0960054	n/a	0.00921703682916	n/a	-0.00440505	n/a	1.94044655025e-05	n/a	-0.00213831	n/a	n/a	4.5723696561e-06	0.002	n/a	4e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
491.4381865251808	-3.2026495409674	241511.4911751584	10.256964082258698	678.1433700400908	0.8248685308262793	0.6804080931475045	459878.4303293315	498.5905695072726	-1.235418853915803	248592.5560015865	1.5262597446106363	514.0978319456997	488.176925853904	1.921465	30.650364	0.1790643	0.0879902999999999	-0.0038663924	0.0535481099	-0.1174227414	-0.0533400346	-0.0707817217	-0.078499306	-0.0365988145	-5.28817e-05	0.093355238	-0.0547113504	-0.2603644702	-0.0638604753	-0.1863365909	0.1829544451	-0.1749286548	0.1496148324	0.0378893929	-0.0467238756	0.2234963809	-0.1638459983	0.2399761911	-0.0401258796	0.0317592498	0.1275371774	-0.0792277424	0.0066583544	0.0356218287	0.0045014224	-0.0687983601	-0.0939957993	-0.0301260651	-0.0404538058	0.0669318723	-0.0424431732	0.1127473484	-0.0124612927	-0.0332262747	-0.0933572657	0.0021027236	-0.0103263966	-0.0168709656	-0.0983586031	-0.0397187256	0.0998925145	0.0584066137	0.0652998605	-0.0296053466	-0.038482256	-0.0345251477	0.0486883398	-0.065154722	0.1064180336	0.0732224976	-0.1279420648	0.0337175942	-0.0197582184	0.0148070359	0.0593619576	0.0403186386	0.0479663266	-0.1042954421	0.062312869	-0.09063075	0.0429157329	0.0218112938	0.0730778471	0.001015498	-0.0654237211	-0.0610639863	-0.017379646	-0.0588064023	-0.1104253439	-0.0240995316	-0.0331483394	0.0242232965	-0.1554492682	-0.0409513694	0.0296014302	0.3737667438	-0.1620475145	0.0538596203	0.0502583715	0.0086635542	0.0881368299	-0.0359813157	0.0544588861	0.0953103879	0.106974244	-0.052077871	-0.0295528359	-0.0599873961	-0.019758662	-0.078027185	-0.1005678804	-0.1116499553	-0.1013690902	0.0519686503	-0.093195046	-0.132761179	-0.0826990829	-0.0030493733	-0.0213301021	-0.0001403512	0.0516645012	-0.0386499011	-0.0239832258	-0.0700490703	0.1539968541	-0.0103605321	-0.024562939	0.0390176345	-0.1034019151	0.0252579092	-0.1272551746	-0.1577464737	-0.0830553039	-0.0790970919	-0.0864486339	-0.0192143123	0.1407635691	0.0367253232	0.0164103736	-0.0437338172	0.0504947637	0.0018391928	0.0346043213	0.1095972537	-0.0165612609	-0.0734483027	-0.0146030899	0.0563573259	-0.0716774568	-0.0745529941	0.2079964246	0.1026519558	0.1860021281	-0.0833577298	-0.0448121478	0.0178790732	-0.0590930675	0.1008215549	0.1120302916	0.0320389336	0.0076389521	0.0319756535	0.0467736002	-0.165131934	0.1383415594	0.2714092663	0.0170663158	-0.1291136649	0.2201939984	0.2132933293	-0.2146146626	0.0477541624	0.1043370879	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0895906	-0.0139023999999999	0.0001932767257599	0.00802647560836	0.165147	-0.050048	0.0272735316089999	0.002504802304	-0.0827529999999999	0.0132524000000001	0.0068480590089999	0.00017562610576	-0.00307999	0.0013250599999999	9.4863384001e-06	1.7557840035999997e-06	-0.00154167	0.00059664	3.559792896000001e-07	2.3767463889e-06	0.00188447	-0.0001155299999999	3.5512271809000004e-06	1.3347180899999992e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
489.79999280727696	-1.638193717903846	239904.03295400855	2.6836786573796254	674.0710937085405	-4.072276331550256	16.58343452050441	454371.839373428	497.8266483576173	-0.7639211496553457	247831.37181497872	0.5835755228907451	513.3270479450148	483.0868237002358	1.655845	26.413311	0.1388605999999999	0.0672762	-0.0916993745	0.061650551	-0.0707016326	0.0245559228	-0.2176422493	-0.0308876042	-0.0192065141	-0.0684782959	0.0641045074	-0.1289794002	0.0761138668	-0.1823614417	-0.1629967165	0.1609557974	0.0533559444	0.0705223917	0.1263579228	-0.2349614018	0.0817994776	-0.2295404647	0.081729845	-0.0796333391	0.0973469194	0.1245690045	-0.1411940114	-0.0149641165	-0.0025599323	-0.066948745	-0.0622749491	-0.0051916346	-0.0047326721	-0.031603314	0.1274412419	0.0601942436	0.0770128336	-0.0415438743	0.0379159346	0.0186106773	-0.0422939315	-0.0075368825	-0.0411622053	0.0547892084	0.0228316948	-0.1477540262	-0.0014764566	-0.0036359083	0.0315628327	0.0710825354	0.1208500604	0.0075071246	0.0372861537	-0.0529461244	0.0361998514	-0.0565800313	0.0351827483	0.0304040672	-0.1504404187	0.1337576514	-0.0809707579	0.0439527255	-0.0142192956	0.0826608925	-0.0064926739	0.0659750929	-0.0523231362	0.0778073793	-0.0038805075	0.031651721	-0.1084045795	-0.0281668545	-0.0148692611	0.0367286594	-0.0738060371	0.0148598797	0.0223173781	0.0767325085	-0.0315683211	-0.0834198843	0.2158590983	-0.1815824054	-0.0152194939	0.0816707019	0.014062164	-0.111489291	-0.0381594146	0.0698052725	0.0458135117	0.18615376	-0.0852989962	0.091789641	0.0163569101	0.0416066974	-0.0540017226	-0.0095616776	0.0916109887	-0.1304417713	0.029756897	-0.0596909164	0.0289702796	0.0610129044	-0.0607433721	-0.0322410825	-0.068819486	0.039098232	-0.0720234056	0.1732517228	-0.0527181764	0.0072158281	-0.0652946825	0.0271456961	-0.159766117	-0.0361212893	0.0022141152	-0.0303358394	0.1217023917	0.054029645	0.0929851839	-0.0970804149	-0.0742192671	0.0801414985	-0.0487048251	0.0285296011	0.0348248819	-0.0220935341	0.1257657105	0.0493516146	-0.010657222	-0.1409581357	-0.0011234474	0.1039483194	0.0963240139	-0.038046166	-0.0724446722	0.1622539154	0.0543559124	0.1426817264	0.067808046	-0.0380437407	0.0291660906	-0.0322807953	0.0806967434	0.0113782496	0.0147990168	-0.1573435047	-0.0578203862	0.1231723727	-0.1082751161	-0.2117624925	-0.019606185	-0.0272598903	0.04796058	-0.0282257179	0.0366018272	0.0559364576	0.0106683073	-0.0210542163	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0896375999999999	4.699999999989435e-05	2.2089999999900686e-09	0.0080348993337599	0.137246	-0.0279009999999999	0.018836464516	0.0007784658009999	-0.0314365	0.0513164999999999	0.0009882535322499	0.0026333831722499	-0.00261371	0.0004662799999999	6.8314799641e-06	2.174170383999999e-07	-0.000931558	0.000610112	3.72236652544e-07	8.678003073639999e-07	0.002	0.0001155299999999	4e-06	1.3347180899999992e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
488.8187941743696	-0.9811986329073648	238943.8135380847	0.9627507572192816	669.1653250246185	-4.90576868392202	24.066566380149983	447782.2322153033	496.57580384440325	-1.2508445132140196	246587.52896371525	1.5646119962376177	511.9800107213014	464.5601227121208	1.480645	23.618591	0.0625257999999999	0.0277027	-0.082602968	-0.0775785004	-0.0535627772	0.1170910243	-0.1893957198	0.1082101064	-0.0331911459	0.015002212	0.1203151601	-0.0827891883	-0.0325034988	-0.1802670493	-0.1146644839	0.098206073	0.1080163129	-0.0042252791	-0.0626504317	-0.0396073969	-0.0493016401	-0.2251640449	0.0384182166	-0.0090847058	-0.0965146657	0.2350325738	-0.136281751	-0.0318997272	0.104414476	-0.0076916287	-0.0152121614	0.0385539938	-0.0471115569	-0.0514503034	0.0151574681	-0.1522222182	-0.0959358495	-0.0383279227	-0.0690700804	-0.0617014308	0.1385855351	0.1755189291	0.0423855557	0.0619186261	-0.0155699667	-0.0110956104	0.0030934061	-0.1414729555	-0.0727482449	-0.0791953723	-0.0669107129	0.0132040351	0.008380113	-0.0639290398	-0.0759172143	0.0493631	-0.0973324452	0.0132178539	0.0134382458	0.0729977069	-0.0272898541	0.0106308079	-0.034041534	-0.0629556113	0.0145086023	-0.0148191815	-0.0299798197	-0.0533279511	-0.0921267338	-0.0413820176	-0.0673585447	0.0212501541	0.068101663	0.1117621498	-0.0875698199	0.0309347367	-0.051889822	0.028263143	-0.1081655144	0.0125062972	0.0740078659	-0.1938245102	-0.090278141	0.1911718765	0.0061485386	-0.0017127506	0.1309154166	0.1184387371	0.0377904758	0.0780323804	-0.0387236093	0.0342332614	-0.0222880448	0.0364022367	-0.0711535869	0.0181262269	0.0551109209	0.1334082446	0.216818159	0.0289553752	0.0102320511	-0.0538890808	0.0226736637	0.0573832382	-0.0169839051	0.0147016069	0.0385326803	-0.1537666414	-0.0524312019	-0.0315048185	-0.0649514328	0.1112691645	-0.0566057478	0.0556491345	0.0423028518	0.2282152361	0.112588705	-0.0225177359	-0.044546215	0.008002006	-0.0858016559	-0.0615596578	0.0798322845	0.121914236	-0.0125542278	-0.0227574993	-0.0036357051	0.0308477786	-0.0320027017	0.1061430722	-0.0051120262	0.0150208512	-0.0604135761	0.0440908254	-0.0718709726	0.186862839	0.0694156731	0.1410159558	0.032226974	0.0315934138	-0.0569782306	-0.0078632122	0.0627616452	0.0421025536	0.1064306738	0.0282306189	-0.0464806669	0.2084295144	-0.0601724818	-0.0415599991	0.0498522265	0.0042848854	0.0416969298	0.0230064303	-0.0340550608	-0.0737245886	-0.1056309325	0.0730689696	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.089621	-1.6599999999894477e-05	2.755599999964966e-10	0.008031923641	0.154067	0.016821	0.023736640489	0.000282946041	-0.0458161	-0.0143796	0.00209911501921	0.0002067728961599	-0.00287633	-0.0002626199999999	8.273274268899999e-06	6.896926439999993e-08	-0.00105104	-0.000119482	1.4275948324000017e-08	1.1046850816e-06	0.00175593	-0.00024407	3.0832901649e-06	5.957016490000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
489.2774171281482	0.4586229537786153	239392.39091159197	0.2103350137326219	672.7036790047335	3.538353980115062	12.5199488885961	452530.2397465036	496.82396152947456	0.2481576850713054	246834.0487498408	0.0615822366599492	512.1261718210054	470.67408836509287	1.394891	22.250681	0.09745375	0.0475233	0.0944326987	-0.0315360798	-0.0579158216	0.0343242645	-0.3026858486	0.000413309	-0.0257076789	0.0571621496	-0.0623946684	-0.2375970603	0.0140902095	-0.1677933384	-0.1270344521	0.0128416086	0.0551384333	-0.0915529683	-0.0439042721	-0.0774068649	-0.1686208446	-0.1194433369	0.0761265638	0.1080608261	-0.1102341561	0.111692703	-0.0515761772	0.0142794933	-0.0308127035	-0.1133801897	-0.0060580922	-0.0248126915	0.1056222674	-0.0138158377	-0.0007074416	0.0229591129	-0.0288969698	0.0261002162	-0.1059913956	0.0064095466	0.063608703	-0.0371229822	-0.0075115118	-0.1290578633	0.0467619413	0.0365546533	-0.0078061753	-0.0400094122	0.0123505671	-0.0547346634	0.038116928	-0.0796443252	0.0915368248	-0.1111455583	-0.0267928721	-0.069752323	-0.006431998	-0.0442468734	0.0144138027	0.0078612113	0.0675507556	0.0883119595	0.0526063333	0.0643787839	0.1176551059	0.0479711148	0.0221896144	-0.1171027137	-0.1280247495	-0.0740965132	-0.0196102163	0.0592329075	0.0854515679	-0.059371576	-0.0278911264	0.0456813522	-0.0035882509	0.0505643249	0.0488712986	0.071996314	-0.0249020169	-0.2019244622	-0.1754383901	0.142418024	0.0338870788	-0.0253623682	0.0588190014	-0.0557477648	0.0350906133	0.0704557376	-0.0724481704	0.1077162952	0.0977951254	-0.0956623271	0.01164265	-0.0030708858	-0.0935399421	0.1036991405	-0.038211636	0.0187922621	-0.0292364972	-0.1127887851	0.0762151259	-0.0392735279	-0.0042963687	0.0516668039	-0.0250991732	-0.1055028115	0.0263414237	0.0183907384	-0.0474626681	-0.1095116322	-0.0765662013	0.0838255998	0.0153149022	0.017258914	0.1381336871	-0.0462895886	0.0943307466	-0.0495422833	0.0070385377	-0.0964533361	0.1122771156	-0.1193344802	-0.009512709	0.0056872461	-0.135765723	-0.0573935553	-0.0320587102	0.0635037265	0.0584510109	0.0343650531	0.028396263	-0.110982949	-0.0580160112	0.1454800056	0.052235808	0.085238538	-0.0390414385	-0.0389610378	-0.0714645039	0.0206479588	0.0552681855	-0.0637836348	0.0929590208	-0.0192252741	-0.1265689482	0.0627226509	-0.1356948074	-0.1155355155	-0.036025688	0.0085993045	0.0719455644	0.002616634	-0.1053115822	-0.0014781195	-0.0593801502	-0.0313215226	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.089628	6.999999999993123e-06	4.8999999999903716e-11	0.008033178384	0.120391	-0.033676	0.014493992881	0.001134072976	-0.0396573	0.0061587999999999	0.00157270144329	3.793081743999999e-05	-0.00233704	0.00053929	5.4617559616e-06	2.908337041e-07	-0.0007384009999999	0.0003126390000001	9.774314432106257e-08	5.452360368008523e-07	0.00145562	-0.00030031	2.1188295844e-06	9.018609610000002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
489.5183687568927	0.240951628744483	239628.2333504092	0.0580576873946191	668.7647485138305	-3.9389304909030898	15.515173412166057	447246.28885476687	496.581704680863	-0.2422568486115324	246593.38942375185	0.0586883806991909	510.961636332921	453.1627418672342	1.25958	20.092264	0.03191815	0.0155143	0.0240452006	0.0778052906	-0.0735605799	0.066882132	-0.1623752993	0.2603465672	-0.0248450565	-0.0413930642	-0.0638113838	-0.0627783142	0.0146219942	-0.1761348611	-0.0178124989	0.000701904	0.0709021143	0.0767753071	0.1686752969	-0.014710828	-0.1987016403	-0.1198753899	0.0388268586	0.1421161041	0.0478865149	0.1235048583	-0.0044149301	0.0206249878	0.0163738485	-0.0963868335	-0.0187480138	-0.0270243712	-0.0361667789	0.0062112771	-0.0439636434	-0.0893038632	-0.023929056	-0.2045795081	-0.0623049465	0.1156110738	0.0578057154	-0.1093161065	0.0248537499	0.0300647414	0.0385329516	-0.0012097856	0.0263814869	0.0262043337	-0.0721723935	0.0289431423	-0.0229168337	-0.0312545768	-0.1370173241	-0.0784548933	-0.0033558703	0.0436960775	0.0916127316	-0.0194163617	0.0052560674	-0.0554314086	0.0529849293	-0.1655550045	-0.0439711713	-0.1743273634	0.0275251826	-0.0933080061	0.1001264187	0.0482058373	-0.0439526971	-0.0370673246	0.0439646788	-0.1123992739	0.0570191738	-0.0463253819	-0.0001882396	-0.0663025331	-0.1205137822	0.0386139095	0.0920348203	-0.0479287219	-0.0694880695	-0.1747462533	-0.1798299877	0.0057876271	-0.0142727391	0.0179152249	0.1099106634	0.1009212904	-0.0598066742	0.117924305	-0.105519534	0.1362456645	-0.0979791566	-0.0274226042	0.0213670036	0.1189894664	-0.0433398911	0.0114308071	-0.0927334192	0.0758953343	-0.0310319564	-0.069493468	-0.0143412228	-0.0181451164	0.0796054085	-0.1192921509	0.1000307711	0.0857751133	0.0133449636	-0.1034722542	0.0306695572	0.0229944013	0.0862322248	-0.0012712094	0.0484987508	-0.0714593737	-0.0448451578	0.0192065993	0.0127722593	0.0999487685	-0.0189563077	-0.0453966448	0.0375774514	-0.0204414029	-0.0653691735	-0.100237814	-0.0585057642	0.0568327369	-0.061985172	0.044655812	0.0832855762	-0.0896899596	0.024129008	0.0980954403	-0.0591131562	0.1314214727	0.0440130638	0.0852693128	-0.0229238989	-0.0814211133	0.0075045324	-0.0108069065	0.0314232237	0.054800158	0.0754231201	0.0209869802	-0.0356306973	0.1087064801	-0.1260086022	-0.0959561307	-0.0925586878	0.0069317943	-0.0055053646	0.0259105041	-0.1510758993	-0.0215964871	-0.0572603625	0.0476880155	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.086921	-0.002707	7.327849000000006e-06	0.007555260241	0.120381	-9.999999999996125e-06	0.014491585161	9.999999999992248e-11	-0.0520728	-0.0124155	0.00271157649984	0.00015414464025	-0.00242404	-8.700000000000027e-05	5.875969921600001e-06	7.569000000000048e-09	-0.000873704	-0.0001353030000001	1.830690180902706e-08	7.633586796159999e-07	0.00156903	0.0001134099999999	2.4618551409e-06	1.2861828099999996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
490.62553793826	1.1071691813672828	240713.418477207	1.2258235961694992	671.7513935105727	2.986644996742257	8.920048336565555	451249.9346833963	497.044076011049	0.4623713301859879	247052.81349767747	0.2137872469779599	511.9807078733684	473.8200922501119	1.304452	20.808043	0.02939185	0.0178573	-0.0703287041	0.0319904639	-0.0564306633	0.0760514257	-0.1577291869	0.0197963574	-0.0026955169	-0.0684032133	0.0013732415	-0.1347088208	0.0936863643	-0.0092499658	0.0420401547	-0.0465784492	0.0872006145	0.0126095082	0.024009639	-0.0546084625	-0.1490453426	-0.1611104666	-0.0497549119	0.1182846655	0.0227787527	0.0132804721	0.0759340492	0.0543663676	0.0194216855	-0.1093342428	0.0662660803	-0.0177078729	-0.0469131242	-0.0087264353	0.0960623587	-0.0576490041	-0.1085228474	-0.0420297282	0.0503278923	-0.0193503601	-0.0135112711	0.066864267	0.1143679894	-0.0157563817	-0.022281049	0.0170196794	0.0367185628	0.0100607964	-0.0557633197	-0.000189903	0.0695481078	0.1113988176	0.0319611653	0.0515986875	0.0435627662	-0.0297412389	0.0064246691	-0.0182463995	0.0661075023	-0.0272270293	-0.0238071202	-0.0340759924	0.0388924651	-0.0370259406	0.0149951392	-0.0393695156	-0.1634821428	-0.0683224997	0.0615096639	0.1254475212	0.1468600684	0.0683904405	-0.0786676046	-0.0070902781	0.0125605281	0.0618144682	0.0456438423	-0.0091633427	0.0062920153	-0.1082115864	-0.1002359301	-0.0960011154	-0.2011701203	-0.0261167675	-0.0479005147	0.0142809521	0.099008036	0.0497562778	0.0413470586	0.1315867746	0.0475097836	0.1146485211	0.0700343501	-0.0974459347	0.0802985714	-0.0392208017	0.0903298594	-0.0110077977	0.0627664716	0.1246272494	0.0172195387	0.1033946357	0.0520812042	-0.0053240755	0.0142480018	-0.0123089823	0.0226662133	-0.0418485105	-0.0140171583	-0.0914923316	-0.0084837453	0.0689874491	0.109981339	-0.110745518	-0.005434925	-0.0849738886	0.0406471618	0.0296703185	-0.0254353604	0.0670676056	0.055010176	0.0171758856	0.019786939	-0.0122307749	0.1454280736	0.0208476193	-0.0068567114	-0.0078732064	-0.0687257941	-0.0017131117	-0.1072473811	-0.0443543562	0.0013813166	-0.0002938577	-0.0587406013	0.1425117928	0.041428558	0.0729962591	0.0662861375	-0.0258001802	0.0302875692	-0.0304225907	0.0422091323	-0.038633627	0.0026278777	-0.0871001903	-0.0509411932	0.0246975523	-0.0309688239	-0.1127064327	-0.129759976	-0.0226286973	0.0296643122	-0.0572680803	-0.0750272113	0.2101652296	-0.030249195	0.0573361099	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0896194	0.0026984	7.2813625600000195e-06	0.00803163685636	0.120411	3.0000000000002247e-05	0.014498808921	9.000000000001347e-10	-0.0396723	0.0124005	0.00157389138729	0.00015377240025	-0.00239844	2.560000000000019e-05	5.7525144336e-06	6.553600000000095e-10	-0.000867035	6.668999999999946e-06	4.447556099999928e-11	7.517496912250001e-07	0.00131604	-0.0002529899999999	1.7319612816000002e-06	6.40039400999999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
