global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11
473.3969994332357	n/a	224104.71907239096	n/a	650.1773732816674	n/a	n/a	422730.6167274487	475.9788836148847	n/a	226555.89764727195	n/a	491.3172985008854	452.3629908236626	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-6.64177e-07	n/a	n/a	4.4113108732900003e-13	8.042229999999998e-06	n/a	6.467746337289997e-11	n/a	-0.00533813	n/a	2.84956318969e-05	n/a	-0.00023831	n/a	5.67916561e-08	n/a	-0.0	n/a	n/a	0.0	9.67047e-05	n/a	9.35179900209e-09	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
472.1925467559984	-1.2044526772372706	222965.80121191576	1.4507062517040286	647.9255998776088	-2.2517734040586674	5.070483463225958	419807.5829767592	475.8871362329354	-0.0917473819492897	226468.5664319844	0.0084175820945488	491.3149447000632	458.804065407641	1.620016	26.445259	0.1667196422869999	0.0941442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.67088e-06	6.335057e-06	4.0132947193248994e-11	3.21588799744e-11	-0.0273845	-0.02739254223	0.0007499108402499	0.0007503513698223	0.0308918	0.03622993	0.00095430330724	0.0013126078278049	0.00147546	0.00171377	2.1769822116e-06	2.9370076129e-06	-0.0	0.0	0.0	0.0	-0.000251342	-0.0003480467	6.3172800964e-08	1.2113650538089e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
471.714642471138	-0.4779042848604149	222514.7039216736	0.2283925054879446	645.453389828401	-2.4722100492077743	6.1118225274039055	416610.07844097377	475.0813033036014	-0.8058329293340307	225702.2447486485	0.649366709999065	490.32745373080144	463.6403425465387	1.864312	30.433165	0.02496252962	0.0148984	-0.1065799336	0.1124947254	-0.0931057814	0.0532296837	-0.0725909205	0.1015681891	-0.039364841	-0.0664027552	-0.0112701363	0.0925001702	-0.0106536756	0.0191605194	-0.0959462481	0.0023632897	-0.0385133408	0.1481598646	-0.031474854	0.0852347927	-0.1025587689	0.1256501011	-0.221241864	0.0457613206	-0.0453422419	0.0059057958	-0.0010380664	0.1396839468	-0.0776053156	0.2781044587	-0.0837877686	0.0259305327	-0.0100762071	0.0258848816	-0.0432925845	0.0620186844	-0.0289930867	0.0619895995	-0.0482967447	0.013946964	-0.0061277224	0.0383164534	-0.0146510105	0.0097722962	-0.0200178563	0.0379626767	-0.0794958006	0.131729943	-0.0883221634	0.0002094732	0.0248912291	-0.1778213855	0.0778691676	-0.0597953695	0.0607935998	-0.0504388379	0.0342234655	0.0267405903	0.0354364711	-0.0628107083	0.0156391163	0.0486844826	-0.0347145304	-0.0132475521	-0.0447786598	0.0338163164	0.0236190403	-0.0886866628	-0.0206785715	0.1580415001	0.0503432762	-0.0514222447	-0.0464140483	-0.125176735	0.1386452779	0.0664174005	-0.0790248177	-0.0909560308	-0.0053539446	0.1072348031	-0.0638258849	-0.0882933553	0.0050052314	-0.1467808857	0.0048741114	-0.0323163167	0.0893174871	0.153508036	-0.2014574056	0.0444037461	-0.161967598	0.1776712387	-0.2496034192	0.1461344959	-0.1073796514	0.004200031	-0.0865073396	0.0215574475	-0.0392280037	-0.0187678841	0.0291910649	-0.0116829167	0.0177826927	-0.0095048725	0.0119492618	-0.0213776431	0.0197773785	-0.1280392017	0.0107641827	-0.0325121853	0.1261351322	-0.0315191018	0.1044628579	-0.1007724545	0.0179918046	-0.0848629529	-0.0463519344	0.0788938426	-0.0506340106	-0.0346083465	0.0020168509	0.0955398459	-0.0080440155	-0.0989430075	0.0211957979	-0.035987334	-0.1444752305	0.0149575439	0.0022781922	0.0227326438	-0.1860929032	-0.0191090153	-0.0562976448	0.0930125756	0.0075381389	-0.0788308011	0.1272376317	0.006396025	-0.1616035152	0.132611882	0.0509766211	-0.0304900679	0.1742736734	-0.0374319414	0.0316712801	-0.1422194422	0.0583501362	-0.0895647592	0.0852871815	-0.1182942274	0.0903290375	-0.2266798346	0.1512181815	-0.1832694208	0.0746551832	-0.1198855298	0.2105833164	-0.0978446855	0.0658805053	-0.1008426182	0.1418059486	-0.0830850787	0.1031385244	0.103127724	0.1031097243	0.1030845263	0.0	0.0	3.39126e-06	-2.2796199999999994e-06	5.196667344399998e-12	1.15006443876e-11	-0.0142276	0.0131569	0.00020242460176	0.0001731040176099	0.0369173	0.0060255	0.00136288703929	3.630665025e-05	0.00142425	-5.12100000000001e-05	2.0284880625e-06	2.62246410000001e-09	6.845410000000001e-23	6.845410000000001e-23	4.685963806810001e-45	4.685963806810001e-45	-0.000315689	-6.434700000000003e-05	9.965954472100001e-08	4.140536409000004e-09	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
470.8461704187416	-0.8684720523963847	221696.11619799468	0.7542437057935888	644.2924310763311	-1.1609587520698597	1.3478252240076058	415112.7367422489	474.05788634361227	-1.023416959989106	224730.8796045732	1.0473822739933436	489.66532045640975	453.20132426157056	1.510302	24.654278	0.04860742506	0.0260115	-0.1278062116	0.0543901793	-0.0593277636	-0.066665716	-0.1164160795	-0.0448945388	0.0929113698	-0.0672416931	0.0013868646	-0.1051678981	0.0528606536	-0.0175143325	-0.1151602481	0.0274603985	0.1311656934	0.0599902038	-0.1594449657	0.0469821602	0.1424588451	0.0139589952	-0.1162666504	0.1250233562	-0.1517706656	-0.0763525727	0.0982935599	0.0356953406	0.1092646346	0.2241696411	0.0449872509	0.0810781611	0.0019857591	-0.0678011507	-0.0732514774	0.1971901192	-0.016255968	0.0195100148	0.0807669087	0.1079486155	-0.1113378431	-0.0466654382	0.0307910201	0.15746848	-0.1215074372	0.1008809868	0.0646140829	-0.0539127739	-0.073564079	0.0130677515	-0.001816201	0.0262098084	-0.0196557013	0.1148218071	-0.0048524552	0.1151246741	-0.0064925052	0.0014864198	0.0445547181	-0.063296765	-0.0747601157	-0.0743605658	0.0443591285	-0.0661280767	0.1638249442	-0.0301737054	-0.0517020628	0.0187403836	-0.0964758151	-0.0771440636	0.027060224	0.1177676287	0.0364149004	-0.0723192878	-0.0084810037	-0.0570006386	-0.0180642061	0.0245015598	0.0096501187	0.0283707625	0.0233466234	-0.0693574938	0.0796609826	-0.2082847055	0.0877406605	0.0409685261	-0.1143653781	-0.0861304361	-0.0951803102	0.0251865654	-0.2334010845	0.0851160792	0.045038842	0.0370246655	0.0551650437	-0.0470982558	-0.1235346513	-0.0765192345	0.1495772566	0.084869835	0.0780091988	0.0298631101	-0.0230707059	0.085594203	-0.0393479404	0.0441026969	-0.0536016067	0.1347841749	-0.0546993077	0.0238699251	0.0494571261	0.1078467392	0.0666557148	0.0731228976	0.0671052276	-0.0895982792	-0.0899413387	0.0437593791	0.0040537455	0.0430526966	0.0014690441	-0.0207954245	-0.0780159467	0.0162100052	-0.0872569524	-0.0744503872	0.017514771	-0.1649701903	0.0974901328	-0.0484662891	0.0601126837	0.0067765112	0.0067269407	0.0118467929	0.0685798972	0.0001289267	-0.0009113447	-0.1286287227	-0.1793709588	0.1152561595	0.0315642206	-0.0378375187	0.0781569752	-0.087770047	-0.0457725766	-0.0636870544	-0.0045153147	-0.0723991178	0.0234258106	-0.0259832469	-0.1512859046	-0.1050039141	0.083854735	0.1314143612	0.0901304141	0.0996574247	-0.1048077527	0.1990098384	-0.0633285344	0.1269437629	0.03887072	-0.0120276398	0.1031097243	0.1030125435	0.1028506435	0.1026241258	0.0	0.0	-1.33838e-05	-1.6775060000000002e-05	2.8140263800360006e-10	1.7912610244e-10	-0.0323415	-0.0181139	0.00104597262225	0.00032811337321	0.0473703	0.0104529999999999	0.00224394532209	0.0001092652089999	0.00142425	0.0	2.0284880625e-06	0.0	0.00027749	0.00027749	7.700070009999998e-08	7.700070009999998e-08	-0.000438674	-0.000122985	1.9243487827600002e-07	1.5125310224999997e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
470.6910493581579	-0.1551210605837241	221550.06394588383	0.0240625434366194	643.541309408203	-0.7511216681281212	0.5641837603315715	414145.41691482445	473.2838674704184	-0.7740188731938815	223997.61920775656	0.5991052160603261	488.2792178694512	456.3867533035871	1.336197	21.812178	0.0354374561999999	0.0230433	-0.1196069825	-0.0996529645	-0.029340191	-0.0239950749	-0.1001669081	0.0725630885	0.0236581069	0.1228278184	-0.0343040626	-0.0148472318	-0.0062622706	-0.0299193018	-0.1859051828	0.0085452833	-0.1694867559	0.0995422753	-0.0422951558	0.0058099794	0.028229248	0.0114437252	0.1010298201	0.1303205271	-0.1225482667	-0.0351554073	0.0722471082	-0.0806034952	0.1835345353	0.1344482433	-0.0253263177	-0.0518688498	0.0845855768	-0.0016705798	-0.1407853844	-0.0187282078	0.0021608122	-0.1973632475	0.0035803199	0.0107914447	0.0010726574	0.0126391943	0.0705601659	-0.01895475	0.0409492235	-0.0114274088	-0.0261523791	-0.0145779563	0.0913798895	0.0461604477	0.0648335934	0.1426317191	0.1236629948	0.1980160344	0.0182796433	-0.0010765235	-0.0472112768	0.0504447679	0.0553986388	0.0710083624	0.1186205405	0.0107227696	0.0871213155	0.1092391997	0.1208358176	0.0095515888	-0.1121575805	0.1833045679	0.0364427346	0.1051005287	-0.0349545168	-0.1357030541	0.0681685528	0.0713435575	-0.0951019155	0.0668665923	0.029954609	0.0627156765	0.0034641204	0.0163950242	-0.0919532473	0.1357267736	0.0386118717	-0.0892384422	0.1015376907	-0.0243887489	-0.0210081351	-0.0433260584	0.1748288656	0.1738811299	0.0005081758	0.1138210821	-0.06294077	0.0020533884	0.0434085379	0.1124350918	0.0004130634	-0.1273238175	0.1462866774	0.0294289785	0.0786495315	0.161483504	0.1773473263	-0.0109995475	-0.0479722088	-0.0608388011	0.0284881174	-0.0742596072	-0.0784985897	-0.0661662458	-0.036307234	0.137918477	0.0090817216	-0.0085846512	-0.1490432184	0.044460969	0.1790666735	0.0137704529	0.0721096489	0.1133467741	-0.0265158262	0.0314528998	0.0169323768	0.0294474592	0.0602045643	0.0086321207	-0.0246165349	-0.0847146359	-0.0441094177	-0.0904573268	0.0340143509	0.1014426677	0.1181416881	-0.0940819935	-0.1014418228	0.0061621146	-0.022935735	0.0005637264	-0.1738841389	0.105893522	0.0326533625	-0.0091771858	0.0479508953	-0.0888251599	0.0845479283	-0.0580809127	0.001906987	-0.0490031017	0.0573227587	-0.1214093737	-0.1417844219	-0.0962631749	0.0249210626	-0.0411247724	0.0545393196	0.0511211194	-0.0067149757	-0.1094728941	0.1439755567	0.0067608434	0.0284016219	-0.067615792	0.103052132	0.1027823111	0.1023331329	0.101705381	0.0	0.0	-1.01776e-05	3.2062e-06	1.027971844e-11	1.0358354176000002e-10	-0.016266	0.0160755	0.000264582756	0.00025842170025	0.0310905	-0.0162797999999999	0.00096661919025	0.0002650318880399	0.00142425	0.0	2.0284880625e-06	0.0	0.000215911	-6.157899999999997e-05	3.791973240999997e-09	4.6617559921e-08	-0.000438674	0.0	1.9243487827600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
470.0785425700128	-0.6125067881450832	220973.8361847473	0.3751645655238058	640.2183889847552	-3.32292042344784	11.041800140566776	409879.5855942353	473.7863389842353	0.5024715138168858	224473.4950080847	0.2524776221974328	488.997166133506	458.1693069257896	1.54818	25.2726	0.0589759725	0.0344908	-0.1179142645	0.0616641383	-0.055088504	0.0592128909	-0.0711757368	0.0785324694	0.0359156837	-0.06936402	0.046264058	-0.1167265296	0.0874297003	0.0106167995	-0.0653576827	-0.0509560261	0.1560416995	-0.0243088474	-0.0684341486	0.1854879391	0.0441552688	0.1500302217	0.030075852	0.1535282683	-0.1310530216	0.1286199465	-0.0237043075	0.0890857378	0.0122435007	-0.031482828	-0.0697409005	0.0400309225	-0.0942661012	-0.041556927	-0.1297691087	0.0874619401	0.0615400686	-0.0535077288	-0.1446185541	0.0625198563	0.009501616	0.0833744558	-0.0761516531	-0.1303509831	0.0042163477	-0.0042771925	-0.0408338225	-0.0705964285	0.1710853608	-0.088278558	-0.0453073536	-0.0365555745	-0.0327371107	-0.0444960746	-0.1460439417	-0.0058512946	0.1625922653	0.0190672239	-0.0478587795	-0.1263984703	0.1542377912	0.0647676052	-0.1097106894	0.0280176603	-0.0878810713	0.0850724873	0.0272745761	0.0147639313	0.0436539587	-0.0148338902	-0.1293473469	0.1732034345	0.013343502	0.0361249783	0.0828833049	0.0966985648	-0.1649272445	0.0246750044	0.0416200818	0.0754955937	0.097989519	-0.0382883453	-0.0731259541	-0.1077151593	0.1439968035	-0.0573398228	-0.0609720727	-4.17039e-05	-0.0398141872	-0.0621343638	-0.0813627893	-0.0427299342	0.0420435167	0.0658930256	-0.1675705608	0.0859786252	0.0222395137	0.0078027018	0.0537653617	0.0825068522	-0.0546711582	0.1617685373	-0.1411282074	-0.1568682987	-0.0168802883	0.0316191224	-0.137385757	-0.1186742968	0.0530483334	-0.0886930919	-0.1353679964	-0.0870610636	0.0204476749	-0.0945025673	0.1374137039	0.0054106783	0.0253386881	0.0044283996	-0.1665138986	-0.0216884071	-0.0977160269	0.0059074611	-0.0081957437	0.0432944781	0.1286034612	-0.0970234911	-0.1298391132	-0.0201961676	0.0951705774	-0.0124970638	-0.0664136839	-0.0732698212	0.0055444528	-0.089019558	0.0890917685	-0.0432682348	-0.2301187858	-0.0278993816	-0.1629110982	0.0912548963	0.0408324109	-0.0325047809	0.0829741775	0.018706206	0.0169538752	-0.0338473185	0.0085283032	-0.0825375456	0.0518056832	-0.0641838148	-0.0678423961	-0.0434013992	0.0767063703	-0.1229194854	0.0238092552	-0.0369164485	-0.0721739415	0.0575898456	-0.1636040464	-0.0848142368	0.0774123482	0.05462175	0.1029657637	0.102437284	0.1015584928	0.1003323953	0.0	0.0	-2.96801e-05	-1.95025e-05	3.8034750624999986e-10	8.8090833601e-10	-0.00967323	0.0065927699999999	9.35713786329e-05	4.34646162729e-05	0.0450356	0.0139451	0.00202820526736	0.00019446581401	0.00202346	0.00059921	4.0943903716e-06	3.590526241e-07	0.000385073	0.000169162	2.8615782244e-08	1.48281215329e-07	-0.000438674	0.0	1.9243487827600002e-07	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
469.3714039098204	-0.7071386601924132	220309.51480827577	0.5000450847387212	641.5491942287554	1.330805244000203	1.7710425974584396	411585.3686155653	473.5724302938067	-0.2139086904285818	224270.8467343824	0.0457569278408708	488.90945129071054	444.95627407235537	1.370434	22.371054	0.0477658629	0.0326519	-0.127092343	0.0539815123	-0.044649132	-0.0347809123	-0.0842690029	-0.1710732003	0.0627029815	0.0189611734	-0.0632760293	0.0084727614	0.1402469553	0.0326416559	-0.1760151916	-0.0802005725	0.0135856001	0.0032284543	-0.2400923014	0.0280256325	0.0359206058	0.1076130299	0.0274283878	0.1496276419	-0.10800318	-0.035751761	0.0810410557	0.1141813835	0.061593156	-0.1142908892	0.1522041067	0.0289120703	-0.0081437535	0.0179870611	0.0285812176	-0.0414263721	0.0115065805	-0.0161696618	-0.0279301737	-0.0930201798	0.1539784446	0.0717332743	-0.0755140383	-0.0231128207	0.005459953	0.0758504913	0.0218436077	-0.0960639293	0.0009704147	-0.053343264	-0.1055457735	0.1431576325	-0.0262151328	0.1213959346	-0.0313561854	-0.2055515033	-0.0618915632	-0.1315199348	0.1043972552	-0.0229954199	-0.1159972787	-0.0952400927	-0.0661649889	0.0165066267	-0.0587975551	0.0423644417	0.0315938037	-0.0546913197	-0.1233803036	0.0303940957	-0.0902907622	0.0083244674	-0.1146200544	0.040076482	0.038682563	0.014309588	-0.0411491562	-0.0452635639	-0.0029782637	0.1261613808	-0.0171909462	0.000177913	0.0843897338	-0.1119778125	0.1530445859	-0.0572228288	-0.1953769437	0.0248644502	0.0421591235	-0.0552487309	0.0747659261	0.0324149627	0.0836098405	0.0200346102	0.0114097099	0.0987606696	0.0188737602	0.0083602603	-0.0215792672	-0.1937534373	0.0251144745	0.0615694032	-0.0022380398	-0.0812514967	-0.1182360102	0.1212272181	0.0006573615	-0.0461847845	0.0377024875	-0.0100549679	-0.2110165564	0.0528823898	-0.0964100368	0.0620616849	-0.0246356325	-0.0648398743	-0.0208923249	0.0563360237	0.0604093252	-0.1915120986	0.1833041632	0.064196803	0.0759299743	0.034668177	0.0830206053	-0.0428508181	0.0854789752	0.0966544261	0.1265974557	0.0087645735	-0.086066573	0.1085086182	0.0045149511	0.1498304047	0.0227358208	-0.0030261074	-0.0696260159	0.0906397379	-0.1783858692	0.0990665648	0.0095946493	-0.0241927193	0.078134064	-0.0954248189	-0.0402955305	-0.0398728948	-0.0388625164	0.0040001235	-0.0014784922	0.0083445556	-0.1063864491	-0.0650643143	0.1517147413	0.0596210639	0.0178766753	0.0878077794	-0.0532981003	0.0987995126	-0.0298731477	-0.0268131682	0.0093047459	-0.0838983426	0.1028506435	0.1019778474	0.1005286696	0.0985113008	0.0	0.0	-3.0323e-05	-6.429000000000002e-07	4.133204100000003e-13	9.19484329e-10	-0.0112499	-0.00157667	0.00012656025001	2.4858882889000014e-06	0.0396288	-0.0054068	0.0015704417894399	2.9233486240000035e-05	0.00142425	-0.00059921	2.0284880625e-06	3.590526241e-07	0.000601498	0.000216425	4.6839780625000006e-08	3.61799844004e-07	-0.000438674	0.0	1.9243487827600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
470.0781912656337	0.706787355813276	220973.5059035697	0.4995483663375224	645.5977707151155	4.048576486360162	16.39097156590839	416796.4815523269	473.3909190468556	-0.1815112469511177	224098.96223602656	0.0329463327697496	488.5706210121287	447.3667430429401	1.489119	24.308487	0.0773203564999999	0.0544358	-0.110411172	-0.1374929273	0.0152407354	0.0171030528	-0.0908333297	0.015177759	-0.060562312	0.1107641008	0.0159000082	-0.0585517755	-0.0464757698	-0.1315552165	-0.1687828796	-0.0091384335	-0.0318739135	0.1673329719	-0.0533227742	-0.0741965792	0.0694934374	-0.035005665	0.1155202693	0.1644171487	-0.1487605115	-0.0512351894	-0.0357954352	-0.0171341375	0.0889242751	0.0051914769	-0.0970840891	0.0398765122	-0.0341272463	0.0935056752	-0.0739759369	-0.0625044438	-0.0324348131	0.0224864678	0.0311836056	-0.1881982347	-0.079947749	-0.0650319585	0.1120084196	-0.1487377202	-0.1424510444	0.0058241259	-0.0158484214	0.0247362559	-0.0940469215	-0.0798607038	-0.1457536538	0.0905098603	0.0105952868	-0.0261719412	-0.055954943	-0.0662848387	-0.1672379182	-0.0047848362	-0.0990389331	0.0226109843	-0.0769037024	-0.0059293176	-0.0402770318	0.0270471109	-0.0280030463	0.0244956571	0.0442001421	0.1525482629	-0.0020408051	-0.0366912789	0.0378585052	0.0159413825	0.1235905745	0.0748850094	-0.0505914693	0.0596894839	0.1321419772	-0.09578203	-0.0871982042	-0.0025690086	-0.0567618647	0.1501498005	0.0258104491	-0.1242424576	0.1244656567	-0.1367772598	0.0560191137	-0.0301236937	0.1707961656	0.0487769946	0.0322797657	0.0404868885	-0.0040180499	-0.0878790281	-0.0109364377	-0.0080524964	-0.0087067376	-0.0054931491	0.0954304183	0.0419223951	0.1073965096	0.1010905864	-0.0894225516	0.0728814644	-0.1700616513	0.0522670091	-0.0214399591	-0.104592555	-0.0442592096	0.0535507061	-0.0573846614	0.1067487201	-0.0844462841	0.0793922064	0.0843421795	0.0653210431	-0.0835292864	-0.0689133084	0.0981804496	-0.0477816814	-0.0692971866	0.0581227495	0.0529960845	0.0050097784	-0.1364020372	0.0498832256	0.1291297656	0.0922013459	-0.0651464949	-0.0078661032	-0.0854204826	0.1017388265	-0.212344553	-0.0265850291	0.0489266088	0.0102922894	0.0589521764	0.0299794467	-0.1485893473	0.0721587751	0.008082409	-0.0056336563	-0.0141554133	-0.0515390853	0.0681756292	0.0440866487	-0.0113009108	-0.0513524851	-0.0096688066	-0.072845872	-0.1418258456	0.035889599	-0.053075929	0.0181995155	0.0225709348	0.0203579935	-0.1486854688	-0.1084998929	0.069950181	0.061177944	-0.0180604291	-0.0040706611	0.1027068035	0.1014045146	0.099246251	0.0962502309	0.0	0.0	-3.76795e-05	-7.356499999999996e-06	5.411809224999995e-11	1.4197447202499999e-09	-0.0197429	-0.008493	0.00038978210041	7.213104900000001e-05	0.0494109	0.0097821	0.00244143703881	9.568948041000004e-05	0.00249169	0.00106744	6.2085190561e-06	1.1394281536e-06	0.000613153	1.1654999999999955e-05	1.3583902499999896e-10	3.75956601409e-07	-0.000337011	0.0001016629999999	1.1357641412100001e-07	1.0335365569e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
