global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
311.76369100542126	n/a	n/a	97196.59902932378	471.4218713109632	n/a	222238.58075033032	n/a	314.5813374547325	n/a	98961.41787480826	n/a	362.3075377901951	279.35011010982566	n/a	n/a	n/a	n/a	-0.0373857294	-0.1737041582	0.1434451544	0.138563297	-0.1891300581	0.125994059	-0.3161626674	0.2021155827	0.1810877058	0.2874536614	0.2497799021	-0.2456706025	-0.0675108459	0.2009033598	0.1238628362	0.0374373664	0.0072075154	-0.2708204328	-0.0232585139	-0.0492660058	-0.0928251773	-0.0458523662	-0.1185030295	0.0218451489	-0.0286088281	-0.0870212549	0.0044226469	0.029167779	-0.0456396677	0.0870873483	-0.0947776611	0.025018622	-0.0371436557	0.1058761998	-0.2369054895	0.0443174163	-0.0432763511	0.0404991334	-0.0387215735	-0.0197248325	0.0214574442	-0.0139217401	0.0852475671	-0.0700571134	0.0502192506	-0.0633497175	0.0360505436	-0.0209059806	0.0880934253	-0.043772749	0.0102462043	-0.1401742622	0.022899187	-0.0240629798	0.0039380467	-0.0315472761	0.000761653	0.0631212572	-0.0229466526	0.0125594147	-0.0246386624	0.0366638425	-0.0124509992	0.049637066	-0.0859832651	0.1896852299	-0.1439383812	0.0104999516	-0.1806062233	0.0572827238	-0.2229237342	0.150080434	-0.2658567603	0.0672441676	-0.0936847129	0.1147312859	-0.0808477839	0.0589951347	-0.022614747	0.0102536739	-0.1030341755	0.0849557389	-0.0609739304	0.0709940809	-0.0389465887	0.0387603908	-0.0054821046	0.0846536502	-0.0555231767	0.0210443858	-0.0799360841	0.0968628914	-0.0850200213	0.0192679579	-0.0495813129	0.0478609483	-0.0590259518	0.0082537568	-0.1707568772	0.0417160524	0.0850375007	-0.0511610935	0.1675478227	-0.0663524995	-0.1526064247	0.0130103279	-0.0204217412	0.1721772664	-0.0021801522	0.1461259182	-0.1622483114	0.0701300744	-0.0969325274	0.2850533376	-0.1011330565	0.0893006644	0.0212688075	-0.0529455204	0.2699937267	-0.0639680733	0.0207189733	-0.0656066623	0.0181838017	-0.0573336599	0.1570970147	-0.0982478267	0.1187848089	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0552136	n/a	0.00304854162496	n/a	0.122097	n/a	n/a	0.014907677409	0.0120357	n/a	n/a	0.0001448580744899	-0.00134361	n/a	n/a	1.8052878321000003e-06	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0
310.54227543185607	-1.2214155735651957	1.491856003347596	96436.50483039476	468.71711766581166	-2.704753645151527	219695.73639294636	7.315692280960473	314.49154969522976	-0.0897877595027125	98904.93482970716	0.0080618417565169	361.72840483454064	276.7761941074733	1.254856	18.15905	0.0509314	0.0320218	0.095870229	-0.1236158318	0.1613691567	0.1292262013	-0.0354634296	0.16766507	-0.1587498397	0.1887619845	0.0609211392	0.0942878339	0.00538502	0.0735608971	0.2616882428	-0.0359878412	0.0181377051	0.0759278192	-0.0531772752	0.0796706653	0.0760991164	0.0205005657	0.0543581443	-0.1209810225	0.0513896884	-0.1372828554	0.0145693738	-0.0436131457	-0.0460012411	0.0335413744	-0.0152057942	0.160612747	-0.0554723992	-0.0620388279	-0.0741167077	-0.077752657	0.0328386338	0.0290261424	-0.0375175908	-0.0683433455	-0.0171922473	0.0193850402	0.0241633655	0.0352436952	0.0186957275	-0.0940291273	0.1337453872	-0.0743261481	0.0478656201	-0.1548245509	-0.0153415847	-0.1506324419	0.0608882908	0.0617476631	0.1753387811	-0.059986063	-0.0551087328	0.0287893942	-0.0001688284	0.0343494075	-0.0364178962	-0.0789414068	0.0404320523	0.0411056435	0.0474265033	0.0880713791	-0.0789093219	0.1411406087	0.0492896882	-0.0743121779	0.1801667803	0.0804301783	-0.2740843439	-0.0008462648	-0.1485604315	0.0222586622	0.0055300339	0.117681351	-0.0436852787	-0.1420834726	0.0272556544	0.0188687838	0.0059853019	-0.1522415192	0.0315494177	0.0279851795	-0.0413531401	-0.007338552	-0.0202223976	0.1740084675	0.071431758	-0.0396740394	-0.0367612728	-0.1314904976	0.0618058398	0.0501636057	0.0053070542	-0.0228761007	-0.0266817983	0.1382486599	0.0878379071	-0.0486484714	0.069891698	0.0590266193	-0.0028568117	-0.0838506883	-0.1313493624	-0.0972678183	0.0650809303	0.1666881301	0.0376682585	0.1106895998	0.0425014738	-0.0826456479	-0.1761753202	0.0235472763	-0.0630495209	0.2242896175	-0.0356669969	0.0748530524	0.1030779476	0.0302418537	0.0018389127	-0.0126676702	-0.0422506624	0.0907346201	0.0761550404	-0.0252131599	-0.1114704455	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0552136	0.0	0.00304854162496	0.0	0.119108	-0.0029889999999999	8.93412099999995e-06	0.014186715664	0.0368777	0.024842	0.000617124964	0.00135996475729	-0.000881602	0.000462008	2.134513920640001e-07	7.77222086404e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
310.0132832208628	-0.5289922109932945	0.2798327592915742	96108.23577337888	466.9046629383438	-1.8124547274678664	217999.9642735684	3.284992139120617	314.41168397257985	-0.0798657226499131	98854.70701847343	0.0063785336543928	360.7621196367225	276.2792102140218	1.174097	16.990393	0.05818355	0.0309905	-0.0218259496	-0.0013498708	0.1841102713	0.0995882566	-0.1189526855	0.0958346268	-0.0089036328	0.0799236568	-0.0211563179	0.1469972565	-0.0039815411	0.0391275405	-0.2215803411	-0.0846143056	0.0447916275	0.0381366569	0.0054183558	0.2124002029	-0.0399939585	-0.0832005768	0.0159582829	-0.0397443857	0.0094864689	0.0075083356	-0.0631817318	-0.0610245095	-0.0042515312	0.0633956893	0.1402413697	-0.0240407504	0.1358989731	0.0520126516	0.0721724612	-0.0013304491	-0.103088029	0.0107431815	0.0014545348	-0.0923595362	0.0284000183	-0.0599344449	0.0209661273	0.1905124476	-0.0213876433	0.0157139508	-0.0113900637	-0.0307274881	-0.0553082732	0.0375219304	0.2123639822	-0.0637883257	-0.0924599876	-0.0568770607	-0.0171005642	0.0329260573	-0.0597699265	-0.0348893619	0.0286629845	0.0556800696	-0.0270060775	-0.0196333497	0.1071271392	0.0718623652	-0.1001551727	0.1232576346	-0.0151491164	0.078747604	0.0077649411	-0.0713687228	-0.0648850488	0.1078360224	0.0553367846	0.1449787901	0.0904378577	0.0843910123	-0.0529225021	-0.0260556163	-0.173905277	0.0368451879	-0.064789457	-0.0281323938	-0.0829120941	0.0289715742	0.0522037231	-0.0385623785	0.0853869991	0.0837617262	0.037712142	-0.0382473927	-0.0042233095	-0.0037482574	-0.1009609588	-0.0873771174	0.2074800479	-0.057189552	-0.1399235701	-0.1168445473	0.0268137143	-0.0246924467	-0.034833557	0.0066981681	-0.068026342	0.0433880642	0.04704736	-0.0845039358	-0.0449577639	-0.0928576155	-0.1155064294	0.1452470814	0.0056227606	0.0837509396	-0.1972244446	-0.0152907401	-0.0611034224	0.0710634537	-0.0124867288	0.0481597835	0.0279420392	0.0604488443	0.0526749412	0.037181178	-0.0375700665	-0.0088181882	0.0499256537	-0.0256509433	-0.0591457262	-0.1282947163	-0.0799438452	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0552238	1.0200000000001874e-05	0.00304966808644	1.0404000000003824e-10	0.101271	-0.017837	0.000318158569	0.010255815441	0.0549262	0.0180485	0.00032574835225	0.00301688744644	-0.00112236	-0.000240758	5.796441456399999e-08	1.2596919696e-06	-0.000204999	-0.000204999	4.2024590001e-08	4.2024590001e-08	0.0	0.0	0.0	0.0	0.0	0.0
309.5444156918289	-0.4688675290339006	0.2198367597823556	95817.74528599576	466.9384802015017	0.0338172631579141	218031.5442928882	0.0011436072874916	314.06023029948165	-0.3514536730982058	98633.82825576344	0.1235196843342205	360.5794339065901	276.7367603314658	1.209486	17.502502	0.0691474	0.0336487	-0.1103184157	-0.0883709168	0.0694778091	0.0661111684	-0.0727198931	-0.0081008853	-0.1134549274	0.1471785795	-0.0997494169	-0.0200586206	0.0245896544	-0.0228805317	0.2676609717	-0.0952731011	-0.0068387652	-0.0641455232	-0.0420088758	0.0767689531	-0.0194898353	-0.0100052432	0.070353813	0.0066159099	-0.0472451794	0.09344956	0.0179362247	-0.0048020727	0.0312941072	-0.0216141345	0.1136571335	0.0320658866	0.080440489	0.0772249275	0.1167493301	-0.1052393534	0.0453352345	-0.0294406581	0.1083112918	-0.0365273199	-0.058937839	-0.0660357868	0.1696596353	0.0265979008	-0.0163788795	-0.0909504978	0.0062744146	0.0102812896	-0.0819218755	0.06908334	-0.0899447227	0.0380954579	-0.1378327605	0.037455366	0.0186477216	-0.0273515767	-0.0244860214	0.0115604657	0.0195428169	0.0517335231	-0.0652871952	0.0556610184	0.1120564043	-0.1386786539	-0.0894921515	-0.0287808836	-0.0268191331	0.0753246149	0.0069346802	0.0143010708	0.1419097925	0.1315235147	-0.0650768783	0.0649076003	0.0477706937	0.110456704	0.1534294524	0.0657839378	-0.1333706819	0.0307753261	0.1363539086	0.0143018247	0.0655263029	-0.0999411077	0.0208550972	-0.1021540423	0.0491163636	-0.1055028278	-0.0598647233	0.0386410205	-0.0069540579	0.0340809767	-0.0805961224	-0.0385274494	-0.2266354327	0.0148590478	-0.0912329979	0.0221748711	-0.0172984287	0.0321421005	0.0112467506	0.0192027888	0.0398186882	-0.0545647298	-0.1558360473	-0.1100610613	-0.0841221354	0.053619413	-0.0466482615	0.1444874192	0.0235099714	0.0975401346	0.0734500308	-0.0652814275	-0.1231057393	0.0165676355	-0.0714664595	0.0834109119	-0.0328129501	0.1080536783	0.1255962857	0.044044857	-0.1027809812	-0.0171959452	0.0526801426	-0.0632200815	-0.0779506337	0.0413647082	-0.0213410439	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.055256	3.219999999999612e-05	0.003053225536	1.03683999999975e-09	0.127157	0.0258859999999999	0.0006700849959999	0.016168902649	0.0633689	0.0084427	7.127918329000007e-05	0.00401561748721	-0.000881602	0.000240758	5.796441456399999e-08	7.77222086404e-07	-0.0	0.000204999	4.2024590001e-08	0.0	0.000249973	0.000249973	6.248650072900001e-08	6.248650072900001e-08	0.0	0.0
308.9073355348418	-0.6370801569870537	0.4058711264266489	95423.74194723536	465.04408605718	-1.8943941443217227	216266.00197675783	3.588729174040432	313.8048824541961	-0.2553478452855415	98473.50425209184	0.0652025220919688	360.5277796955895	269.10851062976127	1.435403	20.771755	0.0630207999999999	0.0409757	0.0837676735	-0.0443791396	-0.0286677665	0.032895905	0.0742769082	-0.0161297916	0.0134475848	0.0560803969	0.0059010593	0.1288710613	-0.0135819093	0.0292045516	-0.1219710056	-0.0726651911	0.028181853	0.0751871083	0.0506475637	0.083530172	0.0467843704	0.0448864143	-0.0007023318	0.1197711264	0.0550309463	0.0434042584	0.0216815388	0.02539111	0.0404648353	0.0678328735	0.0502686668	0.0196328107	-0.0572460405	0.0199789923	0.0727084544	-0.0056628104	-0.0554635184	0.0797155815	0.0115547208	-0.0188798468	9.84809e-05	0.1151554413	-0.0797948015	-0.1084158625	-0.083551837	-0.0124938308	0.052346811	0.0037444667	0.1860855623	-0.0671275823	-0.0095116546	-0.0304459076	-0.0980973922	-0.0523123069	0.0001109562	-0.0189536878	-0.10869521	0.0233086651	0.0442589016	-0.0677239813	-0.0529352562	0.0185261666	0.0884413023	0.0003556185	0.0611305759	-0.0580349843	-0.0783583553	-0.0159579564	-0.0396661142	-0.0355018776	-0.0630202818	-0.0033191942	-0.0958225558	0.1579628262	-0.0052199477	0.0545636156	0.0591827716	0.0694884612	0.1325736374	-0.0489353514	-0.1081646096	-0.0692691117	0.0155463511	-0.0505077716	-0.0281374521	0.0212092083	0.1175639989	-0.0320583186	0.0985428475	0.0166372315	0.0206201611	-0.0328891349	-0.0010119246	-0.0181399145	0.1617513043	0.0231832378	-0.0346365697	0.0365344389	0.0230860338	-0.1149724997	0.0160194707	-0.0235054438	0.0007698432	-0.0780275169	-0.0132610528	-0.0897684393	-0.0620796003	-0.0645396316	0.0666966483	0.0676326965	0.0535786193	0.0800574898	-0.192399167	-0.1003441884	-0.0065756322	0.0056963342	-0.0342510881	-0.0605821766	0.002426621	0.089617874	0.0181575641	-0.0140409441	-0.0854105416	0.1694047319	0.1317019857	0.0936210581	0.0692791196	0.0747067149	-0.0651450737	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0552566	6.000000000033756e-07	0.00305329184356	3.600000000040507e-13	0.0899225	-0.0372344999999999	0.0013864079902499	0.00808605600625	0.0729625	0.0095935999999999	9.203716095999989e-05	0.00532352640625	-0.000881602	0.0	0.0	7.77222086404e-07	-0.000275753	-0.000275753	7.603971700900002e-08	7.603971700900002e-08	0.000201884	-4.808900000000002e-05	2.312551921000002e-09	4.0757149456e-08	0.0	0.0
308.8625407573069	-0.0447947775349462	0.0020065720944053	95396.06908305905	464.8935082620428	-0.1505777951371669	216125.97402419007	0.0226736723883706	314.0738897851939	0.2690073309977947	98642.40824480212	0.0723649441305571	360.4726803290656	268.87659731773465	1.119699	16.203188	0.07769215	0.0572226	0.0037189832	0.0794567835	0.0369272286	0.013773139	-0.0152955683	-0.0164110943	0.1380975457	0.0647184525	-0.028343297	0.0156111899	-0.0645637835	0.0550248696	-0.0376409183	-0.0141573343	-0.0003977666	0.0109230465	-0.0706248783	-0.0027347003	-0.0986399077	-0.0558140725	-0.0101850395	0.0728110271	-0.0407528451	-0.0072793098	0.0411561437	-0.0036341834	0.118386122	0.0018849342	0.0959493302	0.0234442712	-0.0987958727	-0.0058432478	-0.06989017	-0.0054888253	0.0193765671	-0.0424111157	-0.0481392515	-0.0269907589	-0.0390852091	-0.0142374274	0.0526176418	-0.0811471818	-0.1018049499	0.0130234206	0.0399022196	0.1213959167	0.0477207433	0.1832782284	-0.1415187881	0.0488938243	-0.0215314081	0.0529731247	0.0670216913	0.1090325656	-0.0715616275	0.0418160964	0.024763831	0.0804997499	-0.0182772437	-0.0273804625	0.0733789601	-0.0104050747	-0.0149688944	0.0615969175	-0.0747688938	-0.0850513309	0.0098420299	-0.0223738954	-0.0180032274	0.0297041309	0.0175640399	-0.0018808236	0.0576655361	-0.0201767265	0.0601577465	-0.0605194482	0.058047866	0.0055303705	-0.0827403199	0.0611238344	0.0388457331	0.063343055	0.0028610287	-0.1005096105	0.116636858	-0.1477278148	-0.0104554948	0.067900129	0.035375993	-0.0865669211	0.0699919814	-0.0094938833	0.1123459537	-0.0001913758	0.019412378	-0.0018990878	-0.0411710405	0.001467746	0.0641946995	-0.0988433727	0.0359757726	-0.1503810492	-0.0565107433	-0.121503537	0.0315625182	-0.0844897221	-0.0365806234	0.1023322081	-0.0163746694	0.0522144024	0.0615282822	-0.0280117078	-0.0438756661	-0.0170103554	-0.0822538738	-0.0196567917	-0.0303039466	0.1016410177	0.0307792345	0.1529509721	-0.0557260019	0.0191744567	-0.0043263164	-0.1043377518	-0.0085621297	-0.0491236079	-0.0870845249	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0530947	-0.0021619	0.00281904716809	4.6738116100000055e-06	0.14497	0.0550474999999999	0.0030302272562499	0.0210163008999999	0.0709458	-0.0020166999999999	4.067078889999985e-06	0.00503330653764	-0.00117307	-0.000291468	8.495359502400001e-08	1.3760932249e-06	-0.00020216	7.3593e-05	5.415929649e-09	4.08686656e-08	0.000197624	-4.25999999999999e-06	1.8147599999999917e-11	3.9055245376e-08	0.0	0.0
308.90441320049035	0.0418724431834789	0.0017533014981536	95421.93649473928	465.0546265028396	0.1611182407967817	216275.80563169564	0.0259590875174497	314.3797821769587	0.3058923917648144	98834.647441632	0.0935701553395987	360.4195463197194	271.72201912438027	1.143862	16.552862	0.10723515	0.0588837	-0.1096432549	-0.0104996759	-0.0405058538	0.0106260781	-0.036958293	-0.1052292551	0.0457482797	-0.0700018588	0.0682935446	-0.0057369764	0.1656205291	-0.0214227969	-0.0274823243	0.0147726782	-0.0840739759	-0.0192870972	0.0614826191	0.1709523219	-0.0589134412	-0.0255951085	-0.0844671296	-0.0923734089	-0.0094239423	0.0860356514	0.0725076573	-0.0756250176	0.0022744805	0.0857164476	0.0547864721	0.1342636093	-0.0369353456	0.010199033	0.0927683403	-0.0328447991	0.0789991632	-0.0387663918	-0.0277685766	-0.0948975497	-0.0206271324	-0.0232223945	0.0180003025	-0.0721215109	-0.1447782681	-0.0012687922	0.0339429516	-0.0444346199	-0.0256237044	0.088006717	-0.0101430227	0.081758025	0.0785638774	-0.0144778362	0.0913986188	0.0707502245	0.1521877021	0.0071530748	0.0702482853	-0.0947307032	-0.1213877556	0.0659260484	-0.0802750293	0.0958366742	-0.0774671794	-0.056031159	-0.0053980932	0.0465164391	0.0032669004	-0.1659947057	-0.0651149523	0.0079835906	0.0904018097	0.0179133415	0.0478650873	0.0246678229	0.1033755482	-0.1020811756	0.0807206436	-0.0576130508	-0.0349231827	0.0189168887	-0.0780922583	-0.0136534392	0.0123557167	0.0141757047	0.1034891893	-0.0899706087	-0.0362254567	0.1693627799	0.0347703528	-0.0218579892	0.0440681482	0.0637133215	-0.0171460179	-0.024825863	-0.1235808678	0.0143749597	0.0120400848	0.1471314988	-0.0192615985	0.0883980929	-0.058972718	0.0862217828	-0.0083833182	-0.083955219	0.0040609573	0.0899721166	-0.0674891362	0.0359241874	0.0603995111	0.025114499	-0.1432150683	-0.0276611435	0.014475156	-0.0059205746	0.0025235984	-0.0846628854	0.0186181252	0.0996947681	0.0726870687	0.0258760589	-0.0087005967	0.0117953338	0.1026843501	-0.0201995928	-0.00765841	0.1059396444	-0.0211749958	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0552136	0.0021189	0.00304854162496	4.48973721e-06	0.0921582	-0.0528117999999999	0.0027890862192399	0.0084931338272399	0.0863310999999999	0.0153852999999998	0.0002367074560899	0.0074530588272099	-0.000834471	0.000338599	1.1464928280100002e-07	6.96341849841e-07	-0.0	0.00020216	4.08686656e-08	0.0	0.0	-0.000197624	3.9055245376e-08	0.0	0.0	0.0
308.2915596720094	-0.6128535284809686	0.3755894473715734	95043.68576500012	464.4387633207285	-0.6158631821110703	215703.3648748877	0.3792874590799733	314.3833416520629	0.0035594751041685	98836.88550831767	1.2669863017195647e-05	360.7720389100077	266.6537039654777	1.242415	17.979027	0.1022793	0.0622244	0.0387518221	-0.0172487343	-0.1296854542	-0.0030390725	0.1069725027	-0.0390712413	0.1046693457	0.1071509204	0.0672745657	-0.1376275986	-0.084243576	-0.0467912874	0.0048951918	0.1317863902	-0.0107663375	0.0364984073	-0.0303218443	0.0144700471	0.1250847645	-0.0713291352	-0.0479635395	0.0797671722	-0.0864448594	-0.035261883	-0.050031223	-0.1224157701	0.0350203926	0.0349955857	-0.0517811098	-0.0129739538	0.0125541047	0.0536157988	0.0824027128	0.0539675449	-0.0628284262	-0.1474550434	-0.0501904363	0.0529503693	0.0852911252	0.0251372019	-0.1068695376	-0.0585990279	0.0240601092	-0.0399928222	0.1104297544	-0.0349034676	-0.0200687639	0.0127323337	0.0921673993	-0.0407108136	0.0001631012	0.1694878421	0.0604748829	0.039085304	-0.0840302194	-0.0759547229	-0.0115525406	-0.0488181809	-0.0703010684	0.0746235967	-0.0805557932	-0.0365993908	0.0537648761	-0.0384387179	-0.1661131186	0.0499817028	0.0026959424	-0.0429532804	0.0170390914	-0.0621505513	0.1049491164	-0.0679032993	0.0254057573	-0.011968527	0.0568461	0.0613433423	-0.0221480232	0.045024682	-0.1078246579	-0.0627551881	-0.1284442907	-0.0414568342	0.1444549751	-0.0916783205	-0.053718806	-0.0673503278	-0.1338786059	-0.0196819769	0.047304385	-0.0229763764	0.022494477	-0.072387327	0.0980539197	-0.0248047786	-0.0066690473	0.0893689408	0.1107678212	0.0456758879	-0.0128673909	0.0227725803	-0.0246998033	-0.0261009303	0.0688612783	-0.1379250648	0.0166690296	0.0266544231	0.0799942334	0.0114972384	-0.0098738817	0.008111959	0.0485933	0.0011101643	-0.0096849767	-0.0284387704	-0.0972497565	-0.0688588477	0.0192817335	0.0586687877	-0.0698508875	0.0741976954	-0.0552219101	0.0447769943	0.0362972726	-0.1055008852	-0.0387056218	-0.036937413	0.0447501296	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0552677	5.410000000000137e-05	0.00305451866329	2.926810000000148e-09	0.148282	0.0561238	0.00314988092644	0.021987551524	0.0914367	0.0051056	2.606715136000101e-05	0.00836067010689	-0.00112746	-0.000292989	8.5842554121e-08	1.2711660516e-06	-0.000393816	-0.000393816	1.5509104185600002e-07	1.5509104185600002e-07	0.000133111	0.000133111	1.7718538321e-08	1.7718538321e-08	0.0	0.0
308.168594256164	-0.1229654158453854	0.0151204934940285	94967.88248582024	465.0836127284035	0.6448494076749967	216302.76682850363	0.415830758578794	314.28710234393384	-0.0962393081290429	98776.38269974636	0.0092620044291568	360.4089565128088	264.46416988513056	1.047905	15.164257	0.0815076499999999	0.0562525	0.044181448	0.1333973769	-0.0745546761	-0.009952101	-0.0166781806	-0.0363578116	0.139165097	-0.0065741578	0.1015926532	0.0548850227	-0.090965578	0.0077165018	-0.0532576737	0.0006073854	0.0092379894	-0.0732777043	-0.021701111	-0.126940378	-0.0440841718	-0.105364832	0.1773612887	-0.0635067951	0.1058191651	-0.0894653848	0.0293673183	-0.0734045515	0.0463629366	0.0266047572	0.0467277938	-0.0409914225	-0.0024196244	-0.1012068053	-0.1344452416	-0.022246159	-0.0021155155	-0.0258309358	-0.0824254046	-0.0009303891	-0.1308439223	-0.0249539032	-0.031611782	0.0509345325	0.0386736187	-0.0313181363	-0.0003253995	0.1282056976	-0.0466915843	0.042982325	0.0144769689	-0.211789336	0.1127928777	0.0414848	0.0527804278	0.032342032	0.0133659767	0.0879086677	-0.0143839851	-0.0921833944	0.0928549612	-0.0623578926	-0.084234532	-0.0077047613	-0.0092030183	0.0796045885	-0.1111486275	-0.0857480679	0.010999069	-0.0812601093	-0.0166252901	0.0318200583	0.015003407	-0.1150942368	0.0135454238	0.026685559	-0.0785995786	-0.0148302316	0.0429050349	0.0845978136	0.088269244	0.0522663251	-0.021019585	0.0878899835	0.0048733591	0.1354997315	-0.0845121837	0.0212764234	0.0942920556	0.0778924866	-0.003520286	0.0684821455	0.1536769475	-0.1359636956	-0.0346422378	0.1285572782	0.1514366049	-0.0367682899	0.0195387042	-0.0106363653	-0.0164416002	-0.072957571	-0.1830351886	0.0481992747	0.0846370828	-0.0978530054	0.101952539	-0.0660636352	-0.0010260602	-0.0342963888	0.063830962	-0.0432967315	-0.0814215133	-0.0093452651	0.0438426742	-0.0481888991	0.0321748727	-0.0853033951	-0.0430667581	0.1069575639	-0.0030024279	0.0197269492	0.0033145699	-0.0022273293	-0.0342942528	0.0038678253	0.0716275645	0.012272626	-0.0074295905	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0421831	-0.0130846	0.00177941392561	0.00017120675716	0.0946908	-0.0535911999999999	0.0028720167174399	0.00896634760464	0.091858	0.0004212999999999	1.7749368999999958e-07	0.0084378921639999	-0.000993518	0.0001339419999999	1.7940459363999993e-08	9.870780163240002e-07	-0.000414974	-2.115799999999996e-05	4.4766096399999834e-10	1.72203420676e-07	0.0	-0.000133111	1.7718538321e-08	0.0	0.0	0.0
