SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
19	41	16	6	1	1	75	10	1	1	6	5	645.25	49	11
19	41	16	6	1	1	75	10	1	1	6	5	846.05	49	15
19	41	16	6	1	1	75	10	1	2	6	10	712.38	49	15
19	41	16	6	1	1	75	10	1	3	6	4	17.55	49	1
19	41	16	6	1	1	75	10	1	4	6	9	90.81	49	2
19	41	16	6	1	1	75	10	1	5	16	7	88.77	49	2
19	41	16	6	1	1	75	10	1	6	6	2	715.15	49	15
19	41	16	6	1	1	75	10	1	7	6	3	8.45	49	1
19	41	16	6	1	1	75	10	1	8	16	9	86.91	49	2
19	41	16	6	1	1	75	10	1	9	6	8	711.58	49	15
19	41	16	6	1	1	75	10	1	10	16	2	12.86	49	1
19	41	16	6	1	1	75	10	1	11	6	7	668.2	49	14
19	41	16	6	1	1	75	10	1	12	6	6	8.98	49	1
19	41	16	6	1	1	75	10	1	13	6	1	260.64	49	6
19	41	16	6	1	1	75	10	1	14	16	5	9.35	49	1
19	41	16	6	1	1	75	10	1	15	6	5	438.62	49	9
19	41	16	6	1	1	75	10	1	16	6	2	0	-1	16
19	41	16	6	1	1	75	10	1	17	6	4	279.74	49	6
19	41	16	6	1	1	75	10	1	18	6	9	229.09	49	5
19	41	16	6	1	1	75	10	1	19	6	10	325.02	49	7
19	41	16	6	1	1	75	10	1	20	16	1	536.09	49	11
19	41	16	6	1	1	75	10	1	20	16	1	760.68	49	16
19	41	16	6	1	1	75	10	1	21	6	3	0	-1	16
19	41	16	6	1	1	75	10	1	22	16	10	64.02	49	2
19	41	16	6	1	1	75	10	1	23	6	7	558.72	49	12
19	41	16	6	1	1	75	10	1	24	16	4	760.72	49	16
19	41	16	6	1	1	75	10	1	25	6	8	8.59	49	1
19	41	16	6	1	1	75	10	1	26	16	3	64.45	49	2
19	41	16	6	1	1	75	10	1	27	6	6	428.66	49	9
19	41	16	6	1	1	75	10	1	28	6	1	0	-1	16
19	41	16	6	1	1	75	10	1	29	6	6	110.09	49	3
19	41	16	6	1	1	75	10	1	30	6	1	184.61	49	4
19	41	16	6	1	1	75	10	1	31	16	6	84.08	49	2
19	41	16	6	1	1	75	10	1	32	6	9	374.71	49	8
19	41	16	6	1	1	75	10	1	33	6	8	0	-1	16
19	41	16	6	1	1	75	10	1	34	6	10	165.68	49	4
19	41	16	6	1	1	75	10	1	35	16	8	461	49	10
19	41	16	6	1	1	75	10	1	36	6	7	0	-1	16
19	41	16	6	1	1	75	10	1	37	6	4	629.01	49	13
19	41	16	6	1	1	75	10	1	38	6	2	0	-1	16
19	41	16	6	1	1	75	10	1	39	6	5	328.03	49	7
19	41	16	6	1	1	75	10	1	40	16	7	316.48	49	7
19	41	16	6	1	1	75	10	1	41	16	4	0	-1	16
19	41	16	6	1	1	75	10	1	42	6	3	160.96	49	4
19	41	16	6	1	1	75	10	1	43	6	7	291.46	49	6
19	41	16	6	1	1	75	10	1	44	6	5	258.55	49	6
19	41	16	6	1	1	75	10	1	45	6	2	91.91	49	2
19	41	16	6	1	1	75	10	1	46	6	1	269.11	49	6
19	41	16	6	1	1	75	10	1	47	6	9	162.57	49	4
19	41	16	6	1	1	75	10	1	48	6	4	87.57	49	2
19	41	16	6	1	1	75	10	1	49	16	5	120.02	49	3
19	41	16	6	1	1	75	10	1	50	16	1	572.36	49	12
19	41	16	6	1	1	75	10	1	51	6	10	0	-1	16
19	41	16	6	1	1	75	10	1	52	6	6	324.06	49	7
19	41	16	6	1	1	75	10	1	53	6	3	209.88	49	5
19	41	16	6	1	1	75	10	1	54	6	8	341.62	49	7
19	41	16	6	1	1	75	10	1	55	16	2	0	-1	16
19	41	16	6	1	1	75	10	1	56	6	2	86.38	49	2
19	41	16	6	1	1	75	10	1	57	6	10	22.73	49	1
19	41	16	6	1	1	75	10	1	58	6	9	782.92	49	16
19	41	16	6	1	1	75	10	1	59	16	10	11.19	49	1
19	41	16	6	1	1	75	10	1	60	6	1	136.18	49	3
19	41	16	6	1	1	75	10	1	61	6	8	65.77	49	2
19	41	16	6	1	1	75	10	1	62	6	3	81.54	49	2
19	41	16	6	1	1	75	10	1	63	6	6	326.16	49	7
19	41	16	6	1	1	75	10	1	64	6	5	83.61	49	2
19	41	16	6	1	1	75	10	1	65	6	7	44.88	49	1
19	41	16	6	1	1	75	10	1	66	6	4	107.22	49	3
19	41	16	6	1	1	75	10	1	67	6	7	58.89	49	2
19	41	16	6	1	1	75	10	1	68	6	4	186.75	49	4
19	41	16	6	1	1	75	10	1	69	6	10	208.5	49	5
19	41	16	6	1	1	75	10	1	70	6	2	179.87	49	4
19	41	16	6	1	1	75	10	1	71	6	1	160.24	49	4
