global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
275.9562522700089	n/a	n/a	76151.8531669088	398.2641618477048	n/a	158614.3426122548	n/a	287.87082293841524	n/a	82869.61069924042	n/a	299.6726668718576	253.99934624918384	n/a	n/a	n/a	n/a	-0.0083235693	0.0956703646	-0.0599125603	0.1168692773	-0.041471626	0.0663170632	-0.160720171	0.1046987663	-0.1228972266	-0.0268002124	0.1762150704	-0.0523422251	0.0632231323	-0.1225282363	0.3239337967	-0.5250248247	0.0187588381	-0.1386551676	0.0761016865	-0.0008580706	0.0667167204	-0.0693828648	0.0087103903	-0.0532695155	0.0946010191	-0.0108063953	-0.1719777913	0.0935702304	-0.0451974554	-0.0600748882	0.0363440656	-0.0438789212	0.0492837859	-0.067859941	0.0171923797	0.0794374422	-0.105606416	0.0011690732	-0.0081553504	0.0728184787	-0.0226923801	0.0564353396	-0.085910056	0.0039316645	-0.032500107	0.0589647437	-0.0549000087	0.0520234253	-0.0213837248	0.0222573168	-0.0793183638	0.0455626061	-0.0039168341	0.0567063649	-0.0007784028	0.0050739769	-0.0271160611	0.0983089148	-0.0427830878	0.0139491846	0.0277380308	-0.074917397	0.0630489005	-0.0174629414	0.1235945431	-0.0008570074	-0.0058512432	-0.043505684	0.1053955893	-0.1026665489	0.1102117639	-0.0782138274	-0.0215095015	-0.0777469916	0.0243743199	0.0083424232	-0.0327741969	-0.0182796956	-0.0692045771	0.0368691566	0.0394031486	-0.1378376816	0.1422321972	0.0398590091	-0.0701819403	-0.0852121638	0.0598600591	0.1037905349	-0.1323338668	-0.049846178	-0.0359327263	0.0914945709	0.033642717	0.022096888	-0.1625672387	-0.0535274254	-0.0833860607	-0.0715279249	0.1997477647	-0.0449733443	0.1033964344	-0.0745447183	0.0205535392	-0.1140177939	0.0548413257	-0.095610637	0.0318900651	-0.1552228172	8.094e-05	0.0364752141	-0.033308938	0.1535745959	-0.1228709605	0.0584644519	-0.1633702908	0.0711993133	-0.1225661191	0.0799010347	-0.0634878707	0.0936729701	-0.0128646218	0.0614126734	-0.0638326312	0.1198217339	-0.0046532785	-0.0885732409	0.1893066906	-0.063239132	0.0778774038	-0.0087293673	0.0323626009	0.0431225612	-0.0254414838	-0.0298101601	0.0481129619	0.174716647	-0.0115784683	-0.0193275412	-0.0030833677	0.0562460651	-0.0661349741	-0.1114392294	-0.059192046	0.0967607354	0.0087515458	-0.0495038969	-0.017902557	-0.021958261	0.0679596251	0.0542578397	-0.1383977948	-0.0499150109	0.1225973621	0.0428574987	0.0434933263	0.088653865	-0.0633026343	-0.1025249114	-0.0823217622	0.1452952477	-0.0719853947	-0.0534440195	0.1963726531	-0.0081793261	0.0204807036	-0.0865333688	0.1646489712	-0.0844172665	0.029026644	-0.0744200267	0.0651892366	-0.0923827773	0.2918557201	-0.0318038591	0.0318423847	-0.1599605685	0.0973091943	-0.004858469	0.0496055424	-0.0125531979	0.0839229009	-0.0278822608	0.2320754444	-0.164104843	0.0856881449	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0410844	n/a	0.00168792792336	n/a	-0.0108713	n/a	0.00011818516369	n/a	-0.131348	n/a	n/a	0.017252297104	0.00089552	n/a	n/a	8.019560704e-07	0.000698984	n/a	4.885786322560001e-07	n/a	0.0010348	n/a	n/a	1.07081104e-06	0.0
275.62676665076265	-0.3294856192462703	0.1085607732900982	75970.11449435397	394.4196103934731	-3.844551454231748	155566.8290629391	14.78057588423545	287.84803443989864	-0.0227884985166042	82856.49093091307	0.0005193156646412	299.1536111888767	245.55517875820613	1.460236	28.478031	0.0751442499999999	0.0445991	-0.0339483729	0.0908616643	-0.0210893268	-0.0056575178	-0.0461318256	-0.1600367717	0.0706426691	-0.0128057499	-0.1081624167	-0.0500042729	0.0901026129	-0.0463732658	-0.0261414161	-0.0117476677	0.1455779325	-0.0901120411	-0.1683750382	0.116936737	-0.0104440486	-0.0994557872	-0.1003983086	-0.1015524555	0.1446985362	-0.0838591774	-0.0549942366	0.1267700729	-0.01095739	0.0419523043	-0.0633340705	-0.0655449432	-0.0272140224	-0.0124138647	-0.070760155	0.0576000047	0.0501900832	0.0621614638	-0.0206159096	-0.0292964705	-0.0910729416	-0.0570162967	0.0990328754	-0.0615777759	-0.0985691751	-0.0184294986	-0.0046455563	0.125560485	0.0873449789	-0.0333213616	-0.0354280663	-0.0467689493	-0.0236272173	0.0251681413	0.0294029556	-0.0777001715	0.0208732284	-0.0227196669	0.0811818187	-0.0346829268	-0.0654509188	0.0631324978	-0.0975668965	-0.03411658	-0.0654725954	-0.035653878	-0.0526214947	-0.1592463132	-0.0654048832	-0.0408541257	0.0904504348	-0.0854313201	0.1052523821	0.0920270012	-0.0785465644	-0.0712291321	0.0256209058	-0.0603363154	-0.0857643655	-0.0211289868	-0.1633438399	-0.0475379989	0.049563402	-0.0572224035	0.0238267411	0.0921871829	-0.0997488791	0.0193570174	0.1296484224	-0.1409562143	-0.0884864577	-0.1333376062	-0.0304300881	-0.0765980343	-0.1580501656	0.1220758421	-0.0482651951	0.0187681648	-0.0104107874	-0.0161832094	0.1407677598	-0.0245381908	-0.0320970741	0.0073067903	-0.0598684152	0.0144688196	0.1004536094	-0.0909941986	-0.1505889119	-0.0779659069	-0.0190153616	-0.0328049944	0.0431680622	-0.0324651067	-0.062412007	-0.1120185309	-0.1440393656	0.0691328758	-0.0008410762	0.0791767538	-0.02046298	-0.0479308233	-0.0173009531	-0.0729963711	-0.0919864183	-0.0099491674	0.0032286764	0.0007366335	0.034638291	0.0836144191	0.0649098181	0.017943957	0.0047423118	-0.0158209603	-0.0186791848	-0.0697569611	0.0273489814	0.1430862126	0.0519005459	0.085821427	-0.0344640558	-0.1124036599	-0.0492464108	0.0012415282	-0.0280029393	0.1104930547	0.1076287524	0.0555666315	0.0437980614	0.0701765637	0.0954507631	0.0063276041	0.0438107731	-0.0646434423	-0.0353750285	-0.0443383508	0.0144340796	-0.0136499074	-0.0490648025	-0.0718715631	0.1802040409	0.0312628765	0.0196946826	-0.0736863933	0.1561218423	-0.116545631	0.0576840686	-0.0926533793	0.0650076063	-0.0354233409	0.0082120402	0.1218438814	0.0734912608	0.0034020009	0.1686070589	0.1057250919	0.0326469973	-0.0208190022	0.1954122674	0.0501412199	0.0216339791	0.0452652048	-0.0268827938	0.0740107511	0.003813005	0.139286249	0.0488203123	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0410652	-1.9199999999997e-05	0.00168635065104	3.686399999998847e-10	-0.0502533	-0.039382	0.00252539416089	0.001550941924	-0.126271	0.0050769999999999	2.577592899999998e-05	0.015944365441	0.00083741	-5.811e-05	3.376772099999999e-09	7.012555081e-07	0.00041458	-0.000284404	1.718765764e-07	8.088563521600003e-08	0.000763993	-0.0002708069999999	7.333643124899999e-08	5.836853040490001e-07	0.0
275.62784837148905	0.001081720726404	1.170119729931999e-06	75970.71079789657	394.0325758498229	-0.387034543650202	155261.6708308464	0.1497957379785201	288.0777436161284	0.2297091762297327	82988.78636695979	0.0527663056441424	299.2314469887489	253.47141634625592	1.430673	27.901485	0.07033216	0.0455323	-0.097297932	0.0387552843	-0.1240867605	-0.0217833393	0.109061352	-0.0007421005	-0.1852573306	0.0096690353	-0.0423277759	-0.091920682	0.006042923	0.0192174703	0.0125361789	0.0666816596	0.046773516	-0.1712763099	-0.119136592	-0.0784781555	-0.1298222317	-0.0118079229	0.0921459887	0.0150725455	0.0067270584	0.030688767	-0.1102682473	-0.087266121	0.0209641413	-0.1044859665	0.0118808927	0.0907031998	0.0100500259	0.1065549623	0.1035084568	0.0709388586	-0.068756856	0.0486989091	-0.0003863933	0.0966190522	-0.0530544353	0.0344426405	-0.0439883339	-0.0069690983	-0.0188535899	0.055860096	0.0257590421	0.0382747326	0.0161177367	0.0763559249	-0.0459346703	-0.0470000868	-0.0619776734	-0.0012042073	0.0650873473	-0.0411822531	0.0640541901	0.0161242375	-0.0602444921	0.038158048	-0.0920728029	-0.06137008	-0.0155716506	0.1243996096	0.0659711797	0.019510268	0.1260481883	-0.0236665306	-0.01806398	0.1128283561	-0.0403387733	-0.0075242799	-0.0872900487	0.0475350759	-0.1224022271	0.1815607617	-0.0541465131	0.0710440903	0.0848943287	0.0266826743	0.0373693408	-0.0220070201	0.0122625632	0.113193623	-0.0390939381	0.0023591526	-0.0609158482	0.0564819721	-0.0115742098	-0.0086530889	-0.0293181964	0.0817203412	-0.1093301947	-0.0014851057	0.001556526	0.0779328544	0.030995822	0.0478511135	-0.1707631344	-0.0577495048	0.0423903163	0.0015581631	0.0359534791	0.0663845846	-0.0437936922	-0.0385631756	0.0405238021	-0.0903617319	-0.0192834732	0.0069651746	-0.0804384635	-0.0253761741	0.0207610944	0.1021437768	0.0617768816	0.0102124841	-0.0376225765	0.103077028	0.0149012281	0.0206585257	-0.0507566948	-0.0420592684	0.0692564274	0.0555284785	-0.0507902529	-0.0362929951	-0.027140989	0.0392522089	0.0307853676	0.0791151627	-0.2759319303	0.0453555298	-0.0668257203	-0.0898992468	0.1150657571	-0.0046395948	-0.0054079689	-0.0326143726	-0.0908416705	0.0655037401	-0.0084701355	-0.0138227501	0.1036054729	0.0029728134	-0.1178759288	-0.1000857906	-0.0377214747	-0.1038180143	0.0163609113	-0.030368207	-0.0603568626	0.0902491969	-0.035197867	0.0387655009	0.0569768978	-0.0162555777	-0.015341297	-0.0043258868	-0.0189661843	0.0911134451	-0.1087297698	0.0685865439	0.0132003141	-0.0739019815	0.1437360103	-0.1187351901	0.009701507	-0.0944187031	-0.0053779719	0.0632872129	-0.0505991021	0.0312628613	-0.0125337293	-0.0251936635	0.2146791127	0.0111303463	-0.0198557891	-0.0382529166	0.0051688252	0.0517367228	0.115961056	0.0925876425	0.1058409604	0.0353719319	0.0746962576	0.0125412319	-0.0343304651	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.041048	-1.7200000000001936e-05	0.001684938304	2.9584000000006657e-10	-0.00692739	0.04332591	4.79887322121e-05	0.0018771344773281	-0.124361	0.0019099999999999	3.648099999999981e-06	0.015465658321	0.0007220539999999	-0.0001153560000001	1.3307006736023076e-08	5.213619789158556e-07	0.000236557	-0.000178023	5.5959214249e-08	3.1692188529e-08	0.000555791	-0.000208202	4.3348072804e-08	3.089036356810001e-07	0.0
275.3683344232928	-0.2595139481962292	0.0673474893083951	75827.71960305843	392.6068758846128	-1.4256999652100717	154140.15899187577	2.0326203908	288.0234623571668	-0.0542812589615664	82957.51486821029	0.0029464550744526	299.003822869546	251.38835071657795	1.127682	21.992449	0.05504571	0.0295792	-0.0912898661	-0.0205733078	-0.1393223614	-0.0240018854	0.1619378828	-0.1353235867	0.0772382529	0.0190320091	0.0818788154	-0.1039412772	-0.0405486863	0.0289326633	-0.0154520967	-0.1530333656	-0.0012739818	0.0506050833	-0.140334698	0.0613580803	-0.0261425415	0.0833446757	0.0775592077	0.1145146426	-0.0114513463	-0.024169152	-0.0179914614	0.0540299038	0.0507232567	0.052363933	0.0283449251	0.0357401391	0.0382222775	-0.1327613651	-0.0850001492	0.1295059342	0.0018273446	0.0069393323	-0.1264669733	0.0778211194	-0.0576162711	-0.1029398747	0.0167677342	-0.0374721089	-0.1513227374	0.0136959875	0.0147761618	-0.0392037481	-0.0349348908	-0.0014678922	-0.0078050905	-0.0141946738	-0.1250898042	0.0244137313	-0.0178297569	-0.0407268255	-0.1374792524	-0.0752864318	0.0456219685	0.0649897375	0.0669111508	0.0808941881	0.0825159894	-0.0079233257	0.1102328443	0.0164395443	0.0601999633	0.0630029916	0.0039142443	0.0918210398	-0.137957574	-0.08356706	-0.0331017091	0.0570372406	-0.0171907902	0.0738880687	-0.0795919997	-0.1160133176	-0.0747247756	0.1568458935	-0.1276999053	-0.0092532056	0.0761175984	-0.007392025	0.0808804235	-9.40916e-05	-0.0641257474	-0.0396930053	-0.0995495574	-0.0546913641	0.0531711874	0.091727266	0.0397100183	-0.0185518246	-0.0027632546	-0.0694604767	0.0161682236	-0.0509086634	-0.0736847834	-0.0519304172	0.0167546542	0.1165165328	0.0629968425	0.0463516141	0.0069549416	0.0521596654	0.0440977532	-0.0295296679	-0.1606490097	0.0189290126	-0.0398844619	0.020096046	0.0112265454	-0.013711738	0.0244705855	-0.016583992	-0.0172833325	-0.052167941	0.097186778	-0.0514964461	-0.1242160932	0.1524216914	0.0266595256	-0.0078045075	-0.1673005647	0.0177744285	0.0360205154	-0.0867678487	0.032222518	-0.0738856244	0.1004095289	-0.0312905764	-0.0066488589	-0.0925667179	0.0662417866	-0.0374358886	-0.0178405388	0.0263914502	-0.1372082872	-0.0450567005	0.0200513782	-0.0138142527	0.0550359743	-0.0480949962	-0.1075396103	-0.0026527244	-0.0397889735	0.1024954982	0.1187892852	0.0076741539	-0.0834787989	-0.1164670901	0.0790273325	0.0874186031	-0.0401718265	-0.0655807551	-0.1148179579	-0.0441814172	0.1025297925	0.0247712083	-0.0392224043	-0.0519411869	0.0433796255	-0.0653798009	0.1454261853	-0.0130921504	0.0352900527	-0.0110478683	-0.031417701	0.0155381021	-0.0857409432	0.0712345625	0.0304984695	-0.0199014148	0.160551496	0.0564433025	-0.0859650891	0.0461615268	0.0207445224	0.0790015408	0.069148273	0.1046407813	0.1382349212	0.0486210195	0.0724291489	0.0497996256	-0.0893596722	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0235162	-0.0175318	0.00055301166244	0.00030736401124	-0.0165255	-0.0095981099999999	0.0002730921502499	9.212371557209996e-05	-0.111423	0.012938	0.000167391844	0.0124150849289999	0.000448144	-0.0002739099999999	7.502668809994522e-08	2.00833044736e-07	0.000236557	0.0	5.5959214249e-08	0.0	0.000530145	-2.5646000000000045e-05	6.577173160000022e-10	2.81053721025e-07	0.0
274.9416959388315	-0.4266384844613071	0.182020396423441	75592.93616572088	393.6648035864811	1.0579277018683229	154971.97758278277	1.119211022380391	287.4772977007239	-0.5461646564428975	82643.19669331065	0.2982958319473882	298.81600241083027	247.5844524514288	1.173215	22.880455	0.0610008899999999	0.0337957	-0.0166599822	0.0572507549	-0.0857640516	-0.0547501976	0.0770505461	-0.0237370199	-0.0383594274	-0.1770000839	0.021175352	-0.0580967803	-0.0358511491	0.0955157754	0.190884164	-0.0487962893	0.0014026887	-0.0324341948	-0.165494614	0.0455534122	0.0330207756	0.029605974	-0.0119941012	-0.0209702694	0.0055856862	0.1138352296	-0.0266076101	-0.1035391339	-0.012818694	-0.0543452664	0.0714953045	0.0358354681	-0.0058676704	0.0389406803	-0.0151645118	0.0705748905	0.0562035256	-0.0768752594	0.0270991077	-0.0131145072	0.000733428	-0.0192544425	0.0384997645	0.0050544802	-0.0635674801	0.0469119142	0.0758666328	0.0206372847	0.067060573	-0.0215500882	-0.0428162755	0.0238059887	-0.0322247051	0.0052100094	-0.0750732865	0.0477268988	0.0050700273	-0.0891504229	0.0518763261	-0.1369284523	-0.0190174082	0.0032543048	0.0323270789	-0.0477770555	0.0584038981	-0.0155481033	0.0986363156	0.0386084819	-0.0987129896	-0.0485401123	-0.1053948827	-0.0523579082	0.0497708657	-0.0078231423	0.0213901644	-0.1366482	-0.073773249	-0.0128048422	-0.1107479285	-0.1254638834	-0.0743803591	-0.1022841076	-0.1142526253	0.0740751482	0.0011781502	-0.0360209501	0.1335758288	0.0255252989	-0.0321239539	-0.1889579237	0.1096306189	-0.0162359309	-0.0080678244	-0.0490755388	-0.024057725	0.1136605591	0.0251677728	0.0040075673	-0.0074037396	0.0100358435	-0.0221183593	0.0359417094	-0.0331634101	-0.0522760904	-0.0980995651	-0.0917359126	-0.0044447794	-0.0591851729	-0.1013946336	-0.0415590725	-0.0173178844	-0.0147460033	-0.0153940209	0.0471254589	0.0690535401	0.0282072006	0.0297320342	0.0641238611	-0.0350459431	-0.1406346353	-0.13822179	-0.0395039945	0.0156312377	-0.1429977956	-0.064544424	0.0267893234	0.0277648556	-0.0466749526	0.0407406242	-0.0539515486	0.0238180422	-0.0876732962	0.1282337138	-0.0793015765	-0.0018788613	0.0054199584	-0.0635737034	-0.0289865454	-0.1213285918	0.0395567258	-0.0866308995	0.0565627531	0.131293069	0.0321033353	0.0510250315	0.0350432918	0.1246060565	0.0234341652	-0.0266558638	-0.0072423374	0.0344955735	-0.0416823276	0.0349749116	0.0512562895	-0.024764739	0.1085329193	0.1378645105	-0.0264826708	0.0159103013	0.0700775479	0.0593255037	0.0078444711	0.142468074	-0.0294538347	0.0380746175	-0.1062794584	0.0443580995	-0.0325560214	-0.0312263549	0.0535152583	-0.1270459988	0.0789733448	-0.0083492326	-0.0585489682	0.0838981821	0.013870777	0.005356909	0.0639619649	-0.0616343769	0.0473132085	-0.0285476626	-0.0430378763	0.0026499673	0.0123045016	-0.0431996419	0.2452292362	-0.1126307416	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.00881056	-0.01470564	7.76259675136e-05	0.0002162558478096	-0.0265197	-0.0099942	0.00070329448809	9.988403364000004e-05	-0.0851283	0.0262946999999999	0.0006914112480899	0.00724682746089	0.000387337	-6.080699999999996e-05	3.6974912489999955e-09	1.5002995156900006e-07	0.000236557	0.0	5.5959214249e-08	0.0	0.000390825	-0.0001393199999999	1.9410062399999993e-08	1.5274418062500001e-07	0.0
274.78699605735744	-0.1546998814740732	0.0239320533280922	75507.89320222617	392.16808696363256	-1.4967166228485669	153795.80843271528	2.2401606491112185	287.4257573582845	-0.0515403424394094	82613.56599298344	0.0026564068987715	298.4947099304642	247.8222772163012	1.103604	21.522879	0.13166383	0.0798204	-0.0023276008	0.026898566	-0.1206293946	-0.0516977039	0.1042700013	0.1202278404	0.0136373356	0.0614440815	0.066868486	0.0115335191	-0.1063058176	0.0322612304	0.0245954538	-0.1156696469	0.0844127296	-0.0159048212	0.010443082	-0.1384849909	-0.124386611	5.54054e-05	-0.0473220636	0.006165723	-0.1618166509	-0.1092602064	0.0160860651	-0.0231476836	0.1189011056	-0.1044406311	-0.0841068756	0.1202102524	0.0281339993	0.0407342815	-0.1594370514	-0.0871913195	-0.1202870294	-0.1013767751	-0.1163049296	0.0402614999	0.0655344504	0.0945448739	-0.0779986318	-0.020088578	-0.0850142509	-0.0552710756	0.1564896102	-0.0019988981	0.0026259316	-0.0073838158	0.0144577977	-0.0080792735	0.0551353245	0.1400382111	0.0519506548	0.0592513526	0.1139015662	-0.0326165215	0.0846280681	0.0519997115	0.001731834	-0.0864696884	-0.0583066577	-0.049876937	0.0242411644	-0.0642941918	-0.0968486642	-0.051346768	-0.0322208377	-0.1024919006	-0.0647592832	0.0053908289	-0.0139848224	-0.0495497309	0.0173175323	0.0335414346	0.0584035623	-0.0578313011	0.0800771791	0.0125750299	0.0347823416	0.0631503444	0.0306759585	-0.0228783256	0.0229077975	-0.1033981991	-0.0664964906	-0.0211896906	-0.1115610263	-0.0974416967	0.0611594963	0.0853967023	0.0254813347	-0.1321569541	0.0800079891	-0.1532659063	-0.1303144314	-0.0113970091	0.0647510475	0.0183297135	-0.0350253579	0.1382600878	0.0418687983	-0.0783584967	0.0169971398	0.0632993487	-0.2385759339	-0.1394118059	-0.0875880534	-0.0045692078	-0.0809621088	0.093609052	0.0247300233	-0.0568455926	0.1102683823	0.078581195	0.0332709536	0.0265431334	-0.0436813108	0.0483339475	-0.0310862664	-0.139519232	0.0863814521	-0.0257459272	0.0287969058	0.0597648536	0.0149067507	-0.0259726731	0.0307847396	-0.0519830574	-0.0382440611	-0.0496253482	-0.0574537514	0.0026456728	-0.0661636586	0.0436642962	-0.0166710295	-0.0777246156	0.0767433876	-0.0313550195	0.089032819	-0.0684199757	-0.1470910482	0.0334326771	-0.0572117912	0.0046800787	-0.0113687352	0.0410518092	0.1227296721	0.0532432165	-0.06511008	0.0206903298	-0.0993739195	-0.0264545143	0.0975896744	0.0419724471	-0.1338719942	-0.1197268511	-0.1317379162	-0.039184838	0.0500032355	-0.1121324867	0.0040693215	-0.0273869319	0.0344231861	0.0275726583	0.093156425	-0.0277486883	-0.031544005	0.0944637943	-0.0658980338	0.1068787225	0.0211854182	-0.0256630367	0.1657187546	-0.1362357973	0.0274590223	-0.0094558287	-0.069151953	-0.0279771806	-0.0132248832	-0.1158651614	-0.1072016489	-0.1353966753	-0.0584923701	0.1553858271	0.0561704593	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.00236882	-0.01117938	5.611308192400001e-06	0.0001249785371844	0.0369706	0.0634903	0.00136682526436	0.00403101819409	-0.0920981	-0.0069697999999999	4.857811203999997e-05	0.00848206002361	0.00110716	0.000719823	5.181451513290001e-07	1.2258032656e-06	0.000408311	0.000171754	1.66717872721e-07	2.9499436516000006e-08	0.000281915	-0.00010891	1.1861388100000007e-08	7.947606722499999e-08	0.0
