global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
271.6077905647156	n/a	n/a	73770.7918954464	395.6568436790453	n/a	156544.3379500645	n/a	290.4957506405339	n/a	84387.78114020725	n/a	299.64938181205764	248.2897522209559	n/a	n/a	n/a	n/a	-0.0908781474	-0.0040817014	0.0052614305	-0.1192454691	-0.010282921	0.0217319048	-0.0414738929	0.0317472362	-0.102514333	0.0643641904	0.1390051681	-0.1226211619	0.0162875296	-0.1251411402	0.0614884361	-0.08081294	0.1017513972	-0.4366097733	0.0108360437	-0.1502954371	0.1572541678	-0.1910573398	0.0772676822	-0.0491533063	0.0299313639	-0.0171660158	-0.095332453	0.1155146599	-0.198233686	-0.0558004544	0.1020460732	-0.0104280455	-0.0108837611	-0.0009390548	0.0007201568	-0.0494916396	-0.0188539089	0.0572380837	-0.0023657449	0.0510416759	-0.0493497894	0.0609412273	-0.0454024078	0.0276319498	0.053424142	-0.0851325645	0.0228172503	-0.0686540005	0.0860247173	-0.0465787205	0.0806857303	-0.086292041	0.0884125845	-0.0782103025	0.0326781856	-0.1403407652	0.0080169369	-0.049317521	0.0572700874	-0.0270172256	0.0739710443	-0.1377548919	0.0993987668	-0.0054383221	-0.0324792927	0.0694360563	0.0551704873	-0.0759464292	0.0563243983	0.0176629139	0.0183833554	-0.0766846611	-0.0262449112	0.0710865473	0.0695154279	-0.1013049414	-0.08344787	0.0763735669	0.029040111	-0.059287933	-0.0028013111	0.0407986037	0.0488220082	-0.0687600546	-0.0036124517	-0.0420838053	0.0111846833	-0.0199032065	-0.0253047524	0.0676490588	-0.0231121203	0.0304570371	-0.0022757651	0.0917120741	-0.0065825404	0.0370339857	-0.0972382447	0.0234774759	-0.1411029911	0.1840387883	-0.0709927284	0.0937671995	0.0866576314	-0.0560200122	0.0565297602	-0.0364121027	0.1809326102	-0.0605861361	0.0836774862	-0.0036317543	0.0776625508	-0.1093916769	0.1531268367	-0.0682868792	0.0732090276	-0.0910285826	0.1021755491	-0.0710344582	0.0552583292	0.0868143121	-0.0352249766	0.0494753222	-0.0012026157	-0.0553897086	0.0890321507	0.0906953879	-0.0230645031	-0.0304363012	0.0024367882	0.0946328683	-0.0200214122	-0.002594255	-0.0687497282	0.0484553982	-0.048234609	-0.0586875691	-0.0625443331	0.1060699528	0.1731149138	-0.1286039299	-0.0047286212	-0.0596335087	0.0064977103	0.0655485847	-0.0090682207	0.076633984	-0.0760823145	0.013370407	-0.1138400235	0.0151598628	-0.1047997539	0.0744405257	-0.0076527951	0.0006924983	0.0638026029	-0.0956502228	0.0417269467	-0.03301878	0.1204921077	-0.1444817208	0.1888069837	-0.0237302931	0.097567466	-0.1085467969	0.0928955248	-0.066612287	0.1047213899	-0.0214417766	0.102594329	0.1025838106	0.1025662807	0.1025417406	-1.07256e-05	n/a	1.1503849535999999e-10	n/a	-0.0653323	n/a	0.0042683094232899	n/a	-0.0992886	n/a	n/a	0.00985822608996	0.0008656659999999	n/a	n/a	7.493776235558268e-07	-0.000226262	n/a	5.1194492644e-08	n/a	9.64162e-05	n/a	n/a	9.296083622439998e-09
271.05563371727635	-0.5521568474392211	0.3048771841740193	73471.15656987428	390.6211846518799	-5.035659027165423	152584.90989883806	25.35786183787261	289.9178030033162	-0.5779476372177328	84052.33249826965	0.3340234713655601	298.56336821123193	246.68905349758293	1.058522	23.783527	0.0674088643999999	0.0303869	-0.0323390643	-0.0888340516	-0.0054659963	-0.0982962259	0.0686680476	-0.0375772064	-0.02649498	-0.0269022331	0.009407795	0.0755802702	0.0228917474	0.0916413047	0.0227040384	0.014197545	-0.0053744479	0.0148074697	0.0139758825	-0.1461861731	0.0420664824	-0.0302675146	0.0637959235	0.0852187292	-0.0422181178	0.0097069975	0.1265613893	0.002525353	-0.0840839289	0.1028577473	0.0760183793	0.1345903706	0.0827305549	0.0091995529	-0.043862471	-0.0382943696	0.0722399715	0.0291166593	-0.0671379026	0.071967444	-0.0604714004	-0.0886210565	0.0431989219	0.1121300001	-0.0865525796	-0.2062503905	0.0689947425	-0.1323790951	-0.0835247592	0.0392904506	-0.0608706693	-0.0184257179	0.211530461	0.0038279302	0.0133366761	0.011571345	-0.0249863323	-0.1258773373	-0.0302964748	-0.0331692598	0.0120636327	0.1222325616	-0.0139061089	-0.0036183423	0.0057842986	-0.03468631	-0.0090294516	0.0895022186	0.0377904184	-0.0563997779	0.0881870425	-0.0716615199	0.0767710997	-0.0030782558	0.0542959679	0.0601282402	0.0797075912	-0.0758129014	-0.0392941107	-0.0056045851	-0.0306436704	0.0837985834	-0.0496291023	0.0770872726	-0.0093205145	-0.0518306797	-0.0035379325	-0.0892209729	0.008238595	-0.0327456872	-0.0826978201	-0.0535824189	-0.0078226068	0.0494632172	0.1014779813	-0.014973436	-0.066167163	-0.1326373671	0.0727380518	0.0550618177	-0.0741837205	0.1514173353	0.01272935	-0.0267037723	0.0678133595	-0.0089924012	-0.0285636951	-0.0090608995	-0.0886479057	0.1670877221	0.0956927765	0.0221421284	-0.0052260566	-0.0800194924	0.0695657012	0.0097948143	-0.0238758922	-0.0329417475	0.1968632357	-0.002450182	0.0283428916	0.0601758907	0.0463402827	0.1449962074	0.0380355905	-0.0401439036	0.0738550936	0.0797827383	0.1354590922	-0.1060281459	-0.0253470155	-0.0475980966	-0.080517444	-0.1233206676	0.0349837204	-0.0765980182	-0.0069385935	0.0634752208	-0.0360815744	-0.0027620713	-0.0076813004	-0.0778604487	0.0362412322	-0.06869008	0.0682152387	-0.0132082558	-0.0172771612	0.022370421	-0.0693673139	0.0996731925	-0.136768356	0.0812376002	-0.0862437131	-0.099863759	-0.0624997478	0.1244419676	0.0328147763	0.0004647732	0.0586928993	-0.0153379972	0.1106051814	-0.1441373648	0.1123218066	-0.0095576596	-0.0303187394	-0.0700774837	-0.0043427737	-0.0560220154	-0.025548664	0.077072485	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0080313799999999	-0.0080206543999999	6.45030647043984e-05	6.433089700423775e-05	-0.0578311	0.0075011999999999	0.00334443612721	5.626800143999989e-05	-0.0761642	0.0231244	0.00053473787536	0.00580098536164	0.00111824	0.000252574	6.37936254760505e-08	1.2504606975999998e-06	-0.0	0.000226262	0.0	5.1194492644e-08	0.0	-9.64162e-05	9.296083622439998e-09	0.0
270.7346377073621	-0.3209960099142677	0.1030384383808806	73297.2440545366	389.6097083228992	-1.0114763289806774	151795.7248194546	1.0230843640882274	290.2837244035088	0.365921400192633	84264.64065357226	0.133898471118937	298.77285350693097	244.40167330589404	1.033213	23.214874	0.06637876912	0.0450397	0.0484535324	-0.0648740709	-0.0029764303	-0.0359545524	-0.0448048252	-0.0965973927	-0.0106866664	-0.0839714868	-0.0119598344	-0.0214601719	-0.0483629192	0.104990142	-0.0048639934	-0.0319770003	-0.0643715065	-0.0999044021	0.0338606109	-0.0079009848	-0.0892047474	-0.095610932	0.0358718002	0.043129127	0.0515777349	0.0424423897	0.1067384916	-0.0301969068	-0.0353224831	-0.0296412631	0.0728665816	-0.066302029	0.050357099	0.1380404286	-0.035394499	-0.1033121802	0.0554685589	-0.0680850628	0.0523335178	-0.0852698119	-0.1070551712	-0.056437922	0.0654332306	0.0399415005	-0.0963586893	0.1652453322	0.0702543299	-0.154391665	-0.0227943237	0.0127340831	0.1140082826	0.0657448491	0.0415415665	0.1191207362	-0.00359016	0.0527791575	0.1383542612	0.0491760407	-0.0505275985	0.0965608209	0.0654159568	0.0465536831	0.1203157823	0.1765986981	0.029676209	0.1097241437	0.0047720362	0.0865052767	-0.0276100803	0.0435996474	0.033376467	-0.0990139741	0.0734166944	-0.0740475203	-0.061269292	0.0403303635	0.0238449334	0.0285635316	0.054948015	-0.0440309986	-0.1685589548	0.0664447087	-0.0279854052	0.0092222142	-0.0122587029	0.0764895909	0.1028091277	-0.0131489496	0.0140311338	-0.0369794144	-0.0862263587	-0.0481821194	0.0013971074	-0.0843234943	-0.096690374	-0.0541214309	-0.0161196968	-0.1183825216	-0.0638448058	-0.070030262	-0.0677844946	0.0866416293	-0.0263514887	0.0057661638	-0.0058962287	0.181292692	0.038006256	-0.0131448598	-0.0300250869	-0.0131154383	0.0920332061	-0.0265188629	0.0816542916	0.1527569043	-0.0046890181	0.0447285036	-0.0124937828	0.1029628115	0.0236265898	-0.1314503175	-0.0062755969	-0.0114487584	-0.0271806058	0.1082190294	0.049604743	-0.0539507639	-0.0020310924	0.0541220398	0.0057823174	0.1361496796	-0.1606783006	0.0063533844	-0.0458587561	-0.0705344025	0.0861049326	-0.0042795164	-0.0619858456	-0.0443565143	0.0748891516	-0.0196302784	-0.1590128142	0.0688103566	-0.0524512902	-0.0202976744	0.1077768718	0.0832356398	-0.0196323319	-0.0369367468	-0.0102704196	0.1020568096	-0.1219413788	0.0250489593	-0.1595039417	-0.0020228936	-0.1143181067	-0.081588228	-0.0044742549	-0.06782884	0.0340473936	-0.0453007547	0.0956192133	-0.2377840759	0.02390787	0.1545430708	-0.0913369972	-0.1197007436	-0.007385839	0.1559152697	-0.0022867211	0.1095736539	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-5.66088e-06	0.0080257191199999	3.20455623744e-11	6.4412167393132e-05	-0.0992648	-0.0414337	0.00985350051904	0.0017167514956899	-0.0740995	0.0020647	4.262986090000011e-06	0.00549073590025	0.00107287	-4.536999999999987e-05	2.058436899999988e-09	1.1510500369e-06	-0.0	0.0	0.0	0.0	0.000251723	0.000251723	6.336446872899999e-08	6.336446872899999e-08
270.3230575446566	-0.4115801627054907	0.1693982303326782	73074.55544029172	388.3891372777216	-1.2205710451776213	150846.12195533287	1.4897936763259907	290.2807073732674	-0.0030170302414376	84262.88907312449	9.102471477749166e-06	298.45715022787823	240.55711247565543	1.078798	24.239107	0.10154496912	0.0442034	0.0970482402	0.0376710819	-0.0120938046	0.0241953856	-0.0412646561	0.1308269417	-0.0849037402	0.0672628304	-0.0001309998	-0.1400734739	-0.0535746942	0.0633304997	0.1282102936	0.0304399335	0.1095124457	-0.006556815	-0.0475282781	-0.0167314133	-0.0479801417	-0.0292630748	0.0740136257	0.1800074285	0.0788727119	-0.0607062396	0.0459901718	-0.0368879902	0.0650810628	-0.0288419673	-0.0023579615	0.0850574982	0.0627611126	0.0590106181	-0.0424593763	0.0779078155	-0.1067297743	-0.0574294938	-0.0682299018	0.0016723193	-0.0827683584	-0.0521147186	0.1138247694	0.1485002024	-0.0002213235	0.0890742938	0.1210772448	-0.0337198985	0.0888759394	-0.0429097676	0.1345075862	-0.0190211275	-0.064820027	-0.1127280494	-0.0140374348	0.0011290771	0.0324934475	0.0728949612	-0.017223374	-0.0682604395	0.0208522395	0.0754575183	0.0377888646	0.0116423913	0.1161196334	0.0202628511	-0.0485204073	-0.0177209869	0.1163469493	0.0110502864	-0.0291048852	-0.0434467595	0.1097988571	-0.0244479426	0.0105365796	-0.04201642	-0.1069275537	0.1248954409	-0.0741069532	0.0886268831	0.1178413896	-0.0050182511	0.0493499332	-0.0447442944	-0.0148598127	0.0378859392	0.0257418112	-0.0578351093	-0.0710483727	-0.0331584503	0.087164709	-0.1034939638	0.0641116206	0.0320312601	0.0316046226	0.0524247896	0.0962987025	-0.0911404534	-0.0361097733	-0.0896218206	-0.1378807373	0.1314692669	0.0035351047	0.0442855437	-0.0442427653	0.0562439525	0.0213090237	-0.0671476008	-0.0149896632	-0.1218733697	-0.0079287471	0.0160537257	0.1033254459	-0.0416536489	-0.052596213	-0.0435381234	-0.1292279445	0.0270866724	0.0475318003	-0.0635094615	0.0636051077	0.0999348507	0.0310760373	-0.1105928508	0.081007927	0.1589120802	0.0213684648	-0.0252948594	-0.0254331933	0.0519691554	-0.0430626572	0.1420740644	0.0070016521	0.0641432194	-0.0402294071	0.0627248037	0.0555102242	-0.0432780064	0.0465681663	0.0604980357	-0.0057591078	0.0338790214	-0.0962667575	-0.0618617163	-0.1198904551	-0.0687683389	-0.0142199273	0.0619163431	0.0726429354	0.0587889022	-0.1404703822	0.0028498633	-0.098701068	-0.0376818549	0.0360634338	-0.0439674865	0.1192707572	-0.0046256828	0.1534946867	0.0384292729	0.0860197837	-0.0336726555	0.1785899532	-0.1467404324	0.0721451495	0.0187845411	0.108060824	0.071244458	-0.0894394046	0.0053056004	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0114591	-0.01145343912	0.00013131097281	0.0001311812676755	-0.0747773999999999	0.0244874000000001	0.0055916595507599	0.00059963275876	-0.0827371999999999	-0.0086376999999999	7.46098612899983e-05	0.0068454442638399	0.000627585	-0.000445285	1.982787312250001e-07	3.93862932225e-07	-0.000508801	-0.000508801	2.58878457601e-07	2.58878457601e-07	6.64804e-05	-0.0001852425999999	3.4314820854759994e-08	4.4196435841600006e-09
270.59903100111023	0.2759734564536416	0.07616134866697	73223.83557873982	389.441038585167	1.051901307445405	151664.32253429355	1.1064963606053526	290.3644210888485	0.0837137155810978	84311.49703426211	0.0070079861763929	298.8872753433606	245.37371976566985	1.130122	25.392273	0.062220275	0.0346652	-0.0048778906	0.1078977808	-0.0091037755	-0.0106680345	0.0573450486	-0.1003577178	-0.0265215844	0.064778433	-0.0107788093	-0.0340854543	-0.0627250504	-0.0584711935	0.0624348057	-0.0221633999	0.0099506741	0.0054711786	0.0461529432	0.0355317642	0.066323385	-0.1316205849	-0.0646648038	0.0064734987	-0.0527164541	-0.1517660244	0.0556099626	0.0088184465	-0.0422651406	0.0781496462	-0.0374859491	0.027524338	-0.0287314791	0.0107836286	-0.0380314864	0.0327463678	-0.024076151	0.0989060216	-0.0623774085	-0.0549620405	-0.0963003172	0.0189219448	-0.0030505424	0.0283014172	-0.0342100133	-0.0960935769	-0.0277381231	-0.0786169498	0.0610563838	-0.0230883667	-0.0528301773	0.0497466973	0.124052217	0.006979445	0.0271409062	-0.0282848601	0.0066840406	0.1945828569	0.0973060846	0.0009111331	0.0619553346	-0.1113190342	0.0479607648	-0.0414565732	-0.0732614654	0.0260808155	0.0974049151	0.0596364955	0.0855628644	0.004844618	-0.0735499791	-0.1448315965	-0.0204737758	0.0451288948	-0.0119060794	0.0813906294	0.1662307266	0.0603616161	-0.0436008272	-0.0061426845	0.0651453427	0.002883235	-0.0171900542	-0.0669322912	-0.1246944023	0.0283731314	0.1079454519	-0.0921654236	-0.0081502362	-0.0306126727	0.0653428632	0.0322465201	0.0470693151	-0.0125125564	0.0643933995	-0.0924478022	0.0129742026	-0.1085974902	-0.0122789174	0.0203455271	-0.0120626316	-0.0723247296	0.0376748756	-0.0390710254	0.0825744167	0.1124976972	-0.0091946981	-0.0863843934	-0.0611434481	0.0045810177	0.1031259457	0.0221254949	-0.0495669732	-0.091639607	0.0372507291	0.0976782262	-0.1319741545	-0.0816018787	0.0108905811	-0.0661590974	0.0468315501	0.0824406613	-0.019313937	0.0336068877	0.0516504914	-0.0484269646	-0.1491570752	0.0840575219	-0.1027774784	0.1113043641	-0.0376139502	-0.032900338	0.0363785949	0.1542128512	0.0772377225	0.0479990753	0.0895349719	-0.0387962731	-0.0712969992	-0.1184918612	0.0335939586	0.0148070747	0.0790708205	-0.0172043368	0.0044138545	0.0156006374	0.002402923	-0.0758999914	-0.0049749833	-0.0380151218	-0.1584692687	0.0124865468	-0.0423959069	-0.0641651668	-0.1067355028	0.0257761875	0.0241546364	0.0210498469	-0.0019736824	-0.0451034827	0.0260409041	-0.1443296442	-0.0022874998	0.0684877069	0.0130125452	0.0361668894	-0.0414712262	0.1204697154	-0.0762310837	-0.0543404016	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0211258	-0.0096667	0.00044629942564	9.344508889e-05	-0.0558085	0.0189688999999999	0.0031145886722499	0.0003598191672099	-0.076155	0.0065821999999998	4.3325356839998674e-05	0.005799584025	0.000655638	2.8053000000000106e-05	7.86970809000006e-10	4.298611870440001e-07	1.41717e-23	0.000508801	2.0083708088999997e-46	2.58878457601e-07	6.96759e-05	3.1954999999999934e-06	1.0211220249999958e-11	4.854731040809999e-09
270.53022045116603	-0.0688105499442031	0.0047348917836236	73186.6001773565	389.4794113377136	0.0383727525465928	151694.2118559719	0.001472468138002	290.1650220107456	-0.1993990781028856	84195.73999849647	0.0397599923482806	298.7300379125483	243.4336135853737	1.07192	24.084566	0.07003217	0.035083	-0.0844970273	0.0419111064	-0.0505560678	-0.0021794465	-0.0966202147	0.0114990411	0.012479011	-0.0617864399	0.0117107613	0.0438031391	-0.0063869178	-0.0026996952	0.0842667648	0.0293359162	0.0099139953	-0.0091399889	-0.0699088672	0.0475089638	-0.0577757087	0.0876830077	0.1149172894	-0.05514518	-0.0777066215	0.0346653817	-0.1529118144	0.0069200645	0.000737357	-0.0820636268	0.0001606147	0.0960147499	-0.0158710771	0.0148235971	-0.0368635384	-0.054523917	-0.0368838751	-0.0095410144	-0.0079506374	0.1010665421	-0.0850372264	0.0246930161	-0.0706649039	0.1709257429	-0.0663988495	0.0119353444	-0.018323914	-0.1648643589	0.0385137722	0.0069371424	-0.1012681906	0.0589380933	-0.0282805258	0.1043047617	-0.0097550269	-0.0348627726	0.0731109427	-0.0527660687	-0.1204721223	-0.0355023872	-0.0689237485	-0.1739392794	0.0417817454	0.0145499772	-0.103190543	0.0327457767	0.1264888741	0.0075600536	0.0183408082	0.0142278477	0.0055076665	0.0714981339	-0.0446690537	-0.0291846589	-0.0290220357	-0.0675753713	0.0331768851	-0.0416213838	0.0453110577	-0.1309102018	0.0453045444	0.0651514091	0.0149496718	0.0814273196	0.0212993787	-0.1723125252	-0.015007484	0.0941894555	-0.2124364705	-0.0275425117	-0.0280340385	0.0656461291	0.0686434687	0.0416119084	0.0311780105	0.0150083544	-0.0373034896	-0.0645679225	0.0124637159	-0.050866836	-0.0630560643	0.0967373373	-0.0235433801	-0.0499540053	0.079407363	0.1404221597	-0.060094529	0.0673980877	0.0803656834	0.0921359148	-0.0113796741	-0.0628260636	-0.1110207855	0.0562005961	-0.0678101181	0.0066287487	0.0511936195	0.0470690413	0.0507738194	-0.0069279238	-0.1210492999	-0.0953936872	-0.0250043226	-0.0362936348	-0.1140000918	-0.051560967	-0.1180658806	-0.0035666039	-0.1420128252	-0.0113361415	0.0561307922	-0.0477538553	-0.0435139492	-0.0145430571	0.0054998017	0.1381776837	-0.0069173298	0.1369979583	-0.0724154302	-0.1146327732	0.0861789039	0.0976747918	0.0581707089	-0.0729097994	-0.0817713706	0.0524794697	0.0091621057	0.0512767234	-0.0665727382	-0.0221219151	-0.1280641768	0.0158884166	-0.090613635	0.0327066489	0.0295790532	-0.0753551606	-0.0277210168	-0.0388509095	0.1028186875	-0.0261379533	0.0295611605	-0.102798982	0.0425968152	-0.1401974979	0.0557169897	-0.0516267465	-0.0052739548	-0.080761697	-0.0273386508	-0.0513888728	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0166221	0.0045036999999999	0.00027629420841	2.0283313689999996e-05	-0.0783661999999999	-0.0225576999999999	0.0061412613024399	0.0005088498292899	-0.0761509999999999	4.000000000101145e-06	1.600000000080916e-11	0.0057989748009999	0.00106116	0.0004055219999999	1.6444809248399998e-07	1.1260605456e-06	-0.000337695	-0.000337695	1.14037913025e-07	1.14037913025e-07	-4.64425e-05	-0.0001161183999999	1.3483482818559998e-08	2.15690580625e-09
270.6407960551495	0.1105756039834773	0.0122269641963108	73246.44048936504	390.110025513266	0.6306141755524095	152185.83200596107	0.3976742384076451	290.51440298632053	0.3493809755749453	84398.61834249824	0.1220670660937005	298.87654058000544	244.613337083148	1.057753	23.766249	0.106904525	0.0508736	-0.0455130477	-0.0661038173	-0.0723803214	-0.0256159913	0.0935179759	0.0222724953	-0.0231055717	-0.0285047411	-0.0121559171	0.0833192737	-0.0159148356	0.0419373952	0.0663726195	0.0154581265	0.0466818504	0.0849244201	0.0484615399	0.0381676493	0.001666482	-0.0299176612	-0.0600355897	0.0337915515	-0.0832249611	0.0397104417	-0.0463530372	-0.1034951986	0.0078142966	-0.0262447141	0.091470634	0.1242161675	0.1252332748	0.0933020957	-0.0196762108	-0.0734353834	0.0557812636	0.0190619392	-0.1421398568	0.106322381	-0.0157978625	-0.0613040654	0.0270795417	0.0551022405	-0.0455751993	-0.0842344316	-0.0700097837	0.0835946554	-0.0784878564	-0.0204347573	0.1051218038	0.0374543967	0.0549262309	-0.0213376116	-0.1031630035	-0.0215483723	-0.2100137427	-0.1169763269	0.0029807665	-0.0381043056	-0.1288220375	0.0830763572	-0.0077320938	0.1411164336	0.0054404363	0.0220335035	-0.0727850257	-0.046274375	0.0226107822	0.1058101996	-0.0090742181	0.0514932369	0.0200120892	0.2181933636	-0.0558500312	-0.0689312586	0.0422702601	0.0885197682	0.0241256258	0.0306421034	-0.0805049007	0.1098840908	0.0769450572	-0.0344203735	0.0400476118	0.0329603054	-0.0221373541	0.0379724872	0.060643343	-0.0199219909	-0.0888735175	-0.0086739729	0.0317424608	0.0624185964	0.0942122395	-0.0597874282	-0.0234153751	-0.062196793	0.1157125664	0.0098452335	-0.0382852478	0.0256934949	0.0359475099	-0.1367384437	-0.0161210734	-0.1354432268	-0.0167730625	0.1835125949	-0.1011265665	0.020990357	-0.0232979631	-0.0788006702	0.0108024048	0.0548195452	-0.1028792663	-0.0851467076	0.0236751148	-0.0092446794	0.0916200799	0.0211579655	-0.0097200057	0.0651826637	0.0698059848	-0.0535380676	0.0715344518	-0.102510981	-0.0134721169	-0.0078432572	0.0847741941	-0.0379590438	0.0672843141	-0.074989563	0.1053083704	-0.165530833	-0.1156577803	-0.0196083728	-0.052936593	-0.012276603	0.0521564896	-0.0380797715	-0.0819079147	-0.0313485219	-0.0344753405	-0.0093373989	0.0299992643	-0.1247946375	-0.0171116415	0.0208930428	-0.0791231549	0.0739555366	-0.0746951643	0.0372626879	0.0382810681	-0.0505021141	-0.0305391243	0.101900397	0.0112417858	0.0235810844	0.0482761058	0.0354829387	0.0801772826	-0.053773095	-0.0262801627	0.0163647138	-0.0182372766	0.0672322438	-0.0905091085	-0.1151987524	0.0048838026	0.145958259	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0274636	-0.0108415	0.00075424932496	0.00011753812225	-0.0439133	0.0344528999999999	0.00192837791689	0.0011870023184099	-0.0597894	0.0163615999999999	0.0002677019545599	0.00357477235236	0.000585062	-0.000476098	2.26669305604e-07	3.42297543844e-07	-0.0	0.000337695	0.0	1.14037913025e-07	-0.00013762	-9.11775e-05	8.313336506249999e-09	1.89392644e-08
