global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20
546.7003136483748	n/a	n/a	298881.2329432314	729.25050279843	n/a	n/a	531806.2958317631	546.8614644797833	n/a	n/a	299057.4613329733	560.816458806759	554.6135305595284	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0573512	n/a	0.0032891601414399	n/a	-0.0804571	n/a	0.00647334494041	n/a	-0.0972794	n/a	0.00946328166436	n/a	0.0023557	n/a	5.54932249e-06	n/a	0.000898947	n/a	8.08105708809e-07	n/a	-0.00335945	n/a	1.12859043025e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
543.8209875024074	-2.8793261459674118	8.290519054851547	295741.2664480936	719.5574140744595	-9.693088723970504	93.95596901076414	517762.8721495232	545.9263103433518	-0.9351541364314926	0.8745132588849307	298035.5363251057	559.2311669450435	543.3449684398877	1.199412	17.234735	0.0945993999999999	0.0527518	-0.0815740909	0.0810264028	-0.0381373474	-0.0976568213	-0.056425065	0.0167524126	-0.1222214425	-0.149505587	-0.0743618176	0.0092777482	-0.0451840595	0.0018073997	-0.1170634446	0.0843675067	-0.070950434	0.0978888887	-0.0747714259	0.0960176207	-0.0228911168	0.040258346	-0.0016315667	-0.0954227798	0.0749870247	-0.2470557712	0.0514157375	-0.050646778	0.0447168067	-0.0165853404	0.0334250613	-0.0689999955	0.1207096815	-0.0015872137	0.0235928359	-0.0908872201	0.1202318789	0.0601315904	-0.0186475402	0.1223457062	-0.0704043464	0.0301903511	-0.0684991276	0.0091377289	-0.0659304047	0.0743215318	-0.0663058868	0.0969006466	-0.0757056951	0.0434921205	-0.049788982	0.0008187162	0.0156744239	-0.0512302264	0.030228418	-0.1697633788	-0.0268142733	0.0541200984	-0.073914915	0.0619162391	0.0119302207	0.1343692219	-0.0985885563	-0.0291698256	0.0417546792	0.0083743735	-0.0416303392	-0.0385670156	-0.0062831911	0.0557434708	0.0594952344	-0.0702633364	-0.0618389014	0.0924984987	-0.0759354666	-0.0329888983	-0.0032883044	-0.0210867706	-0.0409240465	0.1243252758	-0.0221416187	0.0511793526	-0.1264273928	0.1076786155	-0.1861096564	-0.1791526535	0.0188119649	-0.0555850637	0.0276478352	-0.0789126212	0.1152573432	-0.0101808915	0.0878020067	-0.0414684096	0.0443935116	0.0455062748	0.0677903258	-0.098925114	0.0351728244	-0.0006966163	0.1957280504	-0.1143437829	0.1297460877	-0.0855829683	0.0427778391	-0.0355400604	0.1013680322	-0.0661431688	0.035192642	-0.0141588842	-0.0651215436	0.0338553598	-0.0021885582	-0.0346892635	0.0189234321	-0.065991306	-0.0052984732	0.0695414421	0.0244243755	-0.058371384	0.0132511023	0.0284750984	0.1012182415	-0.054012142	0.04370437	0.1007497911	-0.0091603652	-0.0819698	-0.0410607129	0.0540767804	0.0621129404	-0.1194424167	0.1645229949	0.1159455419	-0.0304025365	0.0862255203	-0.1328779885	0.0131812005	-0.1325889648	0.0083125076	-0.0720276712	0.0839048166	-0.0069000877	0.0333205662	-0.0868615144	0.0435526898	-0.0692770542	0.0489332521	-0.0940586662	0.1590244158	-0.2735414375	0.1664319756	-0.1269363319	0.0131695686	-0.1065898699	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	-0.0483722	0.008979	0.0023398697328399	8.062244100000001e-05	-0.0510763	0.0293808	0.0026087884216899	0.00086323140864	-0.0562874	0.040992	0.00316827139876	0.001680344064	0.00234409	-1.1610000000000006e-05	5.4947579281e-06	1.347921000000001e-10	0.000979159	8.021200000000008e-05	9.58752347281e-07	6.4339649440000135e-09	-0.00314632	0.0002131299999999	9.899329542400002e-06	4.542439689999989e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
544.5479878776115	0.7270003752040566	0.5285295455468391	296532.5111015553	716.3630991152368	-3.194314959222765	10.203648058714338	513176.08977398655	546.7410289351178	0.8147185917659954	0.6637663837691666	298925.7527210313	560.1699342030305	553.0034963300284	1.276831	18.347189	0.1183700999999999	0.0770314	-0.1322432623	0.0802857536	0.0191098901	-0.0756133597	0.0939524532	-0.0707025534	0.0197002027	-0.1830620563	-0.0331707012	-0.0136451847	0.0734473617	-0.0674345051	-0.1558746668	0.0704098177	-0.0169443821	0.1558243326	-0.0292647463	0.0457762586	0.0778169336	0.0765453591	-0.0107791917	0.0514392791	0.1323945707	-0.2162945487	0.0358246745	-0.0180184646	-0.0833829647	0.0032486813	-0.052118542	-0.0845323882	0.0579850719	0.0912752451	0.1373263029	-0.08774888	0.0281202549	-0.0100567031	-0.1080295639	0.1006186507	-0.0899432092	-0.1733063242	0.0927053454	-0.1541748967	0.006096626	-0.0224785214	-0.0689588512	0.0720254909	0.0037269322	-0.0962742953	0.0415645876	0.0716479915	0.1336039695	-0.1174809727	-0.0617026924	0.0910479762	0.0217876335	0.0486184155	-0.0109798941	0.0541873669	0.0552989902	0.1712507827	0.1075570375	-0.0344368666	0.0958682528	0.0151290403	0.0106753231	-0.0977064491	0.0155911958	-0.0753068341	0.005949191	-0.029823954	0.0335469079	0.0278736222	0.026646043	-0.1362152753	0.041184928	-0.0204488407	-0.1442359423	0.0241891159	-0.0959736996	-0.0225197355	-0.1291119311	0.1260652478	-0.1278781833	-0.1085870537	-0.1657915284	0.0616857564	0.0520237375	0.0030646572	0.08840169	-0.0152764529	0.0747296735	-0.0611323611	0.0726671703	-0.1548689142	-0.0791848067	-0.1734412632	-0.041813827	-0.1425256055	0.0106124229	0.1461877105	-0.0489565745	-0.0688674486	0.1539927939	-0.066151442	0.0936903045	-0.0622144097	-0.0835852974	-0.0015669028	-0.0267748428	-0.0069235253	0.0354722255	0.0071929056	-0.1251775779	0.0099785365	0.0017528427	0.1025274263	0.0002232622	0.1028623372	-0.0596838917	0.0813231403	0.0909877957	0.0363927943	0.0052421099	0.0460629861	-0.0907539099	0.0221725057	-0.0190284929	0.0841222593	0.018239611	-0.1979024369	0.0179057566	0.1889518148	-0.044062028	0.0724254686	-0.1804338085	0.1370441764	-0.1372322279	-0.0160246485	-0.0345037432	-0.0199877252	0.0232074627	-0.0569317755	-0.1311246586	0.0348127052	-0.0586190039	0.0728766897	0.1998000919	0.1364634612	-0.1007625119	-0.1609618498	0.013232676	0.0758405814	0.0757021336	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	-0.0343969	0.0139752999999999	0.00118314672961	0.0001953090100899	0.0226137	0.07369	0.00051137942769	0.0054302161	-0.0446596	0.0116278	0.00199447987216	0.00013520573284	0.00208121	-0.00026288	4.3314350641e-06	6.910589440000003e-08	0.000979159	0.0	9.58752347281e-07	0.0	-0.00326498	-0.0001186599999999	1.06600944004e-05	1.4080195599999905e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545.8869620952349	1.338974217623445	1.7928519554603164	297992.5753855645	720.2154088229404	3.8523097077036255	14.840290084067592	518710.2351059952	547.6383238280354	0.8972948929175573	0.8051381248559305	299907.7337251801	561.3846224590955	560.695038444833	1.468653	21.103546	0.1155377	0.056104	-0.153832234	0.0587969864	0.1365999296	0.0655357203	0.1163409456	0.0632434726	-0.0858693394	-0.1185779057	-0.0588832526	0.170912318	0.0638048677	-0.1312207314	-0.0333122551	0.0666634757	-0.0145166708	0.2199236459	-0.0205259344	-0.0776995844	0.1194301176	0.0873992164	-0.0612603254	0.1186286041	0.071542901	-0.143540666	0.1685419465	-0.0062159761	-0.1342543627	-0.0689914285	0.0322238313	0.0340006308	0.1197436303	0.016151916	-0.1358034547	0.0353940163	0.0084147447	0.0117252926	-0.0020540673	-0.023478036	-0.036531648	-0.0023702924	-0.0425561687	-0.0715936503	0.0768552086	0.0679172056	0.0545242203	0.1144691416	0.1297531838	0.0394925582	-0.0355327383	0.0068278876	0.0616025477	0.0502458015	-0.0989693639	0.0249122189	0.101607838	-0.0670689126	0.0598803521	-0.0529813941	0.0102234622	-0.0396070222	0.0729068822	0.1505266308	0.061151009	0.0418537834	0.039461889	0.087711066	0.018903282	-0.1047370436	-0.0181341953	0.0922607137	0.0898563767	0.0147143996	0.0309839793	-0.160288762	-0.0718920989	0.0364258127	-0.1008083369	-0.0669069356	-0.04272468	0.1204405903	-0.0727721092	0.2071693568	-0.0531609881	0.0672539785	-0.0265031713	0.1394120714	-0.0588809523	-0.0179883317	0.0351593472	0.089039083	6.5007e-05	-0.0763719946	0.0670552699	-0.0702769901	-0.0343968423	0.0799310581	0.0521966683	-0.0642802734	-0.0883680372	-0.0160697814	-0.0625419472	0.1219903393	0.0909744382	0.1000167268	0.0141230807	-0.0360208914	-0.1232910946	-0.022080396	0.0453766396	0.0654903397	0.0449826107	0.1096382115	0.030929191	-0.0644091829	-0.006754284	-0.0187741668	-0.0419783618	-0.0182116253	-0.0180879933	-0.1191262381	0.0747362286	0.0278268185	-0.023834848	-0.1288057593	-0.0406416601	0.0334810491	-0.0338430531	-0.1951914468	-0.0459186538	-0.2348737576	0.0883132077	0.0471665598	-0.127290487	0.0446885833	-0.1878846406	0.1532755901	-0.0477165363	0.028630408	0.0821041453	0.0677994081	-0.0305475237	-0.0677544622	0.0558039819	0.0021871078	-0.1305833587	-0.0763009748	0.1016617433	0.2271876601	-0.0212066534	-0.2007007101	0.0454556092	-0.0981419781	0.0144459121	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	-0.0444487	-0.0100518	0.00197568693169	0.00010103868324	0.0570155	0.0344017999999999	0.0032507672402499	0.0011834838432399	-0.0633912	-0.0187315999999999	0.0040184442374399	0.0003508728385599	0.00127924	-0.0008019699999999	1.6364549776000002e-06	6.431558808999999e-07	0.000979159	0.0	9.58752347281e-07	0.0	-0.0030199	0.0002450799999999	9.11979601e-06	6.006420639999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
545.4550560173095	-0.4319060779254187	0.1865428601489178	297521.21813484625	724.7812154516756	4.565806628735231	20.84659017100258	525307.8102716083	547.5455763868353	-0.0927474412001174	0.0086020878491692	299806.15822079167	562.3669651387396	569.0620780311174	1.398501	20.095507	0.17388925	0.101322	-0.1285742178	0.0427516745	0.1018117705	0.2447691155	-0.0975899518	0.0352206873	-0.036315522	0.1033855579	-0.129543758	0.237516366	0.0072695101	-0.146622021	-0.0473635851	0.0912012218	0.1560402966	-0.0608593657	-0.1581448383	0.052719211	0.0766592061	0.1810489637	-0.0979427616	-0.0116250204	-0.1112113979	-0.1460574749	0.160782848	0.0059813323	0.033693163	0.0112318497	-0.0371389113	0.1191181356	0.029997276	-0.2692913092	0.0051305829	-0.115335117	0.0323341065	-0.0359538859	-0.0393206643	-0.0746592135	0.1388455227	-0.0868042011	0.0397966457	-0.0710617182	-0.0283561626	0.0222772018	-0.0456415105	0.0295990998	-0.1012423026	0.057032451	-0.0401125857	0.1473462126	-0.0216806053	-0.1100653717	-0.0860331284	-0.0323196294	0.0521518742	-0.0924257392	-0.0597324961	-0.0972305969	-0.0289362495	-0.0068275904	-0.1070685059	0.0355518121	-0.080290003	0.0199158635	0.021688561	-0.0815517466	-0.0502816637	0.0789003676	-0.0285745351	-0.0883116425	-0.012152953	-0.1059381185	-0.0259067462	0.1046694096	0.0375146941	0.1058656457	0.0524499042	0.0052704837	-0.0119897902	0.2242871261	-0.1050714469	0.1323294552	0.1089393127	-0.0419973634	0.0863474696	0.1215495088	-0.0147271273	0.0083447246	0.0522267701	0.1892723993	0.1199747433	0.028828917	-0.1242239223	0.1104332834	-0.0187362061	0.051130958	0.0121239644	-0.1672081395	0.0191644474	-0.0614284612	-0.0195241232	-0.0711375583	-0.0193484627	0.004149767	0.0287814324	0.1121293298	0.038008749	-0.0007163173	-0.0173440728	-0.0314345614	0.0140843821	0.0682548349	-0.0440171805	-0.1144392873	-0.0742770894	0.11899799	0.0222304497	0.0203527169	-0.01433149	-0.0061293542	-0.0928604886	0.0099148119	-0.0196291066	-0.1077121567	0.2115303692	-0.0899247639	-0.0755470081	0.0941430138	0.0142110423	-0.1100466833	0.1835313342	0.0514353441	-0.046759597	0.0859842455	-0.1116877239	0.0885859294	-0.039672176	0.0759149273	0.0653740205	0.2000406167	-0.0563266749	-0.0031203164	0.1183133795	-0.1572825852	0.0852589472	0.015210676	-0.0908376372	-0.0634004748	0.0981591369	0.060011699	0.0553381856	-0.0110882941	-0.0839052916	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	-0.0385434	0.0059053	0.00148559368356	3.4872568090000023e-05	-0.0379278	-0.0949433	0.0014385180128399	0.00901423021489	-0.0446053	0.0187858999999999	0.00198963278809	0.0003529100388099	0.00177576	0.0004965199999999	3.1533235776e-06	2.465321103999999e-07	0.000713934	-0.000265225	5.097017563560001e-07	7.0344300625e-08	-0.00269655	0.00032335	7.271381902499999e-06	1.0455522250000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
542.907860591879	-2.547195425430573	6.488204535334437	294748.94509245106	720.0493325546882	-4.731882896987372	22.390715750801604	518471.04131245206	545.7445911114243	-1.8009852754109943	3.2435479622472148	297837.1587273757	560.2445037697056	553.9179473901319	1.768014	25.405165	0.09430005	0.0486773	0.0070393703	0.11522683	0.026915499	0.1148401679	-0.1978172838	-0.077886713	0.0539832406	0.0396812187	-0.1469086099	-0.0252072459	0.0271306659	-0.0941741347	-0.135763833	0.0555204243	0.0669240291	-0.0041801277	-0.1666553134	-0.0411493084	-0.1877033807	-0.1262528818	0.0672817425	-0.0970326695	-0.0612771532	-0.2048629506	0.010820621	-0.0051785438	0.0786043236	0.0464452273	-0.095079435	0.0549005455	-0.0249802599	-0.0307115065	0.0946464299	-0.045764947	0.0481748921	-0.0497320894	0.0605507407	-0.0273498017	0.0064266013	0.0637419967	0.0657377761	-0.0473961831	0.0450682959	-0.0004156958	-0.0474150093	-0.0696068905	0.0184593336	-0.1139790783	0.0141204286	-0.0217330929	-0.0177871866	-0.0548916683	-0.0472516423	-0.0491578803	0.0052535454	-0.119429532	-0.0624360118	0.1341202183	-0.0096868421	-0.0468503776	-0.0093673356	-0.0490875586	0.0750580189	0.069530571	0.1146133118	0.1168714508	0.1225764435	-0.1135543673	-0.005795395	0.104806641	0.014105486	-0.072499155	0.0631118184	0.0245946282	-0.0937867057	-0.0278617883	0.0596683818	0.107894268	-0.093881909	0.1041183202	-0.1584298942	0.0672760115	0.1227959634	-0.0919427593	-0.003704064	-0.0643442422	0.0939654302	0.0519378304	0.0757559907	0.009005028	-0.0181056659	0.0906326251	-0.0039338086	0.069465822	0.0219896055	-0.0844376704	-0.1161937079	0.0040621127	-0.0397932357	-0.0244612214	-0.0514039755	-0.0996039077	-0.0196520668	-0.0492426683	0.0124642548	0.0477950549	-0.0552437346	0.0192936455	0.0388739217	-0.1331894304	-0.0070879507	-0.0457751001	-0.0005681766	0.063524745	-0.0991629297	-0.0271405869	-0.0667773514	-0.1364823004	-0.0735389774	-0.0858581017	0.1229622661	-0.0351296481	0.0625210152	-0.1007254349	-0.0406726188	-0.0886557946	0.0937767518	-0.0223089286	0.068849536	-0.0507894388	0.1394811666	0.1002780913	0.0268530627	0.1392663888	-0.0285909024	0.037333449	-0.0435980461	0.0422006524	-0.0279786554	0.0972168993	-0.0029707579	-0.0388016764	-0.001029466	-0.0601044823	0.1840832579	0.0759934983	-0.1143504575	-0.2268454912	0.0077443065	0.1150433411	-0.0331778122	0.1026171864	-0.0422435709	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	-0.0373987	0.0011446999999999	0.00139866276169	1.3103380899999965e-06	-0.0780403	-0.0401125	0.00609028842409	0.00160901265625	-0.0309437	0.0136616	0.00095751256969	0.0001866393145599	0.00198667	0.0002109099999999	3.9468576889e-06	4.4483028099999966e-08	0.000543519	-0.000170415	2.95412903361e-07	2.904127222500001e-08	-0.00229025	0.0004062999999999	5.2452450625000006e-06	1.650796899999997e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
541.5651564048142	-1.342704187064783	1.802854533961299	293292.81863177085	716.4667892205445	-3.582543334143793	12.834616741018124	513324.6600559961	544.7737352460346	-0.9708558653896944	0.9425611113615724	296778.42261391657	558.5734042009657	543.3072249855604	1.155688	16.606451	0.0829018	0.0517447	0.0512299553	0.1496332603	0.0364433997	-0.0010847104	-0.0455014327	-0.0970763985	-0.0396807549	-0.026898355	-0.0846838633	-0.0634761059	0.1192540291	-0.0897286989	-0.0595942782	0.0474338724	-0.0980022272	0.0415785925	-0.056114926	-0.1612795128	-0.0858774748	0.0386356086	0.1678279684	-0.0602994231	0.1067658444	-0.1622292082	-0.0635722574	0.0558493916	-0.0062755271	-0.0181521407	-0.0707909039	-0.0268105558	-0.0302028968	0.0530427914	-0.0151086713	-0.0202319302	-0.0113936342	0.0187047513	0.0103422845	0.1512416754	0.0410776584	0.0168858406	-0.0873282546	-0.0366268186	-0.0833451313	0.0870644667	0.0571760739	-0.0883705772	0.0597028073	-0.076187117	-0.0060853052	-0.057281878	-0.0019002389	0.0669486745	0.0698907966	0.0516532971	0.0291566634	0.0657663641	0.006027165	-0.0305805305	-0.0917161202	-0.1136102825	-0.1166332895	-0.0085640328	0.0342724157	0.1207752638	0.0628056057	-0.0650069222	-0.0200450943	0.0254500752	0.0998593473	-0.0270035337	-0.0557806552	-0.0226016025	0.0431571864	0.0166133462	-0.0069049943	-0.1314258669	0.0031450449	0.071659338	-0.1871110049	-0.0078323808	-0.1311343643	0.0578462976	0.0227159049	0.1008484126	-0.0317432766	-0.085607615	0.0525175681	-0.0284450824	0.0308368523	-0.0149234431	0.0330721442	0.0060188815	0.0947285162	-0.0431336614	-0.0100436555	-0.0960117695	-0.0420037002	-0.0223544281	0.0467513873	0.0677367252	0.1050967908	-0.0054519407	0.0005886358	0.0990875895	-0.0250335964	-0.0968541108	-0.0191947431	0.0416722948	0.0857547343	0.0411513852	-0.0434968221	-0.0913371736	0.1450025878	0.0619266623	0.0645919415	-0.119507222	0.0427612889	-0.0212722351	0.0203150913	0.0869993112	0.0150292149	0.0718475499	0.0623031004	-0.0487197948	0.0342239846	0.0587577611	0.0439832381	0.0118967601	0.0569857975	-0.0826571742	0.0302983598	0.1372678078	0.0306102152	0.1719373487	-0.0227863363	0.0455372745	-0.0304807339	-0.0314468369	-0.0441649912	0.0328544408	0.0004488129	-0.035281435	-0.0567628885	0.0247086664	0.0755820951	-0.0230476029	0.0479625259	-0.0637049699	0.0184989679	0.036445693	0.010391472	0.0920948893	0.0025493747	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	-0.0404702	-0.0030714999999999	0.0016378370880399	9.434112249999988e-06	-0.0311847	0.0468556	0.00097248551409	0.00219544725136	-0.012129	0.0188147	0.0001471126409999	0.00035399293609	0.00183793	-0.0001487399999999	3.3779866849e-06	2.212358759999996e-08	0.000677979	0.0001344599999999	4.59655524441e-07	1.8079491599999997e-08	-0.00229025	0.0	5.2452450625000006e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
