SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
25	28	16	6	4	1	75	10	1	1	6	5	0	-1	16
25	28	16	6	4	1	75	10	1	2	6	10	20.94	49	1
25	28	16	6	4	1	75	10	1	3	6	4	181.67	49	4
25	28	16	6	4	1	75	10	1	3	6	4	407.29	49	9
25	28	16	6	4	1	75	10	1	4	6	9	242.56	49	5
25	28	16	6	4	1	75	10	1	5	16	7	178.96	49	4
25	28	16	6	4	1	75	10	1	6	6	2	782.87	49	16
25	28	16	6	4	1	75	10	1	7	6	3	10.72	49	1
25	28	16	6	4	1	75	10	1	7	6	3	710.91	49	15
25	28	16	6	4	1	75	10	1	8	16	9	7.84	49	1
25	28	16	6	4	1	75	10	1	9	6	8	729.45	49	15
25	28	16	6	4	1	75	10	1	10	16	2	7.39	49	1
25	28	16	6	4	1	75	10	1	11	6	7	793.95	49	16
25	28	16	6	4	1	75	10	1	12	6	6	7.83	49	1
25	28	16	6	4	1	75	10	1	12	6	6	759.82	49	16
25	28	16	6	4	1	75	10	1	13	6	1	8.21	49	1
25	28	16	6	4	1	75	10	1	14	16	5	135.94	49	3
25	28	16	6	4	1	75	10	1	15	6	5	658.1	49	14
25	28	16	6	4	1	75	10	1	16	6	2	8.36	49	1
25	28	16	6	4	1	75	10	1	16	6	2	713.08	49	15
25	28	16	6	4	1	75	10	1	17	6	4	9.22	49	1
25	28	16	6	4	1	75	10	1	17	6	4	744.63	49	15
25	28	16	6	4	1	75	10	1	18	6	9	8.23	49	1
25	28	16	6	4	1	75	10	1	19	6	10	195.12	49	4
25	28	16	6	4	1	75	10	1	20	16	1	227.93	49	5
25	28	16	6	4	1	75	10	1	21	6	3	0	-1	16
25	28	16	6	4	1	75	10	1	22	16	10	7.83	49	1
25	28	16	6	4	1	75	10	1	22	16	10	786.09	49	16
25	28	16	6	4	1	75	10	1	23	6	7	10.8	49	1
25	28	16	6	4	1	75	10	1	24	16	4	0	-1	16
25	28	16	6	4	1	75	10	1	25	6	8	779.65	49	16
25	28	16	6	4	1	75	10	1	26	16	3	8.81	49	1
25	28	16	6	4	1	75	10	1	27	6	6	723.29	49	15
25	28	16	6	4	1	75	10	1	28	6	1	8.38	49	1
25	28	16	6	4	1	75	10	1	29	6	6	8.19	49	1
25	28	16	6	4	1	75	10	1	30	6	1	32.86	49	1
25	28	16	6	4	1	75	10	1	31	16	6	57.78	49	2
25	28	16	6	4	1	75	10	1	32	6	9	733.8	49	15
25	28	16	6	4	1	75	10	1	33	6	8	7.78	49	1
25	28	16	6	4	1	75	10	1	34	6	10	37.54	49	1
25	28	16	6	4	1	75	10	1	35	16	8	221.91	49	5
25	28	16	6	4	1	75	10	1	36	6	7	0	-1	16
25	28	16	6	4	1	75	10	1	37	6	4	115.91	49	3
25	28	16	6	4	1	75	10	1	37	6	4	772.87	49	16
25	28	16	6	4	1	75	10	1	38	6	2	8.31	49	1
25	28	16	6	4	1	75	10	1	39	6	5	71.07	49	2
25	28	16	6	4	1	75	10	1	39	6	5	737.4	49	15
25	28	16	6	4	1	75	10	1	40	16	7	10.58	49	1
25	28	16	6	4	1	75	10	1	41	16	4	0	-1	16
25	28	16	6	4	1	75	10	1	42	6	3	738.56	49	15
25	28	16	6	4	1	75	10	1	43	6	7	8.05	49	1
25	28	16	6	4	1	75	10	1	43	6	7	771.98	49	16
25	28	16	6	4	1	75	10	1	44	6	5	8.88	49	1
25	28	16	6	4	1	75	10	1	44	6	5	787.53	49	16
25	28	16	6	4	1	75	10	1	45	6	2	7.9	49	1
25	28	16	6	4	1	75	10	1	46	6	1	44.76	49	1
25	28	16	6	4	1	75	10	1	47	6	9	324.52	49	7
25	28	16	6	4	1	75	10	1	47	6	9	768.96	49	16
25	28	16	6	4	1	75	10	1	48	6	4	7.98	49	1
25	28	16	6	4	1	75	10	1	49	16	5	7.95	49	1
25	28	16	6	4	1	75	10	1	50	16	1	0	-1	16
25	28	16	6	4	1	75	10	1	51	6	10	0	-1	16
25	28	16	6	4	1	75	10	1	52	6	6	64.54	49	2
25	28	16	6	4	1	75	10	1	52	6	6	760.31	49	16
25	28	16	6	4	1	75	10	1	53	6	3	8.01	49	1
25	28	16	6	4	1	75	10	1	53	6	3	725.53	49	15
