SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
17	24	9	6	2	1	75	10	1	1	6	5	797.91	49	15
17	24	9	6	2	1	75	10	1	2	6	10	12.41	49	1
17	24	9	6	2	1	75	10	1	2	6	10	664.14	49	14
17	24	9	6	2	1	75	10	1	3	6	4	28.06	49	1
17	24	9	6	2	1	75	10	1	3	6	4	635.19	49	13
17	24	9	6	2	1	75	10	1	4	6	9	675.43	49	14
17	24	9	6	2	1	75	10	1	5	16	7	7.29	49	1
17	24	9	6	2	1	75	10	1	6	6	2	475.15	49	10
17	24	9	6	2	1	75	10	1	7	6	3	514.29	49	11
17	24	9	6	2	1	75	10	1	7	6	3	757.61	49	16
17	24	9	6	2	1	75	10	1	8	16	9	425.46	49	9
17	24	9	6	2	1	75	10	1	8	16	9	659.73	49	14
17	24	9	6	2	1	75	10	1	9	6	8	609.58	49	13
17	24	9	6	2	1	75	10	1	10	16	2	0	-1	16
17	24	9	6	2	1	75	10	1	11	6	7	667.06	49	14
17	24	9	6	2	1	75	10	1	12	6	6	11.37	49	1
17	24	9	6	2	1	75	10	1	12	6	6	643.42	49	13
17	24	9	6	2	1	75	10	1	13	6	1	17.57	49	1
17	24	9	6	2	1	75	10	1	13	6	1	740.23	49	15
17	24	9	6	2	1	75	10	1	14	16	5	7.54	49	1
17	24	9	6	2	1	75	10	1	15	6	5	420.36	49	9
17	24	9	6	2	1	75	10	1	16	6	2	407.22	49	9
17	24	9	6	2	1	75	10	1	17	6	4	429.38	49	9
17	24	9	6	2	1	75	10	1	18	6	9	485.68	49	10
17	24	9	6	2	1	75	10	1	19	6	10	512.94	49	11
17	24	9	6	2	1	75	10	1	20	16	1	460.13	49	10
17	24	9	6	2	1	75	10	1	21	6	3	391.26	49	8
17	24	9	6	2	1	75	10	1	22	16	10	327.42	49	7
17	24	9	6	2	1	75	10	1	23	6	7	211.77	49	5
17	24	9	6	2	1	75	10	1	24	16	4	319.4	49	7
17	24	9	6	2	1	75	10	1	25	6	8	484.43	49	10
17	24	9	6	2	1	75	10	1	26	16	3	438.5	49	9
17	24	9	6	2	1	75	10	1	27	6	6	423.75	49	9
17	24	9	6	2	1	75	10	1	28	6	1	470.96	49	10
17	24	9	6	2	1	75	10	1	28	6	1	709.76	49	15
17	24	9	6	2	1	75	10	1	29	6	6	674.76	49	14
17	24	9	6	2	1	75	10	1	30	6	1	7.93	49	1
17	24	9	6	2	1	75	10	1	31	16	6	61.05	49	2
17	24	9	6	2	1	75	10	1	32	6	9	481.6	49	10
17	24	9	6	2	1	75	10	1	32	6	9	709.36	49	15
17	24	9	6	2	1	75	10	1	33	6	8	716.17	49	15
17	24	9	6	2	1	75	10	1	34	6	10	9.74	49	1
17	24	9	6	2	1	75	10	1	34	6	10	609.89	49	13
17	24	9	6	2	1	75	10	1	35	16	8	9.79	49	1
17	24	9	6	2	1	75	10	1	36	6	7	570.12	49	12
17	24	9	6	2	1	75	10	1	37	6	4	514.51	49	11
17	24	9	6	2	1	75	10	1	38	6	2	727.67	49	15
17	24	9	6	2	1	75	10	1	39	6	5	10.51	49	1
17	24	9	6	2	1	75	10	1	39	6	5	610.66	49	13
17	24	9	6	2	1	75	10	1	40	16	7	9.98	49	1
17	24	9	6	2	1	75	10	1	40	16	7	590.44	49	12
17	24	9	6	2	1	75	10	1	41	16	4	678.49	49	14
17	24	9	6	2	1	75	10	1	42	6	3	7.99	49	1
17	24	9	6	2	1	75	10	1	42	6	3	666.7	49	14
17	24	9	6	2	1	75	10	1	43	6	7	7.51	49	1
17	24	9	6	2	1	75	10	1	43	6	7	627.41	49	13
17	24	9	6	2	1	75	10	1	44	6	5	11.59	49	1
17	24	9	6	2	1	75	10	1	44	6	5	736.48	49	15
17	24	9	6	2	1	75	10	1	45	6	2	9.87	49	1
17	24	9	6	2	1	75	10	1	45	6	2	618.11	49	13
17	24	9	6	2	1	75	10	1	46	6	1	7.95	49	1
17	24	9	6	2	1	75	10	1	46	6	1	589.83	49	12
17	24	9	6	2	1	75	10	1	47	6	9	10	49	1
17	24	9	6	2	1	75	10	1	47	6	9	559.8	49	12
17	24	9	6	2	1	75	10	1	48	6	4	576.33	49	12
17	24	9	6	2	1	75	10	1	49	16	5	11.86	49	1
17	24	9	6	2	1	75	10	1	50	16	1	0	-1	16
17	24	9	6	2	1	75	10	1	51	6	10	0	-1	16
17	24	9	6	2	1	75	10	1	52	6	6	60.78	49	2
17	24	9	6	2	1	75	10	1	52	6	6	607.5	49	13
17	24	9	6	2	1	75	10	1	53	6	3	584.87	49	12
17	24	9	6	2	1	75	10	1	54	6	8	8.02	49	1
17	24	9	6	2	1	75	10	1	54	6	8	768.56	49	16
17	24	9	6	2	1	75	10	1	55	16	2	16.67	49	1
17	24	9	6	2	1	75	10	1	56	6	2	643.11	49	13
17	24	9	6	2	1	75	10	1	57	6	10	7.36	49	1
17	24	9	6	2	1	75	10	1	57	6	10	539.07	49	11
17	24	9	6	2	1	75	10	1	58	6	9	469	49	10
17	24	9	6	2	1	75	10	1	59	16	10	0	-1	16
17	24	9	6	2	1	75	10	1	60	6	1	612.72	49	13
17	24	9	6	2	1	75	10	1	61	6	8	12.54	49	1
17	24	9	6	2	1	75	10	1	61	6	8	512.02	49	11
17	24	9	6	2	1	75	10	1	61	6	8	712.86	49	15
17	24	9	6	2	1	75	10	1	62	6	3	488.01	49	10
17	24	9	6	2	1	75	10	1	62	6	3	713.8	49	15
17	24	9	6	2	1	75	10	1	63	6	6	665.23	49	14
17	24	9	6	2	1	75	10	1	64	6	5	10.63	49	1
17	24	9	6	2	1	75	10	1	64	6	5	558.32	49	12
17	24	9	6	2	1	75	10	1	64	6	5	758.38	49	16
17	24	9	6	2	1	75	10	1	65	6	7	594.06	49	12
17	24	9	6	2	1	75	10	1	66	6	4	568.48	49	12
17	24	9	6	2	1	75	10	1	67	6	7	787.32	49	16
17	24	9	6	2	1	75	10	1	68	6	4	9.98	49	1
17	24	9	6	2	1	75	10	1	68	6	4	685.2	49	14
17	24	9	6	2	1	75	10	1	69	6	10	7.58	49	1
17	24	9	6	2	1	75	10	1	69	6	10	681.17	49	14
17	24	9	6	2	1	75	10	1	70	6	2	7.72	49	1
17	24	9	6	2	1	75	10	1	71	6	1	108.48	49	3
17	24	9	6	2	1	75	10	1	71	6	1	736.96	49	15
17	24	9	6	2	1	75	10	1	72	6	9	10.07	49	1
17	24	9	6	2	1	75	10	1	72	6	9	761.65	49	16
17	24	9	6	2	1	75	10	1	73	6	5	11.81	49	1
17	24	9	6	2	1	75	10	1	73	6	5	578.55	49	12
17	24	9	6	2	1	75	10	1	74	6	6	10.58	49	1
17	24	9	6	2	1	75	10	1	74	6	6	637.62	49	13
17	24	9	6	2	1	75	10	1	75	6	3	9.06	49	1
17	24	9	6	2	1	75	10	1	75	6	3	711.36	49	15
17	24	9	6	2	1	75	10	1	76	6	8	11.98	49	1
17	24	9	6	2	1	75	10	1	77	6	5	10.11	49	1
17	24	9	6	2	1	75	10	1	77	6	5	758.97	49	16
17	24	9	6	2	1	75	10	1	78	16	9	7.55	49	1
17	24	9	6	2	1	75	10	1	79	16	6	690.69	49	14
17	24	9	6	2	1	75	10	1	80	16	3	7.31	49	1
17	24	9	6	2	1	75	10	1	81	16	8	0	-1	16
17	24	9	6	2	1	75	10	1	82	6	4	593.3	49	12
17	24	9	6	2	1	75	10	1	83	16	7	510.39	49	11
17	24	9	6	2	1	75	10	1	84	6	10	609.53	49	13
17	24	9	6	2	1	75	10	1	85	6	2	508.12	49	11
17	24	9	6	2	1	75	10	1	85	6	2	712.11	49	15
17	24	9	6	2	1	75	10	1	86	6	9	470.6	49	10
17	24	9	6	2	1	75	10	1	87	6	7	386.72	49	8
17	24	9	6	2	1	75	10	1	87	6	7	610.89	49	13
17	24	9	6	2	1	75	10	1	88	6	8	441.59	49	9
17	24	9	6	2	1	75	10	1	88	6	8	659.97	49	14
17	24	9	6	2	1	75	10	1	89	6	6	427.23	49	9
17	24	9	6	2	1	75	10	1	89	6	6	657.68	49	14
17	24	9	6	2	1	75	10	1	90	6	3	436.65	49	9
17	24	9	6	2	1	75	10	1	90	6	3	660.1	49	14
17	24	9	6	2	1	75	10	1	91	6	1	442.71	49	9
17	24	9	6	2	1	75	10	1	91	6	1	659.89	49	14
17	24	9	6	2	1	75	10	1	92	6	7	411.86	49	9
17	24	9	6	2	1	75	10	1	93	16	9	478.65	49	10
17	24	9	6	2	1	75	10	1	93	16	9	709.37	49	15
17	24	9	6	2	1	75	10	1	94	6	5	526.65	49	11
17	24	9	6	2	1	75	10	1	95	6	2	444.49	49	9
17	24	9	6	2	1	75	10	1	96	6	1	479.94	49	10
17	24	9	6	2	1	75	10	1	97	6	9	527.7	49	11
17	24	9	6	2	1	75	10	1	98	16	2	0	-1	16
17	24	9	6	2	1	75	10	1	99	6	4	529.49	49	11
17	24	9	6	2	1	75	10	1	100	16	4	711.72	49	15
17	24	9	6	2	1	75	10	1	101	6	10	8.16	49	1
17	24	9	6	2	1	75	10	1	102	6	3	357.76	49	8
17	24	9	6	2	1	75	10	1	102	6	3	558.59	49	12
17	24	9	6	2	1	75	10	1	103	6	6	409.77	49	9
17	24	9	6	2	1	75	10	1	104	6	8	428.53	49	9
17	24	9	6	2	1	75	10	1	104	6	8	657.03	49	14
17	24	9	6	2	1	75	10	1	105	6	5	469.31	49	10
17	24	9	6	2	1	75	10	1	105	6	5	710.21	49	15
17	24	9	6	2	1	75	10	1	106	6	9	481.13	49	10
17	24	9	6	2	1	75	10	1	106	6	9	709.99	49	15
17	24	9	6	2	1	75	10	1	107	16	10	0	-1	16
17	24	9	6	2	1	75	10	1	108	6	4	25.5	49	1
17	24	9	6	2	1	75	10	1	109	16	1	219.64	49	5
17	24	9	6	2	1	75	10	1	109	16	1	458.62	49	10
17	24	9	6	2	1	75	10	1	110	6	2	0	-1	16
17	24	9	6	2	1	75	10	1	111	6	10	59.99	49	2
17	24	9	6	2	1	75	10	1	111	6	10	491.19	49	10
17	24	9	6	2	1	75	10	1	111	6	10	709.84	49	15
17	24	9	6	2	1	75	10	1	112	6	6	372.35	49	8
17	24	9	6	2	1	75	10	1	113	16	5	415.16	49	9
17	24	9	6	2	1	75	10	1	113	16	5	659.23	49	14
17	24	9	6	2	1	75	10	1	114	6	3	568.08	49	12
17	24	9	6	2	1	75	10	1	115	6	7	494.28	49	10
17	24	9	6	2	1	75	10	1	115	6	7	710.05	49	15
17	24	9	6	2	1	75	10	1	116	16	3	514.12	49	11
17	24	9	6	2	1	75	10	1	117	16	6	707.58	49	15
17	24	9	6	2	1	75	10	1	118	16	8	7.39	49	1
17	24	9	6	2	1	75	10	1	119	6	8	737.99	49	15
17	24	9	6	2	1	75	10	1	120	6	1	7.8	49	1
17	24	9	6	2	1	75	10	1	120	6	1	610.3	49	13
17	24	9	6	2	1	75	10	1	121	16	5	8.27	49	1
17	24	9	6	2	1	75	10	1	122	6	5	359.79	49	8
17	24	9	6	2	1	75	10	1	122	6	5	560.04	49	12
17	24	9	6	2	1	75	10	1	123	6	2	465.26	49	10
17	24	9	6	2	1	75	10	1	124	16	4	366.76	49	8
17	24	9	6	2	1	75	10	1	125	16	9	689.29	49	14
