SubjectNum	Age	Gender	PressedTask	Block Type	Block Repeat Num	Response Rate	Onset	Block	Trial	ImgType	ImgNum	RT	PressedC	FrameC
10	25	9	6	3	1	75	10	1	1	6	5	564.25	49	11
10	25	9	6	3	1	75	10	1	1	6	5	814.14	49	16
10	25	9	6	3	1	75	10	1	2	6	10	710.84	49	15
10	25	9	6	3	1	75	10	1	3	6	4	14.05	49	1
10	25	9	6	3	1	75	10	1	3	6	4	720.94	49	15
10	25	9	6	3	1	75	10	1	4	6	9	10.19	49	1
10	25	9	6	3	1	75	10	1	5	16	7	10.42	49	1
10	25	9	6	3	1	75	10	1	5	16	7	211.17	49	5
10	25	9	6	3	1	75	10	1	6	6	2	783.78	49	16
10	25	9	6	3	1	75	10	1	7	6	3	11	49	1
10	25	9	6	3	1	75	10	1	7	6	3	784.42	49	16
10	25	9	6	3	1	75	10	1	8	16	9	10.51	49	1
10	25	9	6	3	1	75	10	1	9	6	8	88.86	49	2
10	25	9	6	3	1	75	10	1	9	6	8	762.38	49	16
10	25	9	6	3	1	75	10	1	10	16	2	7.9	49	1
10	25	9	6	3	1	75	10	1	11	6	7	731.07	49	15
10	25	9	6	3	1	75	10	1	12	6	6	8.08	49	1
10	25	9	6	3	1	75	10	1	13	6	1	207.59	49	5
10	25	9	6	3	1	75	10	1	13	6	1	408.28	49	9
10	25	9	6	3	1	75	10	1	14	16	5	242.39	49	5
10	25	9	6	3	1	75	10	1	15	6	5	710.13	49	15
10	25	9	6	3	1	75	10	1	16	6	2	11.06	49	1
10	25	9	6	3	1	75	10	1	17	6	4	10.99	49	1
10	25	9	6	3	1	75	10	1	18	6	9	116.51	49	3
10	25	9	6	3	1	75	10	1	19	6	10	62.41	49	2
10	25	9	6	3	1	75	10	1	20	16	1	161.59	49	4
10	25	9	6	3	1	75	10	1	21	6	3	723.09	49	15
10	25	9	6	3	1	75	10	1	22	16	10	7.53	49	1
10	25	9	6	3	1	75	10	1	23	6	7	486.74	49	10
10	25	9	6	3	1	75	10	1	23	6	7	710.37	49	15
10	25	9	6	3	1	75	10	1	24	16	4	0	-1	16
10	25	9	6	3	1	75	10	1	25	6	8	668.24	49	14
10	25	9	6	3	1	75	10	1	26	16	3	8.16	49	1
10	25	9	6	3	1	75	10	1	27	6	6	760.34	49	16
10	25	9	6	3	1	75	10	1	28	6	1	10.64	49	1
10	25	9	6	3	1	75	10	1	29	6	6	76.28	49	2
10	25	9	6	3	1	75	10	1	29	6	6	312.24	49	7
10	25	9	6	3	1	75	10	1	30	6	1	326.13	49	7
10	25	9	6	3	1	75	10	1	30	6	1	562.83	49	12
10	25	9	6	3	1	75	10	1	31	16	6	470.89	49	10
10	25	9	6	3	1	75	10	1	31	16	6	709.34	49	15
10	25	9	6	3	1	75	10	1	32	6	9	0	-1	16
10	25	9	6	3	1	75	10	1	33	6	8	390.72	49	8
10	25	9	6	3	1	75	10	1	33	6	8	608.25	49	13
10	25	9	6	3	1	75	10	1	34	6	10	707.43	49	15
10	25	9	6	3	1	75	10	1	35	16	8	7.99	49	1
10	25	9	6	3	1	75	10	1	36	6	7	589.04	49	12
10	25	9	6	3	1	75	10	1	37	6	4	7.49	49	1
10	25	9	6	3	1	75	10	1	38	6	2	107.33	49	3
10	25	9	6	3	1	75	10	1	38	6	2	307.79	49	7
10	25	9	6	3	1	75	10	1	39	6	5	280.07	49	6
10	25	9	6	3	1	75	10	1	39	6	5	511.83	49	11
10	25	9	6	3	1	75	10	1	40	16	7	459.45	49	10
10	25	9	6	3	1	75	10	1	40	16	7	660.35	49	14
10	25	9	6	3	1	75	10	1	41	16	4	615.86	49	13
10	25	9	6	3	1	75	10	1	42	6	3	12.9	49	1
10	25	9	6	3	1	75	10	1	43	6	7	141.79	49	3
10	25	9	6	3	1	75	10	1	43	6	7	362.42	49	8
10	25	9	6	3	1	75	10	1	44	6	5	210.23	49	5
10	25	9	6	3	1	75	10	1	44	6	5	411.65	49	9
10	25	9	6	3	1	75	10	1	45	6	2	209.06	49	5
10	25	9	6	3	1	75	10	1	45	6	2	409.23	49	9
10	25	9	6	3	1	75	10	1	46	6	1	110.42	49	3
10	25	9	6	3	1	75	10	1	47	6	9	380.26	49	8
10	25	9	6	3	1	75	10	1	48	6	4	208.96	49	5
10	25	9	6	3	1	75	10	1	49	16	5	438.79	49	9
10	25	9	6	3	1	75	10	1	50	16	1	0	-1	16
