global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
317.8269634781508	n/a	101013.9787137418	n/a	406.0615749428512	n/a	164886.00264506877	n/a	320.5823301793661	n/a	102773.03042323212	n/a	327.34734397392964	274.61390224923923	n/a	n/a	n/a	n/a	-0.0800115619	-0.0311310682	-0.0147017166	-0.0507239682	-0.0082733128	-0.042393484	-0.0396637476	0.1260807882	-0.0503892662	-0.0129811273	-0.0168724984	-0.1217267974	0.0243294576	-0.0846573439	-0.0167636643	0.0673784066	-0.0008959134	0.0935246438	-0.0123007813	0.0411632676	-0.0220832351	0.0279767109	-0.1586915416	0.103647228	-0.0742772267	0.0232446641	-0.0245104401	0.0011145255	-0.0663372556	0.0185238555	-0.0012460453	0.0091941296	-0.0547308314	0.0198163815	-0.0509296547	0.0077078128	-0.0554354076	0.0404677947	-0.1029725972	0.0453903636	-0.1610772289	0.0499208141	-0.0805928281	0.0478304318	-0.0200056707	-0.0342829181	0.0868360402	0.0369639152	-0.0175719982	-0.0168976755	0.0734217537	-0.0391533266	0.0891739978	0.0012757716	-0.0141340554	-0.0151772026	-0.0671134106	-0.0089454317	0.0886594019	-0.0995767885	-0.0539826928	0.0159249145	0.0725750596	-0.0466039827	-0.0352028098	0.1779611888	0.0868204789	-0.1203852261	-0.0540713603	0.0400674128	0.0287241891	0.0030645381	0.0021158599	-0.0470362782	0.0636854617	-0.05128791	0.0082405709	-0.0797838818	0.0180138478	-0.0945415532	0.0590472262	-0.0271070823	0.0721253084	-0.0240320231	0.0500483189	-0.1670821875	-0.0227827165	0.0409791791	-0.192540492	0.1734369928	-0.02626323	0.0310909811	-0.0522710945	0.0837131816	-0.0671705937	0.0854469995	-0.1750866912	0.0335606134	-0.0364970908	0.0660120035	-0.0320275175	0.0482720369	-0.080051175	0.0894377224	-0.0484755312	-0.0772269813	0.1089644607	-0.144177989	-0.0333377026	0.0696855225	-0.0754279611	0.0399493625	0.0263021798	0.061280339	-0.0458413821	0.0076824665	0.0351287367	0.1218921674	-0.0200860074	-0.009405334	0.0436938663	0.0351345114	0.0172736111	-0.0449333886	-0.0659841854	0.0432074955	0.0692649569	-0.0101307901	-0.0276518423	-0.0538726316	0.0658450495	-0.0629273798	0.0866156028	-0.0149331893	0.0675063891	-0.1139919058	0.0071546785	-0.1460264488	0.0187325875	-0.1064740438	0.0004251351	-0.0574406805	-0.1584202291	0.3001870828	-4.94442e-05	0.0140279155	-0.0445455764	0.1381325172	-0.0825708295	0.0770930089	-0.0511622433	0.0159822945	-0.209218298	0.0930428368	-0.0393485433	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0110228	n/a	0.0001215021198399	n/a	4.24321e-05	n/a	n/a	1.8004831104100003e-09	-0.0444226	n/a	n/a	0.00197336739076	-0.000886598	n/a	7.860560136040001e-07	n/a	0.000569387	n/a	3.24201555769e-07	n/a	0.0	n/a	n/a	0.0
317.20111733608564	-0.6258461420651429	100616.54883926116	0.391683393537823	403.5872669413331	-2.474308001518125	162882.68203717485	6.122200086376617	320.14139421447265	-0.4409359648934696	102490.5122895864	0.1944245251365351	326.7575521898413	270.513525188258	1.193758	16.586176	0.0581363679	0.0320334	-0.0456552001	0.1073791279	0.0357919708	-0.0207461188	0.0836906356	0.0302074736	-0.0059911457	-0.0029421992	-0.1268670195	-0.081134139	0.0209889832	-0.0324305016	-0.034599735	-0.0988135893	0.0098244502	-0.0371127517	-0.0626557196	0.1542238513	0.1233208541	-0.1250324322	-0.1588469169	-0.0729678208	-0.1608189478	0.0943511064	-0.0037846453	-0.1336184583	0.0493232413	-0.1106944583	0.0034572641	-0.0188086309	-0.0744710849	0.0747961651	0.0004245763	-0.0746921932	0.0276750099	0.040247219	0.0477372068	0.0909609576	-0.1382245714	0.0637596455	0.1272858264	0.0349787454	-0.0519875172	0.1081392112	0.1705157053	-0.1240464231	-0.0124847713	0.0657802491	0.0400456951	0.1153217665	0.0116952562	-0.0172389692	0.0632480653	0.0409449373	-0.0309632867	-0.1230208266	0.0631797203	-0.0059763981	-0.1315041117	0.0396547966	-0.0418194633	-0.0573323874	0.0473941128	-0.0386782248	0.1313480543	-0.0611042117	0.130282062	0.0557186231	-0.0682152481	-0.0501710535	-0.0418106581	-0.0080135409	-0.0301560292	-0.0084664538	-0.0623831411	-0.0581893333	0.1000501754	-0.1111223583	-0.0098350639	0.0043595225	0.0292668482	-0.1501460701	0.1678253081	-0.0019525362	-0.0343353318	-0.0223881097	-0.2404925249	-0.0587168874	-0.031482849	-0.0004786495	0.0082637412	-0.1384757714	-0.1044711371	0.0790620823	0.0379733837	0.0131974509	0.02130154	-0.0122023882	0.0219853249	0.1336812482	0.0947756005	-0.1242123951	-0.0205906889	0.1112481801	0.103521796	0.1175860887	0.0669999866	-0.1011495151	-0.1125541767	0.0828253274	0.0197257686	-0.0688483396	0.0269966626	-0.1177599602	0.0279921729	-0.041061912	0.0853581628	-0.0058215911	0.0484213449	-0.0672911047	-0.002044009	-0.0751804073	0.0176736596	0.0266820945	-0.0265973024	0.0369988946	-0.0342390725	-0.0678166019	0.0432708054	0.1380748084	0.0988088834	-0.1087929092	-0.0565014939	-0.0365099141	0.0211330475	-0.1376251996	0.0876014518	-0.0953012862	0.0131883536	-0.0865912909	-0.0240027999	-0.0822248415	-0.2188767664	0.1285786588	0.0925313804	-0.003976826	0.0545171898	0.1046469807	0.0290663675	-0.0160897242	0.0600623527	0.0544897364	-0.070882472	0.151105998	-0.0465928347	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0223949	-0.0113721	0.00050153154601	0.00012932465841	0.0175763	0.0175338679	0.0003074365235346	0.00030892632169	-0.0204159	0.0240067	0.00057632164489	0.00041680897281	-0.000873457	1.3141000000000042e-05	7.629271308490001e-07	1.7268588100000108e-10	0.000478054	-9.133299999999996e-05	2.28535626916e-07	8.341716888999995e-09	0.0	0.0	0.0	0.0
317.1094661470466	-0.0916511890390552	100558.41352006487	0.0083999404522726	401.767407152309	-1.8198597890241217	161417.04944988922	3.3118896517069207	320.07068712001524	-0.0707070944574184	102445.24475347868	0.0049994932066102	326.6095909044421	269.77945273539353	1.152623	16.014643	0.0379216526999999	0.0218788	0.0978590663	-0.0045059656	0.0608543285	-0.0257701778	-0.029174963	0.0534286928	0.0710366774	-0.1213572729	-0.021847778	0.0233544561	0.0827195715	-0.0225265385	0.0625000204	0.0268037886	0.0094985323	-0.1006897034	0.0839104458	0.1219367986	0.0138086743	-0.044808002	0.0537808709	0.0363867514	-0.0156167122	-0.110018461	0.0008353973	-0.0471008701	0.0495743514	-0.0979984557	0.1302825694	-0.0572783452	0.0720827522	0.0871620228	-0.0862687792	-0.0444511633	-0.0436032642	0.0669707871	-0.094676155	0.1054937951	0.0244887998	0.0183756783	0.1161397487	0.0706843725	-0.0841883614	-0.0459977369	0.0915420872	0.0291582567	-0.0800060402	-0.1207627224	-0.0665425865	-0.0786259703	0.0331492456	0.0626539483	-0.1712039245	0.0530172367	0.0375755216	0.0094474757	-0.0043840686	0.1109388891	-0.0142088501	-0.0555530531	0.104974229	0.0733069862	-0.0490534241	-0.0403118234	0.0881976133	-0.0975084825	-0.0008926721	-0.0157335228	0.0707049969	-0.0847420959	-0.1755312655	0.0493643508	0.0148311598	0.0516684508	-0.03935555	0.101164153	0.0718884999	-0.0589154631	-0.050154424	0.0805341754	0.0406072296	-0.134264718	0.0440855708	-0.0853686962	-0.0562730541	-0.0562438492	-0.0502067628	-0.1435101331	-0.0151017869	-0.0800630833	-0.1621962352	0.0504593236	0.0598756454	-0.016559996	0.1215428302	-0.058015748	-0.0588980175	-0.041012278	0.163705692	0.0450928349	0.059705374	-0.0524565472	0.0752125208	0.0250189805	0.0325531518	-0.04698018	0.0160816245	0.1248312401	0.046980421	0.0420694712	0.0281782137	0.1028067315	0.0277468588	-0.0035079357	0.0376599131	0.0077321952	-0.0951947239	-0.0833495568	-0.0078060382	0.1554337542	-0.0422838116	0.0400594225	0.0265640578	0.0471369345	0.0476937674	-0.008125314	0.1030581152	-0.1160819855	-0.0693498992	0.0012531405	0.1097612945	0.0787657951	-0.0657817154	-0.0494427191	0.0783416614	-0.118765856	0.0874939178	-0.0636521875	-0.077416383	-0.1226838801	0.0313996763	0.0022728272	-0.1418712206	0.1399376598	0.1730924835	0.0223825123	0.1308289031	-0.0357783602	0.053367338	-0.0253471396	0.1171807074	0.0188359759	-0.0420383548	-0.005933494	-0.0017027854	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0184648	0.0039300999999999	0.00034094883904	1.544568600999999e-05	3.02473e-05	-0.0175460527	0.0003078639653511	9.148991572899999e-10	-0.0204186	-2.699999999997843e-06	7.289999999988353e-12	0.0004169192259599	-0.000785918	8.753899999999998e-05	6.176671027240001e-07	7.663076520999997e-09	0.000719371	0.000241317	5.174946356410001e-07	5.823389448900001e-08	0.0	0.0	0.0	0.0
317.3354590464867	0.2259928994400866	100701.79356824442	0.051072790597337	399.63414193486807	-2.133265217440908	159707.44740001828	4.550820487943203	320.3957670641938	0.325079944178583	102653.44755265316	0.1056769701071506	326.7351058981729	270.89778249259723	1.163604	16.167221	0.0268919326999999	0.0149857	-0.0423052033	-0.0902531548	0.0256942532	-0.0238795323	-0.1179725567	-0.1030935663	0.0350133385	-0.0894900815	0.0980200637	0.0100258429	0.0420427559	-0.0008003511	0.0648989155	0.0497055451	0.0458052799	0.0221119404	0.0423095732	0.0423254923	-0.0116831212	-0.0605448331	-0.1229386082	0.0215230101	-0.1874539639	0.071629347	0.0034808949	-0.0860018607	-0.0110846233	0.0639521978	-0.0304404281	0.0057355421	0.1012851839	-0.0051681857	-0.0392840309	0.0848193935	-0.1254102469	0.0715059648	-0.0339261167	0.0274146054	0.0766636499	-0.0694869425	0.0422124234	0.1138032708	0.0822929767	-0.0985351733	-0.0198125832	-0.0283996682	-0.0571920205	0.041670314	0.0561676099	0.0195138951	-0.0694839045	-0.0709789792	-0.0020278649	0.0535206653	0.0469621822	-0.0090985778	-0.0454860112	-0.0936520891	0.0066313697	0.0357712314	-0.0070283152	-0.0149288851	-0.1261746744	-0.0415385553	0.0898903958	0.0034782929	0.0776996274	0.041179928	0.2105052865	0.0821961299	-0.030304888	0.042050962	0.0604973135	-0.0712536746	0.0220687424	0.0444373523	0.0155664748	0.0196860745	0.0719660246	-0.0566536979	0.0243279932	-0.24883987	0.0082607706	0.1162610467	0.0459058293	0.0106775785	-0.0834329679	-0.0322519509	-0.1074496407	-0.0067044139	-0.0078422717	-0.0053012007	-0.073272163	0.0373056048	-0.0212188443	-0.0139084913	0.0729988174	0.1038560992	-0.0058818557	-0.0124015704	-0.0978914517	0.0617971563	0.1001578654	0.0369772306	-0.0119075068	0.0255259907	0.028221327	-0.00840375	-0.0336730477	-0.0727647342	0.1338530561	0.0746095998	0.0381499252	-0.0016272975	-0.0771775015	0.0178996035	-0.0468118699	-0.0081564318	-0.042972656	0.0046992518	0.0358616451	0.1721109636	0.0747705075	0.016659501	-0.0539540861	-0.0073998154	-0.0405332745	-0.1205940701	-0.0937110759	0.0424735721	-0.0700378808	0.0034553497	0.0882579327	0.1072939732	0.0812816582	-0.1508457615	0.0596982605	0.0612742057	-0.0609517227	-0.124828643	0.0155256621	0.0021592231	-0.1987335984	0.0507738086	0.0215655238	0.1441160685	0.028428931	-0.0862514	0.0581787709	-0.0377314978	0.0344174589	0.082909231	0.1050047275	0.0260305381	0.0470835755	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0190975	-0.0006326999999999	0.00036471450625	4.0030928999999993e-07	0.00940664	0.0093763927	8.791674006461331e-05	8.848487608960001e-05	-0.0204128	5.800000000000249e-06	3.3640000000002895e-11	0.0004166824038399	-0.000594669	0.000191249	3.536312195610001e-07	3.6576180001e-08	0.000650322	-6.904899999999996e-05	4.229187036840001e-07	4.767764400999994e-09	7.72428e-05	7.72428e-05	5.966450151840001e-09	5.966450151840001e-09
317.8663639814551	0.5309049349684187	101039.0253507909	0.2818600499738209	401.2307181074112	1.5965761725431094	160986.08915298886	2.549055474732405	320.7334438082398	0.3376767440460071	102869.94197709332	0.1140255834695126	327.0377651692904	271.62580516158727	1.166309	16.2048	0.0127787	0.00722906	-0.0383589785	0.0877598765	-0.0248842319	-0.0022005933	-0.029213716	-0.0424418404	-0.0459612224	-0.0794569214	0.0405440647	-0.0857159253	-0.0536403585	0.0796189495	-0.0973959861	0.1006691938	-0.0013791187	0.0451987128	-0.0658027401	0.0020965503	0.0781593033	-0.0513232861	0.0220393721	-0.0315876398	-0.0329990163	0.0981294221	-0.0235217601	-0.1201615716	0.1437663601	-0.0192692401	0.1150122869	0.067715695	-0.0167186267	0.1224857921	0.0247953191	-0.0341631605	-0.0875793419	-0.0029936327	-0.060818954	0.0139821334	-0.0504538346	0.0019875298	0.0105042769	0.0188044382	0.1610312432	-0.00771052	-0.1748396172	0.0461695667	0.0180070554	-0.136599125	0.0032683284	0.0207808413	0.0405256558	-0.0389682832	-0.055975723	-0.0129672801	0.0499867667	0.1060069651	0.0801017838	-0.0623850447	-0.0025449233	0.1293124126	0.0180465742	0.0292656178	0.0640303309	-0.0796835387	-0.0213952344	-0.0230339975	-0.0864157648	0.0565276105	-0.0045811716	-0.001057605	-0.0258676377	0.008923756	0.0045591658	-0.0393687501	-0.0613452237	-0.0709656136	-0.0979736052	0.008891329	0.0430943855	0.0362981262	0.0322849966	-0.1092141427	0.0842962825	-0.0795046393	0.0173009613	-0.0607902602	-0.0954331562	-0.0259774108	-0.0577256496	0.0256361056	-0.0363004577	-0.0775773224	-0.0202527781	-0.1450804308	0.0791756733	0.1022766532	0.0922190738	0.0658696739	-0.0376475351	-0.1561781877	0.0049445924	0.0853365032	0.0735522515	-0.0683207511	0.0243049647	-0.0317991779	0.068748899	0.0195901059	0.0081873203	-0.0372102916	0.1273735857	-0.0519280446	-0.1043530358	-0.082983613	0.030023609	0.039481	-0.0544082056	-0.1391774633	0.0279111666	0.0800702941	-0.1015120718	-0.0015458772	-0.0148386251	-0.1179864671	0.1120696085	0.0155268958	0.0598940041	0.039638339	0.0584192825	-0.0482978557	-0.0099698665	-0.0784186547	-0.0641532885	0.140002338	-0.0143686972	-0.0918344818	0.0723086181	-0.0654543072	-0.0442916966	-0.0843734224	-0.0124011389	0.0455569928	-0.1805796553	0.0840911162	-0.0010043552	0.1065588516	0.1072575644	-0.0043587218	-0.0813341106	0.0516557867	0.0589955521	0.0490947922	0.0601785014	-0.0811344485	0.1052818977	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.02349	-0.0043925	0.0005517801	1.9294056250000004e-05	0.0113444	0.0019377599999999	3.754913817599994e-06	0.0001286954113599	-0.0229991	-0.0025863	6.6889476900000165e-06	0.00052895860081	-0.000594669	0.0	3.536312195610001e-07	0.0	0.000650322	0.0	4.229187036840001e-07	0.0	0.0	-7.72428e-05	5.966450151840001e-09	0.0
317.6903241653755	-0.1760398160795944	100927.14206830136	0.0309900168453374	404.1016167007268	2.870898593315644	163298.11662014114	8.242058733101745	320.6375910835825	-0.0958527246573339	102808.46481588266	0.0091877448242346	327.0991900933891	273.7497274336369	1.198558	16.652874	0.02168236	0.0131412	0.1332983768	0.010907255	-0.0857995466	-0.0157998297	-0.056042948	0.1339612349	0.0276511464	0.0461223929	0.0871125459	0.0454608548	-0.0922641151	-0.0570365404	0.0311709176	0.0240159109	-0.0949375193	-0.0283965731	-0.0432182226	-0.0800346294	-0.0444047375	0.0286458455	-0.1035429759	0.0134741959	-0.1841498476	0.051387097	-0.1120109061	-0.0352323221	-0.0052309829	-0.0701632697	0.013708028	-0.0010224287	-0.0055128525	0.0266762267	-0.0107685523	0.07821165	-0.1416159713	-0.1282207196	-0.0084847892	-0.0172490313	0.051408075	-0.005079681	0.02834022	-0.035083033	0.0369711355	0.0352500286	-0.0818220153	0.1040012486	0.1412547206	0.0233798067	-0.0592517812	-0.0070910068	0.0638966816	0.1782463688	0.0798184553	0.2126887503	0.0831840341	-0.0633251838	-0.0662843941	0.0714710699	0.0277897527	-0.0030995425	0.0888843683	0.0349564261	0.0089131155	0.0496994406	-0.1900545565	-0.0293650273	-0.090556733	-0.0499636329	0.0281883764	0.1292524409	0.0056630457	-0.0663466851	-0.048861473	0.1311455062	-0.0236826915	0.002165476	-0.0688927877	0.1052666739	-0.0031957374	-0.0816221534	0.0517346911	-0.1164082043	0.0920272572	0.0690485311	0.0887686638	-0.1264105863	-0.0465399908	0.0084669602	-0.0418454416	-0.0159915534	-0.0949251076	-0.0098683422	0.0074836774	0.1017393464	0.0134349717	-0.050781099	-0.0483725251	-0.0290418541	0.0029242261	-0.0247930352	-0.1641794676	0.099211529	-0.0083397983	0.0567775887	0.0504859239	0.066684865	-0.2255455216	-0.0943165842	0.0724636747	0.005307752	0.0104762849	0.0236070247	-0.0853006219	-0.0328848455	-0.0196526092	0.1731955785	0.0130920502	0.0087381073	-0.2083433559	-0.0891464218	-0.1573802593	0.0603313657	-0.0523455786	-0.0801094627	0.0409964427	0.0791342588	0.091575337	0.1582420142	0.1576219486	-0.0949667728	-0.0445459512	0.1089894132	-0.0817104995	0.1373844414	0.0533238842	-0.095092342	-0.0123719623	-0.0589459	-0.0298031908	-0.119327503	0.0316704155	0.0383338494	-0.1769568182	0.0103487495	-0.0532916893	0.0289472608	-0.0623290972	-0.0174007795	0.0045097828	0.0591368267	0.0232756851	0.0652665937	0.0799521709	0.0198866846	-0.1362495327	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0114223	0.0120677	0.00013046893729	0.00014562938329	0.0079051899999999	-0.00343921	1.182816542410068e-05	6.249202893609843e-05	-0.0204135	0.0025856	6.685327360000002e-06	0.00041671098225	-0.000522872	7.179700000000007e-05	2.73395128384e-07	5.15480920900001e-09	0.000650322	0.0	4.229187036840001e-07	0.0	0.0	0.0	0.0	0.0
316.9828896091676	-0.7074345562078861	100478.15230497776	0.5004636513170487	400.3411338946846	-3.760482806042205	160273.0234880818	14.141230934539056	320.4407433001255	-0.1968477834569739	102682.26996673692	0.0387490498519237	326.8672872717601	273.32289757610755	1.234349	17.150156	0.0878050128999999	0.0389023	-0.0325773058	-0.1349440923	-0.0269829328	-0.0039379407	0.0128163136	-0.1002380483	0.0926565043	0.1153940335	0.0535134825	-0.0305551638	-0.0415911469	-0.0740273404	-0.0037927227	0.0273359604	-0.0268198572	0.0928833347	0.0977741913	0.0436284704	0.0194939121	0.1164572968	0.0517638129	-0.0785791576	0.0467792885	-0.0246355577	-0.0632669322	0.0801861461	0.0349345847	0.1003964972	0.0741553417	0.0914095475	0.0752723106	-0.1285931972	0.0299268049	0.1088653655	0.1011676288	-0.0020796798	0.1034437914	-0.0854127885	0.0540395488	-0.1706223693	0.002179023	0.0378435793	0.0781182022	-0.1149267991	-0.0972296845	-0.0320047544	-0.0127102007	0.0472996645	0.04318903	0.0132937434	0.0531111875	-0.1130610403	-0.0260092067	0.0287349628	0.0603773236	0.0580507726	-0.0700455139	-0.0053419897	-0.0925356206	0.0254250999	-0.0354237767	-0.0811114596	0.0134177615	0.0160567171	0.058924696	-0.0755021713	0.0265638751	0.0065620302	-0.1018970265	0.0411832215	-0.0853066311	0.0011573426	-0.1462687382	-0.0284177935	0.1278671095	-0.0262448183	0.0067909812	-0.0197009802	0.0588842285	-0.074125229	-0.040430596	-0.0027448293	-0.1005594964	-0.0881774024	0.096508629	0.0267682063	0.047433436	0.0517860648	0.1062500396	0.0471031175	-0.0501268434	0.0300346424	0.1157680281	-0.1079363554	-0.0517001138	-0.0674248764	0.186018621	0.0879769217	-0.0366567833	-0.0029116871	0.0055745373	-0.0309470391	-0.0653289628	-0.0683799292	-0.1068471134	0.0168688951	-0.0797386154	-0.0386146144	-0.1267057123	-0.0430096249	0.0763688731	0.0354226941	-0.0399137663	0.0521132402	-0.1538534288	-0.0265648765	0.0840905175	0.1303129147	-0.0795105484	0.0279811577	0.067335733	-0.1902417029	-0.1236904324	0.0199636867	-0.0074325787	-0.0008188333	0.0300568689	-0.1323113336	0.0491817239	0.0244579515	0.0593303824	0.0473222189	0.1208316268	0.0459655834	-0.007245442	-0.1388296605	0.0339422631	-0.060046718	0.0935362947	-0.0018493778	-0.0303868248	0.058978555	-0.0493835236	-0.1213600986	0.0062947841	-0.0520407477	-0.0226038554	-0.1340035691	-0.0026300458	0.061457737	-0.093077851	-0.04044864	0.0086429298	-0.0799400378	-0.0587491467	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0142982	-0.0028759	0.00020443852324	8.270800810000003e-06	2.80071e-05	-0.0078771828999999	6.205001044005085e-05	7.8439765041e-10	-0.00393681	0.01647669	0.0002714813133561	1.54984729761e-05	-9.16492e-05	0.0004312227999999	8.39957586064e-09	1.8595310323983997e-07	0.00101884	0.0003685179999999	1.0380349456e-06	1.35805516324e-07	-0.000411764	-0.000411764	1.6954959169600004e-07	1.6954959169600004e-07
316.7318225271494	-0.2510670820182099	100319.04740136968	0.0630346796731385	402.1104162304648	1.76928233578019	161692.78684103765	3.1303599837038045	320.29174992469484	-0.1489933754306776	102586.80506982324	0.0221990259222268	326.6776892404435	268.68948334069097	1.292963	17.964544	0.0588722383	0.030709	-0.057705094	0.0602439778	0.0882082697	0.0193110956	0.1180423669	-0.0334786126	0.0349916647	0.0447481587	-0.1168967467	-0.1066997528	-0.0608533753	-0.0104921805	-0.0529164102	-0.0622408069	0.0120150026	0.0027241193	-0.0585799182	0.0828044171	0.0071048767	-0.1336065395	-0.1034201334	-0.0367444776	0.1198030901	-0.0972798894	-0.0010245822	-0.007203487	-0.0059795466	-0.0006246745	0.0735573919	0.1100843038	-0.0726911761	-0.0449154802	0.011049305	-0.0746139496	-0.0121349218	0.0073805968	0.0267778361	0.0388571562	0.0505996323	-0.1171327401	0.0264124941	0.0257030618	-0.0305787951	0.0375372527	-0.0641197886	0.0811431867	-0.0819913137	0.0202536492	0.0498777642	0.026462655	-0.1506979125	-0.0553314207	-0.1913415719	-0.0657704352	0.0157011896	-0.126130539	-0.0559968547	-0.1140850791	0.0251169736	0.0405591947	-0.0037831965	0.0651432529	-0.0330672024	0.0533928965	-0.0817168448	0.053017555	-0.015747487	0.0312555892	-0.1601662236	0.0659167418	0.0289342944	-0.0707368776	-0.0197917749	-0.0313713762	-0.0154771138	-0.065379417	0.0568763622	-0.0502183326	0.0627406858	0.0353241166	-0.0267438241	0.0791799993	0.1327798686	0.0641787705	0.0146194433	0.1237736418	-0.0416515382	-0.0435557447	0.0657109165	-0.0144571686	0.0057608794	-0.0983525887	0.0984169168	-0.0357401279	0.0340791623	0.0646219908	-0.0107990158	0.0641392816	0.1948200028	-0.0452057499	0.0384330689	0.0049036026	-0.0512571535	-0.0560928538	-0.115964957	-0.0740515104	0.033880692	0.0978292895	0.0319412617	-0.0028614693	-0.0046281646	-0.0838211653	0.0563836744	0.0951977854	-0.1330936091	-0.013549582	-0.0873494776	-0.0432586807	-0.0968807836	-0.0436181048	0.1163652615	0.0322179011	-0.0569198729	0.0037443076	0.0315750076	-0.0459170222	0.0536172005	0.0206259136	-0.0585005463	0.0697128107	0.0639278949	-0.0915149401	-0.0087290073	-0.0771040441	0.0122442084	-0.1147225123	0.0836789148	-0.0933223554	0.0399218269	-0.0051794947	0.0190029641	0.0581258814	0.0209800913	-0.0479394901	-0.0777416034	-0.0893518706	0.0042910956	-0.1213250639	0.0324374943	-0.0782141378	-0.0665089183	0.0699040683	0.0829874954	0.0380960693	0.0083379986	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0215468	-0.0072486	0.00046426459024	5.254220196000001e-05	2.58888e-05	-2.118300000000003e-06	4.487194890000013e-12	6.702299654399998e-10	-0.00261018	0.0013266299999999	1.759947156899999e-06	6.813039632400001e-06	-0.000456658	-0.0003650087999999	2.08536528964e-07	1.3323142407743997e-07	0.0007897149999999	-0.0002291250000001	6.23649781224842e-07	5.249826562504584e-08	0.0	0.000411764	1.6954959169600004e-07	0.0
