global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
524.2121894480955	n/a	274798.41956596595	n/a	715.0411764704933	n/a	511283.8840483071	n/a	551.0073806467162	n/a	n/a	303609.1335271552	561.3104935582766	487.0380550501813	n/a	n/a	n/a	n/a	-0.0054660151	-0.057794856	-0.102568165	0.0766001619	-0.2027840727	-0.0035438342	0.1630476924	-0.1172591546	0.2075186468	-0.156938888	0.006858005	-0.0030492106	0.0508009818	-0.0248490538	0.1532350838	0.1546359129	-0.0923731475	-0.0220800832	-0.0377306815	0.0414317488	-0.1437851862	0.0037753881	-0.0223196839	0.0107201507	0.100493128	-0.1081071362	0.0144545643	-0.1336789041	0.0585065134	-0.0436041664	0.0698340369	-0.0330019506	0.0143510001	-0.0435249704	0.0417181865	-0.0504704765	0.0502280182	-0.0050365018	0.0712851951	-0.0107806453	0.1112961295	-0.0059737825	0.0308863618	-0.104399813	0.0041870429	-0.1480970941	0.0691592437	-0.0323638615	0.0262762577	-0.0530827099	0.0888199862	0.0371594479	-0.0075923044	-0.0668380831	0.0016922906	0.0699277999	-0.00960423	-0.0860821022	0.0308021714	0.0378139852	-0.132362583	0.0759772314	0.0319803676	-0.1265561423	-0.008485742	0.159362204	0.0179026485	0.0274151823	0.087072951	-0.0590313174	-0.0148811763	0.0764292146	0.0254826596	-0.0173028879	-0.0208282104	0.003338596	-0.1229436472	0.0530964084	-0.1342428734	0.0010174521	-0.0579277182	0.067804157	0.0112540294	-0.0538242982	0.1680751737	-0.0238151569	0.1020370196	-0.0310823214	0.0042856402	-0.0960647802	0.0873583614	-0.019688275	0.0157477627	-0.0965991557	0.0756404211	-7.7484e-06	0.0333081483	-0.1717280933	0.0769224459	-0.0287440204	0.024850629	-0.0218696767	0.0528683485	-0.1037788295	0.0442279074	-0.0111702407	0.0431034683	0.0468708733	-0.1936958769	0.0952493337	0.0413749277	-0.0926011629	0.0631303681	0.0693691274	-0.0176062126	-0.063167279	0.0077153402	0.1076442691	-0.0278620412	-0.0359304155	0.1705166546	0.1806553697	-0.008976465	-0.019653985	0.0106416585	0.0547152037	-0.0750884796	-0.0298936043	-0.0078898976	0.0375241585	0.0472900258	-0.1134059741	0.0384324507	-0.092323198	0.0064647337	-0.007888739	0.0904931217	-0.0353942215	0.031479735	-0.0538295117	0.1233930992	0.2298130862	-0.0173918862	0.1017490032	-0.0155354284	0.1206985387	-0.0622869296	0.0046069615	-0.0947037931	0.0177437373	-0.1782893967	0.0980779911	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0604003	n/a	n/a	0.0036481962400899	-0.035231	n/a	n/a	0.001241223361	-0.0543935	n/a	0.0029586528422499	n/a	-0.000812084	n/a	6.59480423056e-07	n/a	2.11758e-22	n/a	4.4841450563999997e-44	n/a	-0.00126511	n/a	1.6005033121000002e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523.6784504126801	-0.5337390354153513	274239.1194266259	0.2848773579261096	711.939635224748	-3.1015412457452385	506858.0442039473	9.619558099058926	551.6076514846616	0.6002708379453452	0.3603250788876068	304271.00117642386	561.8952700651836	490.5146984707696	0.959749	16.466648	0.0695023	0.0309383	0.006498882	-0.1081137229	-0.0209719528	0.0765083984	-0.1516061605	-0.0035834217	0.0011741916	0.0124577889	0.1176605773	-0.077438334	0.0679212046	0.0255973598	0.0561462623	-0.0550972907	0.000641581	0.0186554932	-0.0475330483	0.0297490437	-0.0522784347	0.0026968402	-0.0857489495	0.0501335179	0.0580398865	0.0435977397	0.1637277453	-0.1619797665	-0.0028593048	0.0106860066	0.1039582452	-0.043492403	-0.0046410632	-0.1588556882	0.0524260354	-0.009005917	-0.0965926374	-0.062042564	0.0937072875	0.1120404703	-0.0507228239	0.016606437	0.044686657	-0.1226165614	-0.0123815292	-0.002441122	-0.0901394078	0.0537539854	-0.0248695136	0.06962808	0.1152120005	-0.1233066673	-0.0022998807	0.0559889862	-0.049945662	-0.1184341696	0.0429860087	0.018128032	-0.1398470173	0.0784984244	-0.0134216884	-0.0075307039	-0.1212253887	-0.0980276201	-0.1075499558	0.0768783664	-0.0936426207	0.0024719477	0.2019443143	-0.0396658679	0.0177592341	0.0236144724	-0.0291693015	0.0366889949	0.0176282239	-0.0479357673	0.013304651	-0.063457453	-0.0336217338	-0.0145702724	-0.1539506454	0.0141383918	-0.1252130472	0.0960906557	-0.08321244	-0.0512074245	0.1330845556	-0.1311861135	-0.0251720236	-0.0760817763	-0.0057170774	-0.0352842643	-0.0650023999	0.0697357471	0.0623230206	-0.0164629413	-0.0773400388	-0.0496888864	0.0843551981	-0.1928981286	0.0484410845	-0.0047720381	0.1365447429	-0.0961671274	0.1383642428	0.0924147482	0.1738356209	-0.0928608055	-0.0402158491	0.0707515323	-0.0137390188	0.0120123937	-0.026831548	-0.0395644682	0.0112232638	0.0741254679	0.0107657878	0.0364388582	0.0473088688	-0.0770189708	0.0898343517	0.0040508069	0.0046506117	0.0236333614	-0.0371450475	-0.0666096594	0.0026061607	-0.0292570572	-0.0438510856	-0.0738029159	-0.0024513062	0.05442672	-0.0182407521	-0.1153006869	0.0085399341	-0.0935440106	-0.0066226543	-0.0061290184	0.0349521315	0.1101205304	-0.0362108703	-0.0269943463	0.1330898445	0.1982525484	0.034351388	0.0786020644	-0.0846763822	0.0401416934	-0.0241590946	-0.0047191652	-0.0443290888	-0.0734646168	-0.0577391213	-0.0948166129	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0554925	0.0049077999999999	2.408650083999997e-05	0.00307941755625	-0.0231356	0.0120954	0.00014629870116	0.00053525598736	-0.033469	0.0209245	0.001120173961	0.0004378347002499	-0.000564115	0.000247969	3.18225733225e-07	6.1488624961e-08	-0.000133313	-0.000133313	1.7772355969e-08	1.7772355969e-08	-0.0010149	0.00025021	1.03002201e-06	6.260504410000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.6298027959747	-1.048647616705466	273141.9107705594	1.099661824022054	709.1857106628352	-2.753924561912868	502944.37220835057	7.584100492706981	551.292871269882	-0.3147802147796028	0.0990865836166928	303923.8299129907	561.1513370638236	490.9434773560042	1.031978	17.705898	0.05733109	0.0378496	0.0039212177	-0.1158208738	0.0877501837	0.005571373	-0.1033436994	-0.0696984016	0.0808845307	0.1243814916	0.0198212248	0.0087500425	-0.0256519315	-0.0018644087	-0.0152029353	-0.0594664093	-0.0216203193	0.0389424656	-0.0239489094	0.0068096665	-0.0682169016	-0.0367035339	-0.0214415084	0.1800983887	0.0233490189	0.0043184233	-0.0160290479	0.0092118113	0.0438259638	0.0171553216	-0.0402870706	0.1394483763	-0.0459317697	-0.0332347096	-0.1073044798	0.0847576353	0.0768847957	-0.0805219918	0.0077435447	0.0151641699	0.1067834396	0.0489999183	0.1065647804	-0.0624644553	0.0014424199	0.0505745593	-0.0809803799	0.1672552363	0.0369573244	-0.0302882958	-0.0410560809	-0.1391994654	0.144522196	0.0231593106	-0.0414482729	0.0118606063	-0.0717915422	-0.0351408387	-0.0586058968	0.0014424519	-0.209270983	0.0649922585	-0.0009026018	0.053946461	0.0326269419	0.0192982119	0.0404957495	-0.043543547	-0.1232074529	0.0659835257	0.0405216176	0.0816896742	0.1964662437	-0.0108374867	0.0877359121	-0.0254973901	-0.1003646331	-0.0775373456	-0.0377969251	-0.1212019708	0.0082980687	-0.0232071227	-0.0359810278	-0.0109849152	-0.0016901039	-0.0718457538	0.0667023531	-0.045260847	-0.0933402071	-0.0260518463	-0.0149679895	0.0677816761	0.008614905	-0.0129967522	-0.0547206695	-0.0885360988	0.0402278572	0.0855960819	-0.0179363685	0.0387132291	-0.1114973371	-0.1711250016	0.1247713275	-0.0323169211	0.0772620195	0.1817386186	-0.0640121607	-0.1194291314	-0.0096405167	-0.0687427335	-0.0019120752	-0.0393901653	0.099498106	-0.0359562274	-0.0417293507	0.0105287524	0.0814012146	-0.0944545149	0.1995579114	0.0800732095	-0.008319275	-0.0123104252	-0.0239730981	-0.0149934488	-0.035094129	-0.0637418263	-0.2089744127	0.0153552392	-0.0271358928	-0.01300714	0.0106813654	0.0542561317	0.0068126863	-0.1057577672	0.0265984838	-0.0089943062	-0.0586280888	0.0492923888	-0.1135848679	0.0541770629	0.0454592844	-0.0457066294	0.0263257824	0.1561191647	0.0114926514	0.0297814085	-0.1708458144	0.003539827	-0.0069541418	0.0325127138	0.0188088871	0.074813947	-0.0957981004	-0.1619162174	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.04794	0.0075524999999999	5.704025624999995e-05	0.0022982436	0.0125231	0.0356587	0.00127154288569	0.00015682803361	-0.0237969	0.0096721	0.00056629244961	9.354951841e-05	-0.000547076	1.703900000000005e-05	2.99292149776e-07	2.903275210000017e-10	-6.13962e-05	7.191680000000001e-05	3.769493374439999e-09	5.1720261222400014e-09	-0.0010149	0.0	1.03002201e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.297153479765	-0.332649316209654	272794.3165330652	0.1106555675747503	706.6696175848278	-2.516093078007316	499381.94841748686	6.330724377196328	551.4384129085132	0.1455416386312436	0.0211823685754674	304084.32323105994	560.9484232982489	487.0397968736826	1.176234	20.180935	0.0370823399999999	0.0244898	0.0149931414	-0.0627360721	-0.0772054952	0.0333579182	-0.042210247	-0.0689459907	0.0625245304	-0.0117217175	-0.0106235082	-0.0199247159	-0.060101121	0.0863586805	0.0001814799	-0.0793410406	0.0524917091	-0.0946232745	-0.0183123565	-0.0083443722	-0.059908298	0.0275257027	-0.0231997424	0.0055664038	-0.0006301722	0.1002808304	-0.0381550636	-0.0647403423	-0.0887439124	-0.1475844889	0.0337271964	0.0753469474	-0.0086245463	-0.0277832886	-0.0363819505	0.0377412562	0.1673091397	0.0834377858	-0.0373124226	-0.0451094075	-0.0101195796	0.0256159344	0.0948935423	-0.0088521717	-0.0314670429	0.0613327441	-0.0677087411	0.0499192159	0.0325985419	-0.1052859821	0.0507361071	-0.0832739976	-0.0055772421	0.1142527578	-0.1051641634	0.0167389364	0.0144707785	-0.0513909085	-0.0793233591	-0.0194654842	0.2174107479	0.0517769806	0.0088299045	0.1274143434	0.1247924319	0.1264695119	0.0951766659	-0.0202101033	0.0354439424	-0.0674528473	0.0114855152	-0.005491057	0.0192091224	0.0074864983	0.0027473339	-0.0049277123	-0.063262683	-0.0593681095	-0.0798476577	0.0592865727	0.0195443231	-0.0260579934	-0.0764050492	0.0801031821	0.0285333429	-0.0482187594	0.1056506258	-0.0119661222	0.0080576603	-0.0372029114	-0.019909876	0.021830607	0.0219339323	-0.0983253607	-0.1159815794	0.0561531571	-0.0068354075	0.0265953947	-0.041507944	0.0316936294	-0.0732751434	-0.070674374	-0.086387795	0.0807992468	0.0762581123	0.0777856935	-0.0516642877	-0.0281470992	0.164567392	0.1064177286	0.1189205592	0.0107710237	0.0085975892	0.0306139737	0.159352711	-0.0983468751	-0.0841107277	0.008866528	-0.0367132425	0.042577136	-0.0497908655	0.0362870737	-0.0209217788	0.076788662	-0.0563810793	-0.0797330455	-0.0117288861	-0.0540527562	-0.0007419565	-0.0342050806	0.0050305293	0.0587015676	-0.0146361761	-0.0849496395	0.0438823282	-0.0578697006	0.0093656652	0.0254680731	0.0115207683	-0.0392475093	0.1133911701	0.0438800995	0.0987858852	0.1443635698	0.0497831347	0.0551188489	-0.0494440943	0.0612148129	0.0566578133	-0.0102090065	-0.0241291228	0.0501650054	0.0243084012	-0.1323211473	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0497665	-0.0018264999999999	3.336102249999981e-06	0.00247670452225	-0.0110647	-0.0235878	0.00055638430884	0.00012242758609	-0.0204829	0.003314	0.0004195491924099	1.0982596000000006e-05	-0.000487994	5.908199999999996e-05	2.3813814403600002e-07	3.490682723999995e-09	-0.000169395	-0.0001079988	2.8694666025e-08	1.1663740801440002e-08	-0.0010149	0.0	1.03002201e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.2398926525316	-0.0572608272334491	272734.5054777277	0.0032788023354589	706.4542024017043	-0.2154151831235822	499077.54009102815	0.0464037011201664	551.4870225779164	0.048609669403163	0.0023628999594848	304137.93607185525	561.369232535052	486.041877159401	0.8269269999999999	14.187793	0.01483125	0.00899812	0.0110809427	-0.0403736129	-0.0511790709	0.0712302467	-0.040200728	-0.0372945867	0.015850522	-0.0306183501	-0.0314576322	0.0111882385	-0.0385288941	0.1078615789	0.114764115	-0.0291838939	-0.0030178941	0.0280940878	0.030048368	0.0243039763	-0.0219040619	0.047388665	-0.1058261349	-0.0316772664	-0.0024014229	0.0864995179	0.0484552875	-0.0288047187	-0.0473431834	0.0747710526	-0.0747557878	-0.0424157318	-0.0193806535	-0.1400765532	-0.0513930723	0.0322672584	-0.0875489574	0.0454666661	0.075301618	0.1277097779	-0.0908472767	-0.0294861591	-0.0963582447	-0.0234598775	-0.0885068781	-0.0681562381	-0.0123139498	-0.0233051128	0.0728095578	0.0607058315	0.0466557318	0.0066709399	-0.0596533306	0.1245956899	-0.0697243583	-0.0001508224	-0.0231313234	-0.1275463828	-0.0071379313	-0.0448760034	0.0445263601	0.0470704443	0.223695824	0.0241580097	-0.0323090952	0.09303782	-0.0466057087	0.0592147717	-0.0628360416	0.1465340148	-0.0197559265	-0.1400422433	-0.0031589889	-0.0140434449	0.0501088413	-0.0290624208	-0.0091327662	-0.0215483854	-0.0724228779	0.0595537172	-0.0663007411	-0.0135750641	-0.0713346983	0.0366380774	-0.0327603488	-0.0204735726	0.0070580896	-0.037205899	-0.0123560085	0.0320771033	-0.0151842723	0.0322584746	-0.1164528992	-0.0698217458	0.0612896326	0.0818754897	0.0656031642	-0.0409192738	0.0855906087	-0.0535871363	-0.0755901459	0.0441254188	0.1323597491	-0.0220156747	-0.1020872076	0.0907583175	0.1068309266	-0.0681093452	0.0475830019	0.0619625307	0.0030746724	-0.0470572721	-0.0159940449	0.0655096601	-0.0272843626	-0.1553602062	-0.03005024	0.0927508779	-0.0477762284	-0.0863731507	0.0632602852	0.0272930647	0.029954034	0.0565524057	-0.1020885807	-0.115840674	0.087419228	-0.1424241526	0.1091204302	-0.0190159807	-0.0011131189	0.0523927903	0.0099770138	-0.0544535227	0.0305077753	-0.0604344772	0.0244489612	0.0153365849	0.1091413705	0.0344947238	0.0111575822	0.0361717299	0.1530906649	0.0917746977	0.0127689937	0.0832246154	-0.0719676129	-0.0204397402	-0.0330574213	0.0538119752	-0.0422179935	0.060071126	-0.0204747779	-0.0103285584	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0420489	0.0077175999999999	5.956134975999997e-05	0.00176810999121	-0.0118268	-0.0007620999999999	5.807964099999999e-07	0.00013987319824	-0.0237825	-0.0032996	0.00056560730625	1.0887360160000022e-05	-0.00043503	5.296400000000002e-05	1.892511009e-07	2.805185296000002e-09	-0.00017747	-8.074999999999993e-06	3.14956009e-08	6.520562499999989e-11	-0.0010149	0.0	1.03002201e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.5270782943878	-0.7128143581437598	271990.4933942805	0.5081043091759003	706.8232512560404	0.3690488543361425	499599.1085161597	0.1361970568868193	550.9395614262847	-0.5474611516316372	0.2997137125458385	303534.400344587	560.8749550330606	484.7334048300349	0.9804	16.820967	0.0609907	0.036185	0.0038384993	-0.0495412408	0.0631893192	0.048770807	-0.0412534768	0.0011768488	-0.024803203	0.0734761057	-4.37813e-05	0.0705889752	0.0825124206	0.0689059916	0.0155815784	0.0145077897	0.0733118984	-0.024279278	-0.0083863581	-0.0230043241	-0.1012433316	0.0138671789	-0.0011846279	0.0442453385	-0.0239950688	-0.0854472698	0.0849475267	0.0391754414	-0.0342456463	-0.0446690186	0.1103993535	0.0991161669	-0.0274125641	0.0901069876	0.0371059038	-0.0472953926	-0.0404092953	0.0175628918	0.1283330757	-0.119275268	-0.1869016578	-0.0847811089	0.0082950197	0.1332229486	-0.0573175716	0.0298250274	-0.0371902582	-0.0759488115	0.039082198	0.0564948882	-0.0606739022	-0.0937716727	0.1846456822	-0.0128394293	0.1607119011	0.1144914053	-0.0179489809	-0.0634694948	0.0264873328	0.0243248823	-0.059157016	0.0066324385	0.0563061061	-0.0339614141	-0.0389445377	-0.0430817514	0.0108377019	0.0021801807	-0.0632910075	0.0249034284	0.0009610203	0.07510726	-0.1202285573	0.0433280217	0.0667103609	0.0105260746	-0.0125595641	-0.0851283834	0.0389363196	-0.0095376567	-0.113083327	0.024553218	0.0573298946	0.0225500135	0.0019684386	-0.0785130366	0.0161385391	-0.0449539497	-0.0592521218	-0.0365868282	-0.0418114821	-0.0247343146	-0.1041124598	-0.0603294026	-0.033031472	-0.0387710948	-0.0631749461	-0.1086205208	0.0100795057	0.0088408109	0.0158349159	0.135194274	-0.0410517264	-0.0604030169	-0.0174982478	-0.0218038861	-0.1454577298	0.0246687953	-0.0445229253	0.0445849818	-0.1840543022	0.0175780834	0.1036515607	0.0647348386	0.0193203647	-0.0419179598	0.1317520807	0.1126935379	0.0487422911	0.0650857149	-0.019332904	0.0477366516	0.0079506489	0.0338054171	0.0481477218	0.0922397499	-0.0859329454	0.0180008826	0.0417271396	0.080129727	0.0105208324	0.0604279171	0.0021259093	-0.0580989979	0.0364004872	0.0475678913	-0.0366201249	-0.0119674926	-0.0390617884	0.0860831937	-0.0126335781	0.0178594694	-0.0164187078	0.0799976013	0.0826443659	0.0628057674	-0.0947086086	0.0519686012	0.0327241585	-0.0786037607	-0.0410016304	0.0109489798	-0.0495869931	-0.1020440289	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0445159	-0.0024669999999999	6.086088999999985e-06	0.0019816653528099	0.0212557	0.0330825	0.00109445180625	0.00045180478249	-0.0216698	0.0021127	0.00046958023204	4.463501290000008e-06	-0.000688827	-0.000253797	4.7448263592900003e-07	6.441291720900003e-08	-0.000249561	-7.209099999999998e-05	6.228069272099998e-08	5.1971122809999975e-09	-0.0008742179999999	0.0001406820000001	7.642571115238252e-07	1.979142512402814e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.7879028991835	0.2608246047956299	272262.6156119277	0.0680294744667965	703.3649081105325	-3.4583431455079108	494722.19396133785	11.960137312081551	551.0533597792121	0.1137983529273469	0.012950065128977	303659.80532395776	560.4943692260059	483.77786948761815	0.950415	16.306492	0.0641724	0.02906	0.0091707647	-0.0057092664	0.0202871795	0.0010237166	0.0345013271	-0.0400683795	0.0852677861	-0.0057309863	0.0156096679	-0.0213964165	-0.0535659159	0.0701171885	-0.0371959906	0.0241484116	-0.1001627931	-0.1097644935	0.0790347098	-0.0321058275	-0.087120144	0.0279567492	-0.0558093415	0.0809135427	-0.0024264492	0.0686250729	-0.0689929858	0.0299877798	0.0292932763	-0.0256814923	0.0050849285	0.0161979299	0.1072329406	-0.0174456466	-0.0067102757	-0.0301098199	-0.0930676201	0.1771259013	-0.0648136645	-0.133369202	-0.084133059	-0.0447781727	0.0055650499	0.0406408523	0.1297903591	-0.12532154	-0.0223686158	-0.0025615394	0.0327710899	-0.1114845614	-0.0899469691	0.0798116264	-0.019023392	-0.0747452084	0.0062934943	0.0209964718	-0.0021282402	-0.0891120582	0.0032296722	-0.0098401692	-0.0568958738	0.0392915057	-0.0159271316	0.1382019405	-0.0068794684	0.0947468319	-0.0363140945	-0.0459061948	-0.1018674564	0.0741259406	-0.0023150631	0.0173016657	-0.0938957881	-0.1382612505	0.0125756953	0.0199577561	-0.1048908634	-0.0613310503	-0.0623860498	0.0126501699	0.0344148584	-0.0974128522	-0.0577120437	-0.0050291809	-0.0088163071	0.0236025419	0.0164005207	0.0626787126	0.0033830006	-0.0284474865	0.01626376	-0.1520698254	-0.0770376578	-0.1021051041	-0.0113270353	0.0148317038	-0.0424421364	0.0352478446	-0.0185864564	0.0164998338	0.1087332038	0.0259325744	-0.0717131969	-0.0782021657	-0.1478949964	0.1404324949	-0.0938746606	0.0230668252	0.070349995	0.0111992963	-0.0280213944	-0.0771553676	0.0314176176	-0.0245036521	0.0222564687	-0.0097468534	-0.0512826991	-0.0546626043	-0.025999129	0.1148412638	0.0383484978	-0.0903284505	-0.0395868358	-0.0172523498	-0.0838000103	0.0863815189	0.096625888	0.0235396022	0.0750927771	0.0214107331	0.0056729951	0.0500642856	0.0013531847	-0.0351119949	0.0594683027	-0.0562530504	0.0392915101	0.0018428819	-0.0701319333	-0.0003491866	0.0652428708	-0.0032648412	0.0598971552	0.1064022203	0.017919166	-0.0523198522	-0.0581740656	-0.0413595978	0.0569480842	-0.1301789821	-0.0050874704	0.0029645016	-0.0425913877	-0.1012667874	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0500281	-0.0055122	3.038434884000002e-05	0.00250281078961	0.0073491	-0.0139065999999999	0.0001933935235599	5.400927081e-05	-0.00978215	0.01188765	9.56904586225e-05	0.0001413162225225	-0.000255891	0.000432936	6.5480203881e-08	1.8743358009600006e-07	-0.000438839	-0.000189278	1.92579667921e-07	3.582616128400001e-08	-0.0008391129999999	3.510500000000001e-05	7.041106267688322e-07	1.2323610250000006e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
