global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
527.7802715553678	n/a	278552.0150430578	n/a	713.9612384799069	n/a	509740.6500517625	n/a	553.7123689378033	n/a	n/a	306597.387514714	562.5729426610928	484.83836328442425	n/a	n/a	n/a	n/a	-0.0023689193	0.1861600943	0.0122014577	0.0561257146	-0.2508442698	-0.1278131444	0.0628785441	-0.3175685006	0.2361870415	-0.0448646313	0.1504473357	-0.2906079143	0.2728463242	-0.0877982236	0.0039279638	-0.0321946693	-0.2158171614	0.0339343112	-0.0031850052	0.2107990659	-0.0671470378	0.0080008665	-0.0419428478	0.0702123409	-0.1576089677	0.1430558272	-0.0512894696	0.1050000032	-0.0062483742	0.0327897294	-0.0147832725	0.0643838172	-0.0375921344	0.0280357597	-0.1553496027	0.0018811189	-0.0625481407	0.02601275	-0.0771108987	0.0251670291	-0.0710652857	0.01553493	-0.0474534043	0.0146218654	0.1180114858	-0.0386167523	0.0257220693	-0.0970057168	0.0679854285	-0.0125633438	-0.0369018938	0.05639136	-0.0420962107	-0.086667948	0.011923225	0.026467947	-0.0877780067	-0.0126027542	-0.0202895518	0.0973746629	0.0768722536	-0.0446232528	0.03539735	0.0375810979	0.1024265675	-0.0140395081	-0.1194302639	0.0709997775	0.039313745	0.1262593545	-0.0306978451	-0.0172513294	0.2068074529	0.0284247385	-0.0639124513	0.0154647817	-0.132170169	0.2237830117	0.1149303493	-0.1303061504	0.076650489	-0.1550893896	0.1049001719	-0.0824747025	0.0576520137	-0.0515360121	0.1250508912	-0.1130369102	-0.0240395324	0.0068061776	-0.060339855	0.0245895764	-0.1513810398	0.081654033	-0.0083874404	0.150237758	-0.0462344334	0.0393096082	-0.0492857373	0.057626693	-0.0416287795	0.0594569512	-0.0629927985	0.0685447073	-0.0139335697	-0.1037776179	0.104176822	-0.021751558	-0.0293939171	0.069711715	0.0165676591	-0.0684028162	-0.0295033425	0.1023987315	-0.0103480262	-0.026265343	-0.007340557	0.1165519125	0.0321209078	-0.0846982069	0.0063315918	0.0338241862	-0.0231191565	-0.0573381705	-0.0119404454	0.1128972927	-0.0049267996	-0.0148214582	0.0359435091	-0.0748226986	0.1364182007	-0.1840224999	0.0898561123	-0.1508952984	0.1307516774	-0.216365267	0.1110883539	-0.0307158711	0.0035097524	0.0740139746	-0.1595309934	0.0902279026	-0.1033310783	0.0875191713	-0.0793316495	0.0780279277	-0.1121292345	0.008467338	-0.0590301709	0.0514756669	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0152297	n/a	n/a	0.00023194376209	0.000254933	n/a	n/a	6.499083448899999e-08	-0.0435934	n/a	0.0019003845235599	n/a	-0.00156002	n/a	2.4336624004000004e-06	n/a	-0.00138449	n/a	1.9168125601e-06	n/a	-0.00020987	n/a	4.40454169e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
528.028930834611	0.2486592792431565	278814.5517983424	0.0618314371537261	711.4474607558388	-2.5137777240680634	506157.4894159309	6.3190784460208125	555.3030428983624	1.5906739605591156	2.530243648800823	308361.4694521805	563.5169901857679	505.7590437056552	1.355566	22.467329	0.069017267	0.0335053	-0.176366598	0.1284493393	-0.1061893088	-0.0330846673	-0.2347710276	0.0089810877	-0.0024111498	-0.0064699994	0.120254223	-0.0329496255	0.1395702326	-0.0061125046	0.1004332776	-0.0639986273	0.0439667368	0.1492488088	-0.2012105262	-0.0322735583	-0.0595570419	0.0774454374	0.0502972261	-0.1254388092	0.0551883915	0.0284044897	-0.0418735601	0.0829512687	-0.0437717284	0.0113750528	0.0187832818	0.0008151513	0.0450790363	-0.0137250649	-0.0538468447	-0.2363391382	0.00269491	0.0237257481	-0.0382258314	0.0004632682	-0.1328025791	0.0717548232	-0.0327803517	0.0036753763	-0.0206237136	0.0040646309	-0.0482127614	0.0659353998	0.0636897215	0.0473988707	-0.0813754242	-0.0187524517	-0.0912479298	0.0161625008	-0.0996375519	0.0686815686	0.111261905	-0.0147621474	-0.0442112272	-0.001504315	-0.0534388293	0.0808778137	0.098862214	0.0218606486	-0.067301506	-0.0977294961	0.0401659159	0.0186570837	0.1030596665	0.0530322364	0.0153209781	-0.054021341	0.1320186014	0.1423837419	0.1534941262	-0.0162269139	-0.0523534224	-0.1447201054	-0.0511885543	0.0656426105	0.1061287329	0.0938614094	-0.014666213	-0.0756935256	0.1007661347	0.0543657064	0.1131032386	0.0010144842	0.1086994451	0.0016947695	0.0576505795	0.0100888862	-0.0338650621	0.0749394317	-0.0179718303	0.0015169487	0.1426144365	0.063104108	0.0328803191	0.1249574655	-0.0637683285	0.0664852692	0.0551682826	0.0072260435	-0.1662052709	0.0956375303	0.0595185637	-0.0484512273	0.0148204931	0.0597200515	0.0213399476	-0.0540990658	0.0781309737	3.42391e-05	-0.0326366409	-0.1733762649	-0.0113054494	0.0076460404	0.0904767332	-0.0464405333	0.0343538695	-0.118906638	-0.1043147592	-0.0144660038	-0.1348256632	-0.0261905261	-0.0568367982	-0.0417032825	0.0025029508	-0.0748217646	0.1960634997	-0.0572641435	0.0681465886	-0.2149847259	0.050437632	-0.0181163312	0.0399887261	-0.2077353869	0.0348019293	-0.0142409321	0.0046904466	0.0163831817	-0.2004737809	0.0571944479	-0.1252109855	0.1167081375	0.0269436531	0.107209053	-0.0719590421	-0.0473830338	-0.1410734134	-0.0761877502	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0145808	0.0006489	4.210712100000011e-07	0.0002125997286399	0.0251992	0.024944267	0.0006222164561672	0.00063499968064	-0.061041	-0.0174476	0.0037260036809999	0.00030441874576	-0.00175446	-0.0001944399999999	3.0781298916e-06	3.7806913599999975e-08	-0.00149971	-0.00011522	2.2491300841e-06	1.3275648400000018e-08	0.0	0.00020987	0.0	4.40454169e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
527.289047351908	-0.7398834827029077	278033.7394572827	0.547427567976584	711.1382840086839	-0.3091767471549929	505717.6589828155	0.0955902609813423	555.7449636344068	0.4419207360443806	0.1952939369460071	308852.4646050081	564.5035831347172	513.6865423738009	1.280699	21.226473	0.09450125	0.0454688	-0.2146805244	-0.0719801328	-0.0469644459	0.0228258236	-0.1544799403	0.1535312671	0.1100643658	-0.0135249602	0.0395204897	-0.004549501	-0.0404741205	0.0835167309	-0.0237926961	-0.0709001217	-0.0875273058	0.2031683217	0.0124747124	-0.023802454	0.1240741157	0.1627855081	-0.0254244969	0.0641485852	0.0600465345	0.0154051866	0.0646373125	0.0674977166	-0.092332399	-0.0689080502	-0.0687856391	-0.1370955845	-0.0468350112	-0.0469607895	-0.0861258396	-0.0124972562	0.0121972432	-0.0143732825	0.1320753929	-0.0793030332	0.0610519835	0.1055082338	-0.0732911315	-0.0087285467	0.0094020232	0.0047718561	-0.024406695	-0.1496705551	-0.1541010626	0.0423306815	-0.0080070303	0.004163313	0.0028930263	0.1352256754	-0.0217117331	0.0612758384	0.0462218399	-0.0933697078	0.1168017995	-0.0724901152	0.065183288	-0.0249298109	-0.1158917622	0.0756012192	-0.0175404953	-0.0121945804	0.0569696861	-0.0343548296	-0.1339071205	-0.0621086975	0.063233157	-0.0962551557	-0.0085426653	0.20671131	0.0216469563	-0.1122910774	-0.0268414879	0.0828296726	-0.0414997973	0.0760747276	-0.003999153	0.1002002771	0.0278686695	0.0708110231	0.0884013696	0.0070490658	0.0662014482	-0.0278585964	0.0016810712	0.1174206748	0.0606800064	-0.0879130862	-0.0663122252	-0.0003954316	0.073234734	0.0201448572	-0.0441738861	-0.0108116226	0.0435440035	-0.0499098758	-0.0659764444	0.1139870387	0.0443825348	-0.1094820708	0.1002351708	-0.1341105817	-0.0984640913	-0.0439533197	0.1732588613	0.0880614593	-0.0276648042	-0.0992306852	0.041435606	0.1472265534	-0.0957779834	0.0593959179	0.0322821693	0.0076514205	0.0697195807	-0.0736940261	-0.0916397907	0.0932521238	-0.1147938496	-0.0386355618	-0.0802214662	-0.0160925547	-0.0734156834	0.0201619549	0.0280486519	-0.1270366001	0.1238088412	-0.0789529634	-0.1321800851	-0.1067435087	0.019486024	-0.0364083698	0.0005139115	-0.2218618025	-0.0612121727	-0.0408714064	0.0400159021	0.0123434194	-0.1344567873	0.1261808521	-0.0047106231	-0.0089091217	0.0673309496	0.1412218774	-0.0397004249	-0.1184066046	0.0099466022	0.0442096665	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0115983	0.0029824999999999	8.895306249999995e-06	0.00013452056289	0.0201509	-0.0050483	2.548533289000002e-05	0.0004060587708099	-0.0388202	0.0222208	0.00150700792804	0.0004937639526399	-0.00105955	0.00069491	1.1226462025e-06	4.828999080999999e-07	-0.00170031	-0.0002006	2.8910540961e-06	4.024036e-08	-0.000389483	-0.000389483	1.51697007289e-07	1.51697007289e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
525.1008894540436	-2.188157897864471	275730.9441054277	4.788034985986661	709.9454039286023	-1.1928800800815225	504022.4765593463	1.4229628854552994	555.0522140247143	-0.6927496096924415	0.47990202172903	308082.96029373724	564.1732406980663	511.0736698917769	1.220112	20.222303	0.0902408699999999	0.0465182	-0.1237992489	-0.1164702943	0.138198253	-0.0545560089	-0.0201520575	0.1638260886	0.0244227212	-0.0870502561	-0.0535294222	0.0063229558	-0.0547494539	0.070678491	0.0114776166	0.115102561	-0.0469905722	0.1436830822	0.122178168	0.0720586312	-0.0268908788	0.0561120341	0.0064044658	-0.0234772472	0.1375036525	0.0839809326	-0.0932896163	0.1088374848	0.0428612361	-0.0675303834	-0.1556242864	0.0873646374	-0.0411232742	0.0850232748	0.0507890502	0.0514703265	-0.0618411315	0.0191860221	-0.1014535552	0.0100477212	-0.0113178354	0.0932781172	0.0875149393	0.0544872683	-0.0554316174	0.1171131714	-0.0287787992	-0.0170864486	-0.0310917046	-0.0408751591	-0.0337493236	-0.0492496722	0.0929923308	-0.1434768287	0.0546747547	-0.0963950994	-0.0172272474	0.011756261	-0.0270867572	0.0360957932	-0.0004619169	-0.091697089	-0.0231805778	-0.0393643514	-0.0245060462	0.0226294912	-0.0086605501	-0.0083598336	-0.0756138474	0.04112845	-0.0139834973	-0.0766391479	-0.0506415292	0.151108939	-0.1068710037	0.0326797871	0.0063760328	0.0897079127	0.0149295159	0.0434972728	0.075699095	0.0973581113	0.0522416392	-0.0298626311	0.0967376652	-0.0832093424	0.0738742337	-0.0444277887	0.1029894992	-0.1228839801	0.0317648565	-0.0576680615	-0.1439120236	0.037155827	-0.0385794026	0.137031175	-0.0141562546	-0.0541980552	0.008480623	-0.0212130742	0.0490770241	-0.1177130844	0.0588289049	0.0746679389	0.1475916991	-0.0054882929	0.0070814489	0.0510394626	-0.026835874	-0.1159541132	0.0145581018	0.0331186558	0.0693935096	-0.0877932249	0.0091893213	0.0564074238	-0.0963483252	-0.0435986451	0.03648522	-0.002319246	-0.0526504417	0.0239649997	0.1862870021	0.1341585006	0.0476999526	0.072378895	0.121104938	-0.1057593715	0.0158581262	-0.0481446417	0.1005444404	0.0197640723	-0.161633445	-0.0750028195	-0.0544186422	0.0051464862	0.1754912883	-0.1630479461	-0.0731341944	0.0229060591	0.0265078236	0.0847382402	-0.0018192389	0.1135993837	-0.0507052281	0.0634992896	0.0884271532	0.0835233624	0.0820153552	-0.0735146282	0.1517890704	-0.0314338827	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.00767023	0.00392807	1.5429733924900004e-05	5.88324282529e-05	0.0528924	0.0327415	0.00107200582225	0.00279760597776	-0.0384615	0.0003586999999999	0.00147928698225	1.286656899999975e-07	-0.000700601	0.000358949	4.908417612010001e-07	1.28844384601e-07	-0.00138449	0.00031582	1.9168125601e-06	9.974227240000005e-08	0.0	0.000389483	0.0	1.51697007289e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
522.4588274932149	-2.642061960828641	272963.22642558493	6.980491404857686	703.3720841640607	-6.573319764541679	494732.2887812944	43.20853272691428	553.8317917498382	-1.220422274876114	1.489430529013789	306729.65355283616	562.819294110389	496.33208434496447	1.06795	17.700342	0.07725338	0.0428993	-0.0113318568	-0.10899604	0.0907612074	-0.0746864195	0.0955644264	0.0999994795	-0.0197336283	0.0122835218	-0.0956610367	0.0240246471	0.0150186462	0.0358680618	0.0510991221	0.0612069254	0.0189494662	0.068467163	0.129157045	0.1191277057	-0.0847572504	0.013771227	0.0770648116	-0.035014892	0.084960352	-0.0627477437	-0.0722895314	0.0850602502	0.0298464893	-0.1222871256	0.0315320277	0.0022717418	-0.1460500454	-0.0025809758	-0.0378541571	-0.0025208224	0.0718575994	0.0387761234	-0.0347493522	-0.0128780254	0.1298491262	0.066143578	0.1562638798	0.0559125734	-0.0901846253	0.0168472354	0.0141044247	0.1162893265	0.0058939245	0.12828087	-0.0712270992	-0.0517720228	-0.0947232394	-0.053546254	0.0515208527	-0.0790396883	-0.1132560167	0.0332103192	0.023415091	-0.0933899723	0.058294999	0.0096215021	-0.0469611707	0.0198353567	0.0536065801	0.0608899819	0.0005534187	-0.063975185	0.0318903643	-0.0344814343	-0.0454963851	-0.1008876327	0.0005162457	0.0663355544	-0.1388757173	0.0958563911	0.0689331067	0.0464323259	0.0390717418	-0.0306151696	0.0324319881	0.1281705566	-0.0528750359	-0.1065300037	0.0247853972	-0.1461507317	0.1224459446	-0.0255730812	0.0811718334	0.0009313859	0.0068671637	-0.051484375	0.0156423822	0.1333165495	0.1342831412	-0.0016489738	-0.0645552754	-0.0483263126	0.0534702995	-0.0343552165	0.1013963378	0.0192224376	0.0716031817	0.0050202281	-0.0224240696	0.0434399372	-0.0535843328	0.1538021126	-0.0405725026	-0.0285320512	-0.0649844183	-0.0773407871	-0.1175611368	-0.0007996133	0.0387676087	-0.0731962656	-0.1282885722	-0.0262415322	-0.03837362	-0.0650986435	-0.0471266017	-0.0018500039	0.091880806	-0.0467844028	0.0287190819	-0.0167149985	-0.0103094728	0.0032019968	0.0062298632	0.0257311959	0.0017765271	0.0188101425	-0.1007483795	-0.0626877683	-0.1113313899	0.1096103292	0.1116685569	-0.1281245833	-0.0149169506	0.051608482	-0.0787619048	0.0115282966	-0.0211998522	0.0365907001	-0.0102907165	-0.049932642	0.10450353	0.0800057984	0.0970526981	0.0417654073	0.0451301052	0.0586360743	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0044921	0.00317813	1.01005102969e-05	2.017896241e-05	0.0254979	-0.0273945	0.0007504586302499	0.00065014290441	-0.010191	0.0282705	0.000103856481	0.00079922117025	-0.000892936	-0.0001923349999999	7.97334700096e-07	3.6992752224999995e-08	-0.00156036	-0.00017587	2.4347233296e-06	3.0930256900000024e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.2204515186697	-1.2383759745451923	271670.759081326	1.5335750543307554	702.1499463384971	-1.22213782556355	493014.5471431544	1.493620864673202	553.0597427300102	-0.7720490198280459	0.5960596890174463	305875.079028585	561.9021146234481	485.8319493960837	0.998536	16.549868	0.04059743	0.0251024	0.0782244647	-0.0987935195	-0.0153709727	0.0122324106	0.1344637555	0.0560346906	-0.0178205799	0.0638567759	0.0101566199	0.0276870452	0.0027588529	-0.0357647097	0.064524639	0.1096294443	-0.0214540457	0.0003465328	0.0901150826	0.0923878336	0.0363685588	0.0504293425	-0.0209059467	-0.0954502005	0.0853726353	-0.0289173963	0.0166544027	0.0975864839	-0.1568674982	-0.072989019	-0.0993922769	0.0885179943	-0.129075548	-0.0198199273	-0.094693978	0.0558628087	0.005358878	-0.0625453718	0.0464764224	0.0899031763	0.0093286357	-0.1197200112	0.109076829	-0.0606249509	0.0784255735	0.1110626899	-0.0573749276	-0.0120490763	0.0484237918	0.0975630195	-0.0949576333	0.0783472303	0.0411541575	-0.0424392409	-0.0772769769	-0.0434397604	0.0564982386	0.0869414844	-0.0220567843	-0.0120644259	0.0909157737	0.0552207136	0.0466115471	-0.1083380341	0.0228489475	0.0629183542	0.0841540443	0.0215387879	-0.0463177831	0.1056255942	-0.0724973173	0.0648074744	0.0437286128	-0.0111182873	-0.1298530271	-0.033131398	0.062213025	-0.0595390317	-0.031060622	0.0496638415	0.0097685782	0.0762907459	0.0108440988	-0.0434114175	0.0469360407	-0.0517480926	0.0177238793	-0.2220712985	0.1501057603	-0.0497420675	0.0496493078	0.0693917829	0.0314463173	-0.0515196257	0.0867340143	0.0192524926	0.0035599497	0.1025805836	-0.1061624285	-0.1078581977	0.1357524041	-0.0280808398	-0.0083693253	-0.0629833759	0.0813195677	-0.0685053257	-0.0602749674	-0.0329375888	-0.1775638861	-0.0439966257	-0.0257494434	9.2511e-06	-0.0356490732	-0.0074308964	-0.0047905563	-0.0160644933	-0.0235755972	0.0323314386	0.0050259033	-0.0324858298	-0.1416967208	-0.0805136922	-0.0419419218	-0.0432205306	-0.0799215185	0.0571874732	-0.0697043322	0.0326352811	0.011078747	0.0788192107	-0.0894213868	0.0071659563	-0.0766899366	-0.0305578875	-0.0609529859	0.0665924724	-0.0719450879	-0.1707615105	-0.0270315448	0.0043587017	-0.0786110264	0.0030891835	0.0176839794	-0.0059844194	0.0846219509	-0.0124843761	0.0734222034	-0.0662470038	-0.0042896357	0.0135209117	0.0729372397	-0.0461861706	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.00375577	0.0007363299999999	5.421818688999999e-07	1.4105808292899998e-05	0.0194418	-0.0060561	3.667634721000002e-05	0.0003779835872399	0.0129633	0.0231543	0.00016804714689	0.00053612160849	-0.0008299219999999	6.301400000009998e-05	6.88770526083834e-07	3.9707641960126e-09	-0.00171036	-0.0001499999999999	2.9253313296e-06	2.2499999999999983e-08	-2.11758e-22	-2.11758e-22	4.4841450563999997e-44	4.4841450563999997e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
521.0740632927967	-0.1463882258730109	271518.17943646555	0.0214295126742476	697.8580142053377	-4.291932133159435	487005.8079906173	18.420681435646497	552.4195606660098	-0.640182064000328	0.40983307506772	305167.37100642733	560.8386361396183	475.3591431105653	1.025825	17.002165	0.05347085	0.0292156	0.1313257288	-0.0129423755	0.0501070462	0.0485733024	0.115204855	-0.0518774203	-0.02701261	0.0078210364	-0.0539146917	0.0324813146	-0.092427723	0.0120301636	-0.0241789381	-0.0414078263	-0.0128887074	-0.0853166094	0.0326671557	0.0412932896	0.00317204	-0.0475837018	-0.0256823979	0.0471169285	0.1358561725	0.0672434518	0.0176048772	0.0871507692	-0.0780182107	0.037922169	0.0618273332	0.0191920955	0.0751205932	0.0236346695	0.0612062428	-0.0893126559	0.0465771422	-0.1281254862	-0.1389603401	0.0240968123	-0.0572828419	-0.0070110315	0.0151685313	0.1716847949	-0.0284051936	-0.1082331793	-0.0634468509	0.0744402394	-0.1101994116	0.0404254727	-0.0174881917	0.0187197817	0.058179614	-0.053223719	0.0459741456	-5.23915e-05	-0.0003062459	-0.0088904017	-0.0008740413	0.0439501834	0.0131929756	-0.0197804109	-0.0414799207	0.0883034846	0.0431395967	-0.0970513327	-0.1729482894	-0.0046993173	0.1704020258	-0.0968493541	-0.0357659483	-0.0209334455	-0.0724059804	-0.0925279535	-0.0310004085	0.0276124083	0.0343769464	0.0778295402	0.0119982871	-0.0081438205	0.1404095631	0.0328349936	0.0372304844	-0.0168149794	0.0234381943	0.0500721872	0.0512857859	-0.0599222158	-0.0347839987	-0.045925648	-0.0234418971	-0.0459013342	0.0317341082	-0.09217167	0.0080406997	-0.0821142649	-0.0095308183	-0.0563051633	0.0828262146	0.111282945	0.0297279995	-0.1753974291	0.0581520297	-0.0001127312	-0.0032862318	0.078705672	-0.0133775536	0.0191121822	-0.0137272472	0.0645680537	0.0455090676	0.0138911432	0.0124168562	-0.0220447951	-0.0236979208	-0.2011653739	-0.0854016228	0.1417192134	0.0430080278	-0.0503651198	0.0508905189	0.1171827481	0.0456145547	-0.040939839	0.1493010847	-0.0361847765	0.0760728399	-0.0234617723	-0.008437105	0.1228316396	-0.0647180675	0.0261710386	-0.023808437	-0.0300799953	-0.0277552037	-0.0184708666	0.0763222524	-0.1078623373	0.0210831971	0.0467323727	-0.0024994832	0.0049926895	0.1667809883	0.0632241555	0.051306527	0.0253727344	-0.0634735136	-0.0396953658	0.0495862741	0.0892716514	-0.0248038934	-0.0296499939	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.00151192	0.00224385	5.0348628225e-06	2.2859020864e-06	0.03973	0.0202882	0.00041161105924	0.0015784729	0.0143702	0.0014068999999999	0.0002065026480399	1.979367609999997e-06	-0.00109469	-0.000264768	1.1983461961e-06	7.010209382405291e-08	-0.00138449	0.00032587	1.9168125601e-06	1.0619125690000001e-07	0.0	2.11758e-22	0.0	4.4841450563999997e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
