global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
523.3664544222945	n/a	273912.44561456365	n/a	712.7324144113891	n/a	507987.494552688	n/a	553.0518458832018	n/a	n/a	305866.34423481685	563.2962540392323	500.6662681847175	n/a	n/a	n/a	n/a	-0.0007383606	-0.0748292975	-0.0872274414	0.1822181853	0.0038147436	-0.1430873565	0.0657328969	-0.1058686196	0.153511897	-0.0428797723	0.1760562871	-0.0882249682	0.1920429796	-0.069356747	0.1543510321	0.0285383089	-0.00970685	0.0429956179	-0.1299383129	-0.0612919457	0.0414396263	-0.0008596216	0.120980568	-0.090233548	0.105536217	-0.0755448914	0.0338310162	-0.1051975038	-0.0445319319	0.0076820517	-0.0660592512	0.0522057491	-0.03003308	0.0155886467	-0.1219071821	0.1080355708	-0.0057329915	0.0455819479	-0.0257757136	0.0366656949	-0.0354913326	0.0077144979	-0.0924004187	0.0315084186	-0.1156743436	0.030472947	0.0033187017	-0.0643536222	0.0801457306	0.0199056227	0.0421662335	-0.1015181879	0.090486199	-0.143097548	0.0457339112	0.0792672947	-0.0098004164	-0.0434318797	-0.0661283993	0.0998766705	0.0063485388	-0.0833441758	0.0524148627	0.0040626977	0.1281145472	-0.0404541237	-0.0289754973	0.1772162231	-0.1250918569	0.0828238208	-0.0235704944	0.0891790889	-0.0042156651	0.0145553908	-0.0106545749	0.0977784232	-0.0972293588	0.0804454003	-0.0391628388	0.1299544763	-0.012197088	0.1092890691	-0.1577642528	0.0375220616	-0.0003153944	-0.1006485845	-0.1209898143	0.0416550515	-0.1009540456	0.0894233923	-0.1258918769	0.0339810774	-0.0508193978	0.0551925719	-0.0511514585	0.0422234514	-0.0341662967	0.0680834549	-0.0969806257	0.0271121358	-0.0025214435	-0.0314825002	0.0012441768	0.0820808435	-0.0639389175	0.0471343282	-0.0336203725	-0.088600294	0.0368380882	0.0328164889	-0.1331596185	-0.0828811101	0.0756992777	0.0241022166	-0.0165557717	-0.0911631022	-0.0191582509	-0.040610766	0.1065717803	-0.0566157189	0.0935795682	-0.0468648097	0.0293004446	-0.1956149549	0.0128273497	-0.0202295121	0.0386188563	-0.0439902533	-0.1614981686	-0.1117224682	0.014603369	-0.085619909	0.002736134	-0.021161752	0.2285079662	-0.0005516699	0.076438622	-0.1342874846	0.0186008326	-0.0457438366	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0506108	n/a	n/a	0.00256145307664	-0.0164821	n/a	n/a	0.00027165962041	-0.11364	n/a	0.0129140496	n/a	-0.00206889	n/a	4.280305832099999e-06	n/a	-0.00119236	n/a	1.4217223695999998e-06	n/a	-0.000510975	n/a	2.61095450625e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
520.2424848759437	-3.1239695463508497	270652.2430698965	9.759185726527534	705.2122496228616	-7.520164788527495	497324.31701813726	56.55287844660879	552.2571972769531	-0.7946486062487566	0.6314664074130913	304988.0119441955	561.9453407523026	492.4578921308337	1.079325	17.848761	0.0854825299999999	0.0475233	0.028012018	0.0032223459	0.0089319278	-0.0103848348	0.1030575217	-0.1288542558	0.0981996635	-0.0958889476	0.0395516239	-0.0254915148	0.0512759879	-0.0245409877	0.1682391128	-0.0246707377	0.1539515808	-0.025520493	0.0177423224	-0.0729166254	-0.1293925535	-0.0958658574	0.0030034702	-0.0329072173	0.08829043	0.0986359604	0.1579931784	-0.0381981061	0.0256245749	-0.0566603614	-0.0413081441	0.0381397039	0.0050094574	0.050531572	-0.0093652266	0.0315000118	-0.0270866015	0.0347995315	-0.0461453767	0.0772703179	-0.0329220005	0.0070607579	0.1633073476	0.0109895625	-0.1670053408	0.0591238262	0.0323711702	-0.0713889537	0.0266657527	-0.0502879691	0.2240886552	0.0447918627	-0.0217886899	0.0240778262	0.0855630323	0.1084142244	-0.1501217318	-0.0707859599	0.0693304326	-0.0480228172	0.0392356567	0.0986808996	-0.0504887946	0.0608434343	-0.1374352165	-0.0751597602	-0.0488340468	-0.0818823799	0.0094067056	0.1773169739	0.0006754521	0.0162814771	0.0474476094	0.0918782667	-0.0027770992	-6.53435e-05	0.0511870263	0.0725092342	-0.0649030813	-0.0901129543	-0.1527846875	0.1183518523	0.0162937194	0.0224069893	-0.1545828579	0.01914504	0.0098533804	-0.0213387805	0.0122520318	-0.0709251684	-0.1381489693	0.0756862111	0.0048748004	-0.0102947293	-0.0414129212	-0.0866807151	0.0502926358	0.0169264159	0.0542263103	-0.0166795899	-0.1317443507	0.0363217328	-0.1484792046	-0.0028570127	-0.0603154725	-0.0444549057	0.0154455627	-0.0118923691	-0.0051833255	-0.1692111826	0.1317850939	-0.0012932917	-0.1671276229	0.0221047773	0.037513288	-0.038279673	0.0727605691	0.0381755389	-0.0192203118	-0.0367270037	0.1183909067	0.0218281572	0.0259468118	0.0457292035	-0.0169552511	-0.0748166357	0.0893056029	0.0600896339	-0.0101769695	0.0199511104	-0.1685574204	-0.0508375398	0.067505247	-0.0665467009	-0.0226191777	-0.0568411885	0.1746322243	0.0084743934	0.0797907174	-0.2360664496	-0.0022086326	-0.037480478	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0492449	0.0013658999999999	1.86568280999999e-06	0.00242506017601	-0.00168327	0.0147988299999999	0.0002190053693688	2.8333978929e-06	-0.0750215999999999	0.0386184000000001	0.0056282404665599	0.00149138081856	-0.00152588	0.0005430099999999	2.3283097744e-06	2.948598600999998e-07	-0.00119236	0.0	1.4217223695999998e-06	0.0	-0.000439997	7.097799999999997e-05	1.93597360009e-07	5.0378764839999965e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
518.7698520990542	-1.4726327768894407	269122.1594468746	2.168647295569105	703.1720500275229	-2.040199595338663	494450.9319399092	4.162414388820045	551.4048226978315	-0.8523745791216015	0.7265424231327273	304047.278494427	560.4356931269531	489.2696854611804	0.94349	15.60245	0.0681128699999999	0.0336999	0.0328037881	0.0445014716	0.0551956791	-0.0594075437	0.0794890006	-0.0410928475	-0.0114455995	0.0837927982	-0.0154848614	0.0909283616	0.0595901105	-0.0546872648	0.0961670762	0.0337870876	0.0599374112	-0.0221697544	-0.0118060604	-0.1339302497	0.0381164903	-0.0749518109	-0.0395544348	-0.0073723215	-0.0344189598	0.1418306839	0.0470474872	0.0112295088	0.003976844	-0.0002272531	-0.0992943116	-0.0616968068	-0.1173752516	0.0542773194	0.0854622593	-0.0941312254	-0.1389333542	0.0241422102	-0.1220382706	-0.007579025	-0.1117993332	-0.1052223744	-0.0524258686	-0.062927599	0.0801161275	-0.1222598742	0.0675404068	0.0561747517	0.0620120916	-0.0851124223	-0.0298434881	-0.0610866283	0.057321685	0.1294476885	0.0733649805	0.0939335574	0.0735953464	0.0215452862	-0.132587352	0.1295617851	-0.0057965757	0.1334234136	0.0696411328	0.013805463	-0.0792038383	-0.0762842275	-0.0503087798	-0.1119936932	0.0429142571	0.0696334512	0.0707747947	-0.0629506362	0.0695976502	0.0344721169	0.0219038211	-0.086263403	0.0717120081	0.0448420251	-0.0073316173	-0.1218141538	-0.0589551422	0.0253971139	0.0412231333	-0.1157249642	-0.0268341045	-0.0293688033	0.139128694	-0.0178960964	-0.0897649769	0.0688544187	-0.0238969791	0.0795777541	0.0158011559	-0.1304347782	0.0922274027	-0.0048066888	-0.156266267	-0.0973702394	0.0564376329	-0.0345367654	-0.1160114377	-0.0116678813	0.0603653746	-0.041525718	-0.0082636933	-0.0818151206	0.0605773867	-0.1461412454	0.0598412084	-0.0230467176	-0.0537569346	0.2201483644	0.1165745186	-0.0844453396	0.0517230782	-0.0802663009	0.0309684242	0.0141003938	-0.0255629006	-0.0472307623	0.1162719041	0.0185731515	-0.0502444394	0.0244015264	-0.0363840402	-0.0849150155	0.0118231983	0.0188224039	-0.0241215595	0.0341288118	-0.115718146	-0.0411156797	0.0464972518	-0.0670273683	-0.0302540826	-0.0473208295	0.0747999939	0.0108756152	0.0335427293	-0.190234417	0.0079230144	-0.0439541441	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0392288	0.0100161	0.00010032225921	0.00153889874944	0.0177455	0.01942877	0.0003774771037129	0.00031490277025	-0.050879	0.0241425999999998	0.002588672641	0.0005828651347599	-0.00130635	0.00021953	1.7065503224999998e-06	4.8193420900000057e-08	-0.00119236	0.0	1.4217223695999998e-06	0.0	-0.000510975	-7.097799999999997e-05	2.61095450625e-07	5.0378764839999965e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
518.4216699136337	-0.3481821854205691	268761.02783604054	0.1212308342442435	701.1856005612793	-1.9864494662435843	491661.246434482	3.945981481939422	550.7669531415314	-0.6378695563000747	0.4068775708544541	303344.23667280586	559.7982734806586	483.966273623889	0.879702	14.547603	0.0565805	0.0288932	0.0416201356	0.0895820793	0.0581995905	-0.0762183678	0.0144412209	-0.0611122807	-0.0535796634	0.0580138224	-0.0252421383	0.0598022001	0.0279682445	0.0871215258	0.066247985	0.0589852329	-0.01811683	0.0138397884	-0.0233738117	-0.1408543186	-0.0620172853	0.0501431267	-0.0399194959	-0.0326568862	0.144100129	0.008497431	-0.0165150352	-0.0462945322	0.0891655009	-0.117138872	0.0131349427	-0.233301612	-0.0746318556	0.114675584	0.0794926236	-0.1519811306	-0.0087939381	0.0061786238	-0.0372612927	-0.1401680319	-0.0383412603	0.0112900156	-0.0128131083	0.0539941803	-0.0303586431	-0.1881676781	-0.0986426605	0.0600491068	-0.1144219349	0.0497287783	0.013401093	-0.0824863279	-0.0863288891	-0.1009127377	0.0044137506	-0.1345273821	0.0029377588	-0.0436744475	0.0401728418	0.0624978697	0.0467894908	-0.0449991465	-0.1003320136	0.0764068464	0.0986661736	0.0316777312	-0.0931414643	0.0542114168	0.0509483348	-0.0175538677	0.0505659325	-0.0868701057	0.0785580496	0.0381307929	-0.015135304	-0.0092844216	0.0098007914	0.0426779192	-0.0554139595	-0.0210782375	-0.1704309059	0.1081673048	-0.0692787805	0.0845930631	0.0460627245	-0.123572068	0.0099759372	-0.1381768245	-0.0602534352	0.011665993	-0.0562445588	0.0763304733	-0.0210267875	0.0228116686	0.0769713608	0.0920390771	-0.1971266828	-0.056270718	0.0285152328	-0.0800893493	0.1145397547	-0.0337955713	0.1275257288	0.1722805223	-0.0544402318	-0.1231854834	-0.0592696344	0.0750838219	-0.1958427773	0.0848219439	0.0517091376	-0.0708599548	0.0049008364	0.049474957	0.0222657589	-0.0197041746	-0.0335079075	0.0744788027	-0.028897168	-0.0499219455	0.1136565012	0.0477002959	-0.0711226043	0.0356209217	-0.0443237569	-0.0738428715	-0.000733868	0.033778545	0.0224422813	0.0884539402	-0.0724532157	0.0099431436	0.0145424408	-0.0459340509	-0.0794690865	-0.0789907949	0.0108486662	0.0198703805	0.0847266857	-0.1362692255	0.0798781204	-0.0685228621	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0384533	0.0007754999999999	6.014002499999975e-07	0.00147865628089	0.0397485	0.0220029999999999	0.0004841320089999	0.0015799432522499	-0.0426642	0.0082148	0.00182023396164	6.748293904000002e-05	-0.00151274	-0.00020639	2.2883823076000003e-06	4.259683210000004e-08	-0.00093976	0.0002525999999999	8.831488576e-07	6.380675999999997e-08	-0.000458221	5.275400000000002e-05	2.09966484841e-07	2.782984516000002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
518.3682925956242	-0.0533773180094385	268705.6867685027	0.0028491380778807	698.932948424077	-2.25265213720229	488507.2663927736	5.0744416512420445	550.396768843858	-0.3701842976734042	0.1370364142439515	302936.60315375926	559.3830521206406	482.4390345481266	0.936533	15.487405	0.0136901999999999	0.00684962	0.0438390377	0.101886858	0.0727420051	-0.068266994	-0.0273634072	0.0126643439	-0.059128249	0.0259938689	0.0099041345	0.0160735474	0.0255588584	-0.0818250976	-0.0585830251	0.0717637347	-0.0719649906	0.0760646443	0.0353109885	-0.0584011905	-0.0955630039	-0.1210386937	-0.0569721808	0.0034574786	0.0461667655	0.0771814615	-0.0840102199	-0.0275643984	0.037171495	0.0752346534	-0.0429441896	0.0062631901	0.0990729959	0.025666149	-0.0018266548	-0.0209246178	0.0254529168	-0.0166006287	0.0932417507	0.0311432952	0.0933271346	0.0967275365	0.1480241879	-0.1092033292	0.0757743924	0.0537155489	-0.0391254682	-0.0562934739	0.1205466177	-0.0805964478	0.0488138986	-0.0033666649	-0.0229199078	-0.0692643939	-0.0033000491	-0.0876768749	0.0062701507	-0.0065493771	-0.0773913679	-0.085079529	-0.0930913344	-0.0046761885	0.1291696476	0.044218581	-0.0804159711	-0.0489645025	-0.0158884588	-0.0009169458	0.0571416093	-0.0860502013	0.0268589652	-0.0672256596	-0.0139135123	0.1328838317	-0.0740312948	-0.0281324466	-0.0197825444	0.0356751964	0.0688547666	-0.0618339138	-0.0899161562	-0.0015060494	0.0365108251	0.0617666523	0.0404146156	-0.0719458823	-0.0634896214	-0.0238836953	0.0724570387	-0.0010613869	-0.0053823604	-0.0312899463	0.0398452991	-0.0447621497	-0.0509994459	-0.064899343	0.0802002808	-0.0517153042	-0.1408562829	-0.0037464522	0.0028308056	-0.0120504707	-0.0111725567	-0.125915545	-0.0301704382	0.1344271138	-0.1054520128	-0.093680628	0.0415008673	0.1003062298	0.1309398812	0.0665544222	-0.1004087159	0.1370750033	0.010912846	0.0750608195	-0.0516953946	0.0296625309	-0.0309554313	-0.0456830128	0.1158375026	0.0219889941	-0.096103785	0.0086915764	-0.0127885292	-0.0786792121	-0.0602625234	0.0187978206	0.113595616	0.0688792416	-0.0262404874	-0.028374208	0.0318531883	-0.0964326142	0.0377937783	0.0010494364	-0.0402358324	0.0601146572	0.0181082333	-0.0613960494	0.0722767766	-0.0757539418	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0334199	0.0050334	2.533511556e-05	0.00111688971601	0.0384586	-0.0012898999999999	1.6638420099999913e-06	0.00147906391396	-0.0409324	0.0017317999999999	0.00167546136976	2.999131239999996e-06	-0.00146776	4.498000000000002e-05	2.1543194176e-06	2.023200400000002e-09	-0.000931482	8.278000000000018e-06	8.67658716324e-07	6.85252840000003e-11	-0.000398777	5.944399999999997e-05	1.59023095729e-07	3.533589135999996e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
518.7841143699893	0.4158217743650994	269136.95732265414	0.1729077480361396	697.6959674621693	-1.2369809619077614	486779.6630129724	1.5301219001222506	550.2232487729872	-0.1735200708708362	0.03010921499502	302745.6234903005	559.2340318206541	479.4885041799358	0.962349	15.91432	0.0475663	0.0233917	0.0420621134	0.1202284724	0.0735899358	-0.0423709905	-0.0832047151	0.0406655366	0.003105616	0.0474061392	-0.0198142594	-0.0905238978	0.0097518169	-0.0100357013	0.0019009359	0.0683384917	-0.0874817756	0.0376438436	0.0450426237	0.0271880131	-0.0786552001	-0.0522888652	-0.0590713764	-0.0097461162	0.143911983	0.102235824	-0.0604482791	0.0314525728	0.0048101663	0.2150243321	0.0924319198	-0.0343331733	0.0107695314	-0.0453617876	0.0325898387	-0.1148166484	0.0014734814	-0.0585143287	0.0610639471	-0.0150169414	0.0035408429	0.0549124079	0.0051475536	-0.0066637535	0.0100274815	-0.043548493	0.0037325576	-0.041526576	-0.081324885	-0.0345475979	0.0127641294	-0.0115351591	0.0576133835	-0.0722956202	-0.053774805	0.1083448865	0.0647630445	-0.0546882766	-0.0318711323	-0.1314101132	0.0585744336	-0.0183821012	-0.0793907063	-0.0670282035	-0.0224437275	0.0551559252	0.0415547278	-0.0044002034	0.0545924318	-0.0962547235	0.0167812057	0.0186770998	-0.0500355799	0.0825579334	-0.0468387536	0.003030988	-0.0068003103	-0.0105201655	0.0056913882	-0.0821007598	-0.1566103762	0.0165776752	0.1090440344	0.1207736352	0.0177807986	-0.096621824	-0.0601280172	-0.0214653243	0.074446648	0.0207427143	0.0305302432	-0.1028112503	0.0546438186	0.031079795	0.0498897679	0.0839747616	0.04466049	0.1279337634	0.0404192562	-0.022793705	0.0593205887	-0.0180350015	-0.0026386451	-0.1452899372	-0.0370972893	0.0778092474	-0.0438708042	0.0511802754	-0.0051553908	0.0263128664	-0.0571033832	0.0201871034	-0.0229137829	-0.0598946508	-0.07071296	0.0141497317	0.0501980887	0.0228133435	-0.0308029449	-0.0482833998	0.0742263612	0.0238699445	-0.0647765468	0.0286689991	0.0080132109	-0.0468201755	-0.0496882322	0.0832876951	0.0878886628	0.0048909153	-0.0135511321	-0.0355465541	0.0532938619	-0.0411947154	-0.0259449998	-0.0584620069	-0.0134401208	0.0270804873	0.0058916963	-0.0512796816	0.0607427598	-0.0411937521	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0256447	0.0077752	6.045373504000004e-05	0.00065765063809	0.0384576	-1.000000000001e-06	1.0000000000020005e-12	0.00147898699776	-0.0372132	0.0037191999999999	0.00138482225424	1.3832448639999992e-05	-0.00121544	0.00025232	1.4772943935999995e-06	6.366538240000005e-08	-0.00119236	-0.000260878	1.4217223695999998e-06	6.805733088399998e-08	-0.000190557	0.00020822	3.6311970249e-08	4.33555684e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
519.3105741283667	0.5264597583774275	269683.47240153386	0.2771598771908193	700.2939308124751	2.597963350305804	490411.5895327876	6.749413569532157	550.8840425301994	0.6607937572122182	0.43664838957064	303473.22831441456	559.9733247558677	482.0370353124621	0.870096	14.388737	0.02181839	0.0114858	0.0374610816	0.0844702844	0.0651255539	-0.0227294148	-0.0418233842	0.0540387039	0.0429025442	0.0191893673	-0.045254668	0.0501446317	-0.0242809857	-0.085085083	-0.0062439655	0.0472809763	-0.0039146659	-0.0001333024	0.0512524867	-0.0375696358	-0.0748372759	-0.1119206585	-0.0736644003	0.0545131914	0.0325117129	-0.0910104899	0.0335972478	-0.0942409795	0.0685672457	0.0937461979	0.0800535295	-0.0022555885	-0.0708793134	-0.0397974025	0.0400088031	-0.136398538	-0.045883217	0.0615634544	-0.0510788511	0.0278675605	0.0722387318	0.1183747293	0.0292017071	-0.0753758116	-0.022144437	0.0444573308	0.071398796	-0.1952600029	-0.0241440783	-0.0016074155	-0.0786514861	-0.0791788233	-0.0282843559	0.1903534899	-0.1059558246	-0.0637857482	-0.0924515584	0.024839446	0.1473841867	-0.0365975501	0.0278617335	-0.0651544178	-0.0291252811	0.0530403516	0.0467990499	-0.029800672	-0.0793424054	-0.0813412056	0.0542773599	-0.0106737793	0.0215651838	0.0044134596	-0.0416124857	0.1282325003	-0.0267361538	-0.0897848141	0.0185827149	0.023445251	-0.0511837609	0.0230525392	-0.0541794861	-0.0002189042	0.1097417817	0.0146298444	-0.0687444493	-0.0790474545	-0.0972539113	0.0049223997	-0.0404780207	0.0543918777	-0.0249606859	0.06519352	-0.013005958	-0.083541579	0.1077601841	0.0602174447	0.0467688046	-0.0330403891	0.0669239996	0.105685844	0.0850106246	0.0262235756	-0.0362087937	-0.1138631687	-0.0766052922	-0.1154850062	-0.0272127542	-0.0845947359	0.0648043685	0.1781037125	-0.0287417559	-0.0439238047	-0.042396034	0.0903745129	-0.0347302164	0.0190671857	0.1114848396	-0.0524191556	-0.0329749004	-0.0435067043	0.0700229816	0.0062126884	-0.0815634266	-0.0110757511	0.0278485364	-0.0722446456	-0.0758541767	0.0676583423	-0.0148636486	-0.021841862	-0.0500896873	-0.0805829793	0.0995980567	-0.0173617694	0.0940710552	0.0407431659	0.0071234649	0.0317937023	-0.1018548518	-0.0082190816	0.0309388661	0.0061308103	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.017246	0.0083986999999999	7.053816168999998e-05	0.000297424516	0.0355319	-0.0029257	8.559720490000019e-06	0.0012625159176099	-0.0405326	-0.0033194	0.00164289166276	1.101841636e-05	-0.00125434	-3.890000000000013e-05	1.5733688356000002e-06	1.5132100000000103e-09	-0.00119236	0.0	1.4217223695999998e-06	0.0	-8.596519999999998e-05	0.0001045918	7.390015611039997e-09	1.0939444627240005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
520.7542600126686	1.4436858843018854	271184.9993213421	2.084228932532517	702.119251223553	1.8253204110778825	492971.4429387226	3.3317946030975296	552.4177155622319	1.533673032032539	2.3521529691838805	305165.332466995	561.2332702927666	488.0711736219496	1.131641	18.713896	0.13269372	0.0679191	0.0177989858	0.0490541219	0.0338257074	0.0413506186	-0.0591337256	0.0656081343	0.0046365445	0.0557308367	0.0316854994	0.1024181082	0.100297325	-0.0543334021	-0.0424265896	-0.0109433249	0.0840370317	0.1124025274	0.0469160456	-0.1240321033	0.0148642138	-0.1850446436	0.0125246114	0.0567754337	-0.030665375	-0.0928631144	0.0154487883	0.146464328	0.1444462574	-0.1163020833	0.0533865363	0.1217287458	0.0006185363	0.0916406934	-0.0256714799	0.0081997261	0.1325073053	0.0265634657	-0.1071167698	-0.129484472	0.0567823588	-0.0334291963	-0.0501674637	0.0479145025	0.0185351595	0.2300422493	0.1138612138	-0.0102994347	0.1102035586	-0.033304991	-0.1067602219	-0.0837902787	-0.0090261178	0.0624146658	0.1050916796	-0.0818118538	0.1392087497	-0.032693167	0.0412620161	0.00182325	-0.1530240938	-0.0155530834	-0.041571736	0.0691714765	0.0959745454	-0.025232809	0.1024069424	0.0064391524	0.0125599988	0.0431601325	-0.0331547646	-0.1179997781	-0.0384795155	0.1232686756	0.0056045325	-0.1953765134	0.0133537187	0.0740957181	-0.0224855809	-0.0258247839	0.1568252537	-0.073891595	-0.0637976941	0.184950118	-0.0644187253	0.1484057974	-0.1709265044	0.0622519693	0.0763414951	0.0735929931	0.0741576852	0.0678560692	0.0698890752	-0.3575188018	0.032536803	-0.0849169445	-0.1336712615	0.0327032236	-0.0511582969	0.1031892693	0.0766314908	0.0019449841	-0.0708443036	0.0437804474	0.0001521954	-0.0149243125	0.1622406017	0.0256311283	-0.0874454217	-0.1445576636	-0.0205936246	-0.0586882705	-0.0041447675	-0.0407698469	0.0015046427	0.0485362133	0.0451559027	-0.0921806221	-0.0370646195	-0.0177749949	0.0823215077	0.0441397683	-0.1038020789	-0.038673532	-0.0304853356	0.049893666	-0.1515971187	0.0665867418	0.0464588464	0.1106411483	-0.2104874242	-0.0092250657	0.0848752903	0.1364728026	-0.0449286657	-0.0216340258	-0.0802711754	-0.1593903838	-0.0791915745	0.0348672627	0.3688220022	0.0426366844	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0167139	0.0005321	2.8313041000000066e-07	0.00027935445321	0.0797785	0.0442466	0.00195776161156	0.00636460906225	-0.0816912999999999	-0.0411586999999998	0.0066734684956899	0.0016940385856899	-0.00199219	-0.00073785	3.9688209961e-06	5.444226225e-07	-0.00126407	-7.171e-05	1.5978729648999998e-06	5.1423241000000006e-09	3.96012e-05	0.0001255664	1.56825504144e-09	1.576692080896e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
