global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
319.20072406596495	n/a	n/a	101889.10224423627	489.96918015719	n/a	n/a	240069.7975039089	317.49744244166646	n/a	100804.62595699933	n/a	347.2411347848906	317.2371537010019	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0362412	n/a	0.00131342457744	n/a	-0.0822335	n/a	0.00676234852225	n/a	-0.175376	n/a	0.030756741376	n/a	-0.00360207	n/a	1.29749082849e-05	n/a	-0.00118905	n/a	1.4138399025000002e-06	n/a	-0.000845757	n/a	n/a	7.153049030490001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.83481903787685	-2.3659050280880933	5.597506601932522	100384.30255476416	483.2452398169417	-6.723940340248305	45.21137369921849	233525.9618057335	316.9748558253784	-0.5225866162880379	100473.05922551944	0.2730967715233809	345.5930455000042	309.046639396396	1.385114	19.702911	0.14254645	0.0812033	-0.018401099	-0.0771148542	-0.1153534216	0.0693701276	0.144358623	0.1813522577	0.0089822154	-0.1915977862	0.0799622454	-0.1147706884	0.0667687798	-0.0897547227	0.0875335503	-0.0393772921	0.0176292316	-0.147288849	0.0817849404	-0.2559319275	0.2144772154	-0.1149259476	0.0936927057	-0.1026167619	0.067618696	-0.0011656638	0.0773908339	-0.0573120274	0.0289446658	-0.2003219455	0.0527686852	-0.0191566668	0.0336907385	-0.0701260563	0.0250580879	-0.052547852	-0.0449559773	-0.0930217798	0.0425621524	-0.1172257947	0.0248628455	-0.1599473764	0.0033102478	-0.1437548144	0.0097314384	-0.0443126321	0.0471735661	-0.1224448226	0.1553971799	-0.0695076354	0.0240748463	-0.0793081144	0.1096252706	-0.0297160066	0.0769526908	-0.0437202846	0.0661541509	-0.0538415402	0.0208268925	-0.0002083489	0.0383415041	-0.1337627831	0.0980704815	-0.0150207335	0.0309622977	-0.0033349916	-0.1023438236	0.0141821173	0.0403212448	-0.0144080739	0.0850327294	-0.0487520796	0.0811440583	0.1207456408	-0.0395043093	-0.0360032505	0.0009253013	0.0200101434	-0.0570953358	0.0444450322	0.0736838646	-0.0553032429	-0.0046512464	-0.0041996756	-0.0429164125	0.1073729769	-0.0003671893	-0.0335232841	-0.0712610714	0.012269779	0.0440986376	0.1517734561	-0.1366913793	-0.1248478761	0.0163462108	-0.1586412026	0.0809804036	-0.1613698169	0.0574818219	-0.0944635356	0.1064817859	-0.035430744	0.1562354218	-0.0673484097	0.182032871	-0.1117034503	0.0761217844	-0.1344531416	0.1986049076	0.0305038187	-0.0297528294	0.1377161174	-0.0670297077	0.0401862985	-0.0337301699	0.0521693844	-0.0633578848	0.1021729562	-0.0106966427	0.011534113	-0.027977208	0.0114319134	-0.0105069983	0.0204692402	-0.0310880369	0.000673653	0.0227005367	0.0004542718	-0.0543279686	0.0342220624	-0.0450586987	-0.0349575314	0.0555841793	-0.0280554887	-0.0273350583	0.0705447841	0.0029146798	0.0710314383	-0.065487802	-0.0462220261	0.0480191067	-0.0195912105	-0.0069120894	-0.019322463	-0.1162591815	0.0519695333	0.093757065	-0.0534037271	-0.0023610671	-0.0198544295	0.0036449524	0.075106379	-0.2526363324	0.1698147491	-0.014360223	0.1557816212	-0.0450211443	0.0236153005	-0.0258651197	0.0128527945	-0.0052687871	0.1201646033	-0.0089289329	0.0486257489	-0.1420971799	0.136419569	-0.0883310924	0.1510459631	-0.0203637899	0.0116418118	-0.1901625501	0.0728221445	-0.1220298272	0.0466870687	-0.0099167886	0.0586893193	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	0.0266013	-0.0096399	0.00070762916169	9.292767201e-05	-0.0359462	0.0462873	0.0012921292944399	0.00214251414129	-0.110337	0.065039	0.012174253569	0.004230071521	-0.00354866	5.341000000000026e-05	1.25929877956e-05	2.852628100000028e-09	-0.000979266	0.000209784	9.58961898756e-07	4.400932665600008e-08	-0.000677346	0.000168411	2.836226492100001e-08	4.58797603716e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.24368476907773	-0.5911342687991237	0.3494397237486746	100010.0681563238	480.8758634720389	-2.3693763449028324	5.613944263785106	231241.59606997896	316.5783298925072	-0.3965259328712136	100221.83895752912	0.1572328154393862	344.85990448415265	303.01002403351765	1.305939	18.57667	0.02361075	0.0118138	0.0273633863	0.0044845071	-0.1157580261	0.0413193664	0.0266032056	0.1521540483	0.1180090807	-0.1974596046	0.1062073211	0.0311190326	-0.091523653	-0.1462202823	0.0736525898	0.0227469674	0.0895203496	-0.0169503922	0.0170500041	-0.0573737841	-0.0489336648	-0.049854003	0.0775346493	0.0225914142	0.1442139581	-0.0052601362	0.0004381904	0.0735756901	-0.0352951122	0.1227306983	-0.0082881209	0.1548272205	0.1619583974	-0.0779447324	-0.1214449739	0.049507926	0.002366466	-0.0552812063	0.0212140106	-0.1284516032	-0.0009311451	-0.0228633741	-0.0625219648	-0.1427063186	0.0112796508	-0.0145085798	-0.0362693702	-0.1226806203	0.1103664681	0.077792517	-0.141440871	-0.0607385043	0.0459817008	-0.0021322983	0.0792559074	-0.0282694867	0.1202810166	0.0353091646	0.1751927644	0.0987276012	0.0133685852	-0.1008825555	0.0750161213	0.0094792768	-0.0175525982	-0.0242643872	-0.0351384973	-0.0394283679	-0.0709625946	0.0549612781	0.0068512973	-0.0686820036	-0.0003030652	-0.0339448233	0.0530542894	-0.0039160739	-0.0462281522	0.0123826932	-9.01616e-05	-0.0717447707	0.0386849634	-0.0220424206	-0.0247009896	0.124685518	-0.0878171444	-0.0148469071	0.0135359477	-0.0555883717	0.0111217296	0.1562145818	-0.089602155	-0.0132975302	-0.0677669749	-0.0388060657	0.0149821994	-0.1204799224	0.1022085626	-0.2100494084	-0.0557718663	-0.0082044833	0.046027694	-0.1175596386	0.1219878542	0.1051670691	0.04490496	-0.0093876118	0.1425207606	-0.0588547767	0.1271045594	0.0390762079	0.002951628	0.1165346623	-0.0823023493	-0.0721504333	-0.0249564706	-0.0541506352	0.0039177274	0.0097178348	0.0456072641	-0.031686213	-0.0120466071	-0.1103896267	-0.0569874792	-0.090310985	-0.0223739032	-0.0033789748	0.0752652678	0.0747855486	-0.0234317671	-0.0612147164	-0.0209216212	-0.0184709445	-0.1058031034	-0.0530111867	-0.0375505667	-0.0047386039	0.0580697307	0.0060857157	-0.008784356	0.1025020185	-0.049624258	0.021587204	0.051325486	-0.0538912279	-0.0478481283	0.0402294659	0.0287665684	0.0893739014	-0.067720299	-0.0029490028	0.0966811601	0.0541435861	-0.2779172241	0.1794852048	0.0266130399	0.1523941418	0.0109555887	0.0440672092	-0.0114299319	0.0047227617	0.0359339545	0.1268244574	-0.0540745417	0.0016480677	-0.1083714342	0.08745962	0.0007577894	0.1677259144	0.0164527882	-0.073885162	-0.1025634147	0.108583568	-0.0653748976	0.0391563134	-0.0414059413	0.0498869271	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	0.0281488	0.0015475	0.00079235494144	2.3947562500000007e-06	-0.0452941	-0.0093479	0.00205155549481	8.738323440999998e-05	-0.105449	0.004888	0.011119491601	2.3892544000000036e-05	-0.0034167	0.0001319599999999	1.167383889e-05	1.7413441599999994e-08	-0.000979267	-1.0000000001241655e-09	9.58963857289e-07	1.0000000002483308e-18	-0.00065276	2.458600000000005e-05	6.044713960000024e-10	4.2609561760000004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.06694310813725	-0.176741660940479	0.0312376147119992	99898.31252572247	480.0072906927035	-0.8685727793353522	0.7544186730023383	230406.9991181496	316.4380951113699	-0.1402347811373374	100133.06803771236	0.0196657938406369	344.3206315587075	301.5757095091271	1.084358	15.424727	0.03875905	0.0189501	0.0464935524	0.0865840687	-0.0599761127	0.015608185	-0.0429882229	0.0363072384	0.0667586433	-0.1609672415	-0.1448055934	-0.0511567218	0.011139101	-0.2152547089	0.044533055	0.0741986829	-0.0605111766	-0.0109383996	0.0174472187	0.1096603004	0.0464527378	-0.1249389282	-0.0520504573	0.0580623804	-0.1464528187	-0.1348047284	-0.0356677253	0.0261673723	0.020288606	0.0321731912	-0.0776087739	-0.0227344625	0.0331254886	-0.0204051241	0.0245882418	-0.1464073044	0.0837787197	0.0432214233	0.0329292168	-0.1056506052	-0.0669185168	-0.0308224774	-0.0919313458	-0.0407226902	-0.0765557654	-0.0608538056	-0.1397118483	0.1391996456	0.08444167	0.059187236	0.0857688476	-0.1096817363	-0.0119196725	0.0262504391	-0.0524545346	0.1039622565	0.1206065963	-0.0852712048	0.1182071052	0.0053295156	0.0185059022	-0.0976265438	-0.0190874639	0.0780316199	-0.050313685	-0.0237445499	0.1492863448	-0.0706657118	0.0163594031	0.0313541717	0.0154151977	-0.0573152431	-0.0626847465	-0.0367693766	0.070587214	0.0125670017	-0.0117995933	-0.0945231618	0.0003593735	0.0865263599	0.0273133805	0.066049019	-4.44061e-05	0.0490342392	0.1538149307	0.0135672116	-0.0182167496	0.1036050234	0.025602083	-0.0749838562	0.0623901877	-0.11253174	0.0490808241	0.0717338253	0.0677887615	-0.0443124369	0.1277264558	-0.0440331215	0.0867115175	-0.0525453341	0.1272098116	-0.1214086918	0.0696626694	0.1310371257	-0.0623999458	0.0017381749	0.1639757224	-0.0474318292	-0.0106474347	-0.069978464	0.073869264	-0.0865615565	0.0617303961	-0.1092042283	0.0013388953	-0.0920680369	0.1349530254	0.0294614921	0.1019074233	0.1325066695	-0.0883928651	0.0154046911	-0.0266375452	-0.0247407953	0.0630932983	0.0193361048	-0.1141096803	-0.0369120688	-0.0683449934	0.0642640318	0.0002007578	0.0937934123	-0.019712768	-0.1065488922	0.052577147	-0.0440306629	0.0015142649	-0.0229389202	-0.0250541279	-0.0407475033	0.0050272343	-0.0629067072	-0.050089886	0.0734558858	-0.0395167098	0.0107871873	-0.0547323351	0.1258967079	0.0315745549	0.0233725751	0.0844156747	0.052168627	-0.2411525215	0.1785320365	0.0787414412	0.0533749937	0.0137176337	0.0521341629	-0.0261554009	-0.0190358177	-0.0579367985	0.0946567958	-0.0549214702	0.0293744519	-0.0722404999	0.0331875904	0.0991492499	0.0539751293	0.0429942465	0.0194897854	0.054023269	0.0445983914	-0.0177125015	0.0451236575	-0.1374650457	-0.0286892764	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	0.0266264	-0.0015224	0.00070896517696	2.3177017600000003e-06	-0.0322065	0.0130875999999999	0.00103725864225	0.0001712852737599	-0.0957893	0.0096597	0.0091755899944899	9.330980409000012e-05	-0.00354866	-0.0001319599999999	1.25929877956e-05	1.7413441599999994e-08	-0.00109026	-0.0001109929999999	1.1886668676e-06	1.2319446048999997e-08	-0.000699594	-4.6834000000000047e-05	2.1934235560000046e-09	4.89431764836e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.26614594063864	0.1992028325013848	0.0396817684765747	100024.27506814532	479.26646171792135	-0.7408289747821755	0.5488275698768091	229696.34132761572	316.6719518690608	0.233856757690944	100281.12510056078	0.0546889831177209	344.42961766961605	302.78245689465405	1.08523	15.437136	0.0562250499999999	0.0250252	0.039715375	0.0990516274	0.0759609255	-0.0450347813	-0.0926849386	-0.0714463582	0.0264344327	-0.1839178355	0.0104029955	-0.0787409159	-0.0380785987	-0.1440504293	0.1767286586	-0.0468666691	0.0278049113	-0.1428663329	-0.1444710095	0.0714169414	-0.1367820943	0.0036450676	0.0700821224	-0.0466848136	-0.0450874476	0.0268949408	0.0636089891	-0.0487843066	-0.0763471329	-0.0462165473	0.0209419876	0.0324107555	-0.1073840677	-0.0106386281	0.0290218841	-0.0259951163	0.0635866591	-0.003046418	0.020210905	-0.1285288241	-0.1224670568	-0.163004124	-0.0536206793	-0.1590707841	-0.0019666956	-0.0821578662	0.0034793173	-0.031689422	0.0788340929	-0.0250029514	0.0568103347	-0.0558187505	-0.0226438358	0.0691265003	0.1639104059	0.0304880472	0.1118506951	0.0585205724	-0.0054462443	-0.0313162145	-0.0146868975	0.0031462993	0.0634338712	0.0116506378	-0.0748056198	-0.0530260328	0.0384237687	0.0063011063	-0.0201865686	0.030357236	-0.0160467124	0.0279544303	0.0621047024	0.0200463242	0.0143162823	-0.07029416	-0.0265330728	0.0718568178	0.0651378302	0.0200671021	-0.0652239364	0.1261587923	0.0355280089	-0.0401407313	0.0584741023	0.0451151742	-0.1084339852	0.111428119	0.0280479526	-0.1041357784	0.0845286801	-0.023836635	0.0210056811	0.0511203505	0.10071983	0.0167197215	0.0886290997	-0.1373874718	0.0389136398	-0.1806710418	0.1519113563	-0.0512325199	0.0762764554	0.1063567372	0.0329883688	0.0382475495	-0.0074904133	-0.0657293948	0.0148297997	-0.0929633031	0.0618253313	0.0437587671	0.1481311311	-0.0665636644	-0.0963050591	0.130100666	0.0374535393	0.0254527642	-0.0281879147	0.0090839716	-0.1147371601	0.020041341	0.0176006474	0.0353973349	-0.0113169843	-0.0383317175	-0.0269990468	0.0205758543	-0.0415833385	-0.030255456	-0.0440471124	-0.0913606607	-0.0891932452	0.0121464626	0.0555361449	-0.0275617642	-0.0094485553	0.0215470138	0.0487928227	0.0252356492	-0.0670867192	0.0585650528	-0.0452175242	0.1013623869	-0.0296198472	-0.0555324081	0.0263580849	-0.0088424597	0.0900046321	-0.0477108358	0.0953734553	0.0406517149	-0.2341103584	0.1571422398	0.0870361727	0.0109777143	-0.0856566005	0.0447823553	-0.0792564982	-0.0505088089	0.0325522034	0.0751515678	-0.023683082	0.0527500962	-0.0171126825	0.0181345627	0.0459192314	0.0362731183	0.0543103496	0.0510478287	-0.0528018551	-0.0530739469	-0.0404868267	-0.0631739645	-0.0527072467	0.0026492495	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	0.0306292	0.0040027999999999	0.00093814789264	1.602240783999998e-05	-0.0407801	-0.0085736	0.00166301655601	7.350661696000001e-05	-0.0819379999999999	0.0138513	0.0067138358439999	0.00019185851169	-0.00315053	0.00039813	9.9258392809e-06	1.585074969e-07	-0.00117155	-8.128999999999992e-05	1.3725294025e-06	6.608064099999987e-09	-0.0008161209999999	-0.0001165269999998	1.3578541728976693e-08	6.660534866408368e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.4388764689297	0.1727305282910833	0.0298358354037167	100133.56254091856	479.7532390047973	0.486777286875963	0.2369521270183235	230163.17033559416	316.9881103507634	0.3161584817025868	100481.46210374776	0.0999561855524849	344.7628914952876	302.12361233965714	0.999194	14.2133	0.0641959499999999	0.0308916	0.0395380254	0.0590410253	0.0790234354	-0.0220151878	-0.0152481582	-0.0283106791	0.0404630553	-0.0902969325	0.0270362506	-0.0402657922	-0.0590823773	-0.1680570438	0.046249516	-0.0435439251	-0.0668372683	-0.1071229781	-0.0175238048	0.0550753772	0.0257609894	0.0207217619	-0.0991934594	0.0703639118	-0.1496608054	0.0652416857	-0.0604262496	-0.0580748147	0.0501391061	0.0375268172	-0.1018178295	0.1658330337	0.0747829133	0.0788242668	-0.0370664812	0.0776451557	-0.0069562425	0.0114273817	-0.0084702751	-0.1143607819	-0.1235376727	-0.0612229407	-0.0751387869	-0.0282313294	-0.0681383728	0.0174481895	0.0244342905	0.0406095067	0.0645860561	0.0780898153	0.0662067523	0.0340528937	-0.119319229	-0.031938542	0.0003513146	0.0955163208	0.1163250074	0.0291562137	0.0182445281	0.1038204194	-0.0972151482	0.0187161958	-0.0154452012	-0.0825868987	-0.1042174751	0.0170135082	-0.0551097988	-0.1010641834	-0.0680359899	-0.0029581923	-0.0973555636	0.0331964907	-0.054707194	-0.071997366	0.0188671442	-0.0103187845	0.0313363156	0.0021421773	-0.0595290158	-0.0122485788	0.0675917193	-0.0440379042	-0.1198505311	-0.0599038383	0.028157885	-0.0439044823	0.0036292159	-0.0914699201	0.0628119593	0.0135574238	-0.042096929	-0.0097375029	-0.0633514859	0.0036043476	0.0375322567	0.0140413307	0.0751537237	-0.1091107503	0.0165581447	-0.089090186	0.0544398445	-0.1110850981	0.0250836152	0.0499237335	-0.0672431553	0.0582736206	0.0560031557	0.115104085	-0.0421168821	-0.0867953862	0.0675162635	-0.0411057141	0.0921791392	0.0035509306	-0.0061668435	0.0367473434	0.0750425198	0.1173279928	0.0473900861	0.0135313954	0.0003186785	-0.0194305779	-0.0517695321	0.1181210616	0.1860892442	-0.0776248043	-0.0141339048	0.0818025807	0.0347775844	-0.0321235058	-0.0851591598	0.0673082172	0.0280153451	0.1404417803	-0.0771969093	0.0071311717	0.0131061566	-0.0463593337	0.1260924045	-0.0497458755	-0.0992357352	0.0541149698	-0.0806129657	0.0694389395	0.0981847471	0.0532207237	-0.0161752957	-0.0163948867	-0.1044262228	-0.0803047351	0.0081608251	-0.092646657	-0.2076338933	0.1391824796	0.0624384447	-0.0268106742	0.0016832007	0.1202413928	-0.010977382	-0.0349160828	0.0274855896	0.0569049958	0.0174380144	0.0239853198	-0.0503296052	-0.0423615542	-0.0205020319	-0.0658572419	0.0223312203	0.0450701029	0.0399504752	-0.0618060138	0.0388103829	-0.0392042704	-0.0467129107	-0.1803777487	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	0.0283714	-0.0022577999999999	0.00080493633796	5.097660839999988e-06	-0.0535462	-0.0127661	0.00286719553444	0.00016297330921	-0.073663	0.0082749999999998	0.005426237569	6.847562499999823e-05	-0.0027523	0.0003982299999999	7.57515529e-06	1.585871328999999e-07	-0.00115271	1.8840000000000003e-05	1.3287403440999998e-06	3.5494560000000004e-10	-0.00041525	0.0004008709999999	1.6069755864091985e-07	1.724325625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.54427374980446	0.1053972808747403	0.0111085868157889	100200.27724379116	479.50280371102485	-0.2504352937724547	0.0627178363668957	229922.93876673363	316.9540069008791	-0.0341034498842987	100459.84249052253	0.0011630452940108	344.78857449993467	300.8573447677407	0.993125	14.126963	0.13458535	0.0774621999999999	0.0466109299	0.0043015842	0.0775080472	-0.0510596685	0.008718414	-0.064790901	0.0364420208	-0.0552559954	0.0731269266	0.0137214344	0.0472793837	-0.1806463647	-0.0794911426	-0.0524537185	0.153785251	-0.0234200825	-0.1459224563	0.0166430589	-0.011876353	-0.0029738121	-0.0660912944	0.0779293837	0.0073337475	0.0554163978	-0.0368621274	-0.0170720188	-0.0498609135	0.0417886139	0.1042194271	0.0300913112	-0.0947553598	0.016586844	-0.0097446416	-0.1427753644	-0.0093646661	-0.0011501906	0.039409842	-0.1003578935	-0.0931954505	-0.0376040494	0.0227844768	-0.0387507164	0.0244991131	-0.0877177581	0.0567057137	-0.0930109631	0.0518038403	-0.0574287799	-0.0808251169	-0.0620960751	-0.0796757031	0.0770401698	0.0119990461	0.0897474633	-0.0108116871	-0.0343233308	0.1104536086	-0.1176751102	0.090401534	-0.0815199912	-0.1176435894	0.0384443768	-0.0057812881	0.0375790657	-0.0245713061	-0.021345202	0.0366815941	-0.0139876365	0.04642495	0.1057255472	0.0679657512	-0.0646436416	-0.0470293017	0.0582905224	-0.0292833449	-0.1076025257	0.0139603562	-0.0292929277	0.0581165791	-0.1295154009	0.0197539389	-0.0900465576	0.0550282754	0.030414902	-0.018755443	-0.0367905224	-0.0513769343	-0.102541123	-0.0030595863	-0.0453249796	0.0304260635	-0.0250336017	0.0272007456	0.007086787	0.0838290985	-0.0321827029	0.0257994648	-0.0861763973	0.0998462815	-0.0612257417	0.0311114678	0.0808294446	0.0073370988	0.0235702677	-0.0517234753	0.0121422401	0.1318987671	-0.0325671601	0.0546067157	0.0105850738	-0.1262518784	0.0166300451	-0.0549157045	0.049622446	0.0005301164	-0.1068522724	0.0198088824	0.1784649488	-0.0950361911	-0.0686553113	0.1050037129	-0.0392899276	0.0335207595	0.123064314	0.0520119081	-0.0395106847	0.0872687797	0.0285353599	0.089161574	0.1013069358	0.0402500109	0.0631163772	-0.0673657165	0.0216815016	0.0484714366	-0.0563853715	-0.0593134324	-0.0625103878	0.0138266351	-0.0065109078	0.0422170328	-0.0161089185	0.1202949915	-0.0195649336	-0.0530592987	-0.058945204	0.0688724369	0.053308915	-0.0183953909	-0.0943151982	-0.1316367002	0.0463220372	0.0021091545	-0.033083324	-0.0150361343	0.1345519442	0.0067872703	-0.0023929029	-0.0372691523	-0.0251413936	0.0366792759	0.0001314396	0.0590798905	0.1007465083	0.0518238748	-0.2942584208	0.015648774	0.0587320482	-0.0295770503	0.0573678591	0.1761644465	-0.0182201084	0.0196096021	-0.2119209956	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	0.0194445	-0.0089269	0.00037808858025	7.968954361000002e-05	-0.0102179	0.0433283	0.00010440548041	0.00187734158089	-0.0813268	-0.0076637999999999	0.00661404839824	5.873383043999998e-05	-0.00165745	0.00109485	2.7471405025e-06	1.1986965225e-06	-0.000979266	0.000173444	9.58961898756e-07	3.008282113600001e-08	-0.000640283	-0.0002250329999999	5.063985108899999e-08	4.099623200889999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
