global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
319.0414621263907	n/a	n/a	101787.45455574518	489.121246874879	n/a	n/a	239239.5941444363	316.65092356634847	n/a	100267.80739542146	n/a	345.8424951379296	322.8980242269376	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-3.9405500000000004e-07	n/a	1.5527934302500004e-13	n/a	0.0238956	n/a	0.00057099969936	n/a	-0.017351	n/a	0.0003010572009999	n/a	0.000436898	n/a	1.9087986240400002e-07	n/a	-0.000233637	n/a	5.4586247769e-08	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.49859640376263	-1.5428657226280509	2.380434638060577	100805.35871835936	482.2930633027642	-6.828183572114767	46.62409089449798	232606.5989099641	315.8332095460936	-0.8177140202548685	99750.61625218666	0.6686562189213795	343.9606552205946	317.4624289780809	1.088539	15.942147	0.074808493945	0.0397658	-0.0561227114	-0.0467552167	-0.0111922827	0.0013347088	-0.0251039589	0.0776540227	0.1170377291	-0.0603120143	0.0463002736	-0.1209906907	0.0907167563	-0.1176462928	0.1609065686	-0.1189378496	0.1798081242	-0.1485437028	0.0362870285	-0.2621424093	0.0991771037	-0.0617528128	0.0442610236	-0.0326575989	0.0192346859	0.0948776218	-0.0922424322	0.0799190894	-0.1450999844	0.1808611628	-0.0934710291	0.0272101437	-0.0270732323	0.0603627516	-0.0648355558	0.1260920755	-0.0088464107	0.0437229704	-0.0203083296	0.0535453427	-0.0610144914	0.001532692	-0.0280019872	0.00958796	-0.0488596051	0.0843600984	-0.1610132707	0.051675544	-0.0038390241	0.035119639	0.2203791578	-0.0163431757	0.0776015715	-0.0321361782	0.0085487507	-0.1193982864	0.0564805676	-0.0854518726	0.074564806	-0.1059190568	0.048052896	-0.1491792769	0.0042690912	-0.0155190481	0.044526062	-0.0346462913	0.0714382561	-0.0991822503	0.0019129944	0.0297871513	-0.0770376084	-0.1066781416	0.1581839044	-0.0009035937	-0.0828937211	0.0135391922	0.0068959743	-0.0527161532	0.0216121814	0.0247501931	0.0093308916	-0.0028077815	-0.0340422007	0.0615523114	0.0325908032	-0.0532904938	-0.0034368053	-0.0930472072	0.041128115	-0.0076278475	-0.0144041069	-0.0178788464	-0.0424219792	0.1241273049	0.1294220904	-0.213092252	0.1057134589	-0.090983998	-0.0206880947	0.0382629086	-0.0109395315	0.0945567716	-0.0622099138	0.0434201104	0.1405185352	-0.1272686644	0.0809842901	-0.0664102838	0.0170546899	-0.1325327452	0.1054019077	-0.0437583724	0.0538541332	-0.114429468	0.0247473797	-0.0048633282	0.0500665708	-0.0910606412	0.0482897832	-0.002758411	0.0642502498	-0.2025748093	0.1108205521	-0.0762434195	0.0160292412	-0.0187094944	0.0573730155	-0.1316680834	0.0515999682	-0.163716231	-0.0314427588	0.0564303539	0.0110244017	-0.0485895284	-0.0236271731	0.0951990875	0.0368951088	-0.0618216131	0.0793786792	0.0479378402	-0.0820170438	0.0973755845	0.0012482676	0.0123499498	0.2259139199	-0.0722686124	-0.0075655652	0.0988021619	0.1288441202	-0.0430718412	-0.0107840634	-0.0006306951	-0.0813959395	0.0005712144	0.0745544191	-0.1123635485	-0.0277063888	-0.0196391259	-0.0248243254	0.0540326914	-0.0712648609	0.0106973474	-0.0890084683	0.0295258289	-0.0519443317	0.0583843183	-0.0026081998	0.0113657804	-0.0639233083	0.0823258864	-0.0509283884	0.0421385379	-0.0626221243	0.1249811751	-0.109884714	0.1227237873	-0.0490950862	0.0378619363	-0.0146525277	0.0339465009	-0.0126679132	0.0899849049	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	1.06689e-06	1.460945e-06	1.1382542721e-12	2.134360293025e-12	0.000540267	-0.023355333	2.91888431289e-07	0.0005454715795408	0.0135476	0.0308986	0.00018353746576	0.0009547234819599	0.000575442	0.000138544	3.31133495364e-07	1.9194439936e-08	-0.000168208	6.542899999999999e-05	2.829393126400001e-08	4.2809540409999985e-09	-0.000207089	-0.000207089	4.2885853921e-08	4.2885853921e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.13079857754576	-0.3677978262168722	0.1352752409698565	100571.9434064319	480.9763525509649	-1.3167107517992918	1.733727203903856	231338.2517132301	315.9087174090721	0.0755078629784975	99798.31773504496	0.0057014373715795	343.5949715053941	317.7305706376055	0.8945189999999998	13.100632	0.0863144627499999	0.052983	-0.0648839707	-0.0258244432	0.0053291787	-0.0027038947	-0.0371993947	0.0576334898	0.0509243453	-0.033353457	0.0412649894	0.014053973	0.1077960303	0.0564833683	0.0718183149	-0.1104064917	0.182750028	-0.153756014	0.0348199745	-0.0673946531	-0.0192193561	-0.0492087781	-0.0111913143	-0.0282333344	0.0087172767	-0.0181862976	-0.0302469927	-0.0482723645	-0.0252418598	-0.1227791402	0.0966223554	-0.0304416643	0.007825087	0.0405371257	-0.1829827768	0.0865298383	-0.0505543917	0.0309564026	-0.0131562213	0.0268989904	0.0050519208	0.0199766054	0.0774104635	0.0618391805	0.107107945	-0.1054434416	0.0708031784	-0.0371508522	0.0873849652	-0.0529528393	0.0956696335	0.0288425042	0.0529304405	0.1146561397	0.1157789091	-0.1233789921	-0.0249059119	0.0603547134	0.0276907754	-0.0646833425	-0.0453580861	0.057687935	-0.0447779856	-0.0317453179	0.05589906	0.0569515983	-0.0043246276	0.1647006752	-0.0336034854	0.0716397434	0.0105844598	0.0349483265	-0.0228673873	-0.0484715683	-0.0893920796	-0.0492220167	-0.1141036194	0.083366404	0.028737235	-0.0584052847	0.087319648	-0.0427737885	-0.1336201129	0.0196848977	-0.0821378731	-0.0308381431	-0.0205974797	0.0515858434	0.0759610355	0.0169240276	0.049400724	0.0042751111	0.0505753532	-0.0655950039	-0.0471515275	-0.0308582674	0.0674563094	-0.0638219127	-0.0549101925	-0.032859019	0.0625248958	-0.0154636995	-0.0168166167	0.0740913425	0.0542491034	-0.0983218845	0.1498091336	0.1374430467	0.0919335084	0.0473143376	0.0311219331	-0.042680582	0.0267228503	0.1138882529	0.028690585	0.0461442198	-0.055696193	0.0742312553	-0.0374442299	-0.0413820507	0.0164880646	-0.1466544577	0.0093892278	-0.0964003932	-0.0601642973	-0.1297679067	0.0913413288	-0.0233929738	-0.0124563535	0.0733903521	0.0671847802	0.0361637134	0.0231336775	-0.0533684636	-0.017190996	-0.0005206952	-0.0017462166	-0.1305890471	0.0173704572	-0.0085694762	0.0220884649	-0.0526650028	0.1032123979	-0.052668044	0.0128330002	-0.0182599647	-0.0486181347	0.020566962	-0.0961769689	-0.0169468757	-0.0167036226	0.0899763684	0.0984086172	-0.184676149	-0.0203284303	-0.0278596758	-0.0023121423	0.0592108652	-0.0625904411	0.1033183898	-0.039154124	0.0124111653	-0.0478858605	-0.0587071045	0.09210337	0.0254296457	0.0048230733	-0.0226876198	-0.0784921631	0.1403477191	0.0079050824	0.0375616253	-0.1180174673	0.0737368138	-0.0702153327	0.1083563103	-0.0925566738	0.1037457127	-0.0260858726	-0.0055484891	-0.0120215788	0.0615356371	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	9.84664e-06	8.77975e-06	9.69563192896e-11	7.70840100625e-11	0.0231733	0.022633033	0.00053700183289	0.000512254182779	0.016072	0.0025243999999999	0.000258309184	6.372595359999998e-06	-0.000336457	-0.000911899	1.1320331284900001e-07	8.315597862010001e-07	-0.00044147	-0.000273262	1.948957609e-07	7.467212064400003e-08	-0.000169285	3.7804000000000006e-05	1.4291424160000006e-09	2.8657411225e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.0752308450234	-0.0555677325223769	0.0030877728976784	100536.70201542487	480.4560653030995	-0.5202872478654399	0.2706988202913937	230838.0306865362	315.7719963679188	-0.1367210411532937	99711.95369018092	0.0186926430940406	343.5903642765284	316.75376098888324	0.884251	12.950253	0.055027708494	0.0311165	-0.0832601431	-0.0081188634	-0.0062104907	-0.0020808035	0.0075325999	0.0711641657	0.063312435	-0.0045318158	0.0588696962	-0.0629620049	0.0123891994	0.0044084758	0.0594996658	0.0147939834	0.0468071317	-0.0677870271	-0.0892641844	0.065792212	-0.0769040954	0.1863213977	0.0587718153	0.0090848819	-0.0677634884	-0.1890716332	-0.0388006131	0.012121517	-0.0205284195	0.0932032865	0.068581358	0.056068889	0.0675205237	-0.0462830972	0.0617585463	0.1635110074	0.0092328389	-0.0533740993	-0.0082901441	0.0583164507	-0.0112099606	0.0218381206	-0.0175114268	0.0527276592	-0.0133216541	-0.0593599102	-0.0352582459	-0.0720874717	0.0676554347	-0.0152646925	0.0234255547	0.0232234883	0.0280094158	0.0096254124	0.1411718936	-0.0092611327	-0.0309056491	0.1449366796	0.0756639832	0.0442675379	-0.0511169404	0.0299177621	0.0282572715	-0.0852467501	-0.0676517985	0.0301627057	-0.1170379903	0.0722307812	-0.0620530362	0.0230164904	0.0317347019	0.0471576989	-0.0146997238	-0.0325592725	0.0107220989	0.0183430811	0.090337791	-0.0343029619	0.08920759	-0.0496998329	-0.0872429088	0.1217782894	-0.1213150044	-0.04801728	0.1130138278	-0.0912083677	0.0819149661	0.0108883084	0.1482974992	-0.2120732534	-0.0418845687	0.0086556298	-0.0753224269	0.001157763	0.0016203083	0.0400449354	-0.083298722	-0.0627904694	-0.0476867154	-0.0140828919	0.0070992531	0.0700151781	-0.0514347059	0.0893063693	-0.0010817749	0.005014647	0.0280033888	0.0579154257	-0.0350503177	-0.0164165888	0.0558708107	-0.0431516122	0.0212949413	0.0830242987	-0.0287257968	-0.0365534394	-0.0417781447	0.0456672589	-0.0581339946	-0.12607927	0.0066029236	0.0597955199	0.038149958	-0.0349567061	-0.0303801425	-0.1423744141	0.0899998961	0.0807385318	0.1013203359	0.0155485859	0.1136374682	-0.013397856	0.0503631533	0.0007390845	0.0853543234	-0.0699739087	-0.0696291921	0.0008671451	-0.0002914791	-0.0112452067	0.0075241956	-0.034834943	-0.0542094151	0.1107052701	-0.1262447977	0.0607563429	0.0159772511	0.0455450721	0.0395462336	0.0669685832	-0.0142382746	0.0658397515	-0.0101841597	0.0337057816	-0.2133560405	0.059532935	-0.2020103305	0.09015174	-0.0527440696	0.0760350319	0.0029687909	-0.0761185951	-0.086547914	0.0132391364	-0.0540863645	0.0698304151	0.0230319053	-0.003814553	-0.0773950433	0.0748727837	-0.0132863938	0.0009228136	-0.1161930022	0.0310348813	-0.0897584673	0.1029515591	-0.1158693669	0.0665767936	-0.0299441542	-0.0241407011	-0.0501396353	0.0233413172	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	9.38146e-07	-8.908494e-06	8.801179173159999e-13	7.9361265348036e-11	0.0231041	-6.92000000000019e-05	0.0005337994368099	4.788640000000263e-09	0.0356805	0.0196084999999999	0.0012730980802499	0.0003844932722499	0.000185055	0.000521512	3.4245353024999995e-08	2.71974766144e-07	-0.000364292	7.717800000000001e-05	1.32708661264e-07	5.956443684000002e-09	-0.000277417	-0.000108132	1.1692529424000005e-08	7.696019188900003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.7074268298785	-0.367804015144884	0.135279793556698	100303.59420920284	480.362790909685	-0.0932743934145037	0.0087001124668436	230748.4108905417	315.6249280066995	-0.1470683612192829	99619.09517923424	0.0216291028717254	343.4058499868094	318.75781009180565	1.052138	15.409037	0.0175288571239999	0.0109381	-0.0824851065	0.0225051611	0.0012946413	-0.0441138124	0.0267562764	0.0520292674	0.0742636605	-0.0392201004	0.0814487159	0.024150909	-0.0140459134	0.0799179059	0.0857414856	-0.0896092262	0.0146182023	-0.0370750934	0.0670425822	-0.0043292715	0.0187289453	-0.0499957895	-0.0475385625	0.0752484992	-0.1141888807	-0.0747619457	0.0121097357	-0.0176732633	-0.0500255931	-0.0012158986	-0.0064508781	-0.0745692001	-0.0008147996	-0.0050759615	0.0157998977	-0.0857390537	0.026450902	-0.0720924036	0.0064474268	0.063726491	0.0570790255	0.0168575404	0.0602205846	0.0717457591	-0.040131601	-0.0336604419	0.0124129978	-0.0395959367	-0.0698528341	-0.1174074025	0.0572028666	0.0435385663	0.0472121817	0.0965282051	0.1416382294	-0.0271603188	-0.0016643982	0.046897658	-0.1073960071	-0.0213117375	-0.0382513388	0.0851974401	0.0119635225	-0.0090917559	-0.1362505076	-0.0953896422	0.076776734	0.0531030408	0.0063812717	0.0165927656	-0.0023498876	-0.0634632267	0.1387070256	-0.0601278983	-0.0346438957	0.1038422363	0.0489605537	2.12533e-05	0.00480051	-0.0053930111	-0.0369894253	0.0257570574	0.0082417331	-0.0643538943	0.0824555535	0.1217293094	-0.0134670216	-0.0699086646	-0.0861910758	-0.0225775541	-0.0122646658	0.0060484584	-0.0348922799	0.0092055557	0.0567521907	-0.0925134224	-0.0036036572	-0.0753584688	-0.0374264108	-0.1154121594	0.0498071304	-0.0592647927	-0.0545772604	0.0059367256	0.1070277457	-0.0888634569	0.0687650324	0.0666773145	-0.0510917875	0.0699906849	-0.0060101941	-0.0427827863	0.0932893723	0.1493194602	-0.0671298691	0.0602823135	0.0670057693	0.0261530396	-4.93964e-05	-0.0657496558	0.0635653041	-0.0390953532	-0.0280946352	0.0769814617	0.0869507086	0.0244066358	0.014354012	-0.0220018622	-0.0702639907	0.011767199	0.0643273538	0.0162154096	0.1029053363	-0.0022205358	-0.0540206271	-0.0101544492	-0.0705329615	-0.0775527211	-0.0693157238	0.0691035662	0.1166581244	0.1364602715	0.0195977516	0.1086400355	-0.0165155952	-0.0090656321	-0.0343068422	-0.0037777986	0.0401262947	0.0150636623	0.0712069557	-0.0384359576	0.0266487279	0.1210597983	0.0439042707	-0.0113614264	-0.064579967	-0.129413015	-0.0616781683	0.1063323996	0.003986175	0.0447240006	-0.0544402582	-0.0095551276	0.0506278773	0.0285995883	-0.0700679287	0.0449235375	-0.0501878537	0.0290635826	-0.0021156703	0.018557313	-0.108590439	-0.0044392456	-0.0978268588	0.0999724663	-0.1370188676	0.0083954369	-0.045276322	0.0276909001	-0.046024977	0.0121010724	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	4.64527e-06	3.707124e-06	2.15785333729e-11	1.3742768351375998e-11	0.0233012	0.0001971	0.00054294592144	3.884841000000085e-08	0.0260679	-0.0096125999999999	0.00067953541041	9.24020787599999e-05	0.000215757	3.070199999999999e-05	4.6551083049e-08	9.426128039999995e-10	-0.000441471	-7.717899999999997e-05	1.94896643841e-07	5.956598040999996e-09	-0.000230989	4.642800000000002e-05	2.1555591840000023e-09	5.3355918121e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.2685920454896	-0.4388347843889164	0.1925759679896667	100025.82231443631	479.65274677213705	-0.710044137547925	0.5041626772661766	230066.75748605584	315.7813133096894	0.1563853029898609	99717.8378355922	0.0244563629912306	343.53381516551246	314.401717512112	1.041178	15.24853	0.05510632769	0.0303296	-0.0514231563	0.0277314168	0.0682312574	-0.0163797542	0.0556414073	0.0557420569	-0.0181004011	-0.0716410013	0.0548760736	-0.0149057324	-0.0418077576	-0.0444804464	-0.0202422063	0.1224630807	0.0751424925	-0.0844701289	0.1545629088	0.0856199574	0.0610838498	-0.0205958911	-0.085878808	0.045748287	-0.0661403249	0.1440710405	-0.0729098456	0.0021269058	0.1138991119	0.1484000038	-0.0051801626	-0.1834262897	0.1038749042	0.0277315503	0.1103095054	-0.0272455206	-0.1653077449	0.0129408698	0.0061597928	0.0485908213	0.0243722827	0.027713352	0.0422748155	0.0989109211	0.0186930891	0.0625609754	-0.017979558	-0.05179427	0.023432078	-0.0411014928	0.0363876895	0.0552380149	-0.0617315962	0.0946771126	0.0541934004	0.075852633	-0.031743002	0.0840525517	-0.0700780065	-0.0290386054	-0.0570320351	-0.0705464748	0.0710922698	0.0279992339	-0.0154166059	-0.0260691639	0.0977838485	-0.0332211895	-0.0353133814	0.0227106117	-0.1031071761	-0.0396614258	0.065285268	0.0926329403	-0.0210164412	-0.0488318823	0.0097839161	0.033350963	-0.021686326	0.0268011821	-0.0400369158	-0.0817316157	-0.0354196444	0.0674991735	-0.0276963359	0.0561182088	-0.0274823785	-0.008490737	-0.0298408245	0.115181529	0.0924631442	-0.024869791	-0.044303509	-0.0163484107	-0.0594425763	-0.0371435939	-0.0168973257	-0.0647817147	-0.0440091036	-0.0611273096	-0.0065428975	0.0367720638	-0.0412874531	0.1310557658	0.0208222962	0.0291219283	0.1205149876	0.0047298524	0.0425053421	-0.0066914855	-0.003232357	0.0063342514	0.0653478195	0.0355712334	0.0757115565	0.0417828615	0.0538598234	-0.00644241	0.0022842451	-0.0676918857	0.0479908344	0.0658168061	-0.0487477208	0.0568554197	-0.0978777013	0.0082572541	0.0230585209	-0.0491179991	0.0092817779	0.0048296438	-0.0118011336	0.0204417135	0.0593175346	0.0355199185	-0.0541068356	0.1136753597	-0.071824853	0.0793368713	-0.1317780816	-0.0287429153	-0.0141315108	0.0312695605	0.0902681571	-0.053291385	0.1034522065	0.008670579	0.0134938533	-0.1740812759	0.0597110877	-0.0129885394	0.0234839767	-0.0536552771	0.0374981921	0.1023164414	-0.0946531408	-0.0095307776	0.0563820325	-0.0404368654	-0.040316775	0.0612701192	0.0633584063	-0.1315447891	-0.0743803974	-0.0212198085	-0.0430791929	-0.001825671	0.0018485646	0.0018380392	-0.0336720171	0.0323416483	0.0239119194	-0.0175467147	-0.0796058183	-0.0061137071	-0.0978075717	0.0708705255	-0.1393546903	0.0540936015	-0.0725690273	-0.0483945652	-0.0458198943	-0.0530815808	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	9.97296e-06	5.32769e-06	9.94599311616e-11	2.83842807361e-11	0.0374106	0.0141094	0.00139955299236	0.00019907516836	0.0500171	0.0239492	0.00250171029241	0.00057356418064	0.000325616	0.0001098589999999	1.06025779456e-07	1.2068999881e-08	-0.000441471	0.0	1.94896643841e-07	0.0	0.0	0.000230989	5.3355918121e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.14092462743645	-0.1276674180531358	0.0162989696323541	99945.08422429043	480.131999032756	0.4792522606189777	0.2296827293084005	230526.73649519045	315.9240424721713	0.1427291624819417	99808.00061195833	0.0203716138227965	343.4742186902032	310.5621604432779	1.005397	14.724498	0.04661734972	0.0278659	-0.049212102	0.0619671992	0.1262174461	-0.0347467593	0.0632254437	0.0099137648	0.0515655081	-0.1161081963	0.0480190416	0.0475379065	0.0320716209	0.0926475116	0.0492393692	-0.0219015768	-0.0086789019	0.0856192295	-0.0563749321	0.0007890121	0.1132229847	-0.0346753512	-0.0956075406	-0.0097786606	0.0151286152	-0.0036652846	0.1099112317	-0.0427972268	0.05384645	0.0041256049	-0.0011031011	0.0106330963	0.0440425221	0.0801064075	-0.0920175065	-0.1867845862	0.0643239538	0.0864363115	-0.0734197061	0.0285771166	0.1120062578	0.0199706596	0.0165522056	-0.0973321739	0.0402728903	0.0863769511	-0.0659991114	-0.0767141275	-0.0021633103	0.0517961825	-0.0635826508	-0.1105884788	-0.0779459708	0.105365457	-0.053461096	-0.0800416884	-0.1387293334	-0.018833556	0.0798475382	0.0342673907	0.060376091	-0.0046062797	0.0133529399	-0.0062940958	-0.0253173716	0.0739324264	-0.0702882874	0.0201906965	-0.0497791238	0.0014676157	0.0783524104	0.0179174617	-0.0205685532	-0.0553216724	0.0083519051	-0.0168352559	0.0923815952	0.0041092776	-0.017783813	-0.0474432072	0.0381657319	0.0536749272	0.0982837388	-0.0313680562	-0.1215214183	-0.0412777081	0.0466790098	0.00532281	-0.0275938947	-0.1518843064	-0.0362402342	-0.0445627039	0.0622870673	0.0425610622	-0.101719651	0.1209923664	0.1323013359	-0.0491449295	0.0544369667	-0.1041832617	0.0405931162	-0.0089425031	-0.0162353988	-0.0582574451	0.0476454339	-0.0292618846	0.0248690553	-0.071535553	-0.0071378704	-0.0730097936	0.0647891031	0.087081134	-0.0621322403	-0.0261146922	-0.0366973036	0.0620350763	-0.1294080146	0.1077748763	0.0201175796	0.0329427468	0.098434516	0.0948143097	0.1081278349	-0.0082884563	-0.0484903133	-0.025811308	-0.0481258684	-0.0560605892	0.0267168937	-4.84141e-05	-0.0328488514	-0.0400502675	-0.0199966672	0.0528301974	-0.0550095597	0.131998013	-0.0720523951	0.0013894975	0.1429185939	-0.0402560354	0.0053063778	-0.0655674565	-0.0707486791	0.0382993298	-0.045305208	0.0878174251	0.0100583737	0.205944413	0.0110837371	0.0978039343	-0.0174480891	0.1047496041	-0.0147658787	-0.1592229402	0.0293337913	0.1650552221	0.0205657439	1.72522e-05	-0.053892743	0.1018630414	0.0413634892	0.0941655156	-0.030065027	-0.0347707448	-0.0185243038	-0.0205268947	-0.0661883723	0.0086644331	-0.0907282879	0.0243120155	-0.0153796249	-0.0338706224	-0.0646214256	-0.1070114993	-0.1020870365	-0.0415139249	-0.0840359978	0.0377854002	0.0513625219	-0.0244364171	-0.0743835804	0.0466422751	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	4.82324e-06	-5.14972e-06	2.32636440976e-11	2.6519616078399998e-11	0.0233047	-0.0141059	0.00054310904209	0.00019897641481	0.0365341	-0.013483	0.00133474046281	0.000181791289	0.000325616	0.0	1.06025779456e-07	0.0	-0.000441471	0.0	1.94896643841e-07	0.0	-0.000380466	-0.000380466	1.4475437715599998e-07	1.4475437715599998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
