global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
305.3163216666663	n/a	93218.05627606325	n/a	444.7333970630718	n/a	197787.79446325987	n/a	308.6348633634262	n/a	n/a	95255.47888336076	326.9020826345549	299.2461447914441	n/a	n/a	n/a	n/a	-0.1453092803	-0.0457103731	-0.0454187907	0.0926345589	-0.1808161851	-0.0100925208	-0.1537006588	0.1013079765	-0.2620135541	0.2381291002	-0.2210988236	0.1301078702	-0.0550163934	-0.0475883274	0.1679790655	-0.0877578724	-0.1188598969	0.0271358635	-0.0205851066	0.1472560039	-0.0142794951	0.0372670863	0.0727197184	-0.0566129931	0.054324016	-0.0262805889	0.0064538641	-0.0254261648	0.0015937121	-0.0466974421	0.117282339	-0.0288860156	0.0225363206	-0.0401826967	0.0924389656	-0.0901405895	0.0457568513	-0.0343490746	0.0743130567	-0.0231553683	0.0072013311	0.0323984299	-0.1503116121	0.0384584777	-0.0111205263	-0.0050715393	0.0302472931	-0.0945372826	0.0555720736	-0.0519895489	-0.0065888283	-0.1279299072	0.0368897065	0.1059934656	-0.0425746087	-0.0180305531	0.0196811227	0.0310275419	-0.136976834	-0.0115727484	0.1017692825	-0.1102885904	-0.0929987761	-0.0270970649	-0.0059245854	0.0494832476	0.0203494821	-0.0066974664	-0.0974220892	0.1713930729	0.0673476954	-0.2976217379	0.1222373569	-0.160087607	0.1602263759	-0.0457575119	0.0178602447	-0.0730816385	0.0481732684	-0.0122446678	0.0479558341	-0.0023644371	0.0489742762	-0.0447887677	0.1155213302	-0.0242589881	0.0306595317	-0.0732461838	0.1175899547	-0.1397537575	0.0064379975	-0.0036852114	0.0479689609	-0.2088431542	0.022165367	-0.0557460823	0.0298502592	-0.0341970707	0.0509797534	-0.0179468764	0.000492911	0.0363052537	-0.0727863545	0.1380490257	0.0378430179	-0.1279379646	-0.0284826202	-0.1355738955	0.0611662874	-0.0584540476	-0.0732239117	0.1918601673	-0.1268051717	0.0839127585	0.0523554749	0.0543540213	-0.0071451543	-0.0297209499	-0.0273378784	-0.0732226596	0.0434762424	0.0694925195	-0.0205518542	-0.1049334265	0.05240915	0.1492340751	-0.0601194101	0.0258434285	-0.1128360174	0.0882234029	-0.0075434632	0.0917424204	-0.0926041645	0.0935066796	-0.2064593827	0.1323519827	-0.1016781246	0.0486144203	-0.1561676495	0.1330801932	-0.0313351608	0.0767720013	-0.0062673853	0.0188379376	-0.1260422753	0.1376589992	-0.0249694432	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.049921	n/a	n/a	0.002492106241	-0.0256111	n/a	n/a	0.00065592844321	-0.149484	n/a	0.022345466256	n/a	0.00112954	n/a	n/a	1.2758606116e-06	0.000152222	n/a	2.3171537284e-08	n/a	-0.000438535	n/a	1.92312946225e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0
303.61282276124	-1.7034989054262724	92180.74614504814	2.901908520788508	438.8629431383156	-5.870453924756191	192600.6828600244	34.46222928268537	308.1162081160933	-0.5186552473329016	0.2690032655859533	94935.59770383972	325.53099797307505	287.03353308762115	1.436727	21.504642	0.0758195298	0.0374772	0.0177106829	-0.1064183338	0.0072334024	0.1805383855	-0.0097113945	-0.007783373	0.0045622157	0.0046800857	-0.2507045961	0.0296853302	-0.1534938374	-0.0644153978	-0.0469577444	-0.1599107756	0.055712791	0.0698121227	-0.0940201052	0.0342282946	-0.0011687912	0.0013192652	0.0154280407	0.0379544058	0.0038747476	-0.0192337522	-0.0217169899	-0.1218703054	0.0113423872	0.1085796304	0.1779984646	-0.030056989	0.0029027215	0.0272474436	0.054699893	0.0066324979	-0.0431669959	-0.0564808489	0.0673424669	0.0164266091	0.0640969449	-0.0907606933	0.0313843275	0.005715069	0.0519443076	-0.0055145696	0.1053061254	0.002242321	0.0541317773	-0.0085086659	0.0878593726	0.0452557467	0.0717154766	-0.0286574556	-0.0127225473	-0.0589275888	-0.1098092948	0.055692392	0.0786001368	0.028105094	-0.0013461539	-0.0841064903	-0.015374326	0.0876434497	-0.0056944464	0.033262383	0.0273698137	-0.0141721657	0.0526464442	-0.0057763503	-0.0124210741	0.1424316944	-0.1051440951	-0.1503306921	0.1421190335	-0.0823583031	0.0162750396	-0.1752148413	0.0295832788	-0.0001595328	0.0189263667	0.0538263119	-0.1108398804	0.117678588	0.0809643706	-0.070189472	0.0801204821	0.0493421373	0.0795353056	-0.0508080862	-0.0348778009	0.0099957724	0.0100905718	0.1391288462	-0.0390621271	0.022655994	0.0262043661	-0.0610350525	0.0429427717	0.0001258164	0.0032505242	-0.0263778238	0.0053452495	0.0880090635	0.051833396	0.0793631581	0.0380900302	0.0324688099	0.0415926327	-0.01274811	0.0252559052	-0.0834766021	0.0617820925	-0.0222155372	-0.0037908932	-0.09801464	0.0111548226	0.0827497513	0.0480490424	0.0379656801	0.1005076045	-0.0395136315	-0.0067099319	0.0713828094	-0.0585231951	-0.0849913855	0.1105429365	0.0307455236	-0.1084709924	0.0546482614	-0.0585496903	0.1508150528	-0.0679723099	0.0594396114	-0.0911225903	0.0327814192	-0.1738649668	0.0276726298	-0.0693764329	0.0822764845	-0.041679008	0.1271319887	-0.0367609898	0.041222272	-0.0107842142	-0.0467465412	-0.0736030128	0.0193519499	-0.100962058	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0498923	2.869999999999956e-05	8.236899999999746e-10	0.00248924159929	-7.45702e-05	0.0255365298	0.0006521143542262	5.56071472804e-09	-0.134578	0.014906	0.018111238084	0.000222188836	0.0007402739999999	-0.0003892660000001	1.515280187560779e-07	5.48005595075852e-07	0.000413184	0.000260962	1.7072101785599997e-07	6.8101165444e-08	-0.000495273	-5.673799999999997e-05	2.45295344529e-07	3.2192006439999966e-09	0.0	0.0	0.0	0.0	0.0	0.0
303.20619625089296	-0.4066265103470527	91933.997444935	0.1653451189170218	437.7999641595232	-1.062978978792387	191668.80861807975	1.1299243093545055	307.9372569894024	-0.1789511266908903	0.032023505743939	94825.35424215723	325.04513678933944	279.66953814059104	1.167751	17.478664	0.0966656202	0.0555726	0.0920952252	-0.0345660891	0.0587686056	0.00615507	0.0802963238	-0.0238610059	0.0895705525	0.0759980209	-0.0595668699	-0.0048021958	-0.1032681402	0.1056587157	-0.0636021295	-0.12216254	-0.085280579	0.0852645317	-0.0747078127	0.0797577666	-0.1264967756	0.0670089721	0.0047946553	0.0386629419	-0.0591408493	0.0206299139	0.0065078619	0.0516542941	-0.1569284694	-0.0861189528	-0.0386042024	0.0819775389	-0.0265241151	0.1886830894	-0.0004068965	0.0252049521	-0.0020953607	0.0096801061	-0.0977201097	0.14856416	-0.0664446719	-0.0777654325	0.0158561454	0.0024014829	0.0115320026	-0.0110917031	0.0229205349	-0.0771626681	-0.0291475021	0.2006728616	-0.0405608242	0.0481571715	-0.0189805323	0.0079979978	0.1427826362	0.0290341493	-0.0238094645	-0.0192072512	-0.0699721061	-0.0314636481	0.015419448	-0.1188141357	0.0552696082	-0.0706973226	-0.0198416052	-0.0700143205	-0.0539416059	-0.0096232947	0.0769506183	0.0153967347	-0.0205558992	0.017198654	-0.1065179204	0.0120285102	0.2087692442	0.0106860784	0.0073541044	-0.0885571868	0.0310688986	-0.0908228022	-0.0446007261	-0.0392254743	-0.0003748035	0.0291444915	-0.0964313363	0.1086579031	0.0001473254	0.0603697432	-0.0343861755	0.0672129128	0.0484161389	0.0085773992	-0.0120411223	0.0484387122	0.0658382658	-0.0205715512	0.0922339928	0.0323505843	-0.1341091174	0.0956360837	-0.0192370244	-0.0124252026	0.1293739328	-0.1585136358	0.0964158548	-0.1527052602	-0.0659694135	0.0809562131	-0.0098399627	0.1013786325	-0.0260023535	0.0610912477	0.085708188	-0.0356488035	0.0244447005	-0.0787746977	0.0337580107	-0.0033432311	0.0801485085	-0.1100208823	-0.0059514254	-0.0045491764	-0.0826178109	-0.056924501	0.0893298973	-0.0410588109	0.1142071907	-0.0408994141	-0.0501068802	0.0523390951	-0.0289500898	0.2037029237	-0.1055070746	-0.0055626102	-0.0167751187	0.0034312431	-0.0837310563	-0.0513218833	-0.0960599001	0.0111068139	-0.063196365	0.0871889007	-0.0671931632	-0.0598945293	0.077669528	0.0052006403	-0.0609787726	0.0016409552	-0.0631762336	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.049933	-4.069999999999768e-05	1.6564899999998111e-09	0.002493304489	0.0354919	0.0355664702	0.0012649738024874	0.00125967496561	-0.097645	0.036933	0.009534546025	0.001364046489	0.0007528609999999	1.2586999999999991e-05	1.5843256899999984e-10	5.667996853208495e-07	-4.754610000000001e-23	-0.000413184	2.260631625210001e-45	1.7072101785599997e-07	-0.000438535	5.673799999999997e-05	1.92312946225e-07	3.2192006439999966e-09	0.0	0.0	0.0	0.0	0.0	0.0
304.2508931389087	1.0446968880157217	92568.60597582362	1.091391587829733	437.48680130907553	-0.313162850447668	191394.70131964653	0.0980709709005084	308.52406635990786	0.5868093705054775	0.3443452373130348	95187.09952325284	325.2848929171536	277.82910655298383	1.066942	15.969768	0.0772067	0.034702	0.1091489017	0.0126921857	0.0225002239	-0.062040474	0.0935795041	0.0312347352	0.0886061547	-0.0359343805	-0.0133187691	0.0648914779	-0.0143478771	0.1312531188	0.0218856333	-0.0676620267	-0.0050551674	0.1370332434	-0.0823895403	0.118461839	0.0309592991	0.1032536791	0.0671477239	-0.1255133882	-0.0579477769	-0.0132643886	-0.0189698042	0.1204808111	-0.0129105141	-0.1749470413	-0.0527712149	-0.1324019871	0.0870653203	0.0188496974	0.0077498308	-0.0884215125	-0.1048100396	-0.0081847101	0.0771620763	-0.0994033031	-0.0700775329	0.045177671	0.0645952382	0.0109274399	-0.0343632968	-0.078687413	-0.0589910199	0.0109887685	0.0172465051	-0.0303285448	-0.0384530401	-0.0706536429	0.1510780692	0.08159387	0.0320696914	-0.0675951954	0.1598779391	-0.0005788126	-0.1114995961	-0.0646199922	-0.0639801695	0.1103707386	-0.0356316934	0.0614686684	0.0780194171	0.0166300594	-0.0118816454	0.0793961182	-0.030674272	-0.0876820159	0.0236552847	-0.0877266001	-0.0994640571	0.0657153701	0.1480571614	-0.0686254869	0.0008647944	0.0858798911	0.0608660265	-0.0723017272	-0.1086315082	-0.1480088207	0.0979141093	-0.0319404006	-0.103857385	0.1677106473	-0.0171141097	-0.155661762	-0.0880351359	0.0208820614	-0.1576422342	-0.0246192233	-0.0197651426	-0.1030557373	-0.035404072	-0.0766830138	0.018471912	0.0624252173	-0.0601142473	-0.0638423344	-0.1376318689	-0.0481658616	0.0956087469	0.0448026631	0.01549857	0.1560878235	0.0467723712	-0.0281400932	-0.0628354338	-0.0206739925	-0.0565186627	-0.1034293092	-0.0702332585	-0.1148150956	-0.0418279047	0.037856927	0.0734272875	-0.0290248817	-0.1165185986	0.0176160058	0.0281695309	0.1080983469	0.0295437666	0.0280915376	-0.0287982469	0.0191710668	0.093775831	-0.0422390965	-0.02799971	0.0328731519	0.0382082994	0.220033555	-0.092838378	-0.0063751909	0.1230203254	0.037390299	0.0287720783	-0.1065189848	-0.0011289267	0.00684918	-0.1287143633	-0.0234711401	-0.018002459	-0.0111826539	0.0864574031	-0.023954331	-0.0070630881	-0.0326021914	-0.0067769537	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0390495	0.0108834999999999	0.0001184505722499	0.00152486345025	0.0566754	0.0211835	0.00044874067225	0.00321210096516	-0.0784669999999999	0.019178	0.0061570700889999	0.000367795684	0.000497139	-0.0002557219999999	6.539374128394888e-08	2.47147185321e-07	0.000106656	0.000106656	1.1375502336000001e-08	1.1375502336000001e-08	-0.000281679	0.0001568559999999	7.934305904100002e-08	2.4603804735999998e-08	0.0	0.0	0.0	0.0	0.0	0.0
305.0807728291925	0.8298796902838035	93074.27795005737	0.6887003003455416	437.5230350273092	0.0362337182336887	191426.40617950805	0.0013128823370383	308.39908327710026	-0.1249830828076028	0.0156207709880921	95109.99456615582	325.58780195898885	288.4005841844176	1.361655	20.380974	0.1449889	0.0759891	0.0099803923	0.0866161254	-0.1202844376	-0.1296519232	0.0073089911	-0.1167597467	0.0418666738	-0.062868946	0.0124089022	0.0514475165	-0.0499941591	0.0266508656	-0.1142584982	0.0738482057	0.071517323	-0.0348815095	-0.0910170813	0.2076345277	0.0326149036	0.066795469	-0.0064093174	0.161929885	-0.0059600246	0.0739974909	0.1406752012	-0.0427916921	0.0727141516	-0.0753434487	-0.0534450331	0.1153790445	-0.0631683317	-0.0224072753	-0.0046099541	0.0775964842	-0.0922008325	0.0289862565	0.0886010426	0.0282560391	0.124835851	0.0808507189	0.0488314794	-0.0946476718	0.1166460283	-0.0093004509	0.0612625605	-0.0397538446	0.0724895974	-0.0784388337	-0.0375813519	0.0268588352	-0.0374980609	-0.0147663113	0.0670378959	0.0790496606	0.0249400514	0.0751920639	-0.0444973934	0.1815528746	0.0038856916	-0.0507059144	-0.0414721421	0.0570464229	0.0298452879	-0.1585552686	0.0814886195	-0.0177081039	-0.0266930068	-0.0432530198	-0.1461436415	-0.0753577883	5.19113e-05	-0.0086213094	0.049077505	-0.1604400012	-0.0082205265	0.0892984758	0.0226352574	-0.083860573	-0.0264182127	-0.007698889	-0.0044159106	-0.1265192549	-0.0999076243	-0.0310428132	0.091975119	0.0687834208	0.0828981843	0.020704817	0.1224638124	0.2363346107	0.0134291906	-0.0495099514	-0.101738577	-0.0846540328	-0.0281914711	0.1354125142	-0.0492619512	0.0473919725	-0.0110178547	0.0324111615	0.0120983938	0.0266352821	0.0217816365	-0.0139511715	0.0529660467	-0.0518293633	2.79959e-05	-0.087994002	-0.0484874173	-0.0079403519	-0.0903693725	0.0289861893	-0.0092224454	-0.0980806589	-0.0693212956	-0.1043291679	0.1325477926	-0.1026567144	-0.0497112733	0.0472626718	-0.025029964	0.1190476623	-0.009797679	-0.0973138874	0.0454687949	0.0112015261	0.0746462027	-0.0755866922	-0.0363313612	0.1571795893	-0.0706633326	0.0693544613	0.1006260321	-0.0091496259	-0.1437073935	-0.0056835168	-0.0060418334	0.0288652282	-0.0242064986	-0.1018421106	0.0400691751	0.148390876	0.0515859836	0.0455273674	0.0922097131	0.0629003825	0.0219038595	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0217144	0.0173351	0.00030050569201	0.0004715151673599	0.0207776	-0.0358978	0.00128865204484	0.00043170866176	-0.136892	-0.0584250000000001	0.018739419664	0.003413480625	0.000909836	0.000412697	1.7031881380900004e-07	8.278015468960001e-07	-0.0	-0.000106656	0.0	1.1375502336000001e-08	-0.000134412	0.000147267	1.8066585744000004e-08	2.1687569289e-08	0.0	0.0	0.0	0.0	0.0	0.0
304.85617858577183	-0.224594243420654	92937.28962192	0.050442574177696	440.9642769567743	3.441241929465093	194449.4935520108	11.842146017108638	308.5389803645068	0.1398970874065526	0.0195711950648366	95196.30240436952	325.763375048685	296.1309183688279	1.430116	21.405685	0.0961337	0.0523895	-0.1223432903	0.0734655199	-0.042920521	-0.050734598	-0.0861741252	-0.0594053923	-0.0500934989	0.1469541928	0.0335281784	-0.109232404	-0.071160317	0.0677590316	-0.0300128367	0.0809452943	0.093896391	-0.0160410526	-0.161411298	0.0532358144	-0.0376500978	0.1208709325	0.0020212735	0.0331974265	0.0349015058	-0.0243145579	0.0570745711	0.0927610044	-0.1121342681	0.0776780569	0.0353598504	-0.107564143	-0.0498606739	0.0300622786	0.0036048812	-0.1195140268	0.0621123462	-0.0550508583	-0.0319318813	0.0635879201	-0.0451806013	0.0211265207	0.0123633581	0.0383745503	0.0862986164	-0.0125994042	0.0249054513	0.1192161706	-0.014208754	0.0911980016	0.020269126	0.0223574792	0.024424692	-0.0514744987	-0.165447244	-0.0174387287	-0.0635695154	-0.0822437217	0.0955221668	-0.046502385	-0.010864489	-0.0702146738	-0.141626579	-0.01385389	0.0732062537	0.091033937	-0.0383764089	-0.0640738037	-0.1419136775	-0.0357630481	-0.0554569445	-0.0290633273	0.1027081845	-0.0975082087	0.0948546554	-0.0656614569	-0.0498233452	0.0020285661	-0.0223367784	-0.0969750467	-0.06853712	0.0699395234	0.0289773841	0.035069899	-0.0298590475	-0.0188386046	-0.0609096683	0.0520282034	0.046394647	-0.027456985	0.0029564596	-0.049049144	-0.118297936	-0.0397369988	0.0619788699	-0.0118728233	-0.0673423136	-0.0420533346	-0.0322805046	0.0567656733	-0.097060893	0.0778068235	-2.75938e-05	0.0104773079	0.0768906784	-0.0246778991	-0.042408577	0.1013497384	0.0255975202	-0.1011203106	-0.1190143735	-0.0072258249	-0.0392140657	0.0139086505	0.0016296331	0.0342166186	-0.0344994302	-0.1111256615	-0.1671273098	0.0723899098	-0.0116114189	-0.0892635494	0.0420066792	-0.0282843752	0.0581868518	-0.04106709	0.049166059	0.1126363688	0.0726816475	0.059139933	-0.1051029153	0.1165802743	0.0698405398	0.011843212	-0.0662551195	0.0198290884	-0.1012637418	-0.0656537545	-0.0287956526	-0.078078159	0.0052785248	-0.0449836762	-0.021769011	0.0185264383	0.0082464936	-0.021026149	0.004930769	0.0644853927	0.0199714282	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0283135	-0.0065991	4.354812081e-05	0.0008016542822499	0.0207074	-7.019999999999943e-05	4.9280399999999205e-09	0.00042879641476	-0.0901522	0.0467398	0.00812741916484	0.00218460890404	0.00117622	0.0002663839999999	7.096043545599996e-08	1.3834934884e-06	0.000283984	0.000283984	8.064691225599999e-08	8.064691225599999e-08	-0.000438536	-0.000304124	1.92313823296e-07	9.2491407376e-08	0.0	0.0	0.0	0.0	0.0	0.0
304.5062482876535	-0.3499302981183518	92724.05524622208	0.1224512135411986	438.13708563182337	-2.8271913249509453	191964.1058059477	7.993010787877881	308.5867187220196	0.0477383575127987	0.0022789507780197	95225.76297162284	325.58832753250766	288.2114040885251	1.28064	19.168367	0.11163895	0.0659715	-0.0928325633	-0.0197230952	0.0950767542	0.0701614104	-0.0816712198	0.0757780046	0.0512316585	0.078519523	0.0427698807	0.0954630193	-0.0262283607	-0.0541643732	0.0282955995	0.015661761	0.0141042101	-0.058065058	-0.0220205783	-0.026622843	-0.0420629338	0.0981641903	0.0872789631	-0.0167604902	-0.0882805108	-0.0403829766	-0.0231653927	0.2133037059	0.1183008218	0.0547074255	0.0137545907	-0.1112987458	0.0165247261	0.0374134651	0.0895011056	0.0374859491	0.0186583174	0.0935932482	-0.0576568023	0.012953623	0.0316693191	-0.0107222428	-0.0582875728	0.004402816	0.0393338846	-0.0175220113	0.0407599327	-0.02704417	0.0756925189	-0.0274218804	-0.0316524616	-0.0441846625	0.0128314918	0.0223205389	-0.0890194207	-0.0435801589	-0.0003353329	0.0957002826	-0.1262134852	0.0133461582	0.0367195327	0.0803965275	-0.044450419	0.023473853	0.1246059275	-0.1074026798	0.0039837118	-0.1070913083	-0.0437135607	-0.0415222845	0.0467249234	0.0624651015	0.0881560789	-0.0340054425	0.0980767862	-0.0115784159	0.1070140928	0.0983573046	0.011130163	-0.0366335918	-0.066070106	-0.114814171	-0.0782105457	0.0487185642	-0.0441315243	0.0068610259	0.00329851	-0.0500124596	-0.0442956218	-0.0952455796	-0.1645782009	-0.0255559855	0.0293596176	0.0440692787	0.0468603764	0.0635989965	-0.0379282809	0.0644282453	0.0544316494	-0.0350981314	-0.0709928354	0.0525280954	-0.0408186295	-0.066340555	0.0977392008	0.0192100752	-0.0029540387	0.0708585264	0.1043182931	-0.0710669877	0.0403243663	0.0590577207	-0.0497217464	-0.0898883415	0.1260515144	0.0478570907	0.0128006912	-0.0368857098	-0.0596162085	-0.075087744	0.0697917472	-0.0077562646	-0.0525744081	-0.0019196804	-0.0298874769	0.0303068636	0.0253887615	0.1100574216	-0.0155967744	0.086353262	-0.0634834635	0.0711944846	-0.0512526553	-0.0118221326	0.0640693211	0.0588522006	0.0199653215	-0.0470154699	0.0785404377	0.0458706482	-0.105090637	-0.1220955667	-0.0655613722	0.0252447628	0.0358365575	-0.0353957737	-0.0065296684	-0.0657668499	-0.0085943117	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0280347	0.0002787999999999	7.772943999999955e-08	0.00078594440409	0.0350328	0.0143254	0.00020521708516	0.00122729707584	-0.0493703	0.0407819	0.00243742652209	0.00166316336761	0.000335147	-0.0008410729999999	7.074037913289999e-07	1.12323511609e-07	-0.0	-0.000283984	0.0	8.064691225599999e-08	-0.000438536	0.0	1.92313823296e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.4631092863509	-0.0431390013025634	92697.78491631246	0.0018609734333825	436.2593656173208	-1.8777200145025856	190322.2340888272	3.525832452863592	308.2269035486381	-0.3598151733814916	0.1294669589955528	95003.82407118149	325.24785049554737	287.1109522061193	1.177732	17.62805	0.1730281	0.0894183999999999	-0.0238361632	-0.1060574715	0.0198416996	0.1236616486	0.0131904062	-0.0683940584	0.0363451724	-0.0581220307	0.0424104821	-0.0649607665	-0.1748706364	-0.0797950529	-0.0715205964	-0.1126465675	-0.0140181998	-0.0970639202	-0.0752478095	0.0023099625	-0.0317335235	-0.0811103119	0.0803246522	-0.0341382882	0.1502596512	-0.007330261	-0.050352797	0.1246665294	-0.0964848377	-0.0379178435	-0.0434416938	0.0687429714	-0.0291358674	-0.0095114207	-0.0400798787	0.0648932602	-0.0345193612	0.0779502612	-0.1591618811	-0.048529936	0.0292462815	0.0820198952	0.0423542805	-0.0959529554	0.0659874754	0.0582715731	-0.0621676279	-0.1322328211	0.0960850665	0.0583006935	0.1225406584	0.1451508948	-0.0825789933	-0.0025923417	0.0406508347	0.0902917279	0.02317494	-0.0506145871	0.0234400607	0.1145511149	-0.0147672278	0.0246590748	0.092729906	-0.0972194301	0.1218098907	-0.0301398495	-0.1401021169	-0.1070573955	0.0385956005	-0.0717792536	-0.0128635943	0.1361149103	-0.0248212393	0.0386680307	0.0719310225	-0.0733341044	-0.0444396486	-0.0599117188	-0.04365523	0.0799763354	0.0053630838	-0.0383058787	-0.0253561668	-0.0263629776	0.0525086744	-0.0089375223	-0.1173948081	-0.0389813838	0.0777594423	0.0514550846	0.1021646688	0.1023049895	0.0112244188	-0.0041397093	0.0667469589	0.1222688613	-0.0298909067	0.0237978887	0.1450458599	-0.0059879151	-0.0005843929	0.0330601402	0.0917619023	-0.1156590744	0.0320062678	-0.1042013583	-0.0435068965	-0.0988653424	-0.0059775954	-0.0773187207	0.0691011439	0.2472100226	-0.0226283106	-0.0734542711	-0.0076308723	-0.1476805976	0.0037060619	-0.0152966956	0.0742146704	0.007805326	-0.1155104153	-0.0514206925	-0.0436783691	-0.0534631003	0.0602853326	-0.0789206481	0.0020439702	0.035244242	-0.0966409128	0.0038281721	-0.067032104	0.0139483516	-0.1207109845	0.0650345842	-0.0205484313	-0.0666634817	-0.1583812198	0.0437796159	-0.0318533782	0.068978449	0.0590813554	-0.0785001457	0.0391689905	0.0277631922	-0.041359412	0.0770634112	0.0398542019	-0.008575282	0.0136888869	0.1018099433	0.0994583687	0.0955792289	0.090232103	-0.0279527	8.199999999999874e-05	6.723999999999793e-09	0.00078135343729	-0.0329578	-0.0679906	0.00462272168836	0.00108621658084	-0.0978325	-0.0484622	0.00957119805625	0.00234858482884	0.0008256589999999	0.0004905119999999	2.40602022143902e-07	6.817127842808349e-07	0.00034983	0.00034983	1.223810289e-07	1.223810289e-07	-0.000149012	0.000289524	2.2204576144e-08	8.3824146576e-08	0.0	0.0	0.0	0.0	0.0	0.0
