global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
545.8960069613064	n/a	n/a	298002.4504162987	773.7755387704075	n/a	598728.5843994344	n/a	565.0487091041834	n/a	n/a	319280.0436603041	582.5548601177613	499.1471150188019	n/a	n/a	n/a	n/a	-0.0232833904	-0.1439915693	0.0004762908	-0.0629484881	0.0382526542	-0.1532819986	0.0305424182	0.013893148	-0.1311790727	0.1206878642	-0.1293463533	0.219894679	-0.0084055663	0.1755397335	-0.1634640279	0.0400781982	0.0132041723	-0.0920065597	0.0810756878	-0.0887018199	-0.1136182603	0.1476378325	-0.0754676352	0.0771590543	-0.0574697829	0.027041364	-0.0942368138	-0.1308306081	0.028847814	-0.1180156287	0.0529475256	-0.0670194426	0.1467645829	-0.0207132501	0.0771706592	-0.0184329766	0.0585040363	-0.0447879956	0.0695510268	-0.0833970469	0.0091860631	-0.00435169	0.1173303348	-0.0083994741	0.0367358255	-0.0394658987	-0.0755414697	0.0579682645	-0.0457350092	0.0510123503	0.0092846755	0.0666262492	-0.0718953827	0.0625085772	-0.081207786	-0.0290480101	-0.067371929	0.0470283023	-0.0826654733	-0.0460000161	-0.0069435974	0.0241690547	0.0352268939	-0.1280770979	-0.092412222	0.0405633468	0.0901475312	-0.082007349	-0.0420180198	0.0759450967	0.0033081291	0.0173757615	-0.0355015071	-0.0759911532	0.0716547908	0.0142607826	-0.0104339261	-0.0624931896	0.152369004	0.074170097	-0.0045258075	0.1665674992	-0.0073934157	0.0943407399	-0.0701654238	0.1027734802	-0.0654830019	0.0533570334	-0.0936095852	0.1559276041	-0.0469071581	0.0157599563	0.0400977817	-0.1322806293	0.0014342371	-0.0102099767	0.1421549092	-0.1505051626	0.1039110548	-0.0064345643	0.0919447791	-0.0653580803	0.0521896669	-0.0143459935	0.1135293852	-0.1109484268	0.0789432653	-0.0005526319	-0.0996161263	0.1080793903	-0.0797509757	0.1163376725	-0.0126846538	-0.0007930674	-0.0648842072	0.02406584	0.1178452402	-0.0401066009	0.0333535944	0.0025647274	0.0274936434	-0.0015896239	-0.0276571184	0.0547592775	0.0050596557	0.0771526491	-0.053232365	0.0046721364	0.1366061108	-0.0295221637	-0.076737722	0.034368019	0.0498840773	-0.0923928578	-0.0233850298	-0.1348589805	0.0812738659	-0.1450364359	0.0211886324	-0.0779985512	0.1057260387	-0.0600422727	0.1234753168	-0.0181551542	0.0909259656	-0.0478445166	0.054949032	-0.1072418356	0.1049818674	-0.112413208	0.2251706465	-0.1348304692	0.2125012146	-0.1511486215	0.0154738314	-0.0514120903	0.0374454529	-0.0848108869	0.0877432181	0.102594329	0.1025838106	0.1025662807	0.1025417406	3.01131e-06	n/a	9.0679879161e-12	n/a	0.0696848	n/a	0.00485597135104	n/a	0.00014895	n/a	2.21861025e-08	n/a	-0.0012266	n/a	1.50454756e-06	n/a	0.0008203779999999	n/a	6.73020062883836e-07	n/a	0.0	n/a	0.0	n/a
546.5695988103007	0.673591848994306	0.4537259790315679	298738.3263436531	770.0720152011348	-3.703523569272648	593010.9085959368	13.71608682815801	565.2981414337808	0.2494323295973117	0.0622164870483419	319561.9887084868	582.0847420170344	503.14308172720274	1.041016	14.663218	0.04320170145	0.0300634	0.0507095316	-0.1624486599	0.1134955223	-0.0724922987	0.1021893928	-0.1253172935	0.1385903149	0.0924222657	-0.1341600636	-0.0344479315	-0.0699708991	0.2006357614	0.0351432345	0.1720794351	-0.1156564086	-0.0076093915	-0.0045557326	-0.128624537	0.0185458675	-0.0202266528	-0.1204280059	-0.0033313636	-0.0376119121	-0.0798715283	-0.0011090736	-0.0162338393	0.0128016276	0.0154397453	0.1142072285	-0.1571526653	0.0146157611	-0.0911829387	0.0950643504	-0.1017546633	0.0648503027	0.0365703718	-0.0801511707	-0.0059509644	0.0409097137	0.0401197869	-0.0398202346	-0.1183227627	-0.0384982027	-0.0692135891	-0.0382580265	-0.0311695558	0.0222345404	0.0045355772	-0.0592890287	0.1137793639	-0.024236928	-0.0453114163	0.0187715008	0.0326586972	0.0155061117	0.0484635228	0.0548188416	0.0762052841	0.05004727	0.1533432057	0.0382681431	-0.0474394608	-0.0066824077	-0.0629781318	-0.1110048256	0.0604362075	-0.1267026052	-0.0747167546	0.0128291591	-0.0719331347	-0.0847872716	0.0415760821	0.02737988	0.0244359261	0.0964064283	-0.110144831	-0.0755518924	-0.1408903491	0.1156311888	0.124091424	0.0617953077	0.0455895011	0.0556313936	0.045451252	-0.1325510514	0.0852270938	0.0269605206	-0.0534155337	0.0072833991	0.0772793108	-0.0492311107	-0.1328467655	0.1005019786	-0.1203491924	0.0170722011	0.0130174263	-0.0800220708	-0.0483355463	0.141440895	-0.0694997341	0.0889089292	-0.0349950675	0.0141605474	-0.0309426126	-0.0655050192	0.0281133662	-0.1165909064	0.0165088792	-0.0756746558	0.0496193375	0.0252843627	0.0719857218	-0.0347491708	-0.059969718	-0.052864216	-0.0584223562	0.0703753388	-0.0087988214	-0.1131794314	0.0365725524	0.1063238492	0.033790047	0.0185811664	0.0780085894	-0.005149806	0.125054829	-0.0847307608	-0.0567840609	-0.0213842651	0.0445433245	-0.0356315536	-0.0822272831	-0.1520652541	0.0409693695	-0.0941831561	-0.1580095098	0.12739651	-0.0984868397	0.0095288196	-0.1759653963	0.0474011318	-0.042738753	0.0558614578	0.0103716463	0.0334826756	-0.0351486634	0.0966298069	-0.13139091	0.1574198709	-0.054634901	0.1170978069	-0.0947402213	0.1096945202	-0.0654373478	0.0766284223	-0.055337827	0.0912523673	0.0263430065	0.1515222816	0.1025662807	0.1024716367	0.1023139614	0.1020933517	8.413659999999998e-06	5.4023499999999975e-06	7.078967459559996e-11	2.9185385522499965e-11	0.0501881	-0.0194967	0.00251884538161	0.00038012131089	9.78009e-05	-5.114909999999999e-05	9.56501604081e-09	2.6162304308099982e-09	-0.000765907	0.000460693	5.86613532649e-07	2.12238040249e-07	0.000808102	-1.2275999999900012e-05	6.53028842404e-07	1.507001759975451e-10	0.0	0.0	0.0	0.0
547.2974109622569	0.7278121519561864	0.529710528535095	299534.4560459896	766.6767299183044	-3.3952852828304003	587793.2081982247	11.527962151804712	565.449886426222	0.1517449924411948	0.0230265427309782	319733.5740594273	582.0366360810624	505.4904993735311	1.151781	16.223387	0.0724813734399999	0.0415293	0.1435327991	-0.0875120178	0.1495949594	0.0808127391	0.1374495164	-0.0119137019	0.2037752752	0.0699980868	-0.084913219	-0.0996720362	-0.0060882422	0.0574911594	0.0392927784	-0.1781790195	-0.0365756472	-0.1422089107	-0.0318933669	-0.1312028008	-0.0891542976	-0.0274051945	-0.074643857	-0.1420473665	0.0493443594	-0.0072993816	-0.0646276875	-0.0395402932	0.0166867471	-0.0549558999	0.0568973821	-0.013057436	-0.0144248995	0.0675907699	-0.0007176153	-0.0816736941	-0.0337747852	0.0837454081	-0.0067616246	-0.0895719479	0.0570515088	-0.0249932521	-0.1619686895	-0.1492042172	-0.0383367263	-0.1027746728	-0.0223369022	0.0503820967	0.0613030189	-0.0391666951	-0.0351692483	0.0803395883	0.0142021433	0.0829051346	0.1059673883	0.0411506818	0.1850009015	-0.0014831984	0.0625693737	-0.0178963591	0.0471665202	-0.0161651598	-0.0255197219	0.0266845422	0.0267367509	-0.0764607593	-0.0560719973	-0.16180276	0.0247571152	-0.08831364	0.0471185275	0.0723854619	-0.007377336	-0.0181219587	0.1141442996	-0.0144312051	-0.1444213446	0.0400875985	-0.079704783	-0.1706052623	-0.0101502904	0.0795021051	0.1248670477	-0.0216953895	0.1528567515	0.0261940079	-0.1202521534	0.0001154838	0.0210340511	-0.1095614759	0.1014317587	-0.0181029816	-0.0798982538	0.0015507932	0.0979165009	-0.0169467819	0.0621578587	0.1002511524	-0.0326573646	-0.0544618659	0.0200970515	0.0619410817	0.0289707721	0.0293516467	-0.007354982	0.1737892864	-0.0980595063	0.1149657014	-0.0714277403	-0.00067924	-0.0111404397	-0.0212041874	-0.0084536513	0.0457733375	0.002392415	-0.0518770357	-0.0998076855	-0.0288685154	-0.0837288244	0.0457907332	0.0796702188	0.0088081206	0.0514643479	-0.0887291399	-0.0223739291	-0.0126747001	-0.0406407153	-0.0865609851	0.0954999099	0.0737705063	-0.0843357954	0.1555688904	0.0426322526	-0.0339951687	0.1186956053	-0.0331392695	-0.0198697946	-0.0877296364	0.1592961364	0.0410229474	-0.083950637	-0.1296938401	0.0911406975	0.0870858398	-0.1185310835	-0.054104665	-0.0067751135	-0.0333352454	0.1174489375	-0.0807894855	0.0126620684	-0.0513993353	-0.0516954493	-0.0173973031	0.062948665	-0.1301816434	-0.0436207157	-0.1204485863	-0.0481687044	0.0242840623	0.126496484	0.1025101919	0.1022474116	0.1018099433	0.1011985345	1.80862e-05	9.672540000000002e-06	3.2711063044e-10	9.355803005160004e-11	0.0206194	-0.0295687	0.00042515965636	0.00087430801969	-0.027174	-0.0272718009	0.000738426276	0.0007437511243292	-0.000878843	-0.000112936	7.723650186490001e-07	1.2754540096e-08	0.00100779	0.0001996879999999	1.0156406841e-06	3.987529734399998e-08	0.0	0.0	0.0	0.0
546.7017191932584	-0.5956917689984493	0.3548486836525019	298882.7697688644	767.6387578333583	0.962027915053909	589269.2625279414	0.9254977093429712	565.375352386359	-0.0745340398628968	0.0055553230982838	319649.28908599966	581.6050246390184	509.730759778646	1.250461	17.613352	0.0639818861999999	0.0352585	0.0999804509	0.0406118935	0.1645119512	0.0347281297	-0.0550437746	0.0582338606	0.0513607873	0.1334244588	-0.0502052348	-0.0911440694	0.073563514	0.1098132412	0.1501062453	-0.0295081624	0.0310958074	-0.0096563238	-0.0670759414	0.0112922724	-0.0441196155	-0.1170626204	-0.0545604376	-0.1382554618	0.0473762114	0.0310837686	0.0001018597	-0.1310504445	-0.1132526768	-0.0500825479	-0.0638324194	-0.0037025145	0.0676454795	0.0273502743	0.0541056189	0.0004852797	0.0481894569	0.0426537012	-0.0700725453	-0.0867062726	0.1703292076	-0.0286324098	-0.0062469191	0.1425666326	0.0335747952	0.1575243065	-0.0711863353	0.1227562898	-0.0199454093	0.0018119637	0.0123952689	0.0436797467	-0.0059077237	-0.2048308501	0.0539033007	0.1116482954	-0.0259863903	-0.0051014968	0.0297738152	0.0656306005	-0.0406273554	-0.0460957618	0.0014685853	-0.1125051907	0.0077654737	-0.1380077073	-0.0596981915	0.0554487161	0.0367951974	0.0191965354	0.0429167683	0.0430229313	-0.0339354749	-0.0078017008	-0.029551251	0.1227556984	0.0299253907	0.0377336364	0.0483087198	-0.0541804452	-0.0594561918	0.0842610658	0.0283927072	0.0692970945	0.0843046528	0.0347786342	-0.224117457	-0.0824238353	-0.0042676566	-0.1512528224	0.0721229667	0.0444826997	0.0402822184	-0.0657431758	0.0754445445	0.0256888415	0.0400510503	-0.0047875721	0.0477174798	-0.0629243341	-0.0943634396	0.0670890394	-0.0413094965	0.0776131633	0.0950991403	-0.0482878536	-0.1103153338	-0.0437277843	0.0932094346	-0.1677988286	0.0565582184	-0.071555321	-0.0574614768	-0.0771281477	0.1245697389	0.0740664159	-0.0703652003	0.069466598	0.0641868901	0.0183782044	-0.0733014741	0.0549247849	0.0282225652	0.066359331	0.0597448853	0.0109589647	0.0981311029	0.0445949898	-0.0529148614	-0.0161508864	0.0204427613	-0.084813714	0.0236488674	0.0225188226	0.0032931253	-0.0657243595	-0.0014521398	-0.0773453161	0.0730025791	0.1029260792	-0.1104231569	-0.0434672868	0.1160702126	-0.0450334143	-0.0186604638	-0.1958740716	-0.0085993871	-0.0224721789	-0.002834614	-0.0627978719	0.0241115505	-0.0447611638	-0.0572060317	-0.049739426	-0.0281398374	-0.0958940207	0.0981591782	0.0189209958	-0.095809029	0.0925674653	0.027753595	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0167963	-0.0168143862	0.00028211569369	0.0002827235832827	0.0114025	-0.0092169	0.00013001700625	8.495124561e-05	-0.0272228	-4.879999999999815e-05	0.0007410808398399	2.3814399999998197e-09	-0.000326324	0.000552519	1.0648735297600001e-07	3.05277245361e-07	0.000802273	-0.0002055169999999	6.436419665290001e-07	4.223723728899996e-08	0.0	0.0	0.0	0.0
545.8456739999958	-0.8560451932626165	0.7328133729080305	297947.4998245097	768.7574397459626	1.118681912604302	590988.0011647674	1.251449221588019	564.6688671760268	-0.7064852103322892	0.4991213524182589	318850.92955785734	581.5381583465758	514.2539723351779	1.09971	15.489948	0.0661696	0.0358006	0.0229576753	0.0753512252	0.1472462164	-0.0488597624	-0.0636188661	0.0405181452	0.0009706676	0.1207550952	-0.0414841141	-0.158950391	0.0819434524	0.0759688601	-0.0330659472	0.0391561914	0.052407243	-0.0577735569	-0.0646302054	-0.0201612421	0.0017337298	-0.0185336535	0.0073588721	-0.0622447845	0.0867053994	0.0278073479	-0.0076548079	0.0218744138	-0.0638862147	-0.052519954	-0.0709002375	-0.0929984171	-0.0665357951	0.005256801	0.0824787813	0.0355162767	-0.0311998395	-0.0503907249	0.0892693924	0.0407184527	-0.0260133275	0.1232887339	0.0102726831	-0.0826404872	0.0406242374	0.043833112	-0.0412920538	-0.0663636602	-0.0042326929	0.0882162814	0.0209331115	-0.1117300515	-0.0614495029	-0.0213419581	0.1480854469	0.0276244686	0.1175713682	-0.0257352985	-0.0170106058	-0.0163348379	0.088784954	-0.0062908834	-0.0244153006	-0.0713191226	-0.0525650873	0.0213155043	0.0298536191	-0.0052693573	0.0888338404	0.0153361625	0.0778587106	-0.0534601713	-0.0411512079	0.0921232133	-0.1338733681	0.011995066	-0.0273058081	0.1761306185	0.0595893785	-0.0129741283	-0.0378927788	0.0886847612	0.0016753051	-0.0672892506	0.0064001925	-0.0752633241	-0.1099078895	0.0461971376	-0.0376457534	-0.0464290814	0.0593839859	0.063567833	0.1117815461	-0.0325857178	0.0794186758	-0.0048974513	0.036774459	-0.0162816753	0.0352395034	0.0398146017	0.0289060309	0.0698211159	-0.0306750318	-0.005166201	0.0904909099	-0.0176906574	0.0854935167	0.0755768707	-0.0556850927	0.1334665486	0.0219616471	-0.1051429436	-0.0174399181	0.0287550761	-0.025894993	-0.0291418654	0.0778757771	0.1012094291	-0.0428545376	0.0737208831	0.1285835883	0.0481201852	0.0215519402	0.048381535	-0.0311076304	-0.0255400305	-0.0911866504	0.0061538574	-0.0607964646	-0.0081712454	-0.0164424026	-0.002838108	0.1133667741	0.0587808635	0.0276753672	-0.0974685777	-0.0486015219	-0.1194891081	-0.0209923249	0.0664430067	-0.1035834369	-0.064081064	0.0175572908	-0.0222898945	0.0181669369	-0.1274606253	-0.0308606097	0.0149229769	-0.0170842367	-0.1344989029	-0.0656909879	-0.0269269594	-0.0911552278	-0.0031495391	-0.1033081009	0.0843341032	-0.0461493658	-0.0935670224	0.0113209785	0.044263066	-0.0491723238	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0167758	2.0499999999999685e-05	0.00028142746564	4.2024999999998705e-10	0.0110822	-0.0003202999999999	0.00012281515684	1.025920899999994e-07	-0.0131461	0.0140766999999999	0.00017281994521	0.0001981534828899	-0.000713075	-0.0003867509999999	5.08475955625e-07	1.4957633600099997e-07	0.00100779	0.0002055169999999	1.0156406841e-06	4.223723728899996e-08	0.000442774	0.000442774	1.96048815076e-07	1.96048815076e-07
545.3853374424967	-0.4603365574990903	0.2119097461701132	297445.166297266	766.7563243442443	-2.00111540171838	587915.2609218959	4.004462850994513	564.6803739053114	0.0115067292846333	0.0001324048188298	318863.92467384227	581.3585655910185	508.80794952719225	0.970995	13.676929	0.05221408	0.0292448	-0.0253413534	0.0438391573	0.1111234849	-0.0480953108	0.0474916801	0.0382522873	-0.0500372878	0.019955668	-0.0705303758	-0.106803346	0.0394561804	0.129577038	-0.0129257182	-0.0633894373	0.0814317686	0.0020133567	0.0588607161	-0.01671972	0.0550983615	-0.1122632728	-0.0506984809	0.023901793	0.0705836944	-0.072384401	0.0785973832	0.0632710327	-0.0123454462	-0.0147296901	-0.0802929039	0.0253708809	0.0070129167	0.0127356883	-0.001668757	0.0398001393	0.0454003009	0.1507782046	0.2755128229	0.0165624267	-0.038740634	-0.0368637237	0.0225777357	0.0011532256	-0.1429690409	-0.0719409458	-0.0678504267	-0.008056113	-0.085725082	-0.0553233807	-0.0740781658	0.0193691924	0.064279772	0.0314311611	0.1047833067	-0.0144465164	0.0880326072	-0.0571009671	0.0556611308	0.1522901057	-0.0811992804	-0.033618701	-0.045905914	-0.0599452482	-0.0848636836	0.1048865419	0.0726958421	-0.0397848095	0.1042517336	0.0060082259	0.07899679	0.0237418796	0.1065545925	0.1346847911	-0.0563222247	0.0115385969	-0.0097116196	0.0372371287	0.0202108831	0.0338774415	-0.0273741079	0.1515026124	-0.0109751794	-0.0015626915	0.0831695929	0.0189477823	-0.0229832796	-0.0155659806	-0.1046844867	0.0645013546	0.0278866998	0.064923191	0.0895490777	0.0752286577	-0.035892249	-0.0643817944	0.0955153488	-0.0260105465	0.1162888787	0.1331054806	-0.0055756957	0.1765244577	-0.0455396178	0.032934044	0.0106551257	0.0375778238	-0.1159828303	0.0681263429	-0.0100286022	0.0066241778	0.0108515193	-0.103395645	0.0965382326	0.012451578	-0.0147214751	0.0593330328	0.1052662149	0.1136798706	-0.0167919591	0.0604711404	-0.0325708621	-0.0017523324	0.1368480376	-0.0934834157	-0.162434808	0.0035007511	-0.0681570042	-0.1595536335	-0.0426876283	-0.0026784702	-0.0263659352	0.0148691676	0.0311734862	0.0799222186	0.0730599862	-0.052769672	0.0343066078	-0.1021789762	-0.0304441613	0.0452014072	-0.1240812339	-0.1080936461	-0.0457096036	0.0782500876	-0.00898544	-0.0665846232	-0.0554007552	0.0439334747	0.083978005	-0.0936804817	-0.1044192031	0.0010710492	-0.0151610041	0.0344830762	-0.0482571592	0.0714324345	-0.0457434943	-0.0064422232	0.0369303996	0.0470698938	0.0136940942	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0167899	-1.409999999999953e-05	0.00028190074201	1.9880999999998672e-10	-0.00179926	-0.01288146	3.2373365476e-06	0.0001659320117316	-0.0107047	0.0024414	0.0001145906020899	5.960433960000008e-06	-0.000326324	0.0003867509999999	1.0648735297600001e-07	1.4957633600099997e-07	0.00100779	0.0	1.0156406841e-06	0.0	9.19826e-05	-0.0003507914	8.46079870276e-09	1.2305460631396e-07
545.549469106224	0.1641316637272893	0.026939203037888	297624.22324208287	767.4510772188173	0.6947528745730551	588981.1559243231	0.4826815567275233	565.0776956739612	0.3973217686498174	0.157864587843019	319312.80214819394	581.5775277077826	508.8321847378087	0.942288	13.272573	0.047455145	0.0261281	-0.0187590541	0.0486037957	0.1147436777	-0.0356956697	0.0468415177	0.032801554	-0.0691537686	0.047094993	-0.0563139867	0.0101649128	0.1055363385	0.0610183269	0.0040691004	-0.0904609343	0.0180066202	-0.0550218503	0.0036744763	0.0447142168	-0.0147731811	-0.1396306988	-0.0517669777	0.021386145	0.0470246693	0.0204085796	-0.0295206397	-0.0018298074	-0.0823134857	0.0179599826	0.0171350578	-0.0521013584	-0.1082605576	-0.1040565654	0.0251348692	-0.0086223322	-0.0362239811	-0.0097319224	0.105359341	-0.0780734437	-0.0170344615	0.0391546594	0.0418956366	0.0484601398	-0.0595597418	0.1190000341	-0.0789228714	0.0033638868	0.1021351176	-0.0034697565	0.0683342521	-0.0001180671	-0.0256621387	-0.0089431757	-0.1381250271	0.0079000141	0.0183021341	0.0985043891	0.0618611577	0.0291571405	0.0435317961	0.0272796544	0.0007225155	0.029929361	0.0676998077	0.0114338119	-0.0272794775	0.0090403041	0.0504072146	0.0567286049	-0.0754407793	-0.1411249603	-0.032867796	-0.0022711475	-0.0488594576	0.1362803725	0.0157256388	-0.0443315173	0.0088414667	0.0412733957	-0.0283121993	0.1015263599	0.079963719	0.1075886059	0.0456795221	-0.0220564829	-0.0481007133	-0.0697664795	-0.0293640628	-0.0147834556	0.028972545	-0.035323706	0.0770061749	-0.0352405972	-0.0325585956	-0.0211681619	0.1798172627	0.0170111017	0.0700277645	0.0526402412	-0.044249722	-0.0331477912	-0.1006453933	0.0039745362	-0.0073370622	-0.0050065265	0.112115113	-0.026067641	0.0106973476	0.028613214	0.0767667005	-0.1208817569	-0.0214894449	0.0734583512	0.0484669977	0.0284056699	-0.0001299595	-0.0806519971	-0.0567765235	0.0181607269	-0.1092593965	-0.0348925827	-0.0886714968	0.0181297528	0.0030334167	-0.0261407421	-0.0077839431	0.0700807914	0.0538681151	-0.0460854476	0.0551682438	-0.0790113586	0.0636189489	0.0067407878	-0.1003187907	0.05751769	0.0013015859	-0.0280829484	-0.0210367108	0.0596506464	-0.1642044712	-0.068138091	0.034928173	0.0665848692	0.010365958	-0.1112564661	-0.003653984	0.0032613502	0.0361762712	-0.0436612266	-0.0595336476	-0.008166639	-0.0225821817	0.0586522709	-0.1312988989	0.0810188404	-0.0539470037	-0.0036533787	-0.0015265524	0.0766745963	-0.0551291305	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0168127	-2.2799999999999904e-05	0.00028266688129	5.198399999999956e-10	-0.00295038	-0.0011511199999999	8.7047421444e-06	1.3250772543999996e-06	-0.0272245	-0.0165198	0.0007411734002499	0.00027290379204	-0.00017876	0.000147564	3.19551376e-08	2.1775134096e-08	0.000672397	-0.0003353929999999	4.52117725609e-07	1.1248846444899997e-07	-2.02889e-05	-0.0001122715	4.1163946321000006e-10	1.260488971225e-08
