global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
544.9702466862788	n/a	n/a	296992.5697733035	792.2742695087438	n/a	627698.5181256137	n/a	562.7914943478189	n/a	n/a	316734.2661102511	580.2063720292992	541.9764550925764	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0123056	n/a	0.00015142779136	n/a	0.0562272	n/a	0.00316149801984	n/a	-0.0346772	n/a	0.00120250819984	n/a	-0.00390478	n/a	1.52473068484e-05	n/a	-0.000410067	n/a	1.68154944489e-07	n/a	-0.000491828	n/a	2.418947815840001e-07	n/a
542.992077644322	-1.9781690419567892	3.913152758556242	294840.39638449735	779.7325616446806	-12.541707864063255	607982.8676889756	157.2944361475061	562.0058649215318	-0.7856294262870733	0.617213595448156	315850.5922061991	578.066091312422	534.0525973048736	1.355196	17.582483	0.0899137254	0.0431465	-0.0704962697	-0.0286339037	0.1090548435	-0.0142640355	0.0559741993	0.048620577	0.006518072	-0.0059558485	0.0977852453	-0.0936788001	0.0308978867	-0.0532516752	0.007462104	-0.0428158315	0.0280252071	-0.0499267487	-0.0386988138	0.0148277071	-0.1107849254	-0.0330640414	0.0329559663	-0.0116638892	0.0463781895	-0.0837139523	0.0365430999	-0.0301106673	0.0976112949	-0.0026980825	0.0283228397	-0.0014689184	0.0809063767	-0.0048446514	0.0558513879	-0.0080964035	0.0123969964	-0.0216860596	0.0411303737	-0.0255540723	0.0197011159	-0.0909269362	0.0148869482	-0.0647057334	0.0135430642	-0.0397675533	-0.1616191071	0.0910583776	-0.0868640288	0.0157891268	-0.0124983298	-0.0063735031	0.0280790608	0.0093097533	0.0101547023	-0.0301658749	-0.026877845	0.0546544046	0.0226731066	-0.0980773091	-0.0940666492	0.1094517668	-0.018701555	-0.0004224925	-0.0055028846	-0.0348334306	0.0108805088	0.0433737345	-0.1211468584	-0.0226560975	0.0893515079	-0.1013641181	-0.0114589227	-0.0012791733	-0.0095787188	0.0400556314	0.0279776583	0.0051992387	-0.0386701359	0.0064909305	-0.0766663507	0.0117995841	-0.0197260108	0.0293838805	-0.0373719333	-0.0782256455	0.1522393497	-0.1082821205	0.0534196055	-0.0215707368	0.021919678	-0.029574457	0.1080034282	-0.1236917468	0.0506723121	-0.0283938957	0.0156753734	-0.0761113479	0.1474096798	-0.0460022092	0.0028450211	-0.0093836987	0.1181747979	-0.0289451531	0.0810558676	-0.0674997672	0.0589665999	-0.0924656472	0.0023396395	0.0125460974	-0.0042277325	-0.0252339747	0.0787500527	-0.0664639227	-0.0095939503	0.0328994114	0.0324810257	-0.0623326677	0.0308562595	-0.0680205621	-0.0271695931	0.065517551	0.0401123201	0.0344115354	-0.056309596	0.009891733	0.0202597797	0.014906838	-0.1859526643	-0.0065101251	-0.0383404907	0.0825026767	0.0429796709	-0.0146927061	-0.0011960311	-0.0217824243	-0.2611221487	0.0899309652	0.0896638621	-0.0867900845	0.0973314464	-0.0233417678	0.1045294212	-0.0416553938	0.0320856836	-0.0114212151	0.1656415239	-0.2602440022	0.0621132926	-0.0562735456	0.0844105906	-0.0136556849	0.0276259359	-0.2754599401	0.0710832631	-0.0280927685	0.1410988542	-0.1193525329	0.0264003008	-0.0121307529	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	-2.28254e-05	-0.0123284254	5.2099888516e-10	0.0001519900728433	0.0367378	-0.0194893999999999	0.00134966594884	0.0003798367123599	-0.0261656	0.0085115999999999	0.00068463862336	7.244733455999996e-05	-0.00323618	0.0006686	1.04728609924e-05	4.470259600000001e-07	-0.00070593	-0.000295863	4.983371649e-07	8.7534914769e-08	-0.000464605	2.7223000000000048e-05	2.1585780602500003e-07	7.410917290000026e-10
543.188318459201	0.1962408148790473	0.0385104574243925	295053.5493105344	779.8305362915813	0.0979746469007523	608135.6653328154	0.009599031435327	561.9001873011337	-0.1056776203981826	0.0111677594530223	315731.8204890491	577.9461716004132	533.3508900465314	1.08313	14.052663	0.0506484246	0.0268578	-0.0692146451	-0.0061100729	0.1142443311	-0.0675479596	0.0131597877	0.0450577122	-4.80718e-05	0.0808765083	0.0429807811	-0.0144414433	0.0303146467	-0.0089484157	0.1648006546	0.0042135616	0.0794182196	0.0319568193	-0.0957803134	0.0163374984	-0.0708003973	0.1453999505	0.0530149202	-0.001588647	0.1162937648	-0.1562944962	-0.0789845547	-0.0451325121	-0.0382360485	0.0331398773	-0.0907861305	0.0486222389	0.0503757823	0.0455439011	-0.1140423819	0.0478699314	0.0127411974	0.0153776767	-0.059570935	-0.0320977271	0.0182162553	-0.1090393369	-0.1745652514	-0.0423589514	0.0984830146	-0.0318338152	0.0326736199	0.0074887345	-0.0163970719	-0.1079768393	-0.0265610911	-0.0528406488	0.0223167853	0.0795578994	0.0536454319	-0.0530581988	-0.104981101	0.0013209239	-0.0606534327	-0.0171956043	-0.0562236431	0.0603838398	0.0228225807	-0.1618361312	-0.0844327012	0.10005666	0.0041058508	0.008988	-0.0483424426	-0.012802326	0.1331924498	0.1274448166	0.0873985457	-0.0184438592	-0.0303387531	-0.0421247833	0.0431109314	-0.0460084936	-0.0419874425	-0.0193987496	-0.108298699	-0.0844530787	0.0952608224	0.010374748	0.0420869571	0.0228262313	0.2771125294	0.0187024713	-0.0387644586	0.0505948723	-0.019315249	-0.0236244548	0.0076494972	-0.1211644528	0.02929179	-0.0860155185	0.0244954483	-0.0876404741	-0.0278538354	-0.1169736697	-0.044716405	-0.0179901678	-0.0430416509	0.0237243311	0.0392213584	0.0225152388	0.0160573007	-0.0566854718	0.055453352	0.0047389373	0.0284663516	-0.0755949536	-0.0100397845	-0.0110642798	0.1156110499	-0.0721495698	-0.0310988953	0.0407664601	0.0229668478	0.0240812405	0.065327455	-0.0713560478	-0.0410605199	0.0128865213	0.0558393022	-0.0054723052	-0.0880488391	0.047839816	-0.0198067632	0.0182107777	0.1425697656	0.0330899722	0.0733307683	-0.0612188394	0.040439181	0.1212623583	-0.2517429542	0.0652773132	0.0789385546	-0.1610971284	0.0092445367	-0.022487058	0.0762680193	-0.0355154076	-0.0189182633	0.010236861	0.0825080036	-0.2347685658	0.0056738023	-0.0478754289	0.0206446877	-0.0056688179	-0.0780068771	-0.1387507178	-0.0277810742	0.1016349023	0.0948852647	-0.1168696874	-0.0829701107	0.022652427	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	-0.0146903	-0.0146674745999999	0.00021580491409	0.0002151348111416	0.0191172	-0.0176206	0.00036546733584	0.00031048554436	-0.026177	-1.1399999999998215e-05	0.000685235329	1.2995999999995935e-10	-0.00317054	6.564000000000006e-05	1.00523238916e-05	4.308609600000007e-09	-0.000616151	8.977900000000001e-05	3.79642054801e-07	8.060268841000002e-09	-0.000676165	-0.0002115599999999	4.5719910722500004e-07	4.475763359999999e-08
543.3474098875397	0.1590914283386837	0.0253100825708425	295226.4078314981	778.7072588709857	-1.1232774205956275	606384.9950183643	1.2617521636199662	562.427599917398	0.5274126162643142	0.2781640677947687	316324.80514884467	578.2797486995336	535.7025729611212	1.041234	13.509092	0.0314022499999999	0.02127	-0.1086144364	-0.0412304068	0.1451084637	-0.045562936	0.0666962171	0.0953909963	0.0585912889	0.0764925439	0.0380562265	-0.075419598	0.0038444377	0.0400131785	0.0395389668	0.0818807864	0.0232289453	0.0569127521	-0.1338329346	0.1076911304	-0.108840427	0.1784759746	-4.50908e-05	0.0651409613	0.1754641051	-0.0749412583	-0.0542595916	-0.0806821719	0.0006464841	0.0193029139	-0.0026884361	0.0167898608	0.0073409995	-0.0112914893	-0.1199546277	-0.0200267615	-0.0541456345	-0.0202840607	0.0033941372	-0.017542939	0.2099755754	0.0480637262	-0.0231484683	-0.1057278617	0.0019667757	-0.1277208547	0.0612239363	-0.0237013439	-0.0555687553	-0.0561061123	-0.0360783706	0.0212201264	0.0806959085	-0.0372445213	0.0279355044	0.0717074091	-0.0139347683	-0.0119370689	-0.0238117184	0.0528066588	0.0298919583	0.0232306148	-0.064810857	-0.1335510046	-0.1064227447	-0.080148942	-0.005327642	-0.0301639168	0.025657677	0.0226724981	-0.027854105	0.0919860034	-0.0933031029	-0.0083667409	0.0377338787	-0.1069048991	0.0690071841	0.0119575997	-0.0527076418	-0.0652493278	-0.1667305648	-0.1024372021	0.0328984694	0.0080689036	0.1605700554	0.010955583	0.1766622289	0.0250165564	-0.1094950617	0.0520913451	0.0313467001	0.0176780676	0.0759189985	-0.0804797181	-0.0416165765	-0.0636884729	0.110168553	-0.0141598257	0.0221974306	-0.0243771783	-0.0382994498	-0.0424091504	0.0317294962	-0.0947547291	-0.046421108	0.139229	0.0085009517	-0.0877171648	0.0593464888	-0.0746123869	-0.0307127379	-0.0838941084	-0.1917706494	0.0645177519	-0.0936402682	-0.0326262434	0.0196847799	0.0158051999	0.0866394946	0.0391879888	0.0614243569	0.0366653338	0.0273257769	-0.111032768	0.096579404	-0.067676395	-0.0974488949	-0.0436999789	0.0521844486	-0.0633190683	0.0317101052	-0.0544702505	-0.1208721913	0.0327815359	0.0507219846	0.0151479758	-0.2229836366	0.0358022816	0.0519585444	-0.1999044256	-0.0131731493	-0.0247227745	0.042036662	-0.0241834337	-0.1161920536	-0.0049288931	0.0243755562	-0.144869195	0.0195647722	-0.0603177912	0.0171460936	0.0169559404	-0.1231858584	0.0202191985	-0.0526698691	0.0448914929	0.0777180116	-0.0363503391	-0.0515508141	0.0111046681	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	-0.01859	-0.0038996999999999	0.0003455880999999	1.5207660089999992e-05	0.0244599	0.0053426999999999	0.00059828670801	2.8544443289999983e-05	-0.026177	0.0	0.000685235329	0.0	-0.00277994	0.0003906	7.728066403599998e-06	1.5256836000000008e-07	-0.000621064	-4.912999999999944e-06	3.8572049209600004e-07	2.4137568999999453e-11	-0.000628481	4.768399999999999e-05	3.94988367361e-07	2.2737638559999982e-09
543.0828163422156	-0.2645935453241463	0.070009744227201	294938.9454061926	779.3762122237059	0.6689533527202229	607427.2801801711	0.447498588115627	561.7955425479755	-0.6320573694224549	0.3994965182412336	315614.2316267742	577.8376195487402	534.2975218289073	1.011768	13.126801	0.05127195	0.0243328	-0.1156153421	-0.0293782684	0.1280737126	-0.0101232414	0.0780203407	0.1050680063	0.070064443	0.0884167472	0.0481693901	-0.0903731631	0.0787283367	-0.0089923481	0.0008687738	0.0318852493	0.0614632073	-0.1257079635	-0.1079497414	-0.0076805087	-0.0805805069	0.0387048069	0.2986114744	0.0239138217	0.0337376996	0.0499494268	-0.1272138935	0.007196406	-0.0317756342	0.0338654335	0.1461872361	0.0371233615	0.0565981987	0.0363374285	0.070553681	-0.0215538748	0.0110557915	0.0636053578	0.0799974668	0.1072953939	0.0198822934	0.0844071495	-0.0221272271	-0.0820747922	-0.0971906853	-0.0730785501	0.0711810366	0.0067157334	-0.0581650748	-0.03798438	-0.0207625756	0.05892168	-0.2129192816	-0.0026105061	0.0356739471	0.0542758953	0.0888194148	-0.1556049919	-0.0753535037	0.0167544011	0.0413234738	-0.0015338136	0.0317686722	0.0581734825	0.0788496161	0.0374410084	-0.0324868436	-0.0288035204	0.0257348643	0.0073954814	0.047081778	-0.0941108372	-0.0201255391	-0.0170649993	0.0285645912	-0.0397410739	-0.0750094327	0.1568473111	-0.0665483252	-0.0600431925	-0.0991115303	-0.1566958097	0.0205527182	0.0921501833	-0.0739720875	-0.0592483661	0.1384965938	-0.1013274795	-0.0184360291	-0.0141815549	0.0845881708	-0.0045544284	-0.0515213614	0.1965187226	-0.0503551391	-0.0677240256	-0.0009363289	-0.061984766	0.0808269187	0.0836360327	0.1070438039	-0.0299247012	-0.0921021085	-0.2039407458	0.023200727	-0.0485627516	0.0117007727	0.112339662	0.058535671	-0.0228275304	-0.083338676	-0.0301686421	-0.0353491691	-0.0644256166	-0.000966316	0.0759832872	0.0614860661	0.0025713909	0.0223807324	-0.009992297	0.0461530795	-0.0236945982	0.0151630719	0.0465155309	-0.0768650054	-0.0352673267	0.0668010656	0.0711143728	0.1062088533	0.054381824	-0.0313748192	-0.0402135423	-0.0542824585	0.1428370232	0.026484596	-0.0336797632	-0.232541766	0.0633797657	0.056036959	-0.1325709653	0.0776724063	-0.0144573522	0.0380773214	0.017467382	-0.0670750935	-0.0054326511	0.0291106825	-0.0930153275	0.0946144775	0.010585982	0.0081103687	0.0251125707	-0.0954963538	0.0055384283	-0.0132615684	-0.0438289216	-0.0836355788	0.0091077074	0.0211449186	0.0019014485	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	-0.0185962	-6.200000000001343e-06	0.00034581865444	3.844000000001666e-11	0.0367171	0.0122572	0.00134814543241	0.00015023895184	-0.0322095	-0.0060325	0.00103745189025	3.639105625000004e-05	-0.00256188	0.0002180599999999	6.5632291344e-06	4.7550163599999985e-08	-0.000836445	-0.000215381	6.99640238025e-07	4.6388975161000034e-08	-0.000402401	0.0002260799999999	1.61926564801e-07	5.1112166399999995e-08
542.2376995757629	-0.8451167664526338	0.7142223489393555	294021.7228412153	777.0463598714339	-2.3298523522720416	603801.045389446	5.428211983387565	561.8840057143723	0.0884631663967638	0.0078257318089415	315713.63587762875	578.1824732628618	529.2788236076096	1.14082	14.801133	0.0585226	0.0382416	-0.0839056722	0.0670768405	0.0909337995	0.0422458621	0.0330154243	0.1034725298	0.0067016835	0.0136215607	-0.0050932044	-0.1080307862	0.0204590145	0.0343187219	0.0504265437	-0.0456050844	0.2350090366	0.0297662663	0.0269296579	-0.0614207168	-0.1910670416	0.0156601676	0.0653716053	0.009410068	0.0819424696	-0.0508392977	0.1340049599	0.0979736526	-0.0829266066	0.0577186833	-0.0919156442	-0.1025337739	-0.0959850956	0.0987816275	0.0912108355	0.0194771231	-0.0156998739	0.0352600769	-0.0011945663	-0.0930648164	-0.0711072812	-0.0096939573	-0.0243878778	-0.1359150792	0.1403960349	-0.0107715398	-0.0322636064	0.0395783472	0.1106430393	0.0861849668	-0.0513684585	-0.1564316541	0.0209933344	0.0332279282	0.0921064157	0.0721883839	-0.1083576725	0.0101213576	0.0121059985	-0.0295292079	-0.0682480535	0.0084334223	0.0110835119	0.0277193506	0.0224420338	0.0865743212	-0.0556757492	0.016179484	0.024696067	0.0263252487	0.024439374	-0.1960294834	0.0708675693	0.0758097049	0.014733991	0.0215363694	-0.0596179736	-0.002499206	-0.1046250278	0.0264140229	0.0119061507	-0.0087729499	-0.1072480096	0.1177690145	0.0901270562	-0.0156925352	0.1336267235	0.0336302962	-0.031840176	-0.0184722941	-0.121998208	-0.1051189408	-0.1079037805	-0.0963621111	-0.1044888057	-0.0170791682	-0.1340206815	0.0658936945	0.0554509787	-0.0738731299	0.0305847874	0.121069844	-0.0979251592	-0.0161988878	0.0402220912	-0.0413482965	0.0567646618	-0.0210353343	0.0082943243	-0.013742948	0.1008936926	0.105266389	0.0688092796	0.0329055822	0.0204968318	0.1184017064	-0.1384410343	-0.0227835208	-0.0403573806	-0.0497386479	0.0443463531	-0.0419835828	-0.0591113949	-0.0343322317	0.1048680462	-0.0317447536	0.0320554584	-0.0108108133	-0.0264582687	0.0257101579	-0.0840500705	0.0009147894	0.1017572692	0.0208949186	0.0152380034	0.077343528	-0.1424588031	0.0963646131	0.0099579086	-0.1107444216	0.0725851908	-0.0459348489	-0.015709402	-0.0524498656	0.1076997424	-0.0040130742	0.0375853506	-0.0403040181	0.0012033471	-0.0397518162	-0.1853247486	-0.0234637307	0.1204581643	-0.0530455142	-0.035965317	-0.0216331045	-0.0979185908	0.0644619523	0.0691864674	-0.0146840922	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	-0.018582	1.4199999999998936e-05	0.000345290724	2.0163999999996974e-10	0.0367003	-1.680000000000431e-05	0.0013469120200899	2.8224000000014486e-10	-0.0261843	0.0060252	0.00068561756649	3.6303035040000017e-05	-0.00193893	0.0006229499999999	3.7594495449e-06	3.880667024999999e-07	-0.000410067	0.000426378	1.68154944489e-07	1.81798198884e-07	-0.000402401	0.0	1.61926564801e-07	0.0
542.2704436190588	0.0327440432959065	0.0010721723713642	294057.2340228109	778.972400376509	1.9260405050750933	606798.0005483401	3.709632027189921	561.4484609009627	-0.4355448134095923	0.1896992844879965	315224.3742480598	577.6738159855039	527.6510591621193	1.151001	14.933229	0.04863885	0.0366874	-0.0173308649	0.1023307618	0.0649365224	0.0251250375	-0.0582003324	0.0655748514	-0.0852151675	0.0233696795	-0.0658309542	-0.0618810422	-0.1124696018	0.1084014305	0.2090617019	0.0160542557	0.0559903487	-0.0622722929	0.0885548312	-0.0111150375	-0.1172092757	0.0525479364	0.0383806729	0.0304033423	-0.0153716173	-0.0828158114	-0.0085338324	-0.113532293	0.0220446055	0.1403787	0.0285870512	-0.0043330787	-0.1412077708	0.0402365925	-0.0312801317	0.080870434	0.0170077184	-0.0561998717	-0.0032513391	0.0229074924	-0.0228044042	-0.0024341214	-0.1279726742	0.0379439198	0.0233543164	-0.0012072168	-0.0881049512	0.06546989	0.03571959	0.1244505719	-0.1241062727	0.0196824451	-0.1003106843	-0.0052924514	0.0443751231	-0.0008399555	0.1200189162	-0.0227001576	-0.0045593579	0.0497696989	-0.1924889123	0.0201996973	0.0625222781	0.0315958624	0.0832002011	-0.0372352111	-0.0438987481	0.1307298701	0.0187213542	0.0250123336	-0.0363346574	0.0004581894	-0.1047383602	-0.0439668118	-0.0335844113	-0.0901585385	0.0418123978	-0.0888409831	-0.0593046768	0.0971920557	0.0273200556	-0.0444820318	0.026445539	-0.0337337229	0.1324492283	0.0404692356	0.1737628171	0.0494139259	0.0279127365	0.0681956756	-0.0032259152	0.0562106765	-0.1063564907	-0.0643668495	0.0428514518	0.0750265831	-0.1278913417	-0.0283802414	-0.0361082304	0.0790520516	0.0346398885	-0.0485152571	-0.1587946914	0.106861235	0.0329610489	0.0089362536	0.1023918987	-0.0119636112	-0.0121015649	-0.0143930454	-0.0037744223	0.0313175447	0.0444721338	-0.0256797621	-0.1001480265	0.2143660886	0.0326837562	-0.0680402818	-0.0067008696	-0.0108589709	0.0256021244	-0.048379881	-0.0186004452	0.080517958	-0.0013311889	0.0615217737	0.0674141647	-0.0522184245	-0.016562409	0.034704515	-0.0264672071	-0.1073808036	-0.0831628397	0.0032116132	-0.0037706852	0.0351482943	-0.0525583788	0.095179899	-0.0414542761	-0.1264806644	-0.0435398936	-0.0863940833	-0.0479583045	-0.1190566375	0.0758449656	-0.0234749373	0.0215019074	-0.0266331856	-0.0159352696	0.0464924411	-0.0921378028	-0.0784861552	0.0021827772	0.1201931826	0.0577622582	-0.0044930128	-0.0551791968	0.1210009305	0.0633090415	-0.0956213304	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	-0.018582	0.0	0.000345290724	0.0	0.0018236	-0.0348767	3.3255169600000003e-06	0.0012163842028899	-0.0167467	0.0094376	0.00028045196089	8.906829376000002e-05	-0.00202542	-8.649000000000005e-05	4.1023261764e-06	7.480520100000008e-09	-0.000410068	-9.999999999615351e-10	1.68155764624e-07	9.999999999230705e-19	-0.000402401	0.0	1.61926564801e-07	0.0
542.0037159742739	-0.2667276447849644	0.0711436364925341	293768.0281299213	776.9555331802895	-2.0168671962194367	603659.900539468	4.067753287186052	561.2168499859579	-0.2316109150048078	0.0536436159493643	314964.3527081612	577.1860861286038	528.0506939541639	1.014472	13.16188	0.05150086	0.0287741	-0.0096606321	0.0990000247	0.0429711248	0.0313456604	-0.0629360715	0.0657632903	-0.0682228249	0.0056425322	-0.0261992451	-0.0040497561	-0.0724793084	0.1601990075	0.0299920101	0.0664679199	0.0150376272	-0.0881863117	0.0631258745	-0.0535023474	-0.0807419752	-0.0668450733	0.0504048425	0.0723603881	-0.0244448958	-0.0471602758	0.0650259702	0.0114410633	0.0129091707	0.0002254744	-0.0677124844	0.0202878847	-0.0804394713	0.0975649528	0.0342833256	-0.0646705571	-0.100813316	0.1375958831	-0.0747906479	-0.027268234	-0.096631477	0.0531108413	0.0258124703	0.0071998155	-0.0957095569	0.1209428812	-0.0180756497	0.0836174053	0.0042417819	-0.0626126986	-0.0568681059	0.0585506887	0.0543565515	-0.0177099413	0.0381090081	0.081119909	0.0483697109	-0.051226393	-0.0690962257	0.0799127794	-0.0014620112	0.146172419	0.0211259795	0.0834826552	-0.1136782828	0.0152632418	-0.0410030807	-0.0023397888	0.0372526475	-0.0262196335	0.003123179	0.0442431852	0.0108854413	-3.62522e-05	0.1273851479	-0.0066216841	-0.0660553211	0.0346477454	-0.0576881153	0.0790653646	0.0821022323	-0.1111367982	0.0247945769	-0.0161287761	0.10592796	-0.0028137457	0.0028977888	-0.0564384725	0.068033009	-0.0822116649	-0.1006513995	-0.0368440767	-0.0724047064	-0.0365745767	-0.0119412854	0.0567652401	-0.0035112481	0.0869880188	0.0084648884	-0.0109626212	-0.0200301367	-0.0005849023	-0.0583185837	-0.0082571884	0.0903043419	-0.1440610493	-0.1403257648	0.0368931025	-0.0422712169	0.0085854848	-0.0399382128	0.0051981823	-0.0383918606	0.0367212902	-0.0592104043	0.1015337407	0.076650056	0.0507421288	0.0738398385	-0.0519604399	0.0917113155	0.032184415	0.0597024234	-0.0582169452	0.0086101991	-0.0201173224	0.0491275404	0.0145576569	-0.0764035934	-0.1173428243	0.0542051917	-0.1018115467	-0.0228339876	0.0658310197	-0.0867505836	-0.1455732758	-0.0843060148	0.126677856	0.0050308959	-0.0152283775	-0.0424122817	-0.1128579961	-0.1125069697	-0.0484989708	-0.0099071207	-0.0248173939	-0.0285128309	0.03980485	-0.0015034225	0.0652443933	-0.0290851521	-0.0416695481	9.12952e-05	0.1736627579	0.102655063	-0.0663681981	-0.1036095652	0.1466644292	0.0554844884	0.0054839245	0.1022690613	0.1004765409	0.0975122434	0.0934107389	0.0	-0.00762734	0.01095466	5.81763154756e-05	0.0001200045757156	0.023155	0.0213313999999999	0.000536154025	0.0004550286259599	-0.023149	-0.0064023	0.000535876201	4.098944529e-05	-0.00176917	0.0002562499999999	3.1299624889e-06	6.56640625e-08	-0.000410068	0.0	1.68155764624e-07	0.0	-0.000402401	0.0	1.61926564801e-07	0.0
