global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17
563.4874028487617	n/a	n/a	317518.05316924263	754.227333942071	n/a	568858.8712653643	n/a	585.3735819650773	n/a	342662.23046262504	n/a	598.2288059419876	506.29912219204266	n/a	n/a	n/a	n/a	-0.0984434769	-0.0237531341	-0.0620740921	0.0908177256	0.0343827051	0.0235379895	-0.0542136854	0.1058967647	-0.0756972731	0.2074608019	-0.1456707504	0.1965655725	-0.2885176037	0.2233741866	-0.1428958994	0.0802384573	0.224138012	-0.0261659805	0.0235332152	0.001088433	0.084112556	0.0628162979	-0.02064855	0.0180781962	-0.0314138898	0.0060744565	-0.10850697	0.0324391802	-0.0829049517	0.0893284625	-0.0036194994	0.0945604568	-0.0868969415	0.0252223876	-0.0112635758	0.0287899361	-0.0126170537	0.0054178609	-0.0312149071	0.086119495	-0.0939331786	0.0126274481	-0.1793529423	0.0390770079	-0.0707338115	0.012047656	-0.0476211339	-0.0758420593	0.0433160541	-0.0232159515	-0.0209911606	0.0178294596	0.0484612705	-0.0746072594	0.0466194818	0.1222298785	-0.0578210434	0.0206010456	0.1259074861	-0.0145350292	-0.0561566296	0.0122899284	0.0312111977	-0.1211434757	-0.0175497669	-0.0113153782	-0.0383339798	0.0651952138	-0.0020274368	-0.0188349464	-0.01234701	0.0898045508	-0.0275171184	-0.0114194369	0.0376867876	-0.0405316813	0.1111406719	-0.0981428146	0.0822697444	-0.0366506991	0.1274048696	-0.0530030358	0.1222532335	-0.0410065305	0.0878825338	-0.0114148076	0.1277053834	-0.0139754282	0.1348967651	-0.0324508576	0.0154096707	-0.130573062	0.0614240972	-0.1280391869	0.0401782945	-0.0384456337	0.0945789012	-0.0194868676	0.1188490376	-0.0189202599	0.0298653271	-0.1086585339	0.0054363828	-0.0668712001	0.0035052153	-0.0611803879	0.0846615414	0.0480246717	-0.047550123	0.0202165668	0.0812460403	-0.0289633849	-0.0501450684	0.1366248325	0.1460347855	-0.0214573521	-0.1481265868	0.0531287574	-0.0707493468	-0.0121522375	-0.0029753558	0.0003902413	0.0006751734	0.0393382753	0.0458583088	-0.0204288392	-0.0694243234	0.1687809975	0.0066490427	0.1112710237	-0.1411005156	0.045502217	-0.0125653509	0.1441202716	-0.0220484552	0.2249195488	-0.0470965065	0.1643218016	-0.1143442259	0.0075753747	-0.0400165663	0.0359786003	-0.0855154212	0.0571670738	-0.1000950428	0.0090899018	-0.23905703	0.1704070263	-0.0219845282	0.0509126827	-0.0280831296	0.1619619351	0.0634660015	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0127699	n/a	n/a	0.00016307034601	-0.126203	n/a	n/a	0.015927197209	-0.0439872	n/a	n/a	0.0019348737638399	0.00329102	n/a	n/a	1.08308126404e-05	-0.0	n/a	n/a	0.0	-0.000343506	n/a	n/a	1.17996372036e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.8524396503656	-1.6349631983961217	2.673104660109676	315678.1639410677	750.5089739395739	-3.718360002497093	563263.7199638321	13.82620110817018	584.7376931780777	-0.6358887869995442	341918.16982321977	0.4043545494317517	597.6655039864779	509.4491047959047	1.422808	20.293608	0.0922168	0.0516992	-0.0609903359	0.1428383335	0.0590196448	0.022396742	-0.0890351749	-0.0109237062	-0.0776613533	-0.0457767443	-0.066924474	-0.0264406388	-0.0874289247	0.0197056815	-0.1984434482	0.1845673457	0.0436091623	-0.1032952754	0.1116916255	0.0008998938	0.0285725861	0.0356110831	-0.0532033373	0.0454543511	-0.1355450335	0.0122838909	0.0360808604	0.1122965156	0.045524626	0.1008037616	-0.0270529554	0.052958707	-0.0438972178	0.145141509	-0.0349117703	0.0407656327	0.0626317854	0.0285870308	0.0879510405	0.0212917995	0.1092207129	-0.0219892651	-0.0515304158	0.0569331245	0.0166037137	-0.0710072874	-0.1205708301	-0.0188385897	-0.241538256	0.087006959	0.0779248608	0.0291705705	0.0891414804	-0.0039567541	0.0344376285	-0.1304731883	-0.0508189635	0.0256113551	0.0881906892	-0.0359428532	-0.0044659002	0.057306121	-0.0418636114	-0.0138349969	-0.1053406729	0.0860461197	-0.0388219782	0.0155667676	0.0428449127	-0.0282761147	-0.0351055398	0.0503758873	-0.0672773959	-0.0775816841	-0.0446675392	0.0054749715	0.0647601759	0.0880069626	0.0557978037	0.0391288412	-0.0236812571	0.141678538	0.039925849	-0.0219423918	0.0440539986	-0.0760369928	-0.020695735	-0.0294184545	0.0475336564	-0.0061433285	0.0846272974	-0.2148960444	-0.0704887751	-0.0919160018	0.052480204	-0.064902339	0.0533827596	-0.0099890395	0.0533555002	0.0017845277	0.0676170253	0.1347322887	0.0187187513	-0.0512452834	0.0747386207	0.0666487031	-0.0166060925	0.0560916892	-0.1142247988	-0.0148450017	-0.04864764	-0.017094472	-0.0527630123	0.0278114303	0.1035746892	-0.0382099851	-0.0129738289	-0.1412831944	-0.11732673	0.0622905208	0.0390507774	-0.1500063053	-0.1036851243	-0.0633191905	-0.0865938269	0.0050138141	0.0642871888	-0.0421461414	0.0776787634	0.076187896	0.0074202534	-0.0368587706	-0.1499722953	-0.0199971068	0.1439750355	0.108587739	-0.0570109121	0.2002861896	-0.0844727904	0.1474970299	-0.0782718391	0.1762058652	0.0621473845	0.0206513881	-0.0040980139	0.0223217322	-0.1111648439	0.0874455697	-0.0608365881	0.068056448	-0.0606963174	-0.0327509581	-0.0084479157	-0.0398989779	0.1050431768	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0161074	-0.0033375	1.113890625e-05	0.00025944833476	-0.0786218	0.0475812	0.00226397059344	0.00618138743524	-0.0296131	0.0143740999999999	0.0002066147508099	0.00087693569161	0.00300796	-0.0002830599999999	8.012296359999995e-08	9.0478233616e-06	0.000186938	0.000186938	3.4945815844e-08	3.4945815844e-08	-0.000275024	6.848199999999997e-05	4.689784323999996e-09	7.563820057600002e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
560.9708943746476	-0.8815452757179401	0.777122073140619	314688.34433549206	748.7899981515066	-1.7189757880673824	560686.4613317332	2.9548777599618785	585.7749635848635	1.0372704067857512	343132.30796284816	1.0759298967934778	598.2638393174662	497.5100998902225	1.280209	18.259699	0.068643865	0.0324578	0.0157363708	0.0364658168	0.065315945	0.0318776887	-0.0675838185	-0.0218870092	-0.0931234366	0.0152701018	0.0757564775	0.0588993962	-0.049178694	0.0467397316	0.0617084461	-0.006775988	0.246403121	0.1077014893	0.0510968037	-0.061482442	0.0320121482	0.0968599691	-0.0657372511	-0.1336465382	0.0112366185	-0.0474144093	-0.0148051072	0.086210946	0.0996634614	-0.052931479	0.1420316036	-0.0090460619	0.0476126233	0.1042056999	0.0390106211	-0.0763320214	0.0451113777	0.0696908319	0.0358031686	0.0767886993	0.0893967829	-0.0286752412	0.0037160721	-0.1044309683	0.1489409239	-0.0412890318	0.107588034	0.0654636122	-0.0359401639	0.0396412547	0.035518985	-0.0038358366	-0.0143173755	0.0139141058	0.0287187003	-0.0788142346	-0.091507294	0.0047729201	0.0234536903	0.0017790329	-0.0393130972	-0.0264889706	0.1264833722	-0.0717198842	-0.0993299654	-0.0282154062	-0.0560560548	-0.1185658808	0.0012087068	-0.0400780881	-0.0550391034	-0.0128053167	-0.019299224	-0.0875146275	0.0490918702	-0.0127145651	0.0987994187	0.0102969294	-0.1062263781	0.0085891037	-0.1098345817	-0.0238242214	-0.0642750626	0.0325371333	0.0856039664	-0.1460265694	0.0456199508	-0.1013450139	0.0191791529	-0.0504107662	0.0306892654	-0.1284669995	-0.009924655	0.0682591616	-0.2474654384	-0.0243766516	-0.0143771462	-0.0251402646	-0.16495703	0.0026283547	0.025658024	0.0138965729	0.0334820261	0.0108844604	-0.0273841024	0.114207693	0.2106901858	0.0313182473	-0.0027380201	0.0149259823	0.0428816646	-0.0129619979	-0.0410699326	-0.1515039043	0.006187233	-0.1570866456	0.0257384814	-0.0284972996	-0.0597029944	0.0080292311	0.0158895168	0.019972898	0.071474781	0.0911408602	-0.0109165397	0.0738833433	0.0965641406	0.00656878	0.0524476984	-0.0961244186	-0.0138883508	-0.0220163828	-0.1105365251	-0.0453511905	-0.0275125064	0.0476952592	0.0202948707	0.179948495	-0.1351865497	0.1100402941	-0.1226085579	0.0356203155	-0.0214044335	0.025955336	-0.1126336789	-0.0705353937	-0.1225239174	-0.0993984551	0.0243664053	-0.0052262666	0.0281952066	0.002394245	0.0304882419	0.0351291605	-0.0084413148	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0096783	0.0064291	4.133332681e-05	9.366949089e-05	-0.0588292	0.0197926	0.00039174701476	0.00346087477264	-0.0296374	-2.4300000000001404e-05	5.904900000000681e-10	0.00087837547876	0.00264515	-0.0003628099999999	1.3163109609999994e-07	6.996818522500001e-06	-1.0055e-23	-0.000186938	3.4945815844e-08	1.0110302499999999e-46	2.31853e-05	0.0002982093	8.892878660649002e-08	5.3755813609e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.5598322194086	-1.4110621552390512	1.991096405947876	313107.20583341265	746.5297848659241	-2.260213285582495	557306.7196919628	5.108564096323616	585.129059808042	-0.6459037768214557	342376.01663184323	0.4171916889122208	597.3661889154769	499.4462130857903	1.665412	23.75388	0.091551885	0.0437551	-0.0334185274	0.00956979	-0.1475031859	0.1648648331	0.088111071	0.0198539767	-0.0071340612	0.0817752126	-0.1188639066	0.1721681541	-0.0276567785	0.0604399195	0.0119441692	-0.0628109683	0.1931379535	-0.0277766147	0.001945387	-0.0302433966	0.1297002373	0.0294674009	0.0502349956	-0.0973882517	-0.006694216	-0.0106929724	-0.0261745608	-0.0309443381	-0.0121681961	-0.1410106509	-0.0900946472	0.0854348996	0.0731024233	0.1324458185	0.213650426	-0.1451911469	-0.0202303682	0.0603441294	-0.0807049563	0.0750443737	0.1002970696	-0.0055776201	0.0840069577	-0.1123035429	-0.0206117111	0.0274212663	-0.0664898963	0.0501821949	0.0586655609	-0.1299441565	-0.1287100892	0.0346714585	-0.0322790855	-0.0618679336	0.0876024461	0.0881189069	0.1143170361	0.0417174965	0.0357522428	0.1391463986	-0.0693731465	-0.0731753152	-0.024984555	0.016826737	-0.0805573028	0.0594848449	0.0770107758	-0.0520220497	-0.0094609001	0.1234426511	-0.1423918263	0.0879561499	0.0588401128	-0.0256609501	0.0036139729	-0.0523915085	0.0624856777	-0.0604278783	0.0808735495	-0.0386336829	-0.0252087468	-0.0676798519	-0.0203183727	-0.0201997348	0.1955888321	-0.0895190336	0.0267265346	-0.0391673139	0.1358990374	0.1343983255	-0.0627653542	-0.0309014869	0.0119868998	0.1418396002	-0.1652629868	0.1351713092	0.1057996573	-0.0005519089	0.0233126278	-0.0064181621	0.0040931198	-0.0681741259	-0.0589176799	0.0682742884	0.0668412821	-0.0025620597	0.1449118108	-0.0552766202	0.0959798546	0.0685813578	0.0708910538	-0.0302337419	-0.0882861222	0.1620342389	-0.0379192686	0.0617644771	0.0550135529	0.0588691167	0.0535890581	0.0564128996	0.0236023637	0.0161101909	-0.0587163186	0.016483224	0.0688577173	-0.0520150557	-0.0521042097	0.0177847505	0.1794640512	0.0114362528	-0.1266120575	0.0324813542	-0.0829106144	0.0735532263	0.0202250612	0.1584989609	0.0561177006	0.0914692027	-0.0425881297	0.1195060206	-0.1208891575	-0.0751247854	-0.0794505025	0.008680081	0.0131311491	0.0603391237	0.0586987951	-0.0485077674	0.08182709	0.1200786452	-0.0277805284	-0.0522902779	0.0375373721	0.0216088419	0.1156515668	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0161294	-0.0064510999999999	4.161669120999997e-05	0.0002601575443599	-0.0700781	-0.0112489	0.00012653775121	0.00491094009961	-0.01004	0.0195974	0.00038405808676	0.0001008016	0.00224222	-0.00040293	1.623525849000001e-07	5.0275505284e-06	0.000459507	0.000459507	2.11146683049e-07	2.11146683049e-07	0.000245838	0.0002226527	4.957422481729002e-08	6.0436322244e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
557.6213848315504	-1.9384473878582185	3.7575782754943514	310941.608821456	748.8695750630303	2.339790197106254	560805.6404550836	5.474618166474522	584.6282094102521	-0.5008503977899181	341790.1432382376	0.2508511209663192	597.2729467431535	485.1083640968613	1.717209	24.492668	0.0999377315	0.0478822	0.1400028644	0.1422697177	-0.0234422282	0.0884080489	-0.005976094	0.140861071	-0.1163228133	-0.1199892731	-0.0412194854	-0.2029861525	-0.0322490038	-0.0336458633	0.0163315958	0.0455003793	0.0893670074	-0.1131250853	0.0316030613	0.0350997942	0.1206272127	0.0510603396	-0.031737146	-0.1668995163	-0.0009148909	-0.0070144171	0.0898521372	-0.0143221128	0.0708604437	-0.1453386243	0.0395731682	0.003949456	-0.0036268411	0.0509669612	0.2199919969	0.1005394954	0.0960224876	0.0694872609	0.0559823671	0.0111856575	-0.0289231039	-0.1086012438	-0.0671830637	-0.0991415535	-0.0009916442	-0.0325247482	-0.1401978195	-0.0831833487	0.0922042115	-0.1235857539	0.1217946262	0.0334973874	0.0831540852	-0.0962489954	-0.0322362412	-0.0294099503	0.0816937292	-0.0901527129	0.1271215816	-0.0557008304	-0.0346493517	-0.0128987331	-0.0036670249	0.0079839492	0.0958207335	0.0361945837	0.0589622563	-0.083912291	-0.073980284	-0.0312151504	0.0359677401	0.0170175211	0.0309870716	-0.0099885287	0.0144407648	-0.1337007235	0.1007619617	0.0437430747	-0.021158307	0.0408877247	-0.0609669557	-0.0234463997	-0.0438156319	0.0468237699	0.0837875001	-0.191227337	-0.0911422487	-0.1462930647	-0.0128343676	0.092376848	-0.0190381942	-0.1345868335	0.015872351	0.1239963411	0.0224440055	0.0919128334	-0.0230347831	-0.0180861904	-0.0516183144	0.0889416411	0.0485556279	0.0757748902	-0.0344004797	0.0178465938	-0.1927285041	0.0075602099	-0.1542999685	0.0729625444	0.0446059823	0.0226431468	0.1049086147	-0.0671783363	-0.0573475882	0.0889835193	-0.018411569	0.0982181522	-0.0095006823	-0.0514710246	0.0497002417	-0.0487075593	0.0042212658	-0.0506286168	-0.0908728854	0.0937325667	0.0542951592	-0.0096569159	-0.1362646085	-0.1051313409	-0.1072612107	-0.1149611024	-0.0380129334	-0.1535686633	-0.0896573642	-0.0082783765	0.0552856902	0.0907002401	0.089091281	0.0987446122	-0.0694138954	0.0456149078	-0.0939635782	0.0784207686	-0.0844531037	0.0472149533	0.0339044165	0.0451154602	-0.0680446474	-0.0643137121	0.0288097912	-0.0124961031	0.0348047115	-0.0754154452	0.0309022833	-0.1032584669	-0.0756019939	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0161147	1.4699999999999436e-05	2.1608999999998338e-10	0.00025968355609	-0.0481111	0.021967	0.000482549089	0.00231467794321	0.00418632	0.01422632	0.0002023881807424	1.7525275142400002e-05	0.00280393	0.00056171	3.155181241e-07	7.8620234449e-06	-0.0	-0.000459507	2.11146683049e-07	0.0	-7.53923e-06	-0.00025337723	6.42000206824729e-08	5.68399889929e-11	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
558.2231267280825	0.6017418965321895	0.3620933100421562	311613.0592140769	742.3559472317123	-6.51362783131799	551092.3523902928	42.4273475249203	584.7513912623932	0.1231818521411014	341934.18958330445	0.0151737686969121	597.0149052140907	475.50775682076886	1.396122	19.912979	0.1486273615	0.0703438	0.187082872	0.0123636871	-0.0469474189	-0.0326870996	-0.028385704	0.1574182024	0.0697794742	-0.0635213603	-0.0071635817	-0.001537094	0.0439443842	0.1608426785	0.0807496875	0.0062863786	0.1108029621	-0.0282846257	0.004589092	0.0543142343	0.1211341382	-0.0131523064	-0.0089184644	-0.1823950545	0.0738358391	-0.0004938933	-0.0205223756	0.0577713923	-0.0704112835	0.0281494421	-0.0490167338	-0.0174111431	-0.1096208455	0.1034657453	-0.0623992515	-0.0807611111	0.1402635895	-0.1248590668	0.0098908384	0.009067519	-0.0736569814	-0.0029040825	-0.1710791558	-0.0066868446	-0.1629579894	-0.0934794068	0.0612391823	-0.0337740009	0.1374762563	-0.0335337625	0.0536073022	0.0311995995	-0.0556169347	-0.1446110276	-0.1021226242	0.0948325961	-0.0075311576	0.0190261727	-0.0716094391	0.0617201351	-0.0316447225	-0.0161619548	-0.0470251681	-0.0862013783	0.0136642871	-0.0449701442	0.0121065721	0.0818000457	-0.0820107091	0.0050314506	-0.0308284237	0.0115401536	-0.1090851803	-0.0651622073	-0.0138686129	-0.1211890744	-0.0061774125	-0.0541153422	0.0403676423	-0.0369816621	-0.0360825508	-0.1734332477	-0.0519028716	0.0298850122	0.1013081152	-0.0053987813	-0.1259492501	0.0670559475	0.0391651585	-0.0506724986	0.074665589	0.0056697372	-0.0047827324	-0.1054706903	-0.0429406175	0.1141850483	0.0462383596	-0.2101051262	0.0748574329	-0.0222310598	-0.023912767	0.0034476029	-0.0822788799	-0.0392327886	-0.1932407791	-0.0151506116	-0.1539205151	-0.1060224042	-0.0114671997	-0.0131463731	0.0354609812	0.0563637316	0.1043884895	-0.0013565214	0.0755608315	0.0086888434	-0.0167588342	-0.0736352787	-0.09262175	0.0923733323	0.100549743	0.1554872384	0.1121077788	0.0507722278	0.0416179315	-0.0206207944	-0.0171901186	-0.0089809218	0.0229390574	0.1699642273	-0.1073595235	-0.1298203692	0.0447196264	-0.0340750883	-0.063523308	0.0597179452	0.1430262041	0.1181164405	-0.0194761849	0.0785685046	-0.0673624024	0.0778084977	-0.0250138874	-0.0558195761	-0.0783138309	-0.0629049009	-0.0519484172	3.56236e-05	0.143229921	-0.0833581002	-0.0019453529	-0.0025859367	0.023762324	0.0083472973	0.0293517769	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0343803	-0.0182656	0.00033363214336	0.00118200502809	-0.026739	0.0213720999999999	0.0004567666584099	0.0007149741209999	-0.015828	-0.02001432	0.0004005730050623	0.0002505255839999	0.00163594	-0.00116799	1.3642006401e-06	2.6762996836e-06	0.000534677	0.000534677	2.85879494329e-07	2.85879494329e-07	6.93006e-05	7.683983e-05	5.904359474428901e-09	4.802573160360001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.0650766012913	2.841949873208705	8.076679081830974	314794.0201816128	747.3138750675283	4.957927835816008	558478.0278684454	24.581048425159207	585.1123597494475	0.3609684870542651	342356.47353156685	0.1302982486462451	597.023749544506	474.3488538304979	1.451246	20.699217	0.103994827	0.0674097	0.1074857649	-0.1080984777	-0.050468173	-0.1042583508	-0.0213453113	0.0865590485	0.1061960571	0.0057281744	0.1431693287	0.0318490862	-0.0564643983	0.013633848	0.0375423346	-0.0165220727	-0.0357461073	-0.0308368885	-0.0599887141	0.0242363218	-0.0451794175	0.0320105795	0.1199058797	-0.0364983041	0.1134726491	-0.0101979012	-0.1088731997	0.0206386274	-0.0274669419	-0.0069700438	-0.0338424556	-0.0632687425	0.0515165972	-0.1016772895	0.1291755705	0.0729775631	0.0742779055	-0.0145193231	-0.0140301599	-0.1021215652	0.0815914511	-0.0038083542	0.00936205	-0.0824996939	-0.0143906856	-0.0307804077	0.0739291018	0.0337676541	0.0044726489	0.07461901	0.0175042915	-0.0360268887	-0.112422065	0.0442493914	0.1288406147	0.0081265287	0.1470403696	0.0073975024	-0.1010142471	-0.0331343521	0.0049928407	-0.037230957	-0.051543855	0.0641936073	0.0551957258	-0.0386822291	0.0846845659	0.0554379103	0.0789431392	-0.0364156291	-0.0158643798	-0.0259030272	-0.1304397804	-0.0619551326	0.0322238376	-0.0159208386	-0.0845558699	-0.0854564064	-0.0358042473	-0.1244227209	0.0894127893	-0.1017707825	-0.09226704	-0.0380145164	0.0094506808	0.0167737562	-0.0828763056	0.0499866253	0.0013025207	0.0264863985	-0.0187201835	-0.0844534114	-0.0348987527	0.044394257	0.0567070102	0.0803138693	-0.1290841603	-0.1511071493	0.0823781697	0.0968157647	-0.17323107	-0.0909299733	-0.0477000048	0.0572324698	0.0469657401	0.00957618	0.0321836918	0.0127946225	0.0384812017	-0.0712070429	0.0215049777	-0.0536655917	-0.0398810339	0.0028691965	2.24813e-05	-0.0567384517	-0.179754746	0.0900286341	0.1139369758	0.1367898391	0.017073134	-0.0941485619	0.0097286336	0.0013725281	-0.0811987532	0.0242167888	0.0756243505	0.0647791075	-0.1012052203	-0.0343445839	0.0030124859	0.0715214777	-0.0343678201	0.0075624508	-0.1456269627	0.049421451	0.0807540246	0.0033342368	0.0669166126	-0.0088111547	-0.0368178358	0.1180779548	0.0389836409	-0.0484112119	-0.0867860312	-0.0780735992	0.0795835662	0.0392918174	0.0710877792	-0.0800276511	0.0014518769	0.0336443277	0.0389746142	0.0334230717	0.1284729931	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0151596	0.0192207	0.00036943530849	0.00022981347216	-0.0882415	-0.0615025	0.00378255750625	0.00778656232225	-0.0184041	-0.0025761	6.636291210000006e-06	0.00033871089681	0.00137706	-0.0002588799999999	6.701885439999998e-08	1.8962942436e-06	0.000618016	8.333899999999998e-05	6.945388920999997e-09	3.81943776256e-07	-2.39094e-06	-7.169154e-05	5.1396769075716e-09	5.7165940836000004e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
