global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30
565.3899188822749	n/a	n/a	319665.76037370536	753.7104881658787	n/a	568079.4999712472	n/a	578.5759116425836	n/a	334750.0855330467	n/a	591.6667460521536	467.6884888963898	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-5.035020000000001e-07	n/a	n/a	2.5351426400400013e-13	-5.693880000000001e-07	n/a	n/a	3.242026945440001e-13	-0.00409341	n/a	n/a	1.6756005428099996e-05	5.58062e-05	n/a	n/a	3.11433195844e-09	-0.0	n/a	n/a	0.0	5.00895e-05	n/a	n/a	2.50895801025e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
563.6160162993189	-1.7739025829559978	3.1467303738179604	317663.01382911403	749.941694589359	-3.76879357651967	562412.5452835595	14.203805022415924	577.702255725373	-0.8736559172106126	333739.89627018425	0.7632746616771169	591.2191096584161	472.5818899694085	1.045259	15.560533	0.058050396462	0.0341012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-9.70576e-07	-4.67074e-07	2.1815812147600001e-13	9.420177717760001e-13	0.021423	0.021423569388	0.0004589693253224	0.000458944929	-0.0247376	-0.02064419	0.0004261825807561	0.0006119488537599	0.000267023	0.0002112168	4.461253660224002e-08	7.130128252900003e-08	-5.83371e-05	-5.83371e-05	3.40321723641e-09	3.40321723641e-09	0.0	-5.00895e-05	2.50895801025e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.3342553028037	-2.2817609965151178	5.206433245217664	315096.1461763533	747.1704688793276	-2.771225710031445	558263.7095653543	7.679691935939284	576.5142605847742	-1.1879951405987867	332368.69265760895	1.411332454086331	589.6955827619557	469.8833686357737	1.215328	18.092319	0.054991056476	0.0314812	-0.0189358989	0.0323388284	-0.0139791104	0.0401640632	0.1557312093	-0.007223829	0.0608654201	-0.0104266149	0.0163730818	-0.0336085531	-0.0123554277	0.0367086553	-0.0094371158	0.0491398758	0.0389522308	-0.08922479	0.0534842349	-0.1352011686	0.0054668146	-0.0241168014	0.0634687102	-0.1031933025	0.0713151166	-0.0551843598	0.0362570005	-0.0321668259	0.0125124177	-0.0752052735	0.0287942934	-0.0358114341	0.1349571383	-0.0135424275	0.0780156651	-0.1370619384	0.0102344961	-0.0027996446	0.2047381623	-0.0132497159	0.0458302736	-0.0841831674	0.0392423526	-0.042116861	0.0298274539	0.109274809	-0.004493582	-0.0871744647	0.1249887278	-0.0147846204	-0.0910105967	-0.0118426921	0.0061169319	-0.0619556564	-0.0435727343	0.0149478105	-0.0716933117	0.0077706317	-0.100710011	0.0189419	-0.0485170569	-0.0344575179	0.0332495449	-0.0561451972	0.0294832604	-0.0483141651	0.0207122727	-0.0039423141	0.0977833384	-0.0136912556	0.0164348489	-0.1024290637	0.006197251	-0.0011566319	0.0641744314	-0.1172113414	0.1123376845	-0.1366160419	0.135993005	-0.1350985335	0.0119720973	-0.0170692443	0.0038887304	-0.0767559838	0.0172234582	-0.0584443131	0.1330689347	-0.0429755518	-0.0164395946	-0.0299459515	0.026100911	0.0231045515	0.0419010469	-0.0388572303	0.0223491208	-0.0468037193	0.0387622792	-0.0952575707	0.0703888647	-0.0568531472	-0.035588361	0.0318777522	-0.0989875571	0.1136369796	-0.0138575028	0.0190986894	-0.053172089	0.0026680005	-0.0389376481	0.0681134391	-0.0032442946	0.0640393426	0.1031385244	0.103127724	0.1031097243	0.1030845263	0.0	0.0	8.18744e-06	9.158016e-06	8.386925705625599e-11	6.70341737536e-11	-6.89346e-06	-0.02142989346	0.0004592403337069	4.75197907716e-11	-0.0247352	2.3999999999996247e-06	5.759999999998198e-12	0.0006118301190399	0.000195304	-7.171900000000001e-05	5.143614961000001e-09	3.814365241600001e-08	0.000307227	0.0003655641	1.3363711120881e-07	9.4388429529e-08	-0.000233709	-0.000233709	5.4619896681e-08	5.4619896681e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.2961663995546	-2.038088903249104	4.153806377547136	312812.2017492383	742.8775983324865	-4.292870546841073	551867.1261042432	18.42873753193557	576.1566011695409	-0.3576594152333427	331956.4290712374	0.1279202573050567	589.0810730468761	476.71888835291065	1.446907	21.53978	0.0858503444	0.0357497	-0.0167942848	-0.0258712407	-0.0178118042	-0.0200796332	0.0504662199	-0.0199747635	-0.0619970882	-0.0093354837	-0.0248925762	-0.0377731339	0.0465979733	0.0803943768	-0.0249550812	0.1391796902	-0.0514103725	0.0718401836	0.0551496569	0.1083580034	-0.0203730564	0.0920055185	-0.0099137574	-0.0958524878	0.0430466157	-0.0106520491	0.0014706602	-0.0402819832	-0.0423936922	-0.025587024	0.1269332985	-0.0228552296	0.0846965246	0.0900170623	-0.0630857863	0.0120095343	0.027795696	-0.1001261909	0.0711777349	-0.1867986955	0.0361248707	0.0470545829	0.0312418471	0.1071224002	-0.0586234564	-0.1312863183	-0.0338797181	-0.0086942624	0.05156223	-0.0367301426	-0.0149749931	-0.0138639192	0.0248340373	-0.0052689812	-0.0194535155	0.0132900675	-0.0239999614	0.0105464362	0.0404359403	0.0411825665	-0.1485143801	0.1237869081	-0.0793151652	0.0795567719	0.0247245912	-0.0282474526	-0.0300479616	-0.1289974114	0.0434754055	-0.0315842385	0.0127673545	-0.0508564302	-0.0111769365	0.0480742553	-0.0579044387	0.0876045344	0.0612645832	0.0074850055	0.0865326835	-0.0802864001	-0.1692961718	-0.0439496904	0.0903297975	0.1417839758	0.0320480857	-0.0524527725	-0.1691393613	0.0598662545	-0.0136149744	-0.0404064037	0.048849706	-0.0213565212	0.0048779667	-0.0089131104	-0.0392688462	-0.0536882021	-0.0157031865	-0.0127768632	0.0142690459	-0.1143197753	0.054878152	-0.0142274696	0.0348508227	0.1485743139	-0.033846725	-0.0065221348	-0.0622082311	-0.0598438952	0.0025242779	-0.0169740506	0.0951405448	0.1356431894	0.1031097243	0.1030125435	0.1028506435	0.1026241258	0.0	0.0	-0.0177725	-0.01778068744	0.0003161528458389	0.00031586175625	0.0170868	0.01709369346	0.0002921943561044	0.0002919587342399	-0.0147701	0.0099651	9.930321800999998e-05	0.00021815585401	-7.56755e-05	-0.0002709795	7.342988942025002e-08	5.726781300250001e-09	4.70423e-06	-0.0003025227699999	9.152002636847289e-08	2.2129779892900003e-11	-0.000480424	-0.000246715	6.0868291225e-08	2.30807219776e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
557.9539336994443	-1.342232700110344	1.8015886212455048	311312.5921306839	739.1095910680003	-3.7680072644861866	546282.9876087067	14.197878745220676	575.00964621069	-1.1469549588508698	330636.0932353429	1.3155056776326006	587.935712822626	457.4370003647605	1.690232	25.1621	0.0742598064999999	0.0471489	-0.0035029512	-0.0642552112	-0.0129166891	-0.0482492329	-0.0498230076	0.0496694055	-0.0316813829	-0.0281318217	-0.082000082	-0.0251668731	-0.019701654	-0.0483822136	-0.0432661386	0.1152005961	0.0337870761	0.0360085565	0.0326130618	0.0513687124	0.0289394136	0.049308859	0.1114836632	0.0161662304	0.0501609848	0.1237411921	-0.0009676614	-0.1006356226	0.0404897553	-0.0651874515	0.0854518748	-0.0706112949	-0.0653195526	-0.0642888994	0.0184124811	-0.0130385529	0.2022775659	-0.0301206796	-0.0465624192	0.0393533886	-0.0019427583	0.0453508478	-0.0676871221	0.161612769	-0.0858879387	-0.1460602836	0.0387368595	-0.0020281157	-0.1394435716	-0.018773519	0.0686815674	-0.0244506061	0.0303128351	0.0474545649	-0.0357955406	-0.0201530654	0.0204895106	0.0754635356	0.0191283368	-0.0554468412	-0.0483303115	0.0984399561	0.1656765146	-0.0220053895	0.1814547881	0.0133008112	-0.0419133458	-0.1350194117	-0.0583303611	-0.0033702335	-0.101082086	-0.0635339673	0.0617057106	0.0504397477	-0.0534689465	0.1354553947	-0.0839878202	0.0232923405	-0.1435360759	0.0787335506	-0.1374622482	0.0878638376	-0.1321664195	0.0524873383	-0.1302503017	-0.0394470859	-0.0405432751	0.0715175161	-0.0108193337	-0.0430671865	0.0509156526	-0.0463251249	0.0086860684	-0.0010155004	0.0200673957	0.1095192189	-0.0013338472	0.0501025381	0.050949587	0.005243312	0.0521880368	-0.0913572609	-0.0339742545	0.0861477403	-0.0299384429	0.0408649031	-0.1370528436	-0.0584677869	0.0574805734	0.0785092929	-0.077231045	0.0653300103	0.103052132	0.1027823111	0.1023331329	0.101705381	0.0	0.0	-0.017751	2.1500000000000685e-05	4.622500000000295e-10	0.000315098001	-0.0276521	-0.0447389	0.0020015691732099	0.0007646386344099	-0.00800003	0.0067700699999999	4.58338478049e-05	6.40004800009e-05	-6.6174400000000014e-24	7.56755e-05	5.726781300250001e-09	4.3790512153600007e-47	-0.000140279	-0.0001449832299999	2.1020136981232893e-08	1.9678197841e-08	-0.000246496	0.000233928	5.4722309184e-08	6.076027801600001e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
558.67555860375	0.7216249043057132	0.5207425025142298	312118.37978121213	738.8126272233521	-0.2969638446481895	545844.0981446719	0.088187525028234	575.3290124442924	0.319366233602409	331003.4725601248	0.1019947911653884	587.7108353104237	450.0348838540912	1.384694	20.613634	0.088672366	0.0527382	-0.0101379937	-0.0551114771	-0.0173417664	-0.065116559	-0.0088622713	-0.0694626077	0.0173397996	-0.014337445	-0.1031626285	-0.0006715934	-0.1435246949	-0.0351690323	-0.0623005727	-0.0181798456	0.0237943935	-0.0810204051	0.0483715991	-0.0974857304	0.0520595229	-0.0117304555	0.0418612355	0.0181276739	-0.0159198309	-0.0051486816	-0.0221759117	0.0082668659	0.0486272181	0.0561119745	-0.0951079613	0.0244526955	0.1350765898	0.0436311486	0.124073798	-0.0356888478	0.084921397	0.0468609164	0.0106309132	-0.1353677448	-0.0457040624	-0.0502514947	-0.0456652571	-0.1607316845	-0.0909290923	0.0422011813	0.1355176433	-0.0580262295	0.011879869	-0.0159003662	0.1461585568	-0.0197670544	0.0497958111	0.1030051472	-0.0990523328	-0.066011182	-0.039809954	0.0309529615	-0.0745414181	-0.0453394019	-0.0053601256	-0.1419076045	0.0289524731	-0.0388583933	0.0044993735	-0.0697898687	-0.0566991705	-0.098792164	-0.0223334892	0.0122856961	0.0916560075	0.0128495843	-0.0576293128	-0.1022054549	-0.0802735956	-0.0468548562	0.1016432135	-0.1166603164	-0.0769995264	0.0460215674	0.0777440227	0.0943505443	0.0536846932	-0.0411444708	0.1263015112	-0.0016032857	-0.030685952	0.0247296832	-0.0064655357	-0.0506969816	0.058790872	-0.0186182798	0.0315998496	0.0274620975	-0.0120703696	0.0187125492	-0.0132591968	-0.1655576921	-0.0371278852	-0.0688906385	0.0837703961	-0.0804612291	0.0303128197	0.0801604308	-0.043732625	-0.0503611823	-0.0813370455	0.0839360838	-0.0344038633	0.0299171954	-0.0483737811	-0.0053727046	0.1029657637	0.102437284	0.1015584928	0.1003323953	0.0	0.0	-0.0177614	-1.0400000000000686e-05	1.0816000000001427e-10	0.00031546732996	-0.000699304	0.0269527959999999	0.0007264532122176	4.89026084416e-07	-0.00328476	0.00471527	2.2233771172900005e-05	1.07896482576e-05	-0.0008933819999999	-0.0008933819999999	7.981313979238214e-07	7.981313979238214e-07	-0.000140279	0.0	0.0	1.9678197841e-08	0.0	0.000246496	6.076027801600001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
559.7695772227144	1.0940186189643557	1.1968767386406756	313341.97958409635	734.6878963996725	-4.12473082367967	539766.3051161759	17.013404367813166	575.5829726051089	0.2539601608165185	331295.7583529336	0.0644957632819519	587.32730974888	445.1707215756178	1.230381	18.316406	0.024826497	0.0211681	-0.001498503	-0.0220180704	-0.0130391537	-0.0229998838	-0.0950446028	-0.1000757967	0.042310881	-0.0113224712	-0.0626518502	0.0720519179	-0.0993436443	-0.0257627987	0.0023764573	0.012888634	0.0208880564	-0.1220393934	0.0564560442	0.0192415192	0.0008501274	0.0313131356	-0.1114829143	-0.030334152	0.0222175402	0.0851288591	-0.0402060573	0.0441691653	0.0314959517	-0.0970261205	-0.1154746433	0.0375794299	-0.0902823656	-0.0354576245	0.0230410689	-0.1283758867	-0.0564508386	0.1724095739	-0.0102777434	0.0279872514	-0.0631167363	-0.0218917171	-0.0642254443	0.0396809189	0.0001932682	-0.0171239924	-0.0413805719	-0.0107941423	0.097702808	-0.0242194673	-0.0715539909	-0.0215228338	-0.0082211731	0.1540877918	-0.0487501098	-0.0392846535	-0.0625086879	0.0551463252	-0.051992538	0.0098078758	-0.0356793619	-0.1106848512	-0.0132804145	0.1567755461	-0.0288535372	0.0549346034	-0.0635472471	-0.0429120846	-0.0564312847	0.0062892501	0.0086243392	-0.0406295065	-0.0021181513	0.0859435309	0.02435803	-0.0793459939	-0.1556737332	0.0241671774	-0.0131258144	-0.0559775402	0.0309795573	0.0518140288	0.0027499482	-0.0589540857	-0.0054716123	-0.058512895	0.0825098046	-0.0422284828	-0.0036438316	-0.0617135923	0.0462262549	0.0231079369	0.025369241	-0.0331802544	-0.0976668672	-0.0184232077	-0.0390020144	-0.0783261086	0.0216920975	0.0443790951	0.0319629463	-0.0708728603	0.0529359018	0.0664307847	0.159196484	-0.0206023537	-0.0041286149	-0.0011954932	-0.0395627669	0.0906849963	0.01459474	-0.0098489806	0.1028506435	0.1019778474	0.1005286696	0.0985113008	0.0	0.0	-0.0177614	0.0	0.0	0.00031546732996	-0.000693747	5.557000000000001e-06	3.088024900000001e-11	4.81284900009e-07	-0.0247593	-0.02147454	0.0004611558682116	0.00061302293649	-0.00096031	-6.692800000010002e-05	4.4793571840133885e-09	9.221952961e-07	-0.000140279	0.0	0.0	1.9678197841e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.3469456241102	1.5773684013958018	2.4880910737219475	315110.3933615177	738.9869263907758	4.299029991103339	546101.6773764859	18.481658864405976	576.5653822569516	0.9824096518426586	332427.6400171047	0.9651287240336136	588.7249650586671	464.22434099624553	1.576651	23.471247	0.045614126	0.0239738	-0.0021496912	0.0236233664	0.0181102524	0.0341005656	-0.1212757245	-0.0376872171	-0.0164831426	0.0076899398	0.0214176736	0.1009141083	-0.1159094606	0.0252460154	-0.1014447275	-0.0298186181	-0.024131747	-0.0426323568	-0.0838610753	0.1073759689	0.0126832317	0.0120685077	0.0134454869	-0.0540217011	0.0264771307	-0.0450197682	-0.0490572206	0.0405325929	0.0306094766	0.0217287793	-0.0034243354	-0.1272387598	0.0262841815	0.1909740347	0.1106348961	-0.0137559674	-0.0241370375	-0.0104800013	-0.1467484235	-0.0027949273	0.0523726722	0.051338253	0.0515188461	-0.0619099155	0.1282841865	0.1050404991	-0.0382328591	-0.1170262739	-0.0623834966	0.0543889301	0.1256091369	0.0057677746	-0.0755234503	0.1164386722	-0.0042622327	-0.077952831	-0.0327043055	-0.0147786038	0.0706690542	0.0122417601	-0.0067193058	-0.0165176	-0.0748496422	-0.0419391211	-0.0420552373	0.0045664249	-0.0743528125	-0.0664091836	-0.0529044525	0.1485930541	-0.0814754203	0.0281477438	0.0142813444	-0.0534777656	0.0729081946	-0.1177614686	0.0656086272	0.0300109266	0.0661638081	-0.0413872989	0.0417828824	0.0152269389	-0.0612794115	0.1200589023	0.135749267	0.0832769117	0.0424271162	-0.0280873584	-0.0027074581	-0.055956037	0.0318833391	0.0519881915	-0.0032765596	0.020471115	-0.0524638921	0.0722800288	-0.0985861344	0.011983869	-0.1081098788	-0.0677419682	0.0264467091	-0.0474242078	0.041590023	0.0734741114	0.0536860731	0.0838234066	0.0673148735	-0.0122865855	-0.0045041872	0.0020985312	0.0278044619	-0.102066734	0.1027068035	0.1014045146	0.099246251	0.0962502309	0.0	0.0	-0.00703047	0.01073093	0.0001151528586648	4.942750842089999e-05	-0.000701453	-7.70600000000001e-06	5.938243600000016e-11	4.92036311209e-07	-0.00655876	0.01820054	0.0003312596562916	4.30173327376e-05	-0.0008933819999999	6.692800000010002e-05	4.4793571840133885e-09	7.981313979238214e-07	-0.000140279	0.0	0.0	1.9678197841e-08	-0.000266571	-0.000266571	7.106009804100002e-08	7.106009804100002e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.8724360561285	0.5254904320183869	0.2761401941428708	315700.6343996483	741.461843516187	2.474917125411139	549765.6653904225	6.125214777653334	577.3755824714594	0.8102002145078586	333362.56323425705	0.6564243875885801	590.0720402867372	463.5805054269234	1.165629	17.352457	0.043038931	0.0310648	-2.69212e-05	0.0409479338	0.0134208676	0.0574142313	-0.0792296693	0.063904699	0.0029039779	0.0043117743	0.0823772481	0.0346777066	-0.0594010993	0.0322071067	-0.1312417106	0.0479564913	0.0120258818	0.0011494333	-0.0149888535	0.097357095	-0.0233283881	-0.1151162999	-0.0391532466	0.0324481066	0.04134858	8.36425e-05	0.0410239234	-0.0529871556	-0.0913945921	-0.0528850609	-0.0044659119	0.0137256961	-0.1628018121	0.0992573837	-0.0941693564	0.0755230762	-0.0535481086	-0.099365014	0.0386082584	0.0162494307	0.0385507479	-0.0415048355	-0.0938845323	-0.0826365863	0.0246878729	-0.0214198664	0.0596748339	-0.008981257	0.1034321341	0.0871652032	0.0435514506	0.0013819041	-0.0823969265	0.0113525091	0.033661134	-0.1202927122	-0.0186014452	0.0444299436	0.060433472	0.0101046135	-0.0449441185	0.0654691711	0.0055565053	-0.0202277805	0.0624522693	0.0197751593	-0.0541933648	0.0490550938	-0.087263774	-0.0101211996	-0.0156477601	0.0994782986	-0.0497042078	0.0008193481	0.2073310285	0.0522292933	-0.0182312065	0.0790613747	0.1408772557	0.036079401	-0.0960907694	0.1163739312	0.0790251468	-0.0078481242	0.0068080653	-0.1211986449	-0.1050414414	0.064838637	-0.0069846463	-0.0487386349	0.0197105953	0.0650929319	0.0014267839	-0.0390839312	-0.0337803767	0.0867723909	-0.0519532231	0.0876467908	0.0192647447	-0.0039746956	-0.0062046011	-0.0036185007	0.0266158021	0.0829869417	0.1176326139	0.0945535796	-0.0250342136	-0.033457478	-0.0765623633	0.0308371415	-0.0805378229	-0.0544922381	0.1025342839	0.1007179259	0.0977144592	0.0935592841	0.0	0.0	-0.00642827	0.0006021999999999	3.626448399999997e-07	4.13226551929e-05	-0.000711144	-9.69100000000004e-06	9.391548100000076e-11	5.057257887360001e-07	-0.0297745	-0.02321574	0.0005389705837475	0.00088652085025	-0.000567521	0.0003258609999999	1.0618539132093485e-07	3.22080085441e-07	-0.000140279	0.0	0.0	1.9678197841e-08	-0.000324936	-5.8365e-05	3.406473225e-09	1.0558340409600001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
