global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
558.0773780782288	n/a	n/a	311450.3599226703	750.1060264270853	n/a	562659.0508822312	n/a	572.5358850189165	n/a	327797.3396343939	n/a	585.0747734071804	491.6142543342913	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	n/a	n/a	0.0	3.722780000000001e-07	n/a	n/a	1.385909092840001e-13	1.05979e-05	n/a	n/a	1.1231548441000002e-10	0.000213166	n/a	n/a	4.5439743556000006e-08	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
556.8497509530174	-1.2276271252113702	1.507068358554733	310081.6451364375	745.9630605572993	-4.142965869786053	556460.887716013	17.164166198212108	571.8954922309673	-0.6403927879491675	327064.4540341004	0.4101029228573075	584.3939900320739	491.2340201986209	1.121444	15.341315	0.077839079678	0.040679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.4053e-06	-1.4053e-06	1.97486809e-12	1.97486809e-12	-0.0324682	-0.032468572278	0.0010542081857717	0.00105418401124	0.0199023	0.0198917021	0.0003956798124351	0.00039610154529	0.00047362	0.000260454	6.783628611600003e-08	2.243159044e-07	-0.0	0.0	0.0	0.0	-0.000249094	-0.000249094	6.2047820836e-08	6.2047820836e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
555.4528991928947	-1.3968517601226722	1.9511948397578076	308527.9232217921	742.6325547430047	-3.330505814294611	551503.1113641218	11.092268979050209	571.971661256187	0.0761690252196558	327151.58128016227	0.0058017204029125	584.06431164922	490.8002671603551	1.190584	16.287142	0.1195954553	0.069284	-0.1368516026	0.0854877975	0.1817120292	0.0095430194	-0.069819289	-0.1840285784	-0.0184864007	-0.033493793	0.0653039085	-0.0074923843	0.03309462	-0.0931601655	0.0262055015	-0.0577023345	0.1512087791	-0.008044466	0.0235354507	-0.0062300917	0.0694543746	-0.1971662984	0.0201027337	-0.0769656337	0.0984109244	-0.0974844051	0.1211596257	-0.0617555764	0.0594160451	-0.0235116124	0.0023443418	-0.1394266091	0.0247547301	-0.0668548815	0.0216420783	-0.0885359654	0.0677658651	-0.0740441412	0.0890476471	-0.0305934088	0.0014063308	-0.0378388663	0.0163768955	-0.034009859	0.0324744645	-0.0913559202	0.0190993977	-0.0072561538	0.0116988111	-0.0091962592	0.0698705916	0.0430569653	-0.0101573279	0.052376032	0.0466972932	-0.0379197044	0.0833027285	0.0550487061	-0.0135028243	0.0790366686	0.0181191252	-0.1435482831	-0.064768833	0.0831735503	0.0310515179	-0.0181722385	-0.0628747984	0.0710695315	0.0927807872	-0.0660889384	-0.0808880974	0.0580446221	0.0583767771	0.0980222921	-0.0533171362	-0.0204399447	-0.0208614262	-0.0057273533	0.211573754	0.0361357955	-0.0037229987	0.0701266757	-0.1441648121	0.0190638417	-0.0127390064	0.0313513686	-0.087958876	0.0478092318	-0.1387326356	0.0048971872	-0.0951161724	0.0650069923	-0.0776713182	-0.041130372	0.0304644271	-0.0843589204	0.0506620105	-0.0593304355	0.095645519	-0.0930127389	0.032963388	-0.0763822512	0.0582605727	-0.0615846935	0.0163390614	-0.030665258	0.0309370567	-0.0495669716	0.0249972618	-0.0444432807	0.0263416173	-0.0489962399	0.0177622273	0.0091490227	0.027228846	-0.0512832222	0.0184306076	0.0190950801	-0.0324089002	-0.0384196614	0.0226204246	0.0128222885	0.0352863439	-0.0715904668	0.0765369386	0.066643674	0.0541241375	-0.0286924535	-0.1310964884	0.1004878195	0.0042219372	-0.063095215	-0.0876753834	0.0054506885	-0.0483039995	0.1579385384	-0.0036680791	0.2136287205	-0.1144214332	0.0464437748	-0.036832587	0.0495708715	-0.0406975516	0.0854429304	-0.0848558457	0.0331979274	-0.0054776966	0.1563223833	-0.0354904019	0.0107241155	-0.0517401111	0.105436742	-0.0651781348	0.0207120988	-0.0271510576	0.0003068885	-0.1544160213	0.1031385244	0.103127724	0.1031097243	0.1030845263	0.0	0.0	0.0	1.4053e-06	1.97486809e-12	0.0	0.0169671	0.0494353	0.00244384888609	0.0002878824824099	0.0328218	0.0129194999999999	0.0001669134802499	0.0010772705552399	-0.000422071	-0.000895691	8.02262367481e-07	1.78143929041e-07	-0.0	0.0	0.0	0.0	0.0	0.000249094	6.2047820836e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
555.366988172346	-0.0859110205486786	0.0073807034517154	308432.49155162275	743.9142018927954	1.2816471497907287	553408.3397777948	1.6426194165666983	571.801555689858	-0.1701055663289707	326957.01908934175	0.0289359036960998	584.2950333792264	494.4292107199214	1.044555	14.289475	0.1478288999999999	0.0786372	-0.1400927952	0.0803088397	0.1483627707	-0.08623958	0.0029895804	-0.1828053306	-0.0571972738	0.0474476466	0.0746445949	0.0238034946	0.0273854832	-0.0780596669	0.0369394453	-0.1014732667	0.0937736735	0.0548042773	0.1348990557	-0.0086430353	0.0400510609	-0.1893391961	0.0168490244	-0.0249016351	0.0230505546	-0.0441538214	-0.1432116928	-0.0218329304	0.0653570147	-0.1985930576	-0.0580565225	-0.0673146475	0.0600490869	0.0173009441	-0.0303691653	0.011627866	0.055257401	-0.0701208773	-0.0574897642	0.0078114952	-0.0048614795	-0.0414418698	-0.0050876802	-0.0356332794	-0.1052279079	-0.0130038345	0.0068321973	0.0247685243	-0.0561968576	0.0876318443	-0.0484574392	-0.0066441733	-0.0320040688	0.0428488709	0.0840077468	-0.029934207	0.0868376417	0.1244897497	-0.0204545499	-0.0932676264	-0.0216824989	0.0497635728	0.0759481446	-0.0092706576	0.0547256904	-0.1058364412	-0.0845939501	0.0521076976	0.12618145	-0.0282220954	-0.0455548312	0.1024220156	0.0017457305	-0.0815617499	0.0120515036	0.0302583138	-0.0465459717	0.0564116415	0.2171545074	-0.0352952229	-0.0352892861	-0.0195188846	0.0381877969	-0.0629415501	-0.0383190536	0.0554814647	-0.0364906136	0.2202347025	-0.0947116454	-0.0374687317	-0.0439118165	0.0568214982	-0.0841943256	0.0506622261	0.0161091908	0.1689075579	0.0659746274	0.0149592516	0.1037121237	-0.0386341976	0.0255310002	-0.0306452027	-0.0474674269	-0.051489186	0.0914182171	-0.0134116498	-0.058192071	-0.0310317471	0.0545296492	-0.1130209571	0.0101391749	-0.0564764469	-0.0830828622	-0.0302091909	0.0399839608	-0.0700737497	-0.1045613547	-0.1453362951	-0.0024962058	-0.0037074579	0.0085461408	-0.0538374139	0.0873731244	0.0047211809	0.0215622838	0.0477797158	-0.0967869615	-0.051015134	0.0894213009	0.0728726607	-0.0595295757	-0.0392397125	0.0462651991	-0.029219632	-0.1446067817	0.1142241342	-0.0927122697	0.1051691842	4.06419e-05	0.1433770612	-0.005630148	0.052789505	0.0412497205	0.1286062267	-0.1255097017	-0.0208989967	0.0150660736	0.0835892389	0.0326928679	0.0445967051	-0.0251911297	0.1660749877	-0.1112488449	0.0098376508	-0.0222440321	-0.0259923402	-0.0070954372	0.1031097243	0.1030125435	0.1028506435	0.1026241258	0.0	0.0	-0.0172324	-0.0172324	0.0002969556097599	0.0002969556097599	-0.0459002	-0.0628673	0.00395229740929	0.00210682836004	0.0199519	-0.0128698999999999	0.0001656343260099	0.00039807831361	0.000339604	0.000761675	5.801488056250001e-07	1.1533087681600003e-07	-0.0	0.0	0.0	0.0	-0.000335511	-0.000335511	1.1256763112099998e-07	1.1256763112099998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
553.6256023820898	-1.7413857902562313	3.032424470506319	306501.3076129318	739.4205006061397	-4.493701286655664	546742.6767166343	20.19335125369077	570.9833037598587	-0.8182519299992919	326021.93317252304	0.669536220947566	583.432586638993	492.0187055579315	1.135844	15.538304	0.10863165	0.0688388	-0.1103516387	0.051268509	0.1025409014	-0.1105668269	-0.0931134269	-0.103191367	-0.0420558179	-0.042720797	0.1029555261	0.0433722089	0.0946871931	-0.0394354689	0.0122633025	-0.0658176126	0.1645261644	0.0191271706	-0.0911392963	0.004464433	0.0248438918	-0.0694724593	0.0418273695	-0.0316220924	-0.0485989775	0.0991011246	0.0973316008	-0.0381693064	0.0587643744	-0.0336812119	-0.0206002451	0.0701400345	-0.0076338556	-0.0175674395	-0.0120738079	0.1303067576	0.0741418395	-0.0063259519	-0.1559123798	-0.1119410566	0.0701927658	-0.0609376934	0.0473599232	0.0385463507	0.0156515856	-0.0124233074	0.018456256	0.0905074978	-0.1031792141	0.0455922073	0.0150779068	0.0843446378	-0.1248547055	0.106892008	-0.011497631	-0.1081291456	0.0045228507	0.0448326296	-0.1269109882	0.0328145	0.0240053116	-0.0228544624	0.0377000595	0.1107601531	-0.0030665636	-0.0150414541	0.1187405688	-0.0216745247	0.0770892653	0.0753912631	-0.0100796598	-0.013045489	-0.103341041	0.1028592049	0.0508858596	0.056561839	0.008363243	0.0361485426	0.098955632	-0.0209332259	0.0302638045	-0.0238840933	0.0300973027	0.081684009	-0.021485998	-0.0726618047	-0.0742755355	-0.0935229675	-0.0504315993	-0.0590519837	-0.0418451715	-0.0255312801	-0.0517258547	0.0803937089	0.0383154463	0.1407015007	0.0254600341	-0.0034704508	0.0821909471	-0.0387454161	0.0758530993	0.0039683994	-0.0135363492	-0.031366129	0.0283268283	-0.0467679149	-0.095638021	0.1160510338	0.0165295154	0.1212901297	-0.1142830715	-0.1099837022	-0.14221493	-0.0854858668	0.1744460529	-0.0696847359	-0.0926483347	0.0004236601	-0.0195694844	-0.0581715405	0.0310043373	-0.0120452445	-0.0330552173	0.0659467862	-0.0375434684	0.1137755523	0.0674408761	-0.0742279004	0.0329086475	-0.0748777724	-0.0556285981	-0.1686729092	-0.0581069395	0.0330738092	-0.0333651655	0.0978065415	-0.0831007439	0.158471148	-0.0468417736	0.0341962248	0.0935770036	0.0345962242	0.0114977933	0.0537799798	-0.1047986866	0.0150252547	0.016609835	0.0252515645	-0.0205274714	-0.0007678554	-0.0074381506	0.0472686319	-0.0853847402	-0.0648364061	-0.0730702586	0.0573373679	-0.013983125	0.103052132	0.1027823111	0.1023331329	0.101705381	0.0	0.0	-0.0172306	1.7999999999997185e-06	3.2399999999989865e-12	0.0002968935763599	0.0143584	0.0602586	0.00363109887396	0.00020616365056	0.0199868	3.489999999999743e-05	1.218009999999821e-09	0.00039947217424	-0.000291612	-0.000631216	3.98433638656e-07	8.503755854400002e-08	-0.0	0.0	0.0	0.0	0.0	0.000335511	1.1256763112099998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.5890562197407	-1.0365461623491683	1.0744279466807884	305354.6650538237	741.2915633028215	1.8710626966817472	549513.181823941	3.500875614913972	569.963090894805	-1.020212865053736	324857.9249823597	1.040834290021153	582.6378994083224	490.5430575552082	1.118389	15.299526	0.1324982499999999	0.07931	-0.1012793698	0.0453912889	0.0049535429	-0.1689263448	0.0082110475	-0.0773285673	-0.1127935236	0.0504667484	0.0137128769	-0.0051737871	0.0959654097	0.0032684684	-0.1193590496	-0.0782051641	0.1029411179	-0.0237606734	0.0264435126	0.056845021	0.1198040092	0.0008801714	0.0734100622	-0.0370833095	0.1301377343	0.1118619304	0.0137624698	0.0455955134	0.0571267606	-0.0505227436	-0.0065336769	0.0163097628	-0.0864545119	-0.0404550588	-0.0109049738	0.0071423152	0.0202869404	-0.1064561817	0.071710275	-0.1087596236	0.1133345231	0.0344941672	0.0289499665	-0.0245301663	0.0527673036	-0.0406489604	0.0841716608	-0.0672483926	0.0302981084	0.1236709623	-0.120788319	-0.0029882057	-0.0649073125	-0.0223907002	-0.1166735442	0.1125654054	0.0696476982	-0.0822274298	-0.0480606643	-0.0325941958	-0.0717769476	-0.005722372	-0.083665679	0.1464893598	0.0335484433	0.001386111	0.0803525491	-0.0162067668	0.00733123	-0.031399862	0.0721399098	-0.0479549476	0.0742600119	-0.0803317636	0.001821256	-0.0668094921	-0.0070692335	0.1031657926	0.0217938768	-0.0266483817	0.0730217276	-0.0064401019	0.0999225442	0.0721441685	-0.1233177743	-0.0015440985	-0.0550803072	0.0491627551	-0.1161490054	-0.0836372559	-0.0072653346	-0.005697306	-0.0083028122	-0.1024881877	-0.0028279547	-0.0418550915	0.0320071917	0.026692768	0.1289925098	0.0552766196	0.0689253182	-0.1075133286	0.0863543503	-0.0142750207	0.1669378945	-0.1629307461	0.0078755805	2.01242e-05	0.0402180496	-0.0095569376	-0.101761546	-0.0441429718	0.0596476405	0.0569186254	-0.0653359801	0.0199353585	0.0109275736	0.0341925011	0.0381425143	-0.0597021273	0.0321845367	-0.0138253828	0.0263615282	-0.0046005496	-0.0134544233	-0.0060194159	0.0300211386	-0.0472746998	-0.0415649049	-0.0678426673	0.1033367459	-0.0396966664	0.030265129	-0.0257470897	-0.1084525049	0.0962069065	-0.0239775684	0.0923497739	0.0561072822	0.0763163361	0.03673621	0.1653999677	0.0769817478	-0.0090260206	-0.0686098769	0.0375622063	0.0807116385	0.0834075332	-0.0407020598	0.0080651603	0.003882799	0.018855058	-0.0500235454	0.0511228981	-0.1072363403	-0.0385503913	0.1042691001	0.1029657637	0.102437284	0.1015584928	0.1003323953	0.0	0.0	-0.0172306	0.0	0.0	0.0002968935763599	-0.0513317	-0.0656901	0.00431518923801	0.00263494342489	0.0419155	0.0219287	0.00048086788369	0.00175690914025	0.000605977	0.000897589	8.056660129209999e-07	3.67208124529e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552.2053179133668	-0.3837383063738571	0.1472550877786762	304930.7131318025	737.9747978831086	-3.3167654197128518	544606.8023106151	11.000932849402966	570.5180892165918	0.5549983217867975	325490.8901233509	0.3080231371861616	582.869289648542	486.89248236190366	1.10115	15.063692	0.0845524	0.0538652	-0.0552710639	0.0012763626	-0.0068527177	-0.0918567554	-0.0475242158	-0.0083916204	-0.0327793044	-0.0019372976	0.0485811029	0.0288016464	0.0947826109	-0.0118192303	-0.1111457043	-0.0709726981	0.2396334325	-0.0121395173	-0.0508508482	0.2082262218	0.0375521642	-0.0159206105	-0.0129227482	-0.0189558106	0.1007497986	0.0540269123	-0.0807801997	-0.0013003049	0.0350222402	-0.0220423801	0.014413542	-0.0683967749	-0.0440442675	0.0404442923	0.0741620382	-0.080938682	-0.002857366	-0.0414100125	0.1284433506	-0.0641416914	-0.0709713715	-0.0584887311	-0.0172158018	0.0926036096	-0.0855059378	-0.1156514918	0.0487654008	0.0340695499	0.1030068197	-0.0513295187	-0.0437244372	-0.0235726062	-0.0865049732	0.1125452688	-0.1460611308	0.1462551341	-0.0126936222	0.0717153635	0.0648274988	0.0128434093	-0.1368120238	0.1567257002	-0.1124215991	-0.053686662	-0.1253069922	0.0391711874	-0.0406571588	-0.0269316402	0.025469861	-0.0338341483	0.1144781582	-0.012650247	-0.0571574874	-0.0115307423	0.0452096222	0.0853249799	-0.0343530184	0.0022368902	0.0128778996	-0.0343417233	0.0467752316	-0.0230677131	0.0493971514	-0.0618844085	-0.0866983337	0.0903665003	-0.0519085531	-0.0331299836	-0.1240418591	-0.0223801486	-0.0941435483	-0.0717695431	-0.2276515911	0.00815056	-0.0125731923	-0.038351786	0.0897320549	0.0184981794	-0.0147608495	-0.0003359219	-0.0107798388	0.0593678422	0.1215570549	0.0186984222	0.0071936667	-0.1359595457	-0.1402158481	-0.0421263377	0.0031940377	-0.0265334058	-0.1346053201	0.0015457188	0.0038568192	-0.0252606276	-0.0389198696	-0.1403158219	0.1375607923	-0.0301961536	0.1164630442	0.0767618496	0.054926106	-0.0157186178	-0.112428639	0.0454672883	-0.0120835657	-0.1531703054	-0.0368356972	0.1467876289	-0.0291991181	0.018167988	0.0860274408	0.0674816853	0.0486737248	0.0491454902	-0.0120221654	0.0477768691	-0.0698777444	0.0972857872	-0.0041932931	-0.0081248967	0.1103550422	0.0848207968	0.0008392036	-0.0264578196	-0.1381923599	0.0007458441	0.0477159694	0.0811090693	0.006761647	0.0552342128	0.1246638391	-0.0113787802	0.0297920057	-0.0819751473	0.0989524787	0.024683984	-0.0061000523	0.1028506435	0.1019778474	0.1005286696	0.0985113008	0.0	0.0	-0.0172342	-3.6000000000029064e-06	1.2960000000020926e-11	0.00029701764964	-0.0164249	0.0349068	0.00121848468624	0.00026977734001	0.0419345	1.8999999999998185e-05	3.6099999999993103e-10	0.00175850229025	-0.000209755	-0.000815732	6.65418695824e-07	4.3997160025e-08	4.7902300000000006e-24	4.7902300000000006e-24	2.2946303452900007e-47	2.2946303452900007e-47	-0.000176728	-0.000176728	3.1232785983999995e-08	3.1232785983999995e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
551.9897737304901	-0.2155441828766697	0.0464592947719712	304692.7103030377	736.9709199168907	-1.0038779662179422	543126.1368031481	1.007770971057872	570.2289202671553	-0.28916894943643	325161.0215090458	0.0836186813181686	582.5535814150162	483.6780732974811	1.206886	16.510159	0.1268957	0.0840574	-0.001871891	-0.000951081	0.0076153024	-0.0342531371	-0.083628594	-0.0133459899	0.0333950177	0.0143829561	-0.0170519881	0.1575809954	0.1278986561	-0.0249775356	-0.1176277045	0.0952244324	-0.0224026219	-0.1047180981	0.0538425423	0.1157131527	0.1025329056	0.0463676763	-0.0188861211	0.0644754424	0.0079343963	0.1201820671	0.0732429251	-0.0257110977	-0.0593240238	0.1537587581	0.0431440682	0.0078066263	0.020765133	0.0456565456	0.0686962036	0.1152465473	0.1504263985	0.0687317178	-0.0063225114	-0.0079770025	-0.1668882604	-0.0542173045	0.0387917088	0.0813078717	-0.0230768893	-0.0392023997	0.0809031607	0.0798344595	-0.0195976215	0.0690573245	0.0215902497	0.0549101597	0.1568963022	0.0447484322	-0.0147267034	-0.0281884023	0.0164839778	-0.0758232309	-0.0241200335	0.0538819021	0.0216326388	0.0218690079	-0.0581246521	-0.0767021691	-0.0063093629	-0.0360531661	0.0223159774	-0.0513125906	-0.0375839678	-0.1045411089	-0.049552641	-0.010432892	-0.0434147115	-0.0987221876	0.0262731307	-0.0146409301	0.1010887005	-0.039921974	-0.0312947638	-0.0201778078	0.026737642	0.0071478631	0.0502564414	0.0466663624	-0.0916317192	0.0160557775	-0.0078568789	-0.270156372	-0.0028372066	0.0261258366	0.0468098587	0.0103951248	0.0132587647	0.0095462646	-0.0151563716	0.0311708203	-0.0804667522	0.0163427705	0.0184958757	-0.1606589908	0.0487754993	0.0560414144	0.0951468721	-0.0964836241	-0.057052305	-0.0966149724	-0.0400029313	0.0853244105	0.0118250819	-0.0621889569	0.0322199716	0.0419944976	0.0808894024	-0.0062653471	-0.047693658	-0.1229820989	0.1253674298	-0.0065715251	0.0569669346	0.0849488144	-0.0484506741	-0.0063785779	0.0671815861	-0.0594786902	-0.094664955	0.1203315122	-0.0694296819	-0.0298322664	0.0997373675	0.0582524935	-0.1147034452	0.0348815141	-0.0744732647	-0.0273663327	-0.1188545139	-0.0084772829	0.0506055843	0.128010136	0.0207384193	0.0465522965	0.0448011558	0.2021536971	0.037009669	-0.106402736	-0.0338511219	-0.0455427953	-0.045262806	0.1509722558	0.1157854791	0.1996727011	-0.0235769779	-0.0341242299	-0.1754495387	0.056740318	0.0325933673	-0.1709575699	0.1684299353	0.1027068035	0.1014045146	0.099246251	0.0962502309	0.0	0.0	-0.0172606	-2.639999999999934e-05	6.969599999999651e-10	0.00029792831236	-0.0297413	-0.0133163999999999	0.0001773265089599	0.0008845449256899	0.0386573	-0.0032772	1.0740039840000006e-05	0.0014943868432899	0.0012944	0.001504155	2.262482264025e-06	1.67547136e-06	0.000611068	0.000611068	3.73404100624e-07	3.73404100624e-07	-0.000267019	-9.029100000000002e-05	8.152464681000004e-09	7.129914636100001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
