global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
319.1668178639862	n/a	n/a	101867.45762542292	465.7236928488191	n/a	n/a	216898.5580807412	333.431304263008	n/a	n/a	111176.4346625306	348.7380410698994	300.1459676727724	n/a	n/a	n/a	n/a	-0.0631417517	-0.0494405799	0.0564289184	0.1136057087	0.1621349409	-0.0141185708	-0.0427594914	-0.1396545482	0.0934697868	0.01127369	-0.2092420847	0.3804896927	-0.3113917041	0.1505410198	-0.1010469955	0.0621344187	-0.2083064383	0.0417691018	-0.0544082334	-0.1232579682	0.0159304558	-0.0658342492	0.0765326964	0.1655600377	-0.0216553831	0.0232363834	-0.0962512797	0.0550797855	-0.0032306505	0.0800799694	0.024483051	-0.0090385564	0.0779699202	-0.0292394388	0.0061386492	-0.0975607737	0.0587316849	-0.0978902216	0.0516498782	-0.0260673642	0.0209017006	-0.0244891704	0.0899219106	-0.0999330487	0.0818611411	-0.0944270846	0.1062709963	-0.0487823453	0.0006762499	0.0957594329	-0.0132033258	0.0228406304	0.1014370882	-0.1350374089	0.1172725363	0.0456034832	-0.005100196	-0.0750484227	0.0535242619	-0.0296691065	-0.0303411737	0.0694166129	0.0165573677	-0.0529240456	-0.012809472	0.0156400352	0.0089461457	0.0534060194	-0.0295934344	-0.0576602969	0.0649850908	0.0648664889	-0.0261393641	-0.0005509878	-0.0511112238	0.0235730414	0.0445624008	-0.0230657655	-0.1882871253	0.0486607083	0.0421172634	-0.0066548515	0.134105692	-0.0715737241	0.2077342396	0.0778647471	-0.2014255889	0.3067345063	-0.2060025631	0.0377780057	-0.0530338881	0.0249247311	-0.0905956921	0.0878538409	0.0213021442	-0.1679290705	0.0138353791	-0.1139731823	0.0534421433	-0.0795497983	0.0634835053	-0.0733051239	0.0770396346	-0.0065961517	0.034712547	-0.0425659097	0.0301279533	-0.2066196255	0.0499151114	-0.0324038744	0.0284450508	0.0453182855	-0.0523879083	0.0286412954	0.0592348113	-0.0664773054	0.1138279714	0.0054081147	0.0346208273	-0.1074378766	0.0247672635	0.0167577853	-0.08453886	-0.020382536	-0.0397281393	0.0399580023	-0.0340372913	-0.0179249461	-0.0289864281	-0.0222396361	0.0812830266	0.0454057207	-0.0663872292	-0.0197232606	0.0462956767	0.0109858616	-0.1876156689	0.0990539799	0.0160908421	-0.0690788636	0.022589025	-0.0930647273	0.1229040352	-0.0855469962	0.0085432784	-0.0528371201	0.1276867386	-0.0183056115	0.0470483659	-0.0094037412	0.0453434115	-0.0571682894	0.1192468804	-0.0223461501	0.0068491189	-0.1202893531	0.1143193202	-0.169487967	0.0257198969	-0.0705112757	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.00869684	n/a	7.563502598560001e-05	n/a	0.0121496	n/a	0.00014761278016	n/a	-0.131435	n/a	n/a	0.017275159225	0.00239723	n/a	n/a	5.746711672900001e-06	0.000925846	n/a	8.571908157160001e-07	n/a	0.000379286	n/a	n/a	1.43857869796e-07	0.0	0.0	0.0	0.0	0.0	0.0
318.33944637896496	-0.8273714850212173	0.6845435742262144	101340.0031208659	460.3333027331423	-5.39039011567678	29.056305599185933	211906.74960520284	332.99088336861973	-0.4404208943882395	0.1939705642137368	110882.9284066137	347.7910936035621	295.3635321387657	1.170458	17.747705	0.0494896069999999	0.0231411	6.59688e-05	-0.0628119346	0.0470491146	0.0325243724	0.0806434751	-0.0164135867	-0.0148591562	-0.0669158984	0.0021200593	-0.04866148	-0.1329012423	0.0071011454	-0.0632449079	0.1959522519	-0.0019427094	-0.0586742548	-0.0132547458	0.1320280002	0.0598411874	-0.0803097365	-0.0835625118	-0.080243761	0.0250286659	0.1334802975	-0.0187335598	-0.1089851559	0.0081061086	-0.0256027978	-0.0218011621	-0.0158244999	-0.1350733244	0.0334819128	0.0401265321	0.0892670486	-0.045688978	-0.1682969432	0.128551266	-0.0886915401	0.0038445208	0.0960689485	-0.0788605366	-0.0540724767	-0.1082568012	0.008263749	-0.0344292441	-0.0323845482	-0.0503007374	-0.0324120836	-0.0610245323	0.0263200838	0.0339000135	-0.0342604381	0.0050272827	0.0264505215	0.0189445434	-0.0941960268	0.0797294238	0.1200229449	-0.0078809681	-0.0361123338	0.0021743793	-0.0619200036	-0.0125832186	-0.0313126967	0.0115009734	0.0886953998	-0.0598008022	0.01856986	0.022607347	-0.008245645	-0.0200217057	-0.0839095148	-0.0081846554	0.0180351038	0.0422519678	0.0161695401	-0.1548620659	0.1269630014	-0.1272092725	-0.0073960845	0.0325073279	0.017209283	-0.1565791571	0.0381162863	0.1452012836	0.0466717408	-0.0845461634	0.1337271671	0.0147405835	-0.0762073756	0.0418565159	-0.0873537521	-0.0318076317	-0.0079615114	-0.0663243253	0.0673876252	0.0600965214	-0.134063853	-0.0327168438	-0.0829394815	0.0278820568	-0.0204807013	0.0425262728	0.0143020383	-0.0931124159	0.0674999193	-0.0248602583	0.0616452052	-0.0579921213	0.0417913982	0.0306012688	0.0778362398	-0.0452106714	0.0535207251	-0.150352241	-0.0527447495	-0.0530072308	-0.0380580436	-0.0767291767	-0.0196537867	0.0799518275	-0.0652206715	0.1799060858	-0.0235041647	-0.041449306	0.0440809525	0.042142005	-0.0298223509	-0.0846304062	-0.0543045741	-0.0393515773	0.0240030927	0.0982679269	0.1053565615	0.0160296487	0.0912359171	-0.1320528847	0.0531583984	-0.0895796175	0.1074228751	0.150743448	-0.0747153421	0.0139762096	0.0510411945	-0.0357804216	-0.0804769762	0.0731416988	-0.0667489543	0.0488350851	-0.0588102566	0.0708612093	-0.0934000528	0.1091679793	-0.0420969025	0.0100587081	0.0881321878	0.0370165476	-0.0837554831	-0.0222963189	-0.0540243062	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.000215893	-0.008480947	4.6609787449e-08	7.192646201680901e-05	-0.00050001	-0.01264961	2.500100001e-07	0.0001600126331521	-0.116167	0.0152679999999999	0.0002331118239999	0.013494771889	0.0023981	8.699999999996037e-07	7.568999999993105e-13	5.750883609999999e-06	0.000795295	-0.000130551	6.324941370250001e-07	1.7043563601000005e-08	0.000509686	0.0001303999999999	1.7004159999999993e-08	2.59779818596e-07	0.0	0.0	0.0	0.0	0.0	0.0
318.2250658770808	-0.1143805018841703	0.0130828992112747	101267.1925524724	459.8015907314965	-0.5317120016458148	0.2827176526941989	211417.5028392146	332.7210339705991	-0.2698493980206535	0.0728186976121091	110703.28644646455	347.4448685648928	296.3689565380674	1.052858	15.96454	0.10631878	0.0571869	0.004975739	-0.0891223931	0.0371158602	0.0451548704	0.083489576	-0.0026834089	0.000962122	-0.0847665281	0.0001475067	0.0064752409	-0.0475224667	0.02843796	-0.1772088198	0.0374926575	0.0897427786	0.0729663439	0.0478091732	-0.0071296812	0.0379736546	-0.0048687577	-0.0626959761	-0.1180169031	0.0560318817	0.0786851565	-0.0913485816	0.0962693927	0.0307858734	-0.0224696257	0.0085404828	0.0565256244	0.034289789	0.0440069055	-0.03536691	-0.0885262738	-0.0529586385	-0.0136251498	0.1795875655	-0.0335284511	-0.0680572069	0.0544355794	-0.2371156179	0.0364560772	0.106062784	0.0001456949	0.0823992885	0.0056423082	-0.1449618157	-0.026473522	0.1149192313	-0.0467975368	0.0553189126	-0.0357715083	-0.00959689	0.0215277244	0.0833195269	-0.0740857761	0.0247839439	-0.0587978367	0.0113736318	-0.1012405012	0.0520898231	-0.0947504052	0.0824883067	0.043825333	0.0285771071	0.0385525694	0.0005337011	-0.0168732286	-0.0678582705	-0.0374297172	-0.0592853653	0.0125082683	-0.0002839082	0.0959418699	0.1004405422	0.0976702608	-0.0378253445	0.0217126147	-0.0661707056	0.0567148192	0.1034284895	-0.0035526339	0.0446265136	-0.0382625723	0.0859829912	-0.0451844038	-0.0698016783	0.1496663471	-0.0081026265	-0.0318431597	-0.0903664176	-0.0833863468	0.0979732286	-0.0473614861	0.0778478241	-0.0276514912	0.030426513	-0.1730327986	-0.0400759912	0.0848013092	0.0886282045	0.0541143004	0.0938543875	0.0495280487	0.0591109525	0.0068709793	0.0104282561	0.2379725383	-0.0695121534	0.0564974522	-0.0870990724	0.0027944828	-0.073110066	0.052147458	0.0943084757	-0.1495797239	-0.0331069542	0.0269958727	-0.0691132902	0.0937634322	-0.1174505714	-0.0049603265	0.0515013767	-0.0923522498	-0.0492301164	0.0474476137	-0.0468725771	-0.0984248255	0.0665227882	0.0376403211	-0.1000585776	0.0545166614	0.0780674352	-0.000192538	0.0315594857	-0.0659663701	-0.1169572811	0.0249764015	0.0361454027	-0.0789274809	0.1489984597	-0.1438262043	0.0203717503	-0.0541513833	-0.019517061	-0.0665303828	0.0832643829	-0.0252562541	0.0443034296	-0.1036781456	0.0620569763	-0.1139624162	0.0336346603	-0.0659718122	0.0094862471	-0.0217179619	0.0359449638	-0.061152265	0.1216993509	0.0028671721	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.000230363	1.4470000000000016e-05	5.3067111769e-08	2.0938090000000042e-10	0.0353573	0.03585731	0.00125013866329	0.0012857466804361	-0.0896967999999999	0.0264702000000001	0.00070067148804	0.0080455159302399	0.00171577	-0.0006823299999999	4.655742288999998e-07	2.9438666929e-06	0.0008991789999999	0.0001038839999998	8.085228740408201e-07	1.0791885455979221e-08	0.000603008	9.332200000000008e-05	8.708995684000012e-09	3.636186480640001e-07	0.0	0.0	0.0	0.0	0.0	0.0
317.857945152582	-0.3671207244988181	0.1347776263565371	101033.6732966218	458.10847914284034	-1.6931115886561656	2.866626851641805	209863.3786625662	332.580940131227	-0.1400938393720707	0.0196262838300075	110610.0817385708	347.1904667653581	296.6115569563969	1.026966	15.571928	0.128167528	0.0660079	0.0124926421	-0.1002567553	-0.0311985869	0.0567557755	0.0712548636	0.0314722656	0.0397673125	-0.0657839469	-0.0078841759	-0.0102760293	0.0079565246	-0.1335450732	-0.0982818093	0.0587172461	-0.0100318571	0.0447361689	-0.0520891448	0.0771812307	0.0947193032	0.030491958	-0.090935318	-0.0600666798	0.0919765953	0.0231967376	0.0389390215	0.0571292765	-0.1653693489	-0.0176890336	0.0752628708	0.1085333488	-0.0750667617	0.0072917832	-0.0573605323	0.0578599013	0.0325409966	0.0112228284	0.1465145674	-0.0008073416	0.0263746784	0.0080145326	0.041516643	-0.1075460468	0.0030365092	-0.0164855743	-0.0596280333	0.009723598	0.0256967458	-0.0677611032	-0.0521354876	-0.1182321076	-0.1077256512	-0.0661325599	-0.0062999045	-0.1188994025	0.0507007439	0.0733762534	-0.000876851	-0.1309331274	0.0615237447	0.0305950766	-0.0386992387	0.0510933974	0.0888632963	0.0030306165	-0.0379526871	-0.1259480231	-0.0479422544	-0.0527807747	-0.0319061445	-0.0018742751	0.0501054705	-0.0395175126	-0.0025435044	0.0651163103	-0.0877945864	0.2376774437	-0.0347701053	0.0553540661	-0.0292574022	0.0619087589	0.1053554297	0.0469611762	-0.0195301121	0.0838482781	0.0978792801	0.0488974808	0.0066767151	0.0764038096	-0.0298807698	-0.0561251252	-0.0191702648	0.1060099318	0.0103322934	-0.0356924082	-0.0577611762	0.020284206	0.0661629551	-0.0675664839	0.0698881218	0.0872730104	0.0164530576	-0.0918226166	-0.0634901394	-0.0435490828	0.0504703273	0.0619905612	-0.1228235017	-0.0405646032	-0.1176512594	-0.026041952	0.0691397683	-0.1316420058	0.0293819868	0.0971024446	-0.0132531103	-0.0947630932	0.1187383619	0.0469844037	0.0512627976	0.0403240286	0.0175345779	-0.1350361735	-0.0394940109	0.0574028559	0.0465942886	-0.1611256096	-0.1496671739	0.0401019438	-0.0213612124	-0.0523137705	0.05894807	-0.062038204	0.0919388682	-0.1238772901	0.0582251983	-0.0387723092	-0.1533707026	0.0796449826	-0.0959950998	0.0436670195	0.0715501511	-0.076906587	-0.0308466562	-0.0047592584	-0.0785907922	-0.1464377689	0.0993660578	0.0162276933	-0.0586325845	-0.0688158098	0.0106790761	-0.07183183	-0.0232212035	0.0453742304	0.0585383048	0.0307377768	-0.0263700413	-0.0013649985	0.0636912607	0.0396983507	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.000195085	-3.5278e-05	3.805815722500001e-08	1.2445372839999998e-09	-0.0097529	-0.0451102	9.511905841e-05	0.00203493014404	-0.124061	-0.0343642000000001	0.00118089824164	0.015391131721	0.00229129	0.00057552	3.3122327040000017e-07	5.250009864100001e-06	0.000594865	-0.0003043139999999	3.53864368225e-07	9.260701059593916e-08	0.000509685	-9.332300000000008e-05	8.709182329000015e-09	2.59778799225e-07	0.0	0.0	0.0	0.0	0.0	0.0
317.7693128925073	-0.0886322600746893	0.0078556775259473	100977.3362161762	457.8604167332193	-0.2480624096210135	0.0615349590669835	209636.1612111173	332.60262011403825	0.0216799828112357	0.0004700216546954	110624.50290672324	347.2126562662719	291.87276537780383	1.031566	15.641684	0.125869905	0.0672817	0.085326243	-0.0631773796	-0.0653000951	0.0196641981	0.1135399766	0.0473052491	0.1105789774	-0.0596982707	-0.0548083467	-0.0694745024	-0.0118314859	-0.0117374265	-0.1122817474	-0.0172317158	0.0264301063	0.0485865935	0.0123597643	0.0142686815	-0.0475190532	0.045678531	0.041083709	-0.0864647224	0.0802680921	0.0493478575	0.0459482711	0.108233341	0.018979999	-0.0531782275	-0.0460606511	-0.0328821852	0.0533053567	0.0301338064	0.0069954269	0.0279445099	0.0006533136	-0.1015355099	0.0466602844	-0.0063579834	0.0662689138	0.1339121355	-0.1056600336	-0.0485576459	0.1037383401	0.1500763515	-0.0157902993	0.0134249137	0.1468086142	-0.1097159293	-0.0430293802	-0.0011422151	0.1174643683	0.0807981217	-0.0297418059	0.0718651809	-0.125281228	0.0302467464	0.0231154334	-0.0496871787	-0.0205188404	0.10982233	-0.1389787192	0.0434703716	-0.0754202911	0.0163293522	0.0087277857	0.1080416652	0.0325432619	0.0051719063	0.0071727614	-0.0324253531	0.1368400386	0.0043128757	-0.0734983226	-0.0773472246	0.0094763575	0.0449974491	-0.0922543109	-0.0090545678	0.0092046607	0.1290791145	0.0485306105	0.0386018585	0.0393826305	0.0331019201	0.0726278849	-0.0449658113	0.0152860688	0.111408858	-0.0396236101	-0.0846708482	-0.0279981331	0.0902831374	0.0886542514	-0.0749704754	0.0573776602	0.1003603628	-0.0183941672	0.0088836458	0.026483301	-0.0367884587	-0.0787650104	0.0104153032	0.0397552232	-0.0157987968	-0.0566282641	-0.0068997509	0.0578382524	0.0513614836	0.0735624353	-0.0050103918	0.1432076001	-0.0939000965	-0.1732202205	-0.0587275242	0.0243842098	0.1055473495	-0.1392013133	-0.0037166837	0.0754954189	0.0210206103	-0.106739579	-0.0430122201	-0.0674952668	-0.0291387597	-0.0522024061	-0.0309214342	0.161901712	0.012702145	-0.09415709	-0.0194713151	-0.0705650371	0.074490424	0.057394745	-0.0099813448	-0.0927646815	-0.0465256385	-0.1376396572	-0.0353896698	-0.0139415558	-0.0799249372	0.0803452236	-0.0683525837	-0.0651802702	-0.085263064	-0.0325856333	-0.1126946431	0.0766592106	-0.005197024	-0.0410691231	-0.0153824501	0.0219859307	0.0021312916	-0.1384834833	0.1495547676	-0.0428487519	0.0203608363	-0.0390647417	0.0202882524	0.0954413088	-0.0320859727	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0083103399999999	0.0081152549999999	6.906175091559835e-05	6.58573637150234e-05	0.0201762	0.0299291	0.0004070790464399	0.00089575102681	-0.0718521	0.0522089	0.00272576923921	0.00516272427441	0.00189577	-0.00039552	1.564360704000001e-07	3.5939438929e-06	0.000278052	-0.000316813	7.731291470399999e-08	1.00370476969e-07	0.000509685	0.0	0.0	2.59778799225e-07	0.0	0.0	0.0	0.0	0.0	0.0
317.91070191413365	0.1413890216263666	0.0199908554364611	101067.21439153714	456.7132439586536	-1.1471727745657176	1.3160053747048068	208586.98720723664	332.6895022143926	0.0868821003543303	0.0075484993619799	110682.30488366033	347.1556976909797	289.63471703386045	1.004519	15.231565	0.092005357	0.0501398	0.0791166082	-0.021135626	-0.0924153779	-0.0588029336	0.1203543034	0.0393222846	0.1028895782	0.0403646175	-0.0561060522	-0.0715475085	-0.0681288843	-0.1243838341	-0.0468820327	0.0063776289	-0.075359462	0.0579389944	-0.0116563695	-0.0333657117	0.0803631679	0.0408502972	0.0319534715	-0.0895257959	0.1280996975	0.0781109947	-0.0059936824	0.0437799219	-0.0060557875	-0.1417061637	-0.0438030346	0.1257597628	-0.094121809	0.0023265142	-0.0080664454	0.0397172055	-0.0727004961	0.0970640442	0.0886146759	0.2059171441	0.0724387216	0.0150082745	-0.0295488438	0.0392317496	-0.0874042424	-0.0507870536	0.0960550277	-0.0947601145	0.0195709593	0.0526424321	-0.1431278473	0.0414973393	-0.0662439618	-0.0298290998	0.0868075578	-0.0095041211	-0.0111699606	0.0298359737	-0.0001093573	0.1692717643	0.0555586085	0.0718123783	0.0243432181	0.125887219	-0.0290456726	-0.017020016	0.0949806269	0.0090165538	0.0312253401	0.0014679728	-0.0350354881	-0.0234742735	-0.1429532669	-0.0383636286	-0.079083102	-0.0644766069	-0.0069309868	-0.0355645658	-0.006354546	-0.0239054404	0.0440737038	0.0890101303	-0.0110941743	0.0484583499	-0.1036436166	0.0740504316	0.1679837538	-0.0045935957	0.0920367043	0.0657501341	0.0091046051	-0.0931847099	0.0142431009	0.1765971263	0.0391011055	-0.1464928902	-0.1594350385	0.0240654841	-0.0099985104	0.0511615438	-0.0213409975	0.072089826	0.056017425	0.0421389718	-0.0308626705	0.0587385411	-0.0384476648	0.0573533639	0.0360016864	-0.0997730061	0.0144992693	0.0530581842	0.0945253552	-0.0032568539	0.1648255069	3.00896e-05	0.0048838883	0.0243833531	-0.0245504386	0.065750017	-0.0934769769	0.0546806531	0.0362716814	0.0185299526	0.0328143896	-0.0158801322	-0.0276288364	0.0272706781	0.1406506229	0.0688464154	0.0266477577	-0.0859563176	-0.0158785472	-0.0019878891	-0.0595852333	-0.0360170761	-0.05173968	-0.0563377128	-0.1520557884	-0.0006618565	-0.1014033796	0.0798102457	0.0351955713	0.005883679	-0.0685921098	-0.0414024239	-0.0513650145	-0.1589506653	-0.0014227566	-0.0011050469	-0.0594369625	0.0105327305	-0.0778267244	0.0099217386	-0.0825041359	0.0800928253	-0.0324491201	0.0155157312	0.0254470678	-0.0752679419	0.0216461364	0.0087983864	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.000173383	-0.0081369569999999	3.0061664689e-08	6.621006921984739e-05	-0.0189133	-0.0390895	0.00035771291689	0.0015279890102499	-0.0948432	-0.0229911	0.00052859067921	0.00899523258624	0.00228166	0.00038589	1.4891109210000004e-07	5.2059723556e-06	0.000327918	4.986600000000003e-05	1.0753021472400001e-07	2.486617956000002e-09	0.000509685	0.0	0.0	2.59778799225e-07	0.0	0.0	0.0	0.0	0.0	0.0
318.0909236167376	0.1802217026039443	0.0324798620894645	101181.8356873492	456.4515995779452	-0.2616443807083897	0.0684577819562767	208348.06275726485	332.5604561455975	-0.1290460687950485	0.0166528878714564	110596.45699176787	346.80262844668675	292.20149660433384	1.000914	15.176912	0.067445227	0.042768	0.039198704	0.0191768433	-0.124337994	-0.0161296589	0.0897905085	0.0596547955	0.097275415	0.0565983577	-0.0141653535	-0.0447371395	0.0456238354	-0.0453024583	-0.0036703799	-0.1187981927	-0.0138426362	0.0093411286	-0.000993398	-0.0383782464	-0.0422985679	0.0766112121	0.1153054183	-0.0403493564	0.0593207572	0.0683966566	0.0513158286	-0.0030133545	-0.0097659937	-0.0614545517	-0.0468835938	-0.0618312941	0.0418031617	-0.0262656938	0.1269970363	0.1148662406	0.05356383	-0.0158171892	-0.1027271952	0.0252854644	0.104314742	-0.097450937	-0.0921534584	-0.0253681883	0.0751553104	0.0799123812	0.0049735633	-0.0969033897	-0.1134663315	-0.0380252787	0.0328212187	-0.0218078751	-0.1153660051	-0.08367771	0.1292059392	-0.0335987709	-0.0811437277	-0.0103276714	0.0824774674	0.0646485765	0.0248306151	-0.089035223	-0.0451662819	-0.0328692937	0.0324867342	-0.0352844722	-0.0560778869	-0.0626266956	-0.008191471	0.0403568825	0.0126260649	0.0291863824	-0.038433237	-0.0660323751	-0.0219910608	-0.0289875245	-0.0153196624	-0.0055834537	0.0254859539	-0.0478258197	0.0847735013	0.0830408105	-0.0438810203	0.0222289432	0.0081471685	0.0581761123	0.0748607071	-0.0655602045	-0.0487426634	-0.0126633105	0.0879443386	-0.097530384	0.043388668	0.0178911422	0.0776661584	0.1287042212	-0.06764101	0.0517464013	-0.0937633663	0.0146676755	-0.1163017923	0.0466577935	0.0218468556	0.0447159426	0.0372085081	-0.1441934049	-0.0276688659	-0.1104689254	-0.0842594887	-0.0826896748	0.0433060256	0.0772487754	-0.0003943744	0.0844476658	0.1007543609	-0.0379905498	0.0572254687	-0.0910217938	-0.0061962691	0.16566667	0.0155101954	0.024471569	-0.0659286937	-0.071787507	0.0562715008	-0.0137066535	-0.0351121522	-0.0283751731	-0.012956305	0.0997420111	-0.1157950033	-0.0374308197	-0.0594361359	-0.0997448543	-0.0158170713	-0.0101023101	0.0304490835	0.0206902208	-0.1377164249	-0.0581459694	-0.0212070062	-0.0549726456	0.0763900986	0.0552449454	-0.0801356962	-0.0698278502	-0.0770470994	-0.1069918148	0.0218629104	-0.0495330509	-0.0316457747	0.0187608962	-0.0533954781	0.1203436519	0.0479179463	0.0464801814	0.0270132862	-0.0214619586	0.0566409823	0.0309479282	-0.0685401139	-0.0273826502	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0040982	0.003924817	1.6795243239999998e-05	1.5404188483489e-05	-0.00121224	0.01770106	1.4695258176e-06	0.0003133275251236	-0.0568634	0.0379798	0.00144246520804	0.00323344625956	0.00222504	-5.661999999999985e-05	3.2058243999999824e-09	4.950803001600001e-06	0.000227747	-0.000100171	5.186869600900001e-08	1.0034229241e-08	0.000509685	0.0	0.0	2.59778799225e-07	0.0	0.0	0.0	0.0	0.0	0.0
