global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
345.6084676678008	n/a	119445.21292368532	n/a	498.9894032622528	n/a	248990.42456801917	n/a	343.5732123984617	n/a	n/a	118042.55227779847	364.0929390452224	364.1004893746446	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0168025	n/a	0.00028232400625	n/a	0.0193701	n/a	n/a	0.00037520077401	-0.0903983	n/a	n/a	0.00817185264289	0.00130455	n/a	n/a	1.7018507025e-06	-0.000271803	n/a	n/a	7.3876870809e-08	0.000449645	n/a	2.02180626025e-07	n/a	0.0	0.0	0.0	0.0	0.0
344.2388505582762	-1.3696171095245973	118500.38623368324	1.8758510267025128	493.1697532588425	-5.819650003410288	243216.4055293876	33.86832616219337	343.3494416494407	-0.2237707490210141	0.0500733481174257	117888.83908098268	363.2597965246314	361.92256471165183	1.186208	19.601847	0.0951474999999999	0.0549156	-0.014192277	-0.0782679529	-0.094298857	0.0186803554	-0.0454228587	0.1011490363	-0.0586391997	-0.0770290816	0.0833719955	-0.0449067653	0.0445212353	-0.1150416475	0.0146616889	-0.0238226409	0.005063927	-0.044206693	0.11843039	-0.0453839713	0.0831625633	-0.0937322921	0.2730896915	-0.0682216124	0.1635193393	-0.0423870512	0.0170896018	0.1046316122	-0.1021070958	-0.1167412628	-0.0618605543	0.0167893671	-0.1094623994	0.0204208216	0.0428697657	-0.0607263105	0.038112247	-0.0840735231	0.0285481082	-0.0499842398	0.0301238326	-0.0290649295	0.0238729555	-0.0506830368	0.0056059052	-0.0035812717	0.1124017519	-0.0493433451	0.001827271	-0.1040149872	0.057305482	-0.026832426	0.0322497625	-0.0482149735	0.0416334743	-0.0252050855	0.0044699419	-0.0585591481	0.1104411255	-0.0065669568	0.0086309298	-0.1453453398	-0.0156279765	0.0480898189	-0.0522182476	0.0061566379	0.015786145	-0.1253009063	0.0191212113	0.0129577803	0.0726371335	-0.0918611315	-0.006728108	-0.0525091374	0.0139865058	0.0162244481	-0.0504925157	0.0252239565	0.0295190778	-0.0228278533	-0.0323748366	-0.0269528258	0.0222128757	0.013132987	0.0169384876	-0.116086204	0.1642025317	-0.0981201404	-0.0297990565	-0.0804503373	0.0234673235	0.0130918966	0.0263929077	0.0095144321	0.1268415554	-0.0345358833	-0.0085839721	0.051548835	-0.0289821251	0.1160218494	-0.080809381	0.0079360794	-0.0758114052	0.0852321103	-0.0091099727	0.0441195077	-0.0317483044	0.027608271	0.0258258701	-0.0698324824	0.0216568438	-0.0900079768	0.0627859313	-0.0552318326	0.0057560626	-0.0222873526	0.0356973287	-0.0470801802	0.0646139153	-0.024867861	0.0614148518	-0.0334277979	0.0425464486	-0.0555100838	0.1096281995	-0.0192778124	-0.0284983109	0.0049892388	0.0837684449	-0.0296923552	0.2338026524	0.015243774	-0.0525815244	-0.0332187587	-0.0274398087	0.017489725	0.0405826628	-0.0529172201	-0.0283289674	0.0863722734	0.0003340223	0.0309966055	-0.1074442514	-0.0567917578	0.0749811671	0.0594669549	0.0721889999	-0.0210555307	-0.0351724839	-0.1718421915	0.0986373457	0.0066136497	-0.05103972	-0.1155384385	0.12658007	0.0451214393	0.0145728254	0.0033034216	-0.0277215	0.1940998609	0.0117535918	-0.0417256273	0.1568074544	-0.1513027811	0.1193131787	-0.0489639372	0.1158629225	-0.0032205243	0.1349729797	-0.026519688	0.0047800182	-0.1052274661	0.039233217	-0.149189983	0.1228356997	-0.0685164824	0.0603691326	-0.0350260101	0.1449062949	-0.136438848	0.1005530992	-0.0524649254	0.1028653472	0.1028546891	0.1028369265	0.1028120605	0.0	0.0233739	0.0065713999999999	0.00054633920121	4.318329795999997e-05	0.0286122	0.0092421	8.541641240999999e-05	0.00081865798884	-0.0473403	0.043058	0.001853991364	0.00224110400409	0.000996686	-0.0003078639999999	9.478024249599996e-08	9.93382982596e-07	-0.000670898	-0.0003990949999999	1.5927681902499997e-07	4.50104126404e-07	0.000431084	-1.8561e-05	1.85833415056e-07	3.4451072100000003e-10	0.0	0.0	0.0	0.0	0.0
343.7822672729051	-0.4565832853711526	118186.24729129914	0.2084682964803154	492.17178032839024	-0.9979729304522492	242233.0613516172	0.99594996991545	343.67570681245206	0.3262651630113851	0.1064489565948456	118112.99145303851	363.5655553681737	357.96844236151696	1.049299	17.339451	0.120682251	0.0535924	0.0763222777	0.0333856043	-0.0794403553	0.0989115693	-0.1112091348	-0.0599429038	-0.1594089194	-0.0981806416	0.007837846	0.077318213	0.1001320287	-0.0587146895	0.0492258027	0.0167489001	-0.0438891124	-0.0085226052	0.0453067059	-0.1370268854	0.1036366338	0.0519638739	0.1392032932	0.0795841186	0.095040709	0.0213203255	0.0546305244	0.0285206804	-0.1196743849	0.0716988916	-0.0557476111	0.1045821336	-0.1871424211	0.0108919494	0.0982624466	-0.1099799417	0.1138680852	0.0085377862	0.0836343216	0.0374810869	0.1941243525	-0.0688997451	0.0747850812	0.0981178936	0.1921427777	-0.0925876209	0.105820436	0.0220255299	0.0277529747	-0.0366394466	0.0805725492	0.0732233926	0.0142704119	-0.0266766127	0.0588230777	0.0628774892	0.0808768823	-0.0557810219	0.037999355	-0.0256781618	-0.0676153542	-0.0025577048	0.0881563898	0.1298117988	-0.1711459486	0.0323913224	-0.0315462198	0.02447413	0.0816886442	0.1613669301	-0.106757494	-0.0629562674	-0.0093811617	-0.0913310528	-0.091614832	-0.0585660788	-0.006844285	-0.0923630411	-0.0349908527	0.0361759128	-0.0046662777	-0.1533816602	-0.0122200407	0.0651811797	-0.0785228816	0.0317754897	0.081537576	0.0014869239	-0.0415055574	0.0020234547	-0.0330247297	-0.0423961972	0.0766981834	-0.0084825574	0.0654810008	-0.1228319352	-0.080934669	-0.0866515458	-0.0960381585	0.1011720862	-0.0134376958	-0.0672445897	-0.1368168535	0.1318870225	-0.0457234008	0.0538836469	-0.1235566532	0.1217707185	0.1601113316	-0.1235383187	0.062941086	-0.0532019396	-0.0958748566	-0.01843375	0.1638759108	-0.0260530093	0.0113193789	-0.0229925156	0.0131814788	0.0074958207	0.1475206408	0.1043386178	0.0727405996	-0.084573711	0.0189764195	-0.0698462027	0.1807004019	-0.1074206831	-0.0125624506	-0.0726175329	-0.0598246482	-0.0363562196	-0.0664566161	0.0399262888	0.0325697144	-0.0542030113	0.0155171343	0.0543764845	0.0570765916	-0.0008290735	0.0511552359	-0.0111165686	-0.1672053537	-0.18867773	0.0615564577	0.0196738362	-0.028307533	-0.0630006414	-0.0683978781	0.0092611906	-0.0020633367	0.1362762721	0.0862826919	-0.0385561396	0.0582419638	0.0865845051	-0.1179941032	0.0923592049	-0.0892670657	0.1956776956	0.0342308362	0.054042788	0.0987785038	-0.0511385789	0.1892941197	0.0324564629	0.1203398544	-0.0460322163	0.140124954	-0.0942046115	0.0203313649	-0.0992326133	-0.0964306645	-0.1282539765	0.0463450165	-0.0438109994	0.0691808471	0.0220949587	-0.0177810417	-0.1865266806	0.0104422822	0.036737317	0.1028369265	0.1027410258	0.1025812577	0.1023577213	0.0	0.00734263	-0.01603127	5.39142153169e-05	0.0002570016178129	0.000874984	-0.027737216	0.0007693531514306	7.65597000256e-07	-0.0190601	0.0282802	0.00079976971204	0.00036328741201	0.00131409	0.0003174039999999	1.0074529921599993e-07	1.7268325280999998e-06	-4.57937e-05	0.0006251042999999	3.9075538587848987e-07	2.09706295969e-09	0.000400921	-3.016299999999999e-05	1.60737648241e-07	9.098065689999991e-10	0.0	0.0	0.0	0.0	0.0
343.52388996185056	-0.2583773110545166	118008.6629745216	0.0667588348677624	490.5301376425664	-1.6416426858238538	240619.81593563512	2.694990707918956	342.92759800571366	-0.7481088067384007	0.5596667867195538	117599.33747396836	362.59557492869504	356.2451651245794	1.126616	18.617085	0.068096569	0.0316497	-0.0828385791	-0.0363874604	0.0698834291	0.0250480585	-0.1956764165	0.0099975637	0.0346967294	-0.0894249017	-0.035557926	-0.0056907007	-0.0655570276	-0.1409683299	0.0759990894	-0.0256055385	-0.0393477359	-0.1138594168	-0.052537501	-0.0469986223	0.0274422117	-0.00226003	0.1110309112	0.1441395772	0.0481180276	0.0627314952	0.0064589463	-0.0799814612	-0.1091193583	0.1406236984	-0.0157804435	-0.0090825091	0.0609326831	-0.0871149481	0.005594353	-0.005387828	-0.1882869374	-0.1907751016	0.0193178614	-0.0545093674	0.0147000071	-0.0751157599	0.0263061353	-0.0070483365	0.0783604751	-0.1577058477	-0.025577672	0.0195325249	-0.0347435025	-0.1221800614	-0.0139385322	-0.0603299515	-0.0278187385	-0.0332653892	0.0613048036	-0.0271800936	-0.0575702404	0.0983989905	-0.070364991	-0.0139604401	-0.0460965925	0.0534757772	-0.0667234692	0.0997778993	-0.0639717498	-0.1355634452	-0.0180227489	0.1004729368	-0.0398705234	0.0269790327	0.0603724147	0.1917774429	-0.0431897879	-0.0125907998	0.0114159277	0.0037145783	-0.013875845	-0.1309685507	-0.0833382886	0.0520054676	-0.0836839468	-0.0429675945	0.1707573499	-0.0890343561	-0.0659606494	-0.0436190111	-0.0397739596	-0.0659003999	-0.0131274431	0.0881829628	-0.0173052665	0.1299726124	0.0685570427	0.0967546342	-0.0890646884	-3.2457e-05	0.0878894737	-0.0513744917	0.1132289199	0.0156947983	-0.0575634997	0.0075388739	0.0544828778	0.0120343299	0.0408331192	-0.0575709417	0.0367938487	0.1055946481	0.100316297	-0.2409328404	0.0658195594	0.154473211	0.0604061428	-0.0410460506	-0.0269166668	0.0075988593	-0.0081883262	0.0411761943	-0.0069201576	-0.0544110774	0.0761459373	-0.0442498615	-0.1282955095	0.0424538492	0.0381066856	0.0362630284	-0.0104546339	-0.0673760027	-0.0717070931	0.0268219645	-0.0485429113	-0.0379642093	0.0600677376	-0.0056757218	-0.0467802912	0.0981965956	-0.0596040104	0.1445650736	-0.0277494514	0.0300386421	-0.0438431848	0.0954970631	-0.0194176974	0.0451985883	-0.1128254336	0.0818372491	-0.0424661766	0.1369816174	0.0294051633	0.0646862837	-0.0622155384	0.0699624222	-0.0113835851	-0.0684518909	0.1576206434	-0.1211511815	0.046287809	-0.0085857581	0.0241370341	0.1873839519	0.0350488917	0.0882350618	0.1241351479	-0.1785364162	0.036688014	0.021240365	0.1300433407	-0.0573204157	0.0358598814	-0.0666804221	0.0407141264	0.0002811016	-0.1105650181	-0.07769427	0.0596249063	0.0599847239	0.1904433819	0.1476467391	-0.1556657206	0.0460492581	0.0056573712	0.0189379992	0.1027800929	0.1025138249	0.1020705557	0.1014510507	0.0	0.0230671	0.01572447	0.00053209110241	0.0002472589567809	-0.0108687	-0.011743684	0.0001379141138918	0.00011812863969	-0.0401885	-0.0211284	0.00044640928656	0.00161511553225	0.00134338	2.928999999999996e-05	8.579040999999975e-10	1.8046698244e-06	-0.000286001	-0.0002402072999999	5.769954697328999e-08	8.1796572001e-08	0.000280418	-0.000120503	7.8634254724e-08	1.4520973009e-08	0.0	0.0	0.0	0.0	0.0
343.2079656120104	-0.3159243498401451	117791.70765953492	0.0998081948219184	489.40588911781407	-1.1242485247523175	239518.12430319813	1.2639347454077627	342.9732799371596	0.0456819314459266	0.0020868388606303	117630.67075085324	362.654526771683	359.1893463676138	1.076754	17.793135	0.0639681	0.0368493	0.1021361968	-0.0159782135	0.0267132765	-0.0306662029	-0.0598639774	0.1234859733	-0.0284081291	0.1160221861	0.1231371851	0.0195713778	0.0921090094	-0.1153065536	0.0146772948	0.0332331614	0.0027756173	-0.1215083054	-0.1273390294	-0.0268396794	0.1936562797	-0.0043507499	0.0506017116	-0.0976069711	-0.0178149303	0.0530271142	-0.0293057951	0.0309787925	0.0274218462	0.0285435351	-0.013313087	-0.0248695247	0.0768069289	-0.0403198173	-0.0672285459	-0.0397075753	0.0089088067	-0.0879675625	0.0541079678	-0.0119331114	-0.1035119749	-0.0188982082	0.0670214784	-0.0490293394	0.0300558307	-0.029360449	0.0705925041	0.0046166554	-0.0297278891	-0.1362945153	-0.0617914201	-0.0046338642	-0.1126916214	0.1138871313	-0.0474665131	0.1698845918	0.0389890941	0.0881667911	0.1363483943	-0.0583430276	-0.0540979372	0.0126038655	0.0179644036	-0.0526286408	0.0472487449	0.0331341345	-0.0071833646	0.0919448628	-0.0926342361	-0.0906837956	0.1002988221	0.0044826315	-0.0237723995	0.0196359284	0.0466237864	0.1036949752	0.0223189875	0.0900244664	-0.0200107843	0.0381744865	0.0943626622	0.0643009593	0.0237432554	-0.0401404459	0.0220991509	0.1537390779	-0.1062939426	-0.0288699265	-0.0271424111	-0.0897703827	-0.0724527481	0.0762918684	0.0747704514	-0.0539895206	-0.0413221882	0.0695272255	-0.075987263	0.058183631	-0.0168593328	0.0090423361	-0.0394206077	0.036846358	0.1252650856	0.0832507333	0.076024611	-0.0111915983	0.0721704557	-0.0384561411	0.0896506703	-0.0314776154	-0.0340124848	0.0498801749	0.0112340406	0.0485481715	0.0371821038	-0.0969637646	0.1134122758	-0.1196056015	0.0541934666	-0.0060135362	-0.0373991193	-0.1245741814	0.0661923598	0.0591816984	0.1596046623	0.1060826494	0.0223094806	0.0674545402	-0.0715455223	0.111351271	0.0772307015	-0.0377692926	0.0024800354	-0.0736327419	-0.0080198908	0.0170205713	-0.0647054797	0.0325368328	0.0510067595	0.0471020985	-0.1384387833	-0.1667519807	0.0383716365	0.0733379676	0.0287629522	0.0172632345	0.1801728924	0.0236189158	0.0723008368	0.0812529316	-0.0005149358	-0.0065182572	-0.0045678763	-0.0355125601	-0.0594459374	0.0303010658	-0.0430716643	-0.0509097991	0.0684349448	0.1989843492	0.037562657	0.0093346667	0.0993204984	-0.0341103146	0.1498444331	-0.0532275423	0.1003971942	-0.0432705388	-0.0300287528	0.012095234	0.0012144902	0.0336098914	0.0507050906	-0.0599105238	0.1396061877	0.0482467783	0.0814782258	0.0739647492	-0.0463601713	0.1177590227	0.0168737292	0.1068143861	0.1026948621	0.1021733373	0.1013060902	0.1000960555	0.0	0.023846	0.0007788999999999	0.000568631716	6.066852099999985e-07	0.0185474	0.0294161	0.00086530693921	0.0003440060467599	-0.0204836	0.0197049	0.00038828308401	0.00041957786896	0.00145028	0.0001069	1.1427610000000013e-08	2.1033120784e-06	-0.000289698	-3.6970000000000423e-06	1.3667809000000317e-11	8.3924931204e-08	0.000451185	0.000170767	2.03567904225e-07	2.9161368289e-08	0.0	0.0	0.0	0.0	0.0
343.10567925953467	-0.102286352475744	117721.50714014668	0.0104624979027921	490.2317171141562	0.8258279963421273	240327.13646469408	0.6819918795424527	343.07089501172305	0.097615074563464	0.0095287027820306	117697.6390041447	362.72185755682153	365.309496715117	1.648597	27.242723	0.070935	0.0385228	-0.0844126444	0.1423911131	-0.0568722693	0.0672652295	0.0333822985	0.0519927407	0.0182350598	-0.1089849873	-0.0226908631	0.0765917838	0.085571765	-0.0704783316	-0.0212881345	0.074397069	-0.0048575938	0.0670479025	-0.0678561279	-0.0212529187	0.129245494	0.0058309912	-0.0287989771	0.024035941	-0.0599286028	0.0988475604	-0.0812959561	0.0757800911	0.0196023724	-0.1934982974	-0.0274632631	0.0699622958	0.1250201131	-0.0228390483	-0.0176201618	0.0710118295	0.0117449579	-0.1485508921	-0.0302758082	0.0667550261	0.0212268585	0.087918804	0.044284236	-0.0242573175	0.0480362773	-0.1559919176	-0.0027100844	0.0633614438	-0.1259110614	0.0970678777	0.0509199288	0.0024444915	-0.0842382772	0.069933753	-0.0807579357	0.0366984572	0.1316682786	-0.0376930317	0.0294386017	0.0359208983	-0.0098963805	0.1322137219	0.1435569798	0.0098929134	0.0242187416	0.0382312382	0.0434096683	-0.0484165328	-0.0140872898	0.0636320909	-0.1667313145	-0.0031557449	-0.0166005894	-0.1141855129	0.0290681674	-0.0566927417	-0.0388300543	-0.0291865967	0.0200759547	0.119610361	-0.0935538719	-0.0017253826	-0.1233090152	0.0709576105	0.0096260869	-0.017254862	0.0280895068	0.0199513472	0.0198847322	-0.0359098743	-0.0560753072	-0.015073105	0.039821365	0.1319762879	-0.0780892235	0.0217213445	0.1041990907	-0.0439467426	-0.0899907329	0.0011265685	-0.0418855375	0.0098911852	0.0007585639	0.1062855218	0.0447119692	0.0357967747	0.081483425	0.0397979345	0.1206162489	0.001890213	-0.0618426052	0.0179755885	0.0359918533	0.0538906376	0.017607759	0.0283809707	0.0131578559	-0.020440192	0.0460510487	0.0654586439	0.0610876367	-0.0377844648	0.0104552806	-0.0552357901	-0.1090201241	0.0402141263	0.0623722692	0.0171699374	-0.0664439314	0.0597416258	-0.1342501705	0.1253036902	-0.0938075208	0.0225352626	-0.1295973216	0.0407537328	-0.0705773213	0.0354374576	0.14747984	-0.1203042645	-0.0539859651	0.0631250357	-0.0135839666	-0.0428055101	0.1525269775	0.0006608864	-0.0989309467	-0.0897055991	-0.0076972296	-0.0613338695	-0.0328874401	0.0375027667	-0.0154743348	0.0206420623	-0.0309771641	-0.0248279433	0.0329137334	-0.0034097842	-0.0220528425	0.2060207952	0.0324038023	-0.066953232	0.0701555631	-0.0740148549	0.0500311803	0.1379181607	0.059392236	-0.090911216	-0.0678596044	-0.0379801629	0.019901322	-0.0437823828	0.0761801927	0.0335254321	0.1084539315	-0.0058610461	-0.0303530466	-0.0828085618	0.017671306	0.0209160691	0.0666426797	0.0797466548	0.1025812577	0.1017199394	0.1002897619	0.0982987234	0.0	0.025801	0.001955	0.000665691601	3.822025000000008e-06	0.0437294	0.025182	0.000634133124	0.00191226042436	0.0057235	0.0262071	0.00068681209041	3.275845225e-05	0.00133258	-0.0001176999999999	1.3853289999999972e-08	1.7757694564000005e-06	-0.000136197	0.000153501	2.3562557001000003e-08	1.8549622809000006e-08	0.000531802	8.061699999999995e-05	2.82813367204e-07	6.4991006889999916e-09	1.0	0.0	0.0	0.0	0.0
342.4765973515226	-0.62908190801204	117290.21973347696	0.3957440469880687	489.6775675213156	-0.554149592840588	239784.1201335926	0.3070817712453894	342.7533985166673	-0.3174964950557637	0.1008040243726945	117479.89219472534	362.79208107198826	359.59670860612874	1.566597	25.887682	0.0810724619999999	0.0496451	0.0032117187	-0.0904816027	-0.034959993	-0.0051634195	0.0481623329	0.0016658959	-0.0649307686	0.0329884795	-0.0626508525	-0.0359221905	0.0056042953	-0.0555986658	0.1136924613	0.0801228867	0.0643444745	0.1115013732	0.0888994859	-0.0169703432	-0.0246966746	-0.1708477433	0.0267332509	0.0524233201	0.0350845403	-0.0884628561	-0.1204058443	-0.114643025	0.0092136284	-0.1538615427	-0.0174660818	-0.0658763967	0.0473449904	0.1340954835	0.0719775228	0.0627716648	0.0294861577	-0.0269201397	0.1159717264	-0.0052079143	-0.0076651928	-0.036800505	-0.0491744619	-0.0884600813	0.0625818951	-0.0442624159	-0.0031828886	-0.0848028166	-0.0066019555	-0.0779977526	0.0349296944	0.0366663426	-0.1025219467	-0.0525069398	0.0036002266	-0.0604751554	-0.1426426803	0.1405208397	0.1111376041	0.0649092453	0.0036421466	-0.0340435072	-0.0946276385	-0.0870905012	-0.0227589271	0.0316585184	0.0067971652	0.0064720468	0.0282683118	-0.0381195286	0.0410290008	-0.0134864633	-0.0410094673	-0.0048846	0.0999245336	0.0166355743	0.0090462839	-0.033464705	0.084491579	-0.0181871588	0.0530376531	0.0112047252	-0.1104385702	0.0054527294	0.0383454183	-0.1422682369	-0.0695492565	-0.0715024312	0.0204759675	0.0482456033	-0.0021709321	-0.1296223167	-0.0062758125	-0.0701044474	-0.012718029	-0.1156065062	-0.0847888434	0.0470966376	0.0373520859	0.0018487889	-0.0687362869	-0.0405781362	-0.0568128231	0.0236089261	0.0766157705	0.0568925759	0.0559854992	0.0992581549	0.048482233	0.0001890996	0.0444185254	0.0672547704	-0.0263288437	-0.0472081055	-0.0341228063	-0.1388125762	0.0769492323	0.0619244554	-0.0471080294	-0.0745283184	0.0158388259	0.0115287801	0.0714076592	-0.0841071986	0.053244698	0.0516510841	-0.1172447897	0.0881876035	0.178872901	-0.0415732866	-0.0096701649	-0.0350083459	0.0094431381	-0.1105414018	0.0518771322	0.0313104758	0.058013219	-0.0455017512	0.1235404373	-0.0190096748	-0.0429742676	-0.0800332544	0.1275564379	-0.0673904282	0.0177744357	-0.0122309984	0.0263357906	0.0321485504	-0.0193202369	-0.1086730595	-0.1358935402	-0.0296632635	-0.0497624159	0.0165414947	-0.0408070199	-0.0423761341	-0.0373760638	-0.0238834829	-0.0714980418	0.17320716	0.0498517138	0.0661322222	0.0559967274	-0.0908964178	0.0272862145	-0.0604336327	-0.0200091073	-0.0523124061	0.0224239684	-0.0055531503	-0.0253665405	-0.0599557675	0.1079373318	0.1058456028	-0.0057712274	-0.0945938526	-0.1558069066	-0.01420421	-0.1244722557	-0.0137167342	-0.0359637143	-0.0088767318	0.102439311	0.1011541321	0.0990240974	0.0960669971	0.0	0.0163449	-0.0094561	0.00026715575601	8.941782721000004e-05	-0.000669652	-0.044399052	0.0019712758184987	4.4843380110400005e-07	-0.00326216	-0.00898566	8.074208563559999e-05	1.06416878656e-05	0.00134371	1.112999999999982e-05	1.23876899999996e-10	1.8055565641e-06	0.000202749	0.000338946	1.1488439091600001e-07	4.1107157001e-08	0.000546359	1.4557000000000005e-05	2.98508156881e-07	2.1190624900000007e-10	0.0	1.0	0.0	0.0	0.0
