global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
343.9480772613505	n/a	118300.27985177992	n/a	498.05057870372696	n/a	248054.3789471173	n/a	343.09420300591654	n/a	n/a	117713.63213626506	364.1087659920615	337.9216224592125	n/a	n/a	n/a	n/a	-0.155739704	0.0847667258	-0.0023442228	0.1297979914	0.3260720959	0.0927186831	-0.0079161571	0.0397627078	-0.0905002949	0.2185918924	-0.0471702607	0.4661791296	-0.0516963338	0.1384159086	-0.0882862584	0.1136347768	-0.0628784578	0.1153135757	-0.139959842	0.0836488945	-0.1233084103	0.111797848	-0.04585823	0.0856893812	-0.0117311992	-0.1036495487	-0.1532696181	0.0479602136	0.0392130663	-0.0356832605	0.0371619665	-0.0443945007	0.042440922	-0.0142373417	0.0990002001	-0.0087128839	0.0092005221	-0.0625271199	0.0389209324	-0.0081675493	0.0325294199	-0.0546689269	0.1063471625	-0.0104698157	0.0627830962	-0.1227492871	0.0311025684	-0.0820590213	0.0041646307	-0.0078399079	0.0303793504	-0.0444069211	0.0298310129	-0.0526920623	0.0018076626	0.0088984391	-0.0578937205	-0.0315811035	0.0560464	-0.0020207608	-0.0769677611	0.0102437114	0.0207613574	-0.0963650948	0.0817577613	-0.0040561545	-0.0109272417	-0.0336716323	0.1221029021	-0.0705498015	-0.0496029663	0.0430133605	0.0556618433	-0.0380323418	-0.0026046273	-0.013535127	0.0183821393	0.0003098201	0.0261893209	-0.0149672714	-0.1284098684	0.1456037535	0.0663817674	-0.0784291349	-0.0375652834	-0.0077228074	-0.1840279697	-0.0858238119	0.0192707937	-0.0634395693	0.0236716488	-0.0011467245	-0.0574670907	0.0125578875	-0.0473836363	0.1038025715	-0.0127803051	0.0035448407	-0.0313547591	0.0100224332	0.0320105853	-0.1136192309	0.1659741834	-0.0680618238	0.0418193689	-0.0259523803	0.0013187293	-0.0312642145	0.0507404875	-0.0514973775	0.0337945558	-0.0116212344	0.0170169694	-0.1284102732	0.0071826218	0.0516909744	-0.1411256769	0.0601837874	-0.0904560504	0.1845514225	0.0970650665	-0.04423033	0.1265329449	0.012547625	0.0611268191	-0.0189144144	-0.0818425713	0.0362053784	-0.0557610132	-0.0245441774	0.0486865589	0.0600551856	-0.062656458	-0.0616146099	0.1262699758	0.1670622725	-0.0665656257	-0.1116163198	0.0153688622	0.1861429903	-0.0531231822	-0.0418447406	-0.0334433466	0.0834765687	0.0084491278	0.0071263567	0.0090628844	-0.0698164491	-0.0743050946	-0.0010655689	0.0300502185	-0.1788437577	0.0907383183	-0.0947586489	0.02998169	-0.1139053426	0.0410264842	-0.1019873347	0.0204482991	-0.0525415021	0.0452858775	-0.0011434867	0.0821230282	-0.1196943386	0.128919014	-0.0363200343	0.0469777333	-0.1589989176	0.0583740019	-0.0083621032	0.0495239363	0.102594329	0.1025838106	0.1025662807	0.1025417406	-0.0252519	n/a	0.00063765845361	n/a	0.00604553	n/a	n/a	3.65484329809e-05	-0.0445424	n/a	n/a	0.00198402539776	6.19149e-05	n/a	n/a	3.83345484201e-09	-0.0	n/a	n/a	0.0	-0.000470578	n/a	2.21443654084e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
342.51630943928745	-1.4317678220630228	117317.42223190972	2.049959096295092	491.7084845083726	-6.3420941953543775	241777.23373752047	40.22215878274769	342.2947510481716	-0.7994519577449637	0.6391234327422552	117165.69659512976	362.5521099595556	337.5672848795262	1.257514	22.752949	0.199218415	0.109819	-0.1287566115	-0.0078209843	-0.132047793	0.0314154047	0.1782781601	0.0604532919	-0.0469546194	-0.0754124022	0.0712346023	-0.0558499843	-0.0755331368	0.0948529513	-0.0407655935	0.0804877233	0.0158711679	0.0435281175	-0.0877069255	0.194792372	0.120068081	0.0377303397	0.0262197426	-0.0526734506	-0.0198501789	-0.0105710869	-0.0669270995	0.03074242	-0.0212688105	-0.0443262603	-0.0248283046	0.0043448081	0.0912791696	-0.0853976073	0.0170060388	0.0280409095	-0.0306728835	0.0120021311	-0.0542407012	-0.1322617794	0.0213595348	-0.1228149953	0.0024701325	0.0161000551	0.0958891974	-0.0187489995	0.0419546106	-0.0528713165	-0.0254622024	-0.0795914692	0.0941767511	0.0253263549	0.1305577644	-0.0666257741	-0.0505073395	0.0124206782	0.0350754643	0.0516555916	0.0315078627	0.0435261922	0.1443102099	-0.0034544512	-0.0054746178	0.0922899463	0.0093727465	-0.0589313734	0.0623795699	-0.0702366892	-0.0107189892	-0.1755838144	-0.0740301465	0.0136255393	0.040763498	0.0201192409	-0.0433781473	-0.1912101562	-0.0224496565	-0.0603200588	-0.0170820333	0.0624214615	0.0217821071	-0.1033134056	-0.1092485616	0.0037430663	-0.0293597094	0.0117966514	0.0683902768	0.0031095901	0.0011118484	-0.0687883069	-0.0022678011	0.0737691617	-0.0401700674	-0.0084120307	-0.0687246995	0.145949297	0.0084055461	0.0343075497	-0.0104397562	0.0173593047	-0.0989291152	0.1162434329	0.1269243551	0.0496826616	0.0788795884	0.0440676308	0.0317042348	-0.0413957134	0.0136774351	-0.0165241739	0.0420420607	-0.0490859956	-0.0078066686	-0.0281346374	0.0772476467	-0.0179552811	0.0960526252	0.0743062424	-0.0377942369	0.0116049681	-0.0622949364	-0.035152703	-0.0592308032	-0.0210473518	0.0343877008	-0.0577172365	0.0207562932	0.0020904497	0.0268882922	-0.0212631513	0.0687039678	-0.0087607424	0.0662087484	0.0807586676	0.0112084943	-0.0447629612	-0.0292576342	0.0978303708	0.0312294455	-0.0920080672	-0.1911725251	0.0278661787	-0.1230011029	-0.0492023994	-0.0616501648	-0.0582639753	-0.0755363087	-0.1033558725	-0.083615368	0.069655861	-0.0296660552	0.0588647559	-0.0623900357	-0.0844597094	0.1167533218	0.0439171114	-0.0834258328	0.0076488524	-0.0982485679	-0.0336729331	-0.0114800902	-0.0571397644	-0.0075504336	0.0542255146	0.0885888483	-0.0381089087	-0.0153617547	-0.0160316129	0.064492742	-0.1147009905	-0.0301837763	0.0041505534	0.0156136081	0.1025662807	0.1024716367	0.1023139614	0.1020933517	-0.0336498	-0.0083979	0.00113230904004	7.052472441e-05	-0.0938893	-0.09993483	0.0099869702471289	0.0088152006544899	-0.0079051699999999	0.0366372300000001	0.0013422866220729	6.249171272889842e-05	0.000495402	0.0004334871	1.8791106586641e-07	2.45423141604e-07	0.000553056	0.000553056	3.05870939136e-07	3.05870939136e-07	-0.000569004	-9.842600000000004e-05	3.237655520160001e-07	9.687677476000008e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
341.4691148277913	-1.0471946114961384	116601.15638127532	1.096616554346548	489.7849695819724	-1.9235149264001732	239889.31642841364	3.6999096720842646	342.14864943815485	-0.1461016100167285	0.0213456804494802	117065.6983123534	362.3140542186773	334.11841476870444	1.047893	18.960144	0.1473418199999999	0.104045	-0.0694392605	-0.0950479799	-0.0544694298	0.1461697662	0.0781648719	0.0143347927	0.0258854356	0.0497949701	-0.0404019055	-0.0839272384	-0.17255676	0.0519918108	-0.0060007945	-0.03133426	-0.0988793729	0.0297354094	-0.0926458003	-0.0479015768	-0.0152481631	0.0645518374	0.0547811155	0.0070010633	0.1260499902	-0.072449571	0.0137998865	0.0728526511	0.0185546247	-0.0300653926	0.0100272525	-0.1022186591	0.0291190732	-0.041186528	-0.0528634533	-0.1393029003	-0.120424363	0.1198352435	-0.1135949256	0.0168502824	0.0577651224	0.0242537623	-0.0562039328	-0.031280472	-0.040318961	-0.0743148506	0.0576532791	0.043627517	-0.0881954025	0.0335565054	-0.0565674581	-0.1333362147	0.0300769098	-0.0929426705	0.0637605114	0.035195419	-0.0096027924	0.0013157506	0.0580092919	0.0263672436	-0.0665417001	-0.0326291955	0.1047297794	0.05081771	-0.0008152601	0.0764542752	0.0051455557	-0.0203742168	0.0087754426	-0.0467261533	-0.1296708004	0.0176932464	-0.0555420681	-0.0434751761	0.1426285008	0.0288367605	0.0761568808	0.0613556806	-0.0229419897	0.0399795307	0.0410858027	0.0941979069	-0.0290426813	-0.0354035762	-0.0782325797	0.0707583442	-0.0389667774	0.1117478531	0.0099501163	-0.0227282725	0.0112189924	-0.0029989848	-0.0788207042	-0.0196655707	-0.0994233958	0.0298866447	-0.0524565252	0.136726902	0.1189757931	-0.0395859612	-0.1537390206	0.0542884097	-0.0150743361	0.0040354654	-0.0970026094	-0.0461150625	0.0942226923	-0.0213848456	0.0335654528	-0.0444424392	-0.1416938665	0.0350672876	-0.0688645539	-0.026548953	-0.0402729137	0.0847040316	0.0076540301	0.0924397174	0.1056692352	-0.0221085287	-0.0245603025	-0.0011780218	-0.044330835	0.0304393458	-0.0442765194	0.0151686068	0.0469918506	0.0449273186	0.0156966462	0.0816100158	-0.04591986	0.0648884035	-0.0996622507	-0.0674506647	-0.0821490695	0.0707630016	-0.0119487676	-0.0631428343	0.1123573151	-0.0434481738	0.0945847023	-0.0354377164	-0.0581462715	0.0480526275	-0.0213675118	0.0011707804	-0.112465063	0.0928937558	-0.0680364892	-0.0499488899	-0.0507100915	-0.0619447422	0.0032036482	-0.0857142204	0.0735324222	-0.0564314465	-0.1198937733	0.0327592351	0.056199713	-0.0862554089	0.0488320057	-0.0239906797	-0.0137745325	0.0845516694	0.0321712658	-0.0687811265	0.0338903651	0.0605484477	-0.0122921921	-0.0578144992	0.091513799	-0.0279641953	0.0948440261	0.1025101919	0.1022474116	0.1018099433	0.1011985345	-0.0229291	0.0107207	0.00052574362681	0.00011493340849	0.00744731	0.10133661	0.0102691085262921	5.54624262361e-05	0.0080462399999999	0.0159514099999998	0.000254447480988	6.47419781375984e-05	0.000367025	-0.000128377	1.6480654129000014e-08	1.34707350625e-07	0.000451536	-0.00010152	1.0306310400000004e-08	2.03884759296e-07	-0.000412239	0.000156765	1.69940993121e-07	2.4575265225000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340.7565445036535	-0.7125703241378005	116115.0226220704	0.50775646684185	487.2873374631679	-2.4976321188045176	237448.94925194327	6.238166200883944	341.52913588262896	-0.6195135555258844	0.383797045480323	116642.15065673523	361.7204376701277	322.70919114935896	1.2875	23.295506	0.1543680499999999	0.12591	-0.0060062866	0.0296641858	0.054209549	0.0410515336	-0.0333887688	-0.0213807534	0.0891756726	-0.0614450406	0.0226607401	-0.0608039804	-0.0629072231	0.0189316452	0.0107509834	-0.0083479442	-0.0569606939	0.0232208752	-0.0700831197	-0.0575439984	0.1315880893	0.0989779924	0.0192592678	-0.0399803643	-0.0197530854	0.0319491471	0.0434419871	0.0410785617	0.0776715761	-0.0314564095	-0.0732656124	-0.0305239306	-0.0892305877	-0.0908738122	0.039628687	0.041062285	0.0505026191	0.0589748193	-0.033898887	0.0405630087	0.1157409416	-0.0123654393	0.0670170892	0.1548584754	0.0153543495	-0.0436433232	0.0318673496	0.0403070153	0.0669310883	-0.0246587313	-0.164255206	0.0467254869	-0.0486636897	0.1045047621	0.095869875	0.03539021	0.0554868724	0.0598173968	-0.0110632906	0.0200758577	-0.0335868625	0.0452844713	0.0392151107	0.0696610822	-0.1239993105	0.027461554	-0.0969686808	-0.0341424662	-0.0001699821	0.1252739946	0.0470628147	0.0431818047	-0.0713503604	0.0611077749	-0.0072493926	-0.0248465914	0.0505853621	0.0987385596	-0.0188595273	-0.1059026092	0.0432959358	-0.028357308	-0.0960959616	0.1141661106	-0.0773181687	0.0120560924	-0.0099203232	0.089860891	0.0383161347	0.0710604289	0.0031581622	0.0318379498	0.0352346709	-0.0016159178	-0.1231012899	0.0257684542	0.0341510419	0.0440835293	-0.0219300229	0.0658617048	-0.012481162	-0.026908065	0.0511090262	0.0746495102	-0.0584585838	0.0364888407	0.0139566355	-0.0720914863	0.1524323298	0.0753821231	0.0209407335	0.0737150555	-0.1548819077	0.1271233461	0.1082808526	-0.0748476841	-0.0748074258	-0.0568458002	-0.0311223871	-0.0793708371	0.1031339057	0.1003138915	0.0764999208	-0.0528059349	-0.123799079	-0.0475996661	-0.0536354974	-0.0819531243	0.1068808162	0.0364679846	-0.097831898	-0.0044527275	0.0012847953	0.0017949306	-0.0584684319	0.0687766635	0.0170057277	0.0630986011	0.0353767898	0.034665024	-0.0220262873	0.0616878365	0.0617796444	0.0716778384	-0.0725183496	0.0293428322	-0.0498712926	0.1132298329	-0.0589693682	0.0500344886	-0.0261026417	0.0849576332	-0.0869493702	-0.0339139531	0.0633651637	0.0244867512	0.0030533868	-0.0213228525	0.0877722161	0.0516385722	-0.009601895	-0.0320836433	-0.0558745951	0.0320202674	0.14753082	-0.0286585053	0.0195904589	-0.0085176223	-0.0223473278	-0.0871730272	-0.0353815432	-0.0026920672	-0.0145027893	0.1024260777	0.1019113804	0.1010554665	0.0998612018	-0.0316975	-0.0087684	0.00100473150625	7.688483856000005e-05	-0.116993	-0.12444031	0.0154853907528961	0.013687362049	0.0003917	-0.0076545399999999	5.859198261159848e-05	1.5342889e-07	0.000331087	-3.593800000000001e-05	1.2915398440000006e-09	1.0961860156900001e-07	0.000404055	-4.748099999999999e-05	2.2544453609999987e-09	1.63260443025e-07	-0.000598916	-0.000186677	3.587003750560001e-07	3.4848302329000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340.5261492966952	-0.2303952069582919	115958.05835483516	0.0530819513893541	487.9170689314372	0.6297314682693127	238063.06615464485	0.3965617221286244	342.16048654122903	0.6313506586000699	0.398603654114742	117073.79855013058	362.1188953950512	322.7731739895105	1.047174	18.947144	0.17306085	0.0959895	-0.0125974168	0.0734213605	-0.0235033184	-0.0533486424	-0.0090574721	0.0095796182	0.0076634976	-0.031022356	-0.0677522459	-0.0148665326	-0.0801643783	-0.0321670744	0.0737783201	0.0790237549	-0.1043724342	-0.1276041699	-0.0205119281	-0.0789371457	-0.0323053041	0.0551853661	-0.032705691	-0.0761147327	-0.0108631013	-0.0315609345	-0.0170266934	0.0378953684	0.0193866618	-0.0506433649	0.0927754556	-0.0023116831	0.0565424815	-0.0463037428	0.0365481687	0.0292725306	-0.012579662	-0.0220881329	0.0768513984	0.0126621666	-0.0239651625	-0.1149698946	0.2354822941	0.0624724799	-0.0325298103	0.0084320717	-0.0233086585	0.0503679565	-0.0215472613	0.0143877208	0.0845946848	-0.066659854	-0.0472348306	-0.0072062685	-0.0001457152	0.0650089673	0.0045539734	0.0087263357	-0.0134384506	0.0338345412	0.057815349	-0.1005148875	0.0520399377	-0.0392836288	-0.0385398609	-0.0465797434	-0.074469013	0.0474142838	-0.0662787909	0.0069127671	0.0071581046	-0.0703318092	0.0647261379	-0.1259996172	0.0714057335	-0.0088156163	-0.0865164042	-0.1667716837	-0.0016342625	0.0327113986	-0.0826531172	0.0747326851	0.1799642734	-0.0440876341	-0.0011567871	-0.0135273519	0.1069963172	0.0095332426	0.057395947	-0.0323243646	-0.0203383995	-0.0933821785	0.0610521079	-0.1031572751	-0.0520282013	0.1028239403	0.0382397822	0.0248878667	-0.0373277076	-0.0171151275	-0.0118908477	-0.071404553	-0.0969050547	0.0235456712	-0.0681533516	0.069459042	0.0695718934	-0.1007929282	-0.0059393467	-0.0260335317	0.0436939771	-0.0656594124	-0.0630017897	-0.0541727018	0.0701760591	-0.0198661108	0.0022482306	-0.0191170074	0.0245730158	0.0012681263	-0.0526178804	-0.1616772843	-0.0593538906	-0.0261417977	0.0031611385	-0.0055957772	-0.0220174958	0.012725186	-0.0204136621	-0.0459209931	0.1253834509	-0.009492815	-0.0969702384	-0.0669325739	-0.0162261493	-0.0311690641	-0.1637098418	0.0486561374	-0.0563955521	0.1751505829	0.1261208666	0.0253466763	-0.0529775471	-0.0438054743	0.0437912597	0.0403717837	0.0315457083	-0.1279255953	0.0619205902	-0.0251368595	-0.0785357792	-0.0343165221	-0.0151076494	0.0135637358	0.0831289163	0.0458885302	-0.0042361538	-0.1038029195	-0.0673470521	0.0337855911	0.0416746983	0.0524745739	-0.0489864088	0.0816924188	0.0053683693	-0.0942798729	0.000202425	0.0173557101	-0.0483175232	-0.058065322	0.0229988643	-0.0088207556	0.0216652574	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0198815	0.011816	0.00039527404225	0.000139617856	-0.0351008	0.0818922	0.00670633242084	0.00123206616064	0.0380457	0.037654	0.001417823716	0.00144747528849	-0.000203532	-0.000534619	2.85817475161e-07	4.1425275024000004e-08	0.000605667	0.0002016119999999	4.0647398543999976e-08	3.66832514889e-07	-0.000696658	-9.774199999999996e-05	4.85332368964e-07	9.553498563999991e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340.709146520121	0.1829972234257866	116082.72252246928	0.0334879837815472	488.38947713284495	0.4724082014077453	238524.28137409367	0.2231695087573008	341.91176302175586	-0.2487235194731738	0.0618633891391222	116903.65369264534	362.1062791975719	325.8255760643876	1.047214	18.947857	0.1509411299999999	0.080601	-0.0037109941	-0.0913927646	-0.0327138223	-0.0031035762	0.001402797	0.0443883478	-0.0679614635	0.0272486521	0.1295614695	-0.0222728897	-0.007192582	-0.0162338206	0.11148291	0.0206766277	-0.0796179845	-0.033032001	-0.0746847511	-0.0540925967	0.0366224036	0.0207697536	-0.0413730842	0.0183842506	-0.0460866819	-0.0805249628	0.0311100626	-0.0487450503	0.0491233284	0.0146055651	-0.0370252076	-0.1391174516	-0.0298830773	0.0256073831	-0.0453444213	-0.0660454946	-0.1073284792	-0.1183463214	0.0362426324	-0.0720542302	0.0472196618	0.0628678866	0.022824733	0.0570364447	0.0202326872	0.0799198647	-0.0127134452	-0.0069787779	-0.083103308	0.0665168689	0.0456321152	-0.01756871	0.0527109256	0.033810079	0.0385341394	0.0727081284	-0.0734963748	-0.0028413939	-0.0004190112	-0.0621972534	0.1143734834	0.0647964148	0.0224023936	-0.1047347808	-0.1070910743	0.0586270615	0.0824418849	-0.0239939296	0.0790162736	-0.0598660503	0.0567272366	0.0566139185	0.0956970569	-0.0462474863	0.0551049841	0.0833283443	-0.083160437	0.0113212428	-0.0054060112	0.0587428202	0.0783994886	0.0461312201	-0.068957162	0.0220184594	0.0902348225	-0.0026666914	-0.0191016203	0.0645790496	0.0273790223	0.0252883866	0.1065569641	0.0888046658	-0.0356996362	-0.0041366125	-0.0732285597	0.0113741442	-0.0160540198	0.1073822157	-0.0391855177	-0.1440979942	0.0286705548	-0.0478095142	0.0076768253	0.0906802664	0.0585429445	0.0678965192	0.1280436107	-0.0878423791	-0.0247083883	-0.0982374524	0.0099691011	0.0768750199	0.0714019746	-0.0198411667	0.0075149651	-0.021904203	0.0551475204	0.0709439	-0.0626217266	-0.0847981676	-0.141305413	-0.0594371343	-0.0674417956	-0.0548636526	0.0285914616	0.077374986	-0.0743011838	-0.0215579884	-0.0808050384	0.0900967238	-0.0199192712	0.0486745492	-0.0738869883	-0.0408170422	0.0198632893	0.0580852567	0.1407174941	0.013542913	-0.0007775696	0.003573807	0.0761075305	0.0206024153	0.0819608983	0.0645426456	0.0468263078	0.0322427638	-0.0533274625	-0.0317830965	0.0141594922	0.0110992638	-0.0476270441	0.0877164369	-0.1128939846	-0.0083637738	0.0311463293	-0.0196947666	-0.1166003328	0.0538469029	-0.0541917462	0.0628935195	0.0232203219	0.0665250512	-0.0817655446	0.0036749682	0.064639483	-0.0902039129	-0.1055938606	0.0433763521	-0.0215542261	0.0036676253	0.1238228053	0.062987268	0.0292029619	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0336869	-0.0138053999999999	0.0011348072316099	0.0001905890691599	-0.10435	-0.0692492	0.0047954517006399	0.0108889225	0.0243025	-0.0137432	0.00018887554624	0.00059061150625	5.47496e-05	0.0002582816	6.670938489856002e-08	2.99751870016e-09	0.00101259	0.000406923	1.655863279290001e-07	1.0253385081000002e-06	-0.00111432	-0.000417662	1.2417090624e-06	1.7444154624400008e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340.5081285216292	-0.2010179984918068	115945.78558930237	0.040408235717652	488.0058137838029	-0.383663349042024	238149.6742867917	0.1471975653981419	342.0805139180206	0.1687508962647257	0.0284768649901482	117019.07800241708	362.3207822420587	322.9919562974986	1.157182	20.937582	0.11992373	0.0616079	-0.0011408318	0.0021073142	0.0735472792	0.039412144	-0.0165390278	0.056919865	0.0509418825	-0.0523355388	-0.1192143053	-0.0481060274	-0.0223097648	0.0187852704	0.0142139956	-0.0492258386	-0.0467133765	-0.07282375	-0.0336809808	-0.0104281732	0.0930728565	-0.0570583998	-0.0303263016	-0.0520525154	-0.1688396884	0.0179889022	-0.0438087661	0.051964728	0.0053784536	-0.0860024452	0.0581445086	0.0916517799	0.0158211085	-0.0237343102	0.0906021459	0.1458723306	-0.0225899189	-0.0631378125	-0.0809909778	-0.165512566	-0.0102818938	0.0181550915	0.1253520646	0.0301551335	0.0517673898	0.1401838914	-0.0132020329	0.0395644395	0.1275391369	0.0698256756	-0.152749407	-0.0141443241	-0.0474669893	0.0303255141	-0.0102727502	0.0132925111	-0.1845235499	-0.0693749868	0.0120988117	0.0377679896	0.0564885161	0.0357907148	-0.0080104256	-0.044645426	0.1028267303	0.0982279299	-0.0325210059	-0.0536421669	0.018758135	-0.0096435874	0.0576414405	-0.0862326723	-0.0580612476	0.0712560036	-0.04530019	-0.02654156	-0.0003425505	-0.0138769375	0.0997647978	-0.0307132576	0.100596263	-0.0861789359	-0.0200597907	-0.0678700319	-0.1015845152	0.0328973427	0.0415273656	0.0214571845	0.0584065141	-0.0488803628	-0.1270374771	-0.1026948029	0.0519926532	0.109312432	-0.0079588206	0.0287010994	0.0011580506	0.0143041532	-0.1030599764	0.009424703	0.0538547223	0.0854694211	-0.0345872123	0.0252621825	-0.0112866629	-0.0111445117	-0.2047509996	-0.0731039628	-0.0198073929	0.0141247405	-0.0724338537	-0.0099712604	-0.1234537912	-0.0714876705	0.0710873395	-0.0814290491	0.0509371553	-0.0601049295	-0.0280679945	-0.0427219369	-0.1073555405	0.0740325893	-0.0804869131	0.0266573039	-0.0331968923	-0.0208090948	0.0918714008	-0.1143171838	0.0500461264	-0.0301119051	0.0341558076	0.0811171419	0.0034143368	0.0097304725	0.0300096294	-0.1415806996	0.1236202485	-0.2183859212	-0.0152508971	0.1071263088	-0.028593385	0.0971201702	0.0886704854	-0.0261185684	0.0274359693	0.0554501107	-0.0441111818	0.080101768	0.0431674441	0.062866369	-0.0788452399	-0.0262461403	0.0440831277	0.0328528115	0.1182546265	0.0307916205	-0.0384901587	0.006706497	0.0942269193	0.0747054771	0.0345824491	0.1543797186	-0.06946495	0.0573730066	-0.0242795815	-0.0664264332	-0.0089379644	0.0412861157	0.0912298659	0.1037624218	-0.0363687665	-0.0694443958	-0.1296271346	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0198777	0.0138091999999999	0.00039512295729	0.0001906940046399	-0.060354	0.043996	0.001935648016	0.0036426053159999	-0.0112689	-0.0355714	0.00126532449796	0.00012698810721	-0.000111679	-0.0001664286	2.769847889796e-08	1.2472199041e-08	0.00101259	0.0	0.0	1.0253385081000002e-06	-0.000749806	0.000364514	5.62209037636e-07	1.3287045619600002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
