global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
570.6396777193667	n/a	n/a	325629.64178766264	793.8937146219598	n/a	n/a	630267.2301162537	595.1373716469989	n/a	n/a	354188.49113089807	607.1069418431836	516.8788322621584	n/a	n/a	n/a	n/a	-0.0202364286	-0.0164835898	0.0298576443	-0.0342493222	-0.053372475	-0.0099200546	-0.0874462614	0.1060804472	-0.0345927785	0.0416333887	-0.190781481	0.142444695	-0.0807454332	0.0603261773	0.0201032353	-0.0169540054	0.0638132801	-0.032875066	0.0236172172	-0.0939430477	0.1904093316	-0.032054608	0.0951397289	-0.0953496016	0.028563733	-0.0073293275	0.0149745634	-0.0104378898	0.0784643199	-0.0869864446	0.0775175139	0.1364803726	-0.0794765284	0.0521786446	-0.0182488429	0.029493032	-0.0379554003	0.0195550512	-0.0557308674	0.0374767567	-0.0850584206	0.0430670568	-0.0815259156	0.0396326238	-0.1183479967	0.0497373549	-0.0503322495	0.0011438202	0.111354191	-0.0714494739	0.0225149836	0.0958923172	-0.1114207789	-0.1270337173	0.0752114399	-0.0688385388	0.0506426246	0.0545683683	0.0058324341	-0.1578766935	0.0524348696	-0.0679798382	0.1430856336	-0.0503657663	-0.0262584683	0.1877644695	-0.0312264657	0.0324342414	-0.1131903216	0.0176946753	-0.016469463	0.0658310699	-0.0231073948	0.0340221034	-0.0374250301	0.1020121114	-0.1198554722	0.0167122469	0.1623218113	0.0389053465	-0.0404029149	0.1044353342	-0.1221788692	0.0379277345	-0.0557841103	0.0913351613	-0.0642094931	0.0368426019	-0.0328109304	0.0761100613	-0.0018203271	0.0119481247	-0.0168536767	0.0266481821	-0.0188210619	-0.0112907648	0.0795626302	0.0276179827	-0.003110872	0.0190657301	-0.0683618748	0.1361314763	-0.032275095	0.207914626	-0.0912654104	0.0449669436	-0.0506723979	0.0229997274	-0.0409311674	0.1535709801	-0.1254940534	0.001097007	-0.0503370639	0.0653624728	-0.0768586135	0.0607575409	-0.1122725463	0.0231482727	0.102594329	0.1025838106	0.1025662807	0.1025417406	-6.41316e-05	n/a	n/a	4.11286211856e-09	-0.0695169	n/a	0.00483259938561	n/a	-0.107169	n/a	n/a	0.011485194561	-0.000512143	n/a	n/a	2.62290452449e-07	-0.00058898	n/a	n/a	3.468974404000001e-07	0.000123984	n/a	n/a	1.5372032256e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
569.6507892773507	-0.9888884420159912	0.9779003507528142	324502.0217243085	791.3275426730052	-2.5661719489546613	6.585238471601764	626199.2797928968	594.9798595230982	-0.1575121239006875	0.0248100691757055	354001.0332381257	606.9235656793802	515.4379578708678	0.927389	15.324811	0.1054886816	0.0496153	-0.0070198033	-0.0296038859	0.0274932868	-0.0197310823	-0.0134629282	-0.0274883635	-0.0802641044	0.0672751916	0.0014394716	0.0440180116	-0.2292299659	0.032911249	-0.0726193139	0.0510080404	0.0518726805	-0.0221538075	0.0502854847	-0.0581134572	0.0204555194	-0.1092353827	0.1630035736	-0.082851208	0.0148967255	-0.1570100133	-0.0710114319	0.0153739797	-0.047996058	0.0163308932	-0.0590776761	-0.0060067179	0.0982793508	0.1346706746	-0.0141521014	-0.0164100427	-0.0238276053	-0.0019817157	-0.0237586195	0.008915626	0.0649278383	0.165064125	-0.0572449676	-0.089851519	0.1160638398	0.036281382	-0.0513748468	0.0194495953	-0.0899404456	-0.0105883304	-0.0837064926	-0.0012567645	0.0774318728	0.0064743871	0.0792968778	-0.0023221516	0.0990044587	-0.0607673891	0.0321963034	0.0783968587	0.0056680176	-0.152756245	0.0371545528	-0.0576893878	0.1190123695	0.0186437719	-0.021612261	0.1791650892	-0.0442478697	-0.0011442053	0.0111383778	-0.0023315591	-0.0240457125	0.082190763	-0.0064683594	-0.0343532401	0.0334688128	0.0433669899	-0.1502120161	-0.0136993658	0.0982084608	-0.0396705187	-0.0392244611	0.0303490535	-0.0840905628	0.0589796585	0.0133065422	0.2010560193	0.013428521	-0.1128736962	0.013874047	0.0661353095	0.1238370247	0.0842209199	0.0445721217	-0.0702394999	-0.0223855646	-0.0008909265	0.0991782234	0.0512322914	0.0153797737	0.0312501527	-0.0513027078	0.1224708563	-0.0043420268	0.2191857568	-0.0878304785	0.0061248905	-0.0430306148	0.0776970967	-0.0271700725	0.1926999753	-0.1037644072	-0.0432207878	-0.106171289	0.048225834	-0.0461086674	0.1095582996	0.0137032992	0.0931767995	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0121911	0.0122552316	0.0001501907015696	0.00014862291921	-0.106569	-0.0370520999999999	0.011356951761	0.0013728581144099	-0.110324	-0.003155	9.954025000000032e-06	0.012171384976	0.0	0.000512143	2.62290452449e-07	0.0	-0.00016458	0.0004244	1.8011536e-07	2.70865764e-08	0.0	-0.000123984	1.5372032256e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
568.0356755778872	-1.6151136994634498	2.608592262194511	322664.52872922673	786.5858134829431	-4.741729190062074	22.48399571188673	618717.2419726233	594.7964315681213	-0.183427954976878	0.0336458146669995	353782.7950061708	606.5222132353881	520.8074354588986	1.152828	19.050123	0.0760698	0.0495411	0.0123213277	-0.0936341311	0.074644022	0.0079548247	0.0039562726	-0.0597687997	-0.0603755457	0.0031449408	0.0248215238	0.0765912089	-0.0772588086	-0.0422819658	-0.0627342166	0.0377222512	0.0947614796	-0.0495787821	0.0110694343	-0.0423354132	0.0242372301	-0.0386144434	0.1522231564	-0.0576584499	0.0817398023	-0.1317824099	-0.0030215659	0.0295335271	0.022329505	-0.0761738241	0.1180024783	0.007700737	0.087307698	-0.0150941884	0.0580639752	-0.0991409497	-0.0745934818	-0.0276369534	0.0300861263	0.0135580592	0.0044462649	0.0990649968	-0.1083917757	-0.014067306	0.0237705776	0.0618964228	-0.1564586892	0.0934856908	0.0402780142	-0.0138348522	-0.1305703625	0.0508284468	-0.0604064323	0.0653134269	0.118561687	0.0120893638	-0.0190665048	-0.0536508561	0.0185771265	0.1044700621	0.0014759925	-0.0749523448	0.0371061301	-0.0581869762	0.0895450156	0.0089784213	-0.0551168561	0.0972745322	-0.0541688106	0.0493827287	-0.0360820979	-0.0183124112	-0.069496132	0.066628375	0.0094298143	-0.015217408	-0.0264101288	0.047123198	-0.0671159921	-0.0100366848	0.0112390837	0.0416007923	0.1199151893	0.0055647331	-0.1076719803	0.0429918602	0.0348843403	0.0577066331	0.0508656805	0.023427731	-0.0948303834	-0.0088624421	0.0144843779	0.0902148442	0.1134281661	-0.0174806914	-0.0157351746	-0.0175012384	0.0761596548	0.0298151857	0.0015424915	0.0440121834	-0.022231138	0.1076100085	-0.018024023	0.1708926309	-0.0478964893	-0.0098991963	-0.0365190339	0.0441017175	-0.0889396049	0.1023041607	-0.1503686121	-0.0274333934	-0.1020489818	0.0643312346	-0.0153565323	0.1099937711	0.0350750501	0.073721052	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0113205	-0.0008705999999999	7.579443599999985e-07	0.00012815372025	-0.0608639	0.0457051	0.0037044143232099	0.00208895616601	-0.092743	0.017581	0.000309091561	0.008601264049	-0.000201696	-0.000201696	4.0681276416e-08	4.0681276416e-08	-0.000128014	3.6566e-05	1.337072356e-09	1.6387584196e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
566.5027041968035	-1.532971381083712	2.350001255221704	320925.31386229105	786.798392915785	0.2125794328419488	0.0451900152674046	619051.7110948621	593.9222217401467	-0.874209827974596	0.7642428233273727	352743.605476752	605.9203255823153	513.9092055410558	1.100547	18.186199	0.05110415	0.02954	0.0451451032	-0.0884707994	0.0825244336	0.0283160802	0.041532115	-0.0484432233	-0.016834558	-0.0251337008	0.0515959343	0.0477052919	-0.129394672	-0.0615040234	-0.0211035822	0.0525424554	0.0809503626	-0.0773259217	-0.0124306898	-0.0825571446	0.0646141955	0.0419472821	0.0480322352	0.0295021263	-0.1073704496	-0.1029067391	0.0373787118	-0.1070920283	0.0760633649	-0.0678068071	0.1165504075	0.0850480034	0.0928291447	0.0506149537	-0.0648967821	0.0175221272	-0.0059496383	0.0538800811	0.0713043968	-0.1152803049	0.1021127597	0.042809125	-0.1062245377	0.0583189828	-0.0533028524	-0.0177818748	-0.1238704876	-0.0412626443	-0.1246984078	-0.0412396616	0.1437642581	0.0733456553	-0.0055216042	0.0980851496	-0.0162847252	0.065177732	-0.1158273643	-0.0246204705	0.0248951864	0.107693722	-0.0114581199	-0.0390571769	0.0472919666	0.0279113035	0.0920984567	0.0643357046	-0.0654982565	0.0254915342	-0.0837290494	-0.0010796013	0.0516330977	0.042207634	-0.0909201085	0.0552736418	-0.0209021341	0.0407765915	0.0371506683	0.0798595563	0.0180063551	-0.0859584345	0.0974886538	0.0731864152	0.0376140231	-0.0212294413	0.1087112688	-0.0505037301	-0.0505541783	0.1432635829	-0.0626502285	-0.069698426	-0.0390296673	0.1747398174	0.0032024999	0.1487095631	-0.0389743077	-0.0931482053	-0.0061137248	-0.0260000267	0.0760683122	0.0227498017	0.0185650776	0.0596511449	-0.0228064579	0.0673073754	-0.0052243458	0.1420179446	-0.0095106703	-0.0353465713	-0.0165359064	0.0561894887	-0.0635136412	0.0886357411	-0.087430349	-0.1173415005	-0.0988783386	0.0658125942	0.0032170028	0.0655722998	0.1057542118	0.1707657084	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0125235	0.0012029999999999	1.447208999999998e-06	0.00015683805225	-0.0723124	-0.0114485	0.00522908319376	0.00013106815225	-0.0659368	0.0268062	0.00071857235844	0.00434766159424	0.0	0.000201696	4.0681276416e-08	0.0	-0.000159247	-3.1233000000000004e-05	9.755002890000003e-10	2.5359607009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
565.3009733290095	-1.2017308677940264	1.4441570786089837	319565.19044672546	788.1793137428771	1.3809208270920408	1.906942330696566	621226.6306121927	592.9903261663504	-0.9318955737962824	0.8684293604611024	351637.52692687465	605.3448741400028	494.1913012884095	1.439367	23.785091	0.143747395	0.0779824999999999	0.0878001676	-0.0310621355	-0.0160734858	0.0441251275	0.0789117688	-0.0843851673	0.0612371404	-0.0902340015	0.0202661656	0.0082394918	-0.0079972178	0.105105336	0.0886218931	-0.0290436438	0.0510010046	0.0198120368	-0.0796895439	-0.0235092041	0.0889828076	0.0547435459	-0.1007670007	0.1047540801	-0.0130035662	-0.0339837034	0.0833892225	0.0709821725	-0.033575096	-0.1693782516	0.0354036405	0.1093938545	0.0360214755	0.0073851779	0.0047622949	-0.0518176764	0.0599418758	-0.0181678912	0.0399127431	-0.0366355244	0.0469776021	0.0660973973	0.0085373787	-0.0651783095	-0.0469829585	-0.0212311847	-0.05309753	-0.0681323549	0.0699267492	0.1038294301	0.1360721214	-0.1351928094	0.0738926988	-0.053055308	-0.0051087404	0.0225267019	0.0681969546	0.0779835997	-0.0512769433	0.056239187	0.0105968728	0.0755596523	-0.0365597186	0.143979	0.0122451004	0.0465466223	0.0184750515	-0.0681875472	-0.0505093401	-0.0582009051	-0.0730674088	-0.0505668664	-0.1059632174	-0.0002505321	-0.0703422015	-0.0527617258	0.0626968645	0.1403390362	0.0425398671	0.0531413213	-0.0182751077	0.0354922496	0.1945426846	-0.0691102104	-0.0333741431	-0.0371342216	0.0994620994	-0.0217519687	-0.029290207	-0.1268652707	0.1325102682	0.0002110492	0.045323661	-0.0188380136	0.1178150724	-0.0118933496	0.0367829878	-0.0655872597	0.0127484716	0.0491832738	0.0064069664	0.0881694958	-0.0175504597	-0.0677801483	0.0219724731	-0.0568172414	0.0056654298	0.0446084752	0.0061932416	-0.0390105882	0.0413507787	-0.0462142839	-0.0430878436	-0.1468757725	0.0036212337	0.0883331897	-0.0583566854	0.0221597583	0.0989223927	0.0921399365	0.1023139614	0.1014639107	0.1000523871	0.0980872016	-0.0117716	-0.0242951	0.00059025188401	0.00013857056656	-0.0124095	0.0599028999999999	0.00015399569025	0.0035883574284099	-0.0269996	0.0389372	0.00151610554384	0.0007289784001599	-8.23549e-05	-8.23549e-05	6.78232955401e-09	6.78232955401e-09	-0.000172134	-1.2887e-05	1.66074769e-10	2.9630113956e-08	-0.000317002	-0.000317002	1.00490268004e-07	1.00490268004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
565.2478198019479	-0.0531535270615677	0.0028252974390848	319505.0977908554	787.0136295915376	-1.1656841513395193	1.3588195406841352	619390.4531628459	592.6987401786339	-0.2915859877165303	0.0850223882326245	351291.79660933977	604.4136100036212	482.2571459065121	1.14195	18.870363	0.0812455349999999	0.0421999	0.0963964045	0.0419945765	-0.0839061776	-0.0156161134	0.0926702011	-0.0702758069	-0.0319640134	0.0458825382	-0.0744194422	0.0405806723	0.0674838781	0.1772311107	0.1073144664	0.0016870186	0.0149634558	0.0332372687	-0.0651043916	-0.0123989341	-0.01078605	-0.0610741559	0.0678909246	0.0390080648	0.0481094528	0.0905794478	0.0481963	0.0923648622	0.0048788927	-0.1400336471	0.0331188657	-0.0397666806	0.03432923	-0.068684631	-0.0127194514	-0.0088770005	-0.0520012805	0.0193950093	-0.0237409429	0.1430757328	-0.095206293	-0.0959960778	-0.0158177008	-0.0587668473	0.1591426873	-0.0018107443	0.0493022623	-0.1414500038	0.0788882729	0.0338137893	0.0944197113	-0.1913058751	0.0488360764	-0.0266183701	-0.061158509	0.0656267071	0.0712635843	0.1032869001	-0.0165563658	0.0417477108	0.0252274017	-0.0110825616	-0.1062011255	0.0845751106	-0.0444347667	-0.0227245081	0.1301159675	0.0297505992	0.0380629361	0.0133264784	-0.1570638266	-0.0053041263	0.0535716225	0.0157440055	-0.0057305247	-0.1463604542	0.0306908857	0.0757193381	-0.0400540328	0.060794801	0.0189856079	-0.1056217646	-0.0515523826	0.0515167721	0.0637254329	-0.0393492172	0.1034256364	-0.090443688	0.0361483736	0.0105286086	-0.0522441549	-0.023875773	0.0347893863	-0.1180514616	0.1752401843	0.0009781697	0.0498031332	-0.0681043194	0.0114389869	0.0313274277	-0.0127603422	0.067292982	-0.0504947917	-0.1073490765	0.0348753312	-0.0766270618	-0.0553022723	0.095363711	-0.0064520063	-0.0237840839	0.0999457121	-0.0188840826	-0.0286541265	-0.1064711546	0.0071569085	0.0662780976	-0.0089581517	-0.0168297122	-0.0609761983	-0.0535669177	0.1021738733	0.1009054916	0.0988031726	0.0958842909	-0.0195948	-0.0078231999999999	6.120245823999998e-05	0.0003839561870399	0.00979765	0.02220715	9.59939455225e-05	0.0004931575111225	-0.0126198	0.0143797999999999	0.0002067786480399	0.00015925935204	0.000521182	0.0006035369	3.6425678966161e-07	2.7163067712400004e-07	-9.03092e-05	8.18248e-05	6.69529789504e-09	8.15575160464e-09	-0.000265656	5.1345999999999965e-05	2.6364117159999963e-09	7.0573110336e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
565.9428567987102	0.6950369967622692	0.4830764268683145	320291.3171614854	782.547528961558	-4.4661006299795645	19.946054837103866	612380.6350838405	592.7783074806433	0.0795673020094227	0.0063309555490586	351386.1218196161	604.1251272657615	480.0387362502669	0.993098	16.410639	0.0524497999999999	0.0323879	0.0775821206	0.0659883869	-0.0650402664	0.0270998444	0.0757239456	-0.0007656471	-0.0557329338	0.1227288443	-0.0339955288	0.0078256164	0.0515415098	0.0405531158	0.1031869267	-0.0135700121	0.0157163222	0.0807652668	-0.0732668842	-0.0631152773	-0.0101685611	-0.0697586189	0.0393565428	0.0860248466	-0.0331678622	0.0932099748	0.1711698748	0.0342995248	-0.0366504755	0.012202376	0.0128014719	-0.0825802824	0.0314765914	0.1158209644	-0.0942884545	-0.1106899901	-0.0620014033	-0.0228884569	0.0235328276	0.0800438322	0.0204320326	-0.0765481435	0.0732915416	0.0123337059	-0.0624090706	-0.0526127415	0.0097160269	-0.1718934142	0.0274723173	-0.1235383406	-0.0151623796	0.0219440908	-0.1158113509	0.062335457	-0.0790437523	0.0345274058	-0.0046566171	0.1025513487	-0.0123955958	-0.0112507279	0.0786425409	-0.0994983694	-0.1023267772	0.0558351396	0.0024118449	0.0007302917	0.1296938808	0.0335284975	0.0536730714	-0.0545999041	-0.0462487249	0.0974080487	-0.0468785795	-0.0701628599	-0.0418628138	-0.0569340282	0.0409688312	-0.0208658021	-0.0129020104	0.0061234835	0.0167391032	0.042563395	-0.0349946326	-0.0212631644	0.016894676	0.0281690174	0.0733192814	-0.0607702618	0.1649941997	-0.1492309186	-0.0783332538	0.0990366801	-0.0711513554	0.0665551224	-0.0645065397	0.0416725515	0.0432454588	-0.0569484632	0.0094552323	0.0510405437	0.0075197962	0.0772442238	-0.0564318372	-0.1134533704	0.0320349862	-0.0355837143	-0.0460988166	0.1098602512	-0.0112890268	0.0158858467	0.1016639767	-0.0087261238	-0.0710377909	-0.061706745	-0.0165129431	-0.0209639469	0.0071248508	-0.0036542205	0.037804989	-0.0687230729	0.102005852	0.1002367339	0.0973108962	0.0932621027	-0.0221849	-0.0025901	6.708618010000007e-06	0.00049216978801	-0.0194601	-0.02925775	0.00037869549201	0.0008560159350625	-0.0234784	-0.0108586	0.0001179091939599	0.00055123526656	0.000408401	-0.000112781	1.2719553961e-08	1.6679137680100006e-07	-9.03092e-05	0.0	0.0	8.15575160464e-09	-0.000347742	-8.208599999999999e-05	6.738111395999997e-09	1.20924498564e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
566.6837087600155	0.7408519613053386	0.5488616285699669	321130.4257740061	781.7510807910127	-0.7964481705453181	0.6343296883649842	611134.7523179164	593.207146516191	0.4288390355476394	0.1839029184094296	351894.71867788164	604.4359494181043	490.16348713708334	1.014984	16.772293	0.09182810799	0.0493958	0.0554832488	0.0145001862	-0.030001269	0.0608862104	0.0282390159	0.0379625346	-0.0235704672	0.1627502928	-0.0423001194	0.0700182812	0.0629422079	-0.0171994073	0.0915876701	-0.033582026	-0.0250170845	0.0672213887	-0.0286376941	-0.0201027187	-0.0381128333	0.0115232854	0.04388959	0.0177330936	0.0287627899	-0.014706573	-0.0859433084	0.0468259472	0.0972745298	-0.0570018212	-0.0008015918	-0.0621072817	-0.1187494531	0.065250494	-0.2074781673	0.0873964795	0.0252290143	-0.0502519532	0.0799091304	0.046142623	-0.0747960564	0.0067805711	0.0505582637	-0.124415878	-0.0956054388	0.004444416	0.0794363709	-0.0892015723	0.0445582298	-0.0366265821	-0.0337094004	-0.0640555091	-0.0434802951	0.0257860347	0.0891548265	-0.085217505	-0.0144525839	0.0874660118	-0.0147108079	-0.0634375304	0.0903271896	-0.0927291749	-0.0534011179	-0.0278118044	0.0395128646	-0.0421619561	-0.0608622478	0.0005777487	0.0202219107	-0.0124789073	0.0283175068	-0.0106822707	-0.0205277511	0.0050642987	0.045493428	0.0683065472	0.0318880854	0.040982002	-0.0283880889	0.0384361171	-0.0477250391	0.062737178	-0.0359339856	0.1753683968	-0.0246970262	-0.083728926	0.1123807928	-0.1383358519	0.0098039651	-0.0547045029	-0.0218432801	-0.0782547514	-0.0419160322	-0.0670606633	-0.1210345431	0.0884998321	0.043134183	-0.0489176477	-0.0248976803	0.0412045971	0.001158949	0.0737425487	-0.0698293795	-0.0828719249	0.0184562311	-0.0504522423	-0.019847311	0.0209720101	-0.048210044	0.0227945848	0.0043416885	0.0134332387	-0.0763892032	0.0058929318	-0.0388264241	-0.0254531883	0.0565771908	-0.0083540404	0.0124994958	-0.0438290114	0.1018099433	0.0994583687	0.0955792289	0.090232103	6.58799e-06	0.02219148799	0.0004924621392103	4.34016122401e-11	0.00862302	0.02808312	7.435647392040001e-05	0.0007886616289344	-0.0206515	0.0028269	7.991363610000001e-06	0.00042648445225	-0.000306616	-0.000715017	5.112493102890001e-07	9.401337145600001e-08	-9.03092e-05	0.0	0.0	8.15575160464e-09	-0.000407257	-5.9515e-05	3.542035225e-09	1.6585826404900004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
566.9738287583453	0.2901199983298284	0.0841696134308996	321459.32249689754	783.1367121850825	1.3856313940698328	1.9199743602319084	613303.1099720608	593.6403267823249	0.4331802661339452	0.1876451429678756	352408.8375822255	604.4038726907303	499.04495721502553	1.165131	19.253418	0.0761721154399999	0.0462879	0.0356358093	0.0018458182	0.052673053	0.125127248	0.0318217769	0.0394504599	0.0161777557	0.0500656919	0.0267016341	0.0537251159	0.0758389544	-0.0293445134	0.0720840867	-0.0632976875	0.0036197635	0.0562432063	-0.0078111173	-0.0334825021	-0.0312003243	-0.0128328441	0.0490806512	-0.0041914237	0.0275321476	-0.0251966849	-0.085407768	0.0669001504	0.0262133804	-0.0431788562	0.0105919002	-0.0204738741	0.0044065464	-0.0093790067	0.0283998126	-0.1588613109	0.0128487306	-0.0338213207	-0.0280833628	0.0725460508	-0.0946430277	0.0116748411	0.1003375515	0.0357004358	-0.0901817034	-0.0825011136	-0.0593444426	0.0069859709	0.0619581896	0.0655726145	-0.0493792788	0.0521568581	0.0245026477	-0.1168118266	0.0994011683	0.0165505602	-0.0524563757	0.0710785616	-0.0315678565	-0.0547206414	0.0787872793	-0.0512784169	-0.0100936287	-0.0203292786	0.0026206655	-0.0033202975	-0.0572005148	-0.0311020666	-0.0199496216	0.0287993482	0.0140750068	-0.0371123221	-0.0870972353	0.0331325907	0.028313877	-0.0207220101	-0.0017456636	0.0678491459	0.0085053742	-0.0039321864	-0.0783462485	0.0486168069	-0.0036149746	-0.0075136518	-0.1060251517	0.0585364995	-0.0133916338	-0.1226784925	0.1257137575	-0.0663895264	0.037254683	-0.0502542518	-0.1299262631	-0.0075788517	0.0566786303	-0.0391850316	0.0364068496	-0.0409896758	-0.0344829603	0.0379320578	0.0179158344	0.0686381908	-0.0875285579	-0.061310962	-0.0074736091	-0.0598285771	0.0188862196	-0.0267497837	-0.0420540401	0.0484004376	-0.0247793864	0.0078036198	-0.0447719624	0.0011549499	-0.0240088615	-0.0705546675	0.0648883106	0.0098498555	0.1102194715	0.0379041925	0.1015862008	0.0985712473	0.0936124309	0.0868075413	3.85255e-06	-2.7354399999999995e-06	7.482631993599997e-12	1.48421415025e-11	-0.0218899	-0.03051292	0.00047916772201	0.0009310382869264	-0.00215673	0.01849477	0.0003420565173529	4.6514842929e-06	-0.000788728	-0.000482112	2.3243198054400006e-07	6.22091857984e-07	-0.000151431	-6.112179999999999e-05	3.7358744352399984e-09	2.2931347761e-08	-0.000407257	0.0	0.0	1.6585826404900004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
