global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25
569.4130574070323	n/a	n/a	324231.22994562425	793.4834594852808	n/a	n/a	629616.0004767294	592.5584973911104	n/a	n/a	351125.5728304107	604.0599515972625	530.9577157224907	n/a	n/a	n/a	n/a	-0.1026339535	-0.1083174161	0.0690946543	-0.1448299496	-0.076608457	0.0657129792	-0.0413675926	0.1885340919	-0.2133289945	0.1990647069	-0.1952163321	-0.0018462518	0.1359465517	-0.0713602095	0.0916868652	-0.1778134022	0.1275993555	-0.1886708475	-0.0004608062	0.0710437035	-0.0309059498	0.1968297048	-0.0498450754	0.0007897263	-0.0717013354	0.0955057997	-0.0689111657	0.0233000277	0.1573131206	-0.0740353361	0.0182619077	-0.0514782802	0.0339761703	-0.0920730263	0.0009558609	-0.0669271506	0.0380124721	-0.0782181161	0.0190480534	-0.0418220666	0.0955122861	-0.0167797554	0.0141372341	-0.0752602329	-0.0025481515	0.0406520488	-0.099391447	-0.0523642392	0.0721299523	0.0963676953	-0.1042563025	0.1654436982	-0.030760855	-0.0553520956	-0.0031626675	0.0775207635	0.0409295042	-0.0202809386	-0.0348043712	0.0432875257	0.0271004623	0.0527224413	-0.0256542733	0.0278092419	0.1288283561	0.0284207402	-0.1795609991	0.2842676992	-0.1210494432	0.0557834549	-0.1840820253	0.1301601399	-0.0417439604	0.1111189316	-0.1120747962	0.0593288857	-0.1795648861	0.02124576	-0.1318806247	0.0274482749	-0.0919442154	-0.0111354466	0.0607602512	-0.0139437373	0.106053316	-0.0231965182	0.0176646101	-0.0117622124	0.0438979552	-0.0082257919	0.0025310123	-0.0020556396	0.0251629682	-0.0422781635	0.0386854067	-0.1401824049	0.1203616959	-0.0024986481	-0.0025033825	0.0629706958	-0.0584533662	0.0605844691	0.0091076849	-0.0305414466	0.0313034602	0.1677536486	-0.0236881475	-0.0504065663	0.0351524397	-0.2114780886	0.2248351606	0.0802821669	0.1954327318	-0.090325827	0.1792300827	-0.0045835718	0.0056017408	-0.0117943715	0.0063178983	-0.0597794429	0.0764755218	-0.0221643025	0.0401227687	0.0432200581	-0.0155124676	0.0072704868	-0.0247999235	0.1155630605	-0.1041599897	0.1817237759	-0.104336739	0.2585959471	-0.0717034611	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0507611	n/a	n/a	0.00257668927321	0.0261075	n/a	0.0006816015562499	n/a	0.305713	n/a	n/a	0.093460438369	0.000560586	n/a	n/a	3.14256663396e-07	-0.00113269	n/a	n/a	1.2829866361e-06	0.00254469	n/a	n/a	6.4754471961e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
565.6765776988987	-3.736479708133629	13.96128060929437	319989.9905571381	787.1536905351612	-6.329768950119615	40.06597496189837	619610.9325231244	592.6819275910271	0.1234301999166973	0.0152350142514758	351271.8672930156	604.2268726465817	527.3282236708316	1.775897	25.858606	0.1086386	0.0618951	-0.0067364613	-0.2034220087	0.0785816346	-0.0624447887	-0.165663756	-0.0564390874	-0.116754802	0.201793884	-0.2117232275	0.0687298256	-0.2762111725	-0.0178221457	0.0720028511	-0.1922500817	0.1207140463	-0.2223910217	0.0534999926	-0.1806342919	0.017017118	-0.030264194	-0.1208863752	0.1399385353	-0.056561466	-0.0129127569	0.0496316277	0.0859158014	-0.0099680652	-0.0498871973	0.0604362221	0.024920931	-0.1228233602	0.0726094535	-0.0275059554	-0.0261716528	-0.0605178361	0.0044284505	0.0218604142	-0.1044300879	-0.08246549	0.0625129968	0.0045591009	-0.062624463	-0.0560762156	-0.0642852755	0.0663800158	0.0713328641	0.050841807	-0.016213358	0.0412210253	0.0435652367	0.0374250427	-0.0393775418	0.002215049	-0.0292995774	-0.074101762	-0.0587346354	-0.1475249059	0.0819341267	-0.0012770928	-0.0292519673	0.1093982501	0.102271563	-0.0470705843	0.0939910844	0.1632396794	0.1422303949	-0.1917433124	0.2468591706	-0.0587026197	0.0176620573	-0.1162255523	0.1267301791	0.0857612147	0.0625306521	-0.1293363722	0.0625666903	0.0967730923	-0.1185694289	0.002084274	0.0658873039	0.0280485673	-0.1687509278	0.0267055227	0.0331029704	-0.092956538	0.0500845761	-0.0053250763	-0.0109062447	-0.0048488706	0.0726472353	-0.0706217623	0.0492565279	0.0237232547	-0.0624062854	-0.0599932766	-0.1446410092	0.0407506045	0.0314203636	-0.0177684717	-0.0365443429	-0.0525374533	-0.0567855558	0.0078583164	0.0330704474	-0.0294216472	-0.0434438212	-0.0424461592	0.0016524647	0.0090928637	-0.2699968933	0.2427596227	0.0472202733	0.1742019077	-0.0497966471	0.1593901035	0.0116563552	-0.0466429414	-0.0004311454	-0.0164323723	-0.0551179927	-0.0111450672	-0.1343900043	-0.1526325872	-0.0644051952	-0.0265911825	-0.0188481806	-0.1147186164	0.1796210406	-0.0647999231	0.0341094451	0.0640768078	0.0554517925	-0.0055858308	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0507304	-3.070000000000156e-05	9.424900000000955e-10	0.00257357348416	0.0800443	0.0539368	0.0064070899624899	0.00290917839424	0.319896	0.014183	0.000201157489	0.102333450816	0.000745771	0.000185185	3.429348422500001e-08	5.56174384441e-07	-0.000876323	0.0002563669999999	6.572403868899999e-08	7.679420003290001e-07	0.00217648	-0.0003682099999999	1.355786040999999e-07	4.7370651904e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
561.3293730589436	-4.347204639955066	18.89818818164686	315090.66505874664	779.7084180679586	-7.445272467202585	55.43208211088487	607945.2172060385	591.3071571501235	-1.3747704409036032	1.889993765182288	349644.1540969609	602.789032167919	504.5116368757404	1.602736	23.33724	0.09195675	0.0609879	0.0800927699	-0.1296307728	0.0667677414	0.0381542425	-0.0934067965	-0.0825208241	-0.1208986545	0.1451124849	-0.140835291	0.0764491499	-0.0688625531	0.0586863001	0.0345733839	-0.2160637123	0.1208163271	-0.2241490247	0.0596604616	-0.1416340645	-0.0214413553	-0.004770615	-0.0083764874	0.0270575338	0.0301223119	-0.0583065633	0.027825268	-0.1207113036	-0.0890193324	0.0379113185	0.0328055703	-0.0126372902	-0.0905175647	0.164990293	-0.0045230994	-0.0312682807	0.0031456607	0.0076549915	0.0020077155	-0.1444738521	0.0644071554	9.1529e-06	0.0140531137	0.038958621	-0.0058445824	0.0555197471	-0.0650551578	-0.0114353898	-0.0223329484	0.1338038246	0.0770054282	-0.1000543172	0.0674925521	-0.0380454008	0.0666614682	-0.0264300087	0.0007374809	0.005664696	0.0832101301	-0.0868597901	-0.0133696425	0.0570442343	-0.1628439336	-0.0793061098	0.0221562525	0.1376249115	0.140162292	0.1516689873	-0.1582013014	0.2007232021	-0.0684157879	0.0371788563	0.0157246999	0.0271526257	-0.0653891093	-0.088400033	0.0173218265	0.0039065721	-0.0474108027	-0.0590017465	0.1293476968	-0.0340017581	-0.0093568458	-0.0923038466	0.0003491079	0.0938076694	-0.0086324555	0.0725502851	-0.0964597934	-0.1357644734	-0.0684121562	0.0901077825	0.010953328	0.0017166167	-0.0747553824	-0.0083250462	-0.052903625	0.0499483103	-0.0366446417	0.008394761	0.0185431555	-0.0179396842	-0.0023078121	-0.0463205787	0.0792766501	0.0601860152	-0.0779844525	0.0595406742	0.0142799376	0.0393561128	0.0018540902	-0.2941352299	0.1839889223	0.0145752291	0.1303321339	-0.0723150635	0.1264012161	-0.0207896335	0.0330755568	0.0212705511	-0.0010785653	-0.0384099538	-0.1017518944	-0.0053083722	0.0518351109	-0.0162779422	0.0277533307	-0.0248148706	-0.0088128974	0.0641421044	-0.0003002842	-0.0277191715	0.020037059	0.0254710902	0.0111120851	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0508843	0.0001538999999999	2.368520999999953e-08	0.00258921198649	0.0639693	-0.0160749999999999	0.00409207134249	0.0002584056249999	0.376969	0.0570729999999999	0.0032573273289999	0.142105626961	0.0007397709999999	-6.000000000100001e-06	3.600000000120001e-11	5.47261132440852e-07	-0.00115774	-0.0002814169999999	7.919552788899997e-08	1.3403619076e-06	0.0020908	-8.56800000000003e-05	7.341062400000052e-09	4.37144464e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
560.0234426596041	-1.305930399339445	1.7054542079188826	313626.2563283149	779.8267088056439	0.1182907376852426	0.0139926986221188	608129.6957666425	591.0343943092452	-0.2727628408783857	0.0743995673640475	349321.6552564963	602.2648088883942	484.01142135630624	1.33073	19.376596	0.0608533	0.0349107	0.1399145434	-0.0486215885	0.0442638358	0.070179437	-0.0397400349	-0.1316933159	-0.0659836414	0.2117215418	-0.1041894172	0.1000773555	-0.0321829229	0.0763484788	0.011434366	-0.1629663098	0.1246098433	-0.2571290183	0.0804127368	-0.1291295906	0.0345986962	-0.0770118392	0.0776828816	0.0966978717	-0.0091656689	0.0462972647	-0.0431519332	-0.0456408611	-0.0932045569	0.0647953045	-0.0349942622	0.0961959404	0.0377741294	0.0055903047	-0.0036640812	-0.0278660404	0.0445368755	-0.0616106864	-0.1312257862	0.1039729208	-0.0026232771	0.0518850144	0.0069112067	-0.0449541599	0.0348451664	-0.0746112695	-0.0730374886	0.0261730395	0.0291329051	-0.053411089	-0.0888188988	-0.0797812841	0.1212881533	0.0224104208	-0.0896893736	0.0522276276	0.0104589043	-0.0183045441	0.0182224225	0.0935854814	-0.0016107344	-0.0342010656	0.0705350506	0.0133698767	0.0540578379	0.1174509793	0.1158700355	0.1878304085	-0.1209558336	0.2108784982	-0.0361955703	0.0750939482	-0.0309224033	0.1227289989	-0.0803036382	-0.0246730087	0.1488890557	-0.0428499172	-0.0694741575	0.0786249684	0.1017613082	0.0411284436	0.0583429213	-0.0514620292	0.0094315824	0.0981354585	0.0470556464	-0.0120699354	0.094502171	0.0223704385	-0.0380464718	0.0080600928	0.0326550854	0.0193240696	-0.0174227676	0.0600975572	-0.052963021	0.0947561629	-0.042835826	0.0119166158	0.0828378598	-0.0752979675	0.0688423435	-0.0388326464	-0.148898176	-0.0156608926	0.1240788632	-0.103550208	0.0313446372	-0.0139423137	-0.0041160819	-0.319688003	0.1588982763	-0.0177431055	0.1198206973	-0.078677418	0.1151667936	-0.0227554721	0.0330883945	0.1048389994	0.0017418619	-0.0605988816	-0.071676596	-0.0131624126	0.0211783889	-0.1271320567	-0.004385165	0.0750320783	0.0590133721	-0.0348868646	-0.0483398673	-0.0947370359	0.0245618671	-0.1262360342	0.09667955	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0399233	-0.0109609999999999	0.0001201435209999	0.00159386988289	0.0614632	-0.0025061	0.00377772495424	6.280537210000021e-06	0.407106	0.030137	0.000908238769	0.165735295236	0.000653357	-8.641399999989997e-05	7.467379395982713e-09	4.268753694490001e-07	-0.00141631	-0.00025857	6.685844490000003e-08	2.0059340161e-06	0.0020908	0.0	0.0	4.37144464e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
560.2783944874143	0.2549518278101459	0.0650004345037342	313911.8793293946	775.5758934979224	-4.250815307721496	18.069430780359397	601517.9665751007	590.9227830416287	-0.1116112676164675	0.0124570750589547	349189.73551766376	601.595029509556	471.5837510155408	1.839126	26.779284	0.16684525	0.0926533	0.1315630566	0.0525311391	0.0104456825	0.1081191357	-0.0017137409	-0.0628465517	-0.0190983049	0.1649277239	0.0479498026	0.0476139406	0.1195824778	0.0903328831	-0.0340448141	-0.0436463953	0.005350694	-0.3343706828	0.192822179	-0.0084175564	-0.028942844	-0.0209938518	0.044165186	0.0139632907	-0.0119404871	-0.0026061076	-0.0133557464	0.09963735	-0.0359285624	-0.0430800724	-0.3104298218	0.0348405291	0.0739804288	-0.1862068562	0.0446504134	-0.0119480085	0.0361591429	0.0373442363	0.0739908945	0.0982961246	0.0581816624	-0.1181120204	0.0651454142	0.0084850225	0.063376918	0.1718034183	0.0020081894	-0.095160111	-0.0207028213	-0.1467137216	0.0083415865	0.0608816696	-0.1164438299	-0.0215253474	0.0116100366	-0.0396826279	0.0371003075	-0.021949851	-0.0442758119	-0.1513861474	-0.0193204599	0.0372066464	-0.0133063136	-0.1102345162	0.0904229873	0.0906771723	0.0232937144	0.1091507386	-0.0244037327	0.2559031355	0.0811943787	0.246926805	0.0830792384	0.0617194861	-0.1796626818	-0.0312009103	0.1003257146	0.0170009273	0.0204813745	-0.0207223629	0.0693794039	0.0239984389	-0.0279364627	0.3421325189	-0.1205704408	-0.0144867336	0.0365083958	-0.0715909453	0.0713926697	0.060615495	0.0253832132	-0.1365183974	0.0319507512	-0.0397387887	0.102882994	0.0641883222	0.0072998719	0.1644887895	-0.00807522	-0.0481654561	-0.1304119132	-0.0109722817	-0.0245191417	0.1293164314	0.0157209424	0.0041466374	-0.0661077958	-0.0295210968	0.0525798159	0.0698758707	-0.0525685941	-0.2861815129	0.1060571412	-0.1052702849	0.0517089612	0.1174331757	-0.0774801044	-0.0643488033	0.102377694	0.0620622068	0.0897570838	0.1459266425	-0.0995853544	0.2853827407	0.400310439	0.1004571011	0.1037317861	-0.0405322805	0.0019465241	-0.3170815508	0.2480842215	-0.1101394206	-0.1640652698	-0.1611684479	-0.0998208249	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0347362	-0.0051871	2.690600641e-05	0.00120660359044	0.0771492	0.015686	0.00595199906064	0.0002460505959999	0.348156	-0.05895	0.0034751025	0.121212600336	0.00179942	0.001146063	1.3134603999689998e-06	3.2379123364e-06	-0.00163447	-0.00021816	4.7593785600000014e-08	2.6714921809e-06	0.00246702	0.00037622	1.4154148840000001e-07	6.086187680399999e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
563.3666881995513	3.088293712136988	9.537558052424856	317382.02537293045	774.4603899808394	-1.1155035170829706	1.244348096624477	599788.8956492739	591.7397990879759	0.8170160463472484	0.6675152199888892	350155.9898246781	600.7832794477379	466.9226971755241	2.41626	35.182861	0.7243544	0.421841	0.0948241692	0.1349235549	-0.0654555299	0.072260089	0.084183715	-0.057237507	0.0794788025	0.1622967062	0.1418652172	-0.1530384721	0.2830963516	0.0186864463	-0.079419436	0.0734656313	-0.0936795923	-0.2864918237	0.2830476659	0.1507611167	0.1630611927	0.0972247335	-0.1875514051	-0.5183630685	0.0870510243	0.0343523923	0.004289061	-0.0391472227	0.0437120064	0.0396754164	0.0719482944	-0.0531373509	0.0076565399	-0.0591989688	-0.1041647813	0.2281070599	-0.0254437671	0.0183172058	-0.0016207142	0.003508301	-0.0130232614	0.0960013909	-0.0630017932	0.0332070167	-0.0713483657	-0.0146187639	0.0261723865	0.046222726	-0.1319585841	0.0296002969	-0.0879359327	-0.0505443485	-0.0371340949	-0.0367473506	0.0682334803	0.056644198	0.002326969	-0.0104593731	-0.0311407991	0.1015854688	0.0297560015	0.032929047	0.0273021019	0.0231989145	0.0482326818	-0.0481977626	-0.03897531	0.1370348466	0.2020644886	0.190049804	0.2117156927	0.4356637753	0.1678478655	-0.5328166246	0.129936065	0.1125838179	-0.133108638	-0.1039397413	0.1429402089	0.0807506635	-0.108153049	0.0123867324	-0.0816855302	-0.0229623693	0.0638811767	-0.0287337096	0.0164346664	0.0182616698	-0.087200652	0.077692281	-0.0006643885	0.0139107096	-0.0304425491	0.0212072322	-0.0564670146	-0.0589627335	0.0143374579	0.0656277579	-0.0258838013	0.0041356701	0.0011852678	0.0505043956	-0.015139394	-0.0637961276	0.0080680802	0.0011625828	0.035181613	-0.030165329	-0.0540221541	-0.0144331015	-0.0206686992	-0.1246656503	0.1216411206	-0.426613264	0.0718119487	0.3543897418	-0.4803081485	-0.1815671934	-0.0030219682	-0.2736492996	-0.0328322011	0.2566930746	0.2336329452	-0.0044085694	-0.2674446612	0.0484757697	-0.0269548146	0.0105230252	0.0548349408	-0.0013108663	-0.0803976536	0.0869757496	0.0926324098	-0.0186916128	0.0258783981	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.062511	0.0277747999999999	0.0007714395150399	0.003907625121	-0.0280361	-0.1051853	0.00078602290321	0.01106394733609	0.0815327	-0.2666233	0.07108798410289	0.00664758116929	0.00745184	0.00565242	3.19498518564e-05	5.55299193856e-05	-0.00113311	0.00050136	2.513618496e-07	1.2839382721000003e-06	0.00280866	0.00034164	1.1671788960000019e-07	7.888570995600001e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567.2704601471484	3.903771947597079	15.23943541884589	321795.7749555574	784.0991419278499	9.63875194701052	92.90553909599907	614811.4643719905	594.032564117252	2.2927650292760973	5.256771479471423	352874.6872317172	604.8063378962869	489.3125301409104	3.505278	51.039913	0.7096769999999999	0.39834	-0.0088009778	0.1494947901	-0.071089767	0.0325292378	0.1988344905	0.0161313568	0.1731234552	-0.3285249903	-0.024333445	-0.0143547254	-0.6269364259	-0.1331920011	0.0903265474	0.3533950441	-0.2056011286	-0.1901550931	-0.3431561497	-0.3987449143	0.2047427938	-0.0769615154	0.0686713399	0.0441732991	0.1656952705	-0.0053229421	0.1088717433	-0.0614774047	0.0171218435	0.0221637334	-0.0046499628	-0.053318899	-0.005069353	0.0298243867	-0.0612679225	0.0339097871	0.0051903222	0.0293692317	-0.0336218501	0.078304323	-0.153742629	-0.0823227186	-0.0932757999	0.0113886694	0.0316905292	0.072678634	0.0508264796	-0.0605815083	0.128805534	0.0995037655	-0.0045781	-0.024936078	0.039099576	-0.0811187078	0.0108478066	0.1037117165	-0.0262575262	0.0621869715	0.0643153493	-0.0019507438	0.0571148713	-0.0391211975	0.0301964347	-0.0030193797	-0.0990518484	-0.1970074185	-0.1655863199	-0.1535999589	-0.0157395963	0.3721819025	0.223307449	-0.4366979949	-0.2950864594	-0.1740378783	0.0777213164	0.0040848928	0.097498885	-0.2232515791	0.0778385466	-0.1636161007	0.0187413306	-0.0566662138	0.0708087465	0.0276189364	0.0290608124	-0.0830656607	-0.2573220258	0.0136846251	0.0426590962	0.0279727958	0.0070103464	0.0266970566	-0.0071901623	-0.079145595	-0.0583303598	0.0616358434	0.1072508879	0.0238785798	-0.0546097707	-0.0058857758	0.0412933509	0.0108852616	0.0839733814	-0.0055755779	-0.044532558	-0.0245442686	0.0037463541	-0.0480628387	0.0100223505	-0.0276770905	-0.0055938202	0.1576745314	-0.1952727979	-0.1273857881	0.4098164342	-0.3833965443	-0.1885138191	-0.0582586686	-0.0247819247	0.0607114055	0.1361233627	0.0130139929	0.0186847822	-0.3815212091	-0.1524946683	-0.210924286	0.0426658804	0.0807389027	0.1323020748	0.0224500474	0.2751457482	-0.1936785723	0.0816806898	-0.0472019629	0.0011789675	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0453638	-0.0171471999999999	0.0002940264678399	0.00205787435044	-0.201563	-0.1735268999999999	0.040627642969	0.0301115850236099	0.0631313	-0.0184014	0.0003386115219599	0.00398556103969	0.00136649	-0.00608535	3.7031484622500006e-05	1.8672949201e-06	0.000502752	0.001635862	2.6760444830440004e-06	2.52759573504e-07	0.000517842	-0.002290818	5.247847109124e-06	2.681603369640001e-07	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
567.8794100003995	0.608949853251147	0.3708199237745935	322487.0243024018	779.5847836008502	-4.514358326999741	20.379431104551895	607752.4348219844	593.5891384820453	-0.4434256352067223	0.1966262939584851	352348.0653238568	604.4193194994299	509.071156656274	2.282216	33.231056	0.2621772999999999	0.140325	-0.1155596352	0.1222916142	-0.0798420683	-0.0441355327	0.1416528367	0.0836151711	-0.0210359579	-0.4050301271	0.1225942504	-0.0186662567	0.0590830661	-0.1379255536	0.0672337271	0.2739237106	-0.2326084597	-0.040660079	-0.2577143144	-0.0782459695	0.0462638909	-0.0070599193	0.3135384832	-0.1862647554	-0.124330692	-0.0232764326	-0.146698482	0.0557363533	-0.0445199177	-0.0470484292	0.0145331997	0.0897742085	0.0782384097	0.0072817144	0.0099649688	-0.0961083099	0.0092380962	-0.0100584312	0.1461004028	-0.1453439789	0.1649267694	0.0808386581	-0.0154385898	-0.0526568981	-0.1056030565	-0.0649216987	-0.014446021	0.0248762114	-0.0600299229	-0.1322121595	0.0097796364	0.0541446137	-0.0271371054	0.0962974233	-0.0353231783	-0.1484788887	-0.0067400446	-0.1258586501	-0.1294888428	-0.0552644408	-0.0465929451	0.0489545183	-0.1124099261	0.0041659859	-0.1138479373	-0.1476155009	-0.1210562524	-0.2497253228	0.070529917	0.0641161349	0.1593119992	-0.2272842311	0.0228508075	-0.0313705834	-0.3839520729	0.2303701681	0.1872264832	0.0417530002	0.0250995629	0.1560290113	-0.0054729619	-0.0596039604	0.0325419939	-0.027529142	-0.0707231592	0.0904793065	0.2643796864	-0.0593643286	-0.0551299467	-0.0210928573	-0.1581870278	0.0331439147	-0.0356213665	0.0904056872	0.0700514741	-0.0918563754	-0.1756980775	0.0239746438	-0.0033559681	0.0879454367	-0.0999643927	0.0232419679	-0.1516490254	0.0163776751	0.1382144819	0.0128590624	0.0100983165	0.0097892696	0.0022971592	0.0804198359	0.0121387403	0.2956984376	-0.1847417593	-0.0910951055	0.3036452077	-0.2873744748	-0.1096717266	-0.0381223134	-0.0760744674	0.1502426139	0.1971736804	0.2119324679	-0.1435162138	0.1685461634	0.1786489046	0.1854018849	-0.0554813275	-0.1476251824	-0.0813376031	-0.1122074111	-0.1903220913	0.1272797291	-0.1735920746	0.0405182459	-0.0143395215	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0611736	0.0158098	0.0002499497760399	0.00374220933696	-0.160252	0.0413109999999999	0.025680703504	0.0017065987209999	-0.0650167	-0.1281479999999999	0.0164219099039999	0.00422717127889	0.000375419	-0.000991071	9.82221727041e-07	1.40939425561e-07	0.000405621	-9.713099999999998e-05	9.434431160999996e-09	1.64528395641e-07	0.00096781	0.000449968	2.0247120102400002e-07	9.366561961e-07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
