global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
282.2543400122514	n/a	n/a	79667.51245575164	398.3347683610394	n/a	158670.5876852429	n/a	289.2566725917808	n/a	83669.42263886867	n/a	303.2904413640588	253.5342589308988	n/a	n/a	n/a	n/a	-0.0690659902	-0.1176350556	-0.0209959181	0.0120438414	-0.0359177106	-0.0775960571	-0.1517344718	0.0050829353	-0.3020554715	0.5665842856	-0.1342615236	0.0004193858	-0.1086613428	0.0609492104	-0.0392980357	0.0285189131	-0.204404626	-0.0293269428	0.0382564767	-0.1255187567	0.0918969849	-0.1422362453	0.0612982246	-0.1370954859	0.0186490194	-0.0607674767	0.0266136299	-0.0456848384	0.0649865088	-0.1020395953	-0.0051266055	0.1112074764	-0.0528981988	0.0110015525	-0.065733161	0.05256748	-0.0403030351	0.0038795691	-0.075237008	0.0609612206	-0.0979299655	0.1056335192	-0.0176504141	0.1112865326	-0.0722589416	0.0083445921	-0.0891798679	0.0007724462	0.03448525	-0.0135033218	0.0763236981	-0.0868267751	0.0078171761	0.1168892787	-0.164514332	0.0135311098	0.0314457929	-0.0959152437	-0.0056347757	0.0406879658	0.0535033913	0.0013089857	-0.0273185792	-0.0913347882	0.0428809389	-0.1094559239	-0.0977390555	0.1347641323	0.0179326508	0.0936831314	-0.0039896163	-0.0169242577	-0.0413569321	0.0850551401	0.0463812222	-0.1457297755	0.035917341	-0.0699328225	0.1698599923	-0.0213512208	0.0796456406	-0.1804109246	0.0447341364	-0.0165518305	0.0868946548	-0.0708367775	0.0137687927	-0.0149055241	0.0683832878	-0.0970001559	0.0887793305	-0.0074679194	0.1282107414	-0.1442835864	0.2517187395	-0.0441781225	0.1425483988	-0.0276113987	0.0910928386	-0.0479931058	0.1324388926	-0.0597269922	0.0558136834	-0.0142912265	0.0192936003	0.0547857168	-0.0228400672	0.064406546	0.0094867345	-0.1320101374	0.045108124	0.0031448803	-0.0283213159	-0.0724479166	0.0810515136	0.0744556066	-0.0744986459	-0.1390444085	0.0827884937	0.009089109	-0.1627592012	-0.054192909	0.1032531953	0.0124211682	-0.003285398	-0.1598262247	-0.0100733334	-0.0845268535	0.0885480909	-0.0321606479	0.0418084516	-0.072555994	0.0480404551	-0.0624006309	0.0426924968	-0.1002022217	0.0518572272	-0.0462291018	0.0592750067	-0.082022733	0.0748762215	-0.1760381	0.0907307983	-0.0944313908	0.0104394098	-0.0374712972	0.0157368532	-0.1582755846	0.0583315221	-0.0230760654	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0638318	n/a	0.0040744986912399	n/a	-0.0216183	n/a	0.00046735089489	n/a	-0.0958656	n/a	n/a	0.00919021326336	-0.000769265	n/a	n/a	5.91768640225e-07	-0.0015518	n/a	n/a	2.4080832400000005e-06	0.00100742	n/a	n/a	1.0148950564e-06
281.63312397302894	-0.6212160392224746	0.3859093673872591	79317.21651880749	394.7040480903816	-3.630720270657776	155791.28557893427	13.18212968376527	289.6859934972172	0.4293209054364411	83917.97482846979	0.1843164398447656	303.0140089589798	250.81827713460217	1.00981	14.872895	0.10197215	0.0614263	-0.1014557004	-0.1120960699	-0.0611699931	-0.0460526755	-0.023550544	-0.0816429969	-0.0873404125	-0.0158213053	-0.0748614753	0.162373838	-0.0564561927	-0.0537512045	0.0256097088	0.0029818791	-0.1480090796	0.0681213008	0.0204514474	0.0005994255	0.024741264	-0.0526940948	0.0810540686	-0.0970369078	0.136975007	-0.0820303544	-0.065582635	-0.0270786044	0.0491258418	0.0695453942	-0.072892966	0.0649583061	0.1033578138	0.1119834648	0.0458859809	-0.0303356021	-0.1604777385	-0.033235883	-0.0779612309	0.1161324093	-0.0046223407	0.0400259733	-0.0210081288	-0.0162827126	0.0660785114	0.0475458772	-0.0624799566	-0.0123500063	0.1578782652	-0.0440823203	0.0316322354	0.0112421803	-0.0606399002	0.0366824845	-0.0612042187	0.0770143265	0.1137457645	-0.0260490449	0.0114630257	-0.0593749849	0.0996679016	-0.0867352728	-0.0715582108	-0.1591442334	-0.0399377586	0.0011621721	-0.0023751042	-0.0684968659	0.0454054211	0.0072701955	0.0485323115	0.027195563	0.019292993	0.0939492563	-0.0226722296	0.0354206673	-0.0095557593	-0.1336739234	-0.0097566232	-0.1010849025	0.1402572445	-0.0491578441	0.0397658699	-0.0432053068	0.0805350183	-0.1131181005	0.0756000847	-0.1394900188	0.0953625439	0.0131739121	-0.1027506257	0.0360500363	0.042577998	0.1336488598	0.0292418207	0.0179309685	0.0933010785	0.0412855451	0.0608534445	0.0402874836	-0.0822373009	0.0911771056	-0.1811371171	-0.0306506117	-0.0694448184	0.0021451845	0.0414497665	0.0497125954	-0.0151134102	0.0351554338	0.0981392296	0.082313118	-0.0209023299	-0.0553293531	0.0875636679	-0.0182894393	-0.0904317449	-0.0655685701	0.0077131107	-0.0755549009	-0.028867835	0.0039624286	-0.0774906524	-0.0863560148	0.0069543757	0.1051547642	0.0066429085	-0.0607781261	-0.0018861386	-0.1634788211	0.0809258774	-0.0385202584	0.0336704576	0.0235806043	0.0386727748	-0.0274607066	-0.0507539401	-0.1084292251	-0.0423903615	0.0197907782	0.0704752664	-0.044764525	0.0838856634	-0.1764550252	0.0701712027	-0.0547978363	-0.0298416835	0.0558695278	0.1592693122	-0.0335838339	-0.13049995	-0.0627256472	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0713121	0.0074803	0.00508541560641	5.595488809000014e-05	-0.021674	-5.5699999999998806e-05	0.0004697622759999	3.102489999999867e-09	-0.0454157	0.0504498999999999	0.0025451924100099	0.00206258580649	-0.00118964	-0.000420375	1.7671514062500005e-07	1.4152433296000002e-06	-0.00131054	0.00024126	5.820638760000004e-08	1.7175150916e-06	0.00122551	0.00021809	4.75632481e-08	1.5018747601e-06
281.25705140694345	-0.3760725660854973	0.1414305749621307	79105.52896612803	393.17344395437976	-1.5306041360018412	154585.3570309478	2.3427490211459427	289.40688883348747	-0.279104663729754	83756.34730427858	0.077899413315699	302.71564308041883	250.7165687287629	1.053804	15.520849	0.22961325	0.116829	-0.136574868	-0.0537111541	-0.0549882668	-0.1113272276	-0.0621403012	-0.0638700397	0.0014007581	0.0713501159	-0.0938324255	0.0177464548	-0.0130515	-0.047137408	0.0883006537	-0.2206404399	-0.2200343858	-0.1164427293	0.0986559582	-0.0275936773	0.0239627269	0.0924589681	0.0719805117	-0.1800984336	0.1425350256	-0.0634401291	-0.1466405064	-0.0319014395	0.2543976574	-0.0128464189	-0.0061946053	-0.1568930733	-0.0658750068	0.0628683298	-0.0536900741	0.1143351242	-0.0412425576	0.1235070698	0.0223150352	-0.0303044924	0.0385328657	-0.0217236045	-0.0875818897	-0.0293595281	-0.1383254013	0.0828360957	0.0131969974	0.114309342	0.0105368014	-0.0355082713	-0.0905796112	-0.0288815253	-0.0582843863	0.1090314168	-0.0845226455	-0.0917488702	0.1211698244	0.0615589527	-0.0713264109	0.1920935257	0.1474708865	0.040235319	0.0701907627	-0.0047622478	0.01226783	0.0019009395	0.021965396	0.0354354404	0.1145440436	-0.020322547	0.0672833128	-0.0505126326	-0.0601138808	-0.0220141294	0.0134401779	0.088883198	-0.0514158769	-0.0645089649	0.0758406874	-0.1218140935	0.1767335814	-0.1468631797	0.0147921679	-0.0509947682	0.0830377046	-0.1470441261	-0.0451928473	0.1165648426	0.2471301014	-0.066131324	0.0726071351	-0.0351346325	-0.0693856839	-0.003643216	0.0714727673	0.0299412377	-0.090555973	0.0523250544	-0.0978416178	-0.0525960787	-0.0448554124	0.1232017833	-0.1292148361	0.1175449928	0.0311392112	0.0801370358	-0.1182250807	0.0396419029	0.0382349005	-0.043330914	0.0156196916	0.016541119	-0.107339685	0.0644150793	-0.0131904303	-0.1206022761	0.0206674407	0.0120447635	-0.0259350462	0.2096412405	0.0499630436	0.0052124435	0.0381335104	0.0003994729	-0.0423436794	-0.0406704779	0.0713357692	0.0918348834	-0.0566144535	-0.2448314968	0.0666779538	0.0034954004	0.1819473996	-0.0502609271	0.0399338769	-0.0825626749	0.0246195469	-0.0785510872	0.1013384062	-0.0681128791	0.1669973309	-0.0160073609	0.1666939568	-0.0653049015	0.0999163333	-0.0833852208	-0.0320484518	0.092991843	-0.0193981396	-0.2826572732	-0.0379003446	-0.0354250362	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0967408	0.0254287	0.00935878238464	0.0006466187836899	-0.0124302	0.0092437999999999	0.00015450987204	8.544783843999996e-05	-0.123963	-0.0785473	0.00616967833729	0.015366825369	-0.000344871	0.000844769	7.136346633609999e-07	1.1893600664100001e-07	-0.00200764	-0.0006971	4.859484100000002e-07	4.030618369600001e-06	0.00201151	0.000786	6.177960000000004e-07	4.046172480100001e-06
281.954127636312	0.6970762293685766	0.4859152695507124	79498.13009115373	393.6030627757427	0.4296188213629648	154923.37102644527	0.184572331669303	289.7499103415266	0.3430215080391008	83955.01054292268	0.1176637549774189	303.08370159967967	250.57585529334727	1.027763	15.137305	0.21587415	0.110544	-0.1338479914	-0.0135716065	-0.0633921978	-0.0958629718	-0.0103916818	-0.0297793	-0.0209451641	0.047002316	-0.0834517355	0.034248776	-0.0309239375	-0.0026531319	0.0928695787	-0.1241321698	-0.0700870679	0.0002617146	0.0548300621	-0.047129301	-0.0350604376	0.0417246457	0.1186386531	-0.0482270441	0.0909597903	-0.057763628	-0.0603756632	-0.0564436715	0.0517712906	0.0045250951	0.0139311543	-0.0319648878	-0.0752298706	-0.0524135962	-0.0324578	0.0817211718	-0.0518932263	-0.1006595045	0.0355090527	0.1157049118	0.2064523811	0.0898698704	0.0497831308	0.0128888572	-0.1220894067	0.0113593495	-0.0006143181	-0.004563948	0.0470966542	-0.0932621489	0.0798209499	0.0158143033	-0.0503185664	-0.0627924471	-0.1042193805	0.0447343575	-0.030858354	-0.0261051985	-0.1486585939	-0.012966354	-0.1176543511	0.0580462915	0.0271142715	-0.0231940265	0.1144555662	-0.0841505778	-0.0467622601	-0.0102929825	0.0341505508	0.0097320719	-0.0540544677	-0.0533368563	-0.0403701903	-0.1028826209	0.0545891522	0.0421052749	-0.070262718	-0.0423840041	0.0850012706	-0.0050751362	0.1692785993	-0.0796787163	0.0380488505	-0.0793556169	0.0107423842	-0.1491253595	-0.0329887896	0.0781430485	0.0212696671	0.0303698913	-0.1025840321	-0.0002417384	0.1074731616	0.0547240158	0.0249412341	0.0839381248	-0.0260332626	0.0598151083	-0.0102829395	-0.0226647442	-0.014254694	-0.0601871434	-0.0335728322	0.1850741742	0.1175352387	-0.0440688857	0.0712745847	-0.0114442645	-0.0042091841	-0.0400632792	-0.1474683739	0.0388111255	-0.034419002	0.0203070092	-0.0629907578	-0.0514266314	-0.049593264	-0.0328878598	-0.1106627224	-0.0392663388	-0.0103160469	0.1156002916	-0.0384885812	0.0729158901	-0.0584981941	0.0860901006	-0.0536759962	0.055637554	-0.0132257981	-0.1833375058	-0.0035900151	-0.0695884853	0.0403710127	-0.0707222464	-0.0408201653	-0.0142386312	-0.0205205962	-0.1110518759	0.0287772233	-0.04887132	-0.0043876606	0.0645501953	0.1891499193	-0.0023611465	0.0463303543	-0.1103326327	-0.0948318679	0.0896620939	0.0151778525	0.0045178413	-0.0883826852	-0.0053757854	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0712418	-0.025499	0.0050753940672399	0.000650199001	-0.0312155	-0.0187852999999999	0.00097440744025	0.0003528874960899	-0.0801720999999999	0.0437909000000001	0.00191764292281	0.0064275656184099	-0.00179491	-0.001450039	2.102613101521e-06	3.2217019081e-06	-0.00151839	0.00048925	2.393655625000001e-07	2.3055081921e-06	0.00139482	-0.00061669	3.803065561000003e-07	1.9455228324e-06
282.3990391245585	0.4449114882464755	0.1979462323736937	79749.21729847392	394.6045158596593	1.0014530839165443	155712.7239368361	1.0029082792859576	290.0755342996208	0.3256239580942406	84143.81559921049	0.1060309620849597	303.40626140631656	252.0381297216328	1.265202	18.634411	0.126443486	0.0633471	-0.1392250335	0.0682822639	0.0470779379	-0.0866804876	0.0007918065	-0.0068061825	-0.0026351609	-0.0858341442	-0.1092894722	0.0625564958	-0.0206384157	-0.0032359566	0.0379662265	-0.0017436768	0.1611798441	-0.0994675662	-0.0499372763	0.0175830143	-0.0502218596	0.0844835904	0.0313745228	0.0174471077	0.0771127153	0.0916307636	-0.0856415227	0.0682039124	-0.0382356831	-0.0081973873	0.0305579451	0.1574801664	0.1529771064	-0.1434299697	-0.0516765328	0.0367269372	-0.0110877296	-0.0463996648	0.0422466949	-0.066594412	-0.1127636564	-0.0098864667	-0.0549211921	0.1212959775	-0.1323900492	0.0307066255	0.1012236111	-0.0540978951	0.1412496424	-0.2117286791	0.1882685545	0.0325711227	-0.0134656045	0.0372096626	0.0397148597	-0.086764466	0.0527618124	-0.1233427778	0.0889988814	0.1011888405	-0.1055336354	-0.0657513889	0.1353346588	0.0421190791	-0.0634017103	0.0263953495	-0.0129093462	0.0163614083	0.0265766815	-0.0274458511	-0.08281181	-0.0399945738	0.0516519076	0.111042553	0.0622571718	-0.0495138941	-0.065670236	0.0419666188	-0.0107454911	-0.012351471	0.0085728192	-0.2047587198	-0.0755041903	0.0795443395	-0.1095451395	0.0988713546	-0.1421473946	-0.1297252817	0.0227949335	0.0863152205	-0.0114315236	0.0405657753	0.0595381136	-0.0258733795	-0.0714523861	-0.0108905488	0.0433752434	0.0308177164	-0.1032005314	-0.0606635547	0.1252880668	-0.0011791677	0.0189503486	0.0656014809	-0.0552396902	0.0753716278	0.0860593458	-0.1392748382	-0.002088114	0.2675181879	-0.0207700021	0.1242949873	-0.1493936304	-0.0013981385	0.0156783808	-0.0992194912	-0.0862554211	0.0220324266	-0.0113247926	0.0437535021	-0.0179105862	-0.0611670345	0.0564593218	0.0823609057	-0.0045640008	-0.1450086064	0.0005154119	-0.0434294243	0.0244285508	-0.0928149167	-0.0992474531	-0.0285299617	0.019042292	0.0897208163	0.0012730872	0.0631240396	-0.022919708	-0.1624196974	-0.0766908123	0.0115332695	0.0367021464	-0.0865407567	0.0235345472	0.1095209345	-0.1010080805	-0.0516624243	-0.0862543608	-0.1362665529	0.0020694248	0.0759583999	-0.1777439366	-0.1439112523	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0568357	-0.0144060999999999	0.00323029679449	0.0002075357172099	-0.000606214	0.030609286	3.67495413796e-07	0.0009369283894297	-0.0350992	0.0450728999999999	0.0020315663144099	0.0012319538406399	-0.00188732	-9.241000000000002e-05	8.539608100000003e-09	3.5619767824e-06	-0.00135147	0.00016692	2.7862286400000033e-08	1.8264711609e-06	0.000927046	-0.000467774	2.18812515076e-07	8.594142861159999e-07
282.9202779742871	0.5212388497286042	0.2716899384663985	80043.88368904789	393.3175636519678	-1.2869522076914564	154698.70587711976	1.656245984881913	289.881363431091	-0.1941708685297953	84031.20486466827	0.037702326185615	303.0860115017179	257.5440335965164	1.105273	16.278908	0.091548986	0.0525918	-0.0540721189	0.0762681485	0.0539921699	-0.0859042667	0.0699047544	0.0740003119	0.0436870279	0.0096247555	0.1255003594	-0.0384750415	-0.1266112074	0.0586930547	0.0266571091	-0.005630168	0.0410855389	-0.1609483631	-0.0367664826	-0.0176841837	-0.0324731729	0.072006854	-0.0586367734	-0.0572425241	0.0624983451	0.1245952672	-0.0198215672	-0.0283189028	0.0019619479	0.0911915184	0.1159344826	-0.1024698468	-0.0833536312	0.0712118795	-0.0942614733	-0.1359208331	0.0352901384	-0.0545625692	0.1175970297	0.1767941183	-0.0451847033	-0.0987176836	0.0803584675	0.0299078538	-0.0157934262	0.0280441708	0.1486698092	-0.0094478468	0.0197437385	-0.0150748866	0.03696513	-0.0364497373	0.1231794302	0.0295808994	-0.0195556889	0.0181762847	-0.1691897893	0.0032837318	0.1537559537	-0.0213942601	0.0119604479	-0.0406018825	-0.005682754	-0.0633678765	-0.0888793228	0.0130548206	0.0352815576	-0.0406853448	0.0210491195	0.012441661	-0.0508991288	0.0558606514	-0.0553014404	-0.0856973079	0.0487783845	0.0418361965	0.0173059043	0.0822311384	-0.0141845641	-0.0426248337	0.1694199176	0.028816127	-0.0246774556	0.0200821903	0.0040442916	0.0511522592	-0.0506623172	0.0680365538	0.023656343	-0.232147209	0.0865529833	-0.0507417995	0.0003080058	0.0319507344	-0.0074789863	0.1595216701	-0.0112689789	0.021871709	-0.076694743	0.1661611746	0.0168134931	-0.1179993596	0.0666139302	0.0749290867	-0.0647495602	-0.0410188791	0.1353976808	0.0071153324	-0.0279647544	0.1238935627	-0.0415814059	-0.1192486736	-0.006306185	0.0773089708	0.0176051036	-0.0482916739	0.0210479009	0.050008289	0.1101358397	-0.0783675611	0.0680348452	0.0585447776	-0.0619602962	-0.0979611034	0.0140035902	-0.0013558477	0.0711048456	-0.0354342235	-0.0100177035	-0.1060856867	-0.0724644432	-0.0062388983	-0.0430707643	-0.036253484	-0.0117854392	-0.0234909773	0.106097111	-0.0752576564	0.0545370904	-0.0266170017	0.0132027001	-0.0449370307	0.1075426287	-0.0535792099	-0.0701005091	0.031351009	-0.0622215431	-0.0452946383	-0.0982261568	0.0536954579	-0.0368062351	-0.1060929033	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0590163	0.0021805999999999	0.00348292366569	4.75501635999999e-06	-0.0197127	-0.019106486	0.00038859054129	0.0003650578072681	-0.0764650999999999	-0.0413658999999999	0.0017111376828099	0.0058469115180099	-0.00153793	0.00034939	1.2207337209999998e-07	2.3652286849e-06	-0.00158	-0.00022853	5.22259609e-08	2.4964e-06	0.000927046	0.0	0.0	8.594142861159999e-07
283.53966029391444	0.6193823196273343	0.3836344578669372	80394.7389595884	396.285788477445	2.968224825477193	157042.4261491903	8.810358614579116	290.0182123147035	0.1368488836124584	84110.56347421643	0.0187276169459761	303.2265340743353	261.92874996149266	1.22031	17.973211	0.13777802	0.0877307999999999	0.0310008764	0.0016926881	0.1105484093	0.0821025988	0.0206618936	0.0937268859	0.013910728	-0.1267639885	-0.0206024854	0.0304612813	0.0050153004	-0.018359694	0.0747022665	-0.0447702053	0.1580851189	-0.0436249148	0.1722631049	0.054566276	-0.0209554181	0.0335708318	-0.0658630297	-0.035508021	0.0413842258	-0.0099296433	-0.0106121063	0.1920062969	-0.0241511739	6.05348e-05	0.1112356442	0.1192631883	0.0341795049	-0.0980713627	-0.0833339744	0.039828298	0.0262915814	-0.0720098039	-0.2013274977	-0.0268591994	-0.1092542865	0.0478534271	0.0359361707	-0.0822429447	0.0672029578	0.0036552082	0.0290959419	-0.1305543034	-0.0646585231	0.0054492387	-0.0399185375	0.0645736093	-0.0670104739	0.0944441734	-0.095060017	-0.021542173	-0.0956394347	0.0328341776	0.0966872828	-0.0772047975	-0.0087729929	0.0677250094	-0.0864449906	0.0383812121	0.0093505562	-0.0186988517	-0.1188539428	0.0287538979	0.0919953383	-0.0091834036	0.0616726487	0.0977555918	0.0723903006	0.132843075	-0.008788086	-0.0562029464	0.0525774025	0.0916044439	-0.0107297641	-0.0123221274	-0.1005049928	-0.1215462802	-0.1309092852	0.0332537096	-0.100871765	0.0845079783	-0.0626891146	-0.1930573533	0.1303514214	-0.0516404539	0.0984410321	0.1262378294	0.0639593945	-0.0069747498	-0.054283654	-0.0410748299	0.0218582415	-0.0156726889	0.1564370849	-0.0023760879	0.0633155274	-0.14428981	-0.0777728281	0.0317668035	-0.0148744848	0.0187238483	0.0798817342	-0.0537123524	0.1636973574	-0.0696904734	0.0297086489	0.0690711383	0.0130756974	0.0357303807	0.0170716016	0.0444577274	0.0388050859	0.1427498667	0.0156712423	-0.0153548621	0.0220070935	-0.0155015387	-0.0349097449	0.0175241723	0.0044864206	-0.0069827652	0.0648060496	0.1181581556	0.0356889782	-0.0768093256	0.0066837026	0.0811914353	-0.03751383	0.202258778	0.0584903207	0.1321098409	-0.0321821822	-0.1347421938	-0.0816098676	0.1289666232	0.0932170023	0.0914196068	0.0064397336	0.1185003494	-0.0859315119	0.0683667446	0.0791822597	-0.1553699637	0.1806785188	0.0231976047	-0.1531588239	-0.2056880631	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0559265	-0.0030898	0.0031277734022499	9.546864040000025e-06	0.0212239	0.0409366	0.00045045393121	0.00167580521956	-0.00231648	0.0741486199999999	0.0054980178479043	5.3660795904e-06	-0.00179491	-0.0002569799999999	6.603872039999998e-08	3.2217019081e-06	-0.00144492	0.00013508	1.8246606400000025e-08	2.0877938064e-06	0.000927046	0.0	0.0	8.594142861159999e-07
283.0003055778824	-0.5393547160320509	0.2909035097060142	80089.17295717481	394.29992772663246	-1.9858607508125488	155472.4330052276	3.94364292161778	289.76515401483505	-0.2530582998684281	83963.84448124107	0.0640385031322992	303.05370112886555	260.0940909502841	1.288094	18.971565	0.17381347	0.110671	0.0840875807	-0.0877285101	0.0540108549	0.0835037093	-0.0426218447	0.0910421582	-0.0628461921	-0.012901642	0.1495086369	-0.0210162489	-0.0772867921	0.1139649328	-0.0054363957	-0.1031591041	0.0438753238	0.0040671155	0.0396293389	0.0947365003	0.0191486693	0.0024865297	-0.0061313782	-0.102769387	0.115668991	-0.0200899032	-0.051244766	0.0098989062	-0.0701303259	-0.1300922176	0.0421895057	-0.0222563831	-0.0416328393	0.1356931374	0.0081274157	-0.0217557728	0.0326680286	-0.051767171	0.1038141649	-0.0236799152	-0.0338262307	0.0750463025	-0.031590546	0.0351568012	-0.0040323808	-0.0780240879	0.0782409021	0.0741959053	0.0130912511	0.0985926349	0.1541879715	-0.0484896166	0.0534880837	-0.0126456186	0.0106778022	0.0093401255	-0.0325748453	0.0679717994	0.0373858864	0.0266178854	0.1309614068	-0.0025712844	-0.1108187463	0.0658577599	-0.0041721065	0.0511114099	0.055281082	-0.0019793956	-0.0336463615	-0.0902368887	-0.0939891783	-0.0458984127	0.0170703459	0.0042392861	-0.131368114	0.0109017569	0.0407182329	0.0057630844	0.018009026	-0.0370268497	0.0982721714	-0.0164272882	-0.0943498971	-0.0659943597	-0.0325886859	-0.0158609043	0.0088219153	0.0842897786	-0.1412692905	-0.1801810399	0.0536151365	-0.0793925895	0.0437152568	0.0615647799	0.0923617327	-0.0558118365	-0.0115214664	-0.0307848255	-0.0371232732	0.0013861069	0.0423708513	0.0972666572	0.0387732972	-0.0545847222	-0.1259462088	0.0227897566	0.0605910238	0.1469840307	0.0858956403	0.0568906365	0.0977622891	0.0034041757	0.0028027665	-0.0149543824	0.0206363757	0.067110572	-0.056004867	-0.0627379931	-0.1002208724	0.0631129866	-0.0969802157	-0.0816222355	0.0477368862	0.0057558593	-0.0452324826	-0.0552390042	0.0979209675	0.0622754978	-0.0150414787	-0.0569410246	0.0869753921	0.0528486399	-0.0484895855	-0.0594038989	-0.0293657447	-0.0445504151	0.1487191166	0.0131517692	0.0692276183	-0.0552268415	-0.0556851525	0.0114017168	-0.0671392689	-0.0372336382	0.1267050786	0.0196759465	0.0121835915	-0.0290546019	-0.0710038265	-0.1292848598	0.1850164092	-0.0950998255	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0615205	0.005594	0.00378477192025	3.129283600000002e-05	-0.0128105	-0.0340344	0.00016410891025	0.0011583403833599	-0.0904017	-0.08808522	0.0077590059824484	0.00817246736289	-0.000945923	0.000848987	7.207789261690001e-07	8.94770321929e-07	-0.00151793	-7.301000000000009e-05	5.330460100000013e-09	2.3041114849e-06	0.000927046	0.0	0.0	8.594142861159999e-07
