global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
281.1054039752082	n/a	n/a	79020.24814406502	398.82709705069794	n/a	159063.05334188684	n/a	287.414890692367	n/a	82607.31939170527	n/a	301.9598263398705	263.5346857875805	n/a	n/a	n/a	n/a	-0.0095292753	-0.0278522719	-0.0021682419	-0.1477630429	0.0629509073	0.1272329135	-0.0088047562	0.0151438407	-0.4715233832	0.0676822628	-0.0691981274	-0.0127466121	0.0790037443	0.0017639079	-0.0048638198	0.071703111	0.0231879339	-0.0743994985	0.0522217301	-0.00115293	0.1139775182	-0.0071646498	0.0947277952	-0.039000452	0.0361905076	-0.0709697675	0.0399422595	0.0056126898	-0.0551374872	0.0759083639	-0.0371602584	0.0215400034	-0.0167592456	0.1743684546	-0.0820889786	0.0299676952	-0.1658109637	0.0265040273	-0.0137760122	0.022759196	-0.0726608923	0.0221267553	-0.0856094902	0.0312879346	-0.072194814	0.1253807856	0.0020073256	-0.0504599935	0.0490108754	-0.1488747284	-0.028985901	0.0059664996	0.0769404935	-0.0177929143	-0.0237325332	-0.0417787929	0.0911400801	0.0789864288	-0.1410532758	-0.0150163498	-0.0765512104	0.0935157436	0.0054327623	-0.1378977912	0.0166985208	-0.0205199419	0.0939763426	-0.1983531742	0.0883481657	0.0115396859	-0.1604467093	0.0215667276	-0.0137024674	0.1070615055	-0.1102288549	0.1238255907	-0.1254811042	0.1134968118	-0.0769096201	-0.0280348155	0.0224736561	-0.0304284266	0.1156835008	-0.1595407336	0.0534720139	-0.013786469	0.0976391581	-0.0359261445	0.182571271	-0.0699615446	0.2218441758	-0.0350535786	0.0052880652	-0.0087373754	0.0669470746	0.1172666827	-0.0960900061	0.0788546123	-0.0808113846	-0.1032645504	0.0983482302	0.0977805867	-0.1500046872	0.0671381846	-0.0988202889	-0.0123022276	0.0599133504	-0.0127328618	0.0221380722	0.0049519323	0.0210392754	-0.0330890929	0.0180095286	-0.0028141524	0.0533461071	-0.1033151433	0.0844802889	-0.0804135279	0.0166668242	-0.0737981695	-0.0625944831	0.1083759672	-0.0168653671	0.1051434261	-0.0421261683	0.1149412244	-0.0506816851	0.0291661762	-0.0142619057	0.046541127	-0.1110664086	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0341994	n/a	0.0011695989603599	n/a	-0.0227033	n/a	0.00051543983089	n/a	-0.205305	n/a	n/a	0.0421501430249999	-0.00316851	n/a	n/a	1.00394556201e-05	-0.00117086	n/a	n/a	1.3709131395999998e-06	-0.000317064	n/a	n/a	1.0052958009600001e-07	0.0
279.99778709872817	-1.1076168764800514	1.2268151450634253	78398.7607801847	394.9470578105013	-3.880039240196652	155983.17847317146	15.054704505465812	287.2916383868365	-0.1232523055305137	82536.48548699282	0.015191130818587	301.631660378986	263.64120405163686	1.148619	18.503914	0.1192132999999999	0.0604619	0.018182879	0.0687659447	-0.0316310915	-0.0560518055	-0.0157153867	0.0806936048	0.1270548815	-0.0174959647	-0.1794307829	0.0187398551	0.0019601534	0.0058679387	0.073181858	-0.049676472	-0.0760132161	0.1676262902	0.0211684853	0.079204334	0.0186417337	-0.0878328375	0.0466926361	-0.0865171356	0.0381933654	0.227046263	-0.099041549	-0.0191449501	0.0361176074	-0.0121554424	-0.0691813585	0.0736020971	-0.0486998948	0.0442176759	-0.0917550068	0.0144481415	-0.0792298237	0.0526052214	0.0653263466	0.0137103479	-0.0039672229	-0.0058790126	-0.0860300421	-0.0137141619	-0.0389022224	-0.1251540579	-0.0311187507	0.1044430853	0.0138223517	-0.0564501866	0.0088667872	-0.0800242023	-0.0124959279	-0.0027324601	-0.033433879	0.1375929531	0.0538109146	-0.0972913144	-0.0158654594	-0.0523773187	-0.0392837164	-0.0133977911	-0.056837895	0.0690303328	0.008576301	-0.1858075674	0.106527123	0.0913590298	0.0489198963	-0.0559400831	0.0155682459	-0.0534261486	-0.0380394296	0.0728031119	-0.089460096	0.0115094525	-0.0405961668	0.0637204414	-0.0113967951	-0.0136896156	-0.1663368685	-0.0807159223	0.0808611695	0.1148374095	-0.0090318641	-0.1640254507	0.0521262403	-0.1258942879	-0.0043462227	0.0125098691	-0.0307054254	0.0078388143	-0.0249872852	0.0436540399	-0.1115848673	0.0235047497	0.0540354046	0.0163087166	0.0086541223	-0.0579696806	-0.0922323115	-0.0720828804	-0.0718671793	0.0304696126	-0.0295298375	0.05344345	-0.0427717859	-0.0247699736	-0.1108503535	-0.0113120592	0.0200473923	-0.0157985986	0.0415812465	-0.0568570474	-0.0042397929	0.0129436529	0.0769945419	-0.0769859353	0.0137217212	-0.0624511219	0.0307322874	-0.0756317883	-0.1361306549	0.1276757303	-0.0390618281	0.101985746	0.0325124495	0.1137750788	-0.0859880679	0.0318350312	-0.00938437	0.0034438515	-0.032127076	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0406505	0.0064511	0.00165246315025	4.161669121000002e-05	-0.0135074	0.0091959	0.0001824498547599	8.456457681e-05	-0.181066	0.0242389999999999	0.0005875291209999	0.032784896356	-0.00211739	0.00105112	1.1048532544e-06	4.483340412099999e-06	-0.000952498	0.0002183619999999	4.7681963043999975e-08	9.07252440004e-07	0.0	0.000317064	1.0052958009600001e-07	0.0	0.0
279.3200793240489	-0.677707774679277	0.4592878278607377	78019.70671359297	393.0028022211291	-1.944255589372176	154451.20255365994	3.780129796804947	286.88568131574124	-0.4059570710952584	82303.39414399704	0.1648011435722407	301.0827022186031	258.0707701968906	0.969593	15.619866	0.0809289	0.0383642	0.0576208911	0.1141846829	-0.0583815382	-0.0023814608	-0.0690165335	0.0660424167	0.1017118592	0.0602214113	-0.0670274017	-0.0275946674	-0.0407637326	0.0391442209	0.0353295314	-0.0630327061	0.0185855827	0.1599240647	-0.0078087674	0.0408687755	0.0632312492	-0.0123217758	0.0237193991	-0.0624777427	0.0337348958	0.072130212	-0.0040528992	-0.0025749177	0.0204226985	0.0184836862	-0.0121879217	-0.0480796084	0.0246372791	-0.091490004	0.0168911224	-0.1190687808	-0.0841265642	-0.0245569542	0.0676690863	-0.0621299244	0.133206428	0.014085721	0.0253864212	0.051122402	0.0656233711	0.0987615202	0.0106300618	-0.1252815461	0.0454956427	0.0170999669	-0.0215278673	-0.1330124368	-0.1154607162	0.1199763593	-0.0512003447	-0.0002164369	-0.1388308646	0.005894459	-0.0382738101	0.0132327752	0.0048277995	0.027742839	-0.0469545196	0.0226694633	0.0588693961	-0.1449861993	0.1295476572	0.0635466255	0.0337438587	-0.0201986515	0.0119774495	-0.0170624492	0.0324641629	0.0584364857	-0.0668217745	-0.0198905026	-0.0263279328	0.0523197222	0.0016764396	0.0430394408	0.0266433497	0.0489594659	0.0873740823	0.0791250399	-0.1190203486	0.0591841429	0.0217129724	0.0349367255	-0.0727841748	-0.0738423985	0.052044994	-0.0220236371	-0.0031021714	-0.0674960042	-0.0185489074	-0.0073806788	-0.0261523068	0.066901551	-0.0639406481	-0.0510320953	0.1261864098	0.0232194966	-0.0199691817	-0.1406252231	-0.0142201515	0.0400813683	-0.0830760721	0.1363068318	-0.0768157076	-0.0173783724	0.038896466	-0.0204832316	0.0474314253	-0.0814440045	-0.0290099826	0.0299150107	0.0620900063	-0.0202925935	-0.0533179553	-0.0611996795	-0.0050978499	-0.0506066751	-0.0777004005	0.1412310161	0.0523468027	0.0209535869	0.0508237065	0.0653970342	-0.1022533663	0.0108648246	0.0133382371	-0.0152482259	-0.038316851	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0528964	0.0122459	0.00279802913296	0.00014996206681	-0.0209065	-0.0073991	0.00043708174225	5.474668081000003e-05	-0.170314	0.010752	0.000115605504	0.029006858596	-0.00235212	-0.00023473	5.509817290000013e-08	5.5324684944000005e-06	-0.000683973	0.0002685249999999	7.210567562499997e-08	4.678190647290001e-07	0.000507383	0.000507383	2.57437508689e-07	2.57437508689e-07	0.0
278.9251593972771	-0.3949199267717631	0.1559617485614147	77799.24454479646	392.1453442869765	-0.8574579341525919	153777.97104595136	0.7352341088412305	286.6842942733783	-0.20138704236291	82187.88458302498	0.0405567408316805	300.644417013392	258.9181020383303	0.933375	15.036404	0.0537215	0.0236627	0.0546560866	0.0968053146	-0.0614117683	0.0174236694	-0.1133780196	0.0413320219	0.1368211472	0.0482285883	-0.0405582922	0.0694892999	-0.056607168	0.0654308749	0.012231035	-0.1075017215	0.002046181	0.12384479	-0.0740095264	0.024790226	0.0179235118	0.0790921769	-0.0047677319	-0.0566961967	0.1259529021	-0.1077039797	0.0315086156	-0.0770186095	0.1040156623	0.0445001822	0.0804297896	-0.1712415358	-0.0817843988	-0.1188607941	0.0333784677	0.0017621717	-0.1673231357	0.0084648094	-0.0933309817	0.0367146798	0.0125789001	-0.0164262471	0.1003512403	0.0101715063	0.1478589653	-0.0099892049	-0.0691954306	-0.0976503104	-0.1112976116	-0.0704005046	-0.0604208782	0.0065522704	0.0815707308	0.028570991	-0.0038824238	0.0210679253	0.002080523	0.0477441351	-0.0666297878	-0.0595610931	0.1019866506	-0.0021024296	-0.054666042	-0.0330507587	0.0657472283	-0.0978328398	0.0961292918	0.1217847171	-0.0112793533	-0.0036578845	0.0983993891	0.0577864996	0.068547046	0.028902992	-0.009942238	0.0405504766	-0.1061491814	0.0238285043	-0.0757313537	-0.0759291684	0.0828427733	-0.0691376788	0.051525253	-0.0144942141	0.1052008206	0.0693627734	0.1477522438	0.1266437491	0.0240238025	-0.0621289208	0.0820387699	0.0234555812	-0.0246319195	-0.0706262711	0.0900727661	0.1166499389	0.0908450007	-0.1327124193	-0.0948053279	-0.1149996541	-0.002207351	0.1179342104	-0.1381628341	0.0082652996	0.0713462423	0.0307984534	0.091221212	0.0362374956	-0.0310099352	-0.0060507252	0.029019476	-0.025448346	0.0838581189	-0.0444132617	-0.0165796261	0.0163671037	0.0693528512	0.0244632876	-0.0978676538	-0.1146716063	0.0320021078	-0.0329683801	-0.1277590368	0.1213902324	0.0482724133	-0.022523521	0.0905959446	0.1743795867	-0.0981985277	0.0117232756	-0.0940767783	-0.0125373274	-0.0275360914	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0474918	-0.0054046	0.00225547106724	2.9209701160000023e-05	-0.0262783	-0.0053717999999999	0.00069054905089	2.8856235239999995e-05	-0.187884	-0.01757	0.0003087049	0.035300397456	-0.00248871	-0.0001365899999999	1.8656828099999943e-08	6.193677464099999e-06	-0.000946174	-0.000262201	6.8749364401e-08	8.952452382760001e-07	0.000398672	-0.000108711	1.1818081521000013e-08	1.58939363584e-07	0.0
278.21168972057484	-0.7134696767022888	0.5090389795736685	77401.74429717741	391.9529335288093	-0.1924107581672274	153627.1021018392	0.0370218998584872	286.3453314868222	-0.3389627865561238	81993.6488642981	0.1148957706698923	300.34850470923675	252.97151045608973	1.065959	17.172295	0.02976785	0.0144422	0.0820894852	0.0488874034	-0.0726504766	0.0341866673	-0.1219231384	-0.0104407705	0.1336833	0.0734023874	-0.0057607654	0.0943589102	-0.0214739499	0.0889732111	-0.0193259077	-0.0609257482	-0.0162499286	-0.000706406	-0.1244943487	-0.0242465087	-0.026040207	-0.0199721149	0.0733472674	-0.083715773	0.0359404618	0.0374514	-0.0988462254	-0.0377138439	-0.0878136456	0.0059617285	0.0538968253	-0.0161370869	-0.0827141489	0.0346860813	-0.1350319081	-0.0303289014	-0.0742529949	-0.022876779	0.0522846817	0.0008223986	0.042336501	-0.0272852356	0.0897736644	-0.0004359763	0.084427902	0.0641723799	-0.0038792922	0.0181152549	-0.1085834441	0.0256715727	0.1210660448	-0.1127766867	0.0561791416	0.0712271007	0.0230812878	0.0748195571	0.1632345477	0.0940697761	-0.0635076522	0.1219361481	-0.1867262473	0.0513197784	-0.0606223505	-0.0456275361	0.0861656396	0.0064268947	0.0532665853	0.150401783	-0.0722812126	-0.035397641	0.0606641048	0.0249255324	-0.0022429746	0.0901057464	-0.0308938995	0.035854326	-0.0382638782	-0.0773807112	0.0406484233	-0.149076413	-0.001864716	-0.1258793376	0.04465377	0.0992100691	0.0306550285	-0.0260885115	0.111738017	0.1135972362	-0.1040674036	-0.0563456964	-0.0080205242	0.0088412989	0.0226050493	0.0025170182	0.0104600341	0.0837467955	-0.1262171729	0.0893402465	-0.0286760664	-0.0982788907	0.0601945345	-0.0921165231	-0.0118851064	-0.0738768861	0.0028716177	-0.0096266163	0.0725098716	0.0579273733	0.1398231667	-0.0009964396	0.0414684351	-0.0155167473	0.0976212188	0.0220015193	0.0135123815	-0.0140037396	0.0439627724	0.0534123266	-0.0562556975	-0.0532566507	0.1071087728	-0.0472327956	0.0221951566	0.1018513116	0.0461786978	-0.037609338	-0.0252544574	0.1782996134	-0.0564389139	-0.0043572805	-0.0207288851	0.066387527	-0.0324331929	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0430406	-0.0044512	0.0018524932483599	1.9813181440000023e-05	-0.016092	0.0101863	0.0002589524639999	0.00010376070769	-0.188923	-0.001039	1.0795210000000251e-06	0.035691899929	-0.00255034	-6.163000000000002e-05	3.798256900000002e-09	6.5042341156e-06	-0.00112463	-0.0001784559999999	3.1846543935999965e-08	1.2647926369e-06	0.000356931	-4.174099999999998e-05	1.7423110809999983e-09	1.2739973876100001e-07	0.0
278.117340842959	-0.0943488776158574	0.008901710707372	77349.25527755862	391.6190522583571	-0.3338812704521956	153365.48209173384	0.1114767027587722	286.32605673602905	-0.0192747507931585	81982.61076600372	0.0003715160181383	300.2436226466537	247.0907071965436	0.958814	15.446216	0.02524725	0.012427	0.1089275149	0.0084960921	-0.0917987018	0.0262869917	-0.0702920228	-0.0805280178	0.0113989815	0.0912940127	-0.022551632	-0.0052048719	-0.0529673897	0.0711437981	-0.0194849029	-0.0398769503	-0.0206414908	-0.1212766981	-0.0408343265	-0.1263315913	-0.0349892892	0.1339857714	-0.0243971523	-0.104664383	-0.0281348637	-0.0112077432	-0.0800227776	-0.0273535948	0.0416066402	0.0689568355	0.0439860369	0.114216423	-0.0748883627	0.0343447134	-0.1174052626	-0.2012165139	0.0426602597	-0.0158693283	-0.1020311756	0.071217094	0.0189182403	0.0431384599	-0.0260655243	0.041937933	-0.0041927793	-0.0756907732	0.0147430022	0.0136493522	-0.0094360483	0.1816254053	0.019139025	0.0154069111	-0.0060827047	0.1597185377	-0.0875926399	0.0731135873	0.0258177769	-0.0819891421	0.055758423	0.0320534803	0.0222424957	0.1429322766	-0.0567896065	-0.0439281419	0.0551394144	0.07636357	-0.0566322377	0.098630804	-0.0391534853	-3.22184e-05	0.0532610893	0.1305633695	-0.0217484153	0.0806897139	0.0857805478	0.006581827	-0.0065818846	-0.1333895554	0.0346284648	-0.0149520868	-0.0142309979	-0.0605175009	-0.0495252185	0.0090213791	0.014637061	-0.0295178257	0.0371392917	-0.0131123262	-0.019625456	-0.0374072699	0.088373678	0.0908372113	0.0401963352	0.0585949427	-0.1485479142	-0.1564956702	0.034766358	0.0120832443	-0.0373366721	-0.0260776681	0.1141477948	0.0071909659	0.1006306951	-0.0555792458	-0.1099691093	-0.1342067245	-0.0877169679	0.1938827857	0.0361050221	0.0051033291	0.0597762811	-0.0111239004	0.1195677069	0.0491707887	0.0315485215	-0.0209800103	0.0447106949	0.0291008433	-0.0226277904	-0.0537775575	0.0310661775	-0.0429520812	0.0164690685	0.0349827105	-0.0177524482	-0.0381349328	0.0102370581	0.1176400376	-0.0603586202	0.0619029397	0.0117537899	0.0197228277	0.0398761047	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0375252	-0.0055153999999999	0.00140814063504	3.0419637159999964e-05	-0.0208578	-0.0047658	0.0004350478208399	2.2712849640000007e-05	-0.188914	9.000000000009e-06	8.100000000016202e-11	0.035688499396	-0.00255034	0.0	0.0	6.5042341156e-06	-0.000975941	0.0001486889999999	2.2108418720999976e-08	9.52460835481e-07	0.000507383	0.000150452	2.2635804304000008e-08	2.57437508689e-07	0.0
278.9375141611609	0.8201733182019098	0.6726842718903311	77806.13680640783	392.6004394474173	0.9813871890601716	154135.10505430517	0.9631208148514252	286.48403138096336	0.1579746449343133	82073.1002362888	0.0249559884421223	300.3413141586784	248.62533161922485	0.930839	14.995539	0.0422386	0.0287386	0.098743916	-0.0306588054	-0.085659487	-0.0073238016	-0.0028928443	-0.041640406	-0.151895846	0.0710554713	0.0344560459	-0.0234799922	0.0763704194	0.0619018913	0.0145084713	-0.0377400606	-0.0557187168	-0.1494855567	0.0078379647	-0.0796156415	0.001076687	0.0508145821	-0.0176815668	0.0272427345	-0.0233814444	0.0370644008	-0.0688050804	0.0737345343	-0.1672212579	-0.1109253146	0.1519873883	0.079055963	0.0593609525	-0.0447137206	-0.0217047165	-0.1560786074	-0.0203770485	0.045186119	-0.1284366031	-0.1902719446	0.0986168665	0.0633033748	0.0078131803	-0.2204467762	0.0834230156	0.0054606914	0.0535424255	-0.0917856312	-0.0737622309	-0.0382550385	0.0640200462	-0.0320423503	0.0490523816	-0.0593500272	-0.0857183611	0.0641399134	-0.0745880166	-0.0080555849	-0.1297580215	-0.0414067152	0.0323626319	-0.0067514372	-0.0589550278	-0.0006547364	0.0559368275	0.0472055209	-0.1262451319	0.0297850919	-0.0157084704	-0.0559481808	-0.0423719286	0.0850736334	0.0043574648	0.0368186526	0.019201019	-0.0425733939	0.1436841246	-0.0745665891	0.1402616277	-0.1446564848	0.1044277926	-0.0291643185	-0.1501382387	0.0508238277	-0.0359946924	-0.0917321832	-0.0017282691	-0.0090974447	-0.0054231074	-0.0077488021	-0.0084502655	0.0241408954	0.0151192481	-0.0002568931	-0.1879795509	0.1024296576	0.0543097161	0.0360700124	-0.0284012977	-0.0452231932	0.0287705445	0.1305161666	0.0659235604	0.0131565809	0.0328334912	0.0200733382	0.1188401879	0.1412528113	0.0470637165	-0.0027660284	0.0654520881	0.0117481393	0.0920318069	0.0185399219	0.0695773304	-0.0041454751	0.0670106392	-0.0127210165	0.0260840754	0.0010382812	-0.0469901871	-0.0165471822	0.0508869157	0.061795693	0.0649595046	-0.0319929116	-0.0236352176	0.0978339276	-0.0706384933	-0.0246508491	0.0632464038	-0.1164246398	0.0455633492	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0437221	0.0061968999999999	0.00191162202841	3.8401569609999976e-05	-0.0185474	0.0023104	0.0003440060467599	5.337948160000003e-06	-0.190714	-0.0017999999999999	3.239999999999986e-06	0.0363718297959999	-0.00203705	0.00051329	2.634666241e-07	4.1495727025e-06	-0.00102377	-4.782899999999999e-05	2.2876132409999994e-09	1.0481050129e-06	0.00058489	7.750699999999999e-05	6.007335048999998e-09	3.420963121e-07	0.0
279.5635633022256	0.6260491410646978	0.3919375270278458	78155.7859262375	393.031367860078	0.4309284126607053	154473.65612196393	0.1856992968382751	287.17437312709643	0.6903417461330719	82469.1205809408	0.4765717264540586	300.6887369522882	250.4873466140901	0.843947	13.595737	0.0773356499999999	0.047165	0.0780569343	-0.0431971679	-0.0729229138	-0.0112071905	0.03297355	-0.0148841778	-0.1360758014	0.0133940378	-0.0216837375	-0.0833061198	0.0272088357	0.0067655421	0.0866936215	-0.014732019	-0.0286147248	-0.1024397308	-0.0167776721	-0.0546516685	0.1119379269	0.028296967	-0.0640547016	-0.1221538535	-0.1098599883	-0.1063234017	0.0069993786	0.013998373	-0.0197231128	-0.0602188994	-0.0606589412	-0.1556808399	0.0172408126	0.028332655	-0.0568414099	0.0706609993	0.0024123632	0.0076257078	-0.0587087941	-0.0271852424	-0.1057676752	-0.152399407	0.0205429004	-0.0058847013	-0.0220055319	0.0298966142	-0.0207567854	0.048917375	-0.14809837	0.0471537038	0.1438193534	0.0436985086	-0.0117511357	-0.1448543891	0.0489496802	-0.0914859428	0.0322286115	-0.0518861035	0.0352254695	0.0209650131	-0.0488347231	-0.188304557	-0.0308010084	0.0528441126	0.0487879044	0.0138929794	-0.1427572417	-0.0394174699	-0.0365469394	-0.0649842975	-0.0647205952	0.072760099	0.0268720951	-0.0119314348	0.0953245244	-0.123143596	-0.0070861983	0.044394052	0.1077340853	-0.0151195708	0.0499798774	-0.1028432072	0.0738022045	-0.0042935771	0.0362332683	0.0414768755	0.0337563487	0.0447635642	0.0811213776	0.1036742194	0.0749685554	-0.0382371569	0.0268472299	0.1010441055	0.1226492629	0.0122350694	-0.0895707105	-0.0362432274	-0.0449318364	-0.090171627	0.0749161006	-0.0639035007	0.1326994598	-0.0465367501	-0.0131784212	0.0344642534	0.1235333029	-0.1019581604	0.0895524326	-0.0142354683	0.0816704597	0.024978098	0.0544183377	0.0080344932	0.074267613	-0.0034154335	0.0364441354	-0.0099296967	0.0337183626	0.00148503	-0.0602670254	0.0189050338	0.0769269064	-0.0048775574	-0.0002210127	0.02299903	-0.0091214915	0.0384331037	-0.0640405762	-0.0054870197	0.056952302	-0.0692858544	0.0373509445	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.035674	-0.0080481	0.001272634276	6.477191361000004e-05	-0.0151164	0.0034309999999999	0.00022850554896	1.1771760999999988e-05	-0.170321	0.0203929999999999	0.0004158744489999	0.029009243041	-0.00275499	-0.00071794	5.154378436000004e-07	7.5899699001e-06	-0.00112463	-0.0001008599999999	1.0172739599999984e-08	1.2647926369e-06	0.000675361	9.047099999999995e-05	8.185001840999992e-09	4.5611248032100005e-07	0.0
280.0074234114657	0.44386010924012	0.1970117965746512	78404.15716552784	393.7389919579948	0.7076240979168347	155030.3937880979	0.500731863952614	287.28315042318457	0.1087772960881352	82531.6085170701	0.0118325001442458	300.8294487208086	255.1470775119047	0.881294	14.197391	0.0520858	0.030378	0.0411080038	-0.08179843	-0.0370155451	-0.0745105874	0.0362978518	0.0034920583	-0.1373830522	0.0593926703	0.0959284325	-0.1401075434	-0.0151598524	-0.0057081025	0.1108461412	0.0528846191	-0.0697663383	-0.1030616301	0.061872191	0.0490944554	0.0598463596	0.0646773988	-0.0345488349	-0.0278979084	0.0338680955	-0.0650942444	-0.0271873304	0.0177181101	-0.0468729369	-0.1637062214	0.0110114752	0.0501676112	0.1019630603	0.0145797765	0.004555365	-0.0214989466	-0.1076256275	0.0051411261	0.0496783861	0.0033408089	0.0014154529	-0.0165418187	-0.0366526176	0.0557771352	-0.0460379684	-0.0664145575	0.0400599077	0.0072496525	0.0217051928	0.0745254755	0.0284486601	0.0767535456	-0.0870522972	-0.1395484261	-0.0276243931	-0.0571268629	0.0658518894	0.0902802573	0.0335097799	-0.0215244045	0.0393135794	-0.0101770181	-0.0517904998	0.0687939582	-0.0158064091	0.0095019325	-0.1400078769	-0.0143046635	0.0799552225	-0.1287922101	0.0196535303	0.0796810274	0.0842507866	-0.0678660316	0.0149998011	-0.0365787468	0.01797797	-0.019299618	0.0813977049	-0.0586350919	0.0825965917	0.022053471	0.0314218185	-0.0156035152	-0.0026965394	-0.0993586334	-0.0898754754	-0.0143506252	0.008580292	-0.0394117503	-0.0540111042	-0.1031682066	-0.0760033759	-0.0116588324	-0.0327270842	-0.0227721644	-0.0051324948	-0.0706691553	0.0716821181	-0.0364613772	-0.016942542	-0.0131582171	0.0408310707	0.0982567336	0.0293268618	0.0137478246	0.069954559	-0.062339429	-0.002112607	-0.0080157478	0.0450145777	0.0225529709	0.0750595789	0.014414561	0.0945132365	-0.002860645	0.0321209539	-0.0260071745	0.0444281461	-0.0360059489	-0.0603485174	-0.0067827852	0.0067688098	-0.0340322274	-0.0348377064	-0.0019510307	0.0118338666	0.0283103103	-0.0592589907	0.0535284436	-0.0364762794	-0.0067692557	0.0041480926	0.1015862008	0.0985712473	0.0936124309	0.0868075413	0.0356838	9.80000000000425e-06	0.00127333358244	9.604000000008329e-11	-0.0108008	0.0043156	0.0001166572806399	1.862440336000001e-05	-0.199638	-0.029317	0.000859486489	0.039855331044	-0.00295588	-0.00020089	4.0356792100000004e-08	8.7372265744e-06	-0.00112463	0.0	0.0	1.2647926369e-06	0.000507383	-0.0001679779999999	2.821660848399998e-08	2.57437508689e-07	0.0
