global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
316.3315799046742	n/a	n/a	100065.66844498728	435.2974782534135	n/a	n/a	189483.894573781	301.9884273523285	n/a	n/a	91197.01025473257	319.87200207081327	333.5023782596584	n/a	n/a	n/a	n/a	-0.0079955071	-0.0883882713	-0.1109754085	0.1336287158	-0.0240989655	0.1131287025	-0.0890042136	-0.0345189894	0.0443231558	-0.0962673047	0.0595133921	-0.0668949425	0.1166566933	-0.1022257786	0.0528550553	-0.0045963125	0.0972084796	-0.0361758823	0.0145126431	-0.0932251473	-0.0655820513	0.0626470396	-0.12039285	0.0470464455	-0.0450110884	0.0208706872	0.0087883426	-0.0255129519	0.2122213717	-0.023885848	0.0857013598	-0.1002009208	0.1186767607	-0.0085320164	0.0808391373	0.1758403098	-0.0033550797	0.0310737044	-0.0303364676	0.0556395006	-0.0374154456	0.0522014936	-0.0672043418	0.1042030267	-0.0324060598	0.1013496762	-0.1261809601	0.0831265737	-0.0259936264	0.0501614274	-0.1262418569	0.0069116366	-0.0149288081	-0.0284231157	0.0476675678	-0.0440361498	-0.1213349868	0.1378403064	-0.0759227958	-0.0537443202	0.0346549896	0.0149014392	-0.1115739121	-0.0177104682	0.0688579393	0.0009012177	0.0365873644	-0.0630899918	0.0623801105	0.0596145657	-0.0591359494	0.0824358741	-0.0314851144	0.018178028	-0.0196135868	0.1379160262	-0.1608893572	0.0330388814	-0.1614656001	0.190055024	-0.0183381811	0.0424476802	-0.0602034864	0.0202939717	-0.0444158994	0.1353366152	-0.0235823597	0.0566301396	-0.0463096994	0.0260455595	-0.0764769708	0.0018947541	-0.1636998243	0.042882899	-0.1147913424	0.0504585069	-0.0153898414	0.0924256944	-0.0338015718	0.0736621296	-0.1422817828	-0.0195255741	0.0270274827	0.0533812238	-0.012944358	0.0117954646	0.0568809779	-0.0358119019	0.1814225869	-0.0402900326	-0.010714183	-0.0612839932	0.0238331313	0.0170694277	-0.0761954421	-0.0627894326	0.1017856327	0.0340599326	0.0071158142	-0.0657471513	0.0372077435	-0.1225810411	0.0118854071	-0.0768451763	0.0651609195	-0.1017327084	0.0209564144	-0.3389549687	0.0293057	-0.1026956992	0.0244599521	-0.0024472877	0.0639991452	-0.0411490151	0.2491233115	-0.0128384205	0.0063466154	-0.0473576236	0.0161135182	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0265471	n/a	n/a	0.00070474851841	0.26372	n/a	0.0695482384	n/a	-0.0632887	n/a	n/a	0.00400545954769	-0.00170025	n/a	n/a	2.8908500625e-06	-0.00298064	n/a	8.8842148096e-06	n/a	-0.000401136	n/a	n/a	1.60910090496e-07
314.7027080515713	-1.6288718531029076	2.6532235138309	99037.7944549925	431.6924694602927	-3.60500879312076	12.996088398477998	186358.38818872577	301.6124470109204	-0.3759803414080807	0.1413612171253369	90970.06819191526	319.3604603661357	329.6932124704132	1.26417	33.387867	0.1306637	0.0850685	0.1091560344	0.0148780618	-0.0818805524	-0.0805229051	-0.0809656864	-0.0914206806	0.0130526975	0.1499238494	-0.0136677315	0.0484788623	-0.036204862	0.0251103982	0.024946446	-0.0654542377	-0.0132156739	-0.0506827981	-0.0193726869	-0.0508820347	-0.1111009782	-0.1216448318	-0.0847015668	0.0851413186	0.0220654121	-0.0575647523	0.0092346079	0.0644502388	-0.068724063	-0.061534837	0.1205123347	-0.0186007614	0.0262881215	-0.0303585173	0.102390655	0.046533095	-0.0417192368	0.0673828216	0.0118016014	0.0504158998	-0.0047811276	-0.0796735952	-0.0241178161	-0.0541039404	-0.0346441803	-0.0246763832	0.1144491076	0.0409539824	0.1071712973	0.072234909	-0.008182583	-0.0121215009	-0.0250122049	0.0723249734	-0.0193968122	-0.0884022039	0.0327989989	0.0333018529	0.0572779235	0.0977348011	0.1253830255	0.0354016349	-0.0586570877	0.0552482156	-0.1401264386	-0.1034121147	-0.1864143276	0.0550979848	-0.0519747924	-0.0875882052	-0.0617116353	0.0387443655	-0.0894700134	0.0614635911	0.0267572209	0.023462715	-0.0749315335	0.0520908337	0.1466072316	-0.1769870204	-0.1229442957	0.0935286996	0.0035698498	0.0166063403	0.0570703549	0.0398806571	0.0254129361	0.1013543053	-0.0037394487	0.0800009252	0.0003271997	-0.1183382911	0.1192169712	0.0405715432	-0.1571821762	0.06601781	0.0810009779	-0.0456574998	-0.0092747438	0.0526606441	-0.011264744	-0.0201470264	0.0547757328	-0.1167303576	0.0072827355	-0.0536714937	-0.036743822	-0.0903197907	0.0876137186	-0.0039731919	-0.0548972991	0.0014203778	0.0634543549	0.0352269958	0.0098234144	-0.0196063524	0.062640463	-0.0928461334	0.1589514214	-0.081347293	0.0060147557	0.0679121513	-0.0260286779	0.0499742395	0.0266034327	0.0055553274	0.022471218	-0.1146612115	-0.03123488	-0.2579079839	0.0807135688	-0.043858054	0.1424003274	0.044976939	0.0073007589	0.094189866	0.1170282544	-0.1927860441	-0.0205692359	-0.0086793448	0.021392244	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0267805	0.0002333999999999	5.447555999999916e-08	0.0007171951802499	0.342583	0.078863	0.117363111889	0.006219372769	-0.0606389	0.0026498	7.021440040000004e-06	0.00367707619321	-0.00230013	-0.00059988	3.5985601440000013e-07	5.290598016900001e-06	-0.00260217	0.00037847	6.7712887089e-06	1.432395409000001e-07	-0.000401136	0.0	0.0	1.60910090496e-07
314.148014037414	-0.5546940141572918	0.3076854493419298	98688.97472365123	429.9281892101686	-1.7642802501241022	3.1126848009779646	184838.24787753457	301.864684108837	0.2522370979166339	0.0636235535654055	91122.28751212796	319.4215872234578	324.06664349126805	1.223619	32.316887	0.044316	0.0287979	-0.0647518118	0.1027688254	0.0239757828	-0.1162417877	-0.1548787287	0.0896777894	0.0593262092	0.0205063933	0.1034455733	-0.0105675607	-0.0323862314	-0.0502077477	0.0436307101	-0.059709068	-0.0441529436	-0.0909689894	-0.0251066641	0.0430692225	-0.0175248849	-0.1611897429	-0.0732125331	0.0734510224	0.010082737	-0.097742549	0.1115785819	0.035810588	-0.0084308413	-0.1042762199	0.1452461462	-0.0362676627	0.0897469332	0.0016032565	-0.1045342913	-0.0245008789	-0.032453097	-0.0142091352	-0.0487693609	-0.0231610651	0.0050726629	-0.032193683	-0.0723570971	-0.1308207197	-0.0075084736	-0.0476973468	0.017830274	-0.0744485677	-0.1511926235	-0.0014493688	0.0009747417	-0.0219162499	0.1051901786	0.0234557061	-0.1087796724	0.0411966794	0.0759153593	0.11478494	-0.1038643101	-0.0629592774	0.0664019986	0.092039197	0.001485126	0.0397523044	0.0738359985	-0.0595475784	0.0538199708	-0.0244619104	0.0714711619	-0.0708382606	-0.0518253023	0.0818520926	0.0599481741	0.0527574926	0.0691333338	0.0742550639	-0.0356931239	0.1470988669	0.0028780824	-0.0194158795	-0.0048449462	0.0898166913	-0.0124659178	-0.0512460747	0.0454229228	0.0690087264	0.0264043238	-0.0649387762	0.0011479098	-0.0184551236	0.0298886512	-0.0568735166	0.0214689816	0.0959653993	0.0703952779	-0.0160237128	-0.0275186277	-0.0362488912	-0.0661521238	-0.0169510107	0.0988192108	0.0633757238	0.1185398884	-0.0715563268	-0.0809467024	-0.0062798771	-0.0240423175	0.0345474918	-0.0012890903	-0.1335265788	-0.0613355628	-0.030039915	0.044317636	0.0484504283	-0.1496387285	0.0358207069	0.0176957549	-0.1027753328	0.1304465195	0.1269486494	-0.026225633	0.0367197382	-0.0532763302	0.0346983441	0.049049543	-0.0261237816	-0.0532095604	-0.0545854287	-0.0455299694	-0.113364877	0.0067772119	-0.1147152832	0.0275252046	0.157136733	-0.0200790393	0.1085995773	0.1392847515	0.1435615324	-0.0048593969	-0.0581680268	-0.0303468289	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0267949	1.4400000000001216e-05	2.0736000000003507e-10	0.00071796666601	0.354959	0.0123759999999999	0.125995891681	0.0001531653759999	-0.0615175	-0.0008786	7.719379600000003e-07	0.00378440280625	-0.00184776	0.00045237	2.046386169000001e-07	3.4142170176e-06	-0.00277074	-0.0001685699999999	7.677000147599998e-06	2.8415844899999943e-08	-0.000401136	0.0	0.0	1.60910090496e-07
314.60594038574715	0.4579263483331601	0.2096965404977427	98976.89772600029	431.0430120066525	1.1148227964838495	1.242829867560071	185798.0781997672	301.6058655600046	-0.258818548832437	0.0669870412197286	90966.09814019957	318.9597136335767	322.8345480943749	1.210533	31.971291	0.0632013999999999	0.0414391	-0.0817974971	-0.0924997578	0.0125574427	-0.0281636337	-0.1850850555	-0.0808013844	-0.0522591135	0.0177573303	0.1162015805	-0.0053168207	-0.1091697184	0.0354175293	0.0409410553	0.0499625908	0.007328343	-0.0395011253	-0.099267066	-0.0172206385	-0.0332190316	-0.1068565339	-0.0810180157	0.0643337678	-0.0838730119	0.054625246	0.0469859408	0.036997474	0.0402903027	0.0007677797	0.1972062654	-0.0311484539	-0.0085798522	-0.04200701	-0.0624319482	-0.1333212941	0.0500293669	0.082328676	0.1675995415	-0.0057233526	0.0494214944	0.016901639	0.0524531976	0.02390912	-0.0819168483	0.134804733	0.0092140117	0.0386089531	0.0703345916	0.0863797979	0.0063168319	0.0442135612	-0.0870979207	0.0370319749	-0.0452234654	0.0202634194	0.0830823917	-0.0985312129	-0.0387678125	0.014200108	0.1299502495	-0.095922051	0.0814338923	0.0524935107	-0.0220858988	0.1139039022	0.1020711616	0.0302186267	0.0577136554	-0.0796693717	0.0732723789	0.1056051955	0.017080009	0.0129046653	-0.0400039555	-0.0185165137	-0.12020241	0.1375617001	0.0217091191	0.0397073049	-0.1294848569	0.0353884973	-0.0556298052	-0.0074982647	0.0176751469	-0.0268953307	0.0844770822	-0.0868679711	0.0106077191	0.1810871428	-0.0465680411	0.0769492904	-0.0036433703	0.0091495257	-0.0979526441	-0.0083302315	-0.0316862423	0.0185931146	0.0129742581	0.0773692823	-0.0209810308	-0.0022546644	-0.0948119424	0.0079816679	0.0399197964	0.0653873919	0.0046540003	0.0583119165	-0.0469715025	0.0416635939	0.1199998336	-0.1100031348	0.0287033901	-0.0839756464	-0.0298224129	-0.0909374486	0.0059453287	-0.1041962113	0.1516151936	0.0279235071	-0.0885741966	-0.1108580813	-0.0334845286	0.0227197411	0.0613698176	-0.0031274342	-0.0748687264	-0.0630802056	-0.0505406712	-0.0729311795	0.0199103893	0.0776863969	-0.0361269019	0.1351720736	-0.0975985142	0.0312148397	-0.054654111	0.0600327557	-0.1033650134	-0.009075592	-0.0002133568	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0267731	-2.1799999999998904e-05	4.752399999999521e-10	0.00071679888361	0.394595	0.0396359999999999	0.1557052140249999	0.0015710124959999	-0.0629873	-0.0014697999999999	2.1603120399999805e-06	0.00396739996129	-0.00206346	-0.0002157	4.6526490000000046e-08	4.2578671716e-06	-0.00260217	0.0001685699999999	6.7712887089e-06	2.8415844899999943e-08	-0.000458342	-5.720599999999997e-05	3.272526435999996e-09	2.10077388964e-07
315.53178052590874	0.925840140161597	0.8571799651344456	99560.30452185024	430.826633169311	-0.2163788373414945	0.0468198012492569	185611.58784800404	301.9635614341412	0.3576958741365956	0.1279463383743432	91181.99243399037	319.2181050222033	326.7924775316933	1.158685	30.601919	0.0735363999999999	0.0447249	0.1075347631	-0.0402491213	-0.0295322574	-0.1239415118	-0.0674476708	0.0090343851	-0.0695836841	0.1025893697	0.0004875901	0.0254121978	-0.0759102251	0.0088666193	0.0221679144	0.0987283809	0.0039436751	-0.046255009	0.0175620565	-0.0174434867	0.0460789118	-0.0868913013	-0.0795991318	0.099211572	-0.0007824256	-0.0469755321	0.0067140182	-0.0436303379	-0.1120632563	-0.0073750019	0.1645419935	-0.1362962379	0.0021076197	-0.0212747422	-0.0231768411	0.0486264949	-0.1274196524	-0.077970967	-0.0315611647	0.0241535889	0.0180538001	-0.0658035344	-0.1181122329	-0.0126180098	-0.0880444755	-0.0262591217	0.0721033661	-0.1493557904	0.0625668398	-0.0099243543	0.1646746627	-0.1123305611	-0.0286420365	0.0282938471	0.0029439126	-0.0198264211	-0.1452567526	0.0313129791	0.059743638	-0.1143293933	0.0122838282	-0.0187918296	-0.0987618014	0.097549679	0.0616174202	-0.0688561226	0.0442115508	0.0201628335	-0.0949321543	-0.0779433754	-0.0058372863	0.0453658827	-0.1109939992	0.0179923176	0.0858857093	-0.0761261201	-0.1011584873	0.1414977178	0.0847585973	-0.0794260191	0.0219946457	0.0224357009	0.0506061395	0.0481048024	0.0765436782	0.1124490674	-0.0605362621	-0.0632853128	-0.0403585779	-0.1203759479	0.119130572	-0.0731568607	0.0590530195	0.078276862	-0.0798149817	-0.0761602674	-0.0575083006	0.0161837047	0.1139713623	-0.0758585788	0.0026759334	-0.1210291522	0.0908009141	0.0651499071	-0.1082678685	-0.0032118036	0.0190070543	-0.02679827	-0.0763741205	0.0650042759	-0.0587290276	-0.029093814	0.0620898798	0.0439333005	0.0029447654	-0.08607695	-0.0475345728	-0.1042793112	0.1558188776	-0.0956348585	-0.0071880627	0.0326077948	-0.0748659209	-0.0054993822	0.0632205298	0.0491936712	-0.040728814	-0.036146996	-0.0146328912	-0.0177036838	-0.0729805278	0.0112133011	0.0274474271	0.1158381111	-0.0855865474	0.0285770856	-0.0580290479	-0.2213455331	-0.1288557032	-0.0471776645	-0.0041084959	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0267805	7.399999999997686e-06	5.4759999999965756e-11	0.0007171951802499	0.359198	-0.0353969999999999	0.129023203204	0.0012529476089999	-0.0571416	0.0058456999999999	3.417220848999995e-05	0.00326516245056	-0.00147494	0.0005885199999999	3.463557904e-07	2.1754480036e-06	-0.00260217	0.0	6.7712887089e-06	0.0	-0.000401136	5.720599999999997e-05	3.272526435999996e-09	1.60910090496e-07
315.5498419833468	0.0180614574380797	0.0003262162447875	99571.70277571517	429.4937626390837	-1.3328705302272963	1.7765438503483946	184464.8921458776	302.32909521800474	0.3655337838635546	0.1336149471456078	91402.88181533736	319.636926944499	326.44942351922504	1.145252	30.247133	0.0967280999999999	0.0482896	0.0093231898	0.115259447	-0.0444604721	0.0775191624	-0.1024039457	-0.0031775369	0.1286778447	0.0448860176	0.0286371806	-0.0332274217	-0.0512629156	-0.073575677	0.0703712216	0.0592584207	-0.006356852	-0.0031611432	0.0133914054	-0.0246755665	0.0092751337	-0.0006293999	-0.0584057921	0.0811613762	0.0046023729	-0.0918409684	0.037104376	0.0534598291	-0.0472682986	-0.0269203335	0.0609772954	0.1244594845	0.026553736	0.0367302606	0.0281034716	0.0546833063	0.021688775	0.057205868	0.0370120104	-0.0304883122	-0.1129852891	-0.0248727649	0.0972235096	-0.0892681215	-0.0177957132	-0.0391418209	-0.0261472864	0.0219445168	0.0299320771	0.0117490883	-0.0899029438	-0.0222530498	-0.0793210748	-0.0765276886	0.0066499956	0.0420580288	-0.0179616533	-0.129867178	0.0287743556	-0.0140079995	-0.0822617209	-0.0311295517	0.0572936766	-0.018994986	-0.0190225003	0.0225849396	-0.1587879686	0.136515897	-0.0718895337	-0.0624898341	-0.1174987459	0.0596217508	0.0100689135	0.0665645732	0.044141252	0.0539733853	-0.0366123336	0.0269977027	-0.0638745465	0.0314996379	-0.0811892825	-0.0750950419	0.1018241322	-0.0207568444	-0.0454302945	-0.0230543425	0.0595505501	0.0811710885	0.0295100082	0.0785062957	0.0616550166	-0.0157506419	-0.0552447411	0.1051334182	0.0361994387	-0.0173642939	0.0125112798	-0.046918278	0.0127478367	-0.0741903369	0.0033531772	0.0552909904	-0.0660029843	-0.1271456615	-0.0169039587	0.0229178036	0.0759468718	-0.0119242647	-0.0372599179	0.0795159986	0.0023491983	0.021022206	-0.0533451928	-0.0826635941	0.1526591245	-0.1118497808	-0.0441733277	-0.1037290039	0.1094789381	0.0690501766	0.0105371582	0.0678445254	-0.041605775	0.0381063649	0.053452838	-0.0010814771	0.0130136815	-0.0559970304	0.0504613171	-0.0372808923	0.0399288497	0.1105923781	-0.0087680537	0.0874723494	-0.0732502901	-0.0216626474	0.0291781706	0.0544490998	0.1083476707	-0.0688482802	-0.0353471795	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0496321	0.0228516	0.00052219562256	0.0024633453504099	0.346886	-0.0123119999999999	0.120329896996	0.0001515853439999	-0.0858630999999999	-0.0287214999999999	0.0008249245622499	0.0073724719416099	-0.00111955	0.00035539	1.263020521000001e-07	1.2533922025e-06	-0.00290364	-0.0003014699999999	8.4311252496e-06	9.088416089999992e-08	-0.000401136	0.0	0.0	1.60910090496e-07
315.4891772183123	-0.0606647650345166	0.0036802137166931	99533.42094188769	432.74092153063856	3.247158891554875	10.544040867003885	187264.70516718627	302.60671278390765	0.277617565902915	0.0770715128978593	91570.82262188238	319.9711104276855	327.0222770687001	1.079832	28.519348	0.0616523	0.0374076	-0.1036091964	-0.0009761077	-0.0373600245	-0.0574764732	-0.1159714964	-0.0252850515	0.0011890734	-0.0113263066	0.0929371465	-0.048804331	-0.0905922737	0.0417203463	0.0930229408	0.0043587012	0.0319643664	-0.0863953531	-0.1245257634	0.0425703281	0.0221857104	0.0345623583	-0.0512044246	0.0874108179	-0.0992416361	-0.0711904556	-0.007598881	-0.0113477411	0.040673757	0.0814393281	0.0867398627	0.1373728235	-0.0499456631	0.0137790946	-0.0672861676	0.055190525	0.0770980563	0.0067029416	-0.0442231579	-0.021193832	-0.0584416043	0.0659373205	-0.0201777035	-0.0002654668	0.0124149157	-0.0399700832	-0.1577601082	0.0776077588	0.0200452098	-0.1800497845	0.0552236344	-0.0574337283	-0.0437749611	0.007751029	0.1167179149	-0.1364043939	-0.0066675079	0.072760533	0.0452445423	0.0428639332	0.042299699	-0.0360281267	-0.0658424103	-0.0145011113	0.0609166346	-0.0357213979	0.0366579748	-0.0284847661	0.1127787375	-0.0497382327	-0.0050019484	0.1077432791	0.0364245928	0.0964393762	-0.0333402696	-0.0223494501	-0.0506198427	0.0001814463	0.0251483451	0.0220854633	-0.0911029555	-0.0884272367	0.0358787105	-0.0717766517	-0.0441073728	-0.0334480031	-0.1164395624	-0.0898035719	0.0020628828	0.0499833797	-0.1156988182	0.069983271	0.0116619846	0.1222770043	0.0724706705	0.0662486934	0.0114435522	0.0328904266	0.0017826743	-0.1333539936	-0.1580249684	-0.0685755228	0.0034070011	0.0285141012	0.029781371	-0.0173384432	-0.0367300594	-0.0089258799	0.1571757722	-0.0164867939	-0.0257688788	0.0283445438	0.1271633448	0.0667165322	-0.0249883703	-0.0201300761	-0.0314916344	-0.1040608893	0.0776342519	0.0780455194	-0.0476547231	-0.0569751256	-0.0371373401	0.0723134643	0.0598651513	-0.0180602741	0.0084993993	0.0113311502	-0.0444573437	0.004834734	-0.00434282	-0.0302128056	-0.0774822346	0.1227778898	0.064974751	0.0445089131	0.0194450294	0.0523713817	0.0780639501	-0.0099557813	-0.0540512604	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0496124	-1.9699999999997497e-05	3.8808999999990136e-10	0.00246139023376	0.328499	-0.018387	0.1079115930009999	0.000338081769	-0.057691	0.0281720999999999	0.0007936672184099	0.0033282514809999	-0.00111955	0.0	0.0	1.2533922025e-06	-0.00260217	0.0003014699999999	6.7712887089e-06	9.088416089999992e-08	-0.000401136	0.0	0.0	1.60910090496e-07
315.7888288765332	0.2996516582209096	0.0897911162745408	99722.58444321238	432.1209907056477	-0.6199308249908313	0.3843142277738127	186728.5506084305	302.6789053173168	0.0721925334091224	0.0052117618800272	91614.51972408922	319.7739435561184	327.6212053889139	1.050346	27.740597	0.0257782499999999	0.0177196	-0.00493391	-0.094731492	-0.0460733776	-0.0401374061	-0.0714649346	-0.0739770504	-0.0804137682	0.0245322465	0.0354222338	-0.0240968332	-0.026695491	0.0046959223	0.0165256693	0.0744494568	-0.0560560881	-0.0022085001	0.0241200543	0.0273501237	0.0465533507	0.0228402385	-0.0542878684	0.0792254693	-0.1648721616	-0.0064615007	0.0181653831	-0.0947033485	-0.0355505058	0.113361364	0.0708466663	0.0155983308	-0.069266413	0.0321989487	-0.0244244274	0.0050793623	-0.0758108522	0.030264694	-0.0323088062	0.0231431894	0.0637893755	0.0260918358	0.01364623	-0.0345175504	0.0259100008	-0.0452999943	-0.0754176185	-0.0055135542	-0.0192581415	-0.0569564326	-0.0266456935	-0.0056951189	-0.1052675637	-0.1072014231	0.0630602061	0.0068196413	0.0977787652	0.2197829484	0.0541461339	-0.0443434284	-0.0912453303	0.0088623423	-0.0349041245	-0.0633397711	0.0852226009	0.0748941316	-0.0420572278	-0.07710628	0.0273329187	-0.0588981735	0.0823123859	0.0985645185	-0.0195469191	0.0609093476	0.0024055486	-0.1377166216	-0.1026883237	0.0081663106	-0.0320931166	0.1097092408	-0.0420579925	-0.0580983467	0.0052548034	0.0601673368	0.05356473	0.0214072181	0.0061484945	0.0462372668	0.0155264428	-0.0194313018	0.0478862344	-0.0377935033	0.0110205557	0.0428652268	0.0614049043	0.0715459835	-0.0377400079	0.0163565888	0.0074017941	-0.0316154008	-0.1747274719	0.0589889764	-0.0649503885	0.0348576769	0.0848560839	0.0192516522	-0.0120563771	0.0088866837	-0.0028874349	-0.0557222314	0.1213719444	0.0752447679	-0.0748043236	0.0520451084	-0.0833890442	0.0477801463	-0.0140403867	-0.0921381177	0.0914214099	-0.1048662872	-0.0343769361	-0.0761441827	-0.0374272756	0.0139735615	0.0447569814	0.073223171	0.0329858388	0.0192178627	0.0262868023	-0.0364408163	-0.1426692007	0.0540083486	-0.0080219606	-0.0305655319	-0.1076283426	-0.0964520111	-0.0147187532	-0.1419736479	-0.1162087619	0.0658662604	-0.0047723537	0.1018099433	0.0994583687	0.0955792289	0.090232103	0.0496086	-3.799999999998249e-06	1.4439999999986696e-11	0.00246101319396	0.311053	-0.0174459999999999	0.096753968809	0.0003043629159999	-0.0549796	0.0027113999999999	7.351689959999977e-06	0.00302275641616	-0.00106186	5.769e-05	3.3281360999999996e-09	1.1275466596e-06	-0.00260217	0.0	6.7712887089e-06	0.0	-0.000455787	-5.465099999999996e-05	2.986731800999996e-09	2.07741789369e-07
