global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
322.4899970077911	n/a	n/a	103999.79817008512	449.2031187020585	n/a	n/a	201783.44185165563	310.3095551125285	n/a	n/a	96292.01999413538	329.89529810809574	331.26818221370746	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.00378387	n/a	n/a	1.43176721769e-05	0.0089643299999999	n/a	8.035921234889823e-05	n/a	-0.00573564	n/a	n/a	3.28975662096e-05	6.11256e-05	n/a	n/a	3.736338975359999e-09	-0.0	n/a	0.0	n/a	0.000102252	n/a	n/a	1.0455471504e-08
322.5006655000224	0.010668492231332	0.0001138167264899	104006.67924795736	452.0200227595915	2.8169040575330087	7.934948469345928	204322.1009755816	310.56981716199806	0.2602620494695316	0.0677363343940809	96453.6113320369	329.6913233598705	342.52111398325184	1.26517	32.515602	0.15237382	0.0805941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0234379	-0.02722177	0.0007410247619329	0.00054933515641	-0.0152097	-0.0241740299999999	0.00023133497409	0.0005843837264408	0.0406065	0.04634214	0.0021475939397796	0.0016488878422499	-0.000769672	-0.0008307976	6.902246521657599e-07	5.92394987584e-07	0.000159668	0.000159668	2.5493870223999995e-08	2.5493870223999995e-08	0.0	-0.000102252	1.0455471504e-08	0.0
321.5396833986434	-0.9609821013790452	0.9234865991708854	103387.76800009982	447.2001241524606	-4.819898607130881	23.231422583022205	199987.95104197616	309.5297523917683	-1.040064770229776	1.081734726273117	95808.6676157094	328.87315058647005	330.63317949309067	1.307852	33.612576	0.25483639	0.180883	-0.0766526928	0.0006868269	-0.0902543258	-0.0273978411	0.1070230781	-0.0560714225	-0.081744614	-0.0396991196	0.0824527902	-0.1186713673	0.0139696603	-0.1053430088	0.0491420653	-0.0233912044	0.0614122089	-0.0752710657	-0.1397686058	0.0270942527	-0.0976913403	0.1342524012	-0.0753259905	0.06204386	-0.0822741474	-0.1825887822	0.0633385434	-0.0728106979	0.1480210575	0.1172324034	-0.1238186539	0.0894758913	-0.1018566381	0.0032345279	-0.024397897	-0.0049695115	0.0102853801	-0.1103881003	0.0596125457	-0.0484876435	0.0839732194	-0.059964404	0.0217459134	-0.0971534851	0.0527163605	-0.0047423484	0.040241334	-0.0875026784	0.0138058226	-0.0530521959	0.001651874	-0.0023420898	-0.0494160508	0.1283179643	-0.0098074667	0.0822525786	0.045652092	-0.0470133638	0.0776539109	-0.1060923516	-0.0618059771	0.1311813727	0.0300498324	-0.1890464975	-0.0679393278	0.1340204861	-0.0065873895	-0.1198754065	0.008966263	0.1468742241	-0.0739078153	0.0171629976	0.0240548592	-0.0033541874	-0.004231966	-0.0173031458	-0.0036678522	-0.0162554227	0.1247726501	-0.0458704062	0.040570077	-0.0814666764	0.1121379795	-0.077897292	0.1906738496	-0.1178659469	0.1858396876	0.049914081	-0.0277486999	0.0527928413	-0.1026819712	0.0200755904	-0.06056668	0.0364855975	0.1343262346	-0.0083959572	0.0690654853	-0.0234794824	0.064293435	-0.0045696614	0.105117399	-0.0067254827	0.0991051565	-0.1465870477	0.068066525	-0.0710791919	0.0724893305	-0.0371973395	0.0124710672	0.0237892888	-0.1002469782	0.059640372	-0.0727632584	0.1195832666	-0.0278115221	0.0715466161	-0.0234499015	-0.0025554636	-0.0511564174	0.0278888578	0.099891085	-0.074756846	-0.0815779907	0.1012416008	0.0079301922	-0.1635735865	0.0770205667	0.0139968166	0.1113522999	-0.0955206277	-0.1257131144	0.00996643	0.11883932	-0.0451850917	-0.0552020977	-0.1144285282	0.0044864896	-0.0802534777	0.227819532	-0.0312960848	0.0079019235	-0.0576367885	0.2431243049	-0.1543969658	0.1731701242	-0.0137645484	0.1068323054	-0.0971467695	0.0064509922	-0.1425577662	-0.0386201103	0.0870055934	-0.1342338102	0.2254212898	-0.0979306392	0.0552485756	-0.012847005	0.1694814569	-0.1477821274	0.1105869979	-0.1113939018	0.1031385244	0.103127724	0.1031097243	0.1030845263	0.0	0.0	-0.0139128	0.0095251	9.072753001000004e-05	0.0001935660038399	-0.191178	-0.1759683	0.0365490276839999	0.03096484260489	0.00475206	-0.0358544399999999	0.0012855408677135	2.25820742436e-05	-0.000165991	0.000603681	3.6443074976100003e-07	2.7553012081e-08	0.000225758	6.609000000000001e-05	5.0966674564e-08	4.367888100000001e-09	0.0	0.0	0.0	0.0
321.6350988404912	0.0954154418478197	0.0091041065430146	103449.13680613252	448.38521796504136	1.1850938125807602	1.404447344617202	201049.30368955765	310.1502121313099	0.6204597395416158	0.3849702883920497	96193.15408509652	329.1886237662632	334.25505038368146	1.260089	32.385036	0.11603627	0.0611999	-0.0194334746	-0.1260323118	-0.002057784	-0.133132119	-0.1265840537	-0.0260834969	-0.0367853906	0.0235833458	0.1597144154	-0.0501355815	-0.0343725507	-0.1545183159	0.0475749637	0.0588636038	-0.2298017635	-0.0005827511	-0.1103683696	0.138507925	-0.0854674566	0.022795495	-0.0059531284	-0.034032032	-0.1177819201	-0.2357051352	0.1026253858	0.0274012666	0.147157055	0.0552050726	-0.0866013307	-0.0022541295	-0.0315615367	0.0932038363	-0.1065370841	0.047862102	0.0164404686	0.0526753203	0.091027442	-0.0393724227	0.0716566962	-0.0557654757	0.0323843628	-0.1479103863	-0.0672700053	0.0325719006	0.0721987683	0.0073847437	0.0724422062	0.1037239925	0.1412954233	0.0021418554	-0.0790841781	-0.0548858085	0.0908260603	0.037731856	-0.0211770065	0.036116867	0.0229194673	-0.0744018747	0.075238443	0.0459240374	0.0104957386	-0.0363886411	-0.0461254293	0.1077837387	0.010096687	0.0011816012	-0.0851901622	-0.1511120422	0.0297245123	0.0092356345	0.0124759954	0.1700290353	-0.0181431602	0.0438086394	0.100808257	-0.0331068049	-0.1156790804	0.0280268724	0.0277357225	-0.0977299157	-0.0185875398	-0.1084169302	0.2672398019	-0.1091706136	0.149636549	-0.0692061829	-0.0644612722	-0.0511837146	0.0082548262	-0.0305590375	0.0875266624	0.1031085589	0.0834651055	0.0540239608	0.0338971461	-0.0219100635	0.0759246159	-0.1059102489	-0.1376834881	-0.0575774661	-0.0835407468	-0.096778779	0.1385051494	-0.1199646104	0.0256786723	-0.0104105513	-0.1368792511	0.041591553	0.0224144594	0.0567078847	-0.0421182956	0.1090172026	-0.0082309018	0.0158129427	-0.1436177096	0.0413642186	0.0524125895	-0.0278741347	-0.0044871351	0.0081954226	0.0165940135	-0.0716988388	0.0327308852	-0.1212391943	0.019763891	0.0030609411	0.0597389844	0.0719092629	-0.0023737492	0.0059714816	-0.0183040535	0.0366071892	-0.0499804116	0.0740618751	-0.0032681285	0.0616538536	0.2284343713	-0.0518122836	0.0455185268	-0.1150271787	0.1720262472	-0.1593488012	0.247882787	0.0253945865	-0.0381401169	0.0645412876	0.0711969269	-0.1215655635	0.021254146	0.1075872499	-0.019799322	-0.0175922258	0.0404035212	-0.0382663045	-0.0003561632	-0.0200401709	-0.016371017	-0.0052047307	0.0284539645	0.1031097243	0.1030125435	0.1028506435	0.1026241258	0.0	0.0	-0.0234412	-0.0095284	9.079040655999998e-05	0.00054948985744	-0.217241	-0.026063	0.0471936520809999	0.000679279969	0.0405098	0.0357577399999999	0.0012786159699075	0.0016410438960399	-0.0007803839999999	-0.0006143929999999	3.7747875844887713e-07	6.089991874558439e-07	-0.0	-0.000225758	0.0	5.0966674564e-08	5.35916e-05	5.35916e-05	2.8720595905599998e-09	2.8720595905599998e-09
321.5474025791122	-0.0876962613789942	0.0076906342598528	103392.73210537364	446.3255178399923	-2.059700125049062	4.242364605127122	199206.46787513728	309.2367048036561	-0.9135073276538036	0.8344956376771939	95627.33959782352	328.0770131492926	332.28332617449144	1.178949	30.299683	0.21573383	0.127824	0.0906892374	-0.0365381322	-0.0087639518	-0.0122251654	0.0202722024	-0.0225591864	0.0654253627	0.0087857564	0.0362085205	-0.0482544999	0.0598774209	-0.070440897	0.0478590902	-0.024088883	-0.0004708508	-0.2047909642	-0.0612687829	0.1240449305	-0.1113902088	-0.0680829169	-0.1293992131	-0.0464668068	-0.0481348769	-0.0863743634	0.075184575	-0.0372103237	0.224265005	-0.0772361981	-0.003829038	-0.0324492888	-0.0954509837	0.0689016276	-0.0531287716	0.1457195253	-0.0232297188	0.1292481741	-0.0900359229	0.0463065743	-0.0562243918	0.0933664616	0.0672214842	-0.050511743	0.0159877701	0.0817234842	-0.1363932292	0.1576744215	0.0371131741	0.0132256696	-0.0921483308	0.0539579062	0.0666052722	-0.0955392841	0.1095494985	-0.0260866493	-0.0637433092	-0.0218514659	0.0009158391	0.0277040094	-0.043045617	-0.0192158218	-0.0338920241	0.0336365369	-0.0891568397	-0.1460570413	0.0834180426	-0.0329394321	0.0340872681	0.0389047961	-0.0909783614	-0.0583602351	0.0409284098	-0.0358713952	0.0605238026	0.1582740542	0.0065133187	-0.043917332	-0.0323349021	0.0351924738	0.0505867748	0.0062527552	-0.0243552846	-0.0600936331	0.0694343274	-0.1171035227	0.2460206476	-0.0826755637	0.0384803613	0.0181330975	0.0623053568	-0.1734570402	0.0966319665	-0.1743446737	-0.0213461122	0.0731625717	0.043928927	-0.0995101388	-0.0369357698	0.0849865341	-0.1326926526	-0.1774424104	0.0404222116	-0.0493768274	-0.0809645608	0.063392295	-0.1191148317	0.016860919	-0.0514578055	0.0428723083	-0.045216659	0.0266836538	0.1024654423	0.0863666426	-0.0171064742	0.0130571126	0.0416758925	0.0067000642	0.0391264535	-0.0318826472	-0.0554953054	-0.0006218528	-0.0488506287	0.1283416724	-0.0380475291	0.0522192334	-0.0289324969	0.0130555564	0.0169037008	0.0255098012	0.1453459102	-0.0287749592	0.0005946096	-0.0391974389	0.0464630496	0.1510930507	-0.0315068813	-0.0384680846	0.1104338138	0.0483289609	0.079758967	0.0293591312	0.022599554	-0.066005466	0.1433320517	0.0357844341	0.1685381831	0.0156167209	0.0425677932	-0.0936702644	-0.0540731882	0.2205824734	-0.0435074629	0.0302805792	0.0783160444	0.0575392284	-0.1101967692	0.1302381721	-0.0252935741	0.0252898945	-0.0138630911	0.103052132	0.1027823111	0.1023331329	0.101705381	0.0	0.0	-0.0271433	-0.0037021	1.370554441e-05	0.0007367587348899	-0.333906	-0.1166649999999999	0.1114932168359999	0.0136107222249999	0.00410265	-0.03640715	0.0013254805711225	1.6831737022500002e-05	-0.000231099	0.0005492849999999	3.017140112248901e-07	5.3406747801e-08	0.000576315	0.000576315	3.32138979225e-07	3.32138979225e-07	0.0	-5.35916e-05	2.8720595905599998e-09	0.0
321.169077627758	-0.3783249513542159	0.1431297688171698	103149.57642426484	444.6123768892139	-1.7131409507783817	2.934851917233857	197680.1656830764	309.4772844490652	0.2405796454091273	0.0578785657851814	95776.18958996765	328.18886281524664	327.9268657309529	1.071876	27.547844	0.18908345	0.118363	0.0925988797	0.0124094794	-0.0522902895	0.0751881701	-0.081454808	0.001364458	0.053950338	-0.0702351562	0.1265732935	0.0110540409	0.0638222185	-0.0362844919	0.0772631483	0.0356072872	-0.1231594415	0.0399541326	-0.0198803278	0.0222540111	-0.0817635008	-0.0436650021	-0.0203631465	-0.0710204098	-0.1261612314	-0.1514626424	0.0730868186	0.0054059785	0.1799920396	-0.0067699542	0.1045401599	-0.0372603351	0.0406064397	0.0406253478	-0.0642875504	0.0947507608	-0.1089717329	-0.0045902657	-0.0055284516	0.0918352012	-0.0187878107	0.002064645	-0.0604650619	0.0181574905	-0.1513884022	-0.0149150611	0.1144127198	-0.0116571829	-0.0079003082	0.0365606572	-0.0957472057	-0.0617354384	0.0472851741	0.0303787321	-0.0432160359	0.014730359	-0.0127632082	0.021116863	0.1053268437	0.1336442148	-0.0169359786	-0.0969289975	-0.0603618147	0.0998953164	0.0339299406	0.0182007329	0.0002723894	-0.1559783433	-0.0831483979	-0.0388367047	0.1365376465	0.0074205641	-0.006507934	-0.1246132457	-0.0074686619	-0.0426125793	-0.1050398281	0.0346444759	0.1775931524	-0.0043912553	0.1420270888	-0.0241360826	-0.0309571834	-0.1173318542	0.0759147618	-0.0934776985	0.140255725	-0.1325716665	-0.0043997062	-0.2212966192	0.0747338703	0.0676356079	-0.0359888284	-0.0314897733	-0.0457648129	-0.0513048717	0.0238778245	-0.0116589079	-0.1289929158	-0.0529572807	0.0192977998	-0.0385979454	0.1027760691	0.1081212783	0.0130659325	-0.0162235931	0.040815968	0.0160955398	0.0456652257	-0.0971000282	-0.0773747849	0.0177472558	-0.0396017631	-0.1022366474	0.0807402719	-0.13899943	-0.022650044	0.030124153	0.0149336752	0.0669151458	0.0003922509	0.0494943877	0.0222677563	-0.0883822771	0.0225715043	0.0655449286	-0.0464328061	0.0208724053	-0.0482139735	0.0803725934	-0.1458862578	-0.0882105449	0.0910815735	-0.0070055216	-0.0021996355	-0.0961523702	0.0921157629	0.0680456389	0.1347479234	-0.0058073396	0.0900225283	0.0681724757	0.1202670439	-0.0908751691	0.0015696213	0.0163958141	-0.075484583	0.0106149625	-0.1019153935	-0.0419993075	-0.0667274703	0.2022226425	0.1075266521	-0.0928845166	0.1121241962	-0.1397345494	0.0672094498	-0.231101611	0.1230518531	-0.1146509199	-0.0056927809	0.1029657637	0.102437284	0.1015584928	0.1003323953	0.0	0.0	-0.0507015	-0.0235581999999999	0.0005549887872399	0.00257064210225	-0.317617	0.0162889999999999	0.1008805586889999	0.0002653315209999	0.104375	0.10027235	0.0100545441745225	0.010894140625	-0.00101735	-0.000786251	6.181906350009999e-07	1.0350010225e-06	0.000383288	-0.0001930269999999	1.46909690944e-07	3.725942272899999e-08	0.0	0.0	0.0	0.0
320.5084013632631	-0.6606762644948958	0.4364931264669295	102725.63534443454	444.3820151955821	-0.2303616936318349	0.0530665098929273	197475.37542928653	308.4644786311162	-1.0128058179490154	1.025775624871374	95150.33457716634	327.2809311701761	328.3946386300232	1.113462	28.616629	0.14280385	0.091228	-0.0200584742	0.0630661418	-0.1429831303	-0.0339962093	0.006137482	-0.0263725604	-0.0759574673	-0.1176660387	0.066971868	-0.0264577308	0.0178070087	-0.0404714843	0.0192416035	-0.0253560676	0.0358454376	-0.0594815527	-0.0079747071	0.0418142682	-0.0400084232	-0.0504807739	-0.0067153934	-0.0087910399	-0.0076292095	-0.0678076846	0.0239553422	-0.039823603	0.1817950315	-0.107474882	-0.0240352537	0.1003988132	0.1292973778	-0.1218100719	0.0555651399	0.0262753887	-0.0017984036	0.0066098143	0.0141565605	-0.1203875712	0.032772846	-0.0002532481	-0.0436158779	-0.0496832324	0.036675206	0.1372313392	-0.0328176907	0.0603272488	-0.1017697427	0.0974322723	0.1057028564	-0.0596584284	0.0925066393	0.0485269462	-0.1067839153	-0.0119862149	0.0579535401	0.0559902538	0.0213361325	0.044783809	0.0938496673	0.0492808337	-0.0749923541	0.1108198746	0.0228605185	-0.1261631309	0.0730118764	-0.0287406451	0.0105014185	0.119157724	-0.05399435	0.1396643767	-0.0411785941	0.0709554105	-0.1061148649	-0.1597314795	0.1060666776	0.0026643735	0.034148757	0.0328849683	0.039799557	0.0506512432	0.0907533769	-0.06948642	0.0306426087	0.0176937673	0.1406201904	-0.0277149452	-0.0972358998	-0.0229216064	-0.0317207553	0.1453995567	0.0649173516	-0.010483017	-0.0363380792	-0.0391844369	-0.0396136839	-0.0464856815	0.029789851	0.0707453921	-0.0584053932	0.0733906125	-0.0044747063	0.0218530329	-0.0171791504	0.0387168779	-0.028036383	0.1390547442	-0.0725570928	0.1518111158	0.0473018698	-0.1112707268	0.0467656067	-0.0205689852	-0.1325386102	-0.1932184493	0.1206565471	0.0151060863	-0.0900513049	-0.0118572649	-0.0435676279	0.0509588647	-0.0100603557	-0.0098405507	0.0269454869	0.0298246038	0.0415930633	0.0069253289	0.0652971464	-0.0254579012	0.1629124604	0.0449043868	0.0905573532	-0.0107790925	0.0374373673	-0.1230965921	0.0973905867	-0.0460337623	0.0684572051	0.0591458219	0.060069075	-0.0074924036	0.0907554132	-0.0028066581	-0.0672771821	-0.0102618182	0.1199009198	0.0652277265	0.1161859674	-0.106233842	-0.014796983	0.0796986288	-0.0247133737	-0.0474052379	0.0506513043	-0.1103338521	-0.005133169	-0.112870946	0.0337412257	0.0421991013	-0.0663844397	0.1028506435	0.1019778474	0.1005286696	0.0985113008	0.0	0.0	-0.0506716	2.989999999999937e-05	8.940099999999625e-10	0.00256761104656	-0.359018	-0.041401	0.128893924324	0.001714042801	0.0315581	-0.0728168999999999	0.0053023009256099	0.00099591367561	-0.000500678	0.000516672	2.669499555840001e-07	2.50678459684e-07	0.000328839	-5.4449000000000034e-05	1.0813508792100001e-07	2.9646936010000042e-09	0.0	0.0	0.0	0.0
319.9618795822365	-0.5465217810265699	0.298686057136454	102375.60438579762	446.6832976394186	2.3012824438364987	5.295900886310088	199525.9683900254	308.73170778068595	0.2672291495697436	0.0714114183797684	95315.26738917886	327.6798502456996	330.95138200174125	1.196576	30.752714	0.10271955	0.06984	-0.0725781093	-0.0849709935	-0.0817771544	-0.1060980352	-0.1248968124	-0.0377055183	-0.0713548827	0.0652069799	0.0629876072	-0.1048630259	0.0509379146	-0.1505006816	0.056241635	-0.0364989313	-0.1182581346	-0.1549627525	0.0820933478	-0.02140466	0.0766333753	-0.0548194163	0.0737325781	0.0348411075	-0.0741555255	-0.0833805544	-0.0351249259	0.0537099549	0.0176541337	-0.0050510329	-0.0823098412	-0.0357359007	0.0547953433	-0.1307236676	0.0145533343	0.1189938133	-0.0605541161	-0.0026712343	-0.0510723942	-0.0263403549	-0.0194103393	0.0412514768	-0.0566469153	0.1137505244	0.0606173278	0.0444136116	-0.057665167	-0.0289202031	0.0635550155	-0.0452822968	0.0747423511	0.0360498571	0.0025304794	-0.0831817917	0.0035121262	-0.0225313278	-0.0364733816	0.1076697029	-0.0750384644	0.0408362197	-0.0403767683	0.1272227494	0.1106376922	0.0101168397	-0.0040449779	0.0616637338	0.0822271323	0.0252612137	0.0273658787	-0.0933020586	0.108087895	0.0606479949	0.0764936721	-0.0355163722	-0.0587563184	0.1324783865	0.0338998764	0.0094502664	0.0052287258	-0.076730766	-0.0058711954	-0.1136632159	0.0580630629	-0.0802995059	0.1031399025	0.0440508525	0.0579192293	0.0562363225	-0.0746974959	-0.0399634447	0.0926609184	-0.0141760745	-0.0338356072	-0.0513259606	-0.0755266129	-0.0026493582	0.0647343819	0.0967130625	0.0770473773	0.0546084231	-0.0488510386	0.034923844	-0.0827553351	0.0753892743	-0.0632328636	-0.0502827881	0.009006945	0.0175138002	0.0306245939	0.0153446633	0.0689408788	-0.0283115366	0.041767137	0.0486055936	0.060677135	0.0731559954	-0.0251292479	-0.0002777167	0.0838934864	0.0698971251	-0.0170186558	0.0043628363	-0.0826933747	0.0259204747	-0.0167243523	0.0047715122	0.1071581928	0.0105543575	-0.0508597931	0.1002435939	0.1132942512	0.0943948415	-0.0974198453	-0.0294639614	-0.1157166576	0.0457039293	0.1054890336	0.0526865856	0.1251037173	-0.0517465527	0.0484241948	-0.1109108925	-0.0020701128	-0.004594166	-0.0743267188	-0.0174891777	-0.0930798206	-0.0565337185	-0.0889781202	-0.0539300548	-0.0502938928	0.1227893886	0.0687723615	-0.1267377205	-0.0175648027	-0.0290523842	0.0561329714	-0.0210473231	0.1493239186	0.0190118903	0.0639503484	0.1027068035	0.1014045146	0.099246251	0.0962502309	0.0	0.0	-0.0506908	-1.9200000000003936e-05	3.686400000001512e-10	0.00256955720464	-0.339519	0.0194989999999999	0.115273151361	0.0003802110009999	0.0888375	0.0572794	0.00328092966436	0.00789210140625	-0.00101384	-0.000513162	2.633352382440001e-07	1.0278715456e-06	0.000334116	5.277000000000038e-06	1.1163350145600001e-07	2.78467290000004e-11	0.0	0.0	0.0	0.0
