global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
320.4654519359186	n/a	n/a	102698.10588449256	446.8094113749983	n/a	n/a	199638.65009327247	305.7982504188301	n/a	n/a	93512.56995921752	324.59322720361524	341.25874427884816	n/a	n/a	n/a	n/a	-0.0570205054	-0.049330278	0.1441339757	-0.1650490664	0.1273156726	-0.067417945	0.0026894227	-0.0272719838	0.0480478521	-0.0758492829	0.0397786177	-0.0145565685	0.2061161373	-0.1251937963	0.1317810585	-0.1623860348	0.0825378881	-0.0872895703	0.0355625032	-0.0502776263	0.0376842119	-0.2435265695	0.173391444	-0.0540479139	0.0309393712	-0.0064067988	0.1985517816	-0.1510988774	0.0061346928	-0.2453977901	0.2003699644	0.0234463806	-0.0418566415	0.0453984043	-0.0207210141	0.1065053379	-0.0621632031	0.0586863591	-0.0188386973	0.1473324206	-0.0230620625	0.0256648809	-0.0195947574	0.0095045084	-0.028099596	0.0398896379	-0.0467421601	0.0051270419	-0.0080202982	0.0139700665	-0.0363986848	0.0335051479	-0.0638490236	0.0553791825	-0.0890441675	0.0301459143	-0.0515725703	-0.1435816487	0.120408971	-0.0306163701	-0.0052559047	0.0358188847	-0.0195916984	-0.0225571617	0.0174925328	0.1853250836	-0.1315158779	0.0258515741	0.0663551634	-0.0198969789	-0.0749478154	0.1062536692	-0.0771478572	-0.0133786633	-0.0927102232	0.0330781081	0.0753277474	-0.0019239833	-0.05566968	-0.0006798518	0.0260891315	0.0966454002	-0.0474784996	-0.1328962204	0.1117681624	-0.1013474476	0.0381324279	-0.309439821	0.169176243	-0.0092507929	-0.0604744546	0.0263625852	-0.0024648239	0.1388605614	-0.1207401495	0.0449342138	-0.0478888757	0.1822666291	-0.0280926055	0.0155355931	-0.1127283588	0.0208593977	-0.0733614445	0.0569533834	-0.0227290437	0.0275459891	-0.1213996427	0.0342048458	-0.0082749393	0.0618324444	-0.0176750693	0.0071419505	-0.0157522151	-0.0852408554	0.056474559	-0.0456649684	0.0928392466	-0.0535031288	0.1155583377	0.0618411689	-0.1035255312	0.0083201685	0.0161319342	0.0906231768	-0.1345562696	0.0122169047	0.0572911431	0.0885692718	-0.0983014142	0.0728555067	0.0482402449	-0.062093664	-0.0005300454	-0.0045466639	-0.0451422085	0.1296114003	0.0951313508	-0.0417458086	-0.0449761338	-0.0005647338	-0.031436345	0.0491751888	0.1797501597	-0.0761370587	0.0748903649	-0.0367393125	0.0851939926	-0.0501591371	0.0653018975	-0.2052002081	0.3037966427	-0.0249812867	0.192925834	-0.0310361535	0.0764972461	-0.0816424046	0.157080096	-0.176655254	0.1012241711	-0.1418056621	0.1630607292	-0.0372239948	0.0015516333	0.0936002661	0.102594329	0.1025838106	0.1025662807	0.1025417406	0.0486745	n/a	n/a	0.00236920695025	0.222933	n/a	0.049699122489	n/a	-0.0101497	n/a	n/a	0.0001030164100899	0.00327622	n/a	n/a	1.07336174884e-05	-0.0	n/a	0.0	n/a	0.000519857	n/a	n/a	2.70251300449e-07	0.0
318.3617741519108	-2.1036777840078003	4.425460218927969	101354.21924115228	443.8052849794557	-3.0041263955426416	9.024775400396024	196963.13097569588	305.3222827399889	-0.4759676788411866	0.2265452313014669	93221.69633755772	323.78478010345134	336.88562291584907	1.277393	33.269333	0.0785680999999999	0.036068	0.0560543207	0.0543899745	-0.033822288	-0.0992431746	0.0825596623	0.0236886418	-0.0394177	0.1247838184	-0.0563275375	0.0193191777	-0.0014053213	0.0608177979	0.1376435292	-0.085656987	0.0324666038	-0.179781213	0.0677091732	0.1317648	0.0891189826	-0.2845732855	0.0847883251	-0.0879120828	0.0519671557	-0.0043636693	0.1692946932	0.0668136894	-0.0157852384	-0.2008475949	0.0387823739	-0.1358324272	0.0869647245	-0.0140225553	0.1784189845	0.0003407163	-0.0061349072	0.1077160551	-0.1779403876	-0.0136875969	-0.1918845239	-0.0070693115	-0.0568500086	0.061834874	0.0162961593	-0.0506882687	-0.1123993001	0.0755648577	-0.124367153	-0.082717441	0.0686431016	0.0832469049	-0.0785642511	-0.0466373885	-0.0793314847	-0.0298980323	0.0545082313	-0.0728364011	0.0113501737	0.0620928754	-0.0182135259	-0.0355984031	-0.0193619302	0.0551810329	-0.1217649602	-0.0265186752	-0.0154038445	0.0655341581	0.0631533679	0.0205218574	0.023488817	0.0605488398	0.0151185552	-0.0361964727	0.0495586094	-0.0369278968	0.048729839	-0.0018249873	-0.0268230212	0.0613696605	0.0011524471	0.0026690781	-0.125907204	-0.0284436166	0.031993833	-0.193252739	0.0171008424	-0.0696591332	-0.027868804	-0.113245521	0.2199856691	0.1233647638	-0.1582697494	-0.05507167	0.0266142581	-0.0037990369	-0.152978232	0.0452665841	0.0139425586	0.1298198185	-0.0251835397	0.0441024617	0.0790233571	0.0849070911	0.0405995943	0.0534154378	0.0420467408	0.1165074028	0.027536851	0.0144452073	-0.1328960254	0.1074333354	0.0616457523	0.0299936896	-0.1310640014	0.0209343501	0.0215557118	0.0559816866	0.0187823417	0.1044030641	-0.0647062691	0.032628912	0.0463860447	-0.1220936549	0.0151865784	0.0029173507	0.0453297196	-0.1250470153	0.0270994953	-0.0393857644	-0.0201017432	-0.0700268854	0.0705172125	-0.1101895427	-0.0528168975	0.0096807672	0.0214703352	-0.1051000538	-0.0380852865	-0.0168056011	-0.0221224473	-0.0228721701	-0.0489556639	-0.0443400021	0.2154176308	-0.0263657802	-0.007096746	-0.0211195932	-0.0291880569	0.0506799352	-0.0123182738	-0.1738629164	0.223415114	-0.0139472406	0.172745428	-0.1675787214	0.0096889857	-0.1074236755	0.0536277114	-0.0359546421	0.0301349929	-0.0393890317	-0.0814728903	-0.0703480438	0.0305726372	-0.0238071538	0.1025662807	0.1024716367	0.1023139614	0.1020933517	0.0330998	-0.0155747	0.00024257128009	0.00109559676004	0.210417	-0.012516	0.0442753138889999	0.000156650256	-0.0271352	-0.0169855	0.00028850721025	0.00073631907904	0.00282173	-0.0004544899999999	2.065611600999997e-07	7.9621601929e-06	-0.0	0.0	0.0	0.0	0.000304509	-0.0002153479999999	4.637476110399999e-08	9.272573108100001e-08	0.0
317.16009178494363	-1.2016823669671908	1.4440405110798702	100590.52382103389	438.961727580709	-4.843557398746668	23.460048274953596	192687.3982806406	303.9414801003545	-1.3808026396343962	1.9066159296213163	92380.4233255942	322.41592772013973	333.530859439671	1.240075	32.297405	0.07043415	0.0555639	0.0239604035	-0.0922416283	0.0459518528	0.1512156239	0.0166876703	0.1137311674	0.0901605875	-0.0078800747	-0.0850883772	0.0240425287	0.0780024433	-0.096233928	-0.0550900036	-0.0631090233	0.0406770052	-0.1316089172	-0.0085703244	0.0592808963	-0.032671668	-0.1403453614	0.0081086613	0.0243031909	-0.0096917288	0.0596369933	0.0743386843	0.0147326913	0.0657166821	-0.180385339	-0.0951570199	-0.0236532582	0.0603881975	0.1404134321	0.0404011061	-0.0255165938	0.077436192	-0.0445691558	0.0096745947	0.0011017655	0.012140296	-0.0564839318	0.0377972716	-0.0747408399	-0.0422721076	-5.06384e-05	-0.0801329247	-0.0907155213	-0.0635068938	-0.049191674	-0.0740878205	-0.0231168017	0.0687865078	-0.011836846	0.0204079224	0.0228673741	-0.0560741093	-0.014447617	0.02506426	0.0892746336	0.0104581406	-0.0298477412	-0.0527604073	0.053465625	0.0037613093	-0.0467368659	0.0958798651	-0.0569907306	0.0952322989	0.0357359872	-0.0105429097	0.0620638689	-0.066112908	0.010881073	0.0351729909	-0.0301627792	0.0303722825	-0.010569402	0.0214746095	-0.0347334413	-0.0952508496	0.1362870332	0.2238421341	-0.0948405915	0.0258300527	-0.1283928819	0.03684851	-0.167442241	-0.0643505333	-0.1055562363	-0.0152695076	0.0554616637	-0.0248537757	-0.0537141417	-0.0176390391	-0.0591350326	-0.0146713257	0.0210324341	-0.0043152582	-0.0785560834	-0.0393473686	0.0528409753	-0.005486312	-0.0649557262	0.1614963244	-0.0405507695	0.0949624533	-0.0176811793	0.0108869996	-0.0843968669	-0.0230233366	-0.0535102514	0.0094939653	-0.0611506077	0.04296202	0.0139622408	0.0328219421	0.1218970032	-0.0227487923	0.014101881	-0.1330769474	0.0282408461	0.0458490762	0.070511922	0.0180890723	-0.0924857467	0.0155932631	-0.0141098689	0.0279468458	-0.0225581391	-0.029590471	-0.0526930485	0.0693576778	-0.0788577607	-0.0530441706	0.0428921295	0.0042432019	-0.0233436645	-0.0640671754	-0.038214832	0.0285432728	-0.0478334262	-0.058144385	0.1179965316	0.167738322	-0.0142787205	-0.0152844371	0.0275874925	0.1444382439	0.0902523156	-0.1125067788	-0.1120772809	0.1111095351	0.1035857637	0.002392033	-0.1126293655	0.0103583688	-0.0546243147	0.0801591624	0.0038622361	0.0435579226	-0.0846106646	-0.0355886197	0.1143650966	-0.1359009164	-0.1505516126	0.1025101919	0.1022474116	0.1018099433	0.1011985345	0.0331047	4.900000000002125e-06	2.4010000000020825e-11	0.00109592116209	0.210301	-0.000116	0.0442265106009999	1.3456000000001158e-08	0.0216531	0.0487883	0.00238029821689	0.00046885673961	0.00246466	-0.00035707	1.274989849000001e-07	6.0745489156e-06	-1.6390500000000002e-22	-1.6390500000000002e-22	2.686484902500001e-44	2.686484902500001e-44	0.000377938	7.342900000000002e-05	5.391818041000002e-09	1.42837131844e-07	0.0
317.21471896466016	0.0546271797165331	0.0029841287637824	100625.17792782834	438.4016985241031	-0.560029056605913	0.3136325442429089	192196.04926881855	303.93129215424426	-0.0101879461102498	0.0001037942459453	92374.23035054858	321.9405818708765	331.50770839750766	1.177147	30.658443	0.0934856	0.0588954	-0.0773145594	0.0594270651	-0.0474177234	0.081727648	-0.0014668469	0.0491263463	0.0375991907	0.077521831	-0.0258360272	-0.0247017102	-0.0869324405	-0.0920646327	-0.0683886241	0.0669086186	0.0013526511	-0.1371700455	-0.0070366264	0.0242747211	0.1337824297	-0.1198603914	-0.0557907907	-0.0592154968	-0.0351022291	-0.0029460506	-0.0316455938	-0.0429216142	0.088919351	-0.1678667085	0.0216890086	-0.0016928383	-0.0855279113	0.0229372227	0.0205417125	-0.1215202827	-0.0514054826	-0.1143222711	-0.1244258455	-0.0048665883	-0.217119754	0.0539451183	-0.0241073441	-0.0513819416	0.0257849795	0.0486705823	0.0295790293	-0.096403737	0.0493994827	0.0476256778	-0.0872532163	-0.0440036127	-0.0288562688	0.0966594831	0.0149012887	0.0723509056	-0.018030114	0.1590544654	-0.0229558794	0.0683177643	0.018120946	-0.0231048425	-0.046366272	0.077646171	-0.0690982243	0.0417078778	0.0133408789	-0.00127161	-0.109223851	-0.0010670595	0.028744415	-0.0103231825	0.0260215251	-0.0894417378	0.0860510261	-0.0383456174	0.0726645318	-0.0028905124	0.0070138823	-0.0010388168	-0.0390961012	0.0316137713	0.072953015	0.0215784717	-0.0830188958	-0.1402309932	0.0968471388	-0.0524838428	0.0360435294	0.0404342848	-0.0651987159	0.1263478694	0.0587439812	0.0092646081	-0.0456114507	-0.0623122238	0.0856393884	0.0594246166	-0.0754376879	0.2511923866	-0.1082207211	0.0229431124	0.0623246982	-0.1419129592	-0.0992032163	-0.0377509794	0.0043741054	-0.0500392135	0.0438639174	0.0355753125	0.0376874393	-0.0408849025	0.0118486331	-0.062790942	0.0413328484	0.019890675	-0.0039765851	0.0577475711	0.0192147932	-0.0278220125	-0.0043303238	0.0258878584	0.0720234772	-0.0533871935	0.0412672831	-0.0505712403	-0.0083175683	0.1425964963	-0.0477291865	-0.0780441701	0.0403092654	0.0034001311	0.0761549935	-0.006702548	-0.0083374382	0.1681620567	-0.0853374596	-0.0063858157	-0.0607195441	0.0163880688	-0.0663811912	0.0050425749	-0.059146719	-0.0104413074	0.1344904346	-0.1428521288	0.0092350203	0.0141104647	0.0022414158	0.0410504454	-0.1076259764	-0.0468701758	0.0371813091	0.0566016911	-0.0617868613	-0.1358350087	-0.0909396226	-0.099080234	0.0007711436	0.0376761587	0.0045932167	0.0720026653	-0.1211162303	-0.1549364974	0.1422241949	-0.0561712178	0.1024260777	0.1019113804	0.1010554665	0.0998612018	0.0331064	1.7000000000003124e-06	2.8900000000010627e-12	0.00109603372096	0.168788	-0.0415129999999999	0.0284893889439999	0.0017233291689999	-0.0188648	-0.0405179	0.00164170022041	0.00035588067904	0.00248561	2.095000000000005e-05	4.3890250000000204e-10	6.178257072100001e-06	-0.0	1.6390500000000002e-22	0.0	2.686484902500001e-44	0.000169828	-0.00020811	4.3309772100000024e-08	2.8841549583999997e-08	0.0
317.40675162031056	0.1920326556503937	0.0368765408361426	100747.04597415752	434.2093952767824	-4.192303247320695	17.57540651749564	188537.79894662907	303.9905001640748	0.0592080098305132	0.0035055884280901	92410.22419000434	321.8771744380938	327.4546717105806	1.123687	29.266098	0.05725048	0.0402673	0.0668369119	0.0732570378	-0.0346116509	0.0337697324	-0.0393912048	0.1587013825	0.0764160801	-0.0394281795	0.056504001	0.1107350435	-0.0379135893	0.025446002	-0.2435596149	0.0159608394	0.0372979831	-0.0240337216	-0.0274850736	0.0833667271	0.0273390421	-0.0421796136	0.093050401	-0.0724077804	0.1212255268	-0.0660956145	-0.0685202553	-0.0034018031	0.0632743141	-0.1808542321	-0.0686775073	-0.0537065453	-0.0535520483	0.0259853696	-5.06652e-05	-0.0908863337	-0.0060849721	-0.0653877911	0.0619161057	-0.0300775651	-0.009060404	-0.0421766	0.0300402421	-0.1307578236	0.0206167791	-0.0845048166	0.0520118933	0.0126909786	0.0556163756	0.069659153	0.0305938408	0.0576181152	-0.0839532174	-0.0286779184	-0.0373167996	0.0523051222	0.0335927956	-0.0903125659	0.0571843206	0.2023144417	0.0360034377	-0.0598852047	0.0237976868	-0.0999065153	-0.0481547082	0.1088000211	-0.0293303493	-0.0464336384	-0.011484296	0.0581113267	-0.0031918079	-0.0866439562	0.0579204124	-0.1555895031	-0.0700765496	0.0692056259	0.0499181065	0.0362183361	0.2019392352	0.0637125631	-0.0021811324	-0.1183152386	0.0640736894	-0.014764894	0.0012880938	-0.1740476625	-0.0173285066	-0.0591753039	-0.1149001845	0.0087786366	-0.0720251732	0.0575424143	0.1210171404	-0.0199638891	0.0158963377	-0.0656390903	0.0703220499	-0.0603044012	0.0300600853	0.0422133906	0.0959235828	0.1243752298	0.0108645957	-0.024077761	0.0499155552	0.1253516854	0.0061778872	0.0213543593	0.0226051394	0.0390833215	-0.0169561158	-0.1150220658	0.052612165	0.0283320709	-0.0232552311	0.019544615	0.0904910817	-0.008601625	0.0437141584	0.0228998551	-0.1126602246	-0.0347167114	0.0405292391	0.0565142163	0.0688867557	-0.0001441955	0.051071661	0.1174139393	-0.0029811427	-0.0490090997	0.1604449445	-0.053555884	-0.0207414232	-0.0191262239	0.1086303405	-0.087866785	-0.0349601727	0.0455873582	0.1403674656	-0.0133207921	-0.1449719556	-0.1445943511	-0.0628975618	0.0872108833	0.1373341802	0.0599148309	-0.0770951175	-0.0344245444	-0.040811631	0.0599893467	-0.1126214153	0.0199837111	0.0283145364	0.1105547294	-0.104018306	-0.0923908401	-8.51802e-05	-0.0155385449	0.0689089222	-0.0669788955	-0.1502530757	0.0168377357	-0.0671028013	-0.106991745	-0.0325707713	-0.1500462618	0.1023139614	0.1014639107	0.1000523871	0.0980872016	0.0330978	-8.600000000004437e-06	7.396000000007633e-11	0.0010954643648399	0.168724	-6.399999999998074e-05	0.028467788176	4.095999999997535e-09	0.00952267	0.02838747	0.0008058484530009	9.06812439289e-05	0.00204721	-0.0004384	1.921945600000002e-07	4.1910687841e-06	-0.0	0.0	0.0	0.0	3.24198e-05	-0.0001374081999999	1.888101342724e-08	1.0510434320399998e-09	0.0
317.3049745802894	-0.1017770400211475	0.0103585658754662	100682.44689339813	437.56454323372606	3.3551479569436538	11.257017812983172	191462.72949533933	303.4092936071768	-0.581206556897996	0.3378010617812235	92057.199447206	321.35080039149034	332.77433908089995	1.119612	29.159975	0.05531081	0.0389698	0.0460808886	-0.0592410076	-0.0776580921	0.0131274027	0.0476065449	-0.0034206994	0.0597798522	-0.0359339095	-0.1012241823	0.0446555153	0.1065758335	-0.1256116954	-0.0935227494	-0.0543966035	-0.0550716906	0.047642831	0.1196716672	0.0688406963	0.021281942	0.0214777718	0.096877226	-0.0252978428	0.0455458036	0.0685371051	-0.016005406	-0.0327856668	0.0552320374	-0.140140753	0.0216330389	0.0737292074	-0.010646274	0.1261386737	0.0238855955	0.0467193206	0.0236017323	0.0052855871	-0.0010099351	0.0981985701	0.0021232748	0.0020532391	0.0284060015	0.0141478927	0.0824288254	0.0783767443	0.0222501451	0.051285833	0.0365995359	0.0407663855	0.0203244072	0.024808082	0.0254753279	0.0267494211	0.0601862375	0.0520167981	-0.004033418	0.0147210653	-0.0537250323	-0.0569790368	0.0866794982	-0.0425599245	-0.0102397994	-0.0239220946	0.0011070003	-0.0844229771	-0.0708059973	0.0287556042	-0.1839378745	-0.1352576201	-0.0699478696	-0.0311011436	0.0097603666	-0.0632032893	-0.0784966219	0.02316018	-0.0620281499	-0.0847889551	-0.1055033751	-0.0182791313	0.21317742	-0.1040967658	-0.0555365134	-0.0481853285	-0.0293601705	-0.095120014	-0.066331365	-0.1380420391	0.0679114653	0.0298448652	-0.1190016603	0.0403644796	-0.0311102924	-0.0999578537	-0.0029268519	-0.0040526968	0.0285409486	-0.009170677	0.0016892577	0.0123247687	-0.0226412634	-0.0939963164	-0.0584101813	0.0858795347	-0.0740695546	-0.11564055	0.0170862002	-0.0227465156	0.0205406677	-0.0068473947	-0.0739261576	-0.0380441073	-0.0781741103	-0.0669665976	-0.0655017484	0.042276343	0.0555759934	-0.0714045492	0.0943250335	-0.0383875146	0.1214543161	-0.1548710833	-0.022779821	0.0318040606	0.0481732322	0.059852626	0.0173171499	-0.0038366588	0.0227828817	-0.0470159485	0.0002424214	0.2158552257	-0.0762180526	0.0039346544	0.0853590639	-0.0439849606	0.0490867989	0.039361907	0.1544919726	0.0492591247	0.0855098419	0.0620661808	-0.0579702915	-0.0501178408	0.0819678859	-0.0110994091	0.0044060902	0.0160449835	0.1485345932	0.0256259105	-0.0792944139	-0.0019218543	-0.0283984455	0.0852662425	-0.0429658171	-0.0370334161	-0.0502728996	-0.0565110804	0.0773263967	-0.0112508675	-0.047476533	-0.0059569439	-0.0402208033	0.0605910265	0.1272822885	-0.0105633338	0.1021738733	0.1009054916	0.0988031726	0.0958842909	0.0331068	9.000000000002062e-06	8.100000000003711e-11	0.00109606020624	0.133796	-0.034928	0.0179013696159999	0.001219965184	-0.00749104	-0.01701371	0.0002894663279641	5.61156802816e-05	0.00207071	2.3500000000000083e-05	5.52250000000004e-10	4.2878399041e-06	-3.63561e-05	-3.63561e-05	1.32176600721e-09	1.32176600721e-09	2.50739e-05	-7.345899999999997e-06	5.3962246809999946e-11	6.2870046121e-10	0.0
317.0516298159868	-0.2533447643025965	0.0641835695995382	100521.73596897356	437.2544829402294	-0.3100602934966332	0.0961373856032183	191191.4828513274	303.4052485949257	-0.0040450122510833	1.636212411141427e-05	92054.74487494866	321.52381116806646	328.65319215774537	1.110951	28.934397	0.0809388799999999	0.0476061	-0.0741909789	-0.0224214162	-0.0032079021	0.0759195138	-0.0446865713	-0.0178457138	0.0014701109	0.0696321959	0.2231678913	-0.1032772835	-0.0556346515	-0.0172649675	-0.0909431325	0.116643039	0.0865797229	-0.1038755178	0.1201008141	-0.0253192701	-0.0200436022	-0.0522765725	-0.2160341256	0.0608868198	-0.0015666726	-0.0314872121	-0.05981144	0.1337829808	-0.0183266033	-0.1260008069	-0.1079259059	0.0530008281	-0.119051276	0.0107807772	0.0010994593	-0.071916182	-0.0575170799	-0.0362202756	-0.0061665479	-0.0677820377	0.0024760424	0.109269165	0.0117396996	-0.0979472972	-0.069749724	0.0010042825	-0.0822567343	-0.0016493239	-0.0499593343	-0.0704593088	-0.0438897622	-0.1085059039	0.0107626986	0.0293047034	-0.1177031153	0.0487704904	-0.0633873174	0.0736176827	-0.0269359984	-0.0415126991	0.0205826029	0.0688652101	0.0083787373	0.0657852025	0.0736931311	0.0119775388	0.0146862325	0.0135834411	0.0071598128	-0.0376626459	0.0258838657	0.0411718791	0.0470655192	-0.0074549536	-0.0615977956	-0.0809533167	0.0330823008	0.1563247033	0.0544815523	-0.073133642	0.1356887037	0.0541072301	0.0090372628	-0.1893712723	-0.02101823	-0.0654757973	0.1349577796	-0.0888185408	-0.0448327724	0.1172586258	-0.0710355881	0.0941839471	-0.007469317	0.1635553175	-0.0370240493	-0.0669922968	-0.0944761186	0.0109355979	-0.0308878865	0.0768686525	-0.0266412082	0.088676391	-0.0892987632	-0.0423117046	0.0604649433	-0.0272262441	0.0470261727	-0.0033118443	-0.0965279433	-0.0380918774	-0.0283989069	0.0477193826	-0.053471738	-0.0169291251	-0.0443047134	-0.0348235076	0.0185973828	-0.0271637083	0.0454156189	0.0164762131	0.0448689962	0.0247893234	-0.0506358045	0.0459712341	-0.0974901337	-0.0337405408	-0.071100589	-0.1795732364	-0.1275902479	-0.1753985333	-0.0021224331	-0.1231779124	-0.0506656844	0.0273863767	0.0007875373	0.0030214558	0.0167647357	-0.043786946	-0.0553519796	0.1102381085	0.1357230297	-0.0239299741	-0.0862637873	0.0410349686	0.0824090023	-0.0347670482	-0.0120793538	0.1087448202	-0.0240664187	-0.0466560702	-0.0384638054	0.0007761509	-0.0064334364	0.0174590186	-0.0897421793	-0.0757863292	-0.0405169659	-0.0005432854	0.0313657201	-0.0195762439	-0.0614706528	0.1331965387	-0.0327083077	-0.0369869157	0.012080257	0.0746967645	0.102005852	0.1002367339	0.0973108962	0.0932621027	0.0331195	1.2700000000004374e-05	1.6129000000011112e-10	0.00109690128025	0.151963	0.0181669999999999	0.0230927533689999	0.0003300398889999	0.0216394	0.02913044	0.0008485825345936	0.00046826363236	0.00152584	-0.0005448699999999	2.968833168999998e-07	2.3281877056e-06	-2.41244e-05	1.2231700000000004e-05	5.819866753599998e-10	1.4961448489000006e-10	0.000140547	0.0001154731	1.333403682361e-08	1.9753459209e-08	0.0
